,"Author: Falchi, Mario",,,,,,,,,,,
2009,"Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts","Aulchenko Y.S., Spector T., Martin N.G., Pedersen N.L., Kyvik K.O., Kaprio J., Hofman A., Freimer N.B., Jarvelin M.-R., Gyllensten U., Campbell H., Ripatti S., Rudan I., Johansson A., Marroni F., Hayward C., Vitart V., Jonasson I., Pattaro C., Wright A., Hastie N., Pichler I., Lindqvist I., Hicks A.A., Falchi M., Willemsen G., Hottenga J.-J., De Geus E.J.C., Montgomery G.W., Whitfield J., Magnusson P., Saharinen J., Perola M., Boomsma D., Silander K., Isaacs A., Sijbrands E.J.G., Uitterlinden A.G., Witteman J.C.M., Oostra B.A., Elliott P., Ruokonen A., Sabatti C., Gieger C., Heid I.M., Meitinger T., Kronenberg F., Doring A., Wichmann H.-E., Smit J.H., McCarthy M.I., Van Duijn C.M., Peltonen L., Pramstaller P.P., Penninx B.W.J.H., Janssens A.C.J.W., Wilson J.F.",10614036,"Nature Genetics",41, 1,0,0,0,0,17,17
2008,"Analysis of quantitative trait Loci Mario Falchi","Falchi M.",10643745,"Methods in Molecular Biology",453, ,0,0,0,0,0,0
2008,"Intracerebroventricular capsaicin influences the body weight increasing of rats","Falchi M., Bertelli A., Ferrara F., Galazzo R., Galazzo S., Gharib C., Dib B.",03619230,"Brain Research Bulletin",77, 5,0,0,0,0,0,0
2008,"A genome-wide linkage scan for age at menarche in three populations of European descent","Anderson C.A., Montgomery G.W., Zhu G., Falchi M., Van Den Berg S.M., Treloar S.A., Spector T.D., Martin N.G., Boomsma D.I., Visscher P.M.",0021972X,"Journal of Clinical Endocrinology and Metabolism",93, 10,0,0,0,0,4,4
2008,"Genetic loci linked to pituitary-thyroid axis set points: A genome-wide scan of a large twin cohort","Panicker V., Lim E.M., Fletcher S.J., Walsh J.P., Wilson S.G., Spector T.D., Brown S.J., Kato B.S., Reed P.W., Falchi M., Richards J.B., Surdulescu G.L.",0021972X,"Journal of Clinical Endocrinology and Metabolism",93, 9,0,0,0,0,1,1
2008,"Phenotype, genotype, and worldwide genetic penetrance of LRRK2-associated Parkinson's disease: a case-control study","Healy D.G., Goldwurm S., Ferreira J.J., Tolosa E., Kay D.M., Klein C., Williams D.R., Marras C., Lang A.E., Wszolek Z.K., Berciano J., Falchi M., Schapira A.H., Lynch T., Bhatia K.P., Gasser T., Lees A.J., Wood N.W., O'Sullivan S.S., Bonifati V., Durr A., Bressman S., Brice A., Aasly J., Zabetian C.P.",14744422,"The Lancet Neurology",7, 7,0,0,7,7,21,28
2008,"Quantitative linkage analysis for pancreatic B-cell function and insulin resistance in a large twin cohort","Falchi M., Wilson S.G., Paximadas D., Swaminathan R., Spector T.D.",00121797,"Diabetes",57, 4,0,0,0,0,1,1
2008,"Heritability of serum TSH, free T4 and free T3 concentrations: A study of a large UK twin cohort","Panicker V., Walsh J.P., Wilson S.G., Spector T.D., Brown S.J., Falchi M., Richards J.B., Surdulescu G.L., Lim E.M., Fletcher S.J.",03000664,"Clinical Endocrinology",68, 4,0,0,2,2,3,5
2008,"Bone mineral density, osteoporosis, and osteoporotic fractures: a genome-wide association study","Richards J., Ahmadi K., Valdes A., Arp P., Whittaker P., Verlaan D., Jhamai M., Kumanduri V., Moorhouse M., van Meurs J., Hofman A., Rivadeneira F., Pols H., Hart D., Zhai G., Kato B., Mullin B., Zhang F., Deloukas P., Uitterlinden A., Spector T., Inouye M., Pastinen T., Soranzo N., Wilson S., Andrew T., Falchi M., Gwilliam R.",01406736,"The Lancet",371, 9623,0,0,14,14,39,53
2008,"Jenti: An efficient tool for mining complex inbred genealogies","Falchi M., Fuchsberger C.",13674803,"Bioinformatics",24, 5,0,0,0,0,3,3
2008,"PedVizApi: A Java API for the interactive, visual analysis of extended pedigrees","Fuchsberger C., Falchi M., Forer L., Pramstaller P.P.",13674803,"Bioinformatics",24, 2,0,0,0,0,0,0
2008,"Genome-wide Association Study Identifies Genes for Biomarkers of Cardiovascular Disease: Serum Urate and Dyslipidemia","Wallace C., Hajat C., Burton P., Deloukas P., Brown M., Connell J.M., Dominiczak A., Lathrop G.M., Webster J., Farrall M., Spector T., Newhouse S.J., Samani N.J., Caulfield M.J., Munroe P.B., Braund P., Zhang F., Tobin M., Falchi M., Ahmadi K., Dobson R.J., Marcano A.C.B.",00029297,"American Journal of Human Genetics",82, 1,0,0,23,23,21,44
2007,"Genome-wide linkage scan for athlete status in 700 British female DZ twin pairs","De Moor M.H.M., Spector T.D., Cherkas L.F., Falchi M., Hottenga J.J., Boomsma D.I., De Geus E.J.C.",18324274,"Twin Research and Human Genetics",10, 6,0,0,1,1,2,3
2007,"Macrophages transmit human immunodeficiency virus type 1 products to CD4-negative cells: Involvement of matrix metalloproteinase 9","Muratori C., Sistigu A., Ruggiero E., Falchi M., Bacigalupo I., Palladino C., Toschi E., Federico M.",0022538X,"Journal of Virology",81, 17,0,0,2,2,2,4
2007,"Nevus size and number are associated with telomere length and represent potential markers of a decreased senescence in vivo","Bataille V., Aviv A., Spector T.D., Kato B.S., Falchi M., Gardner J., Kimura M., Lens M., Perks U., Valdes A.M., Bennett D.C.",10559965,"Cancer Epidemiology Biomarkers and Prevention",16, 7,0,0,3,3,3,6
2006,"Attenuation of ischemia/reperfusion injury in rats by the anti-inflammatory action of resveratrol","Das S., Falchi M., Maulik N., Das D.K.",00044172,"Arzneimittel-Forschung/Drug Research",56, 10,0,4,4,8,5,13
2006,"Genome-wide search for nevus density shows linkage to two melanoma loci on chromosome 9 and identifies a new QTL on 5q31 in an adult twin cohort","Falchi M., Spector T.D., Perks U., Kato B.S., Bataille V.",09646906,"Human Molecular Genetics",15, 20,1,5,2,7,3,11
2006,"Intrauterine, environmental, and genetic influences in the relationship between birth weight and lipids in a female twin cohort","Skidmore P.M.L., Cassidy A., Swaminathan R., Falchi M., Spector T.D., MacGregor A.J.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",26, 10,0,1,2,3,0,3
2006,"Comparison of cardioprotective abilities between the flesh and skin of grapes","Falchi M., Bertelli A., Lo Scalzo R., Morassut M., Morelli R., Das S., Cui J., Das D.K.",00218561,"Journal of Agricultural and Food Chemistry",54, 18,0,2,9,11,3,14
2006,"PowQ: A user-friendly package for the design of variance component multipoint linkage analysis studies","Falchi M., Borlino C.C.",13674803,"Bioinformatics",22, 11,0,0,0,0,0,0
2006,"HIV-1 Tat regulates endothelial cell cycle progression via activation of the Ras/ERK MAPK signaling pathway","Toschi E., Mainiero F., Ensoli B., Bacigalupo I., Strippoli R., Chiozzini C., Cereseto A., Falchi M., Nappi F., Sgadari C., Barillari G.",10591524,"Molecular Biology of the Cell",17, 4,1,6,9,15,1,17
2006,"Mapping genetic loci that determine leukocyte telomere length in a large sample of unselected female sibling pairs","Andrew T., Spector T.D., Aviv A., Falchi M., Surdulescu G.L., Gardner J.P., Lu X., Kimura M., Kato B.S., Valdes A.M.",00029297,"American Journal of Human Genetics",78, 3,8,14,24,38,4,50
2006,"The introduction of the stilbene synthase gene enhances the natural antiradical activity of Lycopersicon esculentum mill","Morelli R., Das S., Bertelli A., Bollini R., Lo Scalzo R., Das D.K., Falchi M.",03008177,"Molecular and Cellular Biochemistry",282, 1-2,2,2,2,4,2,8
2006,"Genome-wide scan for prospective memory suggests linkage to chromosome 12q22","Singer J.J., Falchi M., MacGregor A.J., Cherkas L.F., Spector T.D.",00018244,"Behavior Genetics",36, 1,0,0,0,0,0,0
2005,"Rats desensitized by capsaicin alter their food intake regulation especially at cold ambient temperature","Dib B., Duvareille M., Gharib C., Ferrero M.E., Fulgenzi A., Ferrara F., Falchi M.",03786501,"Drugs under Experimental and Clinical Research",31, 2,0,0,1,1,0,1
2005,"Identification of QTLs for serum lipid levels in a female sib-pair cohort: A novel application to improve the power of two-locus linkage analysis","Falchi M., Andrew T., Snieder H., Swaminathan R., Surdulescu G.L., Spector T.D.",09646906,"Human Molecular Genetics",14, 20,2,3,2,5,1,8
2005,"Statistical tools for linkage analysis and genetic association studies","Forabosco P., Falchi M., Devoto M.",14737159,"Expert Review of Molecular Diagnostics",5, 5,0,2,1,3,0,3
2005,"Evaluation of carnitine, acetylcarnitine and isovalerylcarnitine on immune function and apoptosis","Ferrara F., Bertelli A., Falchi M.",03786501,"Drugs under Experimental and Clinical Research",31, 3,0,0,2,2,1,3
2004,"A genomewide search using an original pairwise sampling approach for large genealogies identifies a new locus for total and low-density lipoprotein cholesterol in two genetically differentiated isolates of Sardinia","Falchi M., Pirastu M., Forabosco P., Mocci E., Borlino C.C., Picciau A., Virdis E., Persico I., Parracciani D., Angius A.",00029297,"American Journal of Human Genetics",75, 6,8,9,8,17,4,29
2004,"Biological activity of parrodienes, a new class of polyunsaturated linear aldehydes similar to carotenoids","Pini E., Bertelli A., Stradi R., Falchi M.",03786501,"Drugs under Experimental and Clinical Research",30, 5-6,0,0,1,1,1,2
2004,"Effects of Uvalino, a new autochthonous wine, on the inhibition of the production of hydroxyl radicals","Bertelli A., Morelli R., Falchi M.",03786501,"Drugs under Experimental and Clinical Research",30, 4,0,0,0,0,0,0
2004,"EPR evaluation of the antiradical activity of wines containing high concentrations of resveratrol","Bertelli A., Falchi M., Lo Scalzo R., Morelli R.",03786501,"Drugs under Experimental and Clinical Research",30, 3,2,0,2,2,1,5
2004,"Isovalerylcarnitine regulates immune function and apoptosis of U937 myeloid leukemic cells","Ferrara F., Falchi M., Mihali D., Diana G.M., Paraboni L., Bertelli A.",02559625,"International Journal of Immunotherapy",20, 1,0,0,0,0,0,0
2003,"Evaluation of the antioxidant activity of new carotenoid-like compounds by electron paramagnetic resonance","Morelli R., Loscalzo R., Stradi R., Bertelli A., Falchi M.",03786501,"Drugs under Experimental and Clinical Research",29, 3,7,0,2,2,1,10
2003,"Identification of a novel gene and a common variant associated with uric acid nephrolithiasis in a Sardinian genetic isolate","Gianfrancesco F., Cardia F., Deiana I., Melis P., Falchi M., Pirastu M., Esposito T., Ombra M.N., Forabosco P., Maninchedda G., Fattorini M., Casula S., Vaccargiu S., Casu G.",00029297,"American Journal of Human Genetics",72, 6,17,7,3,10,1,28
2002,"Resveratrol prevents interleukin release from isolated monocytes","Bertelli A.A.E., Migliori M., Giovannini L., Filippi C., Panichi V., Falchi M.",02559625,"International Journal of Immunotherapy",18, 3-4,0,0,0,0,0,0
2002,"A New Essential Hypertension Susceptibility Locus on Chromosome 2p24-p25, Detected by Genomewide Search","Angius A., Palermo M., Pirastu M., Petretto E., Maestrale G.B., Fprabosco P., Casu G., Piras D., Fanciulli M., Falchi M., Melis P.M.",00029297,"American Journal of Human Genetics",71, 4,38,7,5,12,3,53
2002,"Not all isolates are equal: Linkage disequilibrium analysis on Xq13.3 reveals different patterns in Sardinian sub-populations","Angius A., Pirastu M., Bebbere D., Petretto E., Falchi M., Forabosco P., Maestrale G.B., Casu G., Persico I., Melis P.M.",03406717,"Human Genetics",111, 1,16,2,7,9,2,27
2002,"HIV protease inhibitors are potent anti-angiogenic molecules and promote regression of Kaposi sarcoma","Sgadari C., Malavasi L., Cafaro A., Falchi M., Valdembri D., Rezza G., Bussolino F., Monini P., Ensoli B., Barillari G., Toschi E., Carlei D., Bacigalupo I., Baccarini S., Palladino C., Leone P., Bugarini R.",10788956,"Nature Medicine",8, 3,100,22,11,33,14,147
2002,"Blockade of striatal adenosine A2A receptor reduces, through a presynaptic mechanism, quinolinic acid-induced excitotoxicity: Possible relevance to neuroprotective interventions in neurodegenerative diseases of the striatum","Popoli P., Malchiodi-Albedi F., Falchi M., Massotti M., Pintor A., Domenici M.R., Frank C., Tebano M.T., Pezzola A., Scarchilli L., Quarta D., Reggio R.",02706474,"Journal of Neuroscience",22, 5,68,18,15,33,5,106
2002,"Effect of some white wine phenols in preventing inflammatory cytokine release","Bertelli A., Migliori M., Origlia N., Filippi C., Panichi V., Falchi M., Giovannini L.",03786501,"Drugs under Experimental and Clinical Research",28, 1,6,2,0,2,0,8
2002,"Inhibitory activity of the white wine compounds, tyrosol and caffeic acid, on lipopolysaccharide-induced tumor necrosis factor-? release in human peripheral blood mononuclear cells","Giovannini L., Migliori M., Filippi C., Origlia N., Panichi V., Falchi M., Bertelli A.A.E.",02500868,"International Journal of Tissue Reactions",24, 2,5,3,2,5,1,11
2001,"Resveratrol inhibits TNF?-induced endothelial cell activation","Bertelli A.A.E., Baccalini R., Battaglia E., Falchi M., Ferrero M.E.",00405957,"Therapie",56, 5,22,2,0,2,0,24
2001,"Increased c-met expression during ductal ? cell neogenesis in experimental autoimmune diabetes","Bulotta A., Di Cesare E., Ponte E., Falchi M., Sciacchitano S., Cucinotta D., Taruscio D., Di Mario U., Anastasi E.",08977194,"Growth Factors",19, 4,5,1,0,1,0,6
2001,"Hyperalgesic effect of intrathecally administered interleukin-1 in rats","Falchi M., Ferrara F., Gharib C., Dib B.",03786501,"Drugs under Experimental and Clinical Research",27, 3,20,7,1,8,4,32
2001,"Intracerebroventricular capsaicin and food intake in the rat","Falchi M., Ferrara F., Gharib C., Dib B.",03786501,"Drugs under Experimental and Clinical Research",27, 2,3,0,1,1,0,4
2000,"CD95 (APO-1/Fas) linkage to the actin cytoskeleton through ezrin in human T lymphocytes: A novel regulatory mechanism of the CD95 apoptotic pathway","Parlato S., Giammarioli A.M., Logozzi M., Lozupone F., Matarrese P., Luciani F., Falchi M., Malorni W., Fais S.",02614189,"EMBO Journal",19, 19,92,8,14,22,5,119
2000,"The human Per1 gene: Genomic organization and promoter analysis of the first human orthologue of the Drosophila period gene","Taruscio D., Zoraqi G.K., Falchi M., Iosi F., Paradisi S., Di Fiore B., Lavia P., Falbo V.",03781119,"Gene",253, 2,15,3,0,3,0,18
1998,"Intracerebroventricular injection of capsaicin or substance P provokes the micturition reflex in the rat","Dib B., Corsi M.M., Fulgenzi A., Ferrero M.E., Falchi M.",02500868,"International Journal of Tissue Reactions",20, 4,4,0,0,0,0,4
1998,"Asbestos lung burden and asbestosis after occupational and environmental exposure in an asbestos cement manufacturing area: A necropsy study","Magnani C., Pavesi M., Mollo F., Paoletti L., Bellis D., Bernardi P., Betta P., Botta M., Falchi M., Ivaldi C.",13510711,"Occupational and Environmental Medicine",55, 12,10,3,1,4,2,16
1998,"PEDF (Pigment Epithelium-Derived Factor) promotes increase and maturation of pigment granules in pigment epithelial cells in neonatal albino rat retinal cultures","Malchiodi-Albedi F., Feher J., Caiazza S., Formisano G., Perilli R., Falchi M., Petrucci T.C., Scorcia G., Tombran-Tink J.",07365748,"International Journal of Developmental Neuroscience",16, 5,10,1,3,4,0,14
1997,"Intracerebroventricular self-injection of ?-endorphin by rats in response to intermittent electrical shocks","Dib B., Falchi M.",02511649,"International Journal of Clinical Pharmacology Research",17, 1,1,0,0,0,0,1
1997,"Effect of acute and chronic inflammation on plasma growth hormone levels in rats","Corsi M.M., Fulgenzi A., Gaja G., Falchi M., Bertelli A.A.E., Boctelli A.A.E., Ferrero M.E.",03786501,"Drugs under Experimental and Clinical Research",23, 3-4,3,0,0,0,0,3
1997,"Protein phosphatase inhibitors induce modification of synapse structure and tau hyperphosphorylation in cultured rat hippocampal neurons","Malchiodi-Albedi F., Petrucci T.C., Picconi B., Iosi F., Falchi M.",03604012,"Journal of Neuroscience Research",48, 5,26,1,1,2,1,29
1997,"Angiogenesis and anticancer therapy | Angiogenesi e terapia antitumorale","Ferrara F., Falchi M., Puricelli S.",03939340,"Annali Italiani di Medicina Interna",12, 1,0,0,0,0,0,0
1996,"The macrophagic activity of patients affected by pneumonia or chronic obstructive pulmonary disease","Ferrara F., D'Adda D., Falchi M., Dall'asta L.",02500868,"International Journal of Tissue Reactions",18, 4-6,7,1,2,3,0,10
1996,"Non-fibrous inorganic particles in bronchoalveolar lavage fluid of pottery workers","Falchi M., Paoletti L., Mariotta S., Giosue S., Guidi L., Biondo L., Scavalli P., Bisetti A.",13510711,"Occupational and Environmental Medicine",53, 11,1,0,0,0,0,1
1996,"Convulsions and death induced in rats by Tween 80 are prevented by capsaicin","Dib B., Falchi M.",02500868,"International Journal of Tissue Reactions",18, 1,10,1,1,2,0,12
1996,"Inorganic particles in bronchoalveolar lavage fluids from nonoccupationally exposed subjects","Falchi M., Biondo L., Conti C., Cipri A., Demarinis F., Gigli B., Paoletti L.",00039896,"Archives of Environmental Health",51, 2,7,2,0,2,1,10
1995,"Influence of inhalational, neuroleptic and local anaesthesia on lymphocyte subset distribution","Corsi M., Mariconti P., Calvillo L., Falchi M., Tiengo M., Ferrero M.E.",02500868,"International Journal of Tissue Reactions",17, 5-6,3,0,0,0,1,4
1994,"Methods and instrumentation for the analysis of asbestos fibers in human organs and tissues | Metodiche e strumenti per l'analisi delle fibre di amianto in organi e tessuti umani.","Falchi M., Paoletti L.",00212571,"Annali dell'Istituto Superiore di Sanita",30, 2,1,0,0,0,0,1
1994,"Silicate particles engulfed in human alveolar macrophages: An analytical electron microscopy study","Diociaiuti M., Falchi M., Paoletti L.",00263672,"Mikrochimica Acta",114-115, 1,2,0,0,0,0,2
1994,"Miocamycin pharmacokinetics in hepatopathic patients","Carnelli V., Turconi A., Mirra N., Falchi M., Nebuloni R., Ferrara F.",03925161,"Rivista Italiana di Pediatria",20, 5,0,0,0,0,0,0
1994,"Increased cAMP levels in human hair follicles due to local treatment with trichoriboside","Gazzani G., Roncoroni S., Corsi M., Falchi M., Ferrero M.E.",02500868,"International Journal of Tissue Reactions",16, 2,1,0,0,0,0,1
1994,"Influence of particle size and chemical composition on efficiency of clearance mechanisms: Electron microscopy studies on humans","Falchi M., Donelli G., Paoletti L.",00916765,"Environmental Health Perspectives",102, 5,3,0,0,0,0,3
1993,"Characterization of asbestos fibers in pleural tissue from 21 cases of mesothelioma","Paoletti L., Falchi M., Batisti D., Zappa M., Chellini E., Biancalani M.",00257818,"Medicina del Lavoro",84, 5,4,1,0,1,2,7
1991,"Mineral lung burden of an urban population","Paoletti L., Falchi M., Batisti D., Carrieri M.P., Petrelli M.G., Ciallella C., Donelli G.",09571272,"Atmospheric Environment - Part B Urban Atmosphere",25, 3,5,2,0,2,0,7
1991,"Quantitative analysis of airborne breathable particles: A comparison between different analytical techniques","Paoletti L., Diociaiuti M., Falchi M., Pisani D., Ziemacki G.",09571272,"Atmospheric Environment - Part B Urban Atmosphere",25, 2,7,0,0,0,0,7
1991,"Kinetic profile of miocamycin in middle ear fluid and mucosa","Fraschini F., Scaglione F., Falchi M., Nebuloni R., Zampella K., Saedelli M., De Luca M., Casini A., Pintucci G.P.",00016489,"Acta Oto-Laryngologica",111, 4,1,0,0,0,0,1
1991,"Antibiotics and mucous membrane: pharmacokinetic aspects.","Fraschini F., Nebuloni R., Cortelazzi R., Falchi M.",1120009X,"Journal of chemotherapy (Florence, Italy)",3, ,2,0,0,0,0,2
1990,"Immunomodulatory effects of two extracts of Panax ginseng C.A. Meyer","Scaglione F., Ferrara F., Dugnani S., Falchi M., Santoro G., Fraschini F.",03786501,"Drugs under Experimental and Clinical Research",16, 10,42,2,8,10,5,57
1990,"Miocamycin distribution in tonsillar and pulmonary tissues after repeated administration","Scaglione F., Fraschini F., Falchi M., Nebuloni R., Cattaneo G., Pintucci J.P., Mezzetti M., Zampella K., Saudelli M., Casini A.",1120009X,"Journal of Chemotherapy",2, 6,1,0,0,0,0,1
1990,"Cefonicid distribution into tonsillar tissue","Scaglione F., Falchi M., Ferrara F., Signorelli S., Aimini R., D'Orsi S., Pintucci G.P., Fraschini F.",02511649,"International Journal of Clinical Pharmacology Research",10, 5,1,0,0,0,0,1
1990,"In-vitro postantibiotic effects of miocamycin and erythromycin on Gram-positive cocci","Varotto F., Garlaschi M.L., Garlaschi M.C., Falchi M., Scaglione F., Cattaneo G., De Luca M., Fraschini F.",1120009X,"Journal of Chemotherapy",2, 6,1,0,0,0,0,1
1990,"On the mechanism of cell internalization of chrysotile fibers: An immunocytochemical and ultrastructural study","Malorni W., Iosi F., Falchi M., Donelli G.",00139351,"Environmental Research",52, 2,8,1,0,1,0,9
1990,"Carbocysteine improves some pulmonary cell-mediated immunity parameters","Scaglione F., Falchi M., Nebuloni R., Cattaneo G., Currao Fraschini M.F.",02559625,"International Journal of Immunotherapy",6, 1,0,0,0,0,0,0
1990,"Pathogen-host interaction","Fraschini F., Falchi M., Cattaneo G., Aimini R., Maierna G., Nebuloni R., Scaglione F., Cortelazzi R.",1120009X,"Journal of Chemotherapy",2, 3,0,0,0,0,0,0
1990,"Pharmacokinetics and tissue distribution of amoxicillin plus clavulanic acid after oral administration in man","Fraschini F., Scaglione F., Falchi M., Dugnani S., Mezzetti M., Cicchetti F., Alfano G., Pintucci G.P.",1120009X,"Journal of Chemotherapy",2, 3,14,2,1,3,0,17
1989,"Cortical and medullary kidney tissue levels of cefonicid in human beings","Scaglione F., Ferrara F., Maierna G., Falchi M., Comeri G., Fraschini F.",02511649,"International Journal of Clinical Pharmacology Research",9, 5,0,0,0,0,0,0
1989,"Pharmacokinetics of dactimicin in rats","Fraschini F., Scaglione F., Nebuloni R., Falchi M., Balsamo V., Cattaneo G.",03786501,"Drugs under Experimental and Clinical Research",15, 11-12,0,0,0,0,0,0
1989,"The importance of pharmacokinetics in respiratory tract infection therapy.","Fraschini F., Falchi M., Scaglione F., Maierna G., Zampella K., Gattei G., Zecca L., Scarpazza G.",1120009X,"Journal of chemotherapy (Florence, Italy)",1, 4,0,0,0,0,0,0
1989,"Mineral fibres and dusts in lungs of subjects living in an urban environment.","Paoletti L., Eibenschutz L., Cassano A.M., Falchi M., Batisti D., Ciallella C., Donelli G.",03005038,"IARC scientific publications",, 90,0,0,0,0,0,0
1989,"Miokamycin and leukocyte activity in man","Fraschini F., Scaglione F., Ferrara F., Dugnani S., Falchi M., Cattaneo G.",00093157,"Chemotherapy",35, 4,1,0,0,0,0,1
1989,"Features of airborne breathable particulate in a remote rural and in an urban area","Paoletti L., Falchi M., Viviano G., Ziemacki G., Batisti D., Pisani D.",00496979,"Water, Air, and Soil Pollution",43, 1-2,7,0,0,0,0,7
1989,"Miokamycin penetration into oral cavity tissues and crevicular fluid","Fraschini F., Scaglione F., Falchi M., Manzoni P., D'Orsi S., Badile S., Pignanelli M.",02511649,"International Journal of Clinical Pharmacology Research",9, 4,0,0,0,0,1,1
1989,"In-vivo and in-vitro interference of antibiotics with antigen-specific antibody responses: Effect of josamycin","Villa M.L., Valenti F., Scaglione F., Falchi M., Fraschini F.",03057453,"Journal of Antimicrobial Chemotherapy",24, 5,3,0,0,0,0,3
1988,"Bactericidal effect of ceftriaxone versus imipenem plus cilastatin in bronchial secretion","Fraschini F., Scaglione F., Cogo R., Casali W., Falchi M., Gattei G.",00093157,"Chemotherapy",34, 1,2,0,0,0,0,2
1988,"Non-interference of xibornol on the theophylline blood levels","Fraschini F., Scaglione F., Maierna G., Savio G., Gattei G., Falchi M.",02511649,"International Journal of Clinical Pharmacology Research",8, 1,0,0,0,0,0,0
1987,"Distribution of ceftriaxone in the tissues of the female genital system","Fraschini F., Zoncada F., Scaglione F., Radaelli U., Miraglia M., Valmaggi P., Falchi M., Ripamonti L.",02511649,"International Journal of Clinical Pharmacology Research",7, 6,0,0,0,0,0,0
1987,"Erythromycin stearate prostatic levels in adult men","Fraschini F., Scaglione F., Copponi V., Falchi M., Gagliardi V., Gattei G., Zecca L.",00099325,"Clinical Trials Journal",24, 3,0,0,0,0,0,0
1986,"Problems of antibiotic therapy in infections of the oral cavity | Problemas da antibioterapia nas infecções da cavidade bucal.","Fraschini F., Falchi M.",08704287,"Stoma (Lisbon, Portugal)",1, 3,0,0,0,0,0,0
1986,"Therapy of respiratory tract infections joined to hypersecretion: Criteria for the combined use of antibiotics and mucolytics","Fraschini F., D'Orsi S., Falchi M.",0011393X,"Current Therapeutic Research - Clinical and Experimental",40, 5,0,0,0,0,0,0
1986,"Ceftriaxone therapy in otolaryngological and pulmonary infections","Fraschini F., Braga P.C., Falchi M.",00093157,"Chemotherapy",32, 3,0,0,0,0,0,0
1985,"Penetration of erythromycin into tonsillar tissue","Falchi M., Teodori F., Carraro A.",03007995,"Current Medical Research and Opinion",9, 9,2,0,0,0,0,2
1985,"Ceftriaxone in the treatment of the infections of the lower and higher respiratory tract, of the tonsils, of the sinuses | IL CEFTRIAXONE NELLA TERAPIA DELLE INFEZIONI DELLE BASSE ED ALTE VIE AEREE, DELLE TONSILLE, DELL'ORECCHIO MEDIO ED ESTERNO E DELLE CAVITA SINUSALI","Fraschini F., Braga P.C., Falchi M.",00170321,"Giornale di Malattie Infettive e Parassitarie",37, 1-3,0,0,0,0,0,0
1985,"Flumethasone pivalate (Locorten) in the treatment of oral diseases","Scaglione F., Falchi M., Bichisao E., Fraschini F.",03786501,"Drugs under Experimental and Clinical Research",11, 8,6,0,2,2,0,8
1985,"Chemotherapeutic agents and future fertility","Fraschini F., Zoncada F., Falchi M.",05872421,"Acta Europaea Fertilitatis",16, 3,2,0,0,0,0,2
1984,"Resistance to chemioantibiotics of Salmonella strains isolated from people employed in food production and distribution in 1982","Gelosa L., Falchi M.",00212547,"Bollettino dell'Istituto Sieroterapico Milanese",63, 5,0,0,0,0,0,0
