,"Author: Fenwick, Alan J.",,,,,,,,,,,
2006,"Morbidity due to Schistosoma mansoni: an epidemiological assessment of distended abdomen syndrome in Ugandan school children with observations before and 1-year after anthelminthic chemotherapy","Balen J., Stothard J.R., Kabatereine N.B., Tukahebwa E.M., Kazibwe F., Whawell S., Webster J.P., Utzinger J., Fenwick A.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",100, 11,0,2,0,2,0,2
2006,"Multimedia materials for education, training, and advocacy in international health: Experiences with the Schistosomiasis Control Initiative CD-ROM","Beanland T.J., Lacey S.D., Melkman D.D., Palmer S., Stothard J.R., Fleming F., Fenwick A.",00740276,"Memorias do Instituto Oswaldo Cruz",101, 1,0,0,0,0,0,0
2006,"A combined school- and community-based campaign targeting all school-age children of Burkina Faso against schistosomiasis and soil-transmitted helminthiasis: Performance, financial costs and implications for sustainability","Gabrielli A.-F., Sanou S., Fenwick A., Toure S., Sellin B., Sellin E., Ky C., Ouedraogo H., Yaogho M., Wilson M.D., Thompson H.",0001706X,"Acta Tropica",99, 2-3,0,1,4,5,0,5
2006,"Waterborne infectious diseases - Could they be consigned to history?","Fenwick A.",00368075,"Science",313, 5790,0,7,7,14,7,21
2006,"Authors' reply [6]","Hotez P.J., Molyneux D.H., Fenwick A., Ottesen E., Sachs S.E., Sachs J.D.",15491277,"PLoS Medicine",3, 6,0,0,0,0,0,0
2006,"Implementation of national schistosomiasis control programmes in West Africa","Garba A., Toure S., Dembele R., Bosque-Oliva E., Fenwick A.",14714922,"Trends in Parasitology",22, 7,2,5,6,11,1,14
2006,"A blueprint for success: integration of neglected tropical disease control programmes","Lammie P.J., Fenwick A., Utzinger J.",14714922,"Trends in Parasitology",22, 7,4,12,17,29,6,39
2006,"Implementation of Human Schistosomiasis Control: Challenges and Prospects","Fenwick A., Rollinson D., Southgate V.",0065308X,"Advances in Parasitology",61, ,4,7,12,19,4,27
2006,"Incorporating a rapid-impact package for neglected tropical diseases with programs for HIV/AIDS, tuberculosis, and malaria: A comprehensive pro-poor health policy and strategy for the developing world","Hotez P.J., Molyneux D.H., Fenwick A., Ottesen E., Sachs S.E., Sachs J.D.",15491277,"PLoS Medicine",3, 5,4,6,3,9,3,16
2006,"Epidemiology, burden and control of schistosomiasis with particular consideration to past and current treatment trends","Fenwick A., Keiser J., Utzinger J.",03778282,"Drugs of the Future",31, 5,0,9,1,10,1,11
2006,"Bayesian spatial analysis and disease mapping: Tools to enhance planning and implementation of a schistosomiasis control programme in Tanzania","Clements A.C.A., Lwambo N.J.S., Blair L., Nyandindi U., Kaatano G., Kinung'hi S., Webster J.P., Fenwick A., Brooker S.",13602276,"Tropical Medicine and International Health",11, 4,5,5,5,10,6,21
2006,"Authors' reply [3]","Hotez P.J., Sabin A.B., Molyneux D.H., Fenwick A., Ottesen E., Sachs S.E., Sachs J.D.",15491277,"PLoS Medicine",3, 4,0,0,0,0,0,0
2006,"New initiatives against Africa's worms","Fenwick A.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",100, 3,14,9,11,20,4,38
2006,"Progress towards countrywide control of schistosomiasis and soil-transmitted helminthiasis in Uganda","Kabatereine N.B., Webster J.P., Fenwick A., Tukahebwa E., Kazibwe F., Namwangye H., Zaramba S., Brooker S., Stothard J.R., Kamenka C., Whawell S.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",100, 3,8,3,4,7,4,19
2006,"The Lancet's chronic diseases series [3]","Hotez P., Stoever K., Fenwick A., Molyneux D., Savioli L.",01406736,"Lancet",367, 9510,0,0,1,1,0,1
2006,"Use of circulating cathodic antigen (CCA) dipsticks for detection of intestinal and urinary schistosomiasis","Stothard J.R., Kabatereine N.B., Tukahebwa E.M., Kazibwe F., Rollinson D., Mathieson W., Webster J.P., Fenwick A.",0001706X,"Acta Tropica",97, 2,2,2,6,8,3,13
2006,"Incorporating a rapid-impact package for neglected tropical diseases with programs for HIV/AIDS, tuberculosis, and malaria.","Hotez P.J., Molyneux D.H., Fenwick A., Ottesen E., Ehrlich Sachs S., Sachs J.D.",15491676,"PLoS medicine",3, 5,25,40,43,83,19,127
2006,"Schistosoma mansoni in pregnancy and associations with anaemia in northwest Tanzania","Ajanga A., Lwambo N.J.S., Blair L., Nyandindi U., Fenwick A., Brooker S.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",100, 1,4,5,3,8,3,15
2005,"Field evaluation of the Meade Readiview handheld microscope for diagnosis of intestinal schistosomiasis in Ugandan school children","Stothard J.R., Kabatereine N.B., Tukahebwa E.M., Kazibwe F., Mathieson W., Webster J.P., Fenwick A.",00029637,"American Journal of Tropical Medicine and Hygiene",73, 5,3,0,0,0,1,4
2005,"""Rapid-impact interventions"": How a policy of integrated control for Africa's neglected tropical diseases could benefit the poor","Molyneux D.H., Hotez P.J., Fenwick A.",15491277,"PLoS Medicine",2, 11,24,14,13,27,4,55
2005,"Short communication: Soil-transmitted helminthiasis in Uganda: Epidemiology and cost of control","Kabatereine N.B., Tukahebwa E.M., Kazibwe F., Twa-Twa J.M., Barenzi J.F.Z., Zaramba S., Stothard J.R., Fenwick A., Brooker S.",13602276,"Tropical Medicine and International Health",10, 11,6,2,2,4,1,11
2005,"""Rapid-impact interventions"": how a policy of integrated control for Africa's neglected tropical diseases could benefit the poor.","Molyneux D.H., Hotez P.J., Fenwick A.",15491676,"PLoS medicine.",2, 11,7,10,7,17,4,28
2005,"Foreword","Fenwick A.J., Wiercigroch M., Champneys A.R.",02724960,"IMA Journal of Applied Mathematics (Institute of Mathematics and Its Applications)",70, 5,0,0,0,0,0,0
2005,"Efficacy of myrrh in the treatment of human Schistosomiasis mansoni","Barakat R., Elmorshedy H., Fenwick A.",00029637,"American Journal of Tropical Medicine and Hygiene",73, 2,6,5,0,5,4,15
2005,"Rapid assessment of Schistosoma mansoni: The validity, applicability and cost-effectiveness of the Lot Quality Assurance Sampling method in Uganda","Brooker S., Kabatereine N.B., Myatt M., Stothard J.R., Fenwick A.",13602276,"Tropical Medicine and International Health",10, 7,8,5,1,6,3,17
2005,"Achieving the millennium development goals [4] (multiple letters)","Fenwick A., Molyneux D., Nantulya V., Adams S., Holdstock D., Rowson M.",01406736,"Lancet",365, 9464,18,9,7,16,3,37
2005,"The WHO dose pole for the administration of praziquantel is also accurate in non-African populations","Montresor A., Al-Awaidy S., Allen H., Engels D., Savioli L., Odermatt P., Muth S., Iwata F., Raja'a Y.A., Assis A.M., Zulkifli A., Kabatereine N.B., Fenwick A.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",99, 1,4,1,1,2,1,7
2004,"Evaluating the epidemiological impact of national control programmes for helminths","Brooker S., Whawell S., Kabatereine N.B., Fenwick A., Anderson R.M.",14714922,"Trends in Parasitology",20, 11,18,5,4,9,1,28
2004,"Schistosoma bovis in western Uganda","Stothard J.R., Lockyer A.E., Kabatereine N.B., Tukahebwa E.M., Kazibwe F., Rollinson D., Fenwick A.",0022149X,"Journal of Helminthology",78, 3,0,1,1,2,0,2
2004,"Schistosomiasis control [2] (multiple letters)","Savioli L., Engels D., Roungou J.B., Fenwick A., Endo H., Brooker S., Kabatereine N.B., Clements A.C.A., Stothard J.R.",01406736,"Lancet",363, 9409,6,1,0,1,1,8
2004,"Schistosomiasis control.","Savioli L., Engels D., Roungou J.B., Fenwick A., Endo H.",1474547X,"Lancet",363, 9409,6,1,1,2,2,10
2003,"Drugs for the control of parasitic diseases: Current status and development in schistosomiasis","Fenwick A., Savioli L., Engels D., Bergquist N.R., Todd M.H.",14714922,"Trends in Parasitology",19, 11,56,15,7,22,9,87
2001,"Schistosoma haematobium.","Reich M.R., Fenwick A.",00284793,"New England Journal of Medicine",344, 15,2,0,0,0,0,2
2001,"Schistosoma haematobium [4]","Boehm D., Pryce D.J., Reich M.R., Fenwick A., Kaplan B.S., Meyers K.E.C.",00284793,"New England Journal of Medicine",344, 15,4,0,0,0,0,4
2000,"The epidemiology of schistosomiasis in Egypt: Summary findings in nine governorates","El-Khoby T., Hammam H.M., Hussein M.H., Mikhail N.N.H., Cline B.L., Strickland G.T., Galal N., Fenwick A., Barakat R., El-Hawey A., Nooman Z., Habib M., Abdel-Wahab F., Gabr N.S.",00029637,"American Journal of Tropical Medicine and Hygiene",62, 2,28,1,6,7,4,39
2000,"Schistosomiasis in Egypt: Introduction","Fenwick A.",00029637,"American Journal of Tropical Medicine and Hygiene",62, 2,0,0,0,0,0,0
1998,"The USAID/Government of Egypt's Schistosomiasis Research Project (SRP)","El Khoby T., Galal N., Fenwick A.",01694758,"Parasitology Today",14, 3,15,1,1,2,3,20
1988,"Effect of antischistosomal chemotherapy on prevalence of Symmers' periportal fibrosis in Sudanese villages","Homeida M.A., DeFalla A.A., Kardaman M.W., Nash T., Fenwick A., Suliman S., ElTom I., Bennett J.L.",01406736,"Lancet",2, 8608,21,0,2,2,0,23
1988,"Praziquantel and oltipraz: The treatment of schoolchildren infected with Schistosoma mansoni and/or Schistosoma haematobium in Gezira, Sudan","El Tayeb M., Daffalla A.A., Kardaman M.W., See R., Fenwick A.",00034983,"Annals of Tropical Medicine and Parasitology",82, 1,1,0,0,0,0,1
1987,"Water supply systems in Blue Nile Health Project","Tameim O., Daffala A.A.R., Babbiker Mohamed A., Abdel Basit S., El Gaddal A.A., Fenwick A., Jobin W.R.",07339372,"Journal of Environmental Engineering",116, 6,0,0,0,0,0,0
1987,"Health aspects of water supply and sanitation.","Gaddal A.A., Fenwick A., Tameem O.",,"World water '86. Proc. ICE conference, London, 1986, (Telford)",, ,0,0,0,0,0,0
1987,"The role of molluscicides in schistosomiasis control","Fenwick A.",01694758,"Parasitology Today",3, 3,7,0,0,0,1,8
1985,"Treatment with praziquantel of schoolchildren with concurrent Schistosoma mansoni and S. haematobium infections in Gezira, Sudan","Kardaman M.W., Fenwick A., El Igail A.B.",00225304,"Journal of Tropical Medicine and Hygiene",88, 2,2,0,0,0,0,2
1985,"Field trials with Oltipraz against Schistosoma mansoni in the Gezira Irrigated Area, Sudan","Kardaman M.W., Fenwick A., El Igail A.B.",00225304,"Journal of Tropical Medicine and Hygiene",88, 2,2,0,0,0,0,2
1985,"Focality and seasonality of Schistosoma mansoni transmission in the Gezira Irrigated Area, Sudan","Babiker A., Fenwick A., Daffalla A.A., Amin M.A.",00225304,"Journal of Tropical Medicine and Hygiene",88, 2,6,1,0,1,0,7
1984,"Location of Biomphalaria pfeifferi by Schistosoma mansoni miracidia in stagnant and running water under field conditions","Babiker A., Fenwick A., Amin M.A.",00188158,"Hydrobiologia",110, 1,0,0,0,0,0,0
1984,"The invasion of Biomphalaria pfeifferi by Schistosoma mansoni miracidia and the development of daughter sporocysts","Babiker A., Amin M.A., Fenwick A.",00188158,"Hydrobiologia",110, 1,0,1,0,1,0,1
1983,"Marking snails with nail varnish as a field experimental technique","Fenwick A., Amin M.A.",00034983,"Annals of Tropical Medicine and Parasitology",77, 4,0,2,0,2,0,2
1983,"A field trial using praziquantel (Biltricide®) to treat Schistosoma mansoni and Schistosoma haematobium infection in Gezira, Sudan","Kardaman M.W., Amin M.A., Fenwick A.",00034983,"Annals of Tropical Medicine and Parasitology",77, 3,14,2,0,2,0,16
1982,"Resurgence of Schistosoma mansoni and Schistosoma haematobium after the end of a 4-year control programme against S. mansoni","Daffalla A.A., Fenwick A.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",76, 5,0,0,0,0,0,0
1982,"The assessment of a large snail control programme over a three-year period in the Gezira Irrigated Area of the Sudan","Amin M.A., Fenwick A., Teesdale C.H.",00034983,"Annals of Tropical Medicine and Parasitology",76, 4,2,0,0,0,0,2
1982,"Schistosomiasis among labouring communities in the Gezira irrigated area, Sudan","Fenwick A., Cheesmond A.K., Kardaman M.",00225304,"Journal of Tropical Medicine and Hygiene",85, 1,5,0,0,0,0,5
1981,"The role of field irrigation canals in the transmission of Schistosoma mansoni in the Gezira scheme, Sudan","Fenwick A., Cheesmond A.K., Amin M.A.",00429686,"Bulletin of the World Health Organization",59, 5,3,0,0,0,0,3
1981,"Human excretion behaviour in a schistosomiasis endemic area of the Geizira, Sudan","Cheesmond A.K., Fenwick A.",00225304,"Journal of Tropical Medicine and Hygiene",84, 3,4,0,1,1,0,5
1978,"The control of snails on a small scale","Amin A.H., Fenwick A.",00494755,"Tropical Doctor",8, 1,2,0,0,0,0,2
1977,"The development of an annual regimen for blanket snail control on the Gezira irrigated area of the Sudan","Amin M.A., Fenwick A.",00034983,"Annals of Tropical Medicine and Parasitology",71, 2,0,0,0,0,0,0
1976,"A large scale snail control trial with trifenmorph in the Gezira irrigation scheme, Sudan","Amin M.A., Fenwick A., Osgerby J.M.",00429686,"Bulletin of the World Health Organization",54, 5,1,0,0,0,0,1
1975,"Aerial application of N trityl morpholine to irrigation canals in Sudan","Amin M.A., Fenwick A.",00034983,"Annals of Tropical Medicine and Parasitology",69, 2,0,0,0,0,0,0
1972,"Bilharzioses in Sudan Democratic Republic. Preliminary results of a sero epidemiological survey in the Gezirah area | LES BILHARZIOSES EN REPUBLIQUE DEMOCRATIQUE DU SOUDAN. RESULTATS PRELIMINAIRES D'UNE ENQUETE SERO EPIDEMIOLOGIQUE DANS LA REGION DE GEZIRAH","Ambroise Thomas P., Amin M., Omer A.H.S., Fenwick A.",00379085,"Bulletin de la Societe de Pathologie Exotique et de ses Filiales",65, 5,0,0,0,0,0,0
1972,"The effect of Schistosoma mansoni infection of the productivity of cane cutters on a sugar estate in Tanzania.","Fenwick A., Figenschou B.H.",00429686,"Bulletin of the World Health Organization",47, 5,9,0,1,1,0,10
1972,"Effect of a control programme on transmission of Schistosoma mansoni on an irrigated estate in Tanzania.","Fenwick A.",00429686,"Bulletin of the World Health Organization",47, 3,1,0,0,0,0,1
1972,"The effect of a control programme against Schistosoma mansoni on the prevalence and intensity of infection on an irrigated sugar estate in northern Tanzania.","Fenwick A., Jorgensen T.A.",00429686,"Bulletin of the World Health Organization",47, 5,1,0,0,0,0,1
1972,"The costs and a cost-benefit analysis of an S. mansoni control programme on an irrigated sugar estate in northern Tanzania.","Fenwick A.",00429686,"Bulletin of the World Health Organization",47, 5,0,0,0,0,0,0
1971,"The control of Schistosoma mansoni on a sugar estate in Tanzania.","Fenwick A.",0012835X,"East African Medical Journal",48, 8,1,0,0,0,0,1
1970,"The development of snail control methods on an irrigated sugar-cane estate in northern Tanzania.","Fenwick A.",00429686,"Bulletin of the World Health Organization",42, 4,0,0,0,0,0,0
1970,"Attempts to eradicate snails from impounded water by the use of N-tritylmorpholine.","Fenwick A., Lidgate H.J.",00429686,"Bulletin of the World Health Organization",42, 4,0,0,0,0,0,0
1969,"Laboratory evaluation of biocidal rubber pellets 633B as a residual molluscicide against Biomphalaria pfeifferi.","Fenwick A.",00429686,"Bulletin of the World Health Organization",41, 2,0,0,0,0,0,0
