,"Author: Meeran, Professor Mohammed Karim;Meeran, Karim",,,,,,,,,,,,
2008,A case of severe hyponatraemia.,"Wynne K., Chaudhri O., Gorrigan R., Tan T., Meeran K.",14685833,BMJ (Clinical research ed.),337, ,0,0,0,0,0,0,0
2008,Elevated cocaine- and amphetamine-regulated transcript immunoreactivity in the circulation of patients with neuroendocrine malignancy,"Bech P., Winstanley V., Murphy K.G., Sam A.H., Meeran K., Ghatei M.A., Bloom S.R.",0021972X,Journal of Clinical Endocrinology and Metabolism,93,4,0,0,1,1,2,0,2
2008,The pursuit of beauty,"Druce M., Goldstone A.P., Tan T.M., Meeran K.",1406736,The Lancet,371,9612,0,0,0,0,0,0,0
2008,Measurement of basal growth hormone (GH) is a useful test of disease activity in treated acromegalic patients,"Jayasena C.N., Wujanto C., Donaldson M., Todd J.F., Meeran K.",3000664,Clinical Endocrinology,68,1,0,0,0,2,2,0,2
2007,Putative auto-infarct of a pancreatic gastrinoma,"Wynne K., Wren A., Meeran K.",19416628,Journal of Gastrointestinal Cancer,38, 2-4,0,0,0,0,0,0,0
2007,The dexamethasone-suppressed corticotropin-releasing hormone stimulation test and the desmopressin test to distinguish Cushing's syndrome from pseudo-Cushing's states [2],"Martin N.M., Dhillo W.S., Meeran K.",3000664,Clinical Endocrinology,67,3,0,0,0,0,0,0,0
2007,Pituitary macroadenomas: Are combination antiplatelet and anticoagulant therapy contraindicated? A case report,"Tan T.M.M., Caputo C., Mehta A., Hatfield E.C.I., Martin N.M., Meeran K.",17521947,Journal of Medical Case Reports,1, ,0,0,0,0,0,0,0
2007,Continuity in clinical education [9],"Noimark D.J., Meeran K.",284793,New England Journal of Medicine,356,25,0,0,0,0,0,0,0
2007,Endocrinology,"Sam A.H., Dhillo W.S., Meeran K.",13573039,Medicine,35,2,0,0,0,0,0,0,0
2006,Oxyntomodulin increases energy expenditure in addition to decreasing energy intake in overweight and obese humans: A randomised controlled trial,"Wynne K., Park A.J., Small C.J., Meeran K., Ghatei M.A., Frost G.S., Bloom S.R.",3070565,International Journal of Obesity,30,12,2,9,13,6,28,0,30
2006,Microinjection of galanin-like peptide into the medial preoptic area stimulates food intake in adult male rats,"Patterson M., Murphy K.G., Thompson E.L., Smith K.L., Meeran K., Ghatei M.A., Bloom S.R.",9538194,Journal of Neuroendocrinology,18,10,0,3,1,3,7,0,7
2006,Comparison of the dexamethasone-suppressed corticotropin-releasing hormone test and low-dose dexamethasone suppression test in the diagnosis of cushing's syndrome,"Martin N.M., Dhillo W.S., Banerjee A., Abdulali A., Jayasena C.N., Donaldson M., Todd J.F., Meeran K.",0021972X,Journal of Clinical Endocrinology and Metabolism,91,7,0,6,7,1,14,0,14
2006,Inhaled insulin: Concerns remain [9],"Martin N.M., Meeran K.",9598146,British Medical Journal,332,7552,0,0,0,0,0,0,0
2006,Plasma gastrin measurement cannot be used to diagnose a gastrinoma in patients on either proton pump inhibitors or histamine type-2 receptor antagonists,"Dhillo W.S., Jayasena C.N., Lewis C.J., Martin N.M., Tang K.C.N., Meeran K., Todd J.F.",45632,Annals of Clinical Biochemistry,43,2,4,2,1,0,3,0,7
2005,Agouti related protein (AgRP) is upregulated in Cushing's syndrome,"Dhillo W.S., Gardiner J.V., Castle L., Bewick C.A., Smith K.L., Meeran K., Todd J.F., Ghatei M.A., Bloom S.R.",9477349,Experimental and Clinical Endocrinology and Diabetes,113,10,0,3,0,0,3,0,3
2005,"Subcutaneous oxyntomodulin reduces body weight in overweight and obese subjects: A double-blind, randomized, controlled trial","Wynne K., Ghatei M.A., Bloom S.R., Park A.J., Small C.J., Patterson M., Ellis S.M., Murphy K.G., Wren A.M., Frost G.S., Meeran K.",121797,Diabetes,54,8,25,21,16,10,47,0,72
2005,A case of excess growth hormone levels.,"Shariff M., Dhillo W.S., Seal L.J., Todd J.F., Meeran K.",1368504X,International journal of clinical practice. Supplement,,147,0,0,0,0,0,0,0
2005,Changes in the expression of somatostatin receptor imaging following Y-90 lanreotide therapy for carcinoid tumor: A flare response?,"Popadic S., Al-Nahhas A., Naili Q., Todd J., Meeran K.",3639762,Clinical Nuclear Medicine,30,4,0,0,1,0,1,0,1
2005,A case of excess growth hormone levels,"Shariff M., Dhillo W.S., Seal L.J., Todd J.F., Meeran K.",13685031,International Journal of Clinical Practice,59,147,0,0,0,0,0,0,0
2005,Localization of gastrinomas by selective intra-arterial calcium injection in patients on proton pump inhibitor or H2 receptor antagonist therapy,"Dhillo W.S., Jayasena C.N.L., Jackson J.E., Lynn J.A., Bloom S.R., Meeran K., Todd J.F.",0954691X,European Journal of Gastroenterology and Hepatology,17,4,1,1,0,1,2,0,3
2005,"Peripheral arterial compliance differs between races: Comparison among Asian, Afro-Caribbeans, and white Caucasians with type 2 diabetes [1]","Pinto E.S., Mensah R., Meeran K., Cameron J.D., Murugaesu N., Bulpitt C.J., Rajkumar C.",1495992,Diabetes Care,28,2,1,2,1,0,3,0,4
2005,Neuroendocrine tumors gut hormones,"Barakat M.T., Meeran K.",10683097,Current Opinion in Endocrinology and Diabetes,12,1,0,0,0,0,0,0,0
2004,Erratum: Subcutaneous octreotide in cluster headache: Randomized placebo-controlled double-blind crossover study (Annals of Neurology (October 2004) 56 (488-494)),"Matharu M.S., Levy M.J., Meeran K., Goadsby P.J.",3645134,Annals of Neurology,56,5,0,0,0,0,0,0,0
2004,Subcutaneous octreotide in cluster headache: Randomized placebo-controlled double-blind crossover study,"Matharu M.S., Levy M.J., Meeran K., Goadsby P.J.",3645134,Annals of Neurology,56,4,16,10,7,8,25,0,41
2004,Severe hypercalcaemia from secretion of parathyroid hormone-related peptide,"Barakat M.T., Ashrafian H., Todd J.F., Meeran K., Williams G.R.",14702045,Lancet Oncology,5,10,0,1,0,1,2,0,2
2004,Pituitary Volume and Headache: Size Is Not Everything,"Levy M.J., Jager H.R., Powell M., Matharu M.S., Meeran K., Goadsby P.J.",39942,Archives of Neurology,61,5,9,3,5,5,13,0,22
2004,Neuroendocrine tumours,"Barakat M.T., Meeran K., Bloom S.R.",13510088,Endocrine-Related Cancer,11,1,27,11,18,10,39,0,66
2003,Acromegaly: A unique human headache model,"Levy M.J., Bejon P., Barakat M., Goadsby P.J., Meeran K.",178748,Headache,43,7,6,0,3,1,4,0,10
2003,Interfering antibodies affecting immunoassays in woman with pet rabbits,"Park A., Edwards M., Donaldson M., Ghatei M., Meeran K.",9598146,British Medical Journal,326,7388,1,0,1,1,2,0,3
2003,A tumour that secretes glucagon-like peptide-1 and somatostatin in a patient with reactive hypoglycaemia and diabetes,"Todd J.F., Stanley S.A., Roufosse C.A., Bishop A.E., Khoo B., Bloom S.R., Meeran K.",1406736,Lancet,361,9353,8,4,1,3,8,0,16
2002,Localization of gastrinomas by selective intra-arterial calcium injection,"Turner J.J.O., Wren A.M., Jackson J.E., Thakker R.V., Meeran K.",3000664,Clinical Endocrinology,57,6,11,3,3,2,8,0,19
2002,Digenic inheritance of severe insulin resistance in a human pedigree,"Savage D.B., Soos M.A., George S., Berger D., Thomas E.L., Bell J.D., Meeran K., Ross R.J., Vidal-Puig A., Wareham N.J., O'Rahilly S., Agostini M., Chatterjee V.K.K., Schafer A.J., Barroso I., Gurnell M., Luan J., Meirhaeghe A., Harding A.-H., Ihrke G., Rajanayagam O.",10614036,Nature Genetics,31,4,56,15,10,1,26,0,82
2002,Cortisol-binding globulin is important in the interpretation of dynamic tests of the hypothalamic-pituitary-adrenal axis,"Dhillo W.S., Kong W.M., Le Roux C.W., Alaghband-Zadeh J., Jones J., Carter G., Mendoza N., Meeran K., O'Shea D.",8044643,European Journal of Endocrinology,146,2,10,6,4,3,13,0,23
2001,Pituitary carcinoma as a cause of acromegaly [5],"Le Roux C.W., Mulla A., Meeran K.",284793,New England Journal of Medicine,345,22,4,0,0,0,0,0,4
2000,The tumour vanishes,"Todd J.F., Meeran K., Monson J.P.",3000664,Clinical Endocrinology,53,6,1,0,0,0,0,0,1
2000,Islet cell tumours: Diagnosis and medical management,"Taheri S., Meeran K.",14623935,Hospital Medicine,61,12,1,0,1,0,1,0,2
2000,An unusual cause of Cushing's syndrome: Primary pigmented nodular adrenal dysplasia,"Sofat N., Turner J., Khoo B., Sohail M., Krausz T., Evans P., Meeran K.",13685031,International Journal of Clinical Practice,54,4,0,1,1,0,2,0,2
1999,Repeated intracerebroventricular administration of glucagon-like peptide-1-(7-36) amide or exendin-(9-39) alters body weight in the rat,"Meeran K., Goldstone A.P., Taylor G.M., Sunter D., Steere J., Choi S.J., Ghatei M.A., Bloom S.R., O'Shea D., Edwards C.M.B., Turton M.D., Heath M.M., Gunn I., Abusnana S., Rossi M., Small C.J.",137227,Endocrinology,140,1,84,12,16,13,41,0,125
1998,A common and recurrent 13-bp deletion in the autoimmune regulator gene in British kindreds with autoimmune polyendocrinopathy type 1,"Pearce S.H.S., Smith C.S., Toft A.D., Williams G., Kendall-Taylor P., Cheetham T., Imrie H., Vaidya B., Barnes N.D., Bilous R.W., Carr D., Meeran K., Shaw N.J.",29297,American Journal of Human Genetics,63,6,63,6,3,8,17,0,80
1998,Effects of keratinocyte growth factor (KGF) on gut growth and repair,"Playford R.J., Marchbank T., Mandir N., Higham A., Meeran K., Ghatei M.A., Bloom S.R., Goodlad R.A.",223417,Journal of Pathology,184,3,32,1,2,0,3,0,35
1997,Regulation of hepatic enzymes and insulin levels in offspring of rat dams fed a reduced-protein diet,"Desai M., Byrne C.D., Meeran K., Martenz N.D., Bloom S.R., Hales C.N.",1931857,American Journal of Physiology - Gastrointestinal and Liver Physiology,273,4,31,5,2,1,8,0,39
1997,Peptide analogue studies of the hypothalamic neuropeptide Y receptor mediating pituitary adrenocorticotrophic hormone release,"Small C.J., Rossi M., Goldstone A.P., O'Shea D., Smith D.M., Ghatei M.A., Bloom S.R., Morgan D.G.A., Meeran K., Heath M.M., Gunn I., Edwards C.M.B., Gardiner J., Taylor G.M., Hurley J.D.",278424,Proceedings of the National Academy of Sciences of the United States of America,94,21,33,4,0,2,6,0,39
1997,Leptin interacts with glucagon-like peptide-1 neurons to reduce food intake and body weight in rodents,"Goldstone A.P., Small C., Heath M.M., O'Shea D., Steere J., Meeran K., Ghatei M.A., Hoggard N., Bloom S.R., Mercer J.G., Gunn I., Moar K.M., Edwards C.M.B., Rossi M., Howard J.K., Rasheed S., Turton M.D.",145793,FEBS Letters,415,2,71,1,7,1,9,0,80
1997,The physiology of the endocrine system,"Lyons F.M., Meeran K.",205907,International Anesthesiology Clinics,35,4,1,1,0,1,2,0,3
1997,Circulating adrenomedullin does not regulate systemic blood pressure but increases plasma prolactin after intravenous infusion in humans: A pharmacokinetic study,"Meeran K., O'Shea D., Upton P.D., Small C.J., Ghatei M.A., Byfield P.H., Bloom S.R.",0021972X,Journal of Clinical Endocrinology and Metabolism,82,1,57,5,2,6,13,0,70
1997,Neuropeptide Y induced feeding in the rat is mediated by a novel receptor,"O'Shea D., Howard J.K., Bloom C.I., Small C.J., Haddo O., Ma J.J., Callinan W., Smith D.M., Ghatei M.A., Bloom S.R., Morgan D.G.A., Meeran K., Edwards C.M.B., Turton M.D., Choi S.J., Heath M.M., Gunn I., Taylor G.M.",137227,Endocrinology,138,1,101,3,2,1,6,0,107
1996,Weight loss in rats treated with intracerebroventricular cobalt protoporphyrin is not specific to the neuropeptide Y system,"Choi S.J., Meeran K., O'Shea D., Lambert P.D., Bloom S.R.",68993,Brain Research,729,2,3,0,0,0,0,0,3
1996,Adrenomedullin inhibits feeding in the rat by a mechanism involving calcitonin gene-related peptide receptors,"Taylor G.M., Meeran K., O'Shea D., Smith D.M., Ghatei M.A., Bloom S.R.",137227,Endocrinology,137,8,50,3,2,1,6,0,56
1996,A role for glucagon-like peptide-1 in the central regulation of feeding,"Turton M.D., Lambert P.D., Wilding J.P.H., Smith D.M., Ghatei M.A., Herbert J., Bloom S.R., O'Shea D., Gunn I., Beak S.A., Edwards C.M.B., Meeran K., Choi S.J., Taylor G.M., Heath M.M.",280836,Nature,379,6560,552,67,66,40,173,0,725
1995,Oral and inhaled corticosteroids reduce bone formation as shown by plasma osteocalcin levels,"Meeran K., Hattersley A., Burrin J., Shiner R., Ibbertson K.",1073449X,American Journal of Respiratory and Critical Care Medicine,151, 2 I,51,2,1,0,3,0,54
1994,"Lewis phenotypes, insulin resistance, and risk of ischaemic heart disease","Meeran K., Bloom S.R.",70769,British Heart Journal,71,4,5,0,0,0,0,0,5
1994,The effect of long- and short-term corticosteroids on plasma calcitonin and parathyroid hormone levels,"Hattersley A.T., Meeran K., Burrin J., Hill P., Shiner R., Ibbertson H.K.",0171967X,Calcified Tissue International,54,3,30,1,2,0,3,0,33
1993,Chloroquine poisoning. Rapidly fatal without treatment,"Meeran K., Davies K.A.A., Whyte M., Jacobs M.G., Scott J., McNeil N.I., Lynn W.A., Cohen J., Pusey C.D., Phillips J.A., Wallis S.C.",9598146,British Medical Journal,307,6895,10,1,0,0,1,0,11
1993,Venepuncture causes rapid rise in plasma ACTH,"Meeran K., Hattersley A., Mould G., Bloom S.R.",70947,British Journal of Clinical Practice,47,5,16,3,2,4,9,0,25
1993,Hypokalaemia in acute Refsum's disease,"Dick J.P.R., Meeran K., Gibbert F.B., Rose F.C.",1410768,Journal of the Royal Society of Medicine,86,3,2,0,1,0,1,0,3
1992,Bone turnover during short course prednisolone treatment in patients with chronic obstructive airways disease [3],"Meeran K., Morrison D., Ali N.J., Routledge P.A., Capewell S.",406376,Thorax,47,12,0,0,0,0,0,0,0
1991,Cutaneous aspects of Refsum's disease,"Ramsay B.C., Meeran K., Woodrow D., Judge M., Cream J.J., Rose F.C., Gibberd F.B.",1410768,Journal of the Royal Society of Medicine,84,9,1,1,2,0,3,0,4
1989,Prevalence of HIV infection among patients with leprosy and tuberculosis in rural Zambia,Meeran K.,2670623,British Medical Journal,298,6670,18,1,1,0,2,0,20
