,"Author: Gregory-Evans, Cheryl Y.",,,,,,,,,,,
2006,"RANTES stimulates Ca2+ mobilization and inositol trisphosphate (IP3) formation in cells transfected with G protein-coupled receptor 75","Ignatov A., Robert J., Gregory-Evans C., Schaller H.C.",00071188,"British Journal of Pharmacology",149, 5,1,1,3,4,1,6
2004,"Ocular coloboma: A reassessment in the age of molecular neuroscience","Gregory-Evans C.Y., Williams M.J., Halford S., Gregory-Evans K.",00222593,"Journal of Medical Genetics",41, 12,5,13,11,24,4,33
2004,"Ocular coloboma and high myopia with Hirschsprung disease associated with a novel ZFHX1B missense mutation and trisomy 21","Gregory-Evans C.Y., Vieira H., Dalton R., Adams G.G.W., Salt A., Gregory-Evans K.",15524825,"American Journal of Medical Genetics",131, 1,7,3,4,7,2,16
2004,"Mutations in LRP5 or FZD4 Underlie the Common Familial Exudative Vitreoretinopathy Locus on Chromosome 11q","Toomes C., Trembath R., Woodruff G., Gregory-Evans C.Y., Gregory-Evans K., Parker M.J., Black G.C.M., Downey L.M., Zhang K., Inglehearn C.F., Bottomley H.M., Jackson R.M., Towns K.V., Scott S., Mackey D.A., Craig J.E., Jiang L., Yang Z.",00029297,"American Journal of Human Genetics",74, 4,43,20,19,39,6,88
2004,"Sorsby fundus dystrophy presenting with choroidal neovascularisation showing good response to steroid treatment [4]","Atan D., Gregory Evans C.Y., Louis D., Downes S.M.",00071161,"British Journal of Ophthalmology",88, 3,4,1,1,2,0,6
2003,"Transcriptional Regulation and Expression of the Dominant Drusen Gene FBLN3 (EFEMP1) in Mammalian Retina","Blackburn J., Tarttelin E.E., Gregory-Evans C.Y., Moosajee M., Gregory-Evans K.",01460404,"Investigative Ophthalmology and Visual Science",44, 11,9,3,0,3,2,14
2003,"Gene structure and tissue expression of human selenoprotein W, SEPW1, and identification of a retroprocessed pseudogene, SEPW1P","Bellingham J., Gregory-Evans K., Fox M.F., Gregory-Evans C.Y.",01674781,"Biochimica et Biophysica Acta - Gene Structure and Expression",1627, 2-3,2,0,0,0,1,3
2003,"Successful photodynamic therapy for subretinal neovascularisation due to Sorsby's fundus dystrophy: 1 Year follow up [8]","Wong S.C., Fong K.C.S., Lee N., Gregory-Evans K., Gregory-Evans C.Y.",00071161,"British Journal of Ophthalmology",87, 6,5,0,2,2,0,7
2003,"Expression of opsin genes early in ocular development of humans and mice","Tarttelin E.E., Bellingham J., Bibb L.C., Foster R.G., Hankins M.W., Gregory-Evans K., Gregory-Evans C.Y., Wells D.J., Lucas R.J.",00144835,"Experimental Eye Research",76, 3,13,2,1,3,1,17
2002,"Characterization of the genomic and transcriptional structure of the CRX gene: Substantial differences between human and mouse","Hodges M.D., Vieira H., Gregory-Evans K., Gregory-Evans C.Y.",08887543,"Genomics",80, 5,1,0,1,1,0,2
2002,"First genomic localization of oculo-oto-dental syndrome with linkage to chromosome 20q13.1","Vieira H., Gregory-Evans K., Lim N., Brookes J.L., Brueton L.A., Gregory-Evans C.Y.",01460404,"Investigative Ophthalmology and Visual Science",43, 8,3,3,1,4,1,8
2001,"De novo mutations in the 5' regulatory region of the Norrie disease gene in retinopathy of prematurity.","Talks S.J., Ebenezer N., Hykin P., Adams G., Yang F., Schulenberg E., Gregory-Evans K., Gregory-Evans C.Y.",14686244,"Journal of medical genetics",38, 12,7,3,0,3,1,11
2001,"Chromosomal mapping, gene structure and characterization of the human and murine RAB27B gene.","Ramalho J.S., Tolmachova T., Hume A.N., McGuigan A., Gregory-Evans C.Y., Huxley C., Seabra M.C.",14712156,"BMC genetics [electronic resource]",2, 1,6,1,0,1,2,9
2001,"Assignment of BCL2L11 to human chromosome band 2p13 with somatic cell and radiation hybrids","Murray S., Halford S., Ebenezer N.D., Gregory-Evans C.Y., Bhattacharya S.S.",03010171,"Cytogenetics and Cell Genetics",92, 3-4,0,0,0,0,0,0
2001,"Temporal and spatial expression patterns of the CRX transcription factor and its downstream targets. Critical differences during human and mouse eye development","Bibb L.C., Holt J.K.L., Tarttelin E.E., Hodges M.D., Gregory-Evans K., Rutherford A., Lucas R.J., Sowden J.C., Gregory-Evans C.Y.",09646906,"Human Molecular Genetics",10, 15,34,7,2,9,3,46
2001,"Molecular genetic heterogeneity in autosomal dominant drusen","Tarttelin E.E., Gregory-Evans C.Y., Bird A.C., Weleber R.G., Klein M.L., Blackburn J., Gregory-Evans K.",00222593,"Journal of Medical Genetics",38, 6,10,0,0,0,0,10
2001,"Chromosomal mapping, gene structure and characterization of the human and murine RAB27B gene","Ramalho J.S., Tolmachova T., Hume A.N., McGuigan A., Gregory-Evans C.Y., Huxley C., Seabra M.C.",14712156,"BMC Genetics",2, ,14,2,0,2,2,18
2000,"Autosomal dominant cone-rod retinal dystrophy (CORD6) from heterozygous mutation of GUCY2D, which encodes retinal guanylate cyclase","Gregory-Evans K., Hunt D.M., Bird A.C., Moore A.T., Kelsell R.E., Gregory-Evans C.Y., Downes S.M., Fitzke F.W., Holder G.E., Simunovic M., Mollon J.D., Taylor R.",01616420,"Ophthalmology",107, 1,33,3,1,4,0,37
1999,"Cloning and characterization of a novel orphan G-protein-coupled receptor localized to human chromosome 2p16","Tarttelin E.E., Kirschner L.S., Bellingham J., Baffi J., Taymans S.E., Gregory-Evans K., Csaky K., Stratakis C.A., Gregory-Evans C.Y.",0006291X,"Biochemical and Biophysical Research Communications",260, 1,7,0,0,0,0,7
1999,"Refined genetic and physical positioning of the gene for Doyne honeycomb retinal dystrophy (DHRD)","Kermani S., Gregory-Evans K., Tarttelin E.E., Bellingham J., Plant C., Bird A.C., Fox M., Bhattacharya S.S., Gregory-Evans C.Y.",03406717,"Human Genetics",104, 1,9,0,0,0,0,9
1998,"Sequence and tissue expression of a novel human carbonic anhydrase-related protein, CARP-2, mapping to chromosome 19q13.3","Bellingham J., Gregory-Evans K., Gregory-Evans C.Y.",0006291X,"Biochemical and Biophysical Research Communications",253, 2,9,0,0,0,1,10
1998,"Abnormal cone synapses in human cone-rod dystrophy","Gregory-Evans K., Fariss R.N., Possin D.E., Gregory-Evans C.Y., Milam A.H.",01616420,"Ophthalmology",105, 12,15,3,1,4,2,21
1998,"Localization of a gene (CORD7) for a dominant cone-rod dystrophy to chromosome 6q [5]","Kelsell R.E., Gregory-Evans K., Gregory-Evans C.Y., Holder G.E., Jay M.R., Weber B.H.F., Moore A.T., Bird A.C., Hunt D.M.",00029297,"American Journal of Human Genetics",63, 1,42,1,2,3,0,45
1998,"Microsatellite markers for the cone-rod retinal dystrophy gene, CRX, on 19q13.3 [2]","Bellingham J., Gregory-Evans C.",00222593,"Journal of Medical Genetics",35, 6,2,0,0,0,0,2
1998,"A new family of Greek origin maps to the CRD locus for autosomal dominant cone-rod dystrophy on 19q","Papaioannou M., Bessant D., Payne A., Bellingham J., Rougas C., Loutradis-Anagnostou A., Gregory-Evans C., Balassopoulou A., Bhattacharya S.",00222593,"Journal of Medical Genetics",35, 5,1,0,0,0,0,1
1998,"A polymorphic dinucleotide repeat in the 5' flanking region of the human interleukin 11 (IL11) gene","Bellingham J., Gregory-Evans K., Gregory-Evans C.Y.",00937711,"Immunogenetics",47, 6,4,0,0,0,0,4
1998,"Mapping of human interferon regulatory factor 3 (IRF3) to chromosome 19q13.3-13.4 by an intragenic polymorphic marker","Bellingham J., Gregory-Evans K., Gregory-Evans C.Y.",00034800,"Annals of Human Genetics",62, 3,4,0,0,0,0,4
1997,"Cone-rod dystrophy due to mutations in a novel photoreceptor-specific homeobox gene (CRX) essential for maintenance of the photoreceptor","Freund C.L., Duncan A., Scherer S.W., Tsui L.-C., Loutradis-Anagnostou A., Jacobson S.G., Cepko C.L., Bhattacharya S.S., McInnes R.R., Gregory-Evans C.Y., Furukawa T., Papaioannou M., Looser J., Ploder L., Bellingham J., Ng D., Herbrick J.-A.S.",00928674,"Cell",91, 4,225,20,19,39,7,271
