,"Author: Bishop, Anne E.",,,,,,,,,,,
2005,"British society for matrix biology autumn meeting","Sudre L., Edwards D.R., Kellam B., Shakesheff K.M., Comerford E.J., Tarlton J.F., Wales A., Bailey A.J., Innes J.F., Olivier V., Xie Y., Descamps M., Parker A.E., Hivart P., Lu J., Hardouin P., Anderson V., Spiller D.G., Vaughan-Thomas A., Eissa S.Z.S., Faram T., Birch H.L., Zeugolis D., Clark I.M., Paul G., Attenburrow G., Bhadal N., Whawell S.A., Worrall L.K., Rose F.R.A.J., Bradshaw T.D., Stevens M.F.G., Chuo C.B., Wiseman M.A., Boubriak O.A., Phillips J.B., Brown R.A., Harrison C.A., Gossiel F., Bullock A.J., Blumsohn A., Li Z., Derham B., Gaissmaier C., Fritz J., Urban J.P.G., Krackhardt T., Flesch I., Aicher W.K., Ashammakhi N., Liu K.-K., Yang Y., Ahearne M., Then K., El Haj A., Cheung I., Cui Z., Wright T.C., Kostyuk O., Baria K.E., Chowdhury T.T., Sharma A.M., Bomzon Z., Kimmel E., Knight M.M., Dickinson S., Pittarello L., Tew S.R., Fish R.S., Ralphs J.R., Farjanel J., Seve S., Borel A., Sommer P., Hulmes D.J.S., Whiting C.V., Dalton S.J., Mitchell D.C., Li Y., Kafienah W., Mistry S., Cartmell S., Magnay J., Dobson J., Appleby R.N., Salter D.M., Scutt N., Rolf C.G., Tweats L.M., Barry J.J.A., Nazhat S.N., Scotchford C.A., Howdle S.M., Roberts S., Gargiulo B., Evans E.H., Menage J., Johnson W.E.B., Eisenstein S., Hawkins R.E., Richardson J.B., Stenfeldt C., Avery N.C., Tidswell H., Crabtree J., Frazer A., Fraser S., Wong M., Beckett K., Grobbelaar A., Cheung F., Hardingham T.E., Mudera V., Bax D.V., Cain S.A., Humphries M.J., Lomas A., Oldershaw R., Murdoch A., Brennan K., Redman S., Haughton L., Green D., Dowthwaite G., Williams A., Archer C.W., Esfandiari E., Stokes C.R., Cox T.M., Evans M.J., Bailey M., Hayman A.R., Day M.J., Partridge K.A., Williams R., Evans D., Adesida A., Millwards-Sadler J., Smith R., Korda M., Porter R., Kalia P., Wiseman M., Leveque I., Blunn G., Goodship A., McClumpha A., Horrocks M., Pabbruwe M.B., Du X., Stewart K., Suciati T., Lakey R.L., Pennington C.J., Mann S., Cawston T.E., Palmer L., Tasman C., Clare M., Gidley J., Sandy J., Mansell J., Ellis T., Burger F., Lauder R., Oreffo R.O.C., Khan I., Smith M., Ball S.G., Kielty C.M., Qin M., Tai G., Kevorkian L., Polak J.M., Bishop A.E., Stolzing A., Scutt A., Screen H.R.C., Shelton J.C., Bader D.L., Lee D.A., Hall A., Hayes A., Young D.A., Brown L., Tubo R., Caterson B., Blain E.J., Gilbert S.J., Duance V.C., Davies L., Shengda Z., Darrah C., Wu M.-H., Xu X., Heywood H.K., Sims T., Miot S., Martin I., Roughley P.J., Soranzo C., Pavesio A., Hollander A.P., Donell S.T., Yang X., Webb D., Blaker J., Maquet V., Boccaccini A.R., Cooper C., Eves P., Beck A.J., Shard A.G., Gawkrodger D.J., Shepstone L., Mac Neil S., Rajpar M.H., Kadler K.E., Thornton D.J., Briggs M.D., Boot-Handford R.P., Ellis M.J., Tai C.-C., Perera S., Chaudhuri J.B., Porter S., Callender P., Mason D.J., Colley H., Mc Arthur S., Mirmalek-Sani S.H., Roach H.I., Hanley N.A., Wilson D.I., MacIntosh A.C., Brockbank S., Crawford A., Hatton P.V., Wallis G., Shah R., Knowles J.C., Hunt N.P., Lewis M.P., Rippon H.J., Ali B.E., De Bank P.A.",09599673,"International Journal of Experimental Pathology",86, 3,0,0,0,0,0,0
2005,"Analysis of the hypervariable region of the Salmonella enterica genome associated with tRNAleuX","Bishop A.L., Ivens A., Dougan G., Baker S., Jenks S., Fookes M., Gaora P.O., Pickard D., Anjum M., Farrar J., Hien T.T.",00219193,"Journal of Bacteriology",187, 7,3,4,5,9,4,16
2005,"Pantoprazole in severe acid-peptic disease: The effectiveness and safety of 5 years' continuous treatment","Bardhan K.D., McCaldin B., Bishop A.E., Polak J.M., Romanska H.M., Rowland A., Thompson M., Morris P., Schaefer-Preuss S., Luehmann R.",15908658,"Digestive and Liver Disease",37, 1,2,1,1,2,1,5
2004,"Differentiation of osteoblasts from murine embryonic stem cells by overexpression of the transcriptional factor osterix","Tai G., Polak J.M., Bishop A.E., Christodoulou I., Buttery L.D.K.",10763279,"Tissue Engineering",10, 9-10,13,11,9,20,5,38
2004,"Initial observations on the effect of medium composition on the differentiation of murine embryonic stem cells to alveolar type II cells","Rippon H.J., Ali N.N., Polak J.M., Bishop A.E.",15362302,"Cloning and Stem Cells",6, 2,12,4,5,9,2,23
2004,"In situ spectral monitoring of mRNA translation in embryonic stem cells during differentiation in vitro","Notingher I., Bisson I., Bishop A.E., Randle W.L., Polak J.M.P., Hench L.L.",00032700,"Analytical Chemistry",76, 11,22,3,7,10,5,37
2004,"A histological study of the hph-1 mouse mutant: An animal model of phenylketonuria and infantile hypertrophic pyloric stenosis","Abel R.M., Dore C.J., Bishop A.E., Facer P., Polak J.M., Spitz L.",03402096,"Journal of Veterinary Medicine Series C: Anatomia Histologia Embryologia",33, 3,0,0,0,0,0,0
2004,"Embryonic stem cells","Rippon H.J., Bishop A.E.",09607722,"Cell Proliferation",37, 1,34,7,4,11,4,49
2004,"Pulmonary epithelial stem cells","Bishop A.E.",09607722,"Cell Proliferation",37, 1,19,9,3,12,5,36
2003,"A tumour that secretes glucagon-like peptide-1 and somatostatin in a patient with reactive hypoglycaemia and diabetes","Todd J.F., Stanley S.A., Roufosse C.A., Bishop A.E., Khoo B., Bloom S.R., Meeran K.",01406736,"Lancet",361, 9353,8,4,1,5,3,16
2003,"The effect of 58S bioactive sol-gel derived foams on the growth of murine lung epithelial cells","Tan A., Romanska H.M., Lenza R., Jones J., Hench L.L., Polak J.M., Bishop A.E.",10139826,"Key Engineering Materials",240-242, ,1,0,0,0,0,1
2002,"iNOS gene upregulation is associated with the early proliferative response of human lung fibroblasts to cytokine stimulation","Romanska H.M., Polak J.M., Coleman R.A., James R.S., Harmer D.W., Allen J.C., Bishop A.E.",00223417,"Journal of Pathology",197, 3,9,4,1,5,2,16
2002,"Haematopoietic stem cells","Bishop A.E., Buttery L.D.K., Polak J.M.",00223417,"Journal of Pathology",197, 4,49,8,7,15,0,64
2002,"Nitric oxide in the development of obliterative bronchiolitis in a heterotopic pig model","Salminen U.-S., Maasilta P.K., Harjula A.L.J., Romanska H.M., Bishop A.E., Polak J.M.",00411337,"Transplantation",73, 11,3,0,0,0,1,4
2002,"Derivation of type II alveolar epithelial cells from murine embryonic stem cells","Ali N.N., Edgar A.J., Samadikuchaksaraei A., Timson C.M., Romanska H.M., Polak J.M., Bishop A.E.",10763279,"Tissue Engineering",8, 4,37,12,13,25,5,67
2002,"In situ characterisation of living cells by Raman spectroscopy","Notingher I., Verrier S., Romanska H., Bishop A.E., Polak J.M., Hench L.L.",07124813,"Spectroscopy",16, 2,13,7,6,13,4,30
2001,"Expression of angiogenesis-related molecules in plexiform lesions in severe pulmonary hypertension: Evidence for a process of disordered angiogenesis","Tuder R.M., Semenza G.L., Yacoub M., Polak J.M., Voelkel N.F., Chacon M., Alger L., Wang J., Taraseviciene-Stewart L., Kasahara Y., Cool C.D., Bishop A.E., Geraci M.",00223417,"Journal of Pathology",195, 3,63,14,14,28,6,97
2001,"Typhoid fever: Pathogenesis and disease","House D., Bishop A., Parry C., Dougan G., Wain J.",09517375,"Current Opinion in Infectious Diseases",14, 5,23,7,5,12,2,37
2001,"Superoxide dismutase in development of obliterative bronchiolitis","Salminen U.-S., Harjula A.L.J., Maasilta P.K., Romanska H.M., Bishop A.E., Polak J.M.",00411345,"Transplantation Proceedings",33, 4,6,0,0,0,0,6
2001,"Treatment of gastroesophageal reflux disease: To step or not to step","Bardhan K.D., Schneider A., Fischer R., Ng W., Luhmann R., McCaldin B., Cherian P., Bishop A.E., Polak J.M., Romanska H., Perry M.J., Rowland A., Thompson M., Morris P.",00029270,"American Journal of Gastroenterology",96, 6,7,0,1,1,0,8
2000,"Tumor necrosis factor-? is expressed in donor heart and predicts right ventricular failure after human heart transplantation","Birks E.J., Owen V.J., Burton P.B.J., Bishop A.E., Banner N.R., Khaghani A., Polak J.M., Yacoub M.H.",00097322,"Circulation",102, 3,31,4,5,9,4,44
2000,"Up-regulation of inducible nitric oxide synthase in fibroblasts parallels the onset and progression of fibrosis in an experimental model of post-transplant obliterative airway disease","Romanska H.M., Ikonen T.S., Bishop A.E., Morris R.E., Polak J.M.",00223417,"Journal of Pathology",191, 1,19,2,0,2,0,21
2000,"Neutrophils enhance expression of inducible nitric oxide synthase in human normal but not cystic fibrosis bronchial epithelial cells","Meng Q.-H., Polak J.M., Edgar A.J., Chacon M.R., Evans T.J., Gruenert D.C., Bishop A.E.",00223417,"Journal of Pathology",190, 2,12,3,2,5,0,17
1999,"Hypoglycemia due to an insulin-secreting small-cell carcinoma of the cervix","Seckl M.J., Mulholland P.J., Bishop A.E., Teale J.D., Hales C.N., Glaser M., Watkins S., Seckl J.R.",00284793,"New England Journal of Medicine",341, 10,19,7,2,9,1,29
1999,"Protection against aspirin-induced human gastric mucosal injury by bosentan, a new endothelin-1 receptor antagonist.","Duggan A.E., Hawkey C.J., Stack W., Hull M., Filipowicz B., Knifton A., Crome R., Weber C., Bishop A., Polak J.",02692813,"Alimentary Pharmacology and Therapeutics",13, 5,10,2,0,2,0,12
1999,"Early expression of cyclo-oxygenase-2 during sporadic colorectal carcinogenesis","Hao X., Bishop A.E., Wallace M., Wang H., Willcocks T.C., Maclouf J., Polak J.M., Knight S., Talbot I.C.",00223417,"Journal of Pathology",187, 3,101,5,3,8,2,111
1999,"Alterations in inducible nitric oxide synthase (iNOS) and nitrotyrosine (NitroY) during re-epithelialization of heterotopic rat tracheal composite grafts","Ikonen T.S., Romanska H.M., Bishop A.E., Berry G.J., Polak J.M., Morris R.E.",00411345,"Transplantation Proceedings",31, 1-2,3,0,0,0,0,3
1999,"Abnormal enteric nerve morphology in atretic esophagus of fetal rats with adriamycin-induced esophageal atresia","Cheng W., Bishop A.E., Spitz L., Polak J.M.",01790358,"Pediatric Surgery International",15, 1,12,5,2,7,0,19
1998,"Imbalance between proliferation and apoptosis in the development of colorectal carcinoma","Hao X., Du M., Bishop A.E., Talbot I.C.",09456317,"Virchows Archiv",433, 6,23,1,4,5,1,29
1998,"Expression of nitric oxide synthase in inflammatory bowel disease is not affected by corticosteroid treatment","Leonard N., Bishop A.E., Polak J.M., Talbot I.C.",00219746,"Journal of Clinical Pathology",51, 10,28,3,0,3,0,31
1998,"Erosive oesophagitis: Outcome of repeated long term maintenance treatment with low dose omeprazole 10 mg or placebo","Bardhan K.D., Wason C., Patterson J., Polak J., Bishop A., Cherian P., Vaishnavi A., Jones R.B., Thompson M., Morris P., Brooks A., D'Silva J., Gillon K.R.W.",00175749,"Gut",43, 4,18,0,0,0,0,18
1998,"Lack of inducible nitric oxide synthase in bronchial epithelium: A possible mechanism of susceptibility to infection in cystic fibrosis","Meng Q.-H., Yacoub M.H., Polak J.M., Springall D.R., Bishop A.E., Morgan K., Evans T.J., Habib S., Gruenert D.C., Gyi K.M., Hodson M.E.",00223417,"Journal of Pathology",184, 3,90,7,6,13,1,104
1997,"Histamine H2 receptor antagonist-refractory oesophagitis: The efficacy of long-term omeprazole maintenance treatment","Bardhan K.D., Thompson M., D'Silva J., Parkin S., Patterson J., Gillon K.R.W., Cherian P., Jones R.B., Vaishnavi A., Manek S., Bishop A., Polak J., Brooks A., Morris P.",11258055,"Italian Journal of Gastroenterology and Hepatology",29, 6,2,0,0,0,0,2
1997,"Molecular approaches to neuroendocrine pathology","Steel J.H., Bishop A.E.",01677659,"Cancer and Metastasis Reviews",16, 1-2,2,0,2,2,0,4
1996,"Pathology","Bishop A.E., Polak J.M.",09503528,"Bailliere's Clinical Gastroenterology",10, 4,4,2,1,3,0,7
1996,"Idiopathic constipation is not associated with increased NCAM expression on intestinal muscle","Romanska H.M., Bishop A.E., Lee J.C.W., Walsh F.S., Spitz L., Polak J.M.",01632116,"Digestive Diseases and Sciences",41, 7,1,0,0,0,0,1
1996,"Neural cell adhesion molecule (NCAM) expression in nerves and muscle of developing human large bowel","Romanska H.M., Bishop A.E., Moscoso G., Walsh F.S., Spitz L., Brereton R.J., Polak J.M.",02772116,"Journal of Pediatric Gastroenterology and Nutrition",22, 4,7,1,0,1,0,8
1995,"Increased expression of cell adhesion molecule P-selectin in active inflammatory bowel disease","Schurmann G.M., Bishop A.E., Facer P., Vecchio M., Lee J.C.W., Rampton D.S., Polak J.M.",00175749,"Gut",36, 3,48,3,2,5,2,55
1995,"Secretoneurin: A new peptide in the human enteric nervous system","Schurmann G., Bishop A.E., Facer P., Eder U., Fischer-Colbrie R., Winkler H., Polak J.M.",03015564,"Histochemistry and Cell Biology",104, 1,18,0,2,2,0,20
1995,"The distribution of nitric oxide synthase isoforms in normal and diseased tissues","Buttery L.D.K., Springall D.R., Bishop A.E., Polak J.M.",03886107,"Biomedical Research",16, 2,0,0,0,0,0,0
1994,"A computer-assisted stereological quantification program: OpenStereo","Abrams D.-C., Facer P., Bishop A.E., Polak J.M.",1059910X,"Microscopy Research and Technique",29, 3,9,1,0,1,0,10
1994,"Nitric oxide, and not vasoactive intestinal peptide, as the main neurotransmitter of vagally induced relaxation of the guinea pig stomach","Desai K.M., Warner T.D., Bishop A.E., Polak J.M., Vane J.R.",00071188,"British Journal of Pharmacology",113, 4,35,0,2,2,1,38
1993,"Localisation of nitric oxide synthase within non-adrenergic, non-cholinergic nerves in the mouse anococcygeus","Brave S.R., Tucker J.F., Gibson A., Bishop A.E., Riveros-Moreno V., Moncada S., Polak J.M.",03043940,"Neuroscience Letters",161, 1,13,0,0,0,1,14
1993,"Immunocytochemistry for neuronal markers shows deficiencies in conventional histology in the treatment of Hirschsprung's disease","Romanska H.M., Bishop A.E., Brereton R.J., Spitz L., Polak J.M.",00223468,"Journal of Pediatric Surgery",28, 8,10,1,2,3,0,13
1993,"Calretinin and calbindin-D28k immunoreactivity in the human gastrointestinal tract","Walters J.R.F., Bishop A.E., Facer P., Lawson D.E.M., Rogers J.H., Polak J.M.",00165085,"Gastroenterology",104, 5,20,0,1,1,1,22
1993,"Increased expression of muscular neural cell adhesion molecule in congenital aganglionosis","Romanska H.M., Bishop A.E., Brereton R.J., Spitz L., Polak J.M.",00165085,"Gastroenterology",105, 4,17,0,1,1,0,18
1993,"Effect of streptozotocin-diabetes on the level of VIP mRNA in myenteric neurones","Belai A., Facer P., Bishop A., Polak J.M., Burnstock G.",09594965,"NeuroReport",4, 3,16,1,0,1,0,17
1992,"Immunological detection of nitric oxide synthase(s) in human tissues using heterologous antibodies suggesting different isoforms","Springall D.R., Riveros-Moreno V., Buttery L., Suburo A., Bishop A.E., Merrett M., Moncada S., Polak J.M.",03015564,"Histochemistry",98, 4,99,1,1,2,0,101
1992,"Effect of Helicobacter pylori on gastric somatostatin in duodenal ulcer disease","Moss S.F., Legon S., Bishop A.E., Polak J.M., Calam J.",01406736,"Lancet",340, 8825,157,6,5,11,3,171
1992,"Vasoactive intestinal polypeptide gene expression in the developing human gastrointestinal tract","Facer P., Bishop A.E., Moscoso G., Terenghi G., Liu Y.F., Goodman R.H., Legon S., Polak J.M.",00165085,"Gastroenterology",102, 1,9,0,0,0,0,9
1992,"Localisation of endothelin like immunoreactivity in adult and developing human gut","Escrig C., Bishop A.E., Inagaki H., Moscoso G., Takahashi K., Varndell I.M., Ghatei M.A., Bloom S.R., Polak J.M.",00175749,"Gut",33, 2,14,1,0,1,0,15
1992,"Quantitative study of the development and maturation of human oesophageal innervation","Hitchcock R.J.I., Pemble M.J., Bishop A.E., Spitz L., Polak J.M.",00218782,"Journal of Anatomy",180, ,8,0,0,0,1,9
1992,"The ontogeny and distribution of neuropeptides in the human fetal and infant esophagus","Hitchcock R.J.I., Pemble M.J., Bishop A.E., Spitz L., Polak J.M.",00165085,"Gastroenterology",102, 3,6,1,0,1,0,7
1991,"Localization of endothelin-1 and its binding sites to the nervous system of the human colon","Inagaki H., Bishop A.E., Yura J., Polak J.M.",01602446,"Journal of Cardiovascular Pharmacology",17, 7,9,0,1,1,1,11
1991,"Localization of endothelinlike immunoreactivity and endothelin binding sites in human colon","Inagaki H., Bishop A.E., Escrig C., Wharton J., Allen-Mersh T.G., Polak J.M.",00165085,"Gastroenterology",101, 1,51,2,1,3,0,54
1991,"The growth of liver cells in the pancreas after intra-splenic implantation: The effects of portal perfusion","Jaffe V., Darby H., Bishop A., Hodgson H.J.F.",09599673,"International Journal of Experimental Pathology",72, 3,7,0,0,0,0,7
1990,"Neuromedin U-like immunoreactivity in the thyroid gland of the rat","Domin J., Al-Madani A.M., Desperbasques M., Bishop A.E., Polak J.M., Bloom S.R.",0302766X,"Cell and Tissue Research",260, 1,8,0,0,0,1,9
1990,"Gut endocrine and neural peptides","Bishop A.E., Polak J.M.",10463976,"Endocrine Pathology",1, 1,5,0,0,0,0,5
1990,"An in vitro study of the projections of enteric vasoactive intestinal polypeptide-immunoreactive neurons in the human colon","Domoto T., Bishop A.E., Oki M., Polak J.M.",00165085,"Gastroenterology",98, 4,18,1,0,1,0,19
1990,"Gastrinomas in the duodenums of patients with multiple endocrine neoplasia type 1 and the Zollinger-Ellison syndrome","Pipeleers-Marichal M., Heitz P.U., Kloppel G., Somers G., Willems G., Foulis A., Imrie C., Bishop A.E., Polak J.M., Hacki W.H., Stamm B.",00284793,"New England Journal of Medicine",322, 11,122,12,8,20,3,145
1990,"Gastric enterochromaffin-like (ECL) cells in hypergastrinaemic duodenal ulcer disease","Coupe M., Rees H., Springer C.J., Bishop A.E., Morris J.A., Polak J.M., Calam J.",00175749,"Gut",31, 2,7,1,0,1,0,8
1989,"Omeprazole and ranitidine, antisecretagogues with different modes of action, are equally effective in causing hyperplasia of enterochromaffin-like cells in rat stomach","Ryberg B., Bishop A.E., Bloom S.R., Carlsson E., Hakanson R., Larsson H., Mattsson H., Polak J.M., Sundler F.",01670115,"Regulatory Peptides",25, 2,25,0,1,1,0,26
1989,"Production of GAWK (chromogranin-B 420-493)-like immunoreactivity by endocrine tumors and its possible diagnostic value","Sekiya K., Ghatei M.A., Salahuddin M.J., Bishop A.E., Hamid Q.A., Ibayashi H., Polak J.M., Bloom S.R.",00219738,"Journal of Clinical Investigation",83, 6,8,1,1,2,0,10
1989,"Developmental profile of chromogranin, hormonal peptides, and 5-hydroxytryptamine in gastrointestinal endocrine cells","Facer P., Polak J.M., Bishop A.E., Cole G.A., Aitchison M., Kendall C.H., Van Aswegen G., Penketh R.J.A., Rodek C.H., McKeever P.",00165085,"Gastroenterology",97, 1,25,0,1,1,0,26
1989,"Detection of human probombesin mRNA in neuroendocrine (small cell) carcinoma of the lung. In situ hybridization with cRNA probe","Hamid Q.A., Rode J., Spindel E., Bloom S.R., Polak J.M., Bishop A.E., Springall D.R., Adams C., Giaid A., Denny P., Ghatei M., Legon S., Cuttitta F.",0008543X,"Cancer",63, 2,5,0,0,0,0,5
1989,"Enterochromaffin-like cell populations in human fundic mucosa: Quantitative studies of their variations with age, sex, and plasma gastrin levels","Green D.M., Bishop A.E., Rindi G., Lee F.I., Daly M.J., Domin J., Bloom S.R., Polak J.M.",00223417,"Journal of Pathology",157, 3,11,0,1,1,0,12
1989,"The distribution of GAWK-like immunoreactivity in neuroendocrine cells of the human gut, pancreas, adrenal and pituitary glands and its co-localisation with chromogranin B","Bishop A.E., Fischer-Colbrie R., Winkler H., Krausz T., Ghatei M.A., Bloom S.R., Polak J.M., Sekiya K., Salahuddin M.J., Carlei F., Rindi G., Fahey M., Steel J.H., Hedges M., Domoto T.",03015564,"Histochemistry",90, 6,8,0,0,0,0,8
1989,"Cytochemical techniques for studying the diffuse neuroendocrine system","Bishop A.E., Polak J.M.",00766879,"Methods in Enzymology",168, ,1,1,0,1,0,2
1989,"Expression of tachykinins by ileal and lung carcinoid tumors assessed by combined in situ hybridization, immunocytochemistry, and radioimmunoassay","Bishop A.E., Harmar A.J., Valentino K., Cedermark B., Legon S., Ghatei M.A., Bloom S.R., Polak J.M., Hamid Q.A., Adams C., Bretherton-Watt D., Jones P.M., Denny P., Stamp G.W.H., Hurt R.L., Grimelius L.",0008543X,"Cancer",63, 6,10,0,1,1,0,11
1988,"Pancreastatin distribution and plasma levels in the pig","Bretherton-Watt D., Roth K., Polak J.M., Bloom S.R., Ghatei M.A., Bishop A.E., Facer P., Fahey M., Hedges M., Williams G., Valentino K.L., Tatemoto K.",01969781,"Peptides",9, 5,15,0,0,0,0,15
1988,"Gastrin and somatostatin in the rat antrum. The effect of removal of acid-secreting mucosa","Lundell L., Bishop A.E., Bloom S.R., Carlsson K., Mattsson H., Polak J.M., Ryberg B.",01670115,"Regulatory Peptides",23, 1,3,0,1,1,0,4
1988,"The occurrence of pancreastatin in tumours of the diffuse neuroendocrine system","Bishop A.E., Polak J.M., Bretherton-Watt D., Hamid Q.A., Fahey M., Shepherd N., Valentino K., Tatemoto K., Ghatei M.A., Bloom S.R.",08908508,"Molecular and Cellular Probes",2, 3,6,0,1,1,0,7
1988,"A morphological analysis endocrine tumour genesis in pancreas and anterior pituitary of AVP/SV40 transgenic mice","Rindi G., Bishop A.E., Murphy D., Solcia E., Hogan B., Polak J.M.",01747398,"Virchows Archiv - A Pathological Anatomy and Histopathology",412, 3,5,2,0,2,0,7
1988,"Ultrastructure and electron immunocytochemistry of insulin-producing B-cell tumors from transgenic mice: Comparison with counterpart human tumors","Holm R., Varndell I.M., Power R.F., Bishop A.E., Madsen O.D., Alpert S., Hanahan D., Polak J.M.",01913123,"Ultrastructural Pathology",12, 5,3,0,0,0,0,3
1988,"Anatomical distribution of vasoactive intestinal peptide binding sites in peripheral tissues investigated by in vitro autoradiography","Power R.F., Bishop A.E., Wharton J., Inyama C.O., Jackson R.H., Bloom S.R., Polak J.M.",00778923,"Annals of the New York Academy of Sciences",527, ,2,0,0,0,1,3
