,"Authors: Best, Nicola G.; Best, G. Nicola",,,,,,,,,,,
2004,"Discussion on the paper by Wakefield","Best N., Fienberg S.E., Robert C.P., Davison A.C., Semadeni C., Besag J., Corder J.K., Wolbrecht C., Draper D., Forster J.J., King G., Wakefield J., Rice K., Richardson T., Salway R., Sheppard L., Thomson So.R., Waller L.A., Chambers R., Jackson C., Richardson S., Atkinson A.C., Firth D., Jiang W., Tanner M.A.",09641998,"Journal of the Royal Statistical Society. Series A: Statistics in Society",167, 3,0,0,0,0,0,0
2003,"Bayesian approaches to multiple sources of evidence and uncertainty in complex cost-effectiveness modelling","Spiegelhalter D.J., Best N.G.",02776715,"Statistics in Medicine",22, 23,15,9,9,18,8,41
2003,"Monitoring of mortality rates in primary care [1] (Multiple letters)","Billett J., Kendall N., Buchan I., Marsland S., Beatty P., Aylin P., Best N., Bottle A., Marshall C.",01406736,"Lancet",362, 9391,1,0,0,0,0,1
2003,"Editorial comment on Geographical differences in cancer incidence in the Belgian Province of Limburg by Bruntinx and colleagues","Jarup L., Best N.",09598049,"European Journal of Cancer",39, 14,3,1,2,3,1,7
2003,"Following Shipman: A pilot system for monitoring mortality rates in primary care","Aylin P., Best N., Bottle A., Marshall C.",01406736,"Lancet",362, 9382,20,9,6,15,0,35
2003,"The relationship between water concentrations and individual uptake of chloroform: A simulation study","Whitaker H.J., Nieuwenhuijsen M.J., Best N.G.",00916765,"Environmental Health Perspectives",111, 5,11,7,6,13,2,26
2003,"Bayesian hierarchical models in ecological studies of health-environment effects","Richardson S., Best N.",11804009,"Environmetrics",14, 2,6,2,5,7,2,15
2003,"Description of trihalomethane levels in three UK water suppliers","Whitaker H., Nieuwenhuijsen M.J., Best N., Fawell J., Gowers A., Elliot P.",10534245,"Journal of Exposure Analysis and Environmental Epidemiology",13, 1,5,1,2,3,2,10
2002,"Bayesian measures of model complexity and fit","Spiegelhalter D.J., Best N.G., Carlin B.P., Van Der Linde A.",13697412,"Journal of the Royal Statistical Society. Series B: Statistical Methodology",64, 4,378,168,247,415,201,994
2002,"Commissioned analysis of surgical performance using routine data: Lessons from the Bristol inquiry","Spiegelhalter D.J., Aylin P., Best N.G., Evans S.J.W., Murray G.D.",09641998,"Journal of the Royal Statistical Society. Series A: Statistics in Society",165, 2,11,6,1,7,1,19
2002,"Bayesian analysis of population PK/PD models: General concepts and software","Lunn D.J., Best N., Thomas A., Wakefield J., Spiegelhalter D.",1567567X,"Journal of Pharmacokinetics and Pharmacodynamics",29, 3,15,7,8,15,6,36
2002,"A population-based case-control study for examining early life influences on geographical variation in adult mortality in England and Wales using stomach cancer and stroke as examples","Maheswaran R., Strachan D.P., Dodgeon B., Best N.G.",03005771,"International Journal of Epidemiology",31, 2,4,2,1,3,2,9
2002,"Geographical epidemiology of prostate cancer in Great Britain","Jarup L., Best N., Toledano M.B., Wakefield J., Elliott P.",00207136,"International Journal of Cancer",97, 5,18,5,4,9,1,28
2001,"Was Bristol an outlier? [6] (multiple letters)","Carr D., Spiegelhalter D., Best N., Murray G.D., Elliott P., Mohammed M.A., Cheng K.K., Rouse A., Marshall T., Duffy J., Bolsin S., Patrick A., Aylin P.",01406736,"Lancet",358, 9298,0,0,0,0,0,0
2001,"A shared component model for detecting joint and selective clustering of two diseases","Knorr-Held L., Best N.G.",09641998,"Journal of the Royal Statistical Society. Series A: Statistics in Society",164, 1,16,9,9,18,6,40
2001,"Ecological regression analysis of environmental benzene exposure and childhood leukaemia: Sensitivity to data inaccuracies, geographical scale and ecological bias","Best N., Cookings S., Bennett J., Wakefield J., Elliott P.",09641998,"Journal of the Royal Statistical Society. Series A: Statistics in Society",164, 1,13,3,4,7,1,21
2001,"Stillbirth and neonatal mortality due to congenital anomalies: temporal trends and variation by small area deprivation scores in England and Wales, 1986-96.","Neasham D., Dolk H., Vrijheid M., Jensen T., Best N.",02695022,"Paediatric and Perinatal Epidemiology",15, 4,2,0,1,1,0,3
2001,"Comparison of UK paediatric cardiac surgical performance by analysis of routinely collected data 1984-96: Was Bristol an outlier?","Aylin P., Spiegelhalter D., Alves B., Best N., Cook A., Elliott P., Evans S.J.W., Lawrence A.E., Murray G.D., Pollock J.",01406736,"Lancet",358, 9277,31,3,4,7,2,40
2001,"Use of routinely collected data on trihalomethane in drinking water for epidemiological purposes","Keegan T., Whitaker H., Nieuwenhuijsen M.J., Toledano M.B., Elliott P., Fawell J., Wilkinson M., Best N.",13510711,"Occupational and Environmental Medicine",58, 7,6,4,5,9,1,16
2001,"Spatial variation and temporal trends of testicular cancer in Great Britain","Toledano M.B., Jarup L., Best N., Wakefield J., Elliott P.",00070920,"British Journal of Cancer",84, 11,11,3,4,7,2,20
2001,"A study of the variation in tuberculosis incidence and possible influential variables in Manchester, Liverpool, Birmingham and Cardiff in 1991-1995","Bennett J., Pitman R., Jarman B., Innes J., Best N., Alves B., Cook A., Hart D., Coker R.",10273719,"International Journal of Tuberculosis and Lung Disease",5, 2,5,1,0,1,0,6
2000,"Small area variation in hospital admission rates: Bayesian adjustment for primary care and hospital factors","Congdon P., Best N.",00359254,"Journal of the Royal Statistical Society. Series C: Applied Statistics",49, 2,7,0,0,0,1,8
2000,"WinBUGS - A Bayesian modelling framework: Concepts, structure, and extensibility","Lunn D.J., Thomas A., Best N., Spiegelhalter D.",09603174,"Statistics and Computing",10, 4,39,14,72,86,100,225
2000,"Spatial Poisson Regression for Health and Exposure Data Measured at Disparate Resolutions","Best N.G., Ickstadt K., Wolpert R.L.",01621459,"Journal of the American Statistical Association",95, 452,26,9,6,15,2,43
2000,"Statistical issues in the analysis of disease mapping data","Pascutto C., Wakefield J.C., Best N.G., Richardson S., Bernardinelli L., Staines A., Elliott P.",02776715,"Statistics in Medicine",19, 17-18,15,2,10,12,5,32
1999,"Accounting for inaccuracies in population counts and case registration in cancer mapping studies","Best N., Wakefield J.",09641998,"Journal of the Royal Statistical Society. Series A: Statistics in Society",162, 3,11,0,3,3,0,14
1997,"Dynamic conditional independence models and Markov chain Monte Carlo methods","Berzuini C., Best N.G., Gilks W.R., Larizza C.",01621459,"Journal of the American Statistical Association",92, 440,44,4,7,11,3,58
1997,"Disease mapping with errors in covariates","Bernardinelli L., Pascutto C., Best N.G., Gilks W.R.",02776715,"Statistics in Medicine",16, 7,34,2,1,3,3,40
1996,"Bayesian analysis of realistically complex models","Best N.G., Spiegelhalter D.J., Thomas A., Brayne C.E.G.",09641998,"Journal of the Royal Statistical Society. Series A: Statistics in Society",159, 2,46,5,5,10,2,58
1996,"Pharmacodynamics of cyclosporine in heart and heart-lung transplant recipients: II: Blood cyclosporine concentrations and other risk factors for lung allograft rejection","Best N.G., Tan K.K.C., Trull A.K., Spiegelhalter D.J., Stewart S., Wallwork J.",00411337,"Transplantation",62, 10,6,0,0,0,0,6
1996,"Pharmacodynamics of cyclosporine in heart and heart-lung transplant recipients: I: Blood cyclosporine concentrations and other risk factors for cardiac allograft rejection","Best N.G., Trull A.K., Tan K.K.C., Spiegelhalter D.J., Cary N., Wallwork J.",00411337,"Transplantation",62, 10,8,0,0,0,0,8
1995,"Estimation of population pharmacokinetics using the Gibbs sampler","Best N.G., Tan K.K.C., Gilks W.R., Spiegelhalter D.J.",0090466X,"Journal of Pharmacokinetics and Biopharmaceutics",23, 4,15,2,0,2,1,18
1995,"Blood cyclosporine concentrations and cytomegalovirus infection following heart transplantation","Best N.G., Trull A.K., Tan K.K.C., Spiegelhalter D.J., Wreghitt T.G., Wallwork J.",00411337,"Transplantation",60, 7,8,0,0,0,1,9
1994,"Design and evaluation of a computer tool to aid early management of cyclosporine therapy after heart and heart-lung transplantation","Best N.G., Tan K.K.C., Trull A.K., Spiegelhalter D.J., Hue K.L., Caine N., Wallwork J.",00411345,"Transplantation Proceedings",26, 5,2,0,0,0,0,2
1993,"Pharmacokinetics of cyclosporine in heart and lung transplant candidates and recipients with cystic fibrosis and Eisenmenger's syndrome","Tan Trull K.K.C.A.K., Hue K.L., Best N.G., Wallwork J., Higenbottam T.W.",00099236,"Clinical Pharmacology and Therapeutics",53, 5,22,0,1,1,1,24
1992,"The design and analysis of acceptability studies - Assessment of a new oral liquid formulation of cyclosporin","Best N.G., Tan K.K.C., Uttridge J.A., Trull A.K., Spiegelhalter D.J., Angangco R., Gardner T., Evans D.B., Jamieson N.V.",09580581,"Journal of Pharmaceutical Medicine",2, 3,0,0,0,0,0,0
1992,"Blood cyclosporin concentrations and the short-term risk of lung rejection following heart-lung transplantation","Best N.G., Trull A.K., Tan K.K.C., Hue K.L., Spiegelhalter D.J., Gore S.M., Wallwork J.",03065251,"British Journal of Clinical Pharmacology",34, 6,19,0,0,0,2,21
1992,"Blood cyclosporin concentrations but not doses correlate with acute changes in renal function following heart and heart-lung transplantation","Trull A.K., Best N.G., Tan K.K.C., Hue K.L., Higenbottam T.W., Large S., Wallwork J.",01634356,"Therapeutic Drug Monitoring",14, 4,3,0,0,0,2,5
