,"Author: Zacharakis, Emmanouil",,,,,,,,,,,
2008,Surgical management of morbid obesity,"Aggarwal R., Hodgson L., Rao C., Ashrafian H., Chow A., Zacharakis E., Athanasiou T., Darzi A., Johnston D.",17508460,British Journal of Hospital Medicine,69,2,0,0,0,0,0,0
2008,Effect of IGF-I on Healing of Colonic Anastomoses in Rats Under 5-FU Treatment,"Zacharakis E., Demetriades H., Pramateftakis M.-G., Lambrou I., Zacharakis EV., Zaraboukas T., Koliakos G., Kanellos I., Betsis D.",224804,Journal of Surgical Research,144,1,0,0,0,0,0,0
2008,An unusual presentation of Meckel diverticulum as strangulated femoral hernia,"Zacharakis EV., Papadopoulos V., Athanasiou T., Ziprin P., Zacharakis E.",384348,Southern Medical Journal,101,1,0,0,0,0,0,0
2008,Can intra-operative intraperitoneal free cancer cell detection techniques identify patients at higher recurrence risk following curative colorectal cancer resection: A meta-analysis,"Rekhraj S., Aziz O., Prabhudesai S., Zacharakis E., Mohr F., Athanasiou T., Darzi A., Ziprin P.",10689265,Annals of Surgical Oncology,15,1,0,0,1,1,4,5
2007,Transanal endoscopic microsurgery for rectal tumors: the St. Mary's experience,"Zacharakis E., Freilich S., Rekhraj S., Athanasiou T., Paraskeva P., Ziprin P., Darzi A.",29610,American Journal of Surgery,194,5,0,0,3,3,1,4
2007,Laparoscopic cholecystectomy without intraoperative cholangiography,"Zacharakis E., Angelopoulos S., Kanellos D., Pramateftakis M.-G., Sapidis N., Stamatopoulos H., Kanellos I., Tsalis K., Betsis D.",10926429,Journal of Laparoendoscopic and Advanced Surgical Techniques,17,5,0,0,1,1,2,3
2007,Spigelian hernias presenting as surgical emergencies,"Zacharakis E., Darzi A.",384348,Southern Medical Journal,100,10,0,0,0,0,0,0
2007,Long-term results after stapled haemorrhoidopexy for fourth-degree haemorrhoids: A prospective study with median follow-up of 6 years,"Zacharakis E., Kanellos D., Pramateftakis M.G., Kanellos I., Angelopoulos S., Mantzoros I., Betsis D.",11236337,Techniques in Coloproctology,11,2,0,0,2,2,2,4
2007,Long-term results after transanal stapled excision of rectal internal mucosal prolapse [1],"Zacharakis E., Pramateftakis M.G., Kanellos D., Kanellos I., Betsis D.",11236337,Techniques in Coloproctology,11,1,0,1,1,2,1,3
2007,Contribution of insulin-like growth factor I to the healing of colonic anastomoses in rats,"Zacharakis E., Topouridou K., Betsis D., Demetriades H., Kanellos D., Sapidis N., Mantzoros I., Kanellos I., Koliakos G., Zaraboukas T.",8941939,Journal of Investigative Surgery,20,1,0,0,1,1,0,1
2006,"Value of carcinoembryonic antigen assay in predicting hepatic metastases, local recurrence, and survival after curative resection of colorectal cancer","Kanellos I., Zacharakis E., Demetriades H., Christoforidis E., Kanellos D., Pramateftakis M.-G., Betsis D.",9411291,Surgery Today,36,10,0,0,3,3,0,3
2006,The effect of insulin-like growth factor I on healing of colonic anastomoses in cortisone-treated rats,"Mantzoros I., Kanellos I., Angelopoulos S., Koliakos G., Pramateftakis M.G., Kanellos D., Zacharakis E., Zaraboukas T., Betsis D.",123706,Diseases of the Colon and Rectum,49,9,0,1,3,4,0,4
2006,Incarcerated Spigelian hernia: A case report,"Zacharakis EV., Papadopoulos V., Ganidou M., Zacharakis E.",12341010,Medical Science Monitor,12,7,0,2,1,3,0,3
2006,Prognostic significance of CEA levels and detection of CEA mRNA in draining venous blood in patients with colorectal cancer,"Kanellos I., Zacharakis E., Kanellos D., Pramateftakis M.-G., Tsahalis T., Altsitsiadis E., Betsis D.",224790,Journal of Surgical Oncology,94,1,0,1,3,4,0,4
2006,Prognostic significance of CEA levels and positive cytology in peritoneal washings in patients with colorectal cancer,"Kanellos I., Zacharakis E., Kanellos D., Pramateftakis M.-G., Betsis D.",14628910,Colorectal Disease,8,5,0,0,4,4,3,7
2006,Local excision as a treatment for tumors of ampulla of Vater,"Demetriades H., Zacharakis E., Kirou I., Pramateftakis M.-G., Sapidis N., Kanellos I., Betsis D.",14777819,World Journal of Surgical Oncology,4, ,0,1,4,5,0,5
2006,Long-term results after stapled haemorrhoidopexy for third-degree haemorrhoids,"Kanellos I., Zacharakis E., Kanellos D., Pramateftakis M.G., Tsachalis T., Betsis D.",11236337,Techniques in Coloproctology,10,1,0,2,5,7,1,8
2005,Bile duct injuries during laparoscopic cholecystectomy: Management and outcome,"Tsalis K., Zacharakis E., Vasiliadis K., Kalfadis S., Vergos O., Christoforidis E., Betsis D.",31348,American Surgeon,71,12,2,0,0,0,2,4
2005,Stapled haemorrhoidopexy for haemorrhoids in combination with lateral internal sphincterotomy for fissure-in-ano,"Kanellos I., Angelopoulos S., Zacharakis E., Kanellos D., Pramateftakis M.G., Blouhos K., Betsis D.",0014312X,European Surgical Research,37,5,0,0,0,0,0,0
2005,Our local experience with the surgical treatment of ampullary cancer,"Botsios D., Zacharakis E., Lambrou I., Tsalis K., Christoforidis E., Kalfadis S., Betsis D., Dadoukis I.",14777800,International Seminars in Surgical Oncology,2, ,0,0,0,0,0,0
2005,Adrenal metastasis as first presentation of hepatocellular carcinoma,"Tsalis K., Zacharakis E., Sapidis N., Lambrou I., Betsis D.",14777819,World Journal of Surgical Oncology,3, ,0,2,1,3,0,3
2005,Usefulness of lateral internal sphincterotomy in reducing postoperative pain after open hemorrhoidectomy,"Kanellos I., Zacharakis E., Christoforidis E., Angelopoulos S., Kanellos D., Pramateftakis M.G., Betsis D.",3642313,World Journal of Surgery,29,4,3,1,1,2,2,7
2004,Incarcerated small bowel in a spigelian hernia,"Tsalis K., Zacharakis E., Lambrou I., Betsis D.",12654906,Hernia,8,4,1,2,1,3,0,4
2004,The failed intraperitoneal colon anastomosis after colon resection,"Kanellos I., Blouhos K., Demetriades H., Pramateftakis M.G., Mantzoros I., Zacharakis E., Betsis D.",11236337,Techniques in Coloproctology,8,1,4,1,2,3,3,10
2004,Small-incision (mini-laparotomy) versus laparoscopic cholecystectomy: A retrospective study in a university hospital,"Syrakos T., Kiskinis D., Antonitsis P., Zacharakis E., Takis A., Manousari A., Bakogiannis K., Efthimiopoulos G., Achoulias I., Trikoupi A.",14352443,Langenbeck's Archives of Surgery,389,3,10,5,1,6,1,17
2003,Effects of the use of fibrin glue around the colonic anastomosis of the rat,"Kanellos I., Mantzoros I., Goulimaris I., Zacharakis E., Zavitsanakis A., Betsis D.",11236337,Techniques in Coloproctology,7,2,7,3,0,3,1,11
2002,Low anterior resection without defunctioning stoma,"Kanellos I., Zacharakis E., Christoforidis E., Demetriades H., Betsis D.",11236337,Techniques in Coloproctology,6,3,21,2,5,7,2,30
