,"Authors: Friedland, J. S.; Friedland, Jon S.",,,,,,,,,,,
2007,"Multinucleate giant cells release functionally unopposed matrix metalloproteinase-9 in vitro and in vivo","Xing W.Z., Price N.M., Gilman R.H., Recarvarren S., Friedland J.S.",00221899,"Journal of Infectious Diseases",196, 7,0,0,2,2,2,4
2007,"Synergistic up-regulation of epithelial cell matrix metalloprotemase-9 secretion in tuberculosis","Elkington P.T., Green J.A., Emerson J.E., Lopez-Pascua L.D., Boyle J.J., O'Kane C.M., Friedland J.S.",10441549,"American Journal of Respiratory Cell and Molecular Biology",37, 4,0,0,0,0,6,6
2007,"Impact on and use of an inner-city London Infectious Diseases Department by international migrants: A questionnaire survey","Cooke G., Hargreaves S., Natkunarajah J., Sandhu G., Dhasmana D., Eliahoo J., Holmes A., Friedland J.S.",14726963,"BMC Health Services Research",7, ,0,0,1,1,2,3
2007,"Astrocyte-leucocyte interactions and the mechanisms regulating matrix degradation in CNS tuberculosis","Green J.A., Friedland J.S.",03005127,"Biochemical Society Transactions",35, 4,0,1,0,1,0,1
2007,"Zinc cream and reliability of tuberculosis skin testing","Rao V.B., Evans C.A., Pelly T.F., Gilman R.H., Cabrera L., Delgado J., Soto G., Friedland J.S., Escombe A.R., Black R.E.",10806040,"Emerging Infectious Diseases",13, 7,0,0,0,0,0,0
2007,"Fishing injury resulting in Mycobacterium fortuitum palmar abscess","Patel B., Nanchalal J., Friedland J.S.",09349723,"European Journal of Clinical Microbiology and Infectious Diseases",26, 6,0,0,0,0,0,0
2007,"RSV-infected airway epithelial cells cause biphasic upregulation of CCR1 expression on human monocytes","Morrison P.T., Thomas L.H., Sharland M., Friedland J.S.",07415400,"Journal of Leukocyte Biology",81, 6,0,1,3,4,2,6
2007,"Chemokines and their receptors in respiratory disease: A therapeutic target for respiratory syncytial virus infection","Thomas L.H., Friedland J.S., Sharland M.",14787210,"Expert Review of Anti-Infective Therapy",5, 3,0,1,0,1,3,4
2007,"The detection of airborne transmission of tuberculosis from HIV-infected patients, using an in vivo air sampling model","Escombe A.R., Noakes C., Moore D.A.J., Friedland J.S., Evans C.A., Oeser C., Gilman R.H., Navincopa M., Ticona E., Martinez C., Caviedes L., Sheen P., Gonzalez A.",10584838,"Clinical Infectious Diseases",44, 10,0,1,4,5,6,11
2007,"Natural ventilation for prevention of airborne contagion: Authors' reply [4]","Escombe A.R., Moore D.A.J., Friedland J.S., Evans C.A., Gilman R.H.",15491277,"PLoS Medicine",4, 5,0,0,0,0,0,0
2007,"Monocyte-dependent fibroblast CXCL8 secretion occurs in tuberculosis and limits survival of mycobacteria within macrophages","O'Kane C.M., Boyle J.J., Horncastle D.E., Elkington P.T., Friedland J.S.",00221767,"Journal of Immunology",178, 6,0,1,3,4,5,9
2007,"IFN? synergizes with IL-1? to up-regulate MMP-9 secretion in a cellular model of central nervous system tuberculosis","Harris J.E., Fernandez-Vilaseca M., Elkington P.T.G., Horncastle D.E., Graeber M.B., Friedland J.S.",08926638,"FASEB Journal",21, 2,0,3,4,7,1,8
2007,"Natural ventilation for the prevention of airborne contagion.","Escombe A.R., Moore D.A., Friedland J.S., Evans C.A., Oeser C.C., Gilman R.H., Navincopa M., Ticona E., Pan W., Martinez C., Chacaltana J., Rodriguez R.",15491676,"PLoS medicine",4, 2,0,1,7,8,4,12
2007,"Natural ventilation for the prevention of airborne contagion","Escombe A.R., Moore D.A.J., Friedland J.S., Evans C.A., Oeser C.C., Gilman R.H., Navincopa M., Ticona E., Pan W., Martinez C., Chacaltana J., Rodriguez R.",15491277,"PLoS Medicine",4, 2,0,5,7,12,6,18
2007,"Monocytes infected with Mycobacterium tuberculosis regulate MAP kinase-dependent astrocyte MMP-9 secretion","Harris J.E., Green J.A., Elkington P.T., Friedland J.S.",07415400,"Journal of Leukocyte Biology",81, 2,0,1,1,2,0,2
2007,"IL-1? stimulates divergent upper and lower airway epithelial cell CCL5 secretion","Thomas L.H., Wickremasinghe M.I.Y., Friedland J.S.",15216616,"Clinical Immunology",122, 2,0,0,0,0,1,1
2007,"Monocyte-astrocyte networks regulate matrix metalloproteinase gene expression and secretion in central nervous system tuberculosis in vitro and in vivo","Harris J.E., Nuttall R.K., Elkington P.T., Green J.A., Horncastle D.E., Graeber M.B., Edwards D.R., Friedland J.S.",00221767,"Journal of Immunology",178, 2,0,3,2,5,3,8
2007,"The authors reply [3]","Moore D.A.J., Gilman R.H., Friedland J.S.",00284793,"New England Journal of Medicine",356, 2,0,0,0,0,0,0
2006,"Matrix metalloproteinases and infection","Friedland J.S.",,"Modern Aspects of Immunobiology",20, ,0,0,0,0,0,0
2006,"Impact on and use of health services by international migrants: Questionnaire survey of inner city London A&E attenders","Hargreaves S., Friedland J.S., Gothard P., Saxena S., Millington H., Eliahoo J., Le Feuvre P., Holmes A.",14726963,"BMC Health Services Research",6, ,0,1,1,2,0,2
2006,"Microscopic-observation drug-susceptibility assay for the diagnosis of TB","Moore D.A.J., Salazar C., Oberhelman R., Hollm-Delgado M.-G., LaChira D., Escombe A.R., Friedland J.S., Evans C.A.W., Gilman R.H., Caviedes L., Coronel J., Vivar A., Sanchez E., Pinedo Y., Saravia J.C.",00284793,"New England Journal of Medicine",355, 15,1,33,44,77,23,101
2006,"Tuberculous Pericardial Effusion After Coronary Artery Bypass Graft","Tuladhar S.M., Noursadeghi M., Boyle J.J., Friedland J.S., Hornick P.",00034975,"Annals of Thoracic Surgery",82, 4,0,1,0,1,1,2
2006,"Infrequent MODS TB culture cross-contamination in a high-burden resource-poor setting","Moore D.A.J., Hollm-Delgado M.-G., Escombe A.R., Evans C.A.W., Friedland J.S., Caviedes L., Gilman R.H., Coronel J., Arenas F., LaChira D., Salazar C., Carlos Saravia J., Oberhelman R.A.",07328893,"Diagnostic Microbiology and Infectious Disease",56, 1,1,4,0,4,0,5
2006,"F-18 FDG PET in the diagnosis and monitoring of salmonella vertebral osteomyelitis: A comparison with MRI","Win Z., O'Flynn E., O'Rourke E.J., Singh A., Cooke G.S., Friedland J.S., Al-Nahhas A.",03639762,"Clinical Nuclear Medicine",31, 7,0,1,2,3,1,4
2006,"Erratum: Distal renal tubular acidosis in association with HIV infection and AIDS (Nephrology Dialysis Transplantation (2006) vol. 21 (1420-1422))","Laing C.M., Roberts R., Summers S., Friedland J.S., Lightstone L., Unwin R.J.",09310509,"Nephrology Dialysis Transplantation",21, 7,0,0,0,0,0,0
2006,"Multinucleate giant cells and the control of chemokine secretion in response to Mycobacterium tuberculosis","Zhu X.W., Friedland J.S.",15216616,"Clinical Immunology",120, 1,0,3,2,5,2,7
2006,"Deep-seated resistance in relapsed paratyphoid fever.","Cooke G.S., Bamford K.B., Cooke F.J., Stone M., Turner K., Al-Nahhas A., Win Z., Wain J., Rogers T.R., Friedland J.S.",15376591,"Clinical infectious diseases : an official publication of the Infectious Diseases Society of America.",42, 11,0,0,0,0,0,0
2006,"Neurocysticercal antigens stimulate chemokine secretion from human monocytes via an NF-?B-dependent pathway","Uddin J., Gonzalez A.E., Gilman R.H., Garcia H.H., Verastegui M., Moore L.J., Evans C.A.W., Read R.C., Friedland J.S.",12864579,"Microbes and Infection",8, 7,0,0,2,2,0,2
2006,"Distal renal tubular acidosis in association with HIV infection and AIDS","Laing C.M., Roberts R., Summers S., Friedland J.S., Lighstone L., Unwin R.J.",09310509,"Nephrology Dialysis Transplantation",21, 5,0,1,0,1,0,1
2006,"Matrix metalloproteinases in destructive pulmonary pathology","Elkington P.T.G., Friedland J.S.",00406376,"Thorax",61, 3,3,18,7,25,10,38
2006,"Filter sterilization of highly infectious samples to prevent false negative analysis of matrix metalloproteinase activity","Elkington P.T.G., Green J.A., Friedland J.S.",00221759,"Journal of Immunological Methods",309, 1-2,0,3,1,4,0,4
2005,"Mycobacterium tuberculosis, but not vaccine BCG, specifically upregulates matrix metalloproteinase-1","Elkington P.T.G., Nuttall R.K., Boyle J.J., O'Kane C.M., Horncastle D.E., Edwards D.R., Friedland J.S.",1073449X,"American Journal of Respiratory and Critical Care Medicine",172, 12,2,4,3,7,5,14
2005,"Mycobacterium tuberculosis up-regulates matrix metalloproteinase-1 secretion from human airway epithelial cells via a p38 MAPK switch","Elkington P.T.G., Emerson J.E., Lopez-Pascua L.D.C., O'Kane C.M., Horncastle D.E., Boyle J.J., Friedland J.S.",00221767,"Journal of Immunology",175, 8,4,10,6,16,5,25
2005,"The paradox of matrix metalloproteinases in infectious disease","Elkington P.T.G., O'Kane C.M., Friedland J.S.",00099104,"Clinical and Experimental Immunology",142, 1,11,13,11,24,7,42
2005,"Monocyte-astrocyte networks and the regulation of chemokine secretion in neurocysticercosis","Uddin J., Garcia H.H., Gilman R.H., Gonzalez A.E., Friedland J.S.",00221767,"Journal of Immunology",175, 5,1,2,1,3,2,6
2005,"Does traditional medicine use hamper efforts at tuberculosis control in urban Peru?","Oeser C.C., Escombe A.R., Gilman R.H., Friedland J.S., Evans C.A.W., Moore D.A.J.",00029637,"American Journal of Tropical Medicine and Hygiene",73, 3,0,0,1,1,0,1
2005,"Charging failed asylum seekers for health care in the UK","Hargreaves S., Holmes A., Friedland J.S.",01406736,"Lancet",365, 9461,4,2,3,5,1,10
2004,"Regulation of chemokine gene expression and secretion in Staphylococcus aureus-infected osteoblasts","Wright K.M., Friedland J.S.",12864579,"Microbes and Infection",6, 9,0,3,4,7,0,7
2004,"Transcriptional mechanisms regulating alveolar epithelial cell-specific CCL5 secretion in pulmonary tuberculosis","Wickremasinghe M.I., Thomas L.H., O'Kane C.M., Uddin J., Friedland J.S.",00219258,"Journal of Biological Chemistry",279, 26,9,7,3,10,0,19
2004,"Regulation of monocyte chemokine and MMP-9 secretion by proinflammatory cytokines in tuberculous osteomyelitis","Wright K.M., Friedland J.S.",07415400,"Journal of Leukocyte Biology",75, 6,3,0,1,1,1,5
2004,"Prevention of respiratory syncytial virus infection in infants","Handforth J., Sharland M., Friedland J.S.",09598146,"British Medical Journal",328, 7447,5,1,1,2,0,7
2003,"Unopposed Matrix Metalloproteinase-9 Expression in Human Tuberculous Granuloma and the Role of TNF-?-Dependent Monocyte Networks","Price N.M., Gilman R.H., Uddin J., Recavarren S., Friedland J.S.",00221767,"Journal of Immunology",171, 10,19,6,6,12,3,34
2003,"Chemokines and viruses: Friends or foes?","Mahalingam S., Friedland J.S., Heise M.T., Rulli N.E., Meanger J., Lidbury B.A.",0966842X,"Trends in Microbiology",11, 8,7,2,0,2,0,9
2003,"Complex patterns of regulation of chemokine secretion by Th2-cytokines, dexamethasone, and PGE2 in tuberculous osteomyelitis","Wright K.M., Friedland J.S.",02719142,"Journal of Clinical Immunology",23, 3,5,1,1,2,0,7
2003,"The United Kingdom's experience of providing health care for refugees: Time for international standards?","Hargreaves S., Holmes A., Friedland J.S.",11951982,"Journal of Travel Medicine",10, 2,2,0,0,0,1,3
2002,"Mycobacterium tuberculosis infection complicated by Eales disease with peripheral neuropathy.","McCaughan F., Holmes A., Lynn W.A., Friedland J.S.",15376591,"Clinical infectious diseases : an official publication of the Infectious Diseases Society of America",35, 8,1,0,0,0,0,1
2002,"Current consensus guidelines for treatment of neurocysticercosis","Garcia H.H., Allan J.C., Flisser A., Correa D., Sarti E., Friedland J.S., Martinez S.M., Gonzalez A.E., Gilman R.H., Del Brutto O.H., Evans C.A.W., Nash T.E., Takayanagui O.M., White Jr. A.C., Botero D., Rajshekhar V., Tsang V.C.W., Schantz P.M.",08938512,"Clinical Microbiology Reviews",15, 4,71,9,11,20,14,105
2002,"Steroids fail to down-regulate respiratory syncytial virus-induced IL-8 secretion in infants","Thomas L.H., Sharland M., Friedland J.S.",00313998,"Pediatric Research",52, 3,7,2,2,4,0,11
2002,"Differential regulation of chemokine secretion in tuberculous and staphylococcal osteomyelitis","Wright K.M., Friedland J.S.",08840431,"Journal of Bone and Mineral Research",17, 9,6,0,3,3,1,10
2002,"Interleukin-8 secretion from Mycobacterium tuberculosis-infected monocytes is regulated by protein tyrosine kinases but not by ERK1/2 or p38 mitogen-activated protein kinases","Ameixa C., Friedland J.S.",00199567,"Infection and Immunity",70, 8,10,3,5,8,1,19
2002,"Prosthetic valve endocarditis caused by Bartonella quintana","Klein J.L., Nair S.K., Harrison T.G., Hunt I., Fry N.K., Friedland J.S.",10806040,"Emerging Infectious Diseases",8, 2,3,3,2,5,0,8
2002,"Differential regulation of MMP-1/9 and TIMP-1 secretion in human monocytic cells in response to Mycobacterium tuberculosis","Friedland J.S., Shaw T.C., Price N.M., Dayer J.-M.",0945053X,"Matrix Biology",21, 1,8,3,0,3,2,13
2002,"High rates of tuberculosis in end-stage renal failure: The impact of international migration","Moore D.A.J., Lightstone L., Javid B., Friedland J.S.",10806040,"Emerging Infectious Diseases",8, 1,12,2,2,4,2,18
2001,"The ninety-fifth annual general meeting of the association of physicians of Great Britain and Ireland 2001","Finlayson N.D.C., Vallance P., Whyte M., Seckl J.R., Jung R., McKillop J.H., Stout R.W., Atkinson A.B., Tomkin G.H., Adgey A.A.J., Axon A.T.R., Tomlinson S., Beck P., Eastwood J.B., Fitzgerald M., Godman M.J., Heath D.A., Kendall M.J., MacGregor G.A., Petrie J.C., Ell R.G.G., Allan R.N., Weetman A.P., Barry R.E., Boulton Jones J.M., Evans C.C., George C.F., Heading R.C., Jewell D.P., Lazarus J.H., Parker A.C., Rawlins M.D., Thurston H., Connell J.M.C., Cappuccio F.P., Conlon C.P., John C.S., Dornhurst A., Douglas J.G., Elborn J.S., El-Omar E., Friedland J.S., Gilks C.F., Groves R.W., Hill A.V.S., Hall A.S., Hawkey C.J., Hillhouse E., Hughes J., Isaacs J., Jardine A.G., Jodrell D.I., Jones D.E.J., Monson J.P., Price P., Savage C.O., Pugh C.W., Ray D.W., Santis G., Satsangi J., Scott D.G.I., Scott D.L., Vickers M.A., Wardlaw A., Wiles C.M., Williams B., Ireland J.",14602725,"QJM - Monthly Journal of the Association of Physicians",94, 11,0,0,0,0,0,0
2001,"Regulation of interleukin-8 gene expression after phagocytosis of zymosan by human monocytic cells","Friedland J.S., Constantin D., Shaw T.C., Stylianou E.",07415400,"Journal of Leukocyte Biology",70, 3,14,2,2,4,0,18
2001,"Europe's health-care lottery","Hargreaves S., Holmes A., Friedland J.S.",01406736,"Lancet",357, 9266,2,0,1,1,0,3
2001,"Down-regulation of interleukin-8 secretion from Mycobacterium tuberculosis-infected monocytes by interleukin-4 and -10 but not by interleukin-13","Ameixa C., Friedland J.S.",00199567,"Infection and Immunity",69, 4,18,1,1,2,0,20
2001,"Identification of a matrix-degrading phenotype in human tuberculosis in vitro and in vivo","Price N.M., Farrar J., Chau T.T.H., Mai N.T.H., Hien T.T., Friedland J.S.",00221767,"Journal of Immunology",166, 6,21,6,4,10,4,35
2000,"Basic epidemiology and immunopathology of RSV in children","Handforth J., Friedland J.S., Sharland M.",15260550,"Paediatric Respiratory Reviews",1, 3,7,2,4,6,2,15
2000,"Synergistic upregulation of interleukin-8 secretion from pulmonary epithelial cells by direct and monocyte-dependent effects of respiratory syncytial virus infection","Thomas L.H., Wickremasinghe M.I.Y., Sharland M., Friedland J.S.",0022538X,"Journal of Virology",74, 18,15,4,2,6,0,21
2000,"Refugees, asylum seekers, and general practice: Room for improvement?","Hargreaves S., Holmes A., Friedland J.S.",09601643,"British Journal of General Practice",50, 456,7,1,0,1,1,9
2000,"Local and systemic concentrations of tumour necrosis factor-?, interleukin-6 and interleukin-8 in bacterial osteomyelitis","Fullilove S., Jellis J., Hughes S.P.F., Remick D.G., Friedland J.S.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",94, 2,4,0,1,1,0,5
2000,"Regulation of IL-10 secretion after phagocytosis of Mycobacterium tuberculosis by human monocytic cells","Shaw T.C., Thomas L.H., Friedland J.S.",10434666,"Cytokine",12, 5,13,0,1,1,2,16
2000,"Rapid, efficient detection and drug susceptibility testing of Mycobacterium tuberculosis in sputum by microscopic observation of broth cultures","Caviedes L., Valencia T., Chumpitaz R., Salas I., Recavarren S., Cama R., Cabrera L., Franchi L.M., Ticona E., Ticona L., Chavez V., Tien-Shun L., Vivar A., Rodriguez S., Checkley W., Black R., Franzblau S., Friedland J., Evans C., Gilman R.H., Sheen P., Spellman E., Lee E.H., Berg D.E., Montenegro-James S., Fuentes P.",00951137,"Journal of Clinical Microbiology",38, 3,35,13,12,25,8,68
1999,"Upper respiratory tract infections","Moore D.A.J., Sharland M., Friedland J.S.",10705287,"Current Opinion in Pulmonary Medicine",5, 3,3,0,0,0,0,3
1999,"Pulmonary epithelial cells are a source of IL-8 in the response to Mycobacterium tuberculosis: Essential role of IL-1 from infected monocytes in a NF-?B-dependent network","Wickremasinghe M.I., Thomas L.H., Friedland J.S.",00221767,"Journal of Immunology",163, 7,51,10,8,18,4,73
1999,"Health-care provision for asylum seekers and refugees in the UK","Hargreaves S., Holmes A., Friedland J.S.",01406736,"Lancet",353, 9163,9,2,1,3,0,12
1998,"Elevated concentrations of eotaxin and interleukin-5 in human neurocysticercosis","Evans C.A.W., Garcia H.H., Hartnell A., Gilman R.H., Jose P.J., Martinez M., Remick D.G., Williams T.J., Friedland J.S.",00199567,"Infection and Immunity",66, 9,23,2,0,2,1,26
1998,"Antibiotic treatment of adults with chest infection in general practice","Collier J., Howard J.V., Laroche C., Marlow H., Mortimer A., Smith E., Stephenson T., Williams H.C., Iheanacho I., Hart S., Barnett H., Fox T., Greaves N., Tarr A., Barnes D., Friedland J.S.",00126543,"Drug and Therapeutics Bulletin",36, 9,3,0,0,0,0,3
1998,"Respiratory syncytial virus-induced RANTES production from human bronchial epithelial cells is dependent on nuclear factor-?B nuclear binding and is inhibited by adenovirus-mediated expression of inhibitor of ?B?","Thomas L.H., Friedland J.S., Sharland M., Becker S.",00221767,"Journal of Immunology",161, 2,78,4,6,10,2,90
1998,"Tumor necrosis factor-?, interleukin-6, and interleukin-8 secretion and the acute-phase response in patients with bacterial and tuberculous osteomyelitis","Evans C.A.W., Jellis J., Hughes S.P.F., Romick D.G., Friedland J.S.",00221899,"Journal of Infectious Diseases",177, 6,15,4,2,6,0,21
1998,"Randomised controlled trials in single patients","Collier J., Barnes D., Friedland J.S., Howard J.V., Marlow H., Stephenson T., Iheanacho I., Picton C., Barnett H., Fox T., Greaves N., Tarr A., Sowter E., Stanley H.",00126543,"Drug and Therapeutics Bulletin",36, 5,3,0,0,0,0,3
1998,"Cytokines in infectious diseases","Friedland J.S.",00358819,"Journal of the Royal College of Physicians of London",32, 3,4,0,0,0,0,4
1998,"Spontaneous breast abscess due to Mycobacterium fortuitum","Cooke F.J., Friedland J.S.",10584838,"Clinical Infectious Diseases",26, 3,9,1,1,2,0,11
1997,"Monitoring compliance with antituberculous treatment by detection of isoniazid in urine","Elizaga J., Friedland J.S.",01406736,"Lancet",350, 9086,10,1,1,2,0,12
1997,"Acamprosate for alcohol dependence?","Collier J., Crawford P., Finer N., Friedland J.S., Hawkins P., Laroche C., Smith C., Stephenson T., Vallance P., Williams H.C., Iheanacho I., Picton C., Barnett H., Fox T., Gill L., Greaves N., Norquay C., Sowter E.",00126543,"Drug and Therapeutics Bulletin",35, 9,2,0,0,0,0,2
1997,"Controversies in the management of cysticercosis.","Evans C., Garcia H.H., Gilman R.H., Friedland J.S.",10806040,"Emerging infectious diseases",3, 3,18,1,3,4,0,22
1997,"TB still a global killer [1]","Friedland J.S.",00280836,"Nature",387, 6630,6,0,0,0,0,6
1996,"Persistent fever in pulmonary tuberculosis: Drug malabsorption should be considered","Barakat M.T., Scott J., Hughes J.M.B., Walport M., Calam J., Friedland J.S., Ind P.W., McKenna C.",09598146,"British Medical Journal",313, 7071,6,0,0,0,0,6
1996,"Plasma proinflammatory cytokine concentrations, Acute Physiology and Chronic Health Evaluation (APACHE) III scores and survival in patients in an intensive care unit","Friedland J.S., Porter J.C., Daryanani S., Bland J.M., Screaton N.J., Vesely M.J.J., Griffin G.E., Bennett E.D., Remick D.G.",00903493,"Critical Care Medicine",24, 11,77,3,4,7,0,84
1996,"Further echoes of the Spanish lady [28]","Porter J.C., Bennett E.D., Friedland J.S.",01406736,"Lancet",348, 9028,0,1,0,1,0,1
1996,"Cytokine secretion in vivo and ex vivo following chemotherapy of Mycobacterium tuberculosis infection","Friedland J.S., Hartley J.C., Hartley C.G.C., Shattock R.J., Griffin G.E.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",90, 2,15,0,0,0,0,15
1996,"Chemokines in viral disease","Friedland J.S.",09232516,"Research in Virology",147, 2-3,26,1,2,3,1,30
1996,"Tuberculous enteritis. A serious possibility in some patients","Ahmed F.B., Scott J., Hodgson H.J.F., Oakley C.M., Friedland J.S., Ind P.W., Stamp G.",09598146,"British Medical Journal",313, 7051,6,0,0,0,0,6
1995,"Inhibition of ex vivo proinflammatory cytokine secretion in fatal Mycobacterium tuberculosis infection","Friedland J.S., Hartley J.C., Hartley C.G.C., Shattock R.J., Griffin G.E.",00099104,"Clinical and Experimental Immunology",100, 2,30,3,2,5,1,36
1995,"Elevated plasma interleukin 8 in respiratory syncytial virus bronchiolitis [1]","Biswas S., Friedland J.S., Remick D.G., Davies E.G., Sharland M.",08913668,"Pediatric Infectious Disease Journal",14, 10,11,0,1,1,1,13
1995,"Chemokines and human infection","Friedland J.S.",01435221,"Clinical Science",88, 4,13,0,0,0,0,13
1995,"Cytokine therapy in septic shock [5]","Friedland J.S., Porter J.C., Chrousos G.P.",00284793,"New England Journal of Medicine",333, 14,1,0,0,0,0,1
1994,"Tuberculous bronchoesophageal fistulae in patients infected with the human immunodeficiency virus: Three case reports and review","Porter J.C., Friedland J.S., Freedman A.R.",10584838,"Clinical Infectious Diseases",19, 5,12,2,3,5,0,17
1994,"Two cases of soft-tissue infection caused by Arcanobacterium haemolyticum [8]","Esteban J., Zapardiel J., Soriano F., Friedland J.S.",10584838,"Clinical Infectious Diseases",18, 5,8,0,0,0,0,8
1994,"Hiccups, toxoplasmosis, and AIDS [7]","Friedland J.S.",10584838,"Clinical Infectious Diseases",18, 5,3,0,0,0,0,3
1994,"Phagocytosis of Mycobacterium tuberculosis modulates human immunodeficiency virus replication in human monocytic cells","Shattock R.J., Friedland J.S., Griffin G.E.",00221317,"Journal of General Virology",75, 4,31,1,0,1,0,32
1994,"Q fever and intrauterine death [1]","Friedland J.S., Jeffrey I., Griffin G.E., Booker M., Courtenay-Evans R.",01406736,"Lancet",343, 8892,12,1,0,1,1,14
1994,"Chemotactic cytokines and tuberculosis","Friedland J.S.",03005127,"Biochemical Society Transactions",22, 2,10,0,0,0,0,10
1993,"Phagocytosis of Mycobacterium tuberculosis or particulates stimuli by human monocytic cells induces equivalent monocyte chemotactic protein-1 gene expression","Friedland J.S., Shattock R.J., Griffin G.E.",10434666,"Cytokine",5, 2,20,0,1,1,0,21
1993,"Interleukin-8 and Plasmodium falciparum malaria in Thailand","Friedland J.S., Ho M., Remick D.G., Bunnag D., White N.J., Griffin G.E.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",87, 1,16,0,2,2,0,18
1993,"Uncommon infections: 7. Brucellosis","Friedland J.S.",00327611,"Prescribers' Journal",33, 1,0,0,0,0,0,0
1993,"Mycobacterial 65-kD heat shock protein induces release of proinflammatory cytokines from human monocytic cells","Friedland J.S., Shattock R., Remick D.G., Griffin G.E.",00099104,"Clinical and Experimental Immunology",91, 1,57,7,5,12,1,70
1993,"Modulation of HIV transcription in and release from human monocytic cells following phagocytosis of Mycobacterium tuberculosis","Shattock R.J., Friedland J.S., Griffin G.E.",09232516,"Research in Virology",144, 1,16,0,1,1,0,17
