,"Authors: Cherepanov, Peter P.; Cherepanov, Peter A.",,,,,,,,,,,
2005,"Structural basis for the recognition between HIV-1 integrase and transcriptional coactivator p75","Cherepanov P., Ambrosio A.L.B., Rahman S., Ellenberger T., Engelman A.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",102, 48,13,19,19,38,17,68
2005,"Lys-34, dispensable for integrase catalysis, is required for preintegration complex function and human immunodeficiency virus type 1 replication","Lu R., Vandegraaff N., Cherepanov P., Engelman A.",0022538X,"Journal of Virology",79, 19,3,4,4,8,5,16
2005,"Mutations in both env and gag genes are required for HIV-1 resistance to the polysulfonic dendrimer SPL2923, as corroborated by chimeric virus technology","Hantson A., Debyser Z., Witvrouw M., Fikkert V., Van Remoortel B., Pannecouque C., Cherepanov P., Matthews B., Holan G., De Clercq E., Vandamme A.-M.",09563202,"Antiviral Chemistry and Chemotherapy",16, 4,0,0,0,0,0,0
2005,"Solution structure of the HIV-1 integrase-binding domain in LEDGF/p75","Cherepanov P., Sun Z.-Y.J., Rahman S., Maertens G., Wagner G., Engelman A.",15459993,"Nature Structural and Molecular Biology",12, 6,17,15,13,28,15,60
2004,"Class II integrase mutants with changes in putative nuclear localization signals are primarily blocked at a postnuclear entry step of human immunodeficiency virus type 1 replication","Lu R., Limon A., Devroe E., Silver P.A., Cherepanov P., Engelman A.",0022538X,"Journal of Virology",78, 23,18,9,10,19,6,43
2004,"Identification of an evolutionarily conserved domain in human lens epithelium-derived growth factor/transcriptional co-activator p75 (LEDGF/p75) that binds HIV-1 integrase","Cherepanov P., Devroe E., Silver P.A., Engelman A.",00219258,"Journal of Biological Chemistry",279, 47,22,14,17,31,11,64
2004,"Identification and characterization of a functional nuclear localization signal in the HIV-1 integrase interactor LEDGF/p75","Maertens G., Cherepanov P., Debyser Z., Engelborghs Y., Engelman A.",00219258,"Journal of Biological Chemistry",279, 32,27,9,7,16,4,47
2004,"Expression of HIV-1 integrase in CEM cells inhibits HIV-1 replication","van Griensven J., Zhan X., Van Maele B., Pluymers W., Michiels M., De Clercq E., Cherepanov P., Debyser Z.",1099498X,"Journal of Gene Medicine",6, 3,0,0,0,0,0,0
2003,"LEDGF/p75 is essential for nuclear and chromosomal targeting of HIV-1 integrase in human cells","Maertens G., Cherepanov P., Pluymers W., Busschots K., De Clercq E., Debyser Z., Engelborghs Y.",00219258,"Journal of Biological Chemistry",278, 35,64,26,25,51,25,140
2003,"Erratum: env Chimeric virus technology for evaluating human immunodeficiency virus susceptibility to entry inhibitors (Antimicrobial Agents and Chemotherap (46:12) (3954-3962))","Fikkert V., Witvrouw M., Cherepanov P., Van Laethem K., Hantson A., Van Remoortel B., Pannecouque C., De Clercq E., Debyser Z., Vandamme A.-M.",00664804,"Antimicrobial Agents and Chemotherapy",47, 3,0,0,0,0,0,0
2003,"pH6 antigen of Yersinia pestis interacts with plasma lipoproteins and cell membranes","Makoveichuk E., Cherepanov P., Lundberg S., Forsberg A., Olivecrona G.",00222275,"Journal of Lipid Research",44, 2,5,5,2,7,2,14
2003,"HIV-1 integrase forms stable tetramers and associates with LEDGF/p75 protein in human cells","Cherepanov P., Maertens G., Proost P., Devreese B., Van Beeumen J., Engelborghs Y., De Clercq E., Debyser Z.",00219258,"Journal of Biological Chemistry",278, 1,80,29,34,63,23,166
2002,"env chimeric virus technology for evaluating human immunodeficiency virus susceptibility to entry inhibitors","Fikkert V., Witvrouw M., Cherepanov P., Van Laethem K., Hantson A., Van Remoortel B., Pannecouque C., De Clercq E., Debyser Z., Vandamme A.-M.",00664804,"Antimicrobial Agents and Chemotherapy",46, 12,18,5,3,8,4,30
2002,"New class of HIV integrase inhibitors that block viral replication in cell culture","Pannecouque C., Pluymers W., Van Maele B., Tetz V., Cherepanov P., De Clercq E., Witvrouw M., Debyser Z.",09609822,"Current Biology",12, 14,40,12,5,17,6,63
2002,"Role of Yersinia murine toxin in survival of Yersinia pestis in the midgut of the flea vector","Hinnebusch B.J., Rudolph A.E., Cherepanov P., Dixon J.E., Schwan T.G., Forsberg A.",00368075,"Science",296, 5568,53,14,17,31,12,96
2002,"In search of authentic inhibitors of HIV-1 integration","Debyser Z., Cherepanov P., Van Maele B., De Clercq E., Witvrouw M.",09563202,"Antiviral Chemistry and Chemotherapy",13, 1,16,1,0,1,3,20
2001,"The Yersinia YopE and YopH type III effector proteins enhance bacterial proliferation following contact with eukaryotic cells.","Bartra S., Cherepanov P., Forsberg A., Schesser K.",14712180,"BMC microbiology [electronic resource]",1, 1,2,3,1,4,1,7
2001,"The Yersinia YopE and YopH type III effector proteins enhance bacterial proliferation following contact with eukaryotic cells","Bartra S., Cherepanov P., Forsberg A., Schesser K.",14712180,"BMC Microbiology",1, ,3,2,0,2,0,5
2001,"Assays for the evaluation of HIV-1 integrase inhibitors.","Debyser Z., Cherepanov P., Pluymers W., De Clercq E.",10643745,"Methods in molecular biology (Clifton, N.J.)",160, ,14,2,6,8,1,23
2000,"DNA-dependent protein kinase is not required for efficient lentivirus integration","Baekelandt V., Claeys A., Cherepanov P., De Clercq E., De Strooper B., Nuttin B., Debyser Z.",0022538X,"Journal of Virology",74, 23,38,2,1,3,2,43
2000,"Murine toxin of Yersinia pestis shows phospholipase D activity but is not required for virulence in mice","Hinnebusch J., Cherepanov P., Du Y., Rudolph A., Dixon J.D., Schwan T., Forsberg A.",14384221,"International Journal of Medical Microbiology",290, 4-5,26,5,1,6,5,37
2000,"High-level expression of active HIV-1 integrase from a synthetic gene in human cells","Cherepanov P., Pluymers W., Claeys A., Proost P., De Clercq E., Debyser Z.",08926638,"FASEB Journal",14, 10,27,8,5,13,1,41
1999,"Characterization of a dam mutant of Serratia marcescens and nucleotide sequence of the dam region","Ostendorf T., Cherepanov P., De Vries J., Wackernagel W.",00219193,"Journal of Bacteriology",181, 13,9,1,0,1,0,10
1999,"Nuclear localization of human lmmunodeficiency virus type 1 integrase expressed as a fusion protein with green fluorescent protein","Pluymers W., Cherepanov P., Schols D., De Clercq E., Debyser Z.",00426822,"Virology",258, 2,47,8,2,10,1,58
1999,"Activity of recombinant HIV-1 integrase on mini-HIV DNA","Cherepanov P., Surratt D., Toelen J., Pluymers W., Griffith J., De Clercq E., Debyser Z.",03051048,"Nucleic Acids Research",27, 10,15,6,3,9,4,28
1998,"Human immunodeficiency virus glycoprotein gp120 as the primary target for the antiviral action of AR177 (Zintevir)","Este J.A., Clotet B., Desmyter J., De Clercq E., Cabrera C., Schols D., Cherepanov P., Gutierrez A., Witvrouw M., Pannecouque C., Debyser Z., Rando R.F.",0026895X,"Molecular Pharmacology",53, 2,74,5,6,11,1,86
1997,"Mode of interaction of G-quartets with the integrase of human immunodeficiency virus type 1","Cherepanov P., Este J.A., Rando R.F., Ojwang J.O., Reekmans G., Steinfeld R., David G., De Clercq E., Debyser Z.",0026895X,"Molecular Pharmacology",52, 5,56,7,4,11,1,68
1997,"SRR-SB3, a disulfide-containing macrolide that inhibits a late stage of the replicative cycle of human immunodeficiency virus","Witvrouw M., Vandamme A.-M., Desmyter J., Ramadas S.R., De Clercq E., Balzarini J., Pannecouque C., Jhaumeer-Laulloo S., Este J.A., Schols D., Cherepanov P., Schmit J.-C., Debyser Z.",00664804,"Antimicrobial Agents and Chemotherapy",41, 2,35,2,0,2,0,37
1995,"Gene disruption in Escherichia coli: Tc(R) and Km(R) cassettes with the option of Flp-catalyzed excision of the antibiotic-resistance determinant","Cherepanov P.P., Wackernagel W.",03781119,"Gene",158, 1,145,42,52,94,45,284
1991,"Cloning and detailed mapping of the fra-ymt region of the Yersinia pestis pFra plasmid | Klonirovanie i detal'noe kartirovanie fra-ymt-oblasti plazmidy pFra Yersinia pestis.","Cherepanov P.A., Mikhailova T.G., Karimova G.A., Zakharova N.M., Ershov I.V., Volkovoi K.I.",02080613,"Molekuliarnaia genetika, mikrobiologiia i virusologiia",, 12,19,0,1,1,0,20
1991,"Specific proteolysis by fibrinolysin-coagulase from Yersinia pestis of Yersinia pseudotuberculosis outer membrane proteins coded by the Ca(2+)-dependence plasmid | Spetsificheski? proteoliz fibrinolizinokoagulazo? Yersinia pestis belkov vneshne? membrany, kodiruemykh plazmido? Ca(2+)-zavisimosti v Yersinia pseudotuberculosis.","Shmelev V.A., Cherepanov P.A., Nosova L.I., Karimova G.A., Popov S.G., Noskov A.N.",02080613,"Molekuliarnaia genetika, mikrobiologiia i virusologiia",, 1,0,0,0,0,0,0
