2008,"The in vivo properties of STX243: A potent angiogenesis inhibitor in breast cancer","Parsons M.F.C., Foster P.A., Chander S.K., Jhalli R., Newman S.P., Leese M.P., Potter B.V.L., Purohit A., Reed M.J.",00070920,"British Journal of Cancer",99, 9,0,0,1,0,1,0,1
2008,"Recent developments of steroid sulfatase inhibitors as anti-cancer agents.","Foster P.A., Reed M.J., Purohit A.",18715206,"Anti-cancer agents in medicinal chemistry",8, 7,2,3,5,0,8,0,10
2008,"Efficacy of three potent steroid sulfatase inhibitors: Pre-clinical investigations for their use in the treatment of hormone-dependent breast cancer","Foster P.A., Chander S.K., Parsons M.F.C., Newman S.P., Woo L.W.L., Potter B.V.L., Reed M.J., Purohit A.",01676806,"Breast Cancer Research and Treatment",111, 1,3,0,3,1,4,0,7
2008,"2-MeOE2bisMATE and 2-EtE2bisMATE induce cell cycle arrest and apoptosis in breast cancer xenografts as shown by a novel ex vivo technique","Foster P.A., Ho Y.T., Newman S.P., Kasprzyk P.G., Leese M.P., Potter B.V.L., Reed M.J., Purohit A.",01676806,"Breast Cancer Research and Treatment",111, 2,4,4,1,0,5,0,9
2008,"Design and validation of specific inhibitors of 17?-hydroxysteroid dehydrogenases for therapeutic application in breast and prostate cancer, and in endometriosis","Day J.M., Tutill H.J., Purohit A., Reed M.J.",13510088,"Endocrine-Related Cancer",15, 3,13,12,22,3,37,0,50
2008,"The use of steroid sulfatase inhibitors as a novel therapeutic strategy against hormone-dependent endometrial cancer","Foster P.A., Woo L.W.L., Potter B.V.L., Reed M.J., Purohit A.",00137227,"Endocrinology",149, 8,1,0,6,3,9,0,10
2008,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: Synthesis, absolute configuration, and in vitro activity","Wood P.M., Reed M.J., Potter B.V.L., Woo L.W.L., Labrosse J.-R., Trusselle M.N., Abbate S., Longhi G., Castiglioni E., Lebon F., Purohit A.",00222623,"Journal of Medicinal Chemistry",51, 14,5,4,7,2,13,0,18
2008,"Steroid sulfatase inhibitors for the topical treatment of skin disorders","Reed M.J., Purohit A., Woo L.W.L., Potter B.V.L.",03778282,"Drugs of the Future",33, 7,0,0,4,1,5,0,5
2008,"17?-Hydroxysteroid dehydrogenase Type 1, and not Type 12, is a target for endocrine therapy of hormone-dependent breast cancer","Day J.M., Potter B.V.L., Reed M.J., Purohit A., Foster P.A., Tutill H.J., Parsons M.F.C., Newman S.P., Chander S.K., Allan G.M., Lawrence H.R., Vicker N.",00207136,"International Journal of Cancer",122, 9,25,11,13,5,29,0,54
2008,"Inhibition of steroid sulphatase activity via the percutaneous route: A new option for breast cancer therapy","Purohit A., Chander S.K., Woo L.W.L., Parsons M.F.C., Jhalli R., Potter B.V.L., Reed M.J.",02507005,"Anticancer Research",28, 3 A,1,2,3,0,5,0,6
2008,"A comparison of two orally bioavailable anti-cancer agents, IRC-110160 and STX140","Foster P.A., Stengel C., Ali T., Leese M.P., Potter B.V.L., Reed M.J., Purohit A., Newman S.P.",02507005,"Anticancer Research",28, 3 A,2,1,0,0,1,0,3
2008,"Novel inhibitors of 17?-hydroxysteroid dehydrogenase type 1: Templates for design","Allan G.M., Potter B.V.L., Vicker N., Lawrence H.R., Tutill H.J., Day J.M., Huchet M., Ferrandis E., Reed M.J., Purohit A.",09680896,"Bioorganic and Medicinal Chemistry",16, 8,10,7,5,4,16,0,26
2008,"Non-steroidal aromatase inhibitors based on a biphenyl scaffold: Synthesis, in vitro SAR, and molecular modelling","Jackson T., Woo L.W.L., Trusselle M.N., Purohit A., Reed M.J., Potter B.V.L.",18607179,"ChemMedChem",3, 4,4,5,4,0,9,0,13
2008,"Structure-activity relationships of C-17 cyano-substituted estratrienes as anticancer agents","Leese M.P., Di Fiore A., De Simone G., Supuran C.T., Purohit A., Reed M.J., Potter B.V.L., Jourdan F.L., Gaukroger K., Mahon M.F., Newman S.P., Foster P.A., Stengel C., Regis-Lydi S., Ferrandis E.",00222623,"Journal of Medicinal Chemistry",51, 5,5,3,4,1,8,0,13
2008,"A new micronized formulation of 2-methoxyestradiol-bis-sulfamate (STX140) is therapeutically potent against breast cancer","Foster P.A., Newman S.P., Leese M.P., Bernetiere S., Diolez C., Camara J., Hacher B., Baronnet M.-M., Ali T., Potter B.V.L., Reed M.J., Purohit A.",02507005,"Anticancer Research",28, 2 A,2,1,1,0,2,0,4
2008,"Effects of mutations and glycosylations on STS activity: A site-directed mutagenesis study","Stengel C., Newman S.P., Day J.M., Tutill H.J., Reed M.J., Purohit A.",03037207,"Molecular and Cellular Endocrinology",283, 1-2,1,0,1,0,1,0,2
2008,"Inhibition of steroid sulphatase activity in endometriotic implants by 667 COUMATE: A potential new therapy","Purohit A., Fusi L., Brosens J., Woo L.W.L., Potter B.V.L., Reed M.J.",02681161,"Human Reproduction",23, 2,7,1,6,0,7,0,14
2008,"STX140 is efficacious in vitro and in vivo in taxane-resistant breast carcinoma cells","Newman S.P., Potter B.V.L., Reed M.J., Purohit A., Foster P.A., Stengel C., Day J.M., Ho Y.T., Judde J.-G., Lassalle M., Prevost G., Leese M.P.",10780432,"Clinical Cancer Research",14, 2,7,4,6,1,11,0,18
2007,"The therapeutic potential of a series of orally bioavailable anti-angiogenic microtubule disruptors as therapy for hormone-independent prostate and breast cancers","Newman S.P., Purohit A., Foster P.A., Ho Y.T., Day J.M., Raobaikady B., Kasprzyk P.G., Leese M.P., Potter B.V.L., Reed M.J.",00070920,"British Journal of Cancer",97, 12,6,3,2,0,5,0,11
2007,"Erratum: Dual aromatase-sulfatase inhibitors based on the anastrozole template: Synthesis, in vitro SAR, molecular modelling and in vivo activity (Organic and Biomolecular Chemistry (2007) 5 (2940-2952)","Jackson T., Woo L.W.L., Trusselle M.N., Chander S.K., Purohit A., Reed M.J., Potter B.V.L.",14770520,"Organic and Biomolecular Chemistry",5, 20,0,0,0,0,0,0,0
2007,"3,17-Disubstituted 2-alkylestra-1,3,5(10)-trien-3-ol derivatives: Synthesis, in vitro and in vivo anticancer activity","Bubert C., Reed M.J., Potter B.V.L., Leese M.P., Mahon M.F., Ferrandis E., Regis-Lydi S., Kasprzyk P.G., Newman S.P., Ho Y.T., Purohit A.",00222623,"Journal of Medicinal Chemistry",50, 18,6,1,6,2,9,0,15
2007,"Dual aromatase-sulfatase inhibitors based on the anastrozole template: Synthesis, in vitro SAR, molecular modelling and in vivo activity","Jackson T., Woo L.W.L., Trusselle M.N., Chander S.K., Purohit A., Reed M.J., Potter B.V.L.",14770520,"Organic and Biomolecular Chemistry",5, 18,11,4,8,3,15,0,26
2007,"Dual aromatase-steroid sulfatase inhibitors","Woo L.W.L., Bubert C., Sutcliffe O.-B., Smith A., Chander S.K., Mahon M.F., Purohit A., Reed M.J., Potter B.V.L.",00222623,"Journal of Medicinal Chemistry",50, 15,16,6,14,2,22,0,38
2007,"Measurement of estrone sulfate in postmenopausal women: Comparison of direct RIA and GC-MS/MS methods for monitoring response to endocrine therapy in women with breast cancer","Stanway S.J., Purohit A., Reed M.J.",02507005,"Anticancer Research",27, 4 C,0,3,2,0,5,0,5
2007,"Steroid sulfatase: A new target for the endocrine therapy of breast cancer","Stanway S.J., Delavault P., Purohit A., Woo L.W.L., Thurieau C., Potter B.V.L., Reed M.J.",10837159,"Oncologist",12, 4,21,10,6,1,17,0,38
2007,"In vivo inhibition of angiogenesis by sulphamoylated derivatives of 2-methoxyoestradiol","Chander S.K., Foster P.A., Leese M.P., Newman S.P., Potter B.V.L., Purohit A., Reed M.J.",00070920,"British Journal of Cancer",96, 9,13,6,4,0,10,0,23
2007,"Inhibition of human and rat 11?-hydroxysteroid dehydrogenase type 1 by 18?-glycyrrhetinic acid derivatives","Su X., Vicker N., Lawrence H., Smith A., Purohit A., Reed M.J., Potter B.V.L.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",104, 3-5,8,4,2,0,6,0,14
2007,"Tibolone and its delta-4, 7?-methyl norethisterone metabolite are reversible inhibitors of human aromatase","Raobaikady B., Parsons M.F.C., Reed M.J., Purohit A.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",104, 3-5,3,1,0,0,1,0,4
2007,"Cytokines in human breast cyst fluid","Parish D.C., Ghilchik M.W., Day J.M., Eaton J., Purohit A., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",104, 3-5,1,0,0,1,1,0,2
2007,"Novel non-steroidal inhibitors of human 11?-hydroxysteroid dehydrogenase type 1","Vicker N., Su X., Ganeshapillai D., Smith A., Purohit A., Reed M.J., Potter B.V.L.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",104, 3-5,8,4,2,0,6,0,14
2006,"2-Substituted estradiol bis-sulfamates, multitargeted antitumor agents: Synthesis, in vitro SAR, protein crystallography, and in vivo activity","Leese M.P., Potter B.V.L., Leblond B., Smith A., Newman S.P., Di Fiore A., De Simone G., Supuran C.T., Purohit A., Reed M.J.",00222623,"Journal of Medicinal Chemistry",49, 26,23,6,10,2,18,0,41
2006,"In vivo efficacy of STX213, a second-generation steroid sulfatase inhibitor, for hormone-dependent breast cancer therapy","Foster P.A., Newman S.P., Chander S.K., Stengel C., Jhalli R., Woo L.L.W., Potter B.V.L., Reed M.J., Purohit A.",10780432,"Clinical Cancer Research",12, 18,13,5,4,2,11,0,24
2006,"Lack of aromatisation of the 3-keto-4-ene metabolite of tibolone to an estrogenic derivative","Raobaikady B., Parsons M.F.C., Reed M.J., Purohit A.",0039128X,"Steroids",71, 7,3,1,0,0,1,0,4
2006,"Focused libraries of 16-substituted estrone derivatives and modified e-ring steroids: inhibitors of 17beta-hydroxysteroid dehydrogenase type 1.","Vicker N., Reed M.J., Potter B.V., Lawrence H.R., Allan G.M., Bubert C., Smith A., Tutill H.J., Purohit A., Day J.M., Mahon M.F.",18607179,"ChemMedChem",1, 4,16,4,5,3,12,0,28
2006,"Novel, potent inhibitors of 17?-hydroxysteroid dehydrogenase type 1","Allan G.M., Bubert C., Vicker N., Smith A., Tutill H.J., Purohit A., Reed M.J., Potter B.V.L.",03037207,"Molecular and Cellular Endocrinology",248, 1-2,14,2,1,0,3,0,17
2006,"Benzothiazole derivatives as novel inhibitors of human 11?- hydroxysteroid dehydrogenase type 1","Su X., Vicker N., Ganeshapillai D., Smith A., Purohit A., Reed M.J., Potter B.V.L.",03037207,"Molecular and Cellular Endocrinology",248, 1-2,17,3,0,1,4,0,21
2006,"17?-Hydroxysteroid dehydrogenase Type 1 and Type 2: Association between mRNA expression and activity in cell lines","Day J.M., Tutill H.J., Newman S.P., Purohit A., Lawrence H.R., Vicker N., Potter B.V.L., Reed M.J.",03037207,"Molecular and Cellular Endocrinology",248, 1-2,16,4,5,0,9,0,25
2006,"The regulation and inhibition of 17?-hydroxysteroid dehydrogenase in breast cancer","Purohit A., Potter B.V.L., Reed M.J., Tutill H.J., Day J.M., Chander S.K., Lawrence H.R., Allan G.M., Fischer D.S., Vicker N., Newman S.P.",03037207,"Molecular and Cellular Endocrinology",248, 1-2,13,5,1,0,6,0,19
2006,"Phase I study of STX 64 (667 Coumate) in breast cancer patients: The first study of a steroid sulfatase inhibitor","Stanway S.J., Kulinskaya E., Elliott M., Potter B.V.L., Reed M.J., Coombes R.C., Purohit A., Woo L.W.L., Sufi S., Vigushin D., Ward R., Wilson R.H., Stanczyk F.Z., Dobbs N.",10780432,"Clinical Cancer Research",12, 5,61,15,19,3,37,0,98
2006,"Modification of estrone at the 6, 16, and 17 positions: Novel potent inhibitors of 17?-hydroxysteroid dehydrogenase type 1","Allan G.M., Day J.M., Mahon M.F., Reed M.J., Potter B.V.L., Lawrence H.R., Cornet J., Bubert C., Fischer D.S., Vicker N., Smith A., Tutill H.J., Purohit A.",00222623,"Journal of Medicinal Chemistry",49, 4,21,6,4,0,10,0,31
2006,"The role of 17?-hydroxysteroid dehydrogenases in modulating the activity of 2-methoxyestradiol in breast cancer cells","Newman S.P., Ireson C.R., Tutill H.J., Day J.M., Parsons M.F.C., Leese M.P., Potter B.V.L., Reed M.J., Purohit A.",00085472,"Cancer Research",66, 1,18,6,4,0,10,0,28
2005,"Inhibition of MDA-MB-231 cell cycle progression and cell proliferation by C-2-substituted oestradiol mono- and bis-3-O-sulphamates","Raobaikady B., Reed M.J., Leese M.P., Potter B.V.L., Purohit A.",00207136,"International Journal of Cancer",117, 1,12,0,1,0,1,0,13
2005,"E-ring modified steroids as novel potent inhibitors of 17?- hydroxysteroid dehydrogenase type 1","Fischer D.S., Mahon M.F., Reed M.J., Potter B.V.L., Allan G.M., Bubert C., Vicker N., Smith A., Tutill H.J., Purohit A., Wood L., Packham G.",00222623,"Journal of Medicinal Chemistry",48, 18,31,8,4,3,15,0,46
2005,"A-ring-substituted estrogen-3-O-sulfamates: Potent multitargeted anticancer agents","Leese M.P., Hejaz H.A.M., Mahon M.F., Newman S.P., Purohit A., Reed M.J., Potter B.V.L.",00222623,"Journal of Medicinal Chemistry",48, 16,20,5,8,2,15,0,35
2005,"First crystal structures of human carbonic anhydrase II in complex with dual aromatase-steroid sulfatase inhibitors","Lloyd M.D., Thiyagarajan N., Ho Y.T., Woo L.W.L., Sutcliffe O.B., Purohit A., Reed M.J., Acharya K.R., Potter B.V.L.",00062960,"Biochemistry",44, 18,17,2,1,0,3,0,20
2005,"Novel and potent 17?-hydroxysteroid dehydrogenase type 1 inhibitors","Lawrence H.R., Vicker N., Allan G.M., Smith A., Mahon M.F., Tutill H.J., Purohit A., Reed M.J., Potter B.V.L.",00222623,"Journal of Medicinal Chemistry",48, 8,33,5,3,0,8,0,41
2005,"Steroid sulfatase: Molecular biology, regulation, and inhibition","Reed M.J., Purohit A., Woo L.W.L., Newman S.P., Potter B.V.L.",0163769X,"Endocrine Reviews",26, 2,126,23,27,13,63,0,189
2005,"The effects of 2-methoxyoestrogen sulphamates on the in vitro and in vivo proliferation of breast cancer cells","Utsumi T., Leese M.P., Chander S.K., Gaukroger K., Purohit A., Newman S.P., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",94, 1-3,10,4,2,0,6,0,16
2005,"The nature of inhibition of steroid sulphatase activity by tibolone and its metabolites","Raobaikady B., Day J.M., Purohit A., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",94, 1-3,8,1,2,1,4,0,12
2005,"Regulation of aromatase activity by cytokines, PGE2 and 2-methoxyoestrone-3-O-sulphamate in fibroblasts derived from normal and malignant breast tissues","Purohit A., Ghilchik M.W., Leese M.P., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",94, 1-3,6,0,1,0,1,0,7
2005,"A letrozole-based dual aromatase-sulphatase inhibitor with in vivo activity","Wood P.M., Woo L.W.L., Humphreys A., Chander S.K., Purohit A., Reed M.J., Potter B.V.L.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",94, 1-3,15,3,8,1,12,0,27
2005,"Crystal structure of human carbonic anhydrase II at 1.95 Å resolution in complex with 667-coumate, a novel anti-cancer agent","Lloyd M.D., Pederick R.L., Natesh R., Woo L.W.L., Purohit A., Reed M.J., Acharya K.R., Potter B.V.L.",02646021,"Biochemical Journal",385, 3,17,2,3,1,6,0,23
2005,"Anti-cancer activities of novel D-ring modified 2-substituted estrogen-3-O-sulfamates","Leese M.P., Leblond B., Newman S.P., Purohit A., Reed M.J., Potter B.V.L.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",94, 1-3,11,2,2,1,5,0,16
2004,"Pharmacokinetics of the nonsteroidal steroid sulphatase inhibitor 667 COUMATE and its sequestration into red blood cells in rats","Ireson C.R., Chander S.K., Purohit A., Parish D.C., Woo L.W.L., Potter B.V.L., Reed M.J.",00070920,"British Journal of Cancer",91, 7,9,1,2,0,3,0,12
2004,"The role of steroid sulphatase in regulating the oestrogenicity of oestrogen sulphamates","Chander S.K., Purohit A., Woo L.W.L., Potter B.V.L., Reed M.J.",0006291X,"Biochemical and Biophysical Research Communications",322, 1,7,2,3,1,6,0,13
2004,"Novel 18?-glycyrrhetinic acid analogues as potent and selective inhibitors of 11?-hydroxysteroid dehydrogenases","Su X., Lawrence H., Ganeshapillai D., Cruttenden A., Purohit A., Reed M.J., Vicker N., Potter B.V.L.",09680896,"Bioorganic and Medicinal Chemistry",12, 16,12,10,7,3,20,0,32
2004,"A novel 18?-glycyrrhetinic acid analogue as a potent and selective inhibitor of 11?-hydroxysteroid dehydrogenase 2","Vicker N., Su X., Lawrence H., Cruttenden A., Purohit A., Reed M.J., Potter B.V.L.",0960894X,"Bioorganic and Medicinal Chemistry Letters",14, 12,9,5,3,0,8,0,17
2004,"2-Alkylsulfanyl estrogen derivatives: Synthesis of a novel class of multi-targeted anti-tumour agents","Leese M.P., Newman S.P., Purohit A., Reed M.J., Potter B.V.L.",0960894X,"Bioorganic and Medicinal Chemistry Letters",14, 12,12,1,3,1,5,0,17
2004,"Synthesis, in vitro and in vivo activity of benzophenone-based inhibitors of steroid sulfatase","Hejaz H.A.M., Woo L.W.L., Purohit A., Reed M.J., Potter B.V.L.",09680896,"Bioorganic and Medicinal Chemistry",12, 10,17,2,3,1,6,0,23
2004,"2-MeOE2bisMATE induces caspase-dependent apoptosis in CAL51 breast cancer cells and overcomes resistance to TRAIL via cooperative activation of caspases","Wood L., Leese M.P., Mouzakiti A., Purohit A., Potter B.V.L., Reed M.J., Packham G.",13608185,"Apoptosis",9, 3,12,2,2,0,4,0,16
2004,"2-Difluoromethyloestrone 3-O-sulphamate, a highly potent steroid sulphatase inhibitor","Reed J.E., Woo L.W.L., Robinson J.J., Leblond B., Leese M.P., Purohit A., Reed M.J., Potter B.V.L.",0006291X,"Biochemical and Biophysical Research Communications",317, 1,16,1,4,1,6,0,22
2004,"Inhibition of in vitro angiogenesis by 2-methoxy- and 2-ethyl-estrogen sulfamates","Newman S.P., Leese M.P., Purohit A., James D.R.C., Rennie C.E., Potter B.V.L., Reed M.J.",00207136,"International Journal of Cancer",109, 4,32,5,3,0,8,0,40
2004,"Pharmacokinetics and efficacy of 2-methoxyoestradiol and 2-methoxyoestradiol-bis-sulphamate in vivo in rodents","Ireson C.R., Chander S.K., Purohit A., Perera S., Newman S.P., Parish D., Leese M.P., Smith A.C., Potter B.V.L., Reed M.J.",00070920,"British Journal of Cancer",90, 4,39,11,5,2,18,0,57
2003,"Steroid sulphatase inhibitors for breast cancer therapy","Purohit A., Reed M.J., Woo L.W.L., Chander S.K., Newman S.P., Ireson C., Ho Y., Grasso A., Leese M.P., Potter B.V.L.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",86, 3-5,32,5,1,2,8,0,40
2003,"The effects of 2-methoxy oestrogens and their sulphamoylated derivatives in conjunction with TNF-? on endothelial and fibroblast cell growth, morphology and apoptosis","Ho Y.T., Newman S.P., Purohit A., Leese M.P., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",86, 2,9,2,1,0,3,0,12
2003,"First dual aromatase-steroid sulfatase inhibitors","Woo L.W.L., Suteliffe O.B., Bubert C., Grasso A., Chander S.K., Purohit A., Reed M.J., Potter B.V.L.",00222623,"Journal of Medicinal Chemistry",46, 15,27,3,7,4,14,0,41
2003,"Inhibition of carbonic anhydrase II by steroidal and non-steroidal sulphamates","Ho Y.T., Reed M.J., Purohit A., Vicker N., Newman S.P., Robinson J.J., Leese M.P., Ganeshapillai D., Woo L.W.L., Potter B.V.L.",0006291X,"Biochemical and Biophysical Research Communications",305, 4,37,3,5,0,8,0,45
2003,"D-ring modified estrone derivatives as novel potent inhibitors of steroid sulfatase","Fischer D.S., Woo L.W.L., Mahon M.F., Purohit A., Reed M.J., Potter B.V.L.",09680896,"Bioorganic and Medicinal Chemistry",11, 8,22,3,2,4,9,0,31
2003,"Docking studies of sulphamate inhibitors of estrone sulphatase in human carbonic anhydrase II","Vicker N., Ho Y., Robinson J., Woo L.L.W., Purohit A., Reed M.J., Potter B.V.L.",0960894X,"Bioorganic and Medicinal Chemistry Letters",13, 5,29,1,0,0,1,0,30
2003,"Inhibition of IL-6+IL-6 soluble receptor-stimulated aromatase activity by the IL-6 antagonist, Sant 7, in breast tissue-derived fibroblasts","Purohit A., Singh A., Ghilchik M.W., Serlupi-Crescenzi O., Reed M.J.",00070920,"British Journal of Cancer",88, 4,5,1,1,1,3,0,8
2003,"Development of a sensitive high-performance liquid chromatography method for the detection of 667 COUMATE in vivo","Ireson C.R., Parish D., Purohit A., Woo L.W.L., Potter B.V.L., Chander S.K., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",84, 2-3,8,0,1,0,1,0,9
2003,"Growth inhibition of multi-drug-resistant breast cancer cells by 2-methoxyoestradiol-bis-sulphamate and 2-ethyloestradiol-bis-sulphamate","Suzuki R.N., Newman S.P., Purohit A., Leese M.P., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",84, 2-3,10,5,1,0,6,0,16
2003,"Inhibition of MCF-7 breast cancer cell proliferation and in vivo steroid sulphatase activity by 2-methoxyoestradiol-bis-sulphamate","Raobaikady B., Purohit A., Chander S.K., Woo L.W.L., Leese M.P., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",84, 2-3,26,5,1,1,7,0,33
2003,"Novel D-ring modified steroid derivatives as potent, non-estrogenic, steroid sulfatase inhibitors with in vivo activity","Fischer D.S., Chander S.K., Woo L.W.L., Fenton J.C., Purohit A., Reed M.J., Potter B.V.L.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",84, 2-3,19,1,4,1,6,0,25
2003,"The effects of 2-substituted oestrogen sulphamates on the growth of prostate and ovarian cancer cells","Day J.M., Newman S.P., Comninos A., Solomon C., Purohit A., Leese M.P., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",84, 2-3,16,3,0,0,3,0,19
2002,"Estrone 3-sulfate mimics, inhibitors of estrone sulfatase activity: Homology model construction and docking studies","Howarth N.M., Purohit A., Robinson J.J., Vicker N., Reed M.J., Potter B.V.L.",00062960,"Biochemistry",41, 50,12,0,1,1,2,0,14
2002,"Regulation of estrogen synthesis in postmenopausal women","Purohit A., Reed M.J.",0039128X,"Steroids",67, 12,48,4,9,0,13,0,61
2002,"The role of cytokines in regulating estrogen synthesis: Implications for the etiology of breast cancer","Purohit A., Newman S.P., Reed M.J.",14655411,"Breast Cancer Research",4, 2,54,6,16,3,25,0,79
2002,"Inhibition of oestrone sulphatase activity by tibolone and its metabolites","Purohit A., Malini B., Hooymans C., Newman S.P.",00185043,"Hormone and Metabolic Research",34, 1,20,0,0,0,0,0,20
2001,"Aromatase regulation and breast cancer","Reed M.J., Purohit A.",03000664,"Clinical Endocrinology",54, 5,40,2,2,0,4,0,44
2001,"Peptide inhibition of cytokine-stimulated aromatase activity in breast tissue fibroblasts","Parish D., Purohit A., Singh A., Rosankiewicz J., Ghilchik M.W., Reed M.J",09600760,"Journal of Steroid Biochemistry and Molecular Biology",79, 1-5,1,0,0,0,0,0,1
2001,"Inhibition of superoxide dismutase by 2-methoxyoestradiol analogues and oestrogen derivatives: Structure-activity relationships","Wood L., Leese M.P., Leblond B., Lawrence Woo L.W., Ganeshapillai D., Purohit A., Reed M.J., Potter B.V.L., Packham G.",02669536,"Anti-Cancer Drug Design",16, 4-5,17,2,3,0,5,0,22
2001,"Characteristics of cystic breast disease with special regard to breast cancer development","Budai B., Kralovanszky J., Szamel I., Sulyok Z., Nemet M., Bak M., Otto Sz., Reed M.J., Purohit A., Parish D.C.",02507005,"Anticancer Research",21, 1 B,3,0,0,0,0,0,3
2001,"Non-steroidal and steroidal sulfamates: New drugs for cancer therapy","Purohit A., Woo L.W.L, Barrow D., Hejaz H.A.M, Nicholson R.I, Potter B.V.L, Reed M.J",03037207,"Molecular and Cellular Endocrinology",171, 1-2,33,4,1,1,6,0,39
