,"Author: Boily, Marie Claude",,,,,,,,,,,
2007,"Quantifying HIV-1 transmission due to contaminated injections","White R.G., Boily M.-C., Hayes R.J., Kedhar A., Orroth K.K., Biraro S., Baggaley R.F., Whitworth J., Korenromp E.L., Ghani A.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 23,0,1,2,3,2,5
2007,"Modeling human papillomavirus vaccine effectiveness: Quantifying the impact of parameter uncertainty","Van De Velde N., Brisson M., Boily M.-C.",00029262,"American Journal of Epidemiology",165, 7,0,10,16,26,3,29
2006,"The role of sexually transmitted infections in male circumcision effectiveness against HIV - Insights from clinical trial simulation","Desai K., Boily M.-C., Garnett G.P., Masse B.R., Moses S., Bailey R.C.",17427622,"Emerging Themes in Epidemiology",3, ,0,2,4,6,3,9
2006,"What is the achievable effectiveness of the India AIDS Initiative intervention among female sex workers under target coverage? Model projections from southern India","Williams J.R., Lowndes C.M., Alary M., Boily M.-C., Foss A.M., Vickerman P., Watts C., Ramesh B.M., Reza-Paul S., Washington R.G., Moses S., Blanchard J.",13684973,"Sexually Transmitted Infections",82, 5,1,2,3,5,1,7
2006,"Assessing HIV resistance in developing countries: Brazil as a case study","Petersen M.L., Boily M.-C., Bastos F.I.",10204989,"Revista Panamericana de Salud Publica/Pan American Journal of Public Health",19, 3,1,4,1,5,1,7
2006,"Debate on the paper by David Vlahov & David D. Celentano. The double dimension of care and management of injecting drug users living with HIV/AIDS.","Bastos F.I., Boily M.C.",0102311X,"Cadernos de saúde pública / Ministério da Saúde, Fundação Oswaldo Cruz, Escola Nacional de Saúde Pública.",22, 4,0,0,0,0,0,0
2006,"Risk of HIV-1 transmission for parenteral exposure and blood transfusion: A systematic review and meta-analysis","Baggaley R.F., Boily M.-C., White R.G., Alary M.",02699370,"AIDS",20, 6,3,5,5,10,6,19
2006,"Access to highly active antiretroviral therapy for injection drug users: Adherence, resistance, and death","Vlahov D., Kalichman A., Ayres J.R.D.C.M., Celentano D.D., Bastos F.I., Boily M.-C., Pechansky F., Vargas E.V., De Lima D.B., Monteiro S., Palacios M.",0102311X,"Cadernos de Saude Publica",22, 4,2,4,5,9,2,13
2005,"Changes in the etiology of sexually transmitted diseases in botswana between 1993 and 2002: Implications for the clinical management of genital ulcer disease","Paz-Bailey G., Boily M.C., Ryan C., Rahman M., Chen C., Ballard R., Moffat H.J., Kenyon T., Kilmarx P.H., Totten P.A., Astete S.",10584838,"Clinical Infectious Diseases",41, 9,7,5,8,13,2,22
2005,"The impact of the transmission dynamics of the HIV/AIDS epidemic on sexual behaviour: A new hypothesis to explain recent increases in risk taking-behaviour among men who have sex with men","Boily M.-C., Godin G., Hogben M., Sherr L., Bastos F.I.",03069877,"Medical Hypotheses",65, 2,4,4,4,8,0,12
2005,"Increasing prevalence of male homosexual partnerships and practices in Britain 1990-2000: But why? [2] (multiple letters)","Boily M.-C., Erens B., Wellings K., Bastos F.I., Desai K., Chesson H., Aral S., Mercer C., Johnson A., Copas A., Fenton K.",02699370,"AIDS",19, 3,1,0,0,0,0,1
2004,"Changes in the Transmission Dynamics of the HIV Epidemic after the Wide-Scale Use of Antiretroviral Therapy Could Explain Increases in Sexually Transmitted Infections: Results from Mathematical Models","Boily M.-C., Bastos F.I., Desai K., Masse B.",01485717,"Sexually Transmitted Diseases",31, 2,25,6,7,13,2,40
2004,"Transmission of HIV via unsafe injection or unsafe sex? Anomalies or misunderstanding? [2] (multiple letters)","Boily M.-C., Gisselquist D., White R.G., Alary M., Lowndes C.M., Orroth K., Brewer D.D., Rothenberg R.B., Potterat J.J., Brody S.",09564624,"International Journal of STD and AIDS",15, 1,4,0,0,0,0,4
2003,"Community randomized trials for HIV prevention: The past, a lesson for the future?","Alary M., Lowndes C.M., Boily M.-C.",02699370,"AIDS",17, 18,0,2,2,4,1,5
2003,"The Impact of Needle-Exchange Programs on the Spread of HIV among Injection Drug Users: A Simulation Study","Raboud J.M., Boily M.C., Rajeswaran J., O'Shaughnessy M.V., Schechter M.T.",10993460,"Journal of Urban Health",80, 2,3,1,1,2,2,7
2002,"No increase in HIV incidence in a cohort of men who have sex with men in Montréal: Too early to conclude? [2]","Boily M.-C., Bastos F.I., Masse B.",02699370,"AIDS",16, 18,0,0,1,1,0,1
2002,"Population-level risk factors for HIV transmission and 'the 4 cities study': Temporal dynamics and the significance of sexual mixing patterns [5]","Boily M.-C., Lowndes C.M., Gregson S.",02699370,"AIDS",16, 15,5,1,1,2,1,8
2002,"The impact of HIV epidemic phases on the effectiveness of core group interventions: Insights from mathematical models","Boily M.-C., Lowndes C., Alary M.",13684973,"Sexually Transmitted Infections",78, 1,13,7,6,13,4,30
2001,"Prevalence of chlamydia trachomatis and neisseria gonorrhoeae among at-risk women, young sex workers, and street youth attending community organizations in Quebec city, Canada","Poulin C., Alary M., Bernier F., Carbonneau D., Boily M.-C., Joly J.R.",01485717,"Sexually Transmitted Diseases",28, 8,16,1,3,4,1,21
2000,"Complementary hypothesis concerning the community sexually transmitted disease mass treatment puzzle in Rakai, Uganda","Boily M.-C., Lowndes C.M., Alary M.",02699370,"AIDS",14, 16,12,1,1,2,0,14
2000,"Some methodological issues in the study of sexual networks: From model to data to model","Boily M.-C., Poulin R., Masse B.",01485717,"Sexually Transmitted Diseases",27, 10,6,3,1,4,1,11
2000,"Dynamical systems to define centrality in social networks","Poulin R., Boily M.-C., Masse B.R.",03788733,"Social Networks",22, 3,5,2,1,3,0,8
1999,"Highlights of the sexual activity of the heterosexual population in the province of Quebec","Brisson M., Boily M.-C., Masse B.R., Adrien A., Leaune V.",13684973,"Sexually Transmitted Infections",75, 5,4,1,0,1,1,6
1999,"Simulation studies of phase III clinical trials to test the efficacy of a candidate HIV-1 vaccine","Desai K.N., Boily M.-C., Masse B.R., Alary M., Anderson R.M.",09502688,"Epidemiology and Infection",123, 1,8,1,1,2,0,10
1999,"Some important issues in the planning of phase III HIV vaccine efficacy trials","Boily M.-C., Masse B.R., Desai K., Alary M., Anderson R.M.",0264410X,"Vaccine",17, 7-8,16,1,2,3,0,19
1997,"Mathematical models of disease transmission: A precious tool for the study of sexually transmitted diseases","Boily M.-C., Masse B.",00084263,"Canadian Journal of Public Health",88, 4,5,1,1,2,2,9
1996,"Human immunodeficiency virus transmission and the role of other sexually transmitted diseases: Measures of association and study design","Boily M.-C., Anderson R.M.",01485717,"Sexually Transmitted Diseases",23, 4,26,1,3,4,1,31
1994,"Erratum: The impact of HIV and other STDs on human populations: Are predictions possible? (Infectious Disease Clinics of North America (1993))","Boily M.-C., Brunham R.",08915520,"Infectious Disease Clinics of North America",8, 2,0,0,0,0,0,0
1993,"The impact of HIV and other STDs on human populations: Are predictions possible?","Boily M.-C., Brunham R.C.",08915520,"Infectious Disease Clinics of North America",7, 4,12,0,0,0,0,12
1991,"Sexual contact patterns between men and women and the spread of HIV-1 in urban centres in Africa.","Boily M.C., Anderson R.M.",02650746,"IMA Journal of Mathematics Applied in Medicine and Biology",8, 4,20,1,0,1,1,22
1991,"Slowing the spread of human immunodeficiency virus in developing countries","Potts M., Anderson R., Boily M.-C.",01406736,"Lancet",338, 8767,27,0,0,0,1,28
1991,"The spread of HIV-1 in Africa: Sexual contact patterns and the predicted demographic impact of AIDS","Anderson R.M., May R.M., Boily M.C., Garnett G.P., Rowley J.T.",00280836,"Nature",352, 6336,103,9,8,17,2,122
1989,"The influence of different sexual-contact patterns between age classes on the predicted demographic impact of AIDS in developing countries","Anderson R.M., Ng T.W., Boily M.C., May R.M.",00778923,"Annals of the New York Academy of Sciences",569, ,8,5,0,5,0,13
