,"Author: Barton, Paul J R",,,,,,,,,,,
2006,"A Quantitative Gene Expression Profile of Matrix Metalloproteinases (MMPS) and Their Inhibitors (TIMPS) in the Myocardium of Patients With Deteriorating Heart Failure Requiring Left Ventricular Assist Device Support","Felkin L.E., Birks E.J., George R., Wong S., Khaghani A., Yacoub M.H., Barton P.J.R.",10532498,"Journal of Heart and Lung Transplantation",25, 12,0,1,6,7,4,11
2006,"Real-time quantitative polymerase chain reaction in cardiac transplant research.","Felkin L.E., Taegtmeyer A.B., Barton P.J.",10643745,"Methods in molecular biology (Clifton, N.J.)",333, ,0,0,1,1,4,5
2006,"Myocardial expression of the arginine:glycine amidinotransferase gene is elevated in heart failure and normalized after recovery: Potential implications for local creatine synthesis","Cullen M.E., Barton P.J.R., Yuen A.H.Y., Felkin L.E., Smolenski R.T., Hall J.L., Grindle S., Miller L.W., Birks E.J., Yacoub M.H.",00097322,"Circulation",114, 1,1,0,2,2,0,3
2006,"Genetic association studies: Personalized medicine in cardiac transplantation","Taegtmeyer A.B., Barton P.J.R., Yacoub M.H.",17434297,"Nature Clinical Practice Cardiovascular Medicine",3, 2,1,0,1,1,0,2
2005,"Gene profiling changes in cytoskeletal proteins during clinical recovery after left ventricular-assist device support","Birks E.J., Miller L.W., Yacoub M.H., Hall J.L., Barton P.J.R., Grindle S., Latif N., Hardy J.P., Rider J.E., Banner N.R., Khaghani A.",00097322,"Circulation",112, 9,4,8,6,14,2,20
2005,"Myocardial insulin-like growth factor-I gene expression during recovery from heart failure after combined left ventricular assist device and clenbuterol therapy","Barton P.J.R., Felkin L.E., Birks E.J., Cullen M.E., Banner N.R., Grindle S., Hall J.L., Miller L.W., Yacoub M.H.",00097322,"Circulation",112, 9,7,8,8,16,4,27
2005,"Expression of human membrane skeleton protein genes for protein 4.1 and ?II?2-spectrin assayed by real-time RT-PCR","Taylor-Harris P.M., Felkin L.E., Birks E.J., Franklin R.C.G., Yacoub M.H., Baines A.J., Barton P.J.R., Pinder J.C.",14258153,"Cellular and Molecular Biology Letters",10, 1,2,1,2,3,1,6
2005,"Phenylephrine requires the TATA box to activate transcription of GLUT1 in neonatal rat cardiac myocytes","Santalucia T., Sanchez-Feutrie M., Felkin L.E., Bhavsar P.K., Barton P.J.R., Zorzano A., Yacoub M.H., Brand N.J.",00222828,"Journal of Molecular and Cellular Cardiology",38, 4,0,1,0,1,0,1
2005,"Sequential expression of three known protective genes in cardiac biopsies after transplantation","De Souza A.I., Felkin L.E., McCormack A.M., Holder A., Barton P.J.R., Banner N.R., Rose M.L.",00411337,"Transplantation",79, 5,2,1,1,2,3,7
2004,"Reduced incidence of hypertension after heterotopic cardiac transplantation compared with orthotopic cardiac transplantation: Evidence that excision of the native heart contributes to post-transplant hypertension","Taegtmeyer A.B., Crook A.M., Barton P.J.R., Banner N.R.",07351097,"Journal of the American College of Cardiology",44, 6,6,1,0,1,0,7
2004,"Role of interleukin-1? in acute inflammation and graft death after cell transplantation to the heart","Suzuki K., Yacoub M.H., Murtuza B., Beauchamp J.R., Brand N.J., Barton P.J.R., Varela-Carver A., Fukushima S., Coppen S.R., Partridge T.A.",00097322,"Circulation",110, 11,5,4,7,11,4,20
2004,"Structure and regulation of human troponin genes","Cullen M.E., Dellow K.A., Barton P.J.R.",03008177,"Molecular and Cellular Biochemistry",263, 1,2,1,2,3,2,7
2004,"The slow skeletal muscle troponin T gene is expressed in developing and diseased human heart","Barton P.J.R., Felkin L.E., Koban M.U., Cullen M.E., Brand N.J., Dhoot G.K.",03008177,"Molecular and Cellular Biochemistry",263, 1,4,1,1,2,1,7
2004,"C34T AMP Deaminase 1 gene mutation protects cardiac function in donors","Yacoub M.H., Yuen A.H.Y., Kalsi K.K., Birks E.J., Taegtmeyer A., Barton P.J., Johnson P.H., Suzuki K., Smolenski R.T.",00411337,"Transplantation",77, 10,4,1,1,2,1,7
2004,"Increased toll-like receptor 4 in the myocardium of patients requiring left ventricular assist devices","Birks E.J., Felkin L.E., Banner N.R., Khaghani A., Barton P.J.R., Yacoub M.H.",10532498,"Journal of Heart and Lung Transplantation",23, 2,6,2,3,5,1,12
2003,"Increased expression of extracellular matrix regulators TIMP1 and MMP1 in deteriorating heart failure","Barton P.J.R., Birks E.J., Felkin L.E., Cullen M.E., Koban M.U., Yacoub M.H.",10532498,"Journal of Heart and Lung Transplantation",22, 7,12,5,2,7,1,20
2003,"Changes in sarcolemmal Ca entry and sarcoplasmic reticulum Ca content in ventricular myocytes from patients with end-stage heart failure following myocardial recovery after combined pharmacological and ventricular assist device therapy","Terracciano C.M.N., Harding S.E., Adamson D., Koban M., Tansley P., Birks E.J., Barton P.J.R., Yacoub M.H.",0195668X,"European Heart Journal",24, 14,14,4,2,6,2,22
2003,"Hyperubiquitination of proteins in dilated cardiomyopathy","Weekes J., Morrison K., Mullen A., Wait R., Barton P., Dunn M.J.",16159853,"Proteomics",3, 2,25,13,14,27,3,55
2002,"Up-regulation of c-jun mRNA in cardiac myocytes requires the extracellular signal-regulated kinase cascade, but c-Jun N-terminal kinases are required for efficient up-regulation of c-Jun protein","Clerk A., Kemp T.J., Harrison J.G., Mullen A.J., Barton P.J.R., Sugden P.H.",02646021,"Biochemical Journal",368, 1,26,4,5,9,4,39
2002,"SNP at your own risk","Taegtmeyer A.B., Barton P.J.R.",0195668X,"European Heart Journal",23, 9,0,0,0,0,0,0
2002,"Dial molecular biology: An introduction","Brand N.J., Barton P.J.R.",13556037,"Heart",87, 3,3,0,1,1,0,4
2001,"Quantitative myocardial cytokine expression and activation of the apoptotic pathway in patients who require left ventricular assist devices","Birks E.J., Pepper J.R., Banner N.R., Yacoub M.H., Latif N., Owen V., Bowles C., Felkin L.E., Mullen A.J., Khaghani A., Barton P.J.R., Polak J.M.",00097322,"Circulation",104, 1,31,6,3,9,0,40
2001,"Expression of RGS3, RGS4 and Gi alpha 2 in acutely failing donor hearts and end-stage heart failure","Owen V.J., Burton P.B.J., Mullen A.J., Birks E.J., Barton P., Yacoub M.H.",0195668X,"European Heart Journal",22, 12,19,4,4,8,3,30
2001,"Elevated expression of Nkx-2.5 in Developing myocardial conduction cells","Thomas P.S., Kasahara H., Edmonson A.M., Izumo S., Yacoub M.H., Barton P.J.R., Gourdie R.G.",0003276X,"Anatomical Record",265, 3,37,7,2,9,1,47
2001,"Identification of novel, cardiac-restricted transcription factors binding to a CACC-box within the human cardiac troponin I promoter","Dellow K.A., Bhavsar P.K., Brand N.J., Barton P.J.R.",00086363,"Cardiovascular Research",50, 1,13,0,0,0,1,14
2000,"Elevated tumor necrosis factor-? and interleukin-6 in myocardium and serum of malfunctioning donor hearts","Birks E.J., Burton P.B.J., Owen V., Mullen A.J., Hunt D., Banner N.R., Barton P.J.R., Yacoub M.H.",00097322,"Circulation",102, 19,30,4,3,7,4,41
2000,"Vascular endothelial growth factor release following coronary artery bypass surgery: Extracorporeal circulation versus 'beating heart' surgery","Burton P.B.J., Owen V.J., Hafizi S., Barton P.J.R., Carr-White G., Koh T., De Souza A., Yacoub M.H., Pepper J.R.",0195668X,"European Heart Journal",21, 20,9,3,1,4,0,13
2000,"Genes encoding troponin I and troponin T are organized as three paralogous pairs in the mouse genome","Barton P.J.R., Mullen A.J., Cullen M.E., Dhoot G.K., Simon-Chazottes D., Guenet J.-L.",09388990,"Mammalian Genome",11, 10,5,1,1,2,1,8
2000,"Structural characterization of the human fast skeletal muscle troponin I gene (TNNI2)","Mullen A.J., Barton P.J.R.",03781119,"Gene",242, 1-2,9,4,2,6,0,15
2000,"Identification of cis-acting DNA elements required for expression of the human cardiac traponin I gene promoter","Bhavsar P.K., Dellow K.A., Yacoub M.H., Brand N.J., Barton P.J.R.",00222828,"Journal of Molecular and Cellular Cardiology",32, 1,26,0,2,2,3,31
2000,"Isolation, sequence, and chromosomal localisation of the human I?BR gene (NFKBIL2)","Norman D.A.M., Barton P.J.R.",00034800,"Annals of Human Genetics",64, 1,0,0,0,0,0,0
1999,"An intrinsic timer that controls cell-cycle withdrawal in cultured cardiac myocytes","Burton P.B.J., Raff M.C., Kerr P., Yacoub M.H., Barton P.J.R.",00121606,"Developmental Biology",216, 2,24,6,1,7,1,32
1999,"Myocardial dysfunction in donor hearts: A possible etiology","Owen V.J., Burton P.B.J., Michel M.C., Zolk O., Bohm M., Pepper J.R., Barton P.J.R., Yacoub M.H., Harding S.E.",00097322,"Circulation",99, 19,26,0,1,1,1,28
1999,"Close physical linkage of human troponin genes: Organization, sequence, and expression of the locus encoding cardiac troponin I and slow skeletal troponin T","Barton P.J.R., Cullen M.E., Townsend P.J., Brand N.J., Mullen A.J., Norman D.A.M., Bhavsar P.K., Yacoub M.H.",08887543,"Genomics",57, 1,17,2,1,3,1,21
1999,"Cyclin-dependent kinase inhibitor expression in human heart failure. A comparison with fetal development","Burton P.B.J., Yacoub M.H., Barton P.J.R.",0195668X,"European Heart Journal",20, 8,10,3,6,9,1,20
1998,"Rapamycin (sirolimus) inhibits heart cell growth in vitro","Burton P.B.J., Yacoub M.H., Barton P.J.R.",01720643,"Pediatric Cardiology",19, 6,6,0,0,0,0,6
1998,"Nuclear factor NF-?B in myocardium: Developmental expression of subunits and activation by interleukin-1? in cardiac myocytes in vitro","Norman D.A.M., Yacoub M.H., Barton P.J.R.",00086363,"Cardiovascular Research",39, 2,14,2,1,3,1,18
1998,"Genomic organisation, alternative splicing and polymorphisms of the human cardiac troponin T gene","Farza H., Schwartz K., Townsend P.J., Carrier L., Barton P.J., Mesnard L., Bahrend E., Forissier J.-F., Fiszman M., Yacoub M.H.",00222828,"Journal of Molecular and Cellular Cardiology",30, 6,21,3,0,3,1,25
1998,"Efficiency of a high-titer retroviral vector for gene transfer into skeletal myoblasts","El Oakley R.M., Kwong K.F., Pennington D.G., Brand N.J., Burton P.B.J., McMullen M.C., Adams G.B., Poznansky M.C., Barton P.J.R., Yacoub M.H., Chiu R.C.J.",00225223,"Journal of Thoracic and Cardiovascular Surgery",115, 1,7,0,1,1,0,8
1997,"Localization of the fast skeletal muscle troponin I gene (TNN12) to 11p15.5: Genes for troponin I and T are organized in pairs","Barton P.J.R., Townsend P.J., Brand N.J., Yacoub M.H.",00034800,"Annals of Human Genetics",61, 6,10,0,0,0,1,11
1997,"Assignment of the human fast skeletal muscle troponin C gene (TNNC2) between D20S721 and GCT1OF11 on chromosome 20 by somatic cell hybrid analysis","Townsend P.J., Yacoub M.H., Barton P.J.R.",00034800,"Annals of Human Genetics",61, 5,3,0,0,0,0,3
1997,"Assignment of the human cardiac/slow skeletal muscle troponin C gene (TNNC1) between D3S3118 and GCT4B10 on the short arm of chromosome 3 by somatic cell hybrid analysis.","Townsend P.J., Yacoub M.H., Barton P.J.R.",00034800,"Annals of Human Genetics",61, 4,3,0,0,0,0,3
1996,"Gene therapy - The state of play","Barton P.J.R.",0195668X,"European Heart Journal",17, 9,0,0,0,0,0,0
1996,"Isolation and characterization of the human cardiac troponin I gene (TNNI3)","Bhavsar P.K., Brand N.J., Yacoub M.H., Barton P.J.R.",08887543,"Genomics",35, 1,35,2,4,6,1,42
1995,"Troponin I and T protein expression in experimental cardiac hypertrophy","Cumming D.V.E., Seymour A.-M.L., Rix L.K., Kellett R., Dhoot G.K., Yacoub M.H., Barton P.J.R.",10155007,"Cardioscience",6, 1,10,1,1,2,0,12
1995,"Molecular cloning of human cardiac troponin T isoforms: Expression in developing and failing heart","Townsend P.J., Barton P.J.R., Yacoub M.H., Farza H.",00222828,"Journal of Molecular and Cellular Cardiology",27, 10,57,1,1,2,1,60
1995,"A skeletal muscle-specific enhancer regulated by factors binding to E and CArG boxes is present in the promoter of the mouse myosin light-chain 1A gene","Catala F., Wanner R., Barton P., Cohen A., Wright W., Buckingham M.",02707306,"Molecular and Cellular Biology",15, 8,58,5,6,11,1,70
1994,"Human cardiac troponin T: Identification of fetal isoforms and assignment of the TNNT2 locus to chromosome 1q","Townsend P.J., Farza H., MacGeoch C., Spurr N.K., Wade R., Gahlmann R., Yacoub M.H., Barton P.J.R.",08887543,"Genomics",21, 2,41,1,1,2,0,43
1993,"Expression of homeobox genes Msx-1 (Hox-7) and Msx-2 (Hox-8) during cardiac development in the chick","Chan-Thomas P.S., Thompson R.P., Robert B., Yacoub M.H., Barton P.J.R.",10588388,"Developmental Dynamics",197, 3,93,8,4,12,4,109
1993,"Expression of the SmN splicing protein is developmentally regulated in the rodent brain but not in the rodent heart","Grimaldi K., Horn D.A., Hudson L.D., Terenghi G., Barton P., Polak J.M., Latchman D.S.",00121606,"Developmental Biology",156, 2,3,0,2,2,0,5
1993,"Troponin I gene expression during human cardiac development and in end- stage heart failure","Sasse S., Brand N.J., Kyprianou P., Dhoot G.K., Wade R., Arai M., Periasamy M., Yacoub M.H., Barton P.J.R.",00097330,"Circulation Research",72, 5,78,2,8,10,1,89
1993,"Alterations in sarcoplasmic reticulum gene expression in human heart failure: A possible mechanism for alterations in systolic and diastolic properties of the failing myocardium","Arai M., Alpert N.R., MacLennan D.H., Barton P., Periasamy M.",00097330,"Circulation Research",72, 2,245,14,16,30,6,281
1992,"Gene expression during cardiac development.","Barton P.J., Bhavsar P.K., Brand N.J., Chan-Thomas P.S., Dabhade N., Farza H., Townsend P.J., Yacoub M.H.",00811386,"Symposia of the Society for Experimental Biology",46, ,2,0,0,0,0,2
1992,"Differential regulation of the atrial isoforms of the myosin light chains during striated muscle development","Hailstones D., Barton P., Chan-Thomas P., Sasse S., Sutherland C., Hardeman E., Gunning P.",00219258,"Journal of Biological Chemistry",267, 32,9,0,1,1,0,10
1992,"A conserved family of genes related to the testis determining gene, SRY","Denny P., Swift S., Brand N., Dabhade N., Barton P., Ashworth A.",03051048,"Nucleic Acids Research",20, 11,59,4,2,6,2,67
1991,"The human cardiac troponin I locus: Assignment to chromosome 19p13.2-19q13.2","MacGeoch C., Barton P.J.R., Vallins W.J., Bhavsar P., Spurr N.K.",03406717,"Human Genetics",88, 1,25,0,0,0,0,25
1991,"Developmental expression of troponin I isoforms in fetal human heart","Bhavsar P.K., Dhoot G.K., Cumming D.V.E., Butler-Browne G.S., Yacoub M.H., Barton P.J.R.",00145793,"FEBS Letters",292, 1-2,42,2,0,2,1,45
1991,"Determination of the 5' exon structure of the human cardiac ?-myosin heavy chain gene","Brand N.J., Dabhade N., Yacoub M., Barton P.J.R.",0006291X,"Biochemical and Biophysical Research Communications",179, 3,2,0,0,0,0,2
1991,"Detection of myosin gene expression in the developing heart using probes derived by polymerase chain reaction","Barton P.J.R., Moscoso G., Thompson R.P.",01675273,"International Journal of Cardiology",30, 1,1,0,0,0,0,1
1990,"Developmental regulation of myosin gene expression in mouse cardiac muscle","Lyons G.E., Schiaffino S., Sassoon D., Barton P., Buckingham M.",00219525,"Journal of Cell Biology",111, 6 I,151,15,14,29,7,187
1990,"Molecular cloning of human cardiac troponin I using polymerase chain reaction","Vallins W.J., Brand N.J., Dabhade N., Butler-Browne G., Yacoub M.H., Barton P.J.R.",00145793,"FEBS Letters",270, 1-2,83,2,1,3,1,87
1990,"Transition of myosin isozymes during development of human masseter muscle. Persistence of developmental isoforms during postnatal stage","Soussi-Yanicostas N., Barbet J.P., Laurent-Winter C., Barton P., Butler-Browne G.S.",09501991,"Development",108, 2,18,2,0,2,1,21
1989,"Localization of the acetylcholine receptor ? subunit gene to human chromosome 2q32 ? qter","Cohen-Haguenauer O., Barton P.J.R., Buonanno A., Nguyen Van Cong N., Masset M., De Tand M.F., Mertie J., Fezal J.",03010171,"Cytogenetics and Cell Genetics",52, 3-4,4,0,0,0,0,4
1989,"Myosin light chain gene expression in developing and denervated fetal muscle in the mouse","Barton P.J.R., Harris A.J., Buckingham M.E.",09501991,"Development",107, 4,6,0,1,1,0,7
1989,"Chromosomal assignment of two myosin alkali light-chain genes encoding the ventricular/slow skeletal isoform and the atrial/fetal muscle isoform (MYL3, MYL4)","Cohen-Haguenauer O., Barton P.J.R., Van Cong N., Cohen A., Masser M., Buckingham M., Frezal J.",03406717,"Human Genetics",81, 3,7,0,1,1,0,8
1989,"Chronic stimulation-induced changes of myosin light chains at the mRNA and protein levels in rat fast-twitch muscle","Kirschbaum B.J., Simoneau J.-A., Bar A., Barton P.J.R., Buckingham M.E., Pette D.",00142956,"European Journal of Biochemistry",179, 1,14,0,0,0,1,15
1988,"Structure and sequence of the myosin alkali light chain gene expressed in adult cardiac atria and fetal striated muscle","Barton P.J.R., Robert B., Cohen A., Garner I., Sassoon D., Weydert A., Buckingham M.E.",00219258,"Journal of Biological Chemistry",263, 25,12,1,0,1,0,13
1988,"Control of myogenesis in the mouse myogenic C2 cell line by medium composition and by insulin: Characterization of permissive and inducible C2 myoblasts","Pinset C., Montarras D., Chenevert J., Minty A., Barton P., Laurent C., Gros F.",03014681,"Differentiation",38, 1,46,1,3,4,0,50
1988,"Assignment of the human fast skeletal muscle myosin alkali light chains gene (MLC1(F)/MLC3(F)) to 2q 32.1-2qter","Cohen-Haguenauer O., Frezal J., Barton P.J.R., Van Cong N., Serero S., Gross M.-S., Jegou-Foubert C., De Tand M.-F., Robert B., Buckingham M.",03406717,"Human Genetics",78, 1,5,0,0,0,0,5
1988,"Promoter analysis of myosin alkali light chain genes expressed in mouse straited muscle","Cohen A., Barton P.J.R., Robert B., Garner I., Alonso S., Buckingham M.E.",03051048,"Nucleic Acids Research",16, 21,3,0,0,0,0,3
1986,"Actin and myosin multigene families: Their expression during the formation and maturation of striated muscle","Buckingham M., Alonso S., Barton P.",01487299,"American Journal of Medical Genetics",25, 4,7,0,1,1,0,8
1986,"A 5' duplication of the alpha-cardiac actin gene in BALB/c mice is associated with abnormal levels of alpha-cardiac and alpha-skeletal actin mRNAs in adult cardiac tissue.","Garner I., Minty A.J., Alonso S., Barton P.J., Buckingham M.E.",02614189,"EMBO Journal",5, 10,14,2,2,4,0,18
1985,"The same myosin alkali light chain gene is expressed in adult cardiac atria and in fetal skeletal muscle","Barton P.J.R., Robert B., Fiszman M.Y.",01424319,"Journal of Muscle Research and Cell Motility",6, 4,7,0,1,1,0,8
1985,"The myosin alkali light chain proteins and their genes.","Barton P.J., Buckingham M.E.",02646021,"Biochemical Journal",231, 2,44,1,0,1,0,45
1985,"The actin and myosin multigene families.","Buckingham M., Alonso S., Bugaisky G., Barton P., Cohen A., Daubas P., Minty A., Robert B., Weydert A.",00652598,"Advances in Experimental Medicine and Biology",182, ,2,0,0,0,0,2
1985,"The myosin alkali light chains of mouse ventricular and slow skeletal muscle are indistinguishable and are encoded by the same gene","Barton P.J.R., Cohen A., Robert B.",00219258,"Journal of Biological Chemistry",260, 14,18,1,0,1,1,20
1985,"Investigation of genetic linkage between myosin and actin genes using an interspecific mouse back-cross","Robert B., Barton P., Minty A.",00280836,"Nature",314, 6007,10,0,0,0,1,11
