,"Author: Hooper, Richard J L",,,,,,,,,,,
2002,"A preclinical model of minimal residual cancer in the muscle highlights challenges associated with adenovirus-mediated p53 gene transfer","Oakley R., Phillips E., Hooper R., Wilson D., Partridge M.",10780432,"Clinical Cancer Research",8, 6,1,1,0,1,1,3
2001,"Does the menopause influence the risk of bacteriuria?","Hextall A., Hooper R., Cardozo L., Stringer C., Workman R.",09373462,"International Urogynecology Journal and Pelvic Floor Dysfunction",12, 5,3,1,0,1,0,4
2001,"The impact of the menstrual cycle on urinary symptoms and the results of urodynamic investigation","Hextall A., Bidmead J., Cardozo L., Hooper R.",03065456,"British Journal of Obstetrics and Gynaecology",108, 11,8,1,0,1,3,12
2000,"Increases in serum concentrations of cardiac proteins and the prediction of early postoperative cardiovascular complications in noncardiac surgery patients","Neill F., Sear J.W., French G., Lam H., Kemp M., Hooper R.J.L., Foex P.",00032409,"Anaesthesia",55, 7,22,0,2,2,2,26
2000,"Prospective evaluation of logistic regression models for the diagnosis of ovarian cancer","Aslam N., Banerjee S., Carr J.V., Savvas M., Hooper R., Jurkovic D.",00297844,"Obstetrics and Gynecology",96, 1,30,6,6,12,3,45
2000,"Patient satisfaction with out-of-hours services how do GP co-operatives compare with deputizing and practice-based arrangements?","Shipman C., Payne F., Hooper R., Dale J.",09574832,"Journal of Public Health Medicine",22, 2,14,3,1,4,0,18
1999,"Prevention of falls in the elderly trial (PROFET): A randomised controlled trial","Close J., Ellis M., Hooper R., Glucksman E., Jackson S., Swift C.",01406736,"Lancet",353, 9147,285,34,37,71,26,382
1997,"Death rates of characters in soap operas on British television: Is a government health warning required?","Crayford T., Hooper R., Evans S.",09598146,"British Medical Journal",315, 7123,3,2,1,3,0,6
1996,"The cognitive development of 5-year-old children of postnatally depressed mothers","Murray L., Hipwell A., Hooper R., Stein A., Cooper P.",00219630,"Journal of Child Psychology and Psychiatry and Allied Disciplines",37, 8,79,14,11,25,5,109
1996,"The Impact of Postnatal Depression and Associated Adversity on Early Mother-Infant Interactions and Later Infant Outcome","Murray L., Fiori-Cowley A., Hooper R., Cooper P.",00093920,"Child Development",67, 5,203,35,38,73,30,306
1996,"Habituation changes in early infancy: Longitudinal measures from birth to 6 months","Hood B.M., Murray L., King F., Hooper R., Atkinson J., Braddick O.",02646838,"Journal of Reproductive and Infant Psychology",14, 3,9,1,1,2,1,12
1996,"The development and validation of a predictive index for postpartum depression","Cooper P.J., Murray L., Hooper R., West A.",00332917,"Psychological Medicine",26, 3,55,4,6,10,2,67
1996,"The role of infant factors in postnatal depression and mother-infant interactions","Murray L., Stanley C., Hooper R., King F., Fiori-Cowley A.",00121622,"Developmental Medicine and Child Neurology",38, 2,66,12,6,18,7,91
1993,"Depressed mothers' speech to their infants and its relation to infant gender and cognitive development","Murray L., Kempton C., Woolgar M., Hooper R.",00219630,"Journal of Child Psychology and Psychiatry and Allied Disciplines",34, 7,76,10,12,22,8,106
