,"Author: Purkayastha, Sanjay",,,,,,,,,,,
2008,Natural orifices translumenal endoscopic surgery (NOTES)- Who should perform it?,"Zacharakis E., Purkayastha S., Teare J., Yang G.-Z., Darzi A.",396060,Surgery,144,1,0,0,0,0,4,4
2008,Laparoscopic parastomal hernia repair: A description of the technique and initial results,"Zacharakis E., Hettige R., Purkayastha S., Aggarwal R., Athanasiou T., Darzi A., Ziprin P.",15533506,Surgical Innovation,15,2,0,0,0,0,0,0
2008,General surgical manifestations of Marfan's syndrome,"Thomas G.P., Purkayastha S., Athanasiou T., Darzi A.",17508460,British Journal of Hospital Medicine,69,5,0,0,0,0,0,0
2008,Laparoscopic skills suffer on the first shift of sequential night shifts: program directors beware and residents prepare.,"Leff D.R., Aggarwal R., Rana M., Nakhjavani B., Purkayastha S., Khullar V., Darzi A.W.",34932,Annals of surgery,247,3,0,0,1,1,4,5
2008,A national perspective on the decline of abdominoperineal resection for rectal cancer,"Tilney H.S., Heriot A.G., Purkayastha S., Antoniou A., Aylin P., Darzi A.W., Tekkis P.P.",34932,Annals of Surgery,247,1,0,0,5,5,3,8
2007,A meta-analysis comparing conventional end-to-end anastomosis vs. other anastomotic configurations after resection in Crohn's disease,"Simillis C., Purkayastha S., Yamamoto T., Strong S.A., Darzi A.W., Tekkis P.P.",123706,Diseases of the Colon and Rectum,50,10,0,0,4,4,4,8
2007,Strictureplasty vs resection in small bowel Crohn's disease: An evaluation of short-term outcomes and recurrence,"Reese G.E., Purkayastha S., Tilney H.S., Von Roon A., Yamamoto T., Tekkis P.P.",14628910,Colorectal Disease,9,8,0,0,1,1,0,1
2007,Laparoscopic cholecystectomy versus mini-laparotomy cholecystectomy: A meta-analysis of randomised control trials,"Purkayastha S., Tilney H.S., Georgiou P., Athanasiou T., Tekkis P.P., Darzi A.W.",9302794,Surgical Endoscopy and Other Interventional Techniques,21,8,0,0,3,3,3,6
2007,Using multimedia and Web3D to enhance anatomy teaching,"Brenton H., Hernandez J., Bello F., Strutton P., Purkayastha S., Firth T., Darzi A.",3601315,Computers and Education,49,1,0,1,2,3,4,7
2007,Heparin-bonded circuits versus nonheparin-bonded circuits: an evaluation of their effect on clinical outcomes,"Mangoush O., Purkayastha S., Haj-Yahia S., Kinross J., Hayward M., Bartolozzi F., Darzi A., Athanasiou T.",10107940,European Journal of Cardio-thoracic Surgery,31,6,0,2,5,7,3,10
2007,Diagnostic precision of magnetic resonance imaging for preoperative prediction of the circumferential margin involvement in patients with rectal cancer,"Purkayastha S., Tekkis P.P., Athanasiou T., Tilney H.S., Darzi A.W., Heriot A.G.",14628910,Colorectal Disease,9,5,0,0,3,3,1,4
2007,Comparison of short-term outcomes of laparoscopic vs open approaches to ileal pouch surgery,"Tilney H.S., Lovegrove R.E., Heriot A.G., Purkayastha S., Constantinides V., Nicholls R.J., Tekkis P.P.",1791958,International Journal of Colorectal Disease,22,5,0,2,3,5,4,9
2007,Diagnostic precision of fecal calprotectin for inflammatory bowel disease and colorectal malignancy,"Von Roon A.C., Karamountzos L., Purkayastha S., Reese G.E., Darzi A.W., Teare J.P., Paraskeva P., Tekkis P.P.",29270,American Journal of Gastroenterology,102,4,0,3,13,16,5,21
2007,The effects of various leukocyte filtration strategies in cardiac surgery,"Warren O., Alexiou C., Massey R., Leff D., Purkayastha S., Kinross J., Darzi A., Athanasiou T.",10107940,European Journal of Cardio-thoracic Surgery,31,4,0,3,3,6,4,10
2007,Intraperitoneal local anesthesia during laparoscopic cholecystectomy: The role of meta-analytical subgroups and delivery of the local anesthetic [9],"Purkayastha S., Alkhamesi N.A., Darzi A.W.",32999,Anesthesia and Analgesia,104,4,0,0,0,0,0,0
2007,Redefining quality of care,"Mayer E.K., Purkayastha S., Athanasiou T., Darzi A.W.",1410768,Journal of the Royal Society of Medicine,100,3,0,1,0,1,1,2
2007,Magnetic resonance colonography vs computed tomography colonography for the diagnosis of colorectal cancer: An indirect comparison,"Purkayastha S., Athanasiou T., Tekkis P.P., Constantinides V., Teare J., Darzi A.W.",14628910,Colorectal Disease,9,2,0,0,2,2,1,3
2007,Comparison of colonic stenting and open surgery for malignant large bowel obstruction,"Tilney H.S., Lovegrove R.E., Purkayastha S., Sains P.S., Weston-Petrides G.K., Darzi A.W., Tekkis P.P., Heriot A.G.",9302794,Surgical Endoscopy and Other Interventional Techniques,21,2,0,10,19,29,7,36
2007,Make surgeons more active in teaching anatomy at all levels [6],"Purkayastha S., Paraskevas P., Darzi A.",9598146,British Medical Journal,334,7585,0,0,0,0,0,0
2007,Multi-Detector Computed Tomography in Coronary Artery Bypass Graft Assessment: A Meta-Analysis,"Jones C.M., Darzi A., Athanasiou T., Dunne N., Kirby J., Aziz O., Haq A., Rao C., Constantinides V., Purkayastha S.",34975,Annals of Thoracic Surgery,83,1,0,3,4,7,8,15
2007,"The surgical care practitioner: A feasible alternative. Results of a prospective 4-year audit at St. Mary's Hospital Trust, London","Martin S., Purkayastha S., Massey R., Paraskeva P., Tekkis P., Kneebone R., Darzi A.",358843,Annals of the Royal College of Surgeons of England,89,1,0,0,0,0,0,0
2006,Outcomes following laparoscopic versus open repair of incisional hernia,"Sains P.S., Tilney H.S., Purkayastha S., Darzi A.W., Athanasiou T., Tekkis P.P., Heriot A.G.",3642313,World Journal of Surgery,30,11,0,3,6,9,6,15
2006,Weighing up risks and benefits of investigations and treatments [3],"Purkayastha S., Purkayastha X.X.X.SU., Paraskevas P.",9598146,British Medical Journal,333,7569,0,0,0,0,0,0
2006,Does serum procalcitonin have a role in evaluating the severity of acute pancreatitis? A question revisited,"Purkayastha S., Chow A., Athanasiou T., Cambaroudis A., Panesar S., Kinross J., Tekkis P., Darzi A.",3642313,World Journal of Surgery,30,9,0,2,1,3,2,5
2006,Multi-slice computed tomography in coronary artery disease,"Jones C.M., Athanasiou T., Dunne N., Kirby J., Attaran S., Chow A., Purkayastha S., Darzi A.",10107940,European Journal of Cardio-thoracic Surgery,30,3,0,8,4,12,0,12
2006,Repair of a giant left ventricular pseudoaneurysm in a Jehovah's Witness,"O'Flynn E., Purkayastha S., Athanasiou T., Casula R.",2184923,Asian Cardiovascular and Thoracic Annals,14,4,0,0,0,0,0,0
2006,Colorectal cancer and rectal bleeding in primary care: Urban or rural myth? [12],"Purkayastha S., Darzi A.",9598146,British Medical Journal,333,7560,0,0,0,0,0,0
2006,Primary resection with anastomosis vs. Hartmann's procedure in nonelective surgery for acute colonic diverticulitis: A systematic review,"Constantinides V.A., Senapati A., Tekkis P.P., Athanasiou T., Aziz O., Purkayastha S., Remzi F.H., Fazio V.W., Aydin N., Darzi A.",123706,Diseases of the Colon and Rectum,49,7,0,4,11,15,6,21
2006,Laparoscopic vs open subtotal colectomy for benign and malignant disease,"Tilney H.S., Lovegrove R.E., Purkayastha S., Heriot A.G., Darzi A.W., Tekkis P.P.",14628910,Colorectal Disease,8,5,0,4,1,5,2,7
2006,Hamstring v patellar tendon autografts: A patient's and clinician's perspective [1],Purkayastha S.,9598146,British Medical Journal,332,7550,0,0,0,0,0,0
2006,Laparoscopic vs. open surgery for diverticular disease: A meta-analysis of nonrandomized studies,"Purkayastha S., Constantinides V.A., Tekkis P.P., Athanasiou T., Aziz O., Tilney H., Darzi A.W., Heriot A.G.",123706,Diseases of the Colon and Rectum,49,4,2,3,7,10,3,15
2006,Treatment of poisoning induced cardiac impairment using cardiopulmonary bypass: A review,"Purkayastha S., Bhangoo P., Athanasiou T., Casula R., Glenville B., Darzi A.W., Henry J.A.",14720205,Emergency Medicine Journal,23,4,1,3,2,5,3,9
2006,Does clopidogrel affect outcome after coronary artery bypass grafting? A meta-analysis,"Purkayastha S., Athanasiou T., Malinovski V., Tekkis P., Foale R., Casula R., Glenville B., Darzi A.",13556037,Heart,92,4,1,5,10,15,9,25
2006,Laparoscopic versus open surgery for rectal cancer: A meta-analysis,"Aziz O., Constantinides V., Tekkis P.P., Athanasiou T., Purkayastha S., Paraskeva P., Darzi A.W., Heriot A.G.",10689265,Annals of Surgical Oncology,13,3,3,21,24,45,19,67
2006,A comparison of segmental vs subtotal/total colectomy for colonic Crohn's disease: A meta-analysis,"Tekkis P.P., Purkayastha S., Lanitis S., Athanasiou T., Heriot A.G., Orchard T.R., Nicholls R.J., Darzi A.W.",14628910,Colorectal Disease,8,2,1,5,7,12,1,14
2006,Diagnostic precision of nanoparticle-enhanced MRI for lymph-node metastases: A meta-analysis,"Will O., Purkayastha S., Chan C., Athanasiou T., Darzi A.W., Gedroyc W., Tekkis P.P.",14702045,Lancet Oncology,7,1,6,14,15,29,14,49
2006,Laparoscopic versus open appendectomy in children: A meta-analysis,"Aziz O., Athanasiou T., Tekkis P.P., Purkayastha S., Haddow J., Malinovski V., Paraskeva P., Darzi A.",34932,Annals of Surgery,243,1,5,6,14,20,11,36
2006,Clampless arterial coronary artery bypass grafting with the use of magnetic coupling devices,"Athanasiou T., Asrafian H., Krasopoulos G., Purkayastha S., Malinowski V., Al-Ruzzeh S., Glenville B., De La Stanbridge R., Casula R.",8860440,Journal of Cardiac Surgery,21,1,2,0,1,1,0,3
2005,Does minimally invasive vein harvesting technique affect the quality of the conduit for coronary revascularization?,"Aziz O., Darzi A., Athanasiou T., Panesar S.S., Massey-Patel R., Warren O., Kinross J., Purkayastha S., Casula R., Glenville B.",34975,Annals of Thoracic Surgery,80,6,1,1,2,3,0,4
2005,Does Doppler echography have a diagnostic role in patency assessment of internal thoracic artery grafts?,"Jones C.M., Athanasiou T., Tekkis P.P., Malinovski V., Purkayastha S., Haq A., Kokotsakis J., Darzi A.",10107940,European Journal of Cardio-thoracic Surgery,28,5,0,2,0,2,0,2
2005,A comparison of open vs. laparoscopic abdominal rectopexy for full-thickness rectal prolapse: A meta-analysis,"Purkayastha S., Tekkis P., Athanasiou T., Aziz O., Paraskevas P., Ziprin P., Darzi A.",123706,Diseases of the Colon and Rectum,48,10,2,7,6,13,5,20
2005,Magnetic resonance colonography versus colonoscopy as a diagnostic investigation for colorectal cancer: A meta-analysis,"Purkayastha S., Tekkis P.P., Athanasiou T., Aziz O., Negus R., Gedroyc W., Darzi A.W.",99260,Clinical Radiology,60,9,3,3,2,5,1,9
2005,Do technical parameters affect the diagnostic accuracy of virtual bronchoscopy in patients with suspected airways stenosis?,"Jones C.M., Darzi A., Athanasiou T., Nair S., Aziz O., Purkayastha S., Konstantinos V., Paraskeva P., Casula R., Glenville B.",0720048X,European Journal of Radiology,55,3,0,1,0,1,1,2
2005,Inguinal hernia.,"Purkayastha S., Tekkis P., Athanasiou T., Darzi A.",14623846,Clinical evidence.,,13,0,0,0,0,0,0
2004,Does laparoscopic surgery offer adequate clearance in rectal cancer? - A discussion,"Purkayastha S., Aziz O., Athanasiou T., Paraskevas P., Darzi A.",17439191,International Journal of Surgery,2,2,0,0,0,0,0,0
2004,Are wound healing disturbances and length of hospital stay reduced with minimally invasive vein harvest? A meta-analysis,"Athanasiou T., Aziz O., Al-Ruzzeh S., Philippidis P., Jones C., Purkayastha S., Casula R., Glenville B.",10107940,European Journal of Cardio-thoracic Surgery,26,5,5,5,6,11,2,18
2004,Anatomy: The future teaching of undergraduates,"James D.R.C., Purkayastha S., Athanasiou T., Shafiq O., Paraskevas P., Darzi A.",14623935,Hospital Medicine,65,11,1,1,0,1,0,2
2004,Evaluating operative risk in colorectal cancer surgery: ASA and POSSUM-based predictive models,"Al-Homoud S., Purkayastha S., Aziz O., J. Smith J., D. Thompson M., W. Darzi A., D. Stamatakis J., P. Tekkis P.",9607404,Surgical Oncology,13, 2-3,5,5,7,12,4,21
2004,Do off-pump techniques reduce the incidence of postoperative atrial fibrillation in elderly patients undergoing coronary artery bypass grafting?,"Athanasiou T., Casula R., Aziz O., Mangoush O., Weerasinghe A., Al-Ruzzeh S., Purkayastha S., Pepper J., Amrani M., Glenville B.",34975,Annals of Thoracic Surgery,77,5,15,3,6,9,2,26
2004,Laparoscopy for malignancy: Current status,"Paraskeva P.A., Purkayastha S., Darzi A.",10715517,Seminars in Laparoscopic Surgery,11,1,7,0,2,2,1,10
2004,Robotic surgery: A review,"Purkayastha S., Athanasiou T., Casula R., Darzi A.",14623935,Hospital Medicine,65,3,2,1,0,1,0,3
