,"Authors: Wharton, John; Wharton, John",,,,,,,,,,,
1999,"Reciprocal changes in endothelial and inducible nitric oxide synthase expression following carotid angioplasty in the pig","Banning A.P., Drexler H., Groves P.H., Buttery L.D.K., Wharton J., Rutherford R.A.D., Black P., Winkler F., Polak J.M., Lewis M.J.",00219150,"Atherosclerosis",145, 1,14,2,1,3,1,18
1999,"Autoradiography of enzymes, second messenger systems, and ion channels.","Walsh D.A., Wharton J.",10643745,"Methods in molecular biology (Clifton, N.J.)",106, ,0,0,0,0,0,0
1999,"Autoradiography of peptide receptors.","Wharton J., Walsh D.A.",10643745,"Methods in molecular biology (Clifton, N.J.)",106, ,1,0,0,0,0,1
1998,"Expression of functional angiotensin-converting enzyme and AT1 receptors in cultured human cardiac fibroblasts","Hafizi S., Wharton J., Morgan K., Allen S.P., Chester A.H., Catravas J.D., Polak J.M., Yacoub M.H.",00097322,"Circulation",98, 23,35,1,2,3,3,41
1998,"Angiotensin II stimulates proliferation of human pulmonary artery smooth muscle cells via the AT1 receptor","Morrell N.W., Upton P.D., Higham M.A., Yacoub M.H., Polak J.M., Wharton J.",00123692,"Chest",114, 1,8,0,0,0,1,9
1998,"Differential distribution of angiotensin AT2 receptors in the normal and failing human heart","Wharton J., Morgan K., Rutherford R.A.D., Catravas J.D., Chester A., Whitehead B.F., De Leval M.R., Yacoub M.H., Polak J.M.",00223565,"Journal of Pharmacology and Experimental Therapeutics",284, 1,89,5,3,8,1,98
1997,"Sequential development of angiotensin receptors and angiotensin I converting enzyme during angiogenesis in the rat subcutaneous sponge granuloma","Walsh D.A., Hu D.-E., Wharton J., Catravas J.D., Blake D.R., Fan T.-P.D.",00071188,"British Journal of Pharmacology",120, 7,38,6,3,9,1,48
1996,"A quantitative assessment of innervation in the conduction system of the calf heart","Crick S.J., Sheppard M.N., Anderson R.H., Polak J.M., Wharton J.",0003276X,"Anatomical Record",245, 4,7,2,0,2,0,9
1996,"Innervation of human atrioventricular and arterial valves","Marron K., Yacoub M.H., Polak J.M., Sheppard M.N., Fagan D., Whitehead B.F., De Leval M.R., Anderson R.H., Wharton J.",00097322,"Circulation",94, 3,34,6,4,10,5,49
1996,"A quantitative study of nerve distribution in the conduction system of the guinea pig heart","Crick S.J., Sheppard M.N., Anderson R.H., Polak J.M., Wharton J.",00218782,"Journal of Anatomy",188, 2,12,2,2,4,1,17
1996,"Regional changes in angiotensin II receptor density after experimental myocardial infarction","Lefroy D.C., Wharton J., Crake T., Knock G.A., Rutherford R.A.D., Suzuki T., Morgan K., Polak J.M., Poole-Wilson P.A.",00222828,"Journal of Molecular and Cellular Cardiology",28, 2,52,1,3,4,2,58
1995,"Distribution, morphology, and neurochemistry of endocardial and epicardial nerve terminal arborizations in the human heart","Marron K., Polak J.M., Wharton J., Sheppard M.N., Fagan D., Royston D., Kuhn D.M., De Leval M.R., Whitehead B.F., Anderson R.H.",00097322,"Circulation",92, 8,37,6,2,8,4,49
1995,"Peptidergic innervation of guinea-pig brain vessels: Comparison with immunohistochemistry and in vitro pharmacology in rostrally and caudally located arteries","You J., Gulbenkian S., Jansen Olesen I., Marron K., Wharton J., Barroso C.P., Polak J.M., Edvinsson L.",01651838,"Journal of the Autonomic Nervous System",55, 3,9,0,0,0,0,9
1994,"The innervation of guinea pig epicardial coronary veins: Immunohistochemistry, ultrastructure and vasomotility","Gulbenkian S., Opgaard O.S., Barroso C.P., Wharton J., Polak J.M., Edvinsson L.",01651838,"Journal of the Autonomic Nervous System",47, 3,4,1,0,1,0,5
1994,"Innervation of the human cardiac conduction system: A quantitative immunohistochemical and histochemical study","Crick S.J., Wharton J., Sheppard M.N., Royston D., Yacoub M.H., Anderson R.H., Polak J.M.",00097322,"Circulation",89, 4,35,5,2,7,4,46
1994,"Human endocardial innervation and its relationship to the endothelium: An immunohistochemical, histochemical, and quantitative study","Marron K., Wharton J., Sheppard n. M., Gulbenkian S., Royston D., Yacoub m. H., Anderson R.H., Polak J.M.",00086363,"Cardiovascular Research",28, 10,18,3,0,3,1,22
1994,"Angiotensin II (AT1) vascular binding sites in human placentae from normal-term, preeclamptic and growth retarded pregnancies","Knock G.A., Sullivan M.H.F., McCarthy A., Elder M.G., Polak J.M., Wharton J.",00223565,"Journal of Pharmacology and Experimental Therapeutics",271, 2,30,3,5,8,0,38
1994,"Co-expression of renin-angiotensin system component genes in human atrial tissue","Morgan K., Wharton J., Webb J.C., Keogh B.E., Smith P.L.C., Taylor K.M., Oakley C.M., Polak J.M., Cleland J.G.F.",09521178,"Journal of Hypertension, Supplement",12, 4,15,1,1,2,1,18
1994,"AT1 receptor characteristics of angiotensin analogue binding in human synovium","Walsh D.A., Suzuki T., Knock G.A., Blake D.R., Polak J.M., Wharton J.",00071188,"British Journal of Pharmacology",112, 2,18,1,4,5,1,24
1994,"Identification of renal natriuretic peptide receptor subpopulations by use of the non-peptide antagonist, HS-142-1","Rutherford R.A.D., Matsuda Y., Wilkins M.R., Polak J.M., Wharton J.",00071188,"British Journal of Pharmacology",113, 3,7,1,0,1,1,9
1994,"Differences in the distribution and characteristics of tachykinin NK1 binding sites between human and guinea pig lung","Walsh D.A., Salmon M., Featherstone R., Wharton J., Church M.K., Polak J.M.",00071188,"British Journal of Pharmacology",113, 4,19,1,0,1,0,20
1993,"Species and tissue specificity of vasoactive regulatory peptides","Walsh D.A., Wharton J., Blake D.R., Polak J.M.",02500868,"International Journal of Tissue Reactions",15, 3,6,0,0,0,0,6
1993,"Neuropeptide degrading enzymes in normal and inflamed human synovium","Walsh D.A., Mapp P.I., Wharton J., Polak J.M., Blake D.R.",00029440,"American Journal of Pathology",142, 5,17,1,0,1,0,18
1993,"Capsaicin induced afferent denervation and receptor-linked responses to CGRP in the rat","McEwan J.R., Newman C., Wharton J., Polak J.M., MacDermot J.",01670115,"Regulatory Peptides",44, 1,2,0,0,0,0,2
1993,"Localization and characterization of neuropeptide Y binding sites in porcine and human colon","Walsh D.A., Wharton J., Blake D.R., Polak J.M.",00071188,"British Journal of Pharmacology",108, 2,17,1,1,2,0,19
1993,"Intractable chest pain in cardiomyopathy: Treatment by a novel technique of cardiac cryodenervation with quantitative immunohistochemical assessment of success","Gaer J.A.R., Gordon L., Wharton J., Polak J.M., Taylor K.M., McKenna W., Parker D.J.",00070769,"British Heart Journal",70, 6,0,0,0,0,0,0
1993,"Peptidergic innervation of human epicardial coronary arteries","Gulbenkian S., Opgaard O.S., Ekman R., Andrade N.C., Wharton J., Polak J.M., Melo J.Q., Edvinsson L.",00097330,"Circulation Research",73, 3,60,0,2,2,0,62
1993,"Quantitative immunohistochemical assessment of bovine myocardial innervation before and after cryosurgical cardiac denervation","Gordon L., Wharton J., Gaer J.A.R., Inglis G.C., Taylor K.M., Polak J.M.",00086363,"Cardiovascular Research",27, 2,8,0,0,0,0,8
1993,"Differential localization of endothelin ET(A) and ET(B) binding site in human placenta","Rutherford R.A.D., Wharton J., McCarthy A., Gordon L., Sullivan M.H.F., Elder M.G., Polak J.M.",00071188,"British Journal of Pharmacology",109, 2,21,2,0,2,0,23
1993,"Microvascular substance P binding to normal and inflamed rat and human synovium","Walsh D.A., Salmon M., Mapp P.I., Wharton J., Garrett N., Blake D.R., Polak J.M.",00223565,"Journal of Pharmacology and Experimental Therapeutics",267, 2,23,1,1,2,0,25
1993,"Development of the peptidergic innervation of human heart","Gordon L., Polak J.M., Moscoso G.J., Smith A., Kuhn D.M., Wharton J.",00218782,"Journal of Anatomy",183, 1,30,0,0,0,1,31
1993,"Autoradiographic localisation and characterisation of substance P binding sites in rat knees","Walsh D.A., Salmon M., Wharton J., Mapp P.I., Polak J.M.",01670115,"Regulatory Peptides",46, 1-2,3,0,0,0,0,3
1993,"The natriuretic peptide family: Turning hormones into drugs","Wilkins M.R., Nunez D.J., Wharton J.",00220795,"Journal of Endocrinology",137, 3,19,0,1,1,1,21
1992,"Endocardial localization and characterization of natriuretic peptide binding sites in human fetal and adult heart","Rutherford R.A.D., Wharton J., Gordon L., Moscoso G., Yacoub M.H., Polak J.M.",00142999,"European Journal of Pharmacology",212, 1,15,0,0,0,1,16
1992,"Neural and endothelial regulatory peptides, their possible involvement in inflammation","Walsh D.A., Wharton J., Blade D.R., Polak J.M.",02500868,"International Journal of Tissue Reactions",14, 3,13,1,1,2,0,15
1992,"Localisation and characterisation of substance P binding to human synovial tissue in rheumatoid arthritis","Walsh D.A., Mapp P.I., Wharton J., Rutherford R.A.D., Kidd B.L., Revell P.A., Blake D.R., Polak J.M.",00034967,"Annals of the Rheumatic Diseases",51, 3,26,1,2,3,0,29
1992,"Regional distribution and regulation of [125I]calcitonin gene-related peptide binding sites in coronary arteries","Knock G.A., Wharton J., Gaer A.R., Yacoub M.H., Taylor K.M., Polak J.M.",00142999,"European Journal of Pharmacology",219, 3,10,1,0,1,0,11
1991,"Localization of endothelin binding sites and endothelin-like immunoreactivity in human fetal heart","Wharton J., Rutherford R.A.D., Gordon L., Moscoso G., Schiemberg I., Gaer J.A.R., Taylor K.M., Polak J.M.",01602446,"Journal of Cardiovascular Pharmacology",17, 7,11,0,0,0,0,11
1991,"Endothelin-1 in human skin: Immunohistochemical, receptor binding, and functional studies","Terenghi G., Bull H.A., Bunker C.B., Springall D.R., Zhao Y., Wharton J., Dowd P.M., Polak J.M.",01602446,"Journal of Cardiovascular Pharmacology",17, 7,3,1,0,1,0,4
1991,"Simultaneous visualization of neuropeptide and acetylcholinesterase nerve subpopulations in the perivascular plexus","Gulbenkian S., Valenca A., Wharton J., Polak J.M., David-Ferreira J.F.",00182214,"Histochemical Journal",23, 11-12,10,0,0,0,0,10
1991,"Localization of endothelinlike immunoreactivity and endothelin binding sites in human colon","Inagaki H., Bishop A.E., Escrig C., Wharton J., Allen-Mersh T.G., Polak J.M.",00165085,"Gastroenterology",101, 1,51,2,1,3,0,54
1991,"Heterogeneous binding sites for ?-atrial natriuretic peptide in human umbilical cord and placenta","Salas S.P., Power R.F., Singleton A., Wharton J., Polak J.M., Brown J.",00029513,"American Journal of Physiology - Regulatory Integrative and Comparative Physiology",261, 3,3,0,0,0,0,3
1991,"Atrial amyloid deposits in the failing human heart display both atrial and brain natriuretic peptide-like immunoreactivity","Pucci A., Wharton J., Arbustini E., Grasso M., Diegoli M., Needleman P., Vigano M., Polak J.M.",00223417,"Journal of Pathology",165, 3,12,0,0,0,0,12
1991,"Autoradiographic localization of endothelin-1 binding sites in porcine skin","Zhao Y.D., Springall D.R., Wharton J., Polak J.M.",0022202X,"Journal of Investigative Dermatology",96, 1,2,0,0,0,0,2
1990,"Immunohistochemical localization of peptide-containing nerves in human airways: age-related changes.","Hislop A.A., Wharton J., Allen K.M., Polak J.M., Haworth S.G.",10441549,"American journal of respiratory cell and molecular biology",3, 3,25,2,0,2,5,32
1990,"Neural and endocrine peptides in the transplanted heart","Wharton J., Gordon L., Polak J.M., Yacoub M.H.",10430679,"Seminars in Thoracic and Cardiovascular Surgery",2, 3,0,0,0,0,0,0
1990,"Myocardial localization and isoforms of neural cell adhesion molecule (N-CAM) in the developing and transplanted human heart","Gordon L., Polak J.M., Wharton J., Moore S.E., Walsh F.S., Moscoso J.G., Penketh R., Wallwork J., Taylor K.M., Yacoub M.H.",00219738,"Journal of Clinical Investigation",86, 4,9,0,0,0,0,9
1990,"Immunohistochemical demonstration of human cardiac innervation before and after transplantation","Wharton J., Polak J.M., Gordon L., Banner N.R., Springhall D.R., Rose M., Khagani A., Wallwork J., Yacoub M.H.",00097330,"Circulation Research",66, 4,49,2,0,2,2,53
1989,"Peptide-containing nerves in the rat femoral artery and vein. An immunocytochemical and vasomotor study","Edvinsson L., Gulbenkian S., Wharton J., Jansen I., Polak J.M.",03036847,"Blood Vessels",26, 5,15,1,1,2,0,17
1989,"Neural cell adhesion molecule (N-CAM) expression during cardiac development in the rat","Wharton J., Gordon L., Walsh F.S., Flanigan T.P., Moore S.E., Polak J.M.",00068993,"Brain Research",483, 1,4,0,0,0,0,4
1989,"A study of nerves containing peptides in the pulmonary vasculature of healthy infants and children and of those with pulmonary hypertension","Allen K.M., Wharton J., Polak J.M., Haworth S.G.",00070769,"British Heart Journal",62, 5,15,0,1,1,1,17
1989,"Autoradiographic localisation of endothelin binding sites in human and porcine coronary arteries","Power R.F., Wharton J., Salas S.P., Kanse S., Ghatei M., Bloom S.R., Polak J.M.",00142999,"European Journal of Pharmacology",160, 1,10,0,0,0,0,10
1989,"Autoradiographic localization of endothelin-1 binding sites in the cardiovascular and respiratory systems","Power R.F., Wharton J., Zhao Y., Bloom S.R., Polak J.M.",01602446,"Journal of Cardiovascular Pharmacology",13, 5,39,0,1,1,0,40
1988,"Protein gene product 9.5 (PGP 9.5). A new neuronal marker visualizing the whole uterine innervation and pregnancy-induced and developmental changes in the guinea pig","Lundberg L.-M., Alm P., Wharton J., Polak J.M.",03015564,"Histochemistry",90, 1,47,1,1,2,0,49
1988,"Expression of the atrial natriuretic peptide gene in the cardiac muscle of rat extrapulmonary and intrapulmonary veins","Springall D.R., Bhatnagar M., Wharton J., Hamid Q., Gulbenkian S., Hedges M., Meleagros L., Bloom S.R., Polak J.M.",00406376,"Thorax",43, 1,7,0,0,0,0,7
1988,"Organization of the guinea-pig uterine innervation. Distribution of immunoreactivities for different neuronal markers. Effects of chemical- and pregnancy-induced sympathectomy","Alm P., Lundberg L.-M., Wharton J., Polak J.M.",00182214,"Histochemical Journal",20, 5,9,1,0,1,0,10
1988,"Effects of pregnancy on the extrinsic innervation of the guinea pig uterus. A histochemical, immunohistochemical and ultrastructural study","Alm P., Lundberg L.-M., Wharton J., Polak J.M.",00182214,"Histochemical Journal",20, 8,15,1,1,2,0,17
1988,"Ventricular and atrial myocytes of newborn rats synthesise and secrete atrial natriuretic peptide in culture: Light- and electron-microscopical localisation and chromatographic examination of stored and secreted molecular forms","Hassall C.J.S., Burnstock G., Wharton J., Gulbenkian S., Anderson J.V., Frater J., Bailey D.J., Merighi A., Bloom S.R., Polak J.M.",0302766X,"Cell and Tissue Research",251, 1,1,1,0,1,0,2
1988,"The presence and molecular forms of cardiodilatin immunoreactivity in the human and rat right atrium","Meleagros L., Ghatei M.A., Anderson J.V., Wharton J., Taylor K.M., Krikler D.M., Meijler F.L., Polak J.M., Bloom S.R.",00098981,"Clinica Chimica Acta",172, 2-3,0,0,0,0,0,0
1988,"Postnatal development of the innervation and paraganglia in the porcine pulmonary arterial bed","Wharton J., Haworth S.G., Polak J.M.",00223417,"Journal of Pathology",154, 1,4,0,0,0,0,4
1988,"Anatomical distribution of vasoactive intestinal peptide binding sites in peripheral tissues investigated by in vitro autoradiography","Power R.F., Bishop A.E., Wharton J., Inyama C.O., Jackson R.H., Bloom S.R., Polak J.M.",00778923,"Annals of the New York Academy of Sciences",527, ,2,0,0,0,1,3
1988,"Localisation of atrial natriuretic peptide immunoreactivity in the ventricular myocardium and conduction system of the human fetal and adult heart","Wharton J., Yacoub M.H., Polak J.M., Anderson R.H., Springall D., Power R.F., Rose M., Smith A., Espejo R., Khaghani A., Wallwork J.",00070769,"British Heart Journal",60, 4,16,0,1,1,1,18
1988,"Ontogenetic development of the guinea pig uterine innervation. An immunohistochemical study of different neuronal markers, neuropeptides and S-100 protein","Alm P., Lundberg L.-M., Wharton J., Polak J.M.",03015564,"Histochemistry",90, 1,2,0,0,0,0,2
1988,"Immunohistochemical and ultrastructural localisation of peptide-containing nerves and myocardial cells in the human atrial appendage","Wharton J., Gulbenkian S., Merighi A., Kuhn D.M., Jahn R., Taylor K.M., Polak J.M.",0302766X,"Cell and Tissue Research",254, 1,20,1,0,1,0,21
1987,"Distribution of vasoactive intestinal polypeptide binding sites in guinea pig genital tissues","Inyama C.O., Wharton J., Davis C.J.",03043940,"Neuroscience Letters",81, 1-2,3,0,0,0,0,3
1987,"Localization of atrial natriuretic peptide mRNA and immunoreactivity in the rat heart and human atrial appendage","Hamid Q., Polak J.M., Wharton J., Terenghi G., Hassal C.J.S., Aimi J., Taylor K.M., Nakazato H., Dixon J.E., Burnstock G.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",84, 19,64,3,1,4,0,68
1987,"Peptides in the mammalian cardiovascular system","Wharton J., Gulbenkian S.",00144754,"Experientia",43, 7,29,1,1,2,0,31
1987,"The visualisation of cardiovascular innervation in the guinea pig using an antiserum to protein gene product 9.5 (PGP 9.5)","Gulbenkian S., Wharton J., Polak J.M.",01651838,"Journal of the Autonomic Nervous System",18, 3,103,2,0,2,0,105
1986,"Ultrastructural evidence for the coexistence of calcitonin gene-related peptide and substance P in secretory vesicles of peripheral nerves in the guinea pig","Gulbenkian S., Merighi A., Wharton J.",03004864,"Journal of Neurocytology",15, 4,55,0,0,0,2,57
1986,"Capsaicin induces a depletion of calcitonin gene-related peptide (CGRP)-immunoreactive nerves in the cardiovascular system of the guinea pig and rat","Wharton J., Gulbenkian S., Mulderry P.K.",01651838,"Journal of the Autonomic Nervous System",16, 4,57,0,3,3,0,60
1986,"Calcitonin gene-related peptide immunoreactivity in afferent neurons supplying the urinary tract: Combined retrograde tracing and immunohistochemistry","Su H.C., Wharton J., Polak J.M.",03064522,"Neuroscience",18, 3,63,1,3,4,0,67
1986,"CGRP-immunoreactive nerves in the genitalia of the female rat originate from dorsal root ganglia T11-L3 and L6-S1: A combined immunocytochemical and retrograde tracing study","Inyama C.O., Wharton J., Su H.C., Polak J.M.",03043940,"Neuroscience Letters",69, 1,22,1,0,1,0,23
1985,"Co-localization of neuropeptide tyrosine (NPY) and its C-terminal flanking peptide (C-PON)","Gulbenkian S., Wharton J., Hacker G.W.",01969781,"Peptides",6, 6,15,2,1,3,2,20
1983,"Neurotensin-like immunoreactivity in a subpopulation of noradrenaline-containing cells of the cat adrenal gland.","Terenghi G., Polak J.M., Varndell I.M., Lee Y.C., Wharton J., Bloom S.R.",00137227,"Endocrinology",112, 1,4,0,0,0,0,4
1981,"Neuron-specific enolase as an immunocytochemical marker for the diffuse neuroendocrine system in human fetal lung","Wharton J., Polak J.M., Cole G.A.",00221554,"Journal of Histochemistry and Cytochemistry",29, 12,12,0,0,0,0,12
1981,"Peptide containg nerves in the ureter of the guinea-pig and cat","Wharton J., Polak J.M., Probert L.",03064522,"Neuroscience",6, 5,8,0,0,0,0,8
1980,"The differential distribution of vasoactive intestinal polypeptide in the normal human female genital tract","Lynch E.M., Wharton J., Bryant M.G.",,"Histochemistry",67, 2,10,1,0,1,0,11
1980,"Enkephalin-, VIP- and substance P-like immunoreactivity in the carotid body","Wharton J., Polak J.M., Pearse A.G.E.",00280836,"Nature",284, 5753,26,0,2,2,0,28
1979,"Vasoactive intestinal polypeptide (VIP) and substance P nerves in man and other mammals","Polak J.M., Bishop A.E., Wharton J.",00142972,"European Journal of Clinical Investigation",9, 2,0,0,0,0,0,0
1979,"Substance P-like immunoreactive nerves in mammalian lung","Wharton J., Polak J.M., Bloom S.R.",,"Investigative and Cell Pathology",2, 1,15,0,0,0,0,15
1979,"Vasoactive intestinal polypeptide (VIP)-like immunoreactivity in salivary glands","Wharton J., Polak J.M., Bryant M.G.",00243205,"Life Sciences",25, 3,9,0,0,0,0,9
1979,"Peptide-containing nerves in striated ducts of submandibular glands in cats [proceedings]","Garrett J.R., Kidd A., Polak J.M., Wharton J.",00223751,"Journal of Physiology",296, ,1,0,0,0,0,1
1979,"Bombesin-like immunoreactivity in tha avian gut and its localisation to a distinct cell type","Timson C.M., Polak J.M., Wharton J.",,"Histochemistry",61, 2,4,0,0,0,0,4
1978,"Bombesin-like immunoreactivity in the lung","Wharton J., Polak J.M., Bloom S.R.",00280836,"Nature",273, 5665,52,1,2,3,1,56
1978,"Bombesin-like immunoreactivity in the gastrointestinal tract, lung and central nervous system","Polak J.M., Ghatei M.A., Wharton J.",00365521,"Scandinavian Journal of Gastroenterology",13, 49,4,0,0,0,0,4
1978,"The presence of bombesin, a recently discovered gut and brain peptide, in human lung [proceedings]","Wharton J., Polak J.M., Ghatei M.A., Bloom S.R., Pearse A.G.",00220795,"Journal of Endocrinology",77, 2,0,0,0,0,0,0
1978,"Bombesin: A new lung peptide","Polak J.M., Bloom S.R., Wharton J.",00149446,"Federation Proceedings",37, 3,0,0,0,0,0,0
