,"Authors: Crawford, Michael J.; Crawford, Mike J.",,,,,,,,,,,
2005,"Zero tolerance of violence by users of mental health services: The need for an ethical framework","Behr G.M., Ruddock J.P., Benn P., Crawford M.J.",00071250,"British Journal of Psychiatry",187, ,2,1,0,1,0,3
2005,"The half-life of the 'teachable moment' for alcohol misusing patients in the emergency department","Williams S., Brown A., Patton R., Crawford M.J., Touquet R.",03768716,"Drug and Alcohol Dependence",77, 2,9,5,8,13,7,29
2005,"Qualitative research in psychiatry","Whitley R., Crawford M.",07067437,"Canadian Journal of Psychiatry",50, 2,3,3,9,12,1,16
2004,"Are the views of members of mental health user groups representative of those of 'ordinary' patients? A cross-sectional survey of service users and providers","Crawford M.J., Rutter D.",09638237,"Journal of Mental Health",13, 6,3,1,6,7,1,11
2004,"Suicide following discharge from in-patient psychiatric care","Crawford M.J.",13555146,"Advances in Psychiatric Treatment",10, 6,1,2,1,3,0,4
2004,"Screening and referral for brief intervention of alcohol-misusing patients in an emergency department: A pragmatic randomised controlled trial","Crawford M.J., Patton R., Touquet R., Drummond C., Byford S., Barrett B., Reece B., Brown A., Henry J.A.",01406736,"Lancet",364, 9442,31,8,16,24,9,64
2004,"The prevalence of excessive alcohol consumption and the acceptability of brief advice in a sexual health clinic: Cross sectional survey [3]","Crawford M.J., Lowe P.C., Greene L., Brookings C.",13684973,"Sexually Transmitted Infections",80, 5,2,0,1,1,0,3
2004,"Sexual activity among patients in psychiatric hospital wards","Warner J., Pitts N., Crawford M.J., Serfaty M., Prabhakaran P., Amin R.",01410768,"Journal of the Royal Society of Medicine",97, 10,4,1,2,3,1,8
2004,"In hospital, at home, or not at all. A cross-sectional survey of patient preferences for receipt of compulsory treatment","Crawford M.J., Gibbon R., Ellis E., Waters H.",09556036,"Psychiatric Bulletin",28, 10,1,2,0,2,0,3
2004,"Hazardous drinkers in the accident and emergency department - Who accepts advice?","Patton R., Crawford M., Touquet R.",14720205,"Emergency Medicine Journal",21, 4,9,0,2,2,1,12
2004,"The Paddington Alcohol Test: A short report","Patton R., Hilton C., Crawford M.J., Touquet R.",07350414,"Alcohol and Alcoholism",39, 3,9,3,2,5,1,15
2004,"Patients or partners? Case studies of user involvement in the planning and delivery of adult mental health services in London","Rutter D., Manley C., Weaver T., Crawford M.J., Fulop N.",02779536,"Social Science and Medicine",58, 10,5,4,6,10,2,17
2004,"Depression: International intervention for a global problem","Crawford M.J.",00071250,"British Journal of Psychiatry",184, ,2,0,0,0,0,2
2004,"Providing continuity of care for people with severe mental illness - A narrative review","Crawford M.J., de Jonge E., Freeman G.K., Weaver T.",09337954,"Social Psychiatry and Psychiatric Epidemiology",39, 4,3,2,4,6,3,12
2003,"The benefits of involving patients in healthcare planning remain uncertain","Crawford M.J., Rutter D., Manley C., Payne S.",14629410,"Evidence-Based Healthcare",7, 2,0,0,0,0,0,0
2003,"Use of qualitative research methods in general medicine and psychiatry: Publication trends in medical journals 1990-2000","Crawford M.J., Ghosh P., Keen R.",00207640,"International Journal of Social Psychiatry",49, 4,1,1,0,1,0,2
2003,"Delivering safer services: Can suicide and homicide among people in contact with mental health services be predicted?","Crawford M.J.",14737175,"Expert Review of Neurotherapeutics",3, 5,1,0,0,0,0,1
2003,"Impact of health consequences feedback on patients acceptance of advice about alcohol consumption","Patton R., Crawford M.J., Touquet R.",13510622,"Emergency Medicine Journal",20, 5,7,0,2,2,0,9
2003,"Suicide in ethnic minority groups","McKenzie K., Serfaty M., Crawford M.",00071250,"British Journal of Psychiatry",183, ,2,3,4,7,3,12
2003,"User involvement in the planning and delivery of mental health services: A cross-sectional survey of service users and providers","Crawford M.J., Aldridge T., Bhui K., Rutter D., Manley C., Weaver T., Tyrer P., Fulop N.",0001690X,"Acta Psychiatrica Scandinavica",107, 6,11,5,4,9,3,23
2002,"Thinking life is not worth living. A population survey of Great Britain","Thomas H.V., Crawford M., Meltzer H., Lewis G.",09337954,"Social Psychiatry and Psychiatric Epidemiology",37, 8,7,2,3,5,1,13
2002,"Systematic review of involving patients in the planning and development of health care","Crawford M.J., Rutter D., Manley C., Weaver T., Bhui K., Fulop N., Tyrer P.",09598146,"British Medical Journal",325, 7375,66,14,21,35,12,113
2002,"Suicide rate 22 years after parasuicide: Cohort study","Jenkins G.R., Hale R., Papanastassiou M., Crawford M.J., Tyrer P.",09598146,"British Medical Journal",325, 7373,28,5,5,10,5,43
2002,"Evaluating new treatments in psychiatry: The potential value of combining qualitative and quantitative research methods","Crawford M.J., Weaver T., Rutter D., Sensky T., Tyrer P.",09540261,"International Review of Psychiatry",14, 1,9,0,0,0,0,9
2002,"Emergency departments are well placed to identify alcohol misuse problems [14]","Patton R., Crawford M., Touquet R.",09598146,"British Medical Journal",324, 7332,2,0,0,0,0,2
2001,"Psychological management following deliberate self-harm","Crawford M.",14702118,"Clinical Medicine",1, 3,0,0,0,0,0,0
2001,"Most psychiatrists oppose plans for new mental health act [16]","Crawford M.J., Hopkins W., Thomas P., Moncreiff J., Bindman J., Gray A.J.",09598146,"British Medical Journal",322, 7290,2,0,0,0,0,2
2001,"Involving users in the development of psychiatric services - No longer an an option","Crawford M.",09556036,"Psychiatric Bulletin",25, 3,4,0,1,1,0,5
2000,"Concerns over reform of the Mental Health Act [1] (multiple letters)","Crawford M.J., Hopkins W., Henderson C., Iqbal F.",00071250,"British Journal of Psychiatry",177, ,1,0,1,1,0,2
2000,"Concerns over reform of the Mental Health Act.","Crawford M.J., Hopkins W., Henderson C.",00071250,"British Journal of Psychiatry",177, ,0,0,0,0,0,0
2000,"Homicide is impossible to predict (multiple letters)","Crawford M., Prins H., King J.R.",09556036,"Psychiatric Bulletin",24, 4,3,1,0,1,0,4
2000,"The management of patients following deliberate self harm - What happens to those discharged from hospital to GP care?","Crawford M.J., Wessely S.",13552570,"Primary Care Psychiatry",6, 2,5,0,1,1,0,6
1999,"Key developments in psychiatry","Crawford M.",00326518,"Practitioner",243, 1601,0,0,0,0,0,0
1998,"Deliberate self harm assessment by accident and emergency staff - An intervention study","Crawford M.J., Turnbull G., Wessely S.",13510622,"Emergency Medicine Journal",15, 1,15,4,2,6,1,22
1998,"Psychiatric out-patients' views on talking about sex","Crawford M.J., Shaw T.",09556036,"Psychiatric Bulletin",22, 6,3,0,1,1,0,4
1998,"Involvement of users and carers in the training of psychiatrists: Making it happen","Crawford M., Davies S.",09556036,"Psychiatric Bulletin",22, 1,6,0,1,1,0,7
1997,"Openness with patients: A categorical imperative to correct an imbalance","Kessel A.S., Crawford M.J.",13533452,"Science and Engineering Ethics",3, 3,4,0,0,0,0,4
1997,"Urgent psychiatric assessment in an inner-city A and E department","Crawford M.J., Kohen D.",09556036,"Psychiatric Bulletin",21, 10,5,0,0,0,0,5
1996,"Evaluation of a community based service for urgent psychiatric asessment","Crawford M.J., Kohen D., Dalton J.",09556036,"Psychiatric Bulletin",20, 10,0,0,0,0,0,0
1994,"Depression and low blood pressure: A causal relationship?","Pilgrim J., Crawford M.",02136163,"European Journal of Psychiatry",8, 1,0,0,0,0,0,0
1993,"Low blood pressure and wellbeing [25]","Pilgrim J.A., Crawford M.",09598146,"British Medical Journal",306, 6878,1,0,0,0,0,1
