,"Author: Davies, D. Ceri",,,,,,,,,,,
2004,Adrenergic agents modify cerebral edema and microvessel ultrastructure in porcine sepsis,"Moss R.F., Parmar N.K., Tighe D., Davies D.C.",903493,Critical Care Medicine,32,9,2,1,1,2,0,4
2004,Cognitive correlates of A? deposition in male and female mice bearing amyloid precursor protein and presenilin-1 mutant transgenes,"Howlett D.R., Richardson J.C., Austin A., Parsons A.A., Bate S.T., Davies D.C., Gonzalez M.I.",68993,Brain Research,1017, 1-2,9,6,10,16,9,34
2004,Distribution of Corticotropin-Releasing Factor-Immunoreactive Neurons in the Central Nervous System of the Domestic Chicken and Japanese Quail,"Richard S., Martinez-Garcia F., Lanuza E., Davies D.C.",219967,Journal of Comparative Neurology,469,4,8,4,2,6,0,14
2004,Neonatal 5HT activity antagonizes the masculinizing effect of testosterone on the luteinizing hormone release response to gonadal steroids and on brain structures in rats,"Murray J.F., Dakin C.L., Siddiqui A., Pellatt L.J., Ahmed S., Ormerod L.J.A., Swan A.V., Davies D.C., Wilson C.A.",0953816X,European Journal of Neuroscience,19,2,1,1,3,4,1,6
2003,Muscular Ventricular Septal Defect in an 89-Year-Old Woman that Was Undetected During Life,"Tucker W.R., Davies D.C., Anderson R.H., Lagolopulos M., Webb S.",8973806,Clinical Anatomy,16,6,1,0,0,0,0,1
2003,Hyperphosphorylated tau and paired helical filament-like structures in the brains of mice carrying mutant amyloid precursor protein and mutant presenilin-1 transgenes,"Kurt M.A., Davies D.C., Kidd M., Duff K., Howlett D.R.",9699961,Neurobiology of Disease,14,1,17,2,4,6,3,26
2002,Increased aquaporin I water channel expression in human brain tumours,"Saadoun S., Papadopoulos M.C., Davies D.C., Bell B.A., Krishna S.",70920,British Journal of Cancer,87,6,29,13,20,33,4,66
2002,Blood-brain barrier breakdown in septic encephalopathy and brain tumours,Davies D.C.,218782,Journal of Anatomy,200,6,41,24,11,35,5,81
2002,"The ramification and connections of retinal fibres in layer 7 of the domestic chick optic tectum: A Golgi impregnation, anterograde tracer and GABA-immunogold study","Sebesteny T., Davies D.C., Zayats N., Nemeth A., Tombol T.",218782,Journal of Anatomy,200,2,10,0,1,1,0,11
2002,The intrinsic neuronal organisation of the nucleus of the basal optic root in the domestic chicken; A light and electron microscopic study using anterograde tracers and postembedding GABA-immunostaining,"Zayats N., Davies D.C., Nemeth A., Tombol T.",9243860,European Journal of Morphology,40,2,1,1,0,1,0,2
2002,Aquaporin-4 expression is increased in oedematous human brain tumours,"Saadoun S., Papadopoulos M.C., Davies D.C., Krishna S., Bell B.A.",223050,Journal of Neurology Neurosurgery and Psychiatry,72,2,60,25,14,39,14,113
2002,Striato-amygdaloid transition area lesions reduce the duration of tonic immobility in the lizard Podarcis hispanica,"Davies D.C., Martinez-Garcia F., Lanuza E., Novejarque A.",3619230,Brain Research Bulletin,57, 3-4,6,1,1,2,0,8
2001,Occludin expression in microvessels of neoplastic and non-neoplastic human brain,"Papadopoulos M.C., Saadoun S., Woodrow C.J., Davies D.C., Costa-Martins P., Moss R.F., Krishna S., Bell B.A.",3051846,Neuropathology and Applied Neurobiology,27,5,25,1,2,3,5,33
2001,Neurodegenerative changes associated with ?-amyloid deposition in the brains of mice carrying mutant amyloid precursor protein and mutant presenilin-1 transgenes,"Kurt M.A., Davies D.C., Kidd M., Duff K., Rolph S.C., Jennings K.H., Howlett D.R.",144886,Experimental Neurology,171,1,26,4,4,8,7,41
2001,Emerging molecular mechanisms of brain tumour oedema,"Papadopoulos M.C., Saadoun S., Davies D.C., Bell B.A.",2688697,British Journal of Neurosurgery,15,2,41,8,2,10,1,52
2001,Enlargement of the fornix in early-onset schizophrenia: A quantitative MRI study,"Davies D.C., Wardell A.M.J., Woolsey R., James A.C.D.",3043940,Neuroscience Letters,301,3,4,1,4,5,1,10
2000,Pathophysiology of septic encephalopathy: A review,"Papadopoulos M.C., Davies D.C., Moss R.F., Tighe D., Bennett E.D.",903493,Critical Care Medicine,28,8,57,10,16,26,10,93
2000,Comparison of methyl anthranilate and denatonium benzoate as aversants for learning in chicks,"Richard S., Davies D.C.",319384,Physiology and Behavior,70,5,3,1,1,2,0,5
2000,Distribution of CGRP-like immunoreactivity in the chick and quail brain,"Lanuza E., Davies D.C., Landete J.M., Novejarque A., Martinez-Garcia F.",219967,Journal of Comparative Neurology,421,4,17,3,2,5,2,24
2000,The role of fear in one-trial passive avoidance learning in Japanese quail chicks genetically selected for long or short duration of the tonic immobility reaction,"Richard S., Davies D.C., Faure J.M.",3766357,Behavioural Processes,48,3,1,0,0,0,1,2
2000,Synaptic deficit in the temporal cortex of partial trisomy 16 (Ts65Dn) mice,"Ayberk Kurt M., Davies D.C., Kidd M., Dierssen M., Florez J.",68993,Brain Research,858,1,29,8,4,12,3,44
2000,A Golgi and a combined Golgi/GABA immunogold study of local circuit neurons in the homing pigeon hippocampus,"Tombol T., Davies D.C., Nemeth A., Alpar A., Sebesteny T.",3402061,Anatomy and Embryology,201,3,4,1,1,2,2,8
2000,A comparative Golgi study of chicken (Gallus domesticus) and homing pigeon (Columba livia) hippocampus,"Tombol T., Davies D.C., Nemeth A., Sebesteny T., Alpar A.",3402061,Anatomy and Embryology,201,2,10,1,0,1,3,14
1999,?-Amyloid immunoreactivity in astrocytes in Alzheimer's disease brain biopsies: An electron microscope study,"Kurt M.A., Davies D.C., Kidd M.",144886,Experimental Neurology,158,1,16,2,2,4,1,21
1999,Faecal peritonitis causes oedema and neuronal injury in pig cerebral cortex,"Papadopoulos M.C., Lamb F.J., Moss R.F., Davies D.C., Tighe D., Bennett E.D.",1435221,Clinical Science,96,5,18,4,8,12,4,34
1999,Anorectal sensation and continence,"Maxwell P.R., Heriot A.G., Davies D.C., Kumar D.",365521,Scandinavian Journal of Gastroenterology,34,2,3,0,0,0,0,3
1998,In vitro testing of calcium channel blockers and cytotoxic chemotherapy in B cell low-grade non Hodgkin's lymphoma,"Shamash J., Salam A.H., Davies D.C., Williams A., Joel S., Lister T.A.",70920,British Journal of Cancer,77,10,1,0,0,0,0,1
1998,Squatting facets on the neck of the talus and extensions of the trochlear surface of the talus in late Byzantine males,"Oygucu I.H., Kurt M.A., Ikiz I., Erem T., Davies D.C.",218782,Journal of Anatomy,192,2,5,0,0,0,0,5
1997,Efferent connections of the domestic chick archistriatum: A phaseolus lectin anterograde tracing study,"Davies D.C., Csillag A., Szekely A.D., Kabai P.",219967,Journal of Comparative Neurology,389,4,45,3,5,8,2,55
1997,Paired helical filament morphology varies with intracellular location in Alzheimer's disease brain,"Kurt M.A., Davies D.C., Kidd M.",3043940,Neuroscience Letters,239,1,6,0,0,0,1,7
1997,Multi-organ damage in a porcine peritonitis model of the systemic inflammatory response syndrome (SIRS),"Moss R.F., Tighe D.J., Davies D.C., Bennett E.D.",218782,Journal of Anatomy,191,1,0,0,0,0,0,0
1996,The effect of archistriatal lesions on 'open field' and fear/avoidance behaviour in the domestic chick,"Lowndes M., Davies D.C.",1664328,Behavioural Brain Research,72, 1-2,11,0,0,0,1,12
1995,Myelinated axon number in the optic nerve is unaffected by Alzheimer's disease,"Davies D.C., McCoubrie P., McDonald B., Jobst K.A.",71161,British Journal of Ophthalmology,79,6,22,2,1,3,0,25
1995,Induction of CD80 expression in low-grade B cell lymphoma - A potential immunotherapeutic target,"Shamash J., Davies D.C., Salam A., Rohatiner A.Z.S., Young B.D., Lister T.A.",8876924,Leukemia,9,8,12,0,0,0,0,12
1994,Termination pattern of medial hyperstriatum ventrale efferents in the archistriatum of the domestic chick,"Csillag A., Szekely A.D., Davies D.C.",219967,Journal of Comparative Neurology,348,3,26,0,1,1,0,27
1994,Archistriatal lesions impair the acquisition of filial preferences during imprinting in the domestic chick,"Lowndes M., Davies D.C., Johnson M.H.",0953816X,European Journal of Neuroscience,6,7,13,1,1,2,1,16
1994,A Phaseolus lectin anterograde tracing study of the tectorotundal projections in the domestic chick,"Ngo T.D., Davies D.C., Egedi G.Y., Tombol T.",218782,Journal of Anatomy,184,1,25,0,0,0,0,25
1994,The Golgi architecture of the domestic chick archistriatum,"Tombol T., Davies D.C.",9448160,Journal of Brain Research,35,1,2,0,0,0,0,2
1994,The effects of archistriatal lesions on one-trial passive avoidance learning in the chick,"Lowndes M., Davies D.C.",0953816X,European Journal of Neuroscience,6,4,17,1,0,1,0,18
1994,Immunolabelling of hippocampal microvessel glucose transporter protein is reduced in Alzheimer's disease,"Horwood N., Davies D.C.",1747398,Virchows Archiv,425,1,20,1,3,4,0,24
1993,Axonal loss from the olfactory tracts in Alzheimer's disease,"Davies D.C., Brooks J.W., Lewis D.A.",1974580,Neurobiology of Aging,14,4,17,1,1,2,1,20
1993,Isolated follicular lymphoma cells are resistant to apoptosis and can be grown in vitro in the CD40/stromal cell system,"Johnson P.W.M., Watt S.M., Betts D.R., Davies D., Jordan S., Norton A.J., Lister T.A.",64971,Blood,82,6,44,3,5,8,2,54
1992,The effect of age and Alzheimer's disease on pyramidal neuron density in the individual fields of the hippocampal formation,"Davies D.C., Horwood N., Isaacs S.L., Mann D.M.A.",16322,Acta Neuropathologica,83,5,31,3,1,4,0,35
1992,The effect of the neurotoxin DSP4 on the development of a predisposition in the domestic chick.,"Davies D.C., Johnson M.H., Horn G.",121630,Developmental Psychobiology,25,4,5,0,0,0,0,5
1991,Cerebral glycoprotein synthesis and long-term memory formation in the chick (Gallus domesticus) following passive avoidance training depends on the nature of the aversive stimulus,"Bourne R.C., Davies D.C., Stewart M.G., Csillag A., Cooper M.",0953816X,European Journal of Neuroscience,3,3,10,0,0,0,0,10
1990,Increased tau messenger RNA in Alzheimer's disease hippocampus,"Barton A.J.L., Hardy J.A., Pearson R.C.A., Harrison P.J., Najlerahim A., Heffernan J., McDonald B., Robinson J.R., Davies D.C., Harrison W.J., Mitra P.",29440,American Journal of Pathology,137,3,10,0,0,0,0,10
1989,A sensitive period for the development of a predisposition in dark-reared chicks,"Johnson M.H., Davies D.C., Horn G.",33472,Animal Behaviour,37,6,9,0,0,0,0,9
1989,"Amnesia of a passive avoidance task due to the ?2-adrenoceptor antagonist ICI 118,551","Davies D.C., Payne J.M.",913057,Pharmacology Biochemistry and Behavior,32,1,5,0,0,0,0,5
1988,The effects of hyperstriatal lesions on one-trial passive-avoidance learning in the chick,"Davies D.C., Taylor D.A., Johnson M.H.",2706474,Journal of Neuroscience,8,12,16,0,0,0,1,17
1988,Alzheimer's disease,"Hardy J.A., Davies D.C.",71064,British Journal of Hospital Medicine,39,5,1,0,0,0,0,1
1988,Blood brain barrier in ageing and Alzheimer's disease,"Davies D.C., Hardy J.A.",1974580,Neurobiology of Aging,9,1,7,2,0,2,0,9
1988,Senile plaques are concentrated in the subicular region of the hippocampal formation in Alzheimer's disease,"Davies D.C., Wilmott A.C., Mann D.M.A.",3043940,Neuroscience Letters,94, 1-2,7,0,1,1,0,8
1985,Connections of the hyperstriatum ventrale of the domestic chick (Gallus domesticus),"Bradley P., Davies D.C., Horn G.",218782,Journal of Anatomy,140,4,36,1,3,4,0,40
1985,Noradrenaline and learning: Effects on the noradrenergic neurotoxin DSP4 on imprinting in the domestic chick,"Davies D.C., Horn G., McCabe B.J.",7357044,Behavioral Neuroscience,99,4,16,0,1,1,0,17
1983,Changes in telencephalic catecholamine levels in the domestic chick. Effects of age and visual experience,"Davies D.C., Horn G., McCabe B.J.",1653806,Developmental Brain Research,10,2,6,0,0,0,0,6
1983,Changes in telencephalic catecholamine levels in the domestic chick. Effects of age and visual experience.,"Davies D.C., Horn G., McCabe B.J.",68993,Brain Research,312,2,2,0,0,0,0,2
1983,Putative cholinergic afferents of the chick hyperstriatum ventrale: A combined acetylcholinesterase and retrograde fluorescence labelling study,"Davies D.C., Horn G.",3043940,Neuroscience Letters,38,2,9,0,1,1,0,10
1982,Variation in chick sex ratios during hatching,"Davies D.C., Payne J.K.",33472,Animal Behaviour,30,3,4,0,0,0,0,4
1981,Differentiation of ?-adrenergic responsiveness in the neonatal rat iris after decentralization or extirpation of the superior cervical ganglion,"Davies D.C., Navaratnam V.",68993,Brain Research,213,1,0,0,0,0,0,0
1979,Development of adrenoceptive and cholinoceptive responsiveness in the neonatal rat iris,"Davies D.C., Navaratnam V.",144835,Experimental Eye Research,29,2,1,0,0,0,0,1
1978,Development of adrenergic responsiveness in the neonatal rat iris,"Davies D.C., Navaratnam V.",218782,Journal of Anatomy,127,3,0,0,0,0,0,0
1978,Neuronal numbers in the superior cervical ganglion of the neonatal rat,Davies D.C.,218782,Journal of Anatomy,127,1,6,0,0,0,0,6
1976,A geophysical study of part of the western boundary of the Madeira-Cape Verde Abyssal plain,"Jones E.J.W., Laughton A.S., Hill M.N., Davies D.",117471,Deep-Sea Research and Oceanographic Abstracts,13,5,0,0,0,0,0,0
1970,Plate tectonics of the red sea and east africa,"McKenzie D.P., Davies D., Molnar P.",280836,Nature,226,5242,86,4,5,9,2,97
1969,New strain meters for geophysics,"King G.C.P., Bilham R.G., Gerard V.B., Davies D., Sydenham P.H.",280836,Nature,223,5208,2,0,0,0,0,2
1968,When did the Seychelles leave India? [9],Davies D.,280836,Nature,220,5173,4,1,0,1,0,5
1966,Frequency dependent seismic phase velocities; An attempted reconciliation between the Jeffreys/Bullen and the Gutenberg models of the upper mantle,"Carpenter E.W., Davies D.",280836,Nature,212,5058,0,0,0,0,0,0
1964,The crustal structure of the Seychelles bank,"Davies D., Francis T.J.G.",117471,Deep-Sea Research and Oceanographic Abstracts,11,6,4,0,1,1,1,6
