,"Author: Gentleman, Stephen M.",,,,,,,,,,,
2008,"Assessment of alpha-synuclein pathology: a study of the BrainNet Europe Consortium.","Alafuzoff I., Gelpi E., Gentleman S., Giaccone G., Kamphorst W., King A., Korkolopoulou P., Kovacs G.G., Larionov S., Meyronet D., Monoranu C., Parkkinen L., Morris J., Parchi P., Patsouris E., Roggendorf W., Seilhean D., Streichenberger N., Thal D.R., Kretzschmar H., Al-Sarraj S., Arzberger T., Bell J., Bodi I., Bogdanovic N., Budka H., Ferrer I.",00223069,"Journal of neuropathology and experimental neurology",67, 2,0,0,5,5,7,12
2007,"Alterations in presenilin 1 processing by amyloid-? peptide in the rat retina","Watts H.R., Vince V., Walsh D.T., Bresciani L.G., Gentleman S.M., Jen L.-S., Anderson P.J.B.",00144819,"Experimental Brain Research",181, 1,0,0,0,0,1,1
2005,"Amyloid beta peptide causes chronic glial cell activation and neuro-degeneration after intravitreal injection","Walsh D.T., Bresciani L., Saunders D., Manca M.F., Jen A., Gentleman S.M., Jen L.S.",03051846,"Neuropathology and Applied Neurobiology",31, 5,1,3,4,7,2,10
2005,"A need to clarify the role of apolipoprotein E in peripheral nerve injury and repair [4]","Geranmayeh F., Christian L., Turkheimer F.E., Gentleman S.M., O'Neill K.S.",10859489,"Journal of the Peripheral Nervous System",10, 3,0,0,0,0,0,0
2005,"Cerebral amyloid angiopathy in traumatic brain injury: Association with apolipoprotein E genotype","Leclercq P.D., Murray L.S., Smith C., Graham D.I., Nicoll J.A.R., Gentleman S.M.",00223050,"Journal of Neurology, Neurosurgery and Psychiatry",76, 2,5,4,1,5,0,10
2004,"Long-term intracerebral inflammatory response after traumatic brain injury","Gentleman S.M., Leclercq P.D., Moyes L., Graham D.I., Smith C., Griffin W.S.T., Nicoll J.A.R.",03790738,"Forensic Science International",146, 2-3,5,3,3,6,3,14
2004,"Trials and tribulations of using ?-amyloid precursor protein immunohistochemistry to evaluate traumatic brain injury in adults","Graham D.I., Smith C., Reichard R., Leclercq P.D., Gentleman S.M.",03790738,"Forensic Science International",146, 2-3,1,1,1,2,1,4
2003,"Up-regulation of soluble amyloid precursor protein fragment secretion in the rat retina in vivo by metabotropic glutamate receptor stimulation.","Croucher M.J., Patel H., Walsh D.T., Moncaster J.A., Gentleman S.M., Fazal A., Jen L.S.",09594965,"Neuroreport",14, 17,2,0,0,0,0,2
2003,"The antioxidant cocktail, effective microorganism X (EM-X), protects retinal neurons in rats against N-methyl-D-aspartate excitotoxicity in vivo","Aruoma O.I., Moncaster J.A., Walsh D.T., Gentleman S.M., Ke B., Liang Y.-F., Higa T., Jen L.S.",10715762,"Free Radical Research",37, 1,6,0,0,0,2,8
2002,"Developmental regulation and possible alternative cleavage of presenilin 1 in the rat retina","Bresciani L.G., Walsh D.T., Gentleman S.M., Jen L.-S.",10447431,"Molecular and Cellular Neuroscience",21, 2,3,1,0,1,1,5
2002,"Simple morphometry of axonal swellings cannot be used in isolation for dating lesions after traumatic brain injury","Leclercq P.D., Stephenson M.S., Murray L.S., McIntosh T.K., Graham D.I., Gentleman S.M.",08977151,"Journal of Neurotrauma",19, 10,4,1,0,1,0,5
2002,"Letter referring to the publication Lambri et al. (multiple letters)","Smith C., Graham D.I., Whitwell H.L., Geddes J.F., Gentleman S.M., Leclercq P.D., Al-Sarraj S.",07225091,"Clinical Neuropathology",21, 5,0,0,0,0,0,0
2002,"Ergothioneine treatment protects neurons against N-methyl-D-aspartate excitotoxicity in an in vivo rat retinal model","Moncaster J.A., Walsh D.T., Gentleman S.M., Jen L.-S., Aruoma O.I.",03043940,"Neuroscience Letters",328, 1,11,0,1,1,0,12
2002,"Amyloid-beta peptide is toxic to neurons in vivo via indirect mechanisms","Walsh D.T., Jen L.-S., Montero R.M., Bresciani L.G., Jen A.Y.T., Leclercq P.D., Saunders D., El-Amir A.N., Gbadamoshi L., Gentleman S.M.",09699961,"Neurobiology of Disease",10, 1,13,5,3,8,3,24
2001,"Axonal injury is accentuated in the caudal corpus callosum of head-injured patients","Leclercq P.D., McKenzie J.E., Graham D.I., Gentleman S.M.",08977151,"Journal of Neurotrauma",18, 1,12,1,4,5,0,17
2000,"Increase in HLA-DR immunoreactive microglia in frontal and temporal cortex of chronic schizophrenics","Radewicz K., Garey L.J., Gentleman S.M., Reynolds R.",00223069,"Journal of Neuropathology and Experimental Neurology",59, 2,30,3,10,13,7,50
2000,"?-amyloid (A?)42(43), A?42, A?40 and apoE immunostaining of plaques in fatal head injury","Horsburgh K., Cole G.M., Yang F., Savage M.J., Greenberg B.D., Gentleman S.M., Graham D.I., Nicoll J.A.R.",03051846,"Neuropathology and Applied Neurobiology",26, 2,29,3,1,4,1,34
1999,"A comparison of manual and semi-automated methods in the assessment of axonal injury","Gentleman S.M., McKenzie J.E., Royston M.C., McIntosh T.K., Graham D.I.",03051846,"Neuropathology and Applied Neurobiology",25, 1,9,2,0,2,0,11
1999,"Is there a genetic basis for the deposition of ?-amyloid after fatal head injury?","Graham D.I., Gentleman S.M., Nicoll J.A.R., Royston M.C., McKenzie J.E., Roberts G.W., Mrak R.E., Griffin W.S.T.",02724340,"Cellular and Molecular Neurobiology",19, 1,13,2,1,3,1,17
1999,"Effects of bFGF and TGF? on the expression of amyloid precursor and B- cell lymphoma protooncogene proteins in the rat retina","Chen S.T., Jen A., Gentleman S.M., Jen L.S.",09594965,"NeuroReport",10, 3,3,0,0,0,1,4
1999,"Overexpression of S100? in Down's syndrome: Correlation with patient age and with ?-amyloid deposition","Royston M.C., McKenzie J.E., Gentleman S.M., Sheng J.G., Mann D.M.A., Griffin W.S.T., Mrak R.E.",03051846,"Neuropathology and Applied Neurobiology",25, 5,20,2,1,3,1,24
1998,"Life-long overexpression of S100? in Down's syndrome: Implications for Alzheimer pathogenesis","Griffin W.S.T., Mrak R.E., Sheng J.G., Mckenzie J.E., Royston M.C., Gentleman S.M., Brumback R.A., Cork L.C., Del Bigio M.R., Roberts G.W.",01974580,"Neurobiology of Aging",19, 5,48,5,4,9,1,58
1998,"Alzheimer's peptide kills cells of retina in vivo","Jen L.S., Hart A.I., Jen A., Relvas J.B., Gentleman S.M., Garey L.J., Patel A.J.",00280836,"Nature",392, 6672,39,3,1,4,1,44
1998,"Glial-neuronal interactions in Alzheimer's disease: The potential role of a 'cytokine cycle' in disease progression","Griffin W.S.T., Sheng J.G., Royston M.C., Gentleman S.M., McKenzie J.E., Graham D.I., Roberts G.W., Mrak R.E.",10156305,"Brain Pathology",8, 1,257,26,31,57,15,329
1997,"Microwave antigen retrieval in formaldehyde-fixed human brain tissue.","Newman S.J., Gentleman S.M.",10643745,"Methods in molecular biology (Clifton, N.J.)",72, ,2,0,0,0,0,2
1997,"Nitric oxide synthase in developing retinas and after optic tract section","Patel J.I., Gentleman S.M., Jen L.S., Garey L.J.",00068993,"Brain Research",761, 1,23,0,0,0,0,23
1997,"Glia-derived cytokines and the biogenesis of amyloid plaques in Alzheimer's disease","Patel A.J., Jen A., Wickenden C., Jen L.-S., Gentleman S.M., De Silva H.",13594184,"Molecular Psychiatry",2, 2,2,0,0,0,0,2
1997,"Prion protein immunocytochemistry - UK five centre consensus report","Bell J.E., McQuaid S., Allen I.V., Gentleman S.M., Ironside J.W., McCardle L., Lantos P.L., Doey L., Lowe J., Fergusson J., Luthert P.",03051846,"Neuropathology and Applied Neurobiology",23, 1,77,4,5,9,0,86
1997,"A?42 is the predominant form of amyloid ?-protein in the brains of short-term survivors of head injury","Gentleman S.M., Greenberg B.D., Savage M.J., Noori M., Newman S.J., Roberts G.W., Griffin W.S.T., Graham D.I.",09594965,"NeuroReport",8, 6,29,2,0,2,2,33
1996,"Is ?-APP a marker of axonal damage in short-surviving head injury?","McKenzie K.J., McLellan D.R., Gentleman S.M., Maxwell W.L., Gennarelli T.A., Graham D.I.",00016322,"Acta Neuropathologica",92, 6,83,9,2,11,3,97
1996,"Altered ?-APP Metabolism after Head Injury and its Relationship to the Aetiology of Alzheimer's Disease","Graham D.I., Gentleman S.M., Nicoll J.A.R., Royston M.C., McKenzie J.E., Roberts G.W., Griffin W.S.T.",00651419,"Acta Neurochirurgica, Supplement",1996, 66,19,2,0,2,0,21
1996,"Distribution of ?-amyloid precursor and B-cell lymphoma protooncogene proteins in the rat retina after optic nerve transection or vascular lesion","Chen S.-T., Gentleman S.M., Garey L.J., Jen L.S.",00223069,"Journal of Neuropathology and Experimental Neurology",55, 10,22,0,0,0,0,22
1996,"A quantitative comparison of plaque types in Alzheimer's disease and senile dementia of the Lewy body type","McKenzie J.E., Edwards R.J., Gentleman S.M., Ince P.G., Perry R.H., Claire Royston M., Roberts G.W.",00016322,"Acta Neuropathologica",91, 5,17,1,0,1,0,18
1995,"Diagnosis and incidence of prion (Creutzfeldt-Jakob) disease: A retrospective archival survey with implications for future research","Bruton C.J., Bruton R.K., Gentleman S.M., Roberts G.W.",10558330,"Neurodegeneration",4, 4,17,0,1,1,0,18
1995,"Distribution of ?-amyloid protein in the brain following severe head injury","Graham D.I., Gentleman S.M., Lynch A., Roberts G.W.",03051846,"Neuropathology and Applied Neurobiology",21, 1,65,4,2,6,3,74
1995,"Axonal injury: A universal consequence of fatal closed head injury","Gentleman S.M., Roberts G.W., Gennarelli T.A., Maxwell W.L., Adams J.H., Kerr S., Graham D.L.",00016322,"Acta Neuropathologica",89, 6,102,8,1,9,3,114
1995,"Quantification of ?APP immunoreactive pre-? cells in the entorhinal cortex using image analysis","McKenzie J.E., Gentleman S.M., Roberts G.W., Graham D.I., Royston M.C.",10558330,"Neurodegeneration",4, 3,2,0,0,0,0,2
1995,"The cortical neuritic pathology of Huntington's disease","Jackson M., Gentleman S., Lennox G., Ward L., Gray T., Randall K., Morrell K., Lowe J.",03051846,"Neuropathology and Applied Neurobiology",21, 1,48,1,3,4,1,53
1994,"Increased numbers of ?APP-immunoreactive neurones in the entorhinal cortex after head injury","McKenzie J.E., Gentleman S.M., Roberts G.W., Graham D.I., Royston M.C.",09594965,"NeuroReport",6, 1,27,2,0,2,0,29
1994,"Microglial interleukin-1? expression in human head injury: Correlations with neuronal and neuritic P-amyloid precursor protein expression","Griffin W.S.T., Sheng J.G., Gentleman S.M., Graham D.I., Mrak R.E., Roberts G.W.",03043940,"Neuroscience Letters",176, 2,87,1,2,3,3,93
1994,"The distribution of nitric oxide synthase immunoreactivity in the human brain","Egberongbe Y.I., Gentleman S.M., Falkai P., Bogerts B., Polak J.M., Roberts G.W.",03064522,"Neuroscience",59, 3,112,7,4,11,3,126
1994,"? amyloid protein deposition in the brain after severe head injury: Implications for the pathogenesis of Alzheimer's disease","Roberts G.W., Gentleman S.M., Lynch A., Murray L., Landon M., Graham D.I.",00223050,"Journal of Neurology Neurosurgery and Psychiatry",57, 4,165,11,6,17,8,190
1994,"Markers of axonal injury in post mortem human brain","Sherriff F.E., Bridges L.R., Gentleman S.M., Sivaloganathan S., Wilson S.",00016322,"Acta Neuropathologica",88, 5,120,8,5,13,5,138
1993,"?-Amyloid precursor protein (?APP) as a marker for axonal injury after head injury","Gentleman S.M., Nash M.J., Sweeting C.J., Graham D.I., Roberts G.W.",03043940,"Neuroscience Letters",160, 2,182,15,7,22,10,214
1993,"Alzheimer's disease: Prospects for treatment [2]","Roberts G.W., Gentleman S.M., Stefan M.D., Royston M.C.",01406736,"Lancet",341, 8842,2,0,0,0,0,2
1993,"Differential pattern of ?-amyloid protein deposition within cortical sulci and gyri in Alzheimer's disease","Clinton J., Roberts G.W., Gentleman S.M., Royston M.C.",03051846,"Neuropathology and Applied Neurobiology",19, 3,5,0,0,0,0,5
1993,"Molecular pathology of head trauma: Altered ?APP metabolism and the aetiology of Alzheimer's disease","Gentleman S.M., Graham D.I., Roberts G.W.",00796123,"Progress in Brain Research",96, ,58,0,0,0,1,59
1993,"On the origin of Alzheimer's disease: A hypothesis","Roberts G.W., Nash M., Ince P.G., Royston M.C., Gentleman S.M.",09594965,"NeuroReport",4, 1,16,0,0,0,0,16
1992,"Alzheimer's disease and ?A4: Getting to the core of the problem?","Gentleman S.M.",01662236,"Trends in Neurosciences",15, 9,2,0,0,0,0,2
1992,"Quantification of ?A4 protein deposition in the medial temporal lobe: A comparison of Alzheimer's disease and senile dementia of the Lewy body type","Gentleman S.M., Roberts G.W., Williams B., Royston M.C., Jagoe R., Clinton J., Perry R.H., Ince P.G., Allsop D., Polak J.M.",03043940,"Neuroscience Letters",142, 1,18,0,0,0,0,18
1992,"Amyloid plaque: morphology, evolution, and etiology.","Clinton J., Royston M.C., Gentleman S.M., Roberts G.W.",08933952,"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",5, 4,5,0,0,0,0,5
1992,"Quantitative differences in the deposition of ?A4 protein in the sulci and gyri of frontal and temporal isocortex in Alzheimer's disease","Gentleman S.M., Allsop D., Bruton C.J., Jagoe R., Polak J.M., Roberts G.W.",03043940,"Neuroscience Letters",136, 1,7,0,0,0,0,7
1992,"Quantification of plaques types in sulci and gyri of the medial frontal lobe in patients with Alzheimer's disease","McKenzie J.E., Gentleman S.M., Royston M.C., Edwards R.J., Roberts G.W.",03043940,"Neuroscience Letters",143, 1-2,6,0,0,0,1,7
1992,"Quantifying the pattern of ?/A4 amyloid protein distribution in Alzheimer's disease by image analysis","Bruce C.V., Clinton J., Gentleman S.M., Roberts G.W., Royston M.C.",03051846,"Neuropathology and Applied Neurobiology",18, 2,12,0,0,0,0,12
1992,"Risk factors in Alzheimer's disease [ 10]","Gentleman S., Roberts G.",09598146,"British Medical Journal",304, 6819,5,0,0,0,0,5
1991,"?A4 amyloid protein deposition in brain after head trauma","Roberts G.W., Gentleman S.M., Lynch A., Graham D.I.",01406736,"Lancet",338, 8780,141,3,5,8,3,152
1991,"?(A4)-amyloid protein and parkinsonian-dementia complex of Guam","Gentleman S.M., Perl D., Allsop D., Clinton J., Royston M.C., Roberts G.W.",01406736,"Lancet",337, 8732,6,1,1,2,0,8
1991,"Topographical localisation of endothelin mRNA and peptide immunoreactivity in neurones of the human brain","Giaid A., Rossi M.L., Polak J.M., Gibson S.J., Herrero M.T., Gentleman S., Legon S., Yanagisawa M., Masaki T., Ibrahim N.B.N., Roberts G.W.",03015564,"Histochemistry",95, 3,75,0,2,2,3,80
1989,"Distribution of galanin-like immunoreactivity in the human brain","Gentleman S.M., Falkai P., Bogerts B., Herrero M.T., Polak J.M., Roberts G.W.",00068993,"Brain Research",505, 2,29,1,0,1,1,31
1989,"A demonstration of the advantages of immunostaining in the quantification of amyloid plaque deposits","Gentleman S.M., Bruton C., Allsop D., Lewis S.J., Polak J.M., Roberts G.W.",03015564,"Histochemistry",92, 4,5,0,0,0,1,6
1989,"Novel peptide pancreastatin: its occurrence and codistribution with chromogranin A in the central nervous system of the pig","Kar S., Bloom S.R., Polak J.M., Bretherton-Watt D., Gibson S.J., Steel J.H., Gentleman S.M., Roberts G.W., Valentino K., Tatemoto K., Ghatei M.A.",00219967,"Journal of Comparative Neurology",288, 4,7,0,0,0,0,7
1988,"The hypothermic response of mice to delta-9-tetrahydrocannabinol is enhanced by chlorpromazine, thioxanthenes, alpha-adrenoceptor antagonists and pentolinium but not by SCH 23390 or sulpiride","Pertwee R.G., Hedley D., McQueen A.S.M., Gentleman S.M.",00283908,"Neuropharmacology",27, 2,5,0,0,0,0,5
