2007,"The effects of maternal anxiety or stress during pregnancy on the fetus and the long-term development of the child","Glover V.",02601060,"Nutrition and Health",19, 1-2,0,0,0,0,1,1
2007,"Criteria for evaluation of functional importance of endogenous analogues of pharmacological regulators","Medvedev A.E., Glover V.",00428809,"Biomeditsinskaya Khimiya",53, 3,0,0,0,0,0,0
2007,"Amniotic fluid testosterone: Relationship with cortisol and gestational age","Sarkar P., Bergman K., Fisk N.M., O'Connor T.G., Glover V.",03000664,"Clinical Endocrinology",67, 5,0,0,2,2,2,4
2007,"Maternal stress during pregnancy predicts cognitive ability and fearfulness in infancy","Bergman K., Sarkar P., O'Connor T.G., Modi N., Glover V.",08908567,"Journal of the American Academy of Child and Adolescent Psychiatry",46, 11,0,0,7,7,6,13
2007,"Prenatal stress in the rat results in increased blood pressure responsiveness to stress and enhanced arterial reactivity to neuropeptide Y in adulthood","Igosheva N., Taylor P.D., Poston L., Glover V.",00223751,"Journal of Physiology",582, 2,0,0,2,2,3,5
2007,"Prenatal mood disturbance predicts sleep problems in infancy and toddlerhood","O'Connor T.G., Caprariello P., Blackmore E.R., Gregory A.M., Glover V., Fleming P.",03783782,"Early Human Development",83, 7,0,1,3,4,4,8
2007,"Ontogeny of foetal exposure to maternal cortisol using midtrimester amniotic fluid as a biomarker","Sarkar P., Bergman K., Fisk N.M., O'Connor T.G., Glover V.",03000664,"Clinical Endocrinology",66, 5,0,2,1,3,3,6
2007,"Antenatal maternal stress and long-term effects on child neurodevelopment: How and why?","Talge N.M., Neal C., Glover V.",00219630,"Journal of Child Psychology and Psychiatry and Allied Disciplines",48, 3-4,0,1,24,25,21,46
2006,"Isatin interaction with glyceraldehyde-3-phosphate dehydrogenase, a putative target of neuroprotective drugs: Partial agonism with deprenyl","Medvedev A., Buneeva O., Gnedenko O., Fedchenko V., Medvedeva M., Ivanov Y., Glover V., Sandler M.",03036995,"Journal of Neural Transmission, Supplement",, 71,0,1,0,1,1,2
2006,"Maternal anxiety: Its effect on the fetus and the child","Glover V., O'Connor T.",09694900,"British Journal of Midwifery",14, 11,0,0,1,1,0,1
2006,"Interaction of pyruvate kinase with isatin and deprenyl","Buneeva O.A., Gnedenko O.V., Medvedeva M.V., Ivanov Yu.D., Glover V., Medvedev A.E.",00428809,"Biomeditsinskaya Khimiya",52, 4,0,0,0,0,0,0
2006,"The HPA axis and perinatal depression: A hypothesis","Kammerer M., Taylor A., Glover V.",14341816,"Archives of Women's Mental Health",9, 4,0,5,8,13,9,22
2006,"A controlled trial of skin-to-skin contact in extremely preterm infants","Miles R., Cowan F., Glover V., Stevenson J., Modi N.",03783782,"Early Human Development",82, 7,0,3,3,6,1,7
2006,"Maternal anxiety at amniocentesis and plasma cortisol","Sarkar P., Bergman K., Fisk N.M., Glover V.",01973851,"Prenatal Diagnosis",26, 6,0,3,3,6,2,8
2005,"The effects of acute relaxation on indices of anxiety during pregnancy","Teixeira J., Martin D., Prendiville O., Glover V.",0167482X,"Journal of Psychosomatic Obstetrics and Gynecology",26, 4,0,1,6,7,2,9
2005,"Glucocorticoid exposure in preterm babies predicts saliva cortisol response to immunization at 4 months","Glover V., Miles R., Matta S., Modi N., Stevenson J.",00313998,"Pediatric Research",58, 6,3,3,4,7,0,10
2005,"Alternative treatment strategies for perinatal depression and anxiety","O'Higgins M., Glover V., Corral M.",00678147,"Bibliotheca Psychiatrica",173, ,0,0,0,0,0,0
2005,"Isatin: Role in stress and anxiety","Medvedev A., Igosheva N., Crumeyrolle-Arias M., Glover V.",10253890,"Stress",8, 3,1,2,3,5,2,8
2005,"Isatin, an endogenous monoamine oxidase inhibitor, triggers a dose- and time-dependent switch from apoptosis to necrosis in human neuroblastoma cells","Igosheva N., Lorz C., O'Conner E., Glover V., Mehmet H.",01970186,"Neurochemistry International",47, 3,4,3,2,5,3,12
2005,"Prenatal anxiety predicts individual differences in cortisol in pre-adolescent children","O'Connor T.G., Ben-Shlomo Y., Heron J., Golding J., Adams D., Glover V.",00063223,"Biological Psychiatry",58, 3,6,17,25,42,17,65
2005,"Stress responses at birth: Determinants of cord arterial cortisol and links with cortisol response in infancy","Miller N.M., Fisk N.M., Modi N., Glover V.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",112, 7,4,5,1,6,3,13
2005,"Natriuretic peptide interaction with [3H]isatin binding sites in rat brain","Medvedev A., Crumeyrolle-Arias M., Cardona A., Sandler M., Glover V.",00068993,"Brain Research",1042, 2,4,3,3,6,1,11
2005,"A new mother-to-infant bonding scale: Links with early maternal mood","Taylor A., Atkins R., Kumar R., Adams D., Glover V.",14341816,"Archives of Women's Mental Health",8, 1,2,2,1,3,3,8
2005,"Antenatal maternal anxiety and stress and the neurobehavioural development of the fetus and child: Links and possible mechanisms. A review","Van Den Bergh B.R.H., Mulder E.J.H., Mennes M., Glover V.",01497634,"Neuroscience and Biobehavioral Reviews",29, 2,12,28,30,58,20,90
2005,"Fetal plasma testosterone correlates positively with cortisol","Gitau R., Adams D., Fisk N.M., Glover V.",00039888,"Archives of Disease in Childhood: Fetal and Neonatal Edition",90, 2,3,3,4,7,3,13
2005,"In vivo effects of isatin on rat platelet eicosanoids","Pataki I., Mezei Z., Adamik A., Glover V., Gecse A., Telegdy G.",09537104,"Platelets",16, 1,0,1,0,1,0,1
2004,"The fetus does not feel pain.","Derbyshire S.W., Glover V.",07406835,"Conscience (Washington, D.C.)",25, 3,0,0,0,0,0,0
2004,"The fetus may feel pain from 20 weeks.","Glover V.",07406835,"Conscience (Washington, D.C.)",25, 3,0,0,0,0,0,0
2004,"Infant cortisol response after prolonged antenatal prednisolone treatment","Miller N.M., Williamson C., Fisk N.M., Glover V.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",111, 12,0,1,0,1,0,1
2004,"Antenatal maternal anxiety is linked with atypical handedness in the child","Glover V., O'Connor T.G., Heron J., Golding J.",03783782,"Early Human Development",79, 2,6,3,8,11,5,22
2004,"Prenatal stress alters cardiovascular responses in adult rats","Igosheva N., Klimova O., Anishchenko T., Glover V.",00223751,"Journal of Physiology",557, 1,4,6,4,10,1,15
2004,"The course of anxiety and depression through pregnancy and the postpartum in a community sample","Heron J., O'Connor T.G., Evans J., Golding J., Glover V.",01650327,"Journal of Affective Disorders",80, 1,40,27,33,60,20,120
2004,"The Biology and Pathophysiology of Peripartum Psychiatric Disorders","Glover V., Kammerer M.",10826319,"Primary Psychiatry",11, 3,1,1,2,3,1,5
2004,"Cardiovascular and endocrine responses to cutaneous electrical stimulation after fentanyl in the ovine fetus","Smith R.P., Miller S.L., Igosheva N., Peebles D.M., Glover V., Jenkin G., Hanson M.A., Fisk N.M.",00029378,"American Journal of Obstetrics and Gynecology",190, 3,5,2,0,2,0,7
2004,"Effect of acute stress and gender on isatin in rat tissues and serum","Igosheva N., Matta S., Glover V.",00319384,"Physiology and Behavior",80, 5,5,3,3,6,0,11
2004,"Tribulin and Endogenous MAO-Inhibitory Regulation In Vivo","Medvedev A.E., Glover V.",0161813X,"NeuroToxicology",25, 1-2,11,4,2,6,0,17
2004,"Human fetal and maternal corticotrophin releasing hormone responses to acute stress","Gitau R., Fisk N.M., Glover V.",00039888,"Archives of Disease in Childhood: Fetal and Neonatal Edition",89, 1,10,2,2,4,1,15
2004,"Monoamine Oxidases: Molecular, Pharmacological and Neurotoxicological Aspects: Preface","Nicotra A., Parvez S.H., Glover V., Sandler M., Minami M.",0161813X,"NeuroToxicology",25, 1-2,0,0,0,0,0,0
2003,"Maternal antenatal anxiety and behavioural/emotional problems in children: A test of a programming hypothesis","O'Connor T.G., Heron J., Golding J., Glover V.",00219630,"Journal of Child Psychology and Psychiatry and Allied Disciplines",44, 7,40,24,24,48,13,101
2003,"Acute increase in femoral artery resistance in response to direct physical stimuli in the human fetus","Smith R.P., Glover V., Fisk N.M.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",110, 10,2,1,0,1,0,3
2003,"High EPDS scores in women from ethnic minorities living in London","Onozawa K., Kumar R.C., Adams D., Dore C., Glover V.",14341816,"Archives of Women's Mental Health",6, 2,5,4,5,9,0,14
2003,"In situ imaging of specific binding of [3H]isatin in rat brain","Crumeyrolle-Arias M., Medvedev A., Cardona A., Barritault D., Glover V.",00223042,"Journal of Neurochemistry",84, 3,8,1,1,2,0,10
2002,"The effects of isatin (indole-2, 3-dione) on pituitary adenylate cyclase-activating polypeptide-induced hyperthermia in rats.","Pataki I., Adamik A., Glover V., Toth G., Telegdy G.",14712202,"BMC neuroscience [electronic resource]",3, 1,2,0,0,0,0,2
2002,"Benefits of infant massage for mothers with postnatal depression","Glover V., Onozawa K., Hodgkinson A.",10842756,"Seminars in Neonatology",7, 6,6,6,2,8,1,15
2002,"Antenatal anxiety predicts child behavioral/emotional problems independently of postnatal depression","O'Connor T.G., Heron J., Glover V.",08908567,"Journal of the American Academy of Child and Adolescent Psychiatry",41, 12,39,14,18,32,12,83
2002,"Effects of short- and long-term (-)-deprenyl administration on mRNA for copper, zinc- and manganese-superoxide dismutase and glutathione peroxidase in rat brain","Kunikowska G., Gallagher I., Glover V., Clow A., Jenner P.",00068993,"Brain Research",953, 1-2,4,0,1,1,0,5
2002,"Pregnant women become insensitive to cold stress","Kammerer M., Adams D., von Castelberg B., Glover V.",14712393,"BMC Pregnancy and Childbirth",2, ,26,6,9,15,8,49
2002,"Acute effects of maternal skin-to-skin contact and massage on saliva cortisol in preterm babies","Gitau R., Modi N., Gianakoulopoulos X., Bond C., Glover V., Stevenson J.",02646838,"Journal of Reproductive and Infant Psychology",20, 2,5,2,0,2,1,8
2002,"Maternal antenatal anxiety and children's behavioural/emotional problems at 4 years. Report from the Avon Longitudinal Study of Parents and Children","O'Connor T.G., Heron J., Golding J., Beveridge M., Glover V.",00071250,"British Journal of Psychiatry",180, ,100,25,32,57,18,175
2002,"Effects of antenatal stress and anxiety. Implications for development and psychiatry","Glover V., O'Connor T.G.",00071250,"British Journal of Psychiatry",180, ,29,14,9,23,3,55
2002,"The effects of isatin (indole-2, 3-dione) on pituitary adenylate cyclase-activating polypeptide-induced hyperthermia in rats","Pataki I., Adamik A., Glover V., Toth G., Telegdy G.",14712202,"BMC Neuroscience",3, ,2,1,0,1,0,3
2002,"Effect of isatin on nitric oxide-stimulated soluble guanylate cyclase from human platelets","Medvedev A., Bussygyna O., Pyatakova N., Glover V., Severina I.",00062952,"Biochemical Pharmacology",63, 4,12,3,3,6,0,18
2001,"Isatin Modifies Population Spikes in Rat Hippocampal Slices","Kudryashov I.E., Kudryashova I.V., Glover V., Medvedev A.E.",00444677,"Zhurnal Vysshei Nervnoi Deyatelnosti Imeni I.P. Pavlova",51, 1,0,0,0,0,0,0
2001,"Effect of direct fetal opioid analgesia on fetal hormonal and hemodynamic stress response to intrauterine needling","Fisk N.M., Gitau R., Teixeira J.M., Giannakoulopoulos X., Cameron A.D., Glover V.A.",00033022,"Anesthesiology",95, 4,36,6,6,12,2,50
2001,"Effects of isatin on atrial natriuretic peptide-mediated accumulation of cGMP and guanylyl cyclase activity of PC12 cells","Medvedev A.E., Abakumova O.Yu., Podobed O.V., Tsvetkova T.A., Sandler M., Glover V.",00243205,"Life Sciences",69, 15,3,0,3,3,0,6
2001,"Umbilical cortisol levels as an indicator of the fetal stress response to assisted vaginal delivery","Gitau R., Menson E., Pickles V., Fisk N.M., Glover V., MacLachlan N.",03012115,"European Journal of Obstetrics Gynecology and Reproductive Biology",98, 1,13,7,4,11,1,25
2001,"Cyclic GMP excretion blocked by isatin administration under conditions of fluid overload","Medvedev A., Adamik A., Glover V., Telegdy G.",00062952,"Biochemical Pharmacology",62, 2,3,1,0,1,0,4
2001,"Infant massage improves mother-infant interaction for mothers with postnatal depression","Onozawa K., Glover V., Adams D., Modi N., Kumar R.Channi",01650327,"Journal of Affective Disorders",63, 1-3,32,7,9,16,3,51
2001,"Fetal hypothalamic-pituitary-adrenal stress responses to invasive procedures are independent of maternal responses","Gitau R., Fisk N.M., Teixeira J.M.A., Cameron A., Glover V.",0021972X,"Journal of Clinical Endocrinology and Metabolism",86, 1,51,10,9,19,6,76
2001,"Maternal stress in pregnancy and its effect on the human foetus: An overview of research findings","Gitau R., Fisk N.M., Glover V.",10253890,"Stress",4, 3,7,2,1,3,0,10
2001,"Links between maternal anxiety or stress and the fetus","Glover V.",10253890,"Stress",4, 3,0,0,0,0,0,0
2001,"Effect of isatin on the electrical activity in the rat hippocampus cells | Vliianie izatina na élektricheskuiu aktivnost' kletok gippokampa krys.","Kudriashov I.E., Kudriashova I.V., Glover V., Medvedev A.E.",00444677,"Zhurnal Vysshei Nervnoi Deyatelnosti Imeni I.P. Pavlova",51, 1,0,0,0,0,0,0
2000,"Intraventricular administration of isatin in rats: Antidiuretic dipsogenic, anorexiant and emetic effects","Bhattacharya S.K., Ramnathan M., Glover V.",01688561,"Biogenic Amines",16, 1,4,0,0,0,0,4
2000,"Pain and stress in the human fetus","Smith R.P., Gitau R., Glover V., Fisk N.M.",03012115,"European Journal of Obstetrics Gynecology and Reproductive Biology",92, 1,26,1,5,6,2,34
2000,"CuZn-superoxide dismutase transgenic mice: No effect on longevity, locomotor activity and 3H-mazindol and 3H-spiperone binding over 19 months","Gallagher I.M., Jenner P., Glover V., Clow A.",03043940,"Neuroscience Letters",289, 3,8,0,0,0,0,8
2000,"Mode of delivery and subsequent stress response","Taylor A., Fisk N.M., Glover V.",01406736,"Lancet",355, 9198,37,8,5,13,4,54
1999,"The influence of isatin on guanylyl cyclase of rat heart membranes","Medvedev A., Sandler M., Glover V.",00142999,"European Journal of Pharmacology",384, 2-3,7,1,3,4,0,11
1999,"Acute cerebral redistribution in response to invasive procedures in the human fetus","Teixeira J.M.A., Glover V., Fisk N.M.",00029378,"American Journal of Obstetrics and Gynecology",181, 4,30,2,3,5,1,36
1999,"Long-term effects of pergolide and (-)-deprenyl on 3H-mazindol and 3H-spiperone binding in rat brain","Gallagher I.M., Clow A., Jenner P., Glover V.",01974580,"Neurobiology of Aging",20, 6,4,0,0,0,1,5
1999,"Fetal pain: Implications for research and practice","Glover V., Reader, Fisk N.M.",03065456,"British Journal of Obstetrics and Gynaecology",106, 9,27,1,4,5,2,34
1999,"Maternal stress or anxiety during pregnancy and the development of the baby.","Glover V.",14613123,"The practising midwife",2, 5,8,2,1,3,0,11
1999,"Efficacy of isatin analogues as antagonists of rat brain and heart atrial natriuretic peptide receptors coupled to particulate guanylyl cyclase","Medvedev A.E., Goodwin B.L., Sandler M., Glover V.",00062952,"Biochemical Pharmacology",57, 8,9,2,1,3,0,12
1999,"Human fetal and maternal noradrenaline responses to invasive procedures","Giannakoulopoulos X., Teixeira J., Fisk N., Glover V.",00313998,"Pediatric Research",45, 4 I,43,6,7,13,2,58
1999,"Association between maternal anxiety in pregnancy and increased uterine artery resistance index: Cohort based study","Teixeira J.M.A., Fisk N.M., Glover V.",09598146,"British Medical Journal",318, 7177,98,15,24,39,8,145
1999,"Mechanisms by which maternal mood in pregnancy may affect the fetus","Glover V., Teixeira J., Gitau R., Fisk N.M.",09539182,"Contemporary Reviews in Obstetrics and Gynaecology",11, 3,19,3,4,7,1,27
1999,"Effect of long-term administration of pergolide and (-)-deprenyl on age related decline in hole board activity and antioxidant enzymes in rats","Gallagher I.M., Clow A., Jenner P., Glover V.",01688561,"Biogenic Amines",15, 3,4,0,1,1,0,5
1998,"Stress and water balance the roles of ANP, AVP and isatin","Bhattacharya S.K., Chakrabarti A., Glover V.",00195189,"Indian Journal of Experimental Biology",36, 12,7,0,1,1,0,8
1998,"The psychopharmacology of isatin: A brief review","Glover V., Attach S.K.B.H., Rya A.",07488386,"Stress Medicine",14, 4,18,1,4,5,1,24
1998,"Fetal exposure to maternal cortisol","Gitau R., Cameron A., Fisk N.M., Glover V.",01406736,"Lancet",352, 9129,70,19,12,31,2,103
1998,"Interaction of isatin with type-a natriuretic peptide receptor: Possible mechanism","Medvedev A.E., Sandler M., Glover V.",00243205,"Life Sciences",62, 26,15,1,3,4,0,19
1998,"Function of endogenous monoamine oxidase inhibitors (tribulin)","Glover V.",03036995,"Journal of Neural Transmission, Supplement",, 52,7,1,0,1,0,8
1998,"Long term administration of (-)-deprenyl increases mortality in male Wistar rats","Gallagher I.M., Clow A., Glover V.",03036995,"Journal of Neural Transmission, Supplement",, 52,14,2,0,2,0,16
1998,"Effect of extract of Rhazya stricta, a traditional medicinal plant, on rat brain tribulin","Ali B.H., Bashir A.K., Tanira M.O.M., Medvedev A.E., Jarrett N., Sandler M., Glover V.",00913057,"Pharmacology Biochemistry and Behavior",59, 3,6,2,0,2,0,8
1997,"Isatin; possible role in the functional interaction of natriuretic peptides and monoamines","Glover V., Medvedev A.E., Sandler M.",00428809,"Voprosy Meditsinskoj Khimii",43, 6,2,0,0,0,0,2
1997,"The effect of mother-infant skin-to-skin contact on plasma cortisol and ?-endorphin concentrations in preterm newborns","Mooncey S., Giannakoulopoulos X., Glover V., Acolet D., Modi N.",01636383,"Infant Behavior and Development",20, 4,17,1,1,2,3,22
1997,"Red wine is less stress reducing than vodka; No differences in neuroendocrine challenge test","Jarrett N., Peatfield R., Glover V.",02698811,"Journal of Psychopharmacology",11, 3,2,0,0,0,0,2
1997,"Maternal stress or anxiety in pregnancy and emotional development of the child.","Glover V.",00071250,"The British journal of psychiatry : the journal of mental science",171, ,48,2,4,6,2,56
1997,"Brain-derived neurotrophic factor in human platelets","Pliego-Rivero F.B., Bayatti N., Giannakoulopoulos X., Glover V., Bradford H.F., Stern G., Sandler M.",00062952,"Biochemical Pharmacology",54, 1,7,3,1,4,3,14
1996,"Red wine-induced release of [14C]5-hydroxytryptamine from platelets of migraine patients and controls","Jarman J., Pattichis K., Peatfield R., Glover V., Sandler M.",03331024,"Cephalalgia",16, 1,4,0,1,1,1,6
1996,"Effects of some anxiogenic agents on rat brain monoamine oxidase (MAO) A and B inhibitory (tribulin) activity","Bhattacharya S.K., Chakrabarti A., Sandler M., Glover V.",00195189,"Indian Journal of Experimental Biology",34, 12,8,0,2,2,0,10
1996,"Paracetamol (acetominophen) sulphoconjugation in man: No correlation with tyramine sulphoconjugation","Hannah P., Malizia A., Glover V., Bridges P., Sandler M.",03342190,"Drug Metabolism and Drug Interactions",13, 2,0,0,0,0,0,0
1996,"Anxiolytic activity of intraventricularly administered atrial natriuretic peptide in the rat","Bhattacharya S.K., Chakrabarti A., Sandler M., Glover V.",0893133X,"Neuropsychopharmacology",15, 2,46,2,1,3,0,49
1996,"Isatin: A link between natriuretic peptides and monoamines?","Medvedev A.E., Clow A., Sandler M., Glover V.",00062952,"Biochemical Pharmacology",52, 3,54,2,6,8,5,67
1996,"Isatin inhibits the memory-facilitating effect of centrally administered atrial natriuretic peptide in rats","Bhattacharya S.K., Chakrabarti A., Sandler M., Glover V.",02698951,"Medical Science Research",24, 5,14,0,0,0,0,14
1996,"Urinary phenylethylamine and cortisol levels in the early puerperium","Taylor A., Dore C., Glover V.",01650327,"Journal of Affective Disorders",37, 2-3,5,0,0,0,0,5
1995,"Tyramine conjugation deficit in migraine, tension-type headache, and depression","Merikangas K.R., Stevens D.E., Merikangas J.R., Katz C.B.S., Glover V., Cooper T., Sandier M.",00063223,"Biological Psychiatry",38, 11,7,1,0,1,1,9
1995,"Isatin is a potent endogenous antagonist of guanylate cyclase-coupled atrial natriuretic peptide receptors","Glover V., Medvedev A., Sandler M.",00243205,"Life Sciences",57, 22,40,1,3,4,0,44
1995,"Rat brain monoamine oxidase A and B inhibitory (tribulin) activity during drug withdrawal anxiety","Bhattacharya S.K., Chakrabarti A., Sandler M., Glover V.",03043940,"Neuroscience Letters",199, 2,31,1,6,7,1,39
1995,"Monoamine oxidase A-inhibiting components of urinary tribulin: Purification and identification","Medvedev A.E., Halket J., Goodwin B.L., Sandler M., Glover V.",09363076,"Journal of Neural Transmission - Parkinson's Disease and Dementia Section",9, 2-3,13,0,0,0,0,13
1995,"An endogenous inhibitor of monoamine oxidase A (tribulin A) from brain: purification and structure identification | Endogenny? ingibitor monoaminoksidazy A (tribulin A) iz mozga: ochistka i identifikatsiia struktury.","Medvedev A.E., Kamyshanskaia N.S., Halket J., Glover V., Sandler A.",03209725,"Biokhimiya",60, 5,3,0,0,0,0,3
1995,"CSF isatin is elevated in bulimia nervosa","Brewerton T.D., Zealberg J.J., Bruce Lydiard R., Glover V., Sandier M., Ballenger J.C.",00063223,"Biological Psychiatry",37, 7,16,0,1,1,1,18
1995,"Effects of pergolide, (-)-deprenyl and thioridazine on soluble SOD, catalase and glutathione peroxidase in rat striata","Pattichis K., Louca L.L., Clow A., Glover V.",02698951,"Medical Science Research",23, 11,7,0,0,0,0,7
1995,"Dietary migraine: Recent progress in the red (and white) wine story","Sandler M., Li N.-Y., Jarrett N., Glover V.",03331024,"Cephalalgia",15, 2,7,0,1,1,1,9
1995,"5-Hydroxytryptamine release from platelets by different red wines: Implications for migraine","Pattichis K., Louca L.L., Jarman J., Sandler M., Glover V.",09266917,"European Journal of Pharmacology - Environmental Toxicology and Pharmacology Section",292, 2,8,1,2,3,1,12
1994,"Fetal plasma cortisol and ?-endorphin response to intrauterine needling","Giannakoulopoulos X., Sepulveda W., Kourtis P., Glover V., Fisk N.M.",01406736,"Lancet",344, 8915,103,6,7,13,1,117
1994,"Red wine can cause a rise in human whole blood 5-hydroxytryptamine level","Pattichis K., Louca L.L., Jarman J., Glover V.",02698951,"Medical Science Research",22, 5,5,0,1,1,0,6
1994,"Dysphoria and immune status in postpartum women","Hucklebridge F.H., Smit M.D., Clow A., Evans P., Glover V., Taylor A., Diana D., Lydyard P.M.",03010511,"Biological Psychology",37, 3,1,0,0,0,0,1
1994,"Antiseizure effect of isatin and reduction of monoamine oxidase activity in rats with experimental audiogenic seizures","Medvedev A.E., Gorkin V.Z., Fedotova I.B., Semiokhina A.F., Sandler M., Glover V.",02698951,"Medical Science Research",22, 8,8,0,0,0,0,8
1994,"Quantitation of soluble superoxide dismutase in rat striata, based on the inhibition of nitrite formation from hydroxylammonium chloride","Pattichis K., Louca L.L., Glover V.",00032697,"Analytical Biochemistry",221, 2,25,0,3,3,0,28
1994,"Mild hypomania (the Highs) can be a feature of the first postpartum week. Association with later depression","Glover V., Liddle P., Taylor A., Adams D., Sandler M.",00071250,"British Journal of Psychiatry",164, ,27,1,2,3,5,35
1994,"Effect of hydrogen peroxide and hydrogen-peroxide producing enzymes on isatin metabolism in vitro","Medvedev A., Halket J., Glover V.",02698951,"Medical Science Research",22, 10,4,0,0,0,0,4
1993,"5HT in migraine patients with medication-induced headache","Hering R., Glover V., Pattichis K., Catarci T., Steiner T.J.",03331024,"Cephalalgia",13, 6,27,0,2,2,1,30
1993,"The effect of pergolide and MDL 72974 on rat brain CuZn superoxide dismutase","Clow A., Freestone C., Lewis E., Dexter D., Sandler M., Glover V.",03043940,"Neuroscience Letters",164, 1-2,26,1,2,3,2,31
1993,"The tyramine test is not a marker for postnatal depression: Early postpartum euphoria may be","Hannah P., Cody D., Glover V., Adams D., Kumar R., Sandler M.",0167482X,"Journal of Psychosomatic Obstetrics and Gynaecology",14, 4,8,0,2,2,1,11
1993,"Migraine and depression: Biological aspects","Glover V., Jarman J., Sandler M.",00223956,"Journal of Psychiatric Research",27, 2,30,1,2,3,1,34
1993,"Tyramine conjugation deficit in patients with chronic idiopathic temporomandibular joint and orofacial pain","Aghabeigi B., Feinmann C., Glover V., Goodwin B., Hannah P., Harris M., Sandler M., Wasil M.",03043959,"Pain",54, 2,8,0,0,0,0,8
1993,"Phenolic substances in red wine and release of platelet 5-hydroxytryptamine [31]","Pattichis K., Louca L.L., Jarman J., Sandler M., Glover V.",01406736,"Lancet",341, 8852,7,0,0,0,0,7
1993,"Effects of dopaminergic drugs on superoxide dismutase: Implications for senescence","Glover V., Clow A., Sandler M.",03036995,"Journal of Neural Transmission, Supplement",, 40,18,0,1,1,0,19
1993,"Changes in plasma cortisol and catecholamine concentrations in response to massage in preterm infants","Acolet D., Modi N., Giannakoulopoulos X., Bond C., Weg W., Clow A., Glover V.",00039888,"Archives of Disease in Childhood",68, 1,41,8,5,13,5,59
1993,"Trials and tribulations with tribulin","Glover V.",01688561,"Biogenic Amines",9, 5-6,12,1,0,1,0,13
1993,"Monoamine oxidase-B, monoamine oxidase-B inhibitors, and Parkinson's disease. A role for superoxide dismutase?","Sandler M., Glover V., Clow A., Jarman J.",00913952,"Advances in neurology",60, ,6,0,0,0,0,6
1992,"Pergolide can induce soluble superoxide dismutase in rat striata","Clow A., Hussain T., Glover V., Sandler M., Walker M., Dexter D.",03009564,"Journal of Neural Transmission - General Section",90, 1,18,1,0,1,0,19
1992,"Increase of brain endogenous monoamine oxidase inhibitory activity (tribulin) in experimental audiogenic seizures in rats: Evidence for a monoamine oxidase A inhibiting component of tribulin","Medvedev A.E., Gorkin V.Z., Fedotova I.B., Semiokhina A.F., Glover V., Sandler M.",00062952,"Biochemical Pharmacology",44, 6,18,1,0,1,1,20
1992,"Introduction","Glover V.",00982997,"Molecular Aspects of Medicine",13, 3,0,0,0,0,0,0
