,"Authors: Skinner, Michael A.; Skinner, M. A.",,,,,,,,,,,
2004,"Enhanced CD8+ T Cell Immune Responses and Protection Elicited against Plasmodium berghei Malaria by Prime Boost Immunization Regimens Using a Novel Attenuated Fowlpox Virus","Anderson R.J., Hill A.V.S., Hannan C.M., Gilbert S.C., Laidlaw S.M., Sheu E.G., Korten S., Sinden R., Butcher G., Skinner M.A.",00221767,"Journal of Immunology",172, 5,26,12,7,19,5,50
2004,"Comparison of the genome sequence of FP9, an attenuated, tissue culture-adapted European strain of Fowlpox virus, with those of virulent American and European viruses","Laidlaw S.M., Skinner M.A.",00221317,"Journal of General Virology",85, 2,12,2,3,5,3,20
2003,"Fine mapping of Wilms' tumors with 16q loss of heterozygosity localizes the putative tumor suppressor gene to a region of 6.7 megabases","Safford S.D., Goyeau D., Freemerman A.J., Bentley R., Everett M.L., Grundy P.E., Skinner M.A.",10689265,"Annals of Surgical Oncology",10, 2,5,1,2,3,3,11
2003,"Successful use of anti-CD20 (rituximab) in severe, life-threatening childhood immune thrombocytopenic purpura","Bengtson K.L., Skinner M.A., Ware R.E.",00223476,"Journal of Pediatrics",143, 5,9,4,1,5,1,15
2003,"RET Tyrosine Kinase and Medullary Thyroid Cells are Unaffected by Clinical Doses of STI571","Skinner M.A., Safford S.D., Freemerman A.J.",02507005,"Anticancer Research",23, 5 A,8,6,2,8,1,17
2003,"Thymus transplantation in complete DiGeorge syndrome: Immunologic and safety evaluations in 12 patients","Markert M.L., Hauser E.R., Haynes B.F., Rice H.E., Skinner M.A., Mahaffey S.M., Jaggers J., Stein L.D., Mill M.R., Sarzotti M., Ozaki D.A., Sempowski G.D., Rhein M.E., Hale L.P., Le Deist F., Alexieff M.J., Li J.",00064971,"Blood",102, 3,23,9,4,13,4,40
2003,"Management of hereditary thyroid cancer in children","Skinner M.A.",09607404,"Surgical Oncology",12, 2,4,1,4,5,2,11
2003,"Clinical and Hematologic Benefits of Partial Splenectomy for Congenital Hemolytic Anemias in Children","Rice H.E., Oldham K.T., Hillery C.A., Skinner M.A., O'Hara S.M., Ware R.E.",00034932,"Annals of Surgery",237, 2,16,7,5,12,1,29
2002,"A cost and outcomes comparison of a novel integrated pediatric air and ground transportation system","Safford S.D., Hayward T.Z., Safford K.M., Georgiade G.S., Rice H.E., Skinner M.A.",10727515,"Journal of the American College of Surgeons",195, 6,1,0,0,0,0,1
2002,"Identification and characterization of three immunodominant structural proteins of fowlpox virus","Boulanger D., Green P., Jones B., Henriquet G., Hunt L.G., Laidlaw S.M., Monaghan P., Skinner M.A.",0022538X,"Journal of Virology",76, 19,10,1,0,1,1,12
2002,"Gastrointestinal manifestations of multiple endocrine neoplasia type 2","Cohen M.S., Moley J.F., Phay J.E., Albinson C., DeBenedetti M.K., Skinner M.A., Lairmore T.C., Doherty G.M., Balfe D.M., Wells S.A.",00034932,"Annals of Surgery",235, 5,18,4,6,10,0,28
2002,"Induction of a strong HIV-specific CD8+ T cell response in mice using a fowlpox virus vector expressing an HIV-1 multi-CTL-epitope polypeptide","Blomquist D.V., Green P., Laidlaw S.M., Skinner M.A., Borrow P., Duarte C.A.",08828245,"Viral Immunology",15, 2,12,2,0,2,0,14
2001,"Results of a pilot trial comparing prolonged intravenous antibiotics with sequential intravenous/oral antibiotics for children with perforated appendicitis","Rice H.E., Brown R.L., Gollin G., Caty M.G., Gilbert J., Skinner M.A., Glick P.L., Azizkhan R.G.",00040010,"Archives of Surgery",136, 12,6,2,3,5,1,12
2001,"Sequence analysis of the VP2 gene hypervariable region of infectious bursal disease viruses from India","Kataria R.S., Tiwari A.K., Butchaiah G., Kataria J.M., Skinner M.A.",03079457,"Avian Pathology",30, 5,11,2,1,3,0,14
2001,"Cancer of the thyroid gland in infants and children","Skinner M.A.",10558586,"Seminars in Pediatric Surgery",10, 3,6,0,0,0,0,6
2001,"Recombinant Semliki Forest virus vector exhibits potential for avian virus vaccine development","Phenix K.V., Wark K., Luke C.J., Skinner M.A., Smyth J.A., Mawhinney K.A., Todd D.",0264410X,"Vaccine",19, 23-24,15,1,0,1,0,16
2001,"Management of cholelithiasis in pediatric patients who undergo bone marrow transplantation","Safford S.D., Safford K.M., Martin P., Rice H., Kurtzberg J., Skinner M.A.",00223468,"Journal of Pediatric Surgery",36, 1,3,0,0,0,0,3
2000,"Dendritic cells infected with recombinant fowlpox virus vectors are potent and long-acting stimulators of transgene-specific class I restricted T lymphocyte activity","Brown M., Zhang Y., Dermine S., De Wynter E.A., Hart C., Kitchener H., Stern P.L., Skinner M.A., Stacey S.N.",09697128,"Gene Therapy",7, 19,14,1,2,3,1,18
2000,"Improved technique for transient expression and negative strand virus rescue using fowlpox T7 recombinant virus in mammalian cells","Das S.C., Baron M.D., Skinner M.A., Barrett T.",01660934,"Journal of Virological Methods",89, 1-2,4,2,1,3,1,8
2000,"16q loss of heterozygosity and microsatellite instability in Wilms' tumor","Mason J.E., Goodfellow P.J., Grundy P.E., Skinner M.A.",00223468,"Journal of Pediatric Surgery",35, 6,15,1,1,2,1,18
2000,"Routine insertion of a SILASTIC® spring-loaded silo for infants with gastroschisis","Minkes R.K., Langer J.C., Mazziotti M.V., Skinner M.A., Foglia R.P.",00223468,"Journal of Pediatric Surgery",35, 6,22,3,5,8,3,33
2000,"Congenital short colon with imperforate anus (pouch colon). Report of a case","Herman T.E., Coplen D., Skinner M.",03010449,"Pediatric Radiology",30, 4,3,3,1,4,1,8
2000,"Morphogenesis and release of fowlpox virus","Boulanger D., Smith T., Skinner M.A.",00221317,"Journal of General Virology",81, 3,22,0,3,3,0,25
1999,"Antigen gene transfer to cultured human dendritic cells using recombinant avipoxvirus vectors","Brown M., Davies D.H., Skinner M.A., Bowen G., Hollingsworth S.J., Mufti G.J., Arrand J.R., Stacey S.N.",09291903,"Cancer Gene Therapy",6, 3,23,0,0,0,0,23
1999,"Neck masses","Skinner M.A.",07398328,"Problems in General Surgery",16, 1,0,0,0,0,0,0
1999,"Antigenic and genetic relationships between European very virulent infectious bursal disease viruses and an early West African isolate","Eterradossi N., Skinner M.A., Arnauld C., Tekaia F., Toquin D., Le Coq H., Rivallan G., Guittet M., Domenech J., Van Den Bere T.P.",03079457,"Avian Pathology",28, 1,67,2,2,4,0,71
1999,"Transanal one-stage soave procedure for infants with Hirschsprung's disease","Langer J.C., Minkes R.K., Mazziotti M.V., Skinner M.A., Winthrop A.L.",00223468,"Journal of Pediatric Surgery",34, 1,59,8,5,13,3,75
1998,"Nucleotide sequence of the 4.3 kbp BamHI-N fragment of fowlpox virus FP9","Pollitt E., Skinner M.A., Heaphy S.",09208569,"Virus Genes",17, 1,2,0,0,0,0,2
1998,"Fowlpox virus encodes nonessential homologs of cellular alpha-SNAP, PC- 1, and an orphan human homolog of a secreted nematode protein","Laidlaw S.M., Anwar M.A., Thomas W., Green P., Shaw K., Skinner M.A.",0022538X,"Journal of Virology",72, 8,16,0,0,0,1,17
1998,"Reactivation of 3-dehydroquinate synthase by lanthanide cations [3]","Moore J.D., Skinner M.A., Swatman D.R., Hawkins A.R., Brown K.A.",00027863,"Journal of the American Chemical Society",120, 28,9,2,0,2,0,11
1998,"Goserelin acetate (Zoladex) with or without hormone replacement therapy for the treatment of endometriosis","Moghissi K.S., Schlaff W.D., Olive D.L., Skinner M.A., Yin H.",00150282,"Fertility and Sterility",69, 6,37,1,3,4,0,41
1998,"Women of reproductive age with endometriosis are not osteopenic","Ulrich U., Murano R., Skinner M.A., Yin H., Chesnut III C.H.",00150282,"Fertility and Sterility",69, 5,2,0,0,0,0,2
1998,"Intraoperative localization of small intestinal bleeding in an infant by methylene blue injection: A case report","Mazziotti M.V., Muldowney S., Darcy M., Hackett B.P., Skinner M.A.",00223468,"Journal of Pediatric Surgery",33, 5,1,0,0,0,0,1
1998,"The 131-amino-acid repeat region of the essential 39-kilodalton core protein of fowlpox virus FP9, equivalent to vaccinia virus A4L protein, is nonessential and highly immunogenic","Boulanger D., Green P., Smith T., Czerny C.-P., Skinner M.A.",0022538X,"Journal of Virology",72, 1,31,1,2,3,0,34
1997,"Dehydroquinate synthase binds divalent and trivalent cations: Role of metal binding in catalysis","Skinner M.A., Gunel-Ozcan A., Moore J., Hawkins A.R., Brown K.A.",03005127,"Biochemical Society Transactions",25, 4,1,1,0,1,0,2
1997,"Beckwith-Wiedemann syndrome and splenic hemangioma: Report of a case","Herman T.E., McAlister P.W.H., Dehner L.P., Skinner M.",03010449,"Pediatric Radiology",27, 4,4,0,1,1,1,6
1997,"Case report of metallic mercury injury","Smith S.R., Jaffe D.M., Skinner M.A.",07495161,"Pediatric Emergency Care",13, 2,12,2,2,4,0,16
1997,"Heterotopic autotransplantation of parathyroid tissue in children undergoing total thyroidectomy","Skinner M.A., Norton J.A., Moley J.F., DeBenedetti M.K., Wells Jr. S.A.",00223468,"Journal of Pediatric Surgery",32, 3,22,0,0,0,1,23
1996,"Hirschsprung's disease","Skinner M.A.",00113840,"Current Problems in Surgery",33, 5,17,2,3,5,1,23
1996,"Pediatric laparoscopic splenectomy using the lateral approach","Fitzgerald P.G., Langer J.C., Cameron B.H., Park A.E., Marcaccio M.J., Walton J.M., Skinner M.A.",09302794,"Surgical Endoscopy",10, 8,25,0,1,1,0,26
1996,"Expression of bacteriophage T7 RNA polymerase in avian and mammalian cells by a recombinant fowlpox virus","Britton P., Green P., Kottier S., Mawditt K.L., Penzes Z., Cavanagh D., Skinner M.A.",00221317,"Journal of General Virology",77, 5,35,4,3,7,1,43
1996,"Medullary thyroid carcinoma in children with multiple endocrine neoplasia types 2A and 2B","Skinner M.A., DeBenedetti M.K., Moley J.F., Norton J.A., Wells Jr. S.A.",00223468,"Journal of Pediatric Surgery",31, 1,59,4,6,10,2,71
1996,"Coding sequences of both genome segments of a European 'very virulent' infectious bursal disease virus","Brown M.D., Skinner M.A.",01681702,"Virus Research",40, 1,70,5,4,9,1,80
1996,"One-stage versus two-stage Soave pull-through for Hirschsprung's disease in the first year of life","Langer J.C., Fitzgerald P.G., Winthrop A.L., Srinathan S.K., Foglia R.P., Skinner M.A., Ternberg J.L., Lau G.Y.P.",00223468,"Journal of Pediatric Surgery",31, 1,38,8,0,8,2,48
1995,"HPRS-103 (exogenous avian leukosis virus, subgroup J) has an env gene related to those of endogenous elements EAV-0 and E51 and an E element found previously only in sarcoma viruses","Bai J., Payne L.N., Skinner M.A.",0022538X,"Journal of Virology",69, 2,67,1,4,5,0,72
1995,"Sequence of host-range determinants in the env gene of a full-length, infectious proviral clone of exogenous avian leukosis virus HPRS-103 confirms that it represents a new subgroup (designated J)","Bai J., Howes K., Payne L.N., Skinner M.A.",00221317,"Journal of General Virology",76, 1,35,1,0,1,0,36
1994,"Use of recombinant pp38 antigen of Marek's disease virus to identify serotype 1-specific antibodies in chicken sera by Western blotting","Li D., Green P.F., Skinner M.A., Jiang C., Ross N.",01660934,"Journal of Virological Methods",50, 1-3,9,1,0,1,0,10
1994,"Gastrointestinal tumors in children: An analysis of 39 cases","Skinner M.A., Plumley D.A., Grosfeld J.L., Rescorla F.J., West K.W., Scherer L.R.",10689265,"Annals of Surgical Oncology",1, 4,10,0,1,1,1,12
1994,"Protection against turkey rhinotracheitis pneumovirus (TRTV) induced by a fowlpox virus recombinant expressing the TRTV fusion glycoprotein (F)","Qingzhong Y., Barrett T., Brown T.D.K., Cook J.K.A., Green P., Skinner M.A., Cavanagh D.",0264410X,"Vaccine",12, 6,20,1,2,3,0,23
1994,"Mediastinal tumors in children: Experience with 196 cases","Grosfeld J.L., Skinner M.A., Rescorla F.J., West K.W., Scherer III L.R.",10689265,"Annals of Surgical Oncology",1, 2,29,3,0,3,2,34
1994,"VP2 sequences of recent European 'very virulent' isolates of infectious bursal disease virus are closely related to each other but are distinct from those of 'classical' strains","Brown M.D., Green P., Skinner M.A.",00221317,"Journal of General Virology",75, 3,73,7,4,11,1,85
1994,"Deletion of fowlpox virus homologues of vaccinia virus genes between the 3?-hydroxysteroid dehydrogenase (A44L) and DNA ligase (A50R) genes","Skinner M.A., Moore J.B., Binns M.M., Smith G.L., Boursnell M.E.G.",00221317,"Journal of General Virology",75, 9,11,0,0,0,0,11
1994,"The spectrum of biliary tract disorders in infants and children: Experience with 300 cases","Grosfeld J.L., Mahour G.H., Rescorla F.J., Skinner M.A., West K.W., Scherer III L.R., Tapper D., Coran A.G., Soper R.T., Markle IV G.B.",00040010,"Archives of Surgery",129, 5,30,3,2,5,0,35
1993,"Ovarian neoplasms in children","Skinner M.A., Schlatter M.G., Heifetz S.A., Grosfeld J.L., Ternberg J.L., Soper R.T.",00040010,"Archives of Surgery",128, 8,23,1,1,2,4,29
1993,"Fowlpox virus host range restriction: Gene expression, DNA replication, and morphogenesis in nonpermissive mammalian cells","Somogyi P., Frazier J., Skinner M.A.",00426822,"Virology",197, 1,51,4,2,6,3,60
1993,"Inguinal and umbilical hernia repair in infants and children","Skinner M.A., Grosfeld J.L.",00396109,"Surgical Clinics of North America",73, 3,18,1,3,4,1,23
1993,"Approaches to the construction of new candidate poliovirus type 3 vaccine strains.","Almond J.W., Stone D., Burke K., Skinner M.A., Macadam A.J., Wood D., Ferguson M., Minor P.D.",03015149,"Developments in Biological Standardization",78, ,1,0,0,0,0,1
1992,"Primary neonatal cricopharyngeal achalasia: A case report and review of the literature","Skinner M.A., Shorter N.A.",00223468,"Journal of Pediatric Surgery",27, 12,13,2,1,3,0,16
1992,"Gene translocations in poxviruses: The fowlpox virus thymidine kinase gene is flanked by 15 bp direct repeats and occupies the locus which in vaccinia virus is occupied by the ribonucleotide reductase large subunit gene","Binns M.M., Boursnell M.E.G., Skinner M.A.",01681702,"Virus Research",24, 2,11,0,1,1,0,12
1992,"Comparison of the locations of homologous fowlpox and vaccinia virus genes reveals major genome reorganization","Mockett B., Binns M.M., Boursnell M.E.G., Skinner M.A.",00221317,"Journal of General Virology",73, 10,17,2,1,3,0,20
1992,"The natural history of mammographic calcifications subjected to interval follow-up","Berend M.E., Sullivan D.C., Kornguth P.J., Skinner C.S., Ost A., Iglehart J.D., Skinner M.A.",00040010,"Archives of Surgery",127, 11,2,0,0,0,0,2
1991,"Murine plasma cell antigen PC-1 has a region homologous to the active site of bovine intestinal 5'-nucleotide phosphodiesterase I (EC 3.1.4.1)","Skinner M.A.",03051048,"Nucleic Acids Research",19, 21,6,0,0,0,0,6
1990,"HIV-1 tat protein stimulates transcription by binding to a U-rich bulge in the stem of the TAR RNA structure","Dingwall C., Ernberg I., Gait M.J., Green S.M., Heaphy S., Karn J., Lowe A.D., Singh M., Skinner M.A.",02614189,"EMBO Journal",9, 12,147,2,6,8,1,156
1990,"HIV-1 regulator of virion expression (Rev) protein binds to an RNA stem-loop structure located within the Rev response element region","Heaphy S., Dingwall C., Ernberg I., Gait M.J., Green S.M., Karn J., Lowe A.D., Singh M., Skinner M.A.",00928674,"Cell",60, 4,104,3,2,5,8,117
1990,"Subtotal colectomy for familial polyposis. A clinical series and review of the literature","Skinner M.A., Tyler D., Branum G.D., Cucchiaro G., Branum M.A., Meyers W.C.",00040010,"Archives of Surgery",125, 5,5,0,0,0,0,5
1990,"Loss of heterozygosity for genes on 11p and the clinical course of patients with lung carcinoma","Skinner M.A., Vollmer R., Huper G., Abbott P., Iglehart J.D.",00085472,"Cancer Research",50, 8,12,0,0,0,0,12
1989,"New model for the secondary structure of the 5' non-coding RNA of poliovirus is supported by biochemical and genetic data that also show that RNA secondary structure is important in neurovirulence","Skinner M.A., Racaniello V.R., Dunn G., Cooper J., Minor P.D., Almond J.W.",00222836,"Journal of Molecular Biology",207, 2,117,3,4,7,4,128
1989,"The emerging genetics of cancer","Skinner M.A., Iglehart J.D.",00396087,"Surgery Gynecology and Obstetrics",168, 4,1,0,0,0,0,1
1989,"Overexpression of erbB-2 or EGF receptor proteins present in early stage mammary carcinoma is detected simultaneously in matched primary tumors and regional metastases","Lacroix H., Iglehart J.D., Skinner M.A., Kraus M.H.",09509232,"Oncogene",4, 2,73,3,3,6,2,81
1989,"Genetic basis of attenuation of the Sabin type 3 oral poliovirus vaccine","Westrop G.D., Schild G.C., Almond J.W., Wareham K.A., Evans D.M.A., Dunn G., Minor P.D., Magrath D.I., Taffs F., Marsden S., Skinner M.A.",0022538X,"Journal of Virology",63, 3,74,5,5,10,1,85
1989,"Human immunodeficiency virus 1 tat protein binds trans-activation-responsive region (TAR) RNA in vitro","Dingwall C., Valerio R., Ernberg I., Gait M.J., Green S.M., Heaphy S., Karn J., Lowe A.D., Singh M., Skinner M.A.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",86, 18,169,6,8,14,2,185
1988,"AZT inhibits HIV-1 replication in monocytes.","Skinner M.A., Matthews T.J., Greenwall T.K., Bolognesi D.P., Hebdon M.",08949255,"Journal of acquired immune deficiency syndromes",1, 2,2,0,0,0,0,2
1988,"Characteristics of a neutralizing monoclonal antibody to the HIV envelope glycoprotein","Skinner M.A., Ting R., Langlois A.J., Weinhold K.J., Lyerly H.K., Javaherian K., Matthews T.J.",08892229,"AIDS Research and Human Retroviruses",4, 3,27,3,1,4,0,31
1988,"Phenotypic variation in the response to the human immunodeficiency virus among derivatives of the CEM T and WIL-2 B cell lines","Chaffee S., Leeds J.M., Matthews T.J., Weinhold K.J., Skinner M., Bolognesi D.P., Hershfield M.S.",00221007,"Journal of Experimental Medicine",168, 2,23,0,0,0,0,23
1988,"Anti-HIV-1 immune cytolysis is independent of viral envelope glycosylation","Lyerly H.K., Skinner M.A., Tyler D.S., Nastala C.L., Matthews T.J., Bolognesi D.P., Weinhold K.J.",00718041,"Surgical Forum",39, ,0,0,0,0,0,0
1988,"Neutralizing antibodies to an immunodominant envelope sequence do not prevent gp120 binding to CD4","Skinner M.A., Langlois A.J., McDanal C.B., McDougal J.S., Bolognesi D.P., Matthews T.J.",0022538X,"Journal of Virology",62, 11,51,1,0,1,0,52
