,"Author: Libri, Vincenzo",,,,,,,,,,,
1993,"Persistent muscarinic excitation in guinea-pig olfactory cortex neurons: Involvement of a slow post-stimulus afterdepolarizing current","Constanti A., Bagetta G., Libri V.",03064522,"Neuroscience",56, 4,30,2,0,2,3,35
1993,"Evidence that nitric oxide modulates learning processes and memory in mice","Libri V., Giglio A., Nistico G.",10604456,"Pharmacology Communications",3, 1,1,0,0,0,0,1
1992,"Trans-ACPD induces a slow post-stimulus inward tail current (I(ADP)) in guinea-pig olfactory cortex neurones in vitro","Constanti A., Libri V.",00142999,"European Journal of Pharmacology",216, 3,9,1,0,1,0,10
1992,"Erratum: Trans-ACPD induces a slow post-stimulus inward tail current (I(ADP)) in guinea-pig olfactory cortex neurones in vitro (Eur. J. Pharmacol. 214 (1992), 105-106)","Constanti A., Libri V.",00142999,"European Journal of Pharmacology",216, 3,0,0,0,0,0,0
1992,"Trans-ACPD induces a slow post-stimulus inward tail current (I(ADP)) in guinea-pig olfactory cortex neurones in vitro","Constanti A., Libri V.",00142999,"European Journal of Pharmacology",214, 1,7,0,0,0,0,7
1992,"Ganglionic nicotinic receptor agonists exhibit anti-muscarinic effects in guinea-pig olfactory cortical brain slices","Libri V., Das B., Constanti A.",00142999,"European Journal of Pharmacology",212, 2-3,1,1,0,1,0,2
1992,"Carbachol-evoked suppression of excitatory neurotransmission in guinea-pig olfactory cortex slices is unlikely to involve an M4-muscarinic receptor subtype","Das B., Libri V., Constanti A.",03935264,"Functional Neurology",7, 2,4,0,0,0,0,4
1991,"Panic-like attack induced by microinfusion into the locus coeruleus of antagonists and inverse agonists at GABA(a)-receptors in rodents","Priolo E., Libri V., Lopilato R., David E., Nappi G., Nistico G.",03935264,"Functional Neurology",6, 4,6,2,0,2,0,8
1990,"Influence of pineal gland lesion on interleukin-2 production and natural killer activity in C57BL/6 mice","Libri V., Del Gobbo V., Villani N., Calio R., Nistico G.",10436618,"Pharmacological Research",22, 3,1,0,0,0,0,1
1989,"Behavioural and electrocortical effects after injection of two ornithine decarboxylase inhibitors into several areas of the brain in the rat","De Sarro G.B., Ascioti C., Audino M.G., Libri V., De Sarro A., Nistico G.",00283908,"Neuropharmacology",28, 11,1,0,0,0,0,1
1989,"Pinealectomy inhibits interleukin-2 production and natural killer activity in mice","Del Gobbo V., Libri V., Villani N., Calio R., Nistico G.",01920561,"International Journal of Immunopharmacology",11, 5,73,3,1,4,1,78
1989,"Blocking of morphine-induced locomotor hyperactivity by amygdaloid lesions in C57BL/6 mice","Libri V., Ammassari-Teule M., Castellano C.",00068993,"Brain Research",479, 1,1,0,1,1,0,2
1989,"Effects of pertussis toxin on the behavioural and ECoG spectrum changes induced by clonidine and yohimbine after their microinfusion into the locus coeruleus","De Sarro G.B., Bagetta G., Ascioti C., Libri V., Nistico G.",00071188,"British Journal of Pharmacology",96, 1,6,0,0,0,0,6
1988,"Microinfusion of clonidine and yohimbine into locus coeruleus alters EEG power spectrum: Effects of aging and reversal by phosphatidylserine","De Sarro G.B., Bagetta G., Ascioti C., Libri V., Nistico G.",00071188,"British Journal of Pharmacology",95, 4,15,1,2,3,0,18
1988,"Comparative epileptogenic activity of various ß-lactam derivatives in rats","De Sarro A., De Sarro G.B., Ascioti C., Libri V., Nistico G.",00316989,"Pharmacological Research Communications",20, 2,0,0,0,0,0,0
1988,"Effects of kappa-opioid receptor agonists on locomotor activity and memory processes in mice.","Castellano C., Ammassari-Teule M., Libri V., Pavone F.",03010244,"Polish Journal of Pharmacology and Pharmacy",40, 5,0,0,0,0,0,0
1988,"Tripelennamine enhances buprenorphine-, but not pentazocine-induced hyperactivity in mice","Sansone M., Castellano C., Libri V.",00333158,"Psychopharmacology",95, 2,1,0,0,0,0,1
1988,"The amygdala mediates the impairing effect of the selective ?-opioid receptor agonist U-50,488 on memory in CD1 mice","Castellano C., Libri V., Ammassari-Teule M.",01664328,"Behavioural Brain Research",30, 3,3,0,0,0,0,3
1988,"Effects of amygdaloid lesions on morphine-induced hyperactivity in C57BL/6 mice","Libri V., Ammassari-Teule M., Castellano C.",00316989,"Pharmacological Research Communications",20, 3,0,0,0,0,0,0
1988,"Effects of oxiracetam-scopolamine combinations on shuttle-box avoidance acquisition in mice","Sansone M., Libri V., Pavone F., Ammassari-Teule M.",00039780,"Archives Internationales de Pharmacodynamie et de Therapie",291, 1,2,0,0,0,0,2
1987,"Anticonvulsant effect of denzimol in DBA/2 mice","De Sarro G.B., Libri V., Ascioti C., Testa R., Nistico G.",00283908,"Neuropharmacology",26, 9,4,0,0,0,0,4
