,"Author: Wilkinson, Robert John",,,,,,,,,,,
2009,"Novel relationship between tuberculosis immune reconstitution inflammatory syndrome and antitubercular drug resistance","Meintjes G., Rangaka M.X., Maartens G., Rebe K., Morroni C., Pepper D.J., Wilkinson K.A., Wilkinson R.J.",10584838,"Clinical Infectious Diseases",48, 5,0,0,0,0,4,4
2009,"Association between tuberculin skin test reactivity, the memory CD4 cell subset, and circulating FoxP3-expressing cells in HIV-infected persons","Sarrazin H., Wilkinson K.A., Andersson J., Rangaka M.X., Radler L., Van Veen K., Lange C., Wilkinson R.J.",00221899,"Journal of Infectious Diseases",199, 5,0,0,0,0,1,1
2009,"Clinical deterioration during antitubercular treatment at a district hospital in South Africa: The importance of drug resistance and AIDS defining illnesses","Pepper D.J., Rebe K., Morroni C., Wilkinson R.J., Meintjes G.",19326203,"PLoS ONE",4, 2,0,0,0,0,0,0
2009,"Comparison of T-SPOT. TB assay and tuberculin skin test for the evaluation of young children at high risk for tuberculosis in a community setting","Nicol M.P., Hanekom W.A., Beatty D., Hussey G., Davies M.-A., Wood K., Hatherill M., Workman L., Hawkridge A., Eley B., Wilkinson K.A., Wilkinson R.J.",00314005,"Pediatrics",123, 1,0,0,0,0,5,5
2008,"Recent and rapid emergence of W-Beijing strains of Mycobacterium tuberculosis in Cape Town, South Africa","Cowley D., Govender D., February B., Wolfe M., Steyn L., Evans J., Wilkinson R.J., Nicol M.P.",10584838,"Clinical Infectious Diseases",47, 10,0,0,0,0,2,2
2008,"Type 1 helper T cells and FoxP3-positive T cells in HIV-tuberculosis- associated immune reconstitution inflammatory syndrome","Meintjes G., Mouton P., Van Cutsem G., Nicol M.P., Maartens G., Wilkinson R.J., Wilkinson K.A., Rangaka M.X., Skolimowska K., Van Veen K., Abrahams M., Seldon R., Pepper D.J., Rebe K.",1073449X,"American Journal of Respiratory and Critical Care Medicine",178, 10,0,0,0,0,4,4
2008,"The clinical consequences of strain diversity in Mycobacterium tuberculosis","Nicol M.P., Wilkinson R.J.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",102, 10,0,0,1,1,3,4
2008,"Rapid molecular detection of rifampicin resistance facilitates early diagnosis and treatment of multi-drug resistant tuberculosis: Case control study","O'Riordan P., Flanagan K.L., Schwab U., Logan S., Cooke G., Wilkinson R.J., Davidson R.N., Bassett P., Wall R., Pasvol G.",19326203,"PLoS ONE",3, 9,0,0,0,0,3,3
2008,"Tuberculosis-associated immune reconstitution inflammatory syndrome: case definitions for use in resource-limited settings","Meintjes G., Seyler C., John L., van der Loeff M.S., Reiss P., Lynen L., Janoff E.N., Gilks C., Colebunders R., Lawn S.D., Scano F., Maartens G., French M.A., Worodria W., Elliott J.H., Murdoch D., Wilkinson R.J.",14733099,"The Lancet Infectious Diseases",8, 8,0,0,2,2,21,23
2008,"Vitamin D and tuberculosis incidence in Spain","Martineau A.R., Wilkinson R.J., Griffiths C.J.",1073449X,"American Journal of Respiratory and Critical Care Medicine",177, 7,0,0,0,0,0,0
2008,"Detection of natural infection with Mycobacterium intracellulare in healthy wild-caught Chacma baboons (Papio ursinus) by ESAT-6 and CFP-10 IFN-? ELISPOT tests following a tuberculosis outbreak","Chege G.K., Warren R.M., Van Pittius N.C.G., Burgers W.A., Wilkinson R.J., Shephard E.G., Williamson A.-L.",14712180,"BMC Microbiology",8, ,0,0,0,0,0,0
2008,"Immune reconstitution and ""unmasking"" of tuberculosis during antiretroviral therapy","Lawn S.D., Wilkinson R.J., Lipman M.C.I., Wood R.",1073449X,"American Journal of Respiratory and Critical Care Medicine",177, 7,0,0,7,7,17,24
2008,"Two novel type II receptors mediate BMP signalling and are required to establish left-right asymmetry in zebrafish","Monteiro R., van Dinther M., Bakkers J., Wilkinson R., Patient R., ten Dijke P., Mummery C.",00121606,"Developmental Biology",315, 1,0,0,1,1,3,4
2008,"Vitamin D in the treatment and prevention of tuberculosis","Martineau A.R., Griffiths C.J., Wilkinson R.J.",17446651,"Expert Review of Endocrinology and Metabolism",3, 2,0,0,1,1,1,2
2008,"Reduction of chemokine secretion in response to mycobacteria in infliximab-treated patients","Newton S.M., Pasvol G., Mackie S.L., Martineau A.R., Wilkinson K.A., Kampmann B., Fisher C., Dutta S., Levin M., Wilkinson R.J.",15566811,"Clinical and Vaccine Immunology",15, 3,0,0,1,1,2,3
2008,"Distinct, specific IL-17- and IL-22-producing CD4+ T cell subsets contribute to the human anti-mycobacterial immune response","Scriba T.J., Gelderbloem S.J., Mahomed H., Hussey G.D., Hanekom W.A., Kalsdorf B., Abrahams D.-A., Isaacs F., Hofmeister J., Black G., Hassan H.Y., Wilkinson R.J., Walzl G.",00221767,"Journal of Immunology",180, 3,0,0,9,9,22,31
2008,"Immune reconstitution inflammatory syndrome in HIV-infected patients receiving antiretroviral therapy: Pathogenesis, clinical manifestations and management","Dhasmana D.J., Dheda K., Ravn P., Wilkinson R.J., Meintjes G.",00126667,"Drugs",68, 2,0,0,6,6,17,23
2007,"Tuberculosis","Maartens G., Wilkinson R.J.",01406736,"Lancet",370, 9604,0,0,28,28,24,52
2007,"Rifampin levels, interferon-gamma release and outcome in complicated pulmonary tuberculosis","McIlleron H., Watkins M.L., Folb P.I., Ress S.R., Wilkinson R.J.",14729792,"Tuberculosis",87, 6,0,0,2,2,1,3
2007,"Combined therapy for tuberculosis and HIV-1: the challenge for drug discovery","Pepper D.J., Meintjes G.A., McIlleron H., Wilkinson R.J.",13596446,"Drug Discovery Today",12, 21-22,0,1,4,5,6,11
2007,"A mutant of Mycobacterium tuberculosis lacking the 19-kDa lipoprotein Rv3763 is highly attenuated in vivo but retains potent vaccinogenic properties","Henao-Tamayo M., Junqueira-Kipnis A.P., Ordway D., Gonzales-Juarrero M., Stewart G.R., Young D.B., Wilkinson R.J., Basaraba R.J., Orme I.M.",0264410X,"Vaccine",25, 41,0,0,1,1,1,2
2007,"Utility of interferon-? ELISPOT assay responses in highly tuberculosis-exposed patients with advanced HIV infection in South Africa","Lawn S.D., Bangani N., Vogt M., Bekker L.-G., Badri M., Ntobongwana M., Dockrell H.M., Wilkinson R.J., Wood R.",14712334,"BMC Infectious Diseases",7, ,0,0,11,11,9,20
2007,"A single dose of vitamin D enhances immunity to mycobacteria","Martineau A.R., Maunsell Z.J., Rainbow S.J., Berry J.L., Griffiths C.J., Wilkinson R.J., Wilkinson K.A., Newton S.M., Kampmann B., Hall B.M., Packe G.E., Davidson R.N., Eldridge S.M.",1073449X,"American Journal of Respiratory and Critical Care Medicine",176, 2,0,6,32,38,19,57
2007,"Neutrophil-mediated innate immune resistance to mycobacteria","Martineau A.R., Wilkinson R.J., Newton S.M., Wilkinson K.A., Kampmann B., Hall B.M., Nawroly N., Packe G.E., Davidson R.N., Griffiths C.J.",00219738,"Journal of Clinical Investigation",117, 7,0,1,10,11,7,18
2007,"Enhanced ex vivo stimulation of Mycobacterium tuberculosis-specific T cells in human immunodeficiency virus-infected persons via antigen delivery by the Bordetella pertussis adenylate cyclase vector","Connell T.G., Diwakar L., Meintjes G.A., Leclerc C., Wilkinson R.J., Wilkinson K.A., Shey M.S., Seldon R., Rangaka M.X., Van Cutsem G., Simsova M., Marcekova Z., Sebo P., Curtis N.",15566811,"Clinical and Vaccine Immunology",14, 7,0,0,1,1,1,2
2007,"Clinical, immunological, and epidemiological importance of antituberculosis T cell responses in HIV-infected Africans","Rangaka M.X., Wilkinson K.A., Wilkinson R.J., Diwakar L., Seldon R., Van Cutsem G., Meintjes G.A., Morroni C., Mouton P., Shey M.S., Maartens G.",10584838,"Clinical Infectious Diseases",44, 12,0,4,8,12,10,22
2007,"IFN-?- and TNF-independent vitamin D-inducible human suppression of mycobacteria: The role of cathelicidin LL-37","Martineau A.R., Griffiths C.J., Wilkinson R.J., Wilkinson K.A., Newton S.M., Floto R.A., Norman A.W., Skolimowska K., Davidson R.N., Sorensen O.E., Kampmann B.",00221767,"Journal of Immunology",178, 11,0,5,15,20,14,34
2007,"Evidence guiding the treatment of children with mycobacterial diseases","Nicol M.P., Wilkinson R.J.",10584838,"Clinical Infectious Diseases",44, 8,0,0,0,0,0,0
2007,"Effect of HIV-1 infection on T-cell-based and skin test detection of tuberculosis infection","Rangaka M.X., Maartens G., Wilkinson R.J., Wilkinson K.A., Seldon R., Van Cutsem G., Meintjes G.A., Morroni C., Mouton P., Diwakar L., Connell T.G.",1073449X,"American Journal of Respiratory and Critical Care Medicine",175, 5,0,20,22,42,25,67
2007,"Vitamin D in the treatment of pulmonary tuberculosis","Martineau A.R., Honecker F.U., Wilkinson R.J., Griffiths C.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",103, 3-5,0,6,8,14,6,20
2007,"Erratum: A deletion defining a common Asian lineage of Mycobacterium tuberculosis associates with immune subversion (Proceedings of the National Academy of Sciences of the United States of America (October 17, 2006) 103, 42 (15594-15598) DOI: 10.1073/pnas.0604283103))","Newton S.M., Fandrich S., Smallie T., Foxwell B., Al-Obaidi A., Shafi J., Rajakumar K., Kampmann B., Andrew P.W., Ziegler-Heitbrock L., Barer M.R., Smith R.J., Wilkinson R.J., Wilkinson K.A., Nicol M.P., Garton N.J., Staples K.J., Stewart G.R., Wain J.R., Martineau A.R.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 2,0,0,0,0,0,0
2006,"Discussion","Segal A., Mizrahi V., Schoub B., McGreal E., Steinman R., Lambrecht B.N., Gordon S., Mayosi B., Finn O.J., Walzl G., Ryffel B., Van Helden P., Sim E., Quesniaux V., Brown G., Speert D.P., Mantovani A., Hoal E., Wilkinson R.J., Bekker L.-G.",15282511,"Novartis Foundation Symposium",279, ,0,0,0,0,0,0
2006,"Discussion","Speert D.P., Quesniaux V., Latge J.-P., Wilkinson R.J., Ryffel B., Gordon S., Steinman R., Segal A., Didierlaurent A.",15282511,"Novartis Foundation Symposium",279, ,0,0,0,0,0,0
2006,"Discussion","Hussell T., Segal A., Lawn S., Romani L., Lambrecht B.N., Bateman E., Didierlaurent A., Speert D.P., Wilkinson R.J., Mantovani A., Steinman R., Walzl G.",15282511,"Novartis Foundation Symposium",279, ,0,0,0,0,0,0
2006,"A deletion defining a common Asian lineage of Mycobacterium tuberculosis associates with immune subversion","Newton S.M., Fandrich S., Smallie T., Foxwell B., Al-Obaidi A., Shafi J., Rajakumar K., Kampmann B., Andrew P.W., Ziegler-Heitbrock L., Barer M.R., Smith R.J., Wilkinson R.J., Wilkinson K.A., Nicol M.P., Garton N.J., Staples K.J., Stewart G.R., Wain J.R., Martineau A.R.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",103, 42,0,5,9,14,4,18
2006,"QuantiFERON-TB Gold: State of the art for the diagnosis of tuberculosis infection?","Connell T.G., Rangaka M.X., Curtis N., Wilkinson R.J.",14737159,"Expert Review of Molecular Diagnostics",6, 5,0,11,9,20,4,24
2006,"Transmission of Mycobacterium tuberculosis undetected by tuberculin skin testing","Anderson S.T., Wilkinson K.A., Williams A.J., Brown J.R., Newton S.M., Simsova M., Nicol M.P., Sebo P., Levin M., Wilkinson R.J.",1073449X,"American Journal of Respiratory and Critical Care Medicine",173, 9,4,9,2,11,3,18
2006,"Effect of treatment of latent tuberculosis infection on the T cell response to Mycobacterium tuberculosis antigens","Wilkinson K.A., Kon O.M., Newton S.M., Meintjes G., Davidson R.N., Pasvol G., Wilkinson R.J.",00221899,"Journal of Infectious Diseases",193, 3,2,16,9,25,8,35
2005,"Distribution of strain families of Mycobacterium tuberculosis causing pulmonary and extrapulmonary disease in hospitalized children in Cape Town, South Africa","Nicol M.P., Sola C., February B., Rastogi N., Steyn L., Wilkinson R.J.",00951137,"Journal of Clinical Microbiology",43, 11,1,3,6,9,4,14
2005,"Effect of deletion or overexpression of the 19-kilodalton lipoprotein Rv3763 on the innate response to Mycobacterium tuberculosis","Stewart G.R., Wilkinson R.J., Wilkinson K.A., Newton S.M., Sullivan S.M., Neyrolles O., Wain J.R., Patel J., Pool K.-L., Young D.B.",00199567,"Infection and Immunity",73, 10,2,4,4,8,2,12
2005,"Systemic steroid treatment of paradoxical upgrading reaction in patients with lymph node tuberculosis [3] (multiple letters)","Garcia Vidal C., Garau J., Wilkinson R.J., Hawkey C.R., Davidson R.N.",10584838,"Clinical Infectious Diseases",41, 6,0,0,1,1,0,1
2005,"Acquired predisposition to mycobacterial disease due to autoantibodies to IFN-?","Kampmann B., Waddell S., Langford P., Sheehan B., Semple L., Wilkinson K.A., Wilkinson R.J., Ress S., Hibberd M., Levin M., Hemingway C., Stephens A., Davidson R., Goodsall A., Anderson S., Nicol M., Scholvinck E., Relman D.",00219738,"Journal of Clinical Investigation",115, 9,2,8,13,21,5,28
2005,"Characterization and management of paradoxical upgrading reactions in HIV-uninfected patients with lymph node tuberculosis","Hawkey C.R., Yap T., Pereira J., Moore D.A.J., Davidson R.N., Pasvol G., Onn M.K., Wall R.A., Wilkinson R.J.",10584838,"Clinical Infectious Diseases",40, 9,5,5,7,12,3,20
2005,"Efficient ex vivo stimulation of Mycobacterium tuberculosis-specific T cells by genetically detoxified Bordetella pertussis adenylate cyclase antigen toxoids","Wilkinson K.A., Pasvol G., Levin M., Wilkinson R.J., Simsova M., Scholvinck E., Sebo P., Leclerc C., Vordermeier H.M., Dickson S.J., Brown J.R., Davidson R.N.",00199567,"Infection and Immunity",73, 5,5,3,0,3,0,8
2005,"Enzyme-linked immunospot assay responses to early secretory antigenic target 6, culture filtrate protein 10, and purified protein derivative among children with tuberculosis: Implications for diagnosis and monitoring of therapy","Nicol M.P., Pienaar D., Wood K., Eley B., Wilkinson R.J., Henderson H., Smith L., Samodien S., Beatty D.",10584838,"Clinical Infectious Diseases",40, 9,12,22,11,33,14,59
2005,"Insulin resistance in men with treated hypertension at increased risk for cardiovascular disease: Results of a 3-year study","Mohteshamzadeh M., Wilkinson R., Thomas S.H.L.",08957061,"American Journal of Hypertension",18, 4,0,3,0,3,2,5
2005,"Infection biology of a novel ?-crystallin of Mycobacterium tuberculosis: Acr2","Wilkinson K.A., Stewart G.R., Newton S.M., Vordermeier H.M., Wain J.R., Murphy H.N., Horner K., Young D.B., Wilkinson R.J.",00221767,"Journal of Immunology",174, 7,6,5,4,9,4,19
2005,"Antigenic trigger for type 1 reaction in leprosy","Wilkinson R.J., Lockwood D.N.J.",01634453,"Journal of Infection",50, 3,1,2,1,3,0,4
2005,"The stress-responsive chaperone ?-crystallin 2 is required for pathogenesis of Mycobacterium tuberculosis","Stewart G.R., Newton S.M., Wilkinson K.A., Humphreys I.R., Murphy H.N., Robertson B.D., Wilkinson R.J., Young D.B.",0950382X,"Molecular Microbiology",55, 4,6,4,5,9,3,18
2004,"Recognition of mycobacterial antigens delivered by genetically detoxified Bordetella pertussis adenylate cyclase by T cells from cattle with bovine tuberculosis","Vordermeier H.M., Simsova M., Wilkinson K.A., Wilkinson R.J., Hewinson R.G., Sebo P., Leclerc C.",00199567,"Infection and Immunity",72, 11,6,1,0,1,0,7
2004,"Erratum: An increase in expression of a Mycobacterium tuberculosis mycolyl transferase gene (fbpB) occurs early after infection of human monocytes (Molecular Microbiology (2001) 39 (813-821))","Wilkinson R.J.",0950382X,"Molecular Microbiology",53, 3,0,0,0,0,0,0
2004,"Role of cellular activation and tumor necrosis factor-? in the early expression of Mycobacterium tuberculosis 85B mRNA in human alveolar macrophages","Islam N., Kanost A.R., Teixeira L., Johnson J., Hejal R., Aung H., Wilkinson R.J., Hirsch C.S., Toossi Z.",00221899,"Journal of Infectious Diseases",190, 2,5,1,3,4,1,10
2004,"Delineation of Cohen syndrome following a large-scale genotype-phenotype screen","Kolehmainen J., Khan J., Gross-Tsur V., Traboulsi E.I., Warburg M., Fryns J.-P., Norio R., Black G.C.M., Manson F.D.C., Wilkinson R., Lehesjoki A.-E., Chandler K., Kivitie-Kallio S., Clayton-Smith J., Traskelin A.-L., Waris L., Saarinen A.",00029297,"American Journal of Human Genetics",75, 1,8,6,3,9,2,19
2004,"Gamma Interferon-Based Immunodiagnosis of Tuberculosis: Comparison between Whole-Blood and Enzyme-Linked Immunospot Methods","Scholvinck E., Wilkinson K.A., Whelan A.O., Martineau A.R., Levin M., Wilkinson R.J.",00951137,"Journal of Clinical Microbiology",42, 2,14,10,3,13,1,28
2002,"Selective T-cell recognition of the N-terminal peptide of GroES in tuberculosis","Chua-Intra B., Wilkinson R.J., Ivanyi J.",00199567,"Infection and Immunity",70, 3,2,1,1,2,0,4
2002,"Persistence of antihypertensive efficacy after missed doses: Comparison of amlodipine and nifedipine gastrointestinal therapeutic system","Elliott H.L., Elawad M., Wilkinson R., Singh S.P.",02636352,"Journal of Hypertension",20, 2,9,0,0,0,1,10
2001,"CD4+ and CD8+ T cells kill intracellular Mycobacterium tuberculosis by a perforin and Fas/Fas ligand-independent mechanism","Canaday D.H., Wilkinson R.J., Li Q., Harding C.V., Silver R.F., Boom W.H.",00221767,"Journal of Immunology",167, 5,39,8,5,13,9,61
2001,"Rapid detection of Mycobacterium tuberculosis infection by enumeration of antigen-specific T cells","Lalvani A., Pathan A.A., Mcshane H., Wilkinson R.J., Latif M., Conlon C.P., Pasvol G., Hill A.V.S.",1073449X,"American Journal of Respiratory and Critical Care Medicine",163, 4,135,49,40,89,25,249
2001,"An increase in expression of a Mycobacterium tuberculosis mycolyl transferase gene (fbpB) occurs early after infection of human monocytes","Wilkinson R.J., DesJardin L.E., Islam N., Gibson B.M., Andrew Kanost R., Wilkinson K.A., Poelman D., Eisenach K.D., Toossi Z.",0950382X,"Molecular Microbiology",39, 3,17,2,3,5,2,24
2000,"High frequencies of circulating IFN-?-secreting CD8 cytotoxic T cells specific for a novel MHC class I-restricted Mycobacterium tuberculosis epitope in M. tuberculosis-infected subjects without disease","Pathan A.A., Wilkinson K.A., Wilkinson R.J., Latif M., McShane H., Pasvol G., Hill A.V.S., Lalvani A.",00142980,"European Journal of Immunology",30, 9,50,5,1,6,1,57
2000,"Vitamin D deficiency and tuberculosis (multiple letters)","Stene L.C., Reid I.R., Berrington A., Green J., Newton R., Wilkinson R.J., Davidson R.N.",01406736,"Lancet",355, 9223,0,0,0,0,0,0
2000,"Tuberculosis diagnosed during pregnancy: A prospective study from London","Llewelyn M., Cropley I., Wilkinson R.J., Davidson R.N.",00406376,"Thorax",55, 2,25,3,2,5,2,32
2000,"Enhancement of the human T cell response to culture filtrate fractions of Mycobacterium tuberculosis by microspheres","Wilkinson K.A., Belisle J.T., Mincek M., Wilkinson R.J., Toossi Z.",00221759,"Journal of Immunological Methods",235, 1-2,6,5,0,5,0,11
2000,"Influence of vitamin D deficiency and vitamin D receptor polymorphisms on tuberculosis among Gujarati Asians in west London: A case-control study","Wilkinson R.J., Llewelyn M., Toossi Z., Patel P., Pasvol G., Lalvani A., Wright D., Latif M., Davidson R.N.",01406736,"Lancet",355, 9204,153,29,29,58,12,223
1999,"Enhancement of the T cell response to a mycobacterial peptide by conjugation to synthetic branched polypeptide","Wilkinson K.A., Hudecz F., Martin Vordermeier H., Ivanyi J., J.wilkinson R.",00142980,"European Journal of Immunology",29, 9,7,0,0,0,1,8
1999,"Influence of polymorphism in the genes for the interleukin (IL)-1 receptor antagonist and IL-1? on tuberculosis","Wilkinson R.J., Patel P., Llewelyn M., Hirsch C.S., Pasvol G., Snounou G., Davidson R.N., Toossi Z.",00221007,"Journal of Experimental Medicine",189, 12,135,11,13,24,4,163
1999,"Influence of HLA-DR on the phenotype of CD4+ T lymphocytes specific for an epitope of the 16-kDa ?-crystallin antigen of Mycobacterium tuberculosis","Agrewala J.N., Wilkinson R.J.",00142980,"European Journal of Immunology",29, 6,18,2,2,4,0,22
1999,"Specificity and function of immunogenic peptides from the 35-kilodalton protein of Mycobacterium leprae","Wilkinson R.J., Ivanyi J., Wilkinson K.A., Jurcevic S., Hills A., Sinha S., Sengupta U., Lockwood D.N.J., Katoch K., Altman D.",00199567,"Infection and Immunity",67, 3,5,0,1,1,1,7
1999,"Renal effects of amlodipine in normotensive renal transplant recipients","Raman G.V., Feehally J., Coates R.A., Elliott H.L., Griffin P.J.A., Olubodun J.O.B., Wilkinson R.",09310509,"Nephrology Dialysis Transplantation",14, 2,13,0,0,0,2,15
1998,"Renal and haemodynamic effects of amlodipine and nifedipine in hypertensive renal transplant recipients","Venkat-Raman G., Feehally J., Elliott H.L., Griffin P., Moore R.J., Olubodun J.O.B., Wilkinson R.",09310509,"Nephrology Dialysis Transplantation",13, 10,11,2,0,2,2,15
1998,"Peptide-specific T cell response to Mycobacterium tuberculosis: Clinical spectrum, compartmentalization, and effect of chemotherapy","Wilkinson R.J., Vordermeier H.M., Wilkinson K.A., Sjolund A., Moreno C., Pasvol G., Ivanyi J.",00221899,"Journal of Infectious Diseases",178, 3,35,4,1,5,2,42
1998,"The odyssey of a patient with hypocalciuric hypercalcaemia: Pitfalls to consider","Mead P.A., Wilkinson R., Pearce S.H.S.",09310509,"Nephrology Dialysis Transplantation",13, 5,0,0,1,1,0,1
1998,"neu/erbB-2 amplification identifies a poor-prognosis group of women with node-negative breast cancer","Andrulis I.L., Lickley L., Wilkinson R., Qizilbash A., Ambus U., Lipa M., Weizel H., Katz A., Baida M., Mariz S., Stoik G., Bull S.B., Dacamara P., Strongitharm D., Geddie W., McCready D., Blackstein M.E., Sutherland D., Mak C., Sidlofsky S., Pritzker K.P.H., Hartwick R.W., Hanna W.",0732183X,"Journal of Clinical Oncology",16, 4,185,17,14,31,6,222
1998,"Human cytolytic and interferon ?-secreting CD8+ T lymphocytes specific for Mycobacterium tuberculosis","Lalvani A., Brookes R., Wilkinson R.J., Malin A.S., Pathan A.A., Andersen P., Dockrell H., Pasvol G., Hill A.V.S.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",95, 1,203,11,13,24,5,232
1997,"Modulation of peptide specific T cell responses by non-native flanking regions","Wilkinson K.A., Vordermeier M.H., Kajtar J., Jurcevic S., Wilkinson R., Ivanyi J., Hudecz F.",01615890,"Molecular Immunology",34, 18,4,0,1,1,0,5
1997,"Peptide recognition by T-cell clones of an HLA-DRB1*1501/*0901 heterozygous donor is promiscuous only between parental alleles","Agrewala J.N., Deacock S., Jurcevic S., Wilkinson R.",01988859,"Human Immunology",55, 1,5,1,0,1,0,6
1997,"Erratum : 'Host resistance to malaria runs into swampy water (Trends in Microbiology (June))","Wilkinson R.J., Pasvol G.",0966842X,"Trends in Microbiology",5, 8,0,0,0,0,0,0
1996,"Urinary adrenal steroid metabolites in tuberculosis - a new clue to pathogenesis?","Rook G.A.W., Honour J., Kon O.M., Wilkinson R.J., Davidson R., Shaw R.J.",00335622,"QJM - Monthly Journal of the Association of Physicians",89, 5,24,3,0,3,3,30
1995,"Louse-borne relapsing fever in southern Sudan","De Jong J., Wilkinson R.J., Schaeffers P., Sondorp H.E., Davidson R.N.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",89, 6,6,0,0,0,0,6
1995,"Tuberculosis, HIV, hormones and children","Wilkinson R.J., Pasvol G.",00358819,"Journal of the Royal College of Physicians of London",29, 2,2,0,0,0,0,2
1995,"Liposomal amphotericin B (AmBisome) in the treatment of complicated Kala- Azar under field conditions","Seaman J., Boer C., Wilkinson R., De Jong J., De Wilde E., Sondorp E., Davidson R.",10584838,"Clinical Infectious Diseases",21, 1,56,1,1,2,1,59
1994,"Acute tropical infections and the lung","Johnson S., Wilkinson R., Davidson R.N.",00406376,"Thorax",49, 7,1,0,0,0,0,1
1994,"Severe falciparum malaria: Predicting the effect of exchange transfusion","Wilkinson R.J., Brown J.L., Pasvol G., Chiodini P.L., Davidson R.N.",00335622,"Quarterly Journal of Medicine",87, 9,30,2,2,4,0,34
1993,"Chloroquine poisoning [15]","Wilkinson R., Mahatane J., Wade P., Pasvol G.",09598146,"British Medical Journal",307, 6902,4,0,1,1,0,5
1993,"Chronic lymphocytic leukaemia and overt presentation of underlying Strongyloides stercoralis infection [4]","Wilkinson R., Leen C.L.S.",01634453,"Journal of Infection",27, 1,3,1,0,1,1,5
1988,"Detection of acute inflammation with 111In-Labeled nonspecific polyclonal IgG","Fischman A.J., LaMuraglia G.M., Lind S., Strauss H.W., Rubin R.H., Khaw B.A., Callahan R.J., Wilkinson R., Keech F., Nedelman M., Dragotakes S., Kramer P.B.",00012998,"Seminars in Nuclear Medicine",18, 4,45,0,1,1,0,46
1974,"The influence of the solvent on organic reactivity. Part I. Kinetics and mechanism of the reactions of carboxylic acids with diazodiphenylmethane in donor aprotic solvents","Chapman N.B., Dack M.R.J., Newman D.J., Shorter J., Wilkinson R.",1472779X,"Journal of the Chemical Society, Perkin Transactions 2",, 8,0,0,0,0,0,0
1974,"The influence of the solvent on organic reactivity. Part II. Kinetics and mechanism of the reactions of carboxylic acids with diazodiphenylmethane in aprotic solvents in which the acids may be dimeric","Chapman N.B., Dack M.R.J., Newman D.J., Shorter J., Wilkinson R.",1472779X,"Journal of the Chemical Society, Perkin Transactions 2",, 8,0,0,0,0,0,0
1970,"Productivity and the environment","Wilkinson R.",00036870,"Applied Ergonomics",1, 4,0,0,0,0,0,0
1969,"Some factors influencing the effect of environmental stressors upon performance","Wilkinson R.",00332909,"Psychological Bulletin",72, 4,18,3,2,5,1,24
1903,"A CASE OF LEUKÆMIA WITH CHANGE OF TYPE IN THE APPEARANCES OF THE BLOOD.","Wilkinson R.",01406736,"The Lancet",161, 4164,0,0,0,0,0,0
1867,"ROYAL HOSPITAL FOR INCURABLES.","Wilkinson R.",01406736,"The Lancet",90, 2308,0,0,0,0,0,0
