,"Author: Gould, Keith G.",,,,,,,,,,,
2002,"Competition between MHC class I alleles for cell surface expression alters CTL responses to influenza a virus","Tourdot S., Gould K.G.",00221767,"Journal of Immunology",169, 10,6,4,0,4,0,10
2002,"Presentation of a new H-2Dk-restricted epitope in the Tax protein of human T-lymphotropic virus type I is enhanced by the proteasome inhibitor lactacystin","Lomas M., Hanon E., Tanaka Y., Bangham C.R.M., Gould K.G.",00221317,"Journal of General Virology",83, 3,8,1,0,1,0,9
2001,"Characterization of a new H-2Dk-restricted epitope prominent in primary influenza A virus infection","Tourdot S., Herath S., Gould K.G.",00221317,"Journal of General Virology",82, 7,5,1,0,1,0,6
2001,"Differential processing and presentation of the H-2Db-restricted epitope from two different strains of influenza virus nucleoprotein","Potter P., Tourdot S., Blanchard T., Smith G.L., Gould K.G.",00221317,"Journal of General Virology",82, 5,6,0,0,0,1,7
2001,"Lipoprotein access to MHC class I presentation during infection of murine macrophages with live mycobacteria","Neyrolles O., Thole J.E.R., Young D., Gould K., Gares M.-P., Brett S., Janssen R., O'Gaora P., Herrmann J.-L., Prevost M.-C., Perret E.",00221767,"Journal of Immunology",166, 1,45,8,2,10,2,57
1998,"Virus variation, escape from cytotoxic T lymphocytes and human retroviral persistence","Gould K.G., Bangham C.R.M.",10849521,"Seminars in Cell and Developmental Biology",9, 3,5,0,0,0,0,5
1997,"The proteasome-specific inhibitor lactacystin blocks presentation of cytotoxic T lymphocyte epitopes in human and murine cells","Cerundolo V., Benham A., Braud V., Mukherjee S., Gould K., Macino B., Neefjes J., Townsend A.",00142980,"European Journal of Immunology",27, 1,96,1,0,1,0,97
1996,"Influenza a virus - A model for viral antigen presentation to cytotoxic T lymphocytes","Parker C.E., Gould K.G.",10445773,"Seminars in Virology",7, 1,17,2,0,2,0,19
1995,"LMP2+ proteasomes are required for the presentation of specific antigens to cytotoxic T lymphocytes","Sibille C., Gould K.G., Willard-Gallo K., Thomson S., Rivett A.J., Powis S., Butcher G.W., De Baetselier P.",09609822,"Current Biology",5, 8,74,2,1,3,1,78
1995,"Vaccinia virus serpins B13R and B22R do not inhibit antigen presentation to class I-restricted cytotoxic T lymphocytes","Blake N.W., Kettle S., Law K.M., Gould K., Bastin J., Townsend A.R.M., Smith G.L.",00221317,"Journal of General Virology",76, 9,11,0,1,1,0,12
1993,"Precise prediction of a K(k)-restricted cytotoxic T cell epitope in the NS1 protein of influenza virus using an MHC allele-specific motif","Cossins J., Gould K.G., Smith M., Driscoll P., Brownlee G.B.",00426822,"Virology",193, 1,25,0,0,0,0,25
1993,"Peptides shorter than a minimal CTL epitope may have a higher binding affinity than the epitope for the class I K(k) molecule","Cossins J., Gould K., Brownlee G.G.",00426822,"Virology",195, 2,7,0,0,0,0,7
1992,"A defect in the presentation of intracellular viral antigens is restored by interferon-? in cell lines with impaired major histocompatibility complex class I assembly","Sibille C., Gould K., Hammerling G., Townsend A.",00142980,"European Journal of Immunology",22, 2,11,0,0,0,0,11
1991,"Characterization of two distinct major histocompatibility complex class I K(k)-restricted T-cell epitopes within the influenza A/PR/8/34 virus hemagglutinin","Gould K.G., Scotney H., Brownlee G.G.",0022538X,"Journal of Virology",65, 10,35,0,0,0,0,35
1989,"Recognition of influenza virus proteins by cytotoxic T lymphocytes.","Townsend A., Rothbard J., Bastin J., Bodmer H., Brownlee G., Davey J., Gotch F., Gould K., Jones I., McMichael A.",09628436,"Philosophical transactions of the Royal Society of London. Series B: Biological sciences",323, 1217,1,0,1,1,0,2
1989,"The T cell receptor from an infleunza-A specific murine CTL clone","Palmer M.S., Bentley A., Gould K., Townsend A.R.M.",03051048,"Nucleic Acids Research",17, 6,9,0,0,0,0,9
1989,"A 15 amino acid fragment of influenza nucleoprotein synthesized in the cytoplasm is presented to class I-restricted cytotoxic T lymphocytes","Gould K., Cossins J., Bastin J., Brownlee G.G., Townsend A.",00221007,"Journal of Experimental Medicine",170, 3,5,1,0,1,0,6
1988,"Defective presentation to class I-restricted cytotoxic T lymphocytes in vaccinia-infected cells is overcome by enhanced degradation of antigen.","Townsend A., Bastin J., Gould K., Brownlee G., Andrew M., Coupar B., Boyle D., Chan S., Smith G.",00221007,"Journal of Experimental Medicine",168, 4,134,6,8,14,1,149
1987,"Mouse H-2(k)-restricted cytotoxic T cells recognize antigenic determinants in both the HA1 and HA2 subunits of the influenza A/PR/8/34 hemagglutinin","Gould K.G., Scotney H., Townsend A.R.M., Bastin J., Brownlee G.G.",00221007,"Journal of Experimental Medicine",166, 3,4,1,1,2,0,6
1986,"Cytotoxic T lymphocytes recognize influenza haemagglutinin that lacks a signal sequence","Townsend A.R.M., Bastin J., Gould K., Brownlee G.G.",00280836,"Nature",324, 6097,43,1,1,2,0,45
1984,"The gene structure of human anti-haemophilic factor IX.","Anson D.S., Choo K.H., Rees D.J., Giannelli F., Gould K., Huddleston J.A., Brownlee G.G.",02614189,"EMBO Journal",3, 5,37,3,3,6,0,43
1982,"Molecular cloning of the gene for human anti-haemophilic factor IX","Choo K.H., Gould K.G., Rees D.J.G., Brownlee G.G.",00280836,"Nature",299, 5879,33,5,2,7,0,40
1979,"A re-examination of the reaction between Ox liver glutamate dehydrogenase and 1-fluoro-2,4-dinitrobenzene","Gould K.G., Engel P.C.",00039861,"Archives of Biochemistry and Biophysics",196, 1,0,0,0,0,0,0
