2006,"Aspirin reduces anticardiolipin antibodies in patients with coronary artery disease","Ikonomidis I., Lekakis J., Vamvakou G., Loizou S., Revela I., Andreotti F., Kremastinos D.Th., Nihoyannopoulos P.",00142972,"European Journal of Clinical Investigation",36, 12,1,0,1,0,1,0,2
2006,"Primary myocardial dysfunction in autosomal dominant EDMD. A tissue Doppler and cardiovascular magnetic resonance study","Smith G., Kinali M., Prasad S., Bonne G., Muntoni F., Pennell D., Nihoyannopoulos P.",10976647,"Journal of Cardiovascular Magnetic Resonance",8, 5,5,1,4,0,5,0,10
2006,"In vitro stem cell differentiation into cardiomyocytes. Part 2: Chemicals, extracellular matrix, physical stimuli and coculture assays","Dimarakis I., Levicar N., Nihoyannopoulos P., Gordon M.Y., Habib N.A.",15740668,"Journal of Cardiothoracic-Renal Research",1, 2,0,0,2,0,2,0,2
2006,"In vitro stem cell differentiation into cardiomyocytes. Part 1. Culture medium and growth factors","Dimarakis I., Levicar N., Nihoyannopoulos P., Habib N.A., Gordon M.Y.",15740668,"Journal of Cardiothoracic-Renal Research",1, 2,0,0,3,0,3,0,3
2006,"Cardiovascular magnetic resonance: Its role in the diagnosis and evaluation of pulmonary arterial hypertension | Papel de la resonancia magnética cardiovascular en el diagnóstico y evaluación de la hipertensión arterial pulmonar","Pamboucas C., Nihoyannopoulos P.",03008932,"Revista Espanola de Cardiologia",59, 8,1,1,0,1,2,0,3
2006,"The future of cardiovascular imaging and non-invasive diagnosis. A joint statement from the European Association of Echocardiography, the Working Groups on Cardiovascular Magnetic Resonance, Computers in Cardiology, and Nuclear Cardiology of the European Society of Cardiology, the European Association of Nuclear Medicine and the Association for European Paediatric Cardiology","Fraser A.G., Buser P.T., Bax J.J., Dassen W.R., Nihoyannopoulos P., Schwitter J., Knuuti J.M., Hoher M., Bengel F., Szatmari A.",15252167,"European Journal of Echocardiography",7, 4,2,0,0,0,0,0,2
2006,"The European Association of Echocardiography - and the future of European echocardiography","Fraser A.G., Nihoyannopoulos P.",15252167,"European Journal of Echocardiography",7, 4,0,0,0,0,0,0,0
2006,"The future of cardiovascular imaging and non-invasive diagnosis: A joint statement from the European Association of Echocardiography, the Working Groups on Cardiovascular Magnetic Resonance, Computers in Cardiology, and Nuclear Cardiology, of the European Society of Cardiology, the European Association of Nuclear Medicine and the Association for European Paediatric Cardiology","Fraser A.G., Buser P.T., Bax J.J., Dassen W.R., Nihoyannopoulos P., Schwitter J., Knuuti J.M., Hoher M., Bengel F., Szatmari A.",16197070,"European Journal of Nuclear Medicine and Molecular Imaging",33, 8,2,0,0,0,0,0,2
2006,"The future of cardiovascular imaging and non-invasive diagnosis: A joint statement from the European Association of Echocardiography, the Working Groups on Cardiovascular Magnetic Resonance, Computers in Cardiology, and Nuclear Cardiology, of the European Society of Cardiology, the European Association of Nuclear Medicine, and the Association for European Paediatric Cardiology","Fraser A.G., Buser P.T., Bax J.J., Dassen W.R., Nihoyannopoulos P., Schwitter J., Knuuti J.M., Hoher M., Bengel F., Szatmari A.",0195668X,"European Heart Journal",27, 14,15,2,5,1,8,0,23
2006,"Cardiac tissue velocities and strain rate in the early detection of myocardial dysfunction of asymptomatic boys with Duchenne's muscular dystrophy: Relationship to clinical outcome","Giatrakos N., Kinali M., Stephens D., Dawson D., Muntoni F., Nihoyannopoulos P.",13556037,"Heart",92, 6,8,5,4,2,11,0,19
2006,"Enhanced external counterpulsation for treatment of refractory angina pectoris","Novo G., Bagger J.P., Carta R., Koutroulis G., Hall R., Nihoyannopoulos P.",15582027,"Journal of Cardiovascular Medicine",7, 5,5,2,0,0,2,0,7
2006,"Cardiovascular magnetic resonance at 3 Tesla: Advantages, limitations and clinical potential","Pamboucas C., Nihoyannopoulos P.",10117970,"Hellenic Journal of Cardiology",47, 3,4,0,2,0,2,0,6
2006,"Acquired right ventricular dysfunction","Bleeker G.B., Nihoyannopoulos P., Steendijk P., Holman E.R., Yu C.-M., Breithardt O.A., Kaandorp T.A.M., Schalij M.J., Van Der Wall E.E., Bax J.J.",13556037,"Heart",92, 1,4,1,1,0,2,0,6
2006,"Anatomy, echocardiography, and normal right ventricular dimensions","Ho S.Y., Nihoyannopoulos P.",13556037,"Heart",92, 1,23,20,12,8,40,0,63
2006,"Assessing right ventricular function: The role of echocardiography and complementary technologies","Bleeker G.B., Bax J.J., Steendijk P., Holman E.R., Yu C.-M., Breithardt O.A., Kaandorp T.A.M., Schalij M.J., Van Der Wall E.E., Nihoyannopoulos P.",13556037,"Heart",92, 1,28,20,10,2,32,0,60
2006,"Echocardiography 2005","Masani N., Nihoyannopoulos P.",13556037,"Heart",92, 1,0,0,0,0,0,0,0
2005,"Cardiac resynchronization therapy: Part 2 - Issues during and after device implantation and unresolved questions","Bax J.J., Abraham T., Barold S.S., Breithardt O.A., Fung J.W.H., Garrigue S., Gorcsan III J., Hayes D.L., Kass D.A., Knuuti J., Leclercq C., Linde C., Mark D.B., Monaghan M.J., Nihoyannopoulos P., Schalij M.J., Stellbrink C., Yu C.-M.",07351097,"Journal of the American College of Cardiology",46, 12,80,16,11,2,29,0,109
2005,"Left ventricular dyssynchrony predicts right ventricular remodeling after cardiac resynchronization therapy","Bleeker G.B., Bax J.J., Schalij M.J., Nihoyannopoulos P., Steendijk P., Molhoek S.G., Van Erven L., Bootsma M., Holman E.R., Van Der Wall E.E.",07351097,"Journal of the American College of Cardiology",46, 12,36,6,12,2,20,0,56
2005,"Cardiac resynchronization therapy: Part 1 - Issues before device implantation","Bax J.J., Abraham T., Barold S.S., Breithardt O.A., Fung J.W.H., Garrigue S., Gorcsan III J., Hayes D.L., Kass D.A., Knuuti J., Leclercq C., Linde C., Mark D.B., Monaghan M.J., Nihoyannopoulos P., Schalij M.J., Stellbrink C., Yu C.-M.",07351097,"Journal of the American College of Cardiology",46, 12,192,40,30,5,75,0,267
2005,"Mitral valve repair versus replacement for isolated non-ischemic mitral regurgitation in patients with preoperative left ventricular dysfunction. A long-term follow-up echocardiography study","Kouris N., Ikonomidis I., Kontogianni D., Smith P., Nihoyannopoulos P.",15252167,"European Journal of Echocardiography",6, 6,6,5,4,0,9,0,15
2005,"Concluding remarks and take home messages","Nihoyannopoulos P.",15252167,"European Journal of Echocardiography",6, 2,0,0,0,0,0,0,0
2005,"Clinical value and perspectives of contrast echocardiography. Concluding remarks and take home messages. Bracco symposium, Athens, Greece, 1-4 December 2004.","Nihoyannopoulos P.",15252167,"European journal of echocardiography : the journal of the Working Group on Echocardiography of the European Society of Cardiology.",6, ,0,0,0,0,0,0,0
2005,"Differences in the association between type 2 diabetes and impaired microvascular function among Europeans and African Caribbeans","Strain W.D., Chaturvedi N., Nihoyannopoulos P., Bulpitt C.J., Rajkumar C., Shore A.C.",0012186X,"Diabetologia",48, 11,2,6,0,1,7,0,9
2005,"Myocardial ischemia induces interleukin-6 and tissue factor production in patients with coronary artery disease: A dobutamine stress echocardiography study","Ikonomidis I., Athanassopoulos G., Lekakis J., Venetsanou K., Marinou M., Stamatelopoulos K., Cokkinos D.V., Nihoyannopoulos P.",00097322,"Circulation",112, 21,18,5,0,0,5,0,23
2005,"Increased circulating C-reactive protein and macrophage-colony stimulating factor are complementary predictors of long-term outcome in patients with chronic coronary artery disease","Ikonomidis I., Lekakis J., Revela I., Andreotti F., Nihoyannopoulos P.",0195668X,"European Heart Journal",26, 16,13,3,3,2,8,0,21
2005,"Sildenafil versus Endothelin Receptor Antagonist for Pulmonary Hypertension (SERAPH) study","Wilkins M.R., Paul G.A., Strange J.W., Tunariu N., Gin-Sing W., Banya W.A., Westwood M.A., Stefanidis A., Ng L.L., Pennell D.J., Mohiaddin R.H., Nihoyannopoulos P., Gibbs J.S.R.",1073449X,"American Journal of Respiratory and Critical Care Medicine",171, 11,138,23,15,5,43,0,181
2005,"Cigarette smoking is associated with increased circulating proinflammatory and procoagulant markers in patients with chronic coronary artery disease: Effects of aspirin treatment","Ikonomidis I., Lekakis J., Vamvakou G., Andreotti F., Nihoyannopoulos P.",00028703,"American Heart Journal",149, 5,27,2,6,2,10,0,37
2005,"Extreme variability of skeletal and cardiac muscle involvement in patients with mutations in exon 11 of the lamin A/C gene","Mercuri E., Brown S.C., Nihoyannopoulos P., Poulton J., Kinali M., Richard P., Piercy R.J., Messina S., Sewry C., Burke M.M., McKenna W., Bonne G., Muntoni F.",0148639X,"Muscle and Nerve",31, 5,21,7,4,3,14,0,35
2005,"Predictors of response to cardiac resynchronization therapy (PROSPECT) - Study design","Yu C.-M., Nihoyannopoulos P., Notabartolo D., Ping Sun J., Tavazzi L., Abraham W.T., Bax J., Chung E., Fedewa M., Ghio S., Leclercq C., Leon A.R., Merlino J.",00028703,"American Heart Journal",149, 4,132,16,6,0,22,0,154
2005,"Stress echocardiography for the diagnosis and risk stratification of patients with suspected or known coronary artery disease: A critical appraisal. Supported by the British Society of Echocardiography","Senior R., Monaghan M., Becher H., Mayet J., Nihoyannopoulos P.",13556037,"Heart",91, 4,18,3,9,1,13,0,31
2005,"Magnetic resonance imaging in the detection of myocardial viability: The role of delayed contrast hyperenhancement","Pamboucas C., Schmitz S., Nihoyannopoulos P.",10117970,"Hellenic Journal of Cardiology",46, 2,7,0,0,0,0,0,7
2005,"Ethnic differences in skin microvascular function and their relation to cardiac target-organ damage","Strain W.D., Chaturvedi N., Leggetter S., Nihoyannopoulos P., Rajkumar C., Bulpitt C.J., Shore A.C.",02636352,"Journal of Hypertension",23, 1,13,6,2,3,11,0,24
2004,"Echocardiographic evaluation of cardiac dyssynchrony for predicting a favourable response to cardiac resynchronisation therapy","Yu C.-M., Bax J.J., Monaghan M., Nihoyannopoulos P.",13556037,"Heart",90, 4,26,4,5,2,11,0,37
2004,"Lipomatous hypertrophy of the interatrial septum: a commonly misdiagnosed mass often leading to unnecessary cardiac surgery.","Nadra I., Dawson D., Schmitz S.A., Punjabi P.P., Nihoyannopoulos P.",1468201X,"Heart (British Cardiac Society)",90, 12,19,4,3,0,7,0,26
2004,"Echocardiography 2004","Masani N., Nihoyannopoulos P.",13556037,"Heart",90, 6,0,0,0,0,0,0,0
2004,"Echocardiography 2004","Masani N., Nihoyannopoulos P.",13556037,"Heart",90, 4,0,0,0,0,0,0,0
2004,"BSE procedure guidelines for the clinical application of stress echocardiography, recommendations for performance and interpretation of stress echocardiography","Becher H., Chambers J., Fox K., Jones R., Leech G.J., Masani N., Monaghan M., More R., Nihoyannopoulos P., Rimington H., Senior R., Warton G.",13556037,"Heart",90, 4,13,1,2,0,3,0,16
2004,"Left atrial systolic function in primary and familial amyloidosis: Assessment from left atrial volume change","Moyssakis I., Triposkiadis F., Pantazopoulos N.J., Kyriakidis M., Nihoyannopoulos P.",01609289,"Clinical Cardiology",27, 9,1,0,0,0,0,0,1
2004,"Ethnic differences in vascular stiffness and relations to hypertensive target organ damage","Chaturvedi N., Bulpitt C.J., Leggetter S., Schiff R., Nihoyannopoulos P., Strain W.D., Shore A.C., Rajkumar C.",02636352,"Journal of Hypertension",22, 9,25,2,7,1,10,0,35
2004,"Echocardiographic evaluation of cardiac resynchronization therapy: Ready for routine clinical use? A critical appraisal","Bax J.J., Ansalone G., Breithardt O.A., Derumeaux G., Leclercq C., Schalij M.J., Sogaard P., St. John Sutton M., Nihoyannopoulos P.",07351097,"Journal of the American College of Cardiology",44, 1,218,9,18,5,32,0,250
2004,"Reduction of daily life ischaemia by aspirin in patients with angina: Underlying link between thromboxane A2 and macrophage colony stimulating factor","Ikonomidis I., Andreotti F., Nihoyannopoulos P.",13556037,"Heart",90, 4,12,1,1,0,2,0,14
2004,"Effect of enhanced external counterpulsation on Dobutamine-induced left ventricular wall motion abnormalities in severe chronic angina pectoris","Bagger J.P., Hall R.J.C., Koutroulis G., Nihoyannopoulos P.",00029149,"American Journal of Cardiology",93, 4,10,1,0,1,2,0,12
2004,"Role of Echocardiography in the Diagnosis and Follow-up of Patients with Pulmonary Arterial and Chronic Thromboembolic Pulmonary Hypertension","Stefanidis A., Koutroulis G., Kollias G., Gibbs J.S.R., Nihoyannopoulos P.",10117970,"Hellenic Journal of Cardiology",45, 1,2,1,0,0,1,0,3
2004,"Sonovue improves endocardial border detection and variability in assessing wall motion score and ejection fraction during stress echocardiography","Brown A.S., Calachanis M., Evdoridis C., Hancock J., Wild S., Prasan A., Nihoyannopoulos P., Monaghan M.J.",00211265,"Irish Journal of Medical Science",173, 1,3,1,0,0,1,0,4
2003,"Happy Birthday Echocardiography: Where do we go from Here?","Nihoyannopoulos P.",10117970,"Hellenic Journal of Cardiology",44, 6,0,0,0,0,0,0,0
2003,"Accreditation in transoesophageal echocardiography: Statement from the association of cardiothoracic anaesthetists and the British society of echocardiography joint TOE accreditation committee","Swanevelder J., Chin D., Kneeshaw J., Chambers J., Bennett S., Smith D., Nihoyannopoulos P.",00070912,"British Journal of Anaesthesia",91, 4,5,2,0,2,4,0,9
2003,"Recommendations for Evaluation of the Severity of Native Valvular Regurgitation with Two-dimensional and Doppler Echocardiography","Zoghbi W.A., Rakowski H., Stewart W.J., Waggoner A., Weissman N.J., Enriquez-Sarano M., Foster E., Grayburn P.A., Kraft C.D., Levine R.A., Nihoyannopoulos P., Otto C.M., Quinones M.A.",08947317,"Journal of the American Society of Echocardiography",16, 7,576,214,218,44,476,0,1052
2002,"Echocardiography in acute coronary syndromes","Bogle R.G., Nihoyannopoulos P.",14630486,"Continuing Medical Education - Cardiology",2, 1,0,0,0,0,0,0,0
2002,"Doppler tissue echocardiographic features of cardiac amyloidosis","Palka P., Lange A., Donnelly J.E., Scalia G., Burstow D.J., Nihoyannopoulos P.",08947317,"Journal of the American Society of Echocardiography",15, 11,16,2,2,0,4,0,20
2002,"Age, a predictive factor for the reduction in the mean transmittal pressure gradient after percutaneous balloon mitral valvotomy","Valentini P., Vegni F.E., Nihoyannopoulos P.",1129471X,"Italian Heart Journal",3, 8,0,0,0,0,0,0,0
2001,"Tricuspid valvectomy following tricuspid valve endocarditis on an intravenous drug addict","Nihoyannopoulos P.",13556037,"Heart",86, 2,1,3,2,0,5,0,6
2001,"A comparison of left ventricular abnormalities associated with glucose intolerance in African Caribbeans and Europeans in the UK","Chaturvedi N., Marmot M.G., Nihoyannopoulos P.",13556037,"Heart",85, 6,5,0,1,0,1,0,6
2001,"Four year follow up of aortic valve replacement for isolated aortic stenosis: A link between reduction in pressure overload, regression of left ventricular hypertrophy, and diastolic function","Ikonomidis I., Tsoukas A., Parthenakis F., Gournizakis A., Kassimatis A., Rallidis L., Nihoyannopoulos P.",13556037,"Heart",86, 3,18,2,4,0,6,0,24
2001,"Utility of echocardiography in assessment of pulmonary hypertension secondary to COPD","Higham M.A., Dawson D., Joshi J., Nihoyannopoulos P., Morrell N.W.",09031936,"European Respiratory Journal",17, 3,18,2,6,1,9,0,27
