,"Authors: Firmin, D. M.; Firmin, David N.; Firmin, D. N.",,,,,,,,,,,
2008,"Comparison of 2D and multislab 3D magnetic resonance techniques for measuring carotid wall volumes","Keenan N.G., Grasso A., Locca D., Roughton M., Gatehouse P.D., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",28, 6,0,0,0,0,0,0
2008,"Myocardial T*2 measurements in iron-overloaded thalassemia: An in vivo study to investigate optimal methods of quantification","He T., Gatehouse P.D., Smith G.C., Mohiaddin R.H., Pennell D.J., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",60, 5,0,0,0,0,3,3
2008,"Eczematous dermatosis and thrombocytosis induced by efalizumab: Two new side effects","Firmin D., Roguedas A.M., Lemasson G., Abgrall J.F., Misery L.",10188665,"Dermatology",217, 3,0,0,0,0,2,2
2008,"Measurement of myocardial frequency offsets during first pass of a gadolinium-based contrast agent in perfusion studies","Ferreira P., Gatehouse P., Bucciarelli-Ducci C., Wage R., Firmin D.",07403194,"Magnetic Resonance in Medicine",60, 4,0,0,0,0,1,1
2008,"Subject-specific computational simulation of left ventricular flow based on magnetic resonance imaging","Long Q., Merrifield R., Xu X.Y., Kilner P., Firmin D.N., Yang G.-Z.",09544119,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",222, 4,0,0,0,0,0,0
2008,"Myocardial T2* measurement in iron-overloaded Thalassemia: An ex vivo study to investigate optimal methods of quantification","He T., Gatehouse P.D., Kirk P., Mohiaddin R.H., Pennell D.J., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",60, 2,0,0,1,1,7,8
2008,"Effects of elastic compression stockings on wall shear stress in deep and superficial veins of the calf","Downie S.P., Raynor S.M., Firmin D.N., Wood N.B., Thom S.A., Hughes A.D., Parker K.H., Wolfe J.H.N., Xu X.Y.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",294, 5,0,0,0,0,0,0
2008,"Leukaemia cutis during acute aleukaemic myeloid leukaemia in a two-month-old infant | Leucémie cutanée révélatrice d'une leucémie aiguë myéloïde sans blastes circulants chez un nourrisson de deux mois","Plantin P., Firmin D., Kupfer-Bessaguet I., Staroz F., Blondin G., Le Moigne P., Berthou C.",01519638,"Annales de Dermatologie et de Venereologie",135, 4,0,0,0,0,0,0
2008,"Tacrolimus ointment in the treatment of chronic cutaneous graft-versus-host disease | Traitement d'une réaction du greffon contre l'hôte cutanée chronique par tacrolimus topique","Firmin D., Karam A., Guillerm G., Roguedas A.-M., Berthou C., Misery L.",01519638,"Annales de Dermatologie et de Venereologie",135, 3,0,0,0,0,0,0
2007,"Direct comparison of myocardial perfusion cardiovascular magnetic resonance sequences with parallel acquisition","Lyne J.C., Gatehouse P.D., Assomull R.G., Smith G.C., Kellman P., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",26, 6,0,0,1,1,0,1
2007,"Severe neurological complications of hereditary erythermalgia [27]","Misery L., Greco M., Fleuret C., Firmin D., Mocquard Y., Renault A., Roguedas A.M.",09269959,"Journal of the European Academy of Dermatology and Venereology",21, 10,0,0,0,0,1,1
2007,"Motion-compensated MR valve imaging with COMB tag tracking and super-resolution enhancement","Dowsey A.W., Keegan J., Lerotic M., Thom S., Firmin D., Yang G.-Z.",13618415,"Medical Image Analysis",11, 5,0,0,1,1,1,2
2007,"Flow measurement by magnetic resonance: a unique asset worth optimising.","Kilner P.J., Gatehouse P.D., Firmin D.N.",10976647,"Journal of cardiovascular magnetic resonance : official journal of the Society for Cardiovascular Magnetic Resonance",9, 4,0,0,5,5,7,12
2007,"Non-model-based correction of respiratory motion using beat-to-beat 3D spiral fat-selective imaging","Keegan J., Gatehouse P.D., Yang G.-Z., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",26, 3,0,0,0,0,1,1
2007,"Role of MRI in investigating the effects of elastic compression stockings on the deformation of the superficial and deep veins in the lower leg","Downie S.P., Firmin D.N., Wood N.B., Thorn S.A., Hughes A.D., Wolfe J.N.H., Xu X.Y.",10531807,"Journal of Magnetic Resonance Imaging",26, 1,0,0,1,1,0,1
2007,"Treatment of familial erythromelalgia with venlafaxine [11]","Firmin D., Roguedas A.M., Greco M., Morvan C., Legoupil D., Fleuret C., Misery L.",09269959,"Journal of the European Academy of Dermatology and Venereology",21, 6,0,3,0,3,1,4
2007,"Black-blood T2* technique for myocardial iron measurement in thalassemia","He T., Gatehouse P.D., Kirk P., Tanner M.A., Smith G.C., Keegan J., Mohiaddin R.H., Pennell D.J., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",25, 6,0,0,4,4,3,7
2007,"Assessing normal pulse wave velocity in the proximal pulmonary arteries using transit time: A feasibility, repeatability, and observer reproducibility study by cardiovascular magnetic resonance","Bradlow W.M., Gatehouse P.D., Hughes R.L., O'Brien A.B., Gibbs J.S.R., Firmin D.N., Mohiaddin R.H.",10531807,"Journal of Magnetic Resonance Imaging",25, 5,0,0,1,1,2,3
2006,"Motion-compensated MR valve imaging with COMB tag tracking and super-resolution enhancement.","Dowsey A.W., Keegan J., Lerotic M., Thom S., Firmin D., Yang G.Z.",,"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention",9, 2,0,0,1,1,0,1
2006,"Evaluation of carotid artery wall volume measurement using novel semiautomated analysis software","Varghese A., Merrifield R.D., Crowe L.A., Collins S.A., Keenan N.G.J., Firmin D.N., Guang Z.Y., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",24, 6,0,0,2,2,5,7
2006,"Cardiovascular Magnetic Resonance in Arrhythmogenic Right Ventricular Cardiomyopathy Revisited. Comparison With Task Force Criteria and Genotype","Sen-Chowdhry S., McKenna W.J., Prasad S.K., Syrris P., Wage R., Ward D., Merrifield R., Smith G.C., Firmin D.N., Pennell D.J.",07351097,"Journal of the American College of Cardiology",48, 10,0,5,15,20,11,31
2006,"T2* effects in the dual-sequence method for high-dose first-pass myocardial perfusion","Gatehouse P., Lyne J., Smith G., Pennell D., Firmin D.",10531807,"Journal of Magnetic Resonance Imaging",24, 5,0,0,0,0,0,0
2006,"Motion-compensated MR valve imaging with COMB tag tracking and super-resolution enhancement","Dowsey A.W., Keegan J., Lerotic M., Thom S., Firmin D., Yang G.-Z.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",4191, ,0,0,0,0,0,0
2006,"Magnetic resonance imaging of ferumoxide-labeled mesenchymal stem cells seeded on collagen scaffolds - Relevance to tissue engineering","Terrovitis J.V., Firmin D.N., Taylor P.M., Yacoub M.H., Bulte J.W.M., Sarvananthan S., Crowe L.A., Sarathchandra P., Batten P., Sachlos E., Chester A.H., Czernuszka J.T.",10763279,"Tissue Engineering",12, 10,0,1,8,9,6,15
2006,"Multi-center validation of the transferability of the magnetic resonance T2* technique for the quantification of tissue iron","Tanner M.A., He T., Westwood M.A., Firmin D.N., Pennell D.J.",03906078,"Haematologica",91, 10,1,5,13,18,6,25
2006,"Improved turbo spin-echo imaging of the heart with motion-tracking","Keegan J., Gatehouse P.D., Prasad S.K., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",24, 3,1,2,1,3,4,8
2006,"Development of a novel optimized breathhold technique for myocardial T2 measurement in thalassemia","He T., Gatehouse P.D., Anderson L.J., Tanner M., Keegan J., Pennell D.J., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",24, 3,0,2,4,6,9,15
2006,"Numerical simulations of phase contrast velocity mapping of complex flows in an anatomically realistic bypass graft geometry","Lee K.L., Doorly D.J., Firmin D.N.",00942405,"Medical Physics",33, 7,0,0,3,3,1,4
2006,"Elimination of residual blood flow-related signal in 3D volume-selective TSE arterial wall imaging using velocity-sensitive phase reconstruction","Crowe L.A., Varghese A., Mohiaddin R.H., Yang G.Z., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",23, 3,2,2,5,7,1,10
2005,"Interstudy reproducibility of 3D volume selective fast spin echo sequence for quantifying carotid artery wall volume in asymptomatic subjects","Varghese A., Crowe L.A., Mohiaddin R.H., Gatehouse P.D., Yang G.Z., Firmin D.N., Pennell D.J.",00219150,"Atherosclerosis",183, 2,1,3,3,6,3,10
2005,"Assessment of MR angiography using in-vitro models and computer simulation","Lee K.L., Firmin D.N., Doorly D.J.",,"Proceedings of the 2005 Summer Bioengineering Conference",2005, ,0,0,0,0,0,0
2005,"Applications of phase-contrast flow and velocity imaging in cardiovascular MRI","Gatehouse P.D., Keegan J., Crowe L.A., Masood S., Mohiaddin R.H., Kreitner K.-F., Firmin D.N.",09387994,"European Radiology",15, 10,7,10,11,21,9,37
2005,"3D volume-selective turbo spin echo for carotid artery wall imaging with navigator detection of swallowing","Crowe L.A., Keegan J., Gatehouse P.D., Mohiaddin R.H., Varghese A., Symmonds K., Cannell T.M., Yang G.Z., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",22, 4,2,1,5,6,2,10
2005,"Interstudy reproducibility of quantitative perfusion cardiovascular magnetic resonance","Elkington A.G., Gatehouse P.D., Ablitt N.A., Yang G.-Z., Firmin D.N., Pennell D.J.",10976647,"Journal of Cardiovascular Magnetic Resonance",7, 5,0,1,6,7,1,8
2005,"Intercentre reproducibility of magnetic resonance T2* measurements of myocardial iron in thalassaemia","Westwood M.A., Firmin D.N., Gildo M., Renzo G., Stathis G., Markissia K., Vasili B., Pennell D.J.",15695794,"International Journal of Cardiovascular Imaging",21, 5,5,7,12,19,3,27
2005,"Comparison of hybrid echo-planar imaging and FLASH myocardial perfusion cardiovascular MR imaging","Elkington A.G., Gatehouse P.D., Cannell T.M., Moon J.C., Prasad S.K., Firmin D.N., Pennell D.J.",00338419,"Radiology",235, 1,6,4,4,8,1,15
2005,"Optimization of the arterial input function for myocardial perfusion cardiovascular magnetic resonance","Elkington A.G., He T., Gatehouse P.D., Prasad S.K., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",21, 4,4,4,4,8,2,14
2005,"Comparison between three-dimensional volume-selective turbo spin-echo imaging and two-dimensional ultrasound for assessing carotid artery structure and function","Crowe L.A., Ariff B., Keegan J., Mohiaddin R.H., Guang Z.Y., Hughes A.D., Thom S.A.McG., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",21, 3,1,3,4,7,4,12
2005,"Interstudy reproducibility of three-dimensional volume-selective fast spin echo magnetic resonance for quantifying carotid artery wall volume","Varghese A., Crowe L.A., Mohiaddin R.H., Gatehouse P.D., Yang G.Z., Nott D.M., McCall J.M., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",21, 2,4,6,4,10,2,16
2004,"Spiral phase velocity mapping of left and right coronary artery blood flow: Correction for through-plane motion using selective fat-only excitation","Keegan J., Gatehouse P.D., Yang G.-Z., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",20, 6,1,1,0,1,1,3
2004,"Combined long- and short-axis myocardial perfusion cardiovascular magnetic resonance","Elkington A.G., Gatehouse P.D., Prasad S.K., Moon J.C., Firmin D.N., Pennell D.J.",10976647,"Journal of Cardiovascular Magnetic Resonance",6, 4,0,2,1,3,1,4
2004,"Combined CFD/MRI analysis of left ventricular flow","Merrifield R., Long Q., Xu X.Y., Kilner P.J., Firmin D.N., Yang G.Z.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",3150, ,1,0,1,1,0,2
2004,"The integration of medical imaging and computational fluid dynamics for measuring wall shear stress in carotid arteries","Glor F.P., Ariff B., Hughes A.D., Crowe L.A., Verdonck P.R., Barratt D.C., Thom S.A.McG., Firmin D.N., Xu X.Y.",05891019,"Annual International Conference of the IEEE Engineering in Medicine and Biology - Proceedings",26, ,0,0,0,0,0,0
2004,"Image-based carotid flow reconstruction: A comparison between MRI and ultrasound","Glor F.P., Ariff B., Hughes A.D., Crowe L.A., Verdonck P.R., Barratt D.C., Thom S.A.Mc.G., Firmin D.N., Xu X.Y.",09673334,"Physiological Measurement",25, 6,1,3,3,6,1,8
2004,"Respiratory reordered UNFOLD perfusion imaging","Ablitt N.A., Gatehouse P.D., Firmin D.N., Yang G.-Z.",10531807,"Journal of Magnetic Resonance Imaging",20, 5,3,1,2,3,0,6
2004,"Glagov remodeling of the atherosclerotic aorta demonstrated by cardiovascular magnetic resonance: The CORDA asymptomatic subject plaque assessment research (CASPAR) project","Mohiaddin R.H., Longmore D.B., Yang G.Z., Firmin D.N., Pennell D.J., Burman E.D., Prasad S.K., Varghese A., Tan R.S., Collins S.A., Hughes R.L., Gatehouse P.D., Jhooti P.",10976647,"Journal of Cardiovascular Magnetic Resonance",6, 2,6,2,2,4,1,11
2004,"Predictive cardiac motion modeling and correction with partial least squares regression","Ablitt N.A., Gao J., Keegan J., Stegger L., Firmin D.N., Yang G.-Z.",02780062,"IEEE Transactions on Medical Imaging",23, 10,8,5,7,12,4,24
2004,"Accurate assessment of the arterial input function during high-dose myocardial perfusion cardiovascular magnetic resonance","Gatehouse P.D., Elkington A.G., Ablitt N.A., Yang G.-Z., Pennell D.J., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",20, 1,12,8,9,17,4,33
2004,"Intra- and interstudy reproducibility of coronary artery diameter measurements in magnetic resonance coronary angiography","Keegan J., Horkaew P., Buchanan T.J., Smart T.S., Yang G.-Z., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",20, 1,1,3,2,5,0,6
2004,"Comparison of Spiral and FLASH Phase Velocity Mapping, with and Without Breath-Holding, for the Assessment of Left and Right Coronary Artery Blood Flow Velocity","Keegan J., Gatehouse P.D., Mohiaddin R.H., Yang G.-Z., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",19, 1,4,0,1,1,1,6
2003,"Carotid geometry reconstruction: A comparison between MRI and ultrasound","Glor F.P., Xu X.Y., Ariff B., Crowe L.A., Hughes A.D., Cheong P.L., Thom S.A.McG., Verdonck P.R., Firmin D.N., Barratt D.C.",00942405,"Medical Physics",30, 12,5,4,2,6,1,12
2003,"The Influence of Inflow Boundary Conditions on Intra Left Ventricle Flow Predictions","Long Q., Merrifield R., Yang G.Z., Kilner P.J., Firmin D.N., Xu X.Y.",01480731,"Journal of Biomechanical Engineering",125, 6,5,0,1,1,4,10
2003,"Interscanner Reproducibility of Cardiovascular Magnetic Resonance T2* Measurements of Tissue Iron in Thalassemia","Westwood M.A., Anderson L.J., Firmin D.N., Gatehouse P.D., Lorenz C.H., Wonke B., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",18, 5,16,9,16,25,7,48
2003,"Breath-hold signal-loss sequence for the qualitative assessment of flow disturbances in cardiovascular MR","Keegan J., Gatehouse P.D., John A.S., Mohiaddin R.H., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",18, 4,3,0,0,0,0,3
2003,"A single breath-hold multiecho T2* cardiovascular magnetic resonance technique for diagnosis of myocardial iron overload","Westwood M., Anderson L.J., Firmin D.N., Gatehouse P.D., Charrier C.C., Wonke B., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",18, 1,28,25,23,48,12,88
2003,"Volume-selective 3D turbo spin echo imaging for vascular wall imaging and distensibility measurement","Crowe L.A., Gatehouse P., Yang G.Z., Mohiaddin R.H., Varghese A., Charrier C., Keegan J., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",17, 5,15,5,7,12,4,31
2003,"Coronary artery anomalies: Assessment with free-breathing three-dimensional coronary MR angiography","Bunce N.H., Lorenz C.H., Keegan J., Lesser J., Reyes E.M., Firmin D.N., Pennell D.J.",00338419,"Radiology",227, 1,51,18,13,31,6,88
2003,"Reduced k-space encoding for dual-contrast TrueFISP imaging","Merrifield R., Keegan J., Firmin D., Yang G.-Z.",07403194,"Magnetic Resonance in Medicine",49, 3,1,0,1,1,1,3
2003,"Progress towards patient-specific computational flow modeling of the left heart via combination of magnetic resonance imaging with computational fluid dynamics","Saber N.R., Wood N.B., Gosman A.D., Merrifield R.D., Yang G.-Z., Charrier C.L., Gatehouse P.D., Firmin D.N.",00906964,"Annals of Biomedical Engineering",31, 1,10,4,7,11,6,27
2002,"Morphodynamics of flow through sinuous curvatures of the heart","Kilner P.J., Yang G.-Z., Firmin D.N.",0006355X,"Biorheology",39, 3-4,0,0,1,1,0,1
2002,"Initial experience with the intravascular contrast agent NC100150-injection (Clariscan®) for breath-hold and navigator-gated magnetic resonance coronary artery imaging","Bunce N.H., Keegan J., Gatehouse P.D., Moon J.C.C., Firmin D.N., Hoffmann V., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",16, 2,4,0,0,0,0,4
2002,"Abnormal subendocardial perfusion in cardiac syndrome X detected by cardiovascular magnetic resonance imaging","Panting J.R., Gatehouse P.D., Yang G.-Z., Grothues F., Firmin D.N., Collins P., Pennell D.J.",00284793,"New England Journal of Medicine",346, 25,149,49,40,89,29,267
2002,"Assessment of reactive hyperaemia using real time zonal echo-planar flow imaging","Mohiaddin R.H., Gatehouse P.D., Moon J.C.C., Youssuffidin M., Yang G.Z., Firmin D.N., Pennell D.J.",10976647,"Journal of Cardiovascular Magnetic Resonance",4, 2,9,0,1,1,0,10
2002,"Coronary artery motion with the respiratory cycle during breath-holding and free-breathing: Implications for slice-followed coronary artery imaging","Keegan J., Gatehouse P., Yang G.-Z., Firmin D.",07403194,"Magnetic Resonance in Medicine",47, 3,14,4,3,7,4,25
2002,"Automatic MRI adipose tissue mapping using overlapping mosaics","Yang G.Z., Myerson S., Chabat F., Pennell D.J., Firmin D.N.",13528661,"Magnetic Resonance Materials in Physics, Biology and Medicine",14, 1,4,2,2,4,0,8
2001,"Cardiovascular T2-star (T2*) magnetic resonance for the early diagnosis of myocardial iron overload","Anderson L.J., Walker J.M., Pennell D.J., Holden S., Davis B., Prescott E., Charrier C.C., Bunce N.H., Firmin D.N., Wonke B., Porter J.",0195668X,"European Heart Journal",22, 23,131,59,68,127,38,296
2001,"Evaluation of free-breathing three-dimensional magnetic resonance coronary angiography with hybrid ordered phase encoding (HOPE) for the detection of proximal coronary artery stenosis","Bunce N.H., Jhooti P., Keegan J., Rahman S.L., Bunce C., Firmin D.N., Davies S.W., Lorenz C.H., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",14, 6,10,0,0,0,0,10
2001,"Improved cine cardiovascular magnetic resonance using Clariscan? (NC100150 injection)","Bunce N.H., Firmin D.N., Hoffmann V.W., Pennell D.J., Moon J.C.C., Bellenger N.G., Keegan J., Grothues F., McCrohon J.A., Francis J.M., Smith G.C., Burman E.D.",10976647,"Journal of Cardiovascular Magnetic Resonance",3, 4,3,0,0,0,1,4
2001,"Navigator echoes in cardiac magnetic resonance","Firmin D., Keegan J.",10976647,"Journal of Cardiovascular Magnetic Resonance",3, 3,7,3,0,3,3,13
2001,"Dual contrast TrueFISP imaging for left ventricular segmentation","Merrifield R., Keegan J., Firmin D., Yang G.-Z.",07403194,"Magnetic Resonance in Medicine",46, 5,6,0,1,1,0,7
2001,"Tracking local volume 3D-echo-planar coronary artery imaging","Gatehouse P.D., Keegan J., Yang G.Z., Mohiaddin R.H., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",46, 5,5,0,0,0,1,6
2001,"Combined MR imaging and CFD simulation of flow in the human descending aorta","Wood N.B., Mimech E., Weston S.J., Kilner P.J., David Gosman A., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",13, 5,17,2,7,9,4,30
2001,"Echo-planar magnetic resonance myocardial perfusion imaging: Parametric map analysis and comparison with thallium SPECT","Panting J.R., Gatehouse P.D., Yang G.Z., Jerosch-Herold M., Wilke N., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",13, 2,42,14,7,21,6,69
2001,"Computational flow modeling of the left ventricle based on in vivo MRI data: Initial experience","Saber N.R., Gosman A.D., Wood N.B., Kilner P.J., Charrier C.L., Firmin D.N.",00906964,"Annals of Biomedical Engineering",29, 4,20,3,6,9,4,33
2000,"Transient streamlines: Texture synthesis for in vivo flow visualisation","Yang G.-Z., Kilner P.J., Mohiaddin R.H., Firmin D.N.",01679899,"International Journal of Cardiac Imaging",16, 3,2,1,0,1,0,3
2000,"Investigating intrinsic myocardial mechanics: The role of MR tagging, velocity phase mapping, and diffusion imaging","Masood S., Yang G.-Z., Pennell D.J., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",12, 6,34,6,2,8,2,44
2000,"Flow pattern in distal aorta determined by flow from aortic arch","Wood Nigel, Weston Simon, Kilner Philip, Gosman David, Firmin David",00906964,"Annals of Biomedical Engineering",28, 1,0,0,0,0,0,0
2000,"Interleaved spiral cine coronary artery velocity mapping","Keegan J., Gatehouse P., Yang G.-Z., Firmin D.",07403194,"Magnetic Resonance in Medicine",43, 6,5,0,0,0,0,5
2000,"The cardiovascular magnetic resonance machine: Hardware and software requirements","Gatehouse P.D., Firmin D.N.",03409937,"Herz",25, 4,6,2,1,3,0,9
2000,"Asymmetric redirection of flow through the heart","Kilner P.J., Yang G.-Z., Wilkest A.J., Mohladdlin R.H., Firmin D.N., Yacoub M.H.",00280836,"Nature",404, 6779,102,23,12,35,18,155
2000,"Left ventricular quantification in heart failure by cardiovascular MR using prospective respiratory navigator gating: Comparison with breath-hold acquisition","Bellenger N.G., Gatehouse P.D., Rajappan K., Keegan J., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",11, 4,16,2,1,3,1,20
2000,"A comparison between segmented k-space FLASH and interleaved spiral MR coronary angiography sequences","Taylor A.M., Keegan J., Jhooti P., Gatehouse P.D., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",11, 4,12,0,0,0,0,12
2000,"Phase ordering with automatic window selection (PAWS): A novel motion- resistant technique for 3D coronary imaging","Jhooti P., Gatehouse P.D., Keegan J., Bunce N.H., Taylor A.M., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",43, 3,26,5,5,10,1,37
2000,"Atomic Force Microscopy under Defined Hydrodynamic Conditions: Three-Dimensional Flow Calculations Applied to the Dissolution of Salicylic Acid","Wilkins S.J., Suarez M.F., Hong Q., Coles B.A., Compton R.G., Tranter G.E., Firmin D.",10895647,"Journal of Physical Chemistry B",104, 7,5,0,1,1,0,6
2000,"The birth of the first CT scanner.","Yang G.Z., Firmin D.N.",07395175,"IEEE engineering in medicine and biology magazine : the quarterly magazine of the Engineering in Medicine & Biology Society",19, 1,2,0,1,1,0,3
1999,"Use of the Intravascular Contrast Agent NC100150 Injection in Spin-Echo and Gradient-Echo Imaging of the Heart","Taylor A.M., Firmin D.N., Pennell D.J., Panting J.R., Keegan J., Gatehouse P.D., Jhooti P., Yang G.Z., McGill S., Francis J.M., Burman E.D.",10976647,"Journal of Cardiovascular Magnetic Resonance",1, 1,20,1,0,1,0,21
1999,"Reduced FOV imaging with motion adaptation","Yang G.Z., Gatehouse P.D., Firmin D.N.",05379989,"IEE Conference Publication",, 465,0,0,0,0,0,0
1999,"Calculation of a Subject-Specific Adaptive Motion-Correction Factor for Improved Real-Time Navigator Echo-Gated Magnetic Resonance Coronary Angiography","Taylor A.M., Keegan J., Jhooti P., Firmin D.N., Pennell D.J.",10976647,"Journal of Cardiovascular Magnetic Resonance",1, 2,15,1,2,3,2,20
1999,"Motion-selective encoding for fast cine imaging","Yang G.-Z., Keegan J., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",42, 3,1,0,0,0,0,1
1999,"First-pass myocardial perfusion imaging and equilibrium signal changes using the intravascular contrast agent NC 100150 injection","Panting J.R., Pennell D.J., Taylor A.M., Gatehouse P.D., Keegan J., Yang G.Z., McGill S., Francis J.M., Burman E.D., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",10, 3,26,1,0,1,0,27
1999,"Differences between normal subjects and patients with coronary artery disease for three different MR coronary angiography respiratory suppression techniques","Taylor A.M., Keegan J., Jhooti P., Gatehouse P.D., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",9, 6,42,3,2,5,2,49
1999,"Flow distortion and signal loss in spiral imaging","Gatehouse P.D., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",41, 5,8,0,0,0,0,8
1999,"3D coronary artery imaging with phase reordering for improved scan efficiency","Jhooti P., Keegan J., Gatehouse P.D., Collins S., Rowe A., Taylor A.M., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",41, 3,23,0,0,0,1,24
