,"Author: Korchev, Yuri E.",,,,,,,,,,,
2005,"Two-component graded deposition of biomolecules with a double-barreled nanopipette","Rodolfa K.T., Bruckbauer A., Zhou D., Korchev Y.E., Klenerman D.",14337851,"Angewandte Chemie - International Edition",44, 42,4,0,3,3,3,10
2005,"Aldosterone acts via an ATP autocrine/paracrine system: The Edelman ATP hypothesis revisited","Gorelik J., Zhang Y., Sanchez D., Shevchuk A., Frolenkov G., Lab M., Klenerman D., Edwards C., Korchev Y.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",102, 42,1,3,6,9,2,12
2005,"Scanning ion conductance microscopy reveals how a functional renal epithelial monolayer maintains its integrity","Zhang Y., Gorelik J., Sanchez D., Shevchuk A., Lab M., Vodyanoy I., Klenerman D., Edwards C., Korchev Y.",00852538,"Kidney International",68, 3,0,1,3,4,0,4
2005,"The scanned nanopipette: A new tool for high resolution bioimaging and controlled deposition of biomolecules","Ying L., Bruckbauer A., Zhou D., Gorelik J., Shevchuk A., Lab M., Korchev Y., Klenerman D.",14639076,"Physical Chemistry Chemical Physics",7, 15,3,8,5,13,2,18
2004,"Measuring ion fluxes in sperm","Darszon A., Wood C.D., Beltran C., Sanchez D., Rodriguez E., Gorelik J., Korchev Y.E., Nishigaki T.",0091679X,"Methods in Cell Biology",2004, 74,3,0,0,0,0,3
2004,"Multi-state, 4-aminopyridine-sensitive ion channels in human spermatozoa","Gu Y., Kirkman-Brown J.C., Korchev Y., Barratt C.L.R., Publicover S.J.",00121606,"Developmental Biology",274, 2,7,2,3,5,1,13
2004,"Comparison of the arrhythmogenic effects of tauro- and glycoconjugates of cholic acid in an in vitro study of rat cardiomyocytes","Gorelik J., Shevchuk A., De Swiet M., Lab M., Korchev Y., Williamson C.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",111, 8,2,1,1,2,0,4
2004,"An addressable antibody nanoarray produced on a nanostructured surface","Bruckbauer A., Zhou D., Kang D.-J., Korchev Y.E., Abell C., Klenerman D.",00027863,"Journal of the American Chemical Society",126, 21,21,11,7,18,3,42
2004,"The use of scanning ion conductance microscopy to image A6 cells","Gorelik J., Korchev Y.E., Zhang Y., Shevchuk A.I., Frolenkov G.I., Sanchez D., Lab M.J., Vodyanoy I., Edwards C.R.W., Klenerman D.",03037207,"Molecular and Cellular Endocrinology",217, 1-2,7,0,2,2,3,12
2004,"Frequency and Voltage Dependence of the Dielectrophoretic Trapping of Short Lengths of DNA and dCTP in a Nanopipette","Ying L., White S.S., Bruckbauer A., Meadows L., Korchev Y.E., Klenerman D.",00063495,"Biophysical Journal",86, 2,16,10,5,15,10,41
2003,"Multicomponent submicron features of biomolecules created by voltage controlled deposition from a nanopipet","Bruckbauer A., Zhou D., Ying L., Korchev Y.E., Abell C., Klenerman D.",00027863,"Journal of the American Chemical Society",125, 32,30,9,3,12,3,45
2003,"Esmolol is antiarrhythmic in doxorubicin-induced arrhythmia in cultured cardiomyocytes - Determination by novel rapid cardiomyocyte assay","Gorelik J., Vodyanoy I., Shevchuk A.I., Diakonov I.A., Lab M.J., Korchev Y.E.",00145793,"FEBS Letters",548, 1-3,1,0,2,2,0,3
2003,"Preparation of synthetic nanopores with transport properties analogous to biological channels","Siwy Z., Apel P., Baur D., Dobrev D.D., Korchev Y.E., Neumann R., Spohr R., Trautmann C., Voss K.-O.",00396028,"Surface Science",532-535, ,34,10,16,26,11,71
2003,"Dynamic assembly of surface structures in living cells","Gorelik J., Klenerman D., Korchev Y.E., Shevchuk A.I., Frolenkov G.I., Diakonov I.A., Lab M.J., Kros C.J., Richardson G.P., Vodyanoy I., Edwards C.R.W.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",100, 10,15,4,5,9,2,26
2003,"Dexamethasone and ursodeoxycholic acid protect against the arrhythmogenic effect of taurocholate in an in vitro study of rat cardiomyocytes","Gorelik J., Shevchuk A.I., Diakonov I., De Swiet M., Lab M., Korchev Y., Williamson C.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",110, 5,7,0,1,1,1,9
2003,"A novel light source for SICM-SNOM of living cells","Rothery A.M., Gorelik J., Bruckbauer A., Yu W., Korchev Y.E., Klenerman D.",00222720,"Journal of Microscopy",209, 2,6,1,1,2,0,8
2002,"Scanning surface confocal microscopy for simultaneous topographical and fluorescence imaging: Application to single virus-like particle entry into a cell","Gorelik J., Korchev Y., Shevchuk A., Ramalho M., Elliott M., Lei C., Higgins C.F., Lab M.J., Klenerman D., Krauzewicz N.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",99, 25,11,2,6,8,1,20
2002,"Ion channels in small cells and subcellular structures can be studied with a smart patch-clamp system","Gorelik J., Benton D.C.H., Sanchez D., Darszon A., Vodyanoy I., Klenerman D., Korchev Y.E., Gu Y., Spohr H.A., Shevchuk A.I., Lab M.J., Harding S.E., Edwards C.R.W., Whitaker M., Moss G.W.J.",00063495,"Biophysical Journal",83, 6,13,7,5,12,4,29
2002,"Rectification and voltage gating of ion currents in a nanofabricated pore","Siwy Z., Gu Y., Spohr H.A., Baur D., Wolf-Reber A., Spohr R., Apel P., Korchev Y.E.",02955075,"Europhysics Letters",60, 3,39,13,10,23,10,72
2002,"Taurocholate induces changes in rat cardiomyocyte contraction and calcium dynamics","Gorelik J., Harding S.E., Shevchuk A.I., Koralage D., Lab M., De Swiet M., Korchev Y., Williamson C.",01435221,"Clinical Science",103, 2,9,2,0,2,0,11
2002,"Writing with DNA and protein using a nanopipet for controlled delivery","Bruckbauer A., Ying L., Rothery A.M., Zhou D., Shevchuk A.I., Abell C., Korchev Y.E., Klenerman D.",00027863,"Journal of the American Chemical Society",124, 30,41,13,6,19,4,64
2002,"Characterization of a novel light source for simultaneous optical and scanning ion conductance microscopy","Bruckbauer A., Ying L., Rothery A.M., Korchev Y.E., Klenerman D.",00032700,"Analytical Chemistry",74, 11,3,0,0,0,1,4
2002,"High-resolution scanning patch-clamp: new insights into cell function.","Gu Y., Gorelik J., Spohr H.A., Shevchuk A., Lab M.J., Harding S.E., Vodyanoy I., Klenerman D., Korchev Y.E.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",16, 7,12,1,3,4,1,17
2002,"Programmable delivery of DNA through a nanopipet","Ying L., Bruckbauer A., Rothery A.M., Korchev Y.E., Klenerman D.",00032700,"Analytical Chemistry",74, 6,19,2,4,6,2,27
2001,"Diode-like single-ion track membrane prepared by electro-stopping","Apel P.Yu, Korchev Yu.E, Siwy Z., Spohr R., Yoshida M.",0168583X,"Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms",184, 3,52,26,27,53,14,119
2001,"Simultaneous measurement of Ca2+ and cellular dynamics: Combined scanning ion conductance and optical microscopy to study contracting cardiac myocytes","Shevchuk A.I., Gorelik J., Harding S.E., Lab M.J., Klenerman D., Korchev Y.E.",00063495,"Biophysical Journal",81, 3,24,1,7,8,6,38
2001,"The bile acid taurocholate impairs rat cardiomyocyte function: A proposed mechanism for intra-uterine fetal death in obstetric cholestasis","Williamson C., Gorelik J., Eaton B.M., Lab M., De Swiet M., Korchev Y.",01435221,"Clinical Science",100, 4,25,5,5,10,3,38
2000,"Functional localization of single active ion channels on the surface of a living cell","Korchev Y.E., Negulyaev Y.A., Edwards C.R.W., Vodyanoy I., Lab M.J.",14657392,"Nature Cell Biology",2, 9,33,1,5,6,3,42
2000,"Hybrid scanning ion conductance and scanning near-field optical microscopy for the study of living cells","Korchev Y.E., Raval M., Lab M.J., Gorelik J., Edwards C.R.W., Rayment T., Klenerman D.",00063495,"Biophysical Journal",78, 5,20,2,0,2,3,25
2000,"Cell volume measurement using scanning ion conductance microscopy","Korchev Y.E., Gorelik J., Lab M.J., Sviderskaya E.V., Johnston C.L., Coombes C.R., Vodyanoy I., Edwards C.R.W.",00063495,"Biophysical Journal",78, 1,22,4,4,8,7,37
1999,"Ion current fluctuations in artificial ion track pores - Power spectrum and generalized entropy","Wolf A., Siwy Z., Korchev Y.E., Reber N., Spohr R.",14258153,"Cellular and Molecular Biology Letters",4, 4,6,0,0,0,0,6
1998,"A conserved tryptophan in pneumolysin is a determinant of the characteristics of channels formed by pneumolysin in cells and planar lipid bilayers","Korchev Y.E., Bashford C.L., Pederzolli C., Pasternak C.A., Morgan P.J., Andrew P.W., Mitchell T.J.",02646021,"Biochemical Journal",329, 3,27,2,7,9,0,36
1997,"Specialized scanning ion-conductance microscope for imaging of living cells","Korchev Y.E., Milovanovic M., Bashford C.L., Bennett D.C., Sviderskaya E.V., Vodyanoy I., Lab M.J.",00222720,"Journal of Microscopy",188, 1,20,2,4,6,5,31
1997,"A novel explanation for fluctuations of ion current through narrow pores","Korchev Y.E., Bashford C.L., Alder G.M., Apel P.Y., Edmonds D.T., Lev A.A., Nandi K., Zima A.V., Pasternak C.A.",08926638,"FASEB Journal",11, 7,23,3,5,8,2,33
1996,"Pore formation by S. aureus ?-toxin in liposomes and planar lipid bilayers: Effects of nonelectrolytes","Bashford C.L., Alder G.M., Fulford L.G., Korchev Y.E., Kovacs E., MacKinnon A., Pederzolli C., Pasternak C.A.",00222631,"Journal of Membrane Biology",150, 1,12,0,0,0,0,12
1995,"Nuclear track-etched filters as model pores for biological membranes","Pasternak C.A., Pitt C.W., Rostovtseva T.K., Zhitariuk N.I., Alder G.M., Apel P.Yu., Bashford C.L., Edmonds D.T., Korchev Y.E., Lev A.A., Lowe G., Milovanovich M.",13504487,"Radiation Measurements",25, 1-4,14,2,1,3,0,17
1995,"Low conductance states of a single ion channel are not 'closed'","Korchev Y.E., Bashford C.L., Alder G.M., Kasianowicz J.J., Pasternak C.A.",00222631,"Journal of Membrane Biology",147, 3,41,1,1,2,1,44
1995,"Model pores for biological membranes: the properties of track-etched membranes","Pasternak C.A., Alder G.M., Apel P.Y., Bashford C.L., Korchev Y.E., Lev A.A., Rostovtseva T.K., Zhitariuk N.I.",0168583X,"Nuclear Inst. and Methods in Physics Research, B",105, 1-4,11,0,1,1,0,12
1995,"Staphylococcus aureus alpha-toxin-induced pores: Channel-like behavior in lipid bilayers and patch clamped cells","Korchev Y.E., Alder G.M., Bakhramov A., Bashford C.L., Joomun B.S., Sviderskaya E.V., Usherwood P.N.R., Pasternak C.A.",00222631,"Journal of Membrane Biology",143, 2,25,1,1,2,1,28
1995,"Erratum: Staphylococcus aureus alpha-toxin-induced pores: Channel-like behaviour in lipid bilayers and patch clamped cells (The Journal of Membrane Biology (1995) Vol. 143:2 (pp 143-151))","Korchev Y.E., Alder G.M., Bakhramov A., Bashford C.L., Joomun B.S., Sviderskaya E.V., Usherwood P.N.R., Pasternak C.A.",00222631,"Journal of Membrane Biology",144, 2,0,0,0,0,0,0
1994,"The major secreted product of the whipworm, Trichuris, is a pore-forming protein","Drake L., Korchev Y., Bashford L., Djamgoz M., Wakelin D., Ashall F., Bundy D.",09628436,"Proceedings of the Royal Society B: Biological Sciences",257, 1350,24,0,3,3,0,27
1993,"Modulation of surface flow by divalent cations and protons","Pasternak C.A., Bashford C.L., Korchev Y.E., Rostovtseva T.K., Lev A.A.",09277757,"Colloids and Surfaces A: Physicochemical and Engineering Aspects",77, 2,26,2,2,4,1,31
1993,"Rapid switching of ion current in narrow pores: Implications for biological ion channels","Lev A.A., Korchev Y.E., Rostovtseva T.K., Bashford C.L., Edmonds D.T., Pasternak C.A.",09628436,"Proceedings of the Royal Society B: Biological Sciences",252, 1335,35,6,9,15,3,53
1992,"Membrane damage: Common mechanisms of induction and prevention","Pasternak C.A., Alder G.M., Bashford C.L., Korchev Y.E., Pederzolli C., Rostovtseva T.K.",09208534,"FEMS Microbiology Immunology",105, 1-3,7,1,1,2,0,9
1992,"Sterol specific inactivation of gramicidin A induced membrane cation permeability","Schagina L.V., Korchev Y.E., Grinfeldt A.E., Lev A.A., Blasko K.",00052736,"Biochimica et Biophysica Acta - Biomembranes",1109, 1,14,1,0,1,0,15
1992,"Differential sensitivity of pneumolysin-induced channels to gating by divalent cations","Korchev Y.E., Bashford C.L., Pasternak C.A.",00222631,"Journal of Membrane Biology",127, 3,12,2,0,2,0,14
1989,"Cholesterol-dependent gramicidin A channel inactivation in red blood cell membranes and lipid bilayer membranes","Schagina L.V., Blasko K., Grinfeldt A.E., Korchev Y.E., Lev A.A.",00052736,"Biochimica et Biophysica Acta - Biomembranes",978, 1,9,1,0,1,0,10
