,"Authors: Hodes, Matthew; Hodes, Matthew; Hodes, Matthew Edward; Hodes, Matthew",,,,,,,,,,,
2004,"Venezuelan kindreds reveal that genetic and environmental factors modulate Huntington's disease age of onset","Wexler N.S., Gayan J., Brocklebank D., Cherny S.S., Cardon L.R., Gray J., Dlouhy S.R., Wiktorski S., Hodes M.E., Conneally P.M., Penney J.B., Lorimer J., Gusella J., Cha J.-H., Irizarry M., Rosas D., Hersch S., Hollingsworth Z., MacDonald M., Young A.B., Andresen J.M., Housman D.E., Porter J., Mieja De Young M., Bonilla E., Stillings T., Negrette A., Snodgrass S.R., Martinez-Jaurrieta M.D., Ramos-Arroyo M.A., Bickham J., Ramos J.S., Marshall F., Gomez F., Shoulson I., Rey G.J., Feigin A., Arnheim N., Acevedo-Cruz A., Acosta L., Alvir J., Fischbeck K., Thompson L.M., Young A., Moskowitz C., Dure L., O'Brien C.J., Paulsen J., Brickman A., Krch D., Peery S., Hogarth P., Higgins Jr. D.S., Landwehrmeyeri B., Shackell E., Marder K., Penchaszadeh G., Roberts S.A.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",101, 10,49,24,18,42,18,109
2002,"Evaluation of psychological symptoms among presymptomatic HD gene carriers as measured by selected MMPI scales","Close Kirkwood S., Siemers E., Viken R.J., Hodes M.E., Conneally P.M., Christian J.C., Foroud T.",00223956,"Journal of Psychiatric Research",36, 6,1,5,0,5,1,7
2002,"Longitudinal personality changes among presymptomatic Huntington disease gene carriers","Kirkwood S.C., Siemers E., Viken R., Hodes M.E., Conneally P.M., Christian J.C., Foroud T.",0894878X,"Neuropsychiatry, Neuropsychology and Behavioral Neurology",15, 3,6,6,6,12,0,18
2002,"Implications for psychiatric services of chronic civilian strife: Young refugees in the UK","Hodes M.",13555146,"Advances in Psychiatric Treatment",8, 5,8,1,0,1,1,10
2002,"Three key issues for young refugees' mental health","Hodes M.",13634615,"Transcultural Psychiatry",39, 2,3,1,0,1,1,5
2002,"The treatment of refugees: Service provision reflects Britain's ambivalence","Hodes M., Goldberg D.",09556036,"Psychiatric Bulletin",26, 1,4,0,0,0,0,4
2001,"Health needs of asylum seekers and refugees [2] (multiple letters)","Hodes M., MacDonald B.K., Mummery C.J., Heaney D.",09598146,"British Medical Journal",323, 7306,2,1,0,1,0,3
2000,"Subtle changes among presymptomatic carriers of the Huntington's disease gene","Kirkwood S.C., Siemers E., Hodes M.E., Conneally P.M., Christian J.C., Foroud T.",00223050,"Journal of Neurology Neurosurgery and Psychiatry",69, 6,23,10,8,18,4,45
2000,"The Eating Disorder Inventory as an instrument to explore change in adolescents in family therapy for anorexia nervosa","Dare C., Chania E., Eisler I., Hodes M., Dodge E.",10724133,"European Eating Disorders Review",8, 5,2,1,0,1,0,3
2000,"Family therapy for adolescent anorexia nervosa: The results of a controlled comparison of two family interventions","Eisler I., Dare C., Hodes M., Russell G., Dodge E., Grange D.L.",00219630,"Journal of Child Psychology and Psychiatry and Allied Disciplines",41, 6,78,20,16,36,9,123
2000,"Maternal expressed emotion and treatment compliance of children with epilepsy","Otero S., Hodes M.",00121622,"Developmental Medicine and Child Neurology",42, 9,10,2,0,2,1,13
2000,"Additional copies of the proteolipid protein gene causing Pelizaeus- Merzbacher disease arise by separate integration in to the X chromosome","Hodes M.E., Thomas I.T., Crandall K., Dlouhy S.R., Malcolm S., Woodward K., Spinner N.B., Emanuel B.S., Enrico-Simon A., Kamholz J., Stambolian D., Zackai E.H., Pratt V.M.",00029297,"American Journal of Human Genetics",67, 1,24,1,1,2,0,26
2000,"A school-based mental health service for refugee children","O'Shea B., Hodes M., Down G., Bramley J.",13591045,"Clinical Child Psychology and Psychiatry",5, 2,5,2,2,4,3,12
2000,"Psychopathology, adversity, and service utilization of young refugees","Howard M., Hodes M.",08908567,"Journal of the American Academy of Child and Adolescent Psychiatry",39, 3,21,5,1,6,2,29
1999,"Peripheral neuropathy caused by proteolipid protein gene mutations","Garbern J.Y., Dlouhy S., Raskind W., Bird T., Macklin W., Kamholz J., Cambi F., Lewis R., Shy M., Sima A., Kraft G., Vallat J.M., Bosch E.P., Hodes M.E.",00778923,"Annals of the New York Academy of Sciences",883, ,15,2,2,4,0,19
1999,"Maternal expressed emotion and adjustment in children with epilepsy","Hodes M., Garralda M.E., Rose G., Schwartz R.",00219630,"Journal of Child Psychology and Psychiatry and Allied Disciplines",40, 7,17,7,6,13,3,33
1999,"The assessment of expressed emotion in a standardised family interview","Hodes M., Dare C., Dodge E., Eisler I.",00219630,"Journal of Child Psychology and Psychiatry and Allied Disciplines",40, 4,10,1,1,2,0,12
1999,"Longitudinal cognitive and motor changes among presymptomatic Huntington disease gene carriers","Kirkwood S.C., Siemers E., Stout J.C., Hodes M.E., Conneally P.M., Christian J.C., Foroud T.",00039942,"Archives of Neurology",56, 5,23,7,9,16,1,40
1999,"Different mutations in the same codon of the proteolipid protein gene, PLP, may help in correlating genotype with phenotype in Pelizaeus-Merzbacher disease/X-linked spastic paraplegia (PMD/SPG2)","Hodes M.E., Dlouhy S.R., Zimmerman A.W., Aydanian A., Naidu S., Miller N.R., Garcia Oller J.L., Barker B., Aleck K.A., Hurley T.D.",01487299,"American Journal of Medical Genetics",82, 2,16,2,0,2,2,20
1998,"Hypothalamic-pituitary-gonadal axis in the mutant weaver mouse","Schwartz N.B., Szabo M., Verina T., Wei J., Dlouhy S.R., Won L., Heller A., Hodes M.E., Ghetti B.",00283835,"Neuroendocrinology",68, 6,8,2,1,3,0,11
1998,"A de novo mutation (C755T; Ser252Phe) in exon 6 of the proteolipid protein gene responsible for Pelizaeus-Merzbacher disease [3]","Hodes M.E., Aydanian A., Dlouhy S.R., Whelan D.T., Heshka T., Ronen G.",00099163,"Clinical Genetics",54, 3,0,0,0,0,0,0
1998,"Very early-onset bulimia nervosa: Report of two cases","Stein S., Chalhoub N., Hodes M.",02763478,"International Journal of Eating Disorders",24, 3,9,1,0,1,0,10
1998,"Characterization of murine Girk2 transcript isoforms: Structure and differential expression","Wei J., Hodes M.E., Piva R., Feng Y., Wang Y., Ghetti B., Dlouhy S.R.",08887543,"Genomics",51, 3,22,0,2,2,0,24
1998,"X-linked spastic paraplegia due to a mutation (C506T; Ser169Phe) in exon 4 of the proteolipid protein gene (PLP)","Hodes M.E., Hadjisavvas A., Butler I.J., Aydanian A., Dlouhy S.R.",01487299,"American Journal of Medical Genetics",75, 5,6,0,0,0,0,6
1997,"A male child with the rumpshaker mutation, X-linked spastic paraplegia/Pelizaeus-Merzbacher disease and lysinuria","Naidu S., Dlouhy S.R., Geraghty M.T., Hodes M.E.",01418955,"Journal of Inherited Metabolic Disease",20, 6,7,1,0,1,0,8
1997,"Diverse cell death pathways result from a single missense mutation in weaver mouse","Migheli A., Piva R., Wei J., Attanasio A., Casolino S., Hodes M.E., Dlouhy S.R., Bayer S.A., Ghetti B.",00029440,"American Journal of Pathology",151, 6,25,3,1,4,0,29
1997,"Introduction to molecular genetics","Hodes M.E.",07357907,"Cancer Investigation",15, 4,0,0,0,0,0,0
1997,"Family with Pelizaeus-Merzbacher disease/X-linked spastic paraplegia and a nonsense mutation in exon 6 of the proteolipid protein gene","Bond C., Si X., Crisp M., Wong P., Paulson G.W., Boesel C.P., Dlouhy S.R., Hodes M.E.",01487299,"American Journal of Medical Genetics",71, 3,7,2,0,2,1,10
1997,"In situ hybridization analysis of Girk2 expression in the developing central nervous system in normal and weaver mice","Wei J., Ghetti B., Dlouhy S.R., Bayer S., Piva R., Verina T., Wang Y., Feng Y., Dupree B., Hodes M.E.",00223069,"Journal of Neuropathology and Experimental Neurology",56, 7,21,0,0,0,0,21
1997,"Proteolipid protein is necessary in peripheral as well as central myelin","Garbern J.Y., Kraft G., Chen K.L., Joshi I., Leonard D.G.B., Johnson W., Raskind W., Dlouhy S.R., Pratt V., Hodes M.E., Bird T., Cambi F., Kamholz J., Tang X.-M., Sima A.A.F., Vallat J.M., Bosch E.P., Lewis R., Shy M., Sohi J.",08966273,"Neuron",19, 1,61,4,2,6,1,68
1997,"Nonsense mutation in exon 3 of the proteolipid protein gene (PLP) in a family with an unusual form of pelizaeus-merzbacher disease","Hodes M.E., Blank C.A., Pratt V.M., Morales J., Napier J., Dlouhy S.R.",01487299,"American Journal of Medical Genetics",69, 2,24,3,1,4,1,29
1997,"Children of mothers with eating disorders: A preliminary study","Hodes M., Timimi S., Robinson P.",10724133,"European Eating Disorders Review",5, 1,7,2,2,4,1,12
1997,"Adult psychiatrists' knowledge of the adjustment of children whose mothers have eating disorders","Berg B., Hodes M.",10724133,"European Eating Disorders Review",5, 1,4,0,0,0,0,4
1997,"Introduction to the introduction","Hodes M.E.",07357907,"Cancer Investigation",15, 4,0,0,0,0,0,0
1996,"Adult-onset neurodegenerative disorder due to proteolipid protein gene mutation in the mother of a man with Pelizaeus-Merzbacher disease","Nance M.A., Boyadjiev S., Pratt V.M., Taylor S., Hodes M.E., Dlouhy S.R.",00283878,"Neurology",47, 5,17,1,2,3,0,20
1996,"Phenotypic effects of the weaver gene are evident in the embryonic cerebellum but not in the ventral midbrain","Bayer S.A., Wills K.V., Wei J., Feng Y., Dlouhy S.R., Hodes M.E., Verina T., Ghetti B.",01653806,"Developmental Brain Research",96, 1-2,15,1,0,1,1,17
1996,"Direct cDNA selection with DNA microdissected from mouse chromosome 16: Isolation of novel clones and construction of a partial transcription map of the C3-C4 region","Wei J., Hodes M.E., Wang Y., Feng Y., Ghetti B., Dlouhy S.R.",10549803,"Genome Research",6, 8,4,0,1,1,0,5
1996,"Improved procedure for eluting DNA from dried blood spots","Yang M., Hendrie H.C., Hall K.S., Oluwole O.S.A., Hodes M.E., Sahota A.",00099147,"Clinical Chemistry",42, 7,7,1,1,2,1,10
1996,"The weaver mutation changes the ion selectivity of the affected inwardly rectifying potassium channel GIRK2","Tong Y., Wei J., Zhang S., Strong J.A., Dlouhy S.R., Hodes M.E., Ghetti B., Yu L.",00145793,"FEBS Letters",390, 1,37,1,0,1,0,38
1996,"The proteolipid protein gene: Double, double, . . . and trouble","Hodes M.E., Dlouhy S.R.",00029297,"American Journal of Human Genetics",59, 1,20,1,0,1,0,21
1996,"Motor changes in presymptomatic Huntington disease gene carriers","Siemers E., Foroud T., Bill D.J., Sorbel J., Norton Jr. J.A., Hodes M.E., Niebler G., Conneally P.M., Christian J.C.",00039942,"Archives of Neurology",53, 6,31,3,5,8,1,40
1996,"Direct amplification of the CAG repeat of huntingtin without amplification of CCG","Bond C.E., Hodes M.E.",00099147,"Clinical Chemistry",42, 5,9,2,2,4,2,15
1996,"Cloning a cDNA for carbonyl reductase (Cbr) from mouse cerebellum: Murine genes that express Cbr map to chromosomes 16 and 11","Jianjun W., Dlouhy S.R., Hara A., Ghetti B., Hodes M.E.",08887543,"Genomics",34, 1,10,0,1,1,0,11
1996,"Linkage mapping of microdissected clones from distal mouse chromosome 16","Wei J., Dlouhy S.R., Wang Y., Zhu J., Fitzpatrick L., Ghetti B., Hodes M.E.",07407750,"Somatic Cell and Molecular Genetics",22, 3,2,0,0,0,0,2
1996,"Cross-cultural differences in maternal evaluation of children's body shapes","Hodes M., Jones C., Davies H.",02763478,"International Journal of Eating Disorders",19, 3,7,1,1,2,0,9
1995,"Pelizaeus-Merzbacher disease caused by a de novo mutation that originated in exon 2 of the maternal great-grandfather of the propositus","Pratt V.M., Boyadjiev S., Green K., Hodes M.E., Dlouhy S.R.",01487299,"American Journal of Medical Genetics",58, 1,4,0,0,0,1,5
1995,"Cognitive scores in carriers of Huntington's disease gene compared to noncarriers","Foroud T., Siemers E., Kleindorfer D., Bill D.J., Hodes M.E., Norton J.A., Conneally P.M., Christian J.C.",03645134,"Annals of Neurology",37, 5,55,6,4,10,2,67
1995,"Girl with signs of Pelizaeus-Merzbacher disease heterozygous for a mutation in exon 2 of the proteolipid protein gene","Hodes M.E., DeMyer W.E., Pratt V.M., Edwards M.K., Dlouhy S.R.",01487299,"American Journal of Medical Genetics",55, 4,23,4,0,4,1,28
1995,"Pelizaeus-Merzbacher disease in a family of Portuguese origin caused by a point mutation in exon 5 of the proteolipid protein gene","Pratt V.M., Boyadjiev S., Dlouhy S.R., Silver K., Der Kaloustian V.M., Hodes M.E.",01487299,"American Journal of Medical Genetics",55, 4,10,0,0,0,0,10
1995,"In-frame deletion in the proteolipid protein gene of a family with Pelizaeus-Merzbacher disease","Kleindorfer D.O., Dlouhy S.R., Pratt V.M., Jones M.C., Trofatter J.A., Hodes M.E.",01487299,"American Journal of Medical Genetics",55, 4,7,0,0,0,0,7
1995,"A novel mutation in exon 3 of the proteolipid protein gene in Pelizaeus- Merzbacher disease","Pratt V.M., Naidu S., Dlouhy S.R., Marks H.G., Hodes M.E.",00283878,"Neurology",45, 2,8,0,0,0,0,8
1995,"Feeding disorders","Hodes M.",00327611,"Prescribers' Journal",35, 4,0,0,0,0,0,0
1995,"Gerstmann-Straussler-Scheinker disease with mutation at codon 102 and methionine at codon 129 of PRNP in previously unreported patients","Young K., Lennox A., Perlman S., Vinters H.V., Hodes M.E., Dlouhy S., Ghetti B., Jones C.K., Piccardo P., Lazzarini A., Golbe L.I., Zimmerman Jr. T.R., Dickson D.W., McLachlan D.C., St. George-Hyslop P.",00283878,"Neurology",45, 6,32,0,1,1,1,34
1995,"Pelizaeus-Merzbacher disease: A point mutation in exon 6 of the proteolipid protein (PLP) gene","Pratt V.M., Dlouhy S.R., Hodes M.E.",00099163,"Clinical Genetics",47, 2,5,0,0,0,0,5
1995,"Primary health care and adolescence [2]","Kramer T., Garralda M.E., Hodes M.",09598146,"British Medical Journal",311, 7018,0,0,0,0,0,0
1995,"Genetic heterogeneity of autosomal recessive limb-girdle muscular dystrophy in a genetic isolate (Amish) and evidence for a new locus","Allamand V., Beckmann J.S., Broux O., Bourg N., Richard I., Tischfield J.A., Hodes M.E., Conneally P.M., Fardeau M., Jackson C.E.",09646906,"Human Molecular Genetics",4, 3,22,1,0,1,0,23
1994,"Analysis of region-specific library constructed by sequence-independent amplification of microdissected fragments surrounding weaver (wv) gene on mouse chromosome 16","Wei J., Dlouhy S.R., Zhu J., Ghetti B., Hodes M.E.",07407750,"Somatic Cell and Molecular Genetics",20, 5,6,0,0,0,0,6
1994,"cDNA approaches to isolation of the mouse mutant weaver gene","Hodes M.E., Dlouhy S.R., Wei J.J., Wang Y., Sangameswaran L., Lazar V., Triarhou L.C., Ghetti B.",03643190,"Neurochemical Research",19, 11,1,0,0,0,0,1
1994,"Novel cDNA clones obtained by antibody screening of a mouse cerebellar cDNA expression library","Kambouris M., Triarhou L.C., Dlouhy S.R., Sangameswaran L., Luo F., Ghetti B., Hodes M.E.",0169328X,"Molecular Brain Research",25, 3-4,1,0,1,1,0,2
1994,"Molecular characterization of a novel cDNA from murine cerebellum, developmental expression, and distribution in brain","Kambouris M., Sangameswaran L., Triarhou L.C., Kozak C.A., Dlouhy S.R., Ghettii B., Hodes M.E.",0169328X,"Molecular Brain Research",25, 3-4,1,0,0,0,0,1
1994,"Family Therapy and Eating Disorders, Institute of Family Therapy 21st January 1994","Pugh K., Hodes M.",10724133,"European Eating Disorders Review",2, 3,0,0,0,0,0,0
1994,"Future of inpatient adolescent psychiatric units [7]","Behr H., Hodes M.",09598146,"British Medical Journal",309, 6960,0,0,0,0,0,0
1994,"Possible localization of a major gene for cleft lip and palate to 4q","Beiraghi S., Foroud T., Diouhy S., Bixler D., Conneally P.M., Delozier-Blanchet D., Hodes M.E.",00099163,"Clinical Genetics",46, 3,36,2,1,3,5,44
1993,"Genetics of Pelizaeus-Merzbacher disease","Hodes M.E., Pratt V.M., Dlouhy S.R.",03785866,"Developmental Neuroscience",15, 6,76,0,1,1,2,79
1993,"Cellular distribution of the RNA transcripts of a newly discovered gene in the brain of normal, weaver, Purkinje cell degeneration and reeler mutant mice as evidenced by in situ hybridization histochemistry","Kambouris M., Sangameswaran L., Dlouhy S.R., Hodes M.E., Ghetti B., Triarhou L.C.",0169328X,"Molecular Brain Research",18, 4,1,1,0,1,0,2
1993,"Anorexia nervosa and bulimia nervosa in children","Hodes M.",09540261,"International Review of Psychiatry",5, 1,4,1,0,1,0,5
1993,"Expressed emotion in the investigation of eating disorders: A review","Hodes M., Le Grange D.",02763478,"International Journal of Eating Disorders",13, 3,17,0,2,2,0,19
1993,"Linkage of a new mutation in the proteolipid protein (PLP) gene to Pelizaeus-Merzbacher disease (PMD) in a large Finnish kindred","Pratt V.M., Kiefer J.R., Lahdetie J., Schleutker J., Hodes M.E., Dlouhy S.R.",00029297,"American Journal of Human Genetics",52, 6,8,0,0,0,0,8
1993,"Limb-girdle muscular dystrophy is closely linked to the fibrillin locus on chromosome 15.","Velinov M., Sarfarazi M., Young K., Hodes M.E., Conneally P.M., Jackson C.E., Tsipouras P.",03008207,"Connective Tissue Research",29, 1,1,0,0,0,0,1
1992,"A non-organic and non-enzymatic extraction method gives higher yields of genomic DNA from whole-blood samples than do nine other methods tested","Lahiri D.K., Bye S., Nurnberger Jr. J.I., Hodes M.E., Crisp M.",0165022X,"Journal of Biochemical and Biophysical Methods",25, 4,79,10,6,16,9,104
1992,"Familial occurrence of renal and Mullerian duct hypoplasia, craniofacial anomalies, severe growth and developmental delay","Davee M.A., Moore C.A., Bull M.J., Hodes M.E.",01487299,"American Journal of Medical Genetics",44, 3,2,0,0,0,0,2
1992,"Confirmation of linkage of limb-girdle muscular dystrophy, type 2, to chromosome 15","Young K., Foroud T., Williams P., Jackson C.E., Beckmann J.S., Cohen D., Conneally P.M., Tischfield J., Hodes M.E.",08887543,"Genomics",13, 4,23,0,0,0,0,23
1992,"New variant in exon 3 of the proteolipid protein (PLP) gene in a family with Pelizaeus-Merzbacher disease","Pratt V.M., Trofatter J.A., Larsen M.B., Hodes M.E., Dlouhy S.R.",01487299,"American Journal of Medical Genetics",43, 3,7,1,0,1,0,8
1992,"Mutant prion proteins in Gerstmann-Sträussler-Scheinker disease with neurofibrillary tangles","Hsiao K., Dlouhy S.R., Farlow M.R., Cass C., Da Costa M., Conneally P.M., Hodes M.E., Ghetti B., Prusiner S.B.",10614036,"Nature Genetics",1, 1,84,2,5,7,1,92
1992,"Linkage of the Indiana kindred of Gerstmann-Sträussler-Scheinker disease to the prion protein gene","Dlouhy S.R., Hsiao K., Farlow M.R., Foroud T., Conneally P.M., Johnson P., Prusiner S.B., Hodes M.E., Ghetti B.",10614036,"Nature Genetics",1, 1,88,3,5,8,2,98
1992,"Minimum qualifications for directors: DNA-based genetic-testing laboratories [10]","Murphy P., Thibodeau S., Venne V., Wilson V., Zonana J., Amos J., Carpenter N., Fenwick R., Hodes M.E., Kelly T., Matteson K., Seltzer W., Spence J.E.",00029297,"American Journal of Human Genetics",51, 4,3,0,0,0,0,3
1992,"Early onset bulimia nervosa: Who is at risk? A retrospective case-control study","Schmidt U., Hodes M., Treasure J.",00332917,"Psychological Medicine",22, 3,11,0,0,0,0,11
1991,"Ahall polymorphism in human X-linked proteolipid protein gene (PLP)","Trofatter J.A., Pratt V.M., Dlouhy S.R., Hodes M.E.",03051048,"Nucleic Acids Research",19, 21,13,0,0,0,0,13
1991,"Screening and isolation of the cerebellar specific expressed mRNA in mouse: subtractive hybridization by phenol emulsion reassociation technique","Wei J.J., Hofstetter R.J., Hodes M.E.",03794172,"Acta Genetica Sinica",18, 4,1,0,0,0,0,1
1991,"A new mutation in the proteolipid protein (PLP) gene in a German family with Pelizaeus-Merzbacher disease","Pratt V.M., Trofatter J.A., Schinzel A., Dlouhy S.R., Conneally P.M., Hodes M.E.",01487299,"American Journal of Medical Genetics",38, 1,9,0,0,0,0,9
1991,"Family therapy for anorexia nervosa in adolescence: A review","Hodes M., Eisler I., Dare C.",01410768,"Journal of the Royal Society of Medicine",84, 6,1,0,0,0,0,1
1990,"Overdosing as communication: a cultural perspective","Hodes M.",00071129,"British Journal of Medical Psychology",63, 4,4,0,0,0,0,4
1990,"Coupled reverse transcription-polymerase chain reaction (RT-PCR) as a sensitive and rapid method for isozyme genotyping","Mocharla H., Mocharla R., Hodes M.E.",03781119,"Gene",93, 2,51,2,1,3,0,54
1990,"?-Amylase gene transcription in tissues of normal dog","Mocharla H., Mocharla R., Hodes M.E.",03051048,"Nucleic Acids Research",18, 4,4,0,1,1,0,5
1989,"Pelizaeus-Merzbacher disease: Tight linkage to proteolipid protein gene exon variant","Trofatter J.A., Dlouhy S.R., DeMyer W., Conneally P.M., Hodes M.E.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",86, 23,28,2,1,3,1,32
1988,"Amylase expression in human parotid neoplasms: Evidence by in situ hybridization for lack of transcription of the amylase gene","Morley D.J., Hodes M.E.",00221554,"Journal of Histochemistry and Cytochemistry",36, 5,5,0,0,0,0,5
1988,"Localization of the gene for X-linked nephrogenic diabetes insipidus to Xq28","Kambouris M., Dlouhy S.R., Trofatter J.A., Conneally P.M., Hodes M.E.",01487299,"American Journal of Medical Genetics",29, 1,13,0,1,1,0,14
1987,"A novel, sensitive fluorometric staining technique for the detection of DNA in RNA preparations.","Mocharla R., Mocharla H., Hodes M.E.",03051048,"Nucleic Acids Research",15, 24,1,0,0,0,0,1
1987,"Craniofacial pattern profile (CFPP) evaluation of facial dysmorphology in a familial syndrome with corneal anesthesia and multiple congenital anomalies","Saksena S.S., Ramos-Arroyo M.A., Hodes M.E.",00029483,"American Journal of Physical Anthropology",74, 4,1,0,0,0,0,1
1987,"Urorectal septum malformation sequence. Report of six cases and embryological analysis","Escobar L.F., Weaver D.D., Bixler D., Hodes M.E., Mitchell M.",0002922X,"American Journal of Diseases of Children",141, 9,26,2,2,4,3,33
1987,"X-linked recessive inheritance of ataxia and adult-onset dementia: Clinical features and preliminary linkage analysis","Farlow M.R., DeMeyer W., Dlouhy S.R., Hodes M.E.",00283878,"Neurology",37, 4,6,0,0,0,0,6
1987,"In situ localization of amylase mRNA and protein. An investigation of amylase gene activity in normal human parotid gland","Morley D.J., Hodes M.E.",00221554,"Journal of Histochemistry and Cytochemistry",35, 1,1,0,0,0,0,1
1987,"Identification of a human salivary amylase gene. Partial sequence of genomic DNA suggests a mode of regulation different from that of mouse, Amy","Handy D.E., Larsen S.H., Karn R.C., Hodes M.E.",07351313,"Molecular Biology and Medicine",4, 3,2,0,0,0,0,2
1986,"Congenital corneal anesthesia with retinal abnormalities, deafness, unusual facies, persistent ductus arteriosus, and mental retardation: A new syndrome?","Ramos-Arroyo M.A., Clark G.G., Saksena S.S., Hodes M.E.",01487299,"American Journal of Medical Genetics",26, 2,2,0,1,1,0,3
1986,"Pancreatic amylase expression in human pancreatic development","Davis M.M., Hodes M.E., Munsick R.A.",0272457X,"Hybridoma",5, 2,1,0,0,0,0,1
1985,"An amylase-producing serous cystadenocarcinoma of the ovary","Hodes M.E., Sisk C.J., Karn R.C.",00302414,"Oncology",42, 4,4,2,1,3,0,7
1984,"New syndrome: Renal dysplasia, mesomelia, and radiohumoral fusion","Ulbright C.E., Hodes M.E., Ulbright T.M.",01487299,"American Journal of Medical Genetics",17, 3,3,1,0,1,1,5
1984,"Sialic acid residues contribute to the heterogeneity of human serum ribonuclease: Demonstration by isoelectric focusing and neuraminidase treatment of serum","Thomas J.M., Crisp M., Hodes M.E.",00098981,"Clinica Chimica Acta",142, 1,1,0,0,0,0,1
1984,"Human pancreatic alpha-amylase cDNA: Cloning and comparative mapping","Wise R.J., Karn R.C., Larsen S.L., Hodes M.E.",00149446,"Federation Proceedings",43, 6,0,0,0,0,0,0
1984,"A comparative kinetic analysis of six substrates widely used for the detection and quantitation of phosphodiesterase I","Hawley D.M., Schulz A.R., Hodes M.E.",00139432,"Enzyme",32, 2,1,0,0,0,0,1
