,"Author: Briggs, David J.",,,,,,,,,,,
2008,"A detailed evaluation of the individual health benefits arising in a domestic property following radon remediation - a case-study in Northamptonshire, U.K.","Denman A.R., Briggs D.J., Allison C.C., Groves-Kirkby C.J., Phillips P.S., Crockett R.G.M.",0265931X,"Journal of Environmental Radioactivity",99, 7,0,0,0,0,0,0
2008,"Variation in iron homeostasis genes between patients with ARDS and healthy control subjects","Lagan A.L., Du Bois R.M., Welsh K.I., Evans T.W., Quinlan G.J., Mumby S., Melley D.D., Goldstraw P., Bellingan G.J., Hill M.R., Briggs D., Pantelidis P.",00123692,"Chest",133, 6,0,0,2,2,3,5
2008,"New choices for patient needing kidney transplantation across antibody barriers","Higgins R., Hathaway M., Lowe D., Zehnder D., Krishna N., Hamer R., Briggs D.",17556678,"Journal of Renal Care",34, 2,0,0,0,0,0,0
2008,"Chlorination disinfection by-products and risk of congenital anomalies in England and Wales","Nieuwenhuijsen M.J., Dattani N., Fawell J., Briggs D., Jarup L., Elliott P., Toledano M.B., Bennett J., Best N., Hambly P., de Hoogh C., Wellesley D., Boyd P.A., Abramsky L.",00916765,"Environmental Health Perspectives",116, 2,0,0,2,2,1,3
2008,"Effects of travel mode on exposures to particulate air pollution","Briggs D.J., de Hoogh K., Morris C., Gulliver J.",01604120,"Environment International",34, 1,0,0,0,0,6,6
2007,"Long-term associations of outdoor air pollution with mortality in Great Britain","Elliott P., Shaddick G., Wakefield J.C., De Hoogh C., Briggs D.J.",00406376,"Thorax",62, 12,0,1,4,5,4,9
2007,"Down syndrome in births near landfill sites","Jarup L., Morris S., Richardson S., Briggs D., Cobley N., De Hoogh C., Gorog K., Elliott P.",01973851,"Prenatal Diagnosis",27, 13,0,0,0,0,2,2
2007,"Journey-time exposure to particulate air pollution","Gulliver J., Briggs D.J.",13522310,"Atmospheric Environment",41, 34,0,0,1,1,6,7
2007,"Bayesian analysis of the multivariate geographical distribution of the socio-economic environment in England","Abellan J.J., Fecht D., Best N., Richardson S., Briggs D.J.",11804009,"Environmetrics",18, 7,0,0,0,0,1,1
2007,"Blood levels of donor-specific human leukocyte antigen antibodies after renal transplantation: Resolution of rejection in the presence of circulating donor-specific antibody","Higgins R., Chen K., Krishnan N., Hamer R., Briggs D., Hathaway M., Lowe D., Lam F., Kashi H., Tan L.C., Imray C., Fletcher S., Zehnder D.",00411337,"Transplantation",84, 7,0,0,8,8,13,21
2007,"Risk response to environmental hazards to health - Towards an ecological approach","Briggs D., Stern R.",13669877,"Journal of Risk Research",10, 5,0,0,1,1,1,2
2007,"Dasymetric modelling of small-area population distribution using land cover and light emissions data","Briggs D.J., Gulliver J., Fecht D., Vienneau D.M.",00344257,"Remote Sensing of Environment",108, 4,0,1,0,1,1,2
2007,"Response to the letter to the editor [2]","Briggs D., Krzyzanowski M., Vineis P.",00207136,"International Journal of Cancer",120, 8,0,0,0,0,0,0
2007,"Census data issues for epidemiology and health risk assessment: Experiences from the Small Area Health Statistics Unit","Briggs D., Fecht D., De Hoogh K.",09641998,"Journal of the Royal Statistical Society. Series A: Statistics in Society",170, 2,0,2,1,3,2,5
2007,"Interactive visualization of uncertain spatial and spatio-temporal data under different scenarios: An air quality example","Pebesma E.J., de Jong K., Briggs D.",13658816,"International Journal of Geographical Information Science",21, 5,0,1,0,1,3,4
2007,"The use of GIS to evaluate traffic-related pollution","Briggs D.J.",13510711,"Occupational and Environmental Medicine",64, 1,0,1,3,4,3,7
2006,"Surface analysis of ancient glass artefacts with ToF-SIMS: A novel tool for provenancing?","Rutten F.J.M., Roe M.J., Henderson J., Briggs D.",01694332,"Applied Surface Science",252, 19,0,1,1,2,0,2
2006,"Mapping for wheelchair users: Route navigation in urban spaces","Beale L., Field K., Briggs D., Picton P., Matthews H.",00087041,"Cartographic Journal",43, 1,0,3,3,6,3,9
2006,"ABO-incompatible live donor renal transplantation using blood group A/B carbohydrate antigen immunoadsorption and anti-CD20 antibody treatment","Norden G., Svalander C.T., Breimer M.E., Briggs D., Cockwell P., Lipkin G., Mjornstedt L., Molne J., Ready A., Rydberg L., Samuelsson O.",0908665X,"Xenotransplantation",13, 2,2,10,7,17,2,21
2006,"Donor KIR genotype has a major influence on the rate of cytomegalovirus reactivation following T-cell replete stem cell transplantation","Cook M., Moss P., Briggs D., Craddock C., Mahendra P., Milligan D., Fegan C., Darbyshire P., Lawson S., Boxall E.",00064971,"Blood",107, 3,7,8,11,19,6,32
2005,"The role of GIS: Coping with space (and time) in air pollution exposure assessment","Briggs D.",15287394,"Journal of Toxicology and Environmental Health - Part A",68, 13-14,3,6,7,13,7,23
2005,"Unlocking the secrets of ancient glass technology using ToF-SIMS","Rutten F., Henderson J., Briggs D.",09660941,"Spectroscopy Europe",17, 1,2,0,0,0,0,2
2005,"Time-space modeling of journey-time exposure to traffic-related air pollution using GIS","Gulliver J., Briggs D.J.",00139351,"Environmental Research",97, 1,7,5,4,9,5,21
2004,"Intellectual property rights: A grant of monopoly or an aid to competition?","Gans J.S., Williams P.L., Briggs D.",00049018,"Australian Economic Review",37, 4,0,1,0,1,0,1
2004,"Personal exposure to particulate air pollution in transport microenvironments","Gulliver J., Briggs D.J.",13522310,"Atmospheric Environment",38, 1,15,10,12,22,7,44
2003,"Environmental pollution and the global burden of disease","Briggs D.",00071420,"British Medical Bulletin",68, ,6,3,5,8,5,19
2003,"No excess risk of adverse birth outcomes in populations living near special waste landfill sites in Scotland","Morris S.E., Thompson A.O.W., Jarup L., de Hoogh C., Briggs D.J., Elliott P.",00369330,"Scottish Medical Journal",48, 4,6,2,2,4,3,13
2003,"A model to estimate the oestrogen receptor mediated effects from exposure to soy isoflavones in food","Safford B., Dickens A., Halleron N., Briggs D., Carthew P., Baker V.",02732300,"Regulatory Toxicology and Pharmacology",38, 2,5,2,2,4,3,12
2003,"Utility of historical vehicle-control data in the interpretation of the local lymph node assay","Basketter D.A., Gilmour N.J., Briggs D., Ullmann L.G., Gerberick G.F., Ryan C.A., Dearman R.J., Kimber I.",01051873,"Contact Dermatitis",49, 1,3,4,1,5,0,8
2003,"Monitoring real-time vehicle performance and emissions","Ochieng W.Y., Randolph W., Polak J.W., Noland R.B., Zhao L., Briggs D., Gulliver J., Crookell A., Evans R., Walker M.",00410683,"Traffic Engineering and Control",44, 3,1,0,0,0,0,1
2003,"Modelling Access with GIS in Urban Systems (MAGUS): Capturing the experiences of wheelchair users","Matthews H., Beale L., Picton P., Briggs D.",00040894,"Area",35, 1,4,1,2,3,1,8
2003,"Time activity modelling of domestic exposures to radon","Briggs D.J., Denman A.R., Gulliver J., Marley R.F., Kennedy C.A., Philips P.S., Field K., Crockett R.M.",03014797,"Journal of Environmental Management",67, 2,9,3,2,5,1,15
2002,"Placing the right value on public servants.","Briggs D.",14624753,"British journal of community nursing",7, 12,0,0,0,0,0,0
2002,"Cancer risks in populations living near landfill sites in Great Britain","Jarup L., Elliott P., Briggs D., De Hoogh C., Morris S., Hurt C., Lewin A., Maitland I., Richardson S., Wakefield J.",00070920,"British Journal of Cancer",86, 11,7,1,3,4,1,12
2001,"Outdoor sulphur dioxide and respiratory symptoms in Czech and Polish school children: A small-area study (SAVIAH)","Pikhart H., Bobak M., Gorynski P., Wojtyniak B., Danova J., Celko M.A., Kriz B., Briggs D., Elliott P.",03400131,"International Archives of Occupational and Environmental Health",74, 8,9,5,1,6,2,17
2001,"Socio-economic and locational determinants of accessibility and utilization of primary health-care","Field K.S., Briggs D.J.",09660410,"Health and Social Care in the Community",9, 5,22,8,9,17,3,42
2001,"Risk of adverse birth outcomes in populations living near landfill sites","Elliott P., Jarup L., Briggs D., Morris S., De Hoogh C., Hurt C., Jensen T.K., Maitland I., Richardson S., Wakefield J.",09598146,"British Medical Journal",323, 7309,60,16,11,27,14,101
2001,"Statistical model for assessing the proportion of subjects with subjective sensitisations in adverse reactions to foods","Briggs D., Aspinall L., Dickens A., Bindslev-Jensen C.",01081675,"Allergy: European Journal of Allergy and Clinical Immunology, Supplement",56, 67,7,2,0,2,2,11
2000,"Air pollution and exposure modelling for short- and long-term health effects","Briggs D.J.",,"Air Quality and its Association with Human Heal Effects - An Update",, ,0,0,0,0,0,0
2000,"Effects of traffic management and transport mode on the exposure of schoolchildren to carbon monoxide","Ashmore M.R., Briggs D., Batty K., Machin F., Gulliver J., Grossinho A., Elliott P., Tate J., Bell M., Livesley E.",01676369,"Environmental Monitoring and Assessment",65, 1-2,3,0,1,1,0,4
2000,"Informing environmental health policy in urban areas: The HEADLAMP approach","Briggs D.J., Field K.",00487554,"Reviews on Environmental Health",15, 1-2,3,0,1,1,0,4
2000,"Traffic-related differences in outdoor and indoor concentrations of particles and volatile organic compounds in Amsterdam","Fischer P.H., Hoek G., Van Reeuwijk H., Briggs D.J., Lebret E., Van Wijnen J.H., Kingham S., Elliott P.E.",13522310,"Atmospheric Environment",34, 22,72,12,18,30,9,111
2000,"A regression-based method for mapping traffic-related air pollution: Application and testing in four contrasting urban environments","Briggs D.J., De Hoogh C., Gulliver J., Wills J., Elliott P., Kingham S., Smallbone K.",00489697,"Science of the Total Environment",253, 1-3,46,17,22,39,14,99
2000,"Outdoor air concentrations of nitrogen dioxide and sulfur dioxide and prevalence of wheezing in school children","Pikhart H., Bobak M., Kriz B., Danova J., Celko M.A., Prikazsky V., Pryl K., Briggs D., Elliott P.",10443983,"Epidemiology",11, 2,20,2,2,4,4,28
2000,"Spatial variations in the concentrations of traffic-related pollutants in indoor and outdoor air in Huddersfield, England","Kingham S., Briggs D., Elliott P., Fischer P., Erik Lebret",13522310,"Atmospheric Environment",34, 6,36,4,9,13,5,54
2000,"Small area variations in ambient NO2 concentrations in four European areas","Lebret E., Briggs D., Van Reeuwijk H., Fischer P., Smallbone K., Harssema H., Kriz B., Gorynski P., Elliott P.",13522310,"Atmospheric Environment",34, 2,33,6,12,18,12,63
1999,"A comparison of statistical approaches to the derivation of EC3 values from local lymph node assay dose responses","Basketter D.A., Lea L.J., Dickens A., Briggs D., Pate I., Dearman R.J., Kimber I.",0260437X,"Journal of Applied Toxicology",19, 4,70,16,19,35,8,113
1998,"Field comparison of two NO2 passive samplers to assess spatial variation","Van Reeuwijk H., Fischer P.H., Harssema H., Briggs D.J., Smallbone K., Lebret E.",01676369,"Environmental Monitoring and Assessment",50, 1,18,2,2,4,0,22
1997,"Mapping urban air pollution using GIS: A regression-based approach","Briggs D.J., Van Der Veen A., Collins S., Elliott P., Fischer P., Kingham S., Lebret E., Pryl K., Van Reeuwijk H., Smallbone K.",13658816,"International Journal of Geographical Information Science",11, 7,69,16,21,37,15,121
1997,"A positive crossmatch in liver transplantation - No effect or inappropriate analysis? A prospective study","Hathaway M., Gunson B.K., Keogh A.C., Briggs D., Mcmaster P., Neuberger J.M.",00411337,"Transplantation",64, 1,15,2,2,4,2,21
1995,"A GIS approach to modelling small area variations in air pollution within a complex urban environment","Collins S., Smallbone K., Briggs D.",,"Innovations in GIS 2",, ,1,0,0,0,0,1
1995,"Environmental statistics for environmental policy: Genealogy and data quality","Briggs D.J.",03014797,"Journal of Environmental Management",44, 1,9,0,1,1,0,10
1995,"The use of geographical information systems in studies on environment and health","Briggs D.J., Elliott P.",00438510,"World Health Statistics Quarterly",48, 2,33,2,2,4,1,38
1995,"Developing indicators for environment and health","Wills J.T., Briggs D.J.",00438510,"World Health Statistics Quarterly",48, 2,9,0,2,2,0,11
1990,"Modelling forest growth-environment relationships: theory and applications","Briggs D.J., Wickramasinghe A.",01436228,"Applied Geography",10, 3,2,0,0,0,0,2
1989,"Integrating land resource data into a European geographical information system: practicalities and problems","Briggs D., Mounsey H.",01436228,"Applied Geography",9, 1,1,0,0,0,0,1
1984,"LOG BUCKING AND LUMBER MANUFACTURING USING DYNAMIC PROGRAMMING.","Faaland Bruce, Briggs David",00251909,"Management Science",30, 2,12,2,0,2,1,15
1981,"Photoelectron spectra and electronic structure of cyanoguanidine in the gas phase and solid state","Briggs D., Guest M.F., Hillier I.H., Knight M.J., MacDowell A.A.",03009238,"Journal of the Chemical Society, Faraday Transactions 2: Molecular and Chemical Physics",77, 4,0,0,0,0,0,0
1981,"Environmental influences on the yield of spring Barley in England and Wales","Briggs D.J.",00167185,"Geoforum",12, 1,0,0,0,0,0,0
1981,"The principles and practice of applied geography","Briggs D.J.",01436228,"Applied Geography",1, 1,0,0,0,0,0,0
