,"Authors: Williams, Richard O.; Williams, Richards O.",,,,,,,,,,,
2000,"Anti-TNF alpha therapy in rheumatoid arthritis--current and future directions.","Taylor P.C., Williams R.O., Maini R.N.",14222132,"Current directions in autoimmunity",2, ,4,1,0,1,2,7
2000,"Cartilage destruction and bone erosion in arthritis: The role of tumour necrosis factor ?","Williams R.O., Feldmann M., Maini R.N.",00034967,"Annals of the Rheumatic Diseases",59, 1,25,5,3,8,1,34
2000,"Future prospects for anti-cytokine treatment","Feldmann M., Miotla J., Paleolog E., Williams R., Malfait A.-M., Taylor P., Brennan F.-M., Maini R.N.",00034967,"Annals of the Rheumatic Diseases",59, 1,9,1,2,3,1,13
2000,"A comparative study into the mechanisms of action of anti-tumor necrosis factor ?, anti-CD4, and combined anti-tumor necrosis factor ?/anti-CD4 treatment in early collagen-induced arthritis","Marinova-Mutafchieva L., Williams R.O., Mauri C., Mason L.J., Walmsley M.J., Taylor P.C., Feldmann M., Maini R.N.",00043591,"Arthritis and Rheumatism",43, 3,12,1,2,3,0,15
1999,"Combination therapy with DMARDs and biological agents in collagen- induced arthritis","Williams R.O., Malfait A.-M., Butler D.M., Walmsley M.J., Feldmann M., Maini R.N.",0392856X,"Clinical and Experimental Rheumatology",17, 6,6,0,1,1,0,7
1999,"CD44 involvement in experimental collagen-induced arthritis (CIA)","Nedvetzki S., Walmsley M., Alpert E., Williams R.O., Feldmann M., Naor D.",08968411,"Journal of Autoimmunity",13, 1,22,7,3,10,0,32
1999,"Paradoxical effects of adenovirus-mediated blockade of TNF activity in murine collagen-induced arthritis","Quattrocchi E., Walmsley M., Browne K., Williams R.O., Marinova-Mutafchieva L., Buurman W., Butler D.M., Feldmann M.",00221767,"Journal of Immunology",163, 2,58,2,1,3,0,61
1999,"Amelioration of collagen-induced arthritis and suppression of interferon-? interleukin-12, and tumor necrosis factor ? production by interferon-? gene therapy","Triantaphyllopoulos K.A., Williams R.O., Tailor H., Chernajovsky Y.",00043591,"Arthritis and Rheumatism",42, 1,56,7,6,13,5,74
1998,"Rodent models of arthritis: Relevance for human disease","Williams R.O.",00099104,"Clinical and Experimental Immunology",114, 3,14,3,1,4,0,18
1998,"Combination therapy in mice: What can we learn that may be useful for understanding rheumatoid arthritis?","Williams R.O.",03444325,"Springer Seminars in Immunopathology",20, 1-2,3,0,0,0,0,3
1998,"Therapeutic actions of cyclosporine and anti-tumor necrosis factor ? in collagen-induced arthritis and the effect of combination therapy","Williams R.O., Mauri C., Mason L.J., Marinova-Mutafchieva L., Ross S.E., Feldmann M., Maini R.N.",00043591,"Arthritis and Rheumatism",41, 10,24,1,1,2,1,27
1997,"Suppression of TNF-? Expression, Inhibition of Th1 Activity, and Amelioration of Collagen-Induced Arthritis by Rolipram","Ross S.E., Williams R.O., Mason L.J., Mauri C., Marinova-Mutafchieva L., Malfait A.-M., Maini R.N., Feldmann M.",00221767,"Journal of Immunology",159, 12,73,7,1,8,1,82
1997,"Suppression of Collagen-Induced Arthritis by Continuous Administration of IL-4","Horsfall A.C., Butler D.M., Marinova L., Warden P.J., Williams R.O., Maini R.N., Feldmann M.",00221767,"Journal of Immunology",159, 11,76,4,3,7,2,85
1997,"TNF blockade in rheumatoid arthritis: Implications for therapy and pathogenesis","Maini R.N., Elliott M., Brennan F.M., Williams R.O., Feldmann M.",09034641,"APMIS",105, 4,35,2,1,3,0,38
1997,"Dynamics of proinflammatory cytokine expression in the joints of mice with collagen-induced arthritis (CIA)","Marinova-Mutafchieva L., Williams R.O., Mason L.J., Mauri C., Feldmann M., Maini R.N.",00099104,"Clinical and Experimental Immunology",107, 3,62,9,7,16,4,82
1996,"Relationship between Th1/Th2 cytokine patterns and the arthritogenic response in collagen-induced arthritis","Mauri C., Williams R.O., Walmsley M., Feldmann M.",00142980,"European Journal of Immunology",26, 7,189,17,12,29,1,219
1996,"Anti-CD4 monoclonal antibodies suppress murine collagen-induced arthritis only at the time of primary immunisation","Williams R.O., Whyte A.",00088749,"Cellular Immunology",170, 2,11,1,2,3,0,14
1996,"Interleukin-10 inhibition of the progression of established collagen-induced arthritis","Walmsley M., Katsikis P.D., Abney E., Parry S., Williams R.O., Maini R.N., Feldmann M.",00043591,"Arthritis and Rheumatism",39, 3,173,17,6,23,3,199
1995,"TNF? is an effective therapeatic target for rheumatoid arthritis","Feldmann M., Brennan F.M., Elliott M.J., Williams R.O., Maini R.N.",00778923,"Annals of the New York Academy of Sciences",766, ,42,5,1,6,0,48
1995,"Cytokine expression and networks in rheumatoid arthritis: Rationale for anti-TNFOC antibody therapy and its mechanism of action","Feldmann M., Brennan P.M., Williams R.O., Elliott M.J., Maini R.N.",10787852,"Journal of Inflammation",47, 1-2,18,2,2,4,1,23
1995,"Monoclonal anti-TNF? antibody as a probe of pathogenesis and therapy of rheumatoid disease","Maini R.N., Elliott M.J., Brennan F.M., Williams R.O., Chu C.Q., Paleolog E., Charles P.J., Taylor P.C., Feldmann M.",01052896,"Immunological Reviews",, 144,121,4,2,6,2,129
1995,"Successful therapy of collagen-induced arthritis with TNF receptor-IgG fusion protein and combination with anti-CD4","Williams R.O., Ghrayeb J., Feldmann M., Maini R.N.",00192805,"Immunology",84, 3,64,7,5,12,1,77
1994,"Targeting TNF? for the therapy of rheumatoid arthritis","Maini R.N., Elliott M., Brennan F.M., Williams R.O., Feldmann M.",0392856X,"Clinical and Experimental Rheumatology",12, 11,16,0,1,1,0,17
1994,"High levels of anti-type II collagen IgG in West African patients with rheumatoid arthritis","Adebajo A.O., Williams R.O., Williams D.G., Hazleman B.L., Maini R.N.",0315162X,"Journal of Rheumatology",21, 12,0,0,0,0,0,0
1994,"Synergy between anti-CD4 and anti-tumor necrosis factor in the amelioration of established collagen-induced arthritis","Williams R.O., Mason L.J., Feldmann M., Maini R.N.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",91, 7,127,5,6,11,4,142
1993,"Increased limb involvement in murine collagen-induced arthritis following treatment with anti-interferon-gamma","Williams R.O., Williams D.G., Feldmann M., Maini R.N.",00099104,"Clinical and Experimental Immunology",92, 2,26,4,1,5,1,32
1993,"TNF-? in rheumatoid arthritis and prospects of anti-TNF therapy","Maini R.N., Brennan F.M., Williams R., Chu C.Q., Cope A.P., Gibbons D., Elliott M., Feldmann M.",0392856X,"Clinical and Experimental Rheumatology",11, 8,35,2,2,4,0,39
1992,"Evaluation of the role of cytokines in autoimmune disease: The importance of TNF? in rheumatoid arthritis","Feldmann M., Brennan F.M., Williams R.O., Cope A.P., Gibbons D.L., Katsikis P.D., Maini R.N.",13596101,"Cytokine and Growth Factor Reviews",4, 3,24,2,3,5,1,30
1992,"Anti-tumor necrosis factor ameliorates joint disease in murine collagen- induced arthritis","Williams R.O., Feldmann M., Maini R.N.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",89, 20,477,43,36,79,14,570
1992,"Successful transfer of collagen-induced arthritis to severe combined immunodeficient (SCID) mice","Williams R.O., Plater-Zyberk C., Williams D.G., Maini R.N.",00099104,"Clinical and Experimental Immunology",88, 3,17,0,1,1,1,19
1992,"Anti-type II collagen ELISA. Increased disease specificity following removal of anionic contaminants from salt-fractionated type II collagen","Williams R.O., Williams D.G., Maini R.N.",00221759,"Journal of Immunological Methods",147, 1,14,1,1,2,0,16
1991,"The immune response to autoantigens and viruses in rheumatic disease.","Venables P.J., Williams D.G., Horsfall A.C., Williams R.O., Stocks M.R., Maini R.N.",02637103,"British Journal of Rheumatology",30, ,2,0,0,0,0,2
1989,"A comparison of anti-type II collagen antibody titres and isotype profiles in pregnant and virgin DBA/1 mice with collagen-induced arthritis","Williams R.O., Whyte A.",01650378,"Journal of Reproductive Immunology",15, 3,0,0,1,1,0,1
1989,"Resistance to collagen-induced arthritis in DBA/1 mice by intraperitoneal administration of soluble type II collagen involves both CD4+ and CD8+ T lymphocytes","Williams R.O., Whyte A., Waldmann H.",08916934,"Autoimmunity",4, 4,4,2,0,2,1,7
1988,"Bromocriptine suppresses postpartum exacerbation of collagen-induced arthritis","Whyte A., Williams R.O.",00043591,"Arthritis and Rheumatism",31, 7,29,1,1,2,0,31
