,"Author: Stamp, Gordon W H",,,,,,,,,,,
2007,"Retroperitoneal haemorrhage in renal angiomyolipoma causing hepatic functional decompensation: A case report","Wajed J.R., Taylor-Robinson S.D., Jackson J.E., Stamp G.W.H.",17521947,"Journal of Medical Case Reports",1, ,0,0,0,0,0,0
2007,"Sexual dimorphism in superantigen shock involves elevated TNF-? and TNF-?-induced hepatic apoptosis","Faulkner L., Altmann D.M., Ellmerich S., Huhtaniemi I., Stamp G., Sriskandan S.",1073449X,"American Journal of Respiratory and Critical Care Medicine",176, 5,0,0,3,3,1,4
2007,"Aberrant regulation of argininosuccinate synthetase by TNF-? in human epithelial ovarian cancer","Szlosarek P.W., Grimshaw M.J., Wilbanks G.D., Hagemann T., Wilson J.L., Burke F., Stamp G., Balkwill F.R.",00207136,"International Journal of Cancer",121, 1,0,1,1,2,0,2
2007,"Clinical and imaging experience with yttrium-90 microspheres in the management of unresectable liver tumours","Jiao L.R., Thillainayagam A., Bansi D., Rubello D., Limongelli P., Woo K., Habib N.A., Szyszko T., Al-Nahhas A., Tait P., Canelo R., Stamp G., Wasan H., Lowdell C., Philips R.",07487983,"European Journal of Surgical Oncology",33, 5,0,2,6,8,3,11
2007,"Murine but not human mesenchymal stem cells generate osteosarcoma-like lesions in the lung","Aguilar S., Nye E., Chan J., Loebinger M., Spencer-Dene B., Fisk N., Stamp G., Bonnet D., Janes S.M.",10665099,"Stem Cells",25, 6,0,0,7,7,7,14
2007,"Binding of Ras to Phosphoinositide 3-Kinase p110? Is Required for Ras- Driven Tumorigenesis in Mice","Gupta S., Downward J., Ramjaun A.R., Haiko P., Wang Y., Warne P.H., Nicke B., Nye E., Stamp G., Alitalo K.",00928674,"Cell",129, 5,0,6,32,38,29,67
2007,"Novel zinc-based fixative for high quality DNA, RNA and protein analysis","Lykidis D., Van Noorden S., Armstrong A., Spencer-Dene B., Li J., Zhuang Z., Stamp G.W.H.",03051048,"Nucleic Acids Research",35, 12,0,0,3,3,2,5
2007,"Concordant F-18 FDG PET and Y-90 Bremsstrahlung scans depict selective delivery of Y-90-microspheres to liver tumors: Confirmation with histopathology","Tehranipour N., Al-Nahhas A., Canelo R., Stamp G., Woo K., Tait P., Gishen P.",03639762,"Clinical Nuclear Medicine",32, 5,0,1,2,3,0,3
2007,"A novel hyperspectral lifetime probe for autofluorescence","De Beule P.A.A., French P.M.W., Dunsby C., Owen D.M., Galletly N.P., Anand U., Benham C.D., Naylor A., Stamp G.W., Anand P.",16057422,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE",6433, ,0,0,0,0,0,0
2007,"Development of a hyperspectral fluorescence lifetime imaging microscope and its application to tissue imaging","Owen D.M., Munro I., Galletly N.P., Lever M.J., Stamp G.W., Anand P., Neil M.A.A., French P.M.W., Manning H.B., De Beule P., Talbot C., Requejo-Isidro J., Dunsby C., McGinty J., Benninger R.K.P., Elson D.S.",16057422,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE",6441, ,0,0,0,0,0,0
2007,"Targeted Inactivation of Fh1 Causes Proliferative Renal Cyst Development and Activation of the Hypoxia Pathway","Pollard P.J., Martin A., Igarashi P., Varsani-Brown S., Rosewell I., Poulsom R., Maxwell P., Stamp G.W., Tomlinson I.P.M., Spencer-Dene B., Shukla D., Howarth K., Nye E., El-Bahrawy M., Deheragoda M., Joannou M., McDonald S.",15356108,"Cancer Cell",11, 4,0,1,16,17,8,25
2007,"Management and prevention of adverse effects related to treatment of liver tumours with 90Y microspheres","Szyszko T., Thillainayagam A., Nijran K., Stamp G., O'Rourke E., Al-Nahhas A., Tait P., Rubello D., Canelo R., Habib N., Jiao L., Wasan H., Bansi D.",01433636,"Nuclear Medicine Communications",28, 1,0,3,3,6,3,9
2006,"Tissue characterization using dimensionality reduction and fluorescence imaging.","Lekadir K., Elson D.S., Requejo-Isidro J., Dunsby C., McGinty J., Galletly N., Stamp G., French P.M., Yang G.Z.",,"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention",9, 2,0,0,0,0,1,1
2006,"Chronic subcutaneous administration of kisspeptin-54 causes testicular degeneration in adult male rats","Thompson E.L., Ghatei M.A., Bloom S.R., Murphy K.G., Patterson M., Bewick G.A., Stamp G.W.H., Curtis A.E., Cooke J.H., Jethwa P.H., Todd J.F.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",291, 5,1,5,8,13,10,24
2006,"Expression of HIF-1?, HIF-2? (EPAS1), and their target genes in paraganglioma and pheochromocytoma with VHL and SDH mutations","Pollard P.J., Barwell J., Latif F., Gleeson M.J., Hodgson S.V., Stamp G.W., Tomlinson I.P.M., Maher E.R., El-Bahrawy M., Poulsom R., Elia G., Killick P., Kelly G., Hunt T., Jeffery R., Seedhar P.",0021972X,"Journal of Clinical Endocrinology and Metabolism",91, 11,1,1,5,6,7,14
2006,"Tissue characterization using dimensionality reduction and fluorescence imaging","Lekadir K., Elson D.S., Requejo-Isidro J., Dunsby C., McGinty J., Galletly N., Stamp G., French P.M.W., Yang G.-Z.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",4191, ,0,1,2,3,1,4
2006,"Optimal processing of bone marrow trephine biopsy: The Hammersmith Protocol","Naresh K.N., Lampert I., Hasserjian R., Lykidis D., Elderfield K., Horncastle D., Smith N., Murray-Brown W., Stamp G.W.",00219746,"Journal of Clinical Pathology",59, 9,0,2,5,7,8,15
2006,"Intraepidermal animal-type melanoma","Punjabi S., Wright C., Teixeira F., Stamp G., Chu A.",00119059,"International Journal of Dermatology",45, 8,0,0,0,0,2,2
2006,"Stomach Development Is Dependent on Fibroblast Growth Factor 10/Fibroblast Growth Factor Receptor 2b-Mediated Signaling","Spencer-Dene B., Sala F.G., Bellusci S., Gschmeissner S., Stamp G., Dickson C.",00165085,"Gastroenterology",130, 4,1,4,2,6,4,11
2006,"Juvenile xanthogranuloma: A case report of a preterm baby","Hagmann C., El-Bahrawy M., Stamp G., Abel R.M.",00223468,"Journal of Pediatric Surgery",41, 3,0,1,4,5,0,5
2006,"Segmental mediolytic arteriopathy in a patient with intraperitoneal bleeding","Rosenfelder N.A., Taylor-Robinson S.D., Jackson J.E., Stamp G.W.H.",0954691X,"European Journal of Gastroenterology and Hepatology",18, 3,0,0,1,1,1,2
2006,"Phase III trial of intraperitoneal therapy with yttrium-90-labeled HMFG1 murine monoclonal antibody in patients with epithelial ovarian cancer after a surgically defined complete remission","Verheijen R.H., Stamp G., Spiegel G., Thurston D., Falke T., Lambert J., Seiden M.V., Massuger L.F., Benigno B.B., Epenetos A.A., Lopes A., Soper J.T., Markowska J., Vyzula R., Jobling T.",0732183X,"Journal of Clinical Oncology",24, 4,5,19,11,30,5,40
2005,"Video rate fluorescence lifetime imaging and fluorescence lifetime endoscopy","McGinty J., Munro I., Requejo-Isidro J., Elson D.S., Dunsby C., Neu M.A.A., French P.M.W., Galletly N.P., Stamp G.W.H.",16057422,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE",5864, ,0,0,0,0,0,0
2005,"Retroperitoneal myolipoma","Behranwala K.A., Chettiar K., El-Bahrawy M., Stamp G., Kakkar A.K.",14777819,"World Journal of Surgical Oncology",3, ,0,1,1,2,0,2
2005,"Trefoil factor 2 (Tff2) deficiency in murine digestive tract influences the immune system","Baus-Loncar M., Schmid J., Lalani E.-N., Rosewell I., Goodlad R.A., Stamp G.W.H., Blin N., Kayademir T.",10158987,"Cellular Physiology and Biochemistry",16, 1-3,5,3,1,4,5,14
2005,"Toward the clinical application of time-domain fluorescence lifetime imaging","Munro I., Stamp G.W.H., French P.M.W., McGinty J., Galletly N., Requejo-Isidro J., Lanigan P.M.P., Elson D.S., Dunsby C., Neil M.A.A., Lever M.J.",10833668,"Journal of Biomedical Optics",10, 5,0,3,4,7,6,13
2005,"Expression of hepatocyte growth factor and its receptor c-met, correlates with severity of pathological injury in experimental alcoholic liver disease.","Lalani N., Poulsom R., Stamp G., Fogt F., Thomas P., Nanji A.A.",11073756,"International journal of molecular medicine",15, 5,0,1,0,1,1,2
2005,"RalGDS is required for tumor formation in a model of skin carcinogenesis","Gonzalez-Garcia A., Pritchard C.A., Paterson H.F., Mavria G., Stamp G., Marshall C.J.",15356108,"Cancer Cell",7, 3,21,10,11,21,6,48
2004,"Myh deficiency enhances intestinal tumorigenesis in multiple intestinal neoplasia (ApcMin/+) mice","Sieber O.M., Johnson V., Silver A., Yang H., Miller J.H., Ilyas M., Tomlinson I.P.M., Howarth K.M., Thirlwell C., Rowan A., Mandir N., Goodlad R.A., Gilkar A., Spencer-Dene B., Stamp G.",00085472,"Cancer Research",64, 24,6,7,5,12,1,19
2004,"Real-time time-domain fluorescence lifetime imaging including single-shot acquisition with a segmented optical image intensifier","Elson D.S., Kellett P.A., Dymoke-Bradshaw A., Hares J., French P.M.W., Munro I., Requejo-Isidro J., McGinty J., Dunsby C., Galletly N., Stamp G.W., Neil M.A.A., Lever M.J.",13672630,"New Journal of Physics",6, ,3,4,1,5,4,12
2004,"Phosphorylation of both EGFR and ErbB2 is a reliable predictor of prostate cancer cell proliferation in response to EGF","El Sheikh S.S., Domin J., Abel P., Stamp G., Lalani E.-N.",15228002,"Neoplasia",6, 6,6,7,13,20,7,33
2004,"Erratum: Differential effects of toremifene on doxorubicin, vinblastine and Tc-99m-sestamibi in p-glycoprotein-expressing breast and head and neck cancer cell lines (Acta Oncologia (2004) 43:5 (443-452))","Mubashar M., Harrington K.J., Chaudhary K.S., Lalani E.-N., Stamp G.W., Peters A.M.",0284186X,"Acta Oncologica",43, 6,0,0,0,0,0,0
2004,"High-speed wide-field time-gated endoscopic fluorescence-lifetime imaging","Requejo-Isidro J., Kellett P.A., Hares J.D., Dymoke-Bradshaw A.K.L., McGinty J., Munro I., Elson D.S., Galletly N.P., Lever M.J., Neil M.A.A., Stamp G.W.H., French P.M.W.",01469592,"Optics Letters",29, 19,11,7,4,11,7,29
2004,"Differential effects of toremifene on doxorubicin, vinblastine and Tc-99m-sestamibi in P-glycoprotein-expressing breast and head and neck cancer cell lines","Mubashar M., Harrington K.J., Chaudhary K.S., Lalani E.-N., Stamp G.W., Peters A.M.",0284186X,"Acta Oncologica",43, 5,1,1,0,1,0,2
2004,"Time-domain fluorescence lifetime imaging applied to biological tissue","Elson D., McGinty J., Talbot C., Treanor B., Webb S., Sandison A., Wallace A., Davis D., Lever J., Neil M., Philips D., Requejo-Isidro J., Stamp G., French P., Munro I., Reavell F., Siegel J., Suhling K., Tadrous P., Benninger R., Lanigan P.",1474905X,"Photochemical and Photobiological Sciences",3, 8,8,13,11,24,8,40
2004,"Gene-targeted mice lacking the Trex1 (DNase III) 3??5? DNA exonuclease develop inflammatory myocarditis","Morita M., Stamp G., Robins P., Dulic A., Rosewell I., Hrivnak G., Daly G., Lindahl T., Barnes D.E.",02707306,"Molecular and Cellular Biology",24, 15,7,9,12,21,12,40
2004,"TFF2 (trefoil family factor2) inhibits apoptosis in breast and colorectal cancer cell lines","Siu L.-S., Romanska H., Abel P.D., Baus-Loncar M., Kayademir T., Stamp G.W.H., Lalani E.-N.",01969781,"Peptides",25, 5,3,0,1,1,0,4
2004,"TFF1 is membrane-associated in breast carcinoma cell line MCF-7","Siu L.-S., Romanska H., Abel P.D., Kayademir T., Blin N., Stamp G.W.H., Lalani E.-N.",01969781,"Peptides",25, 5,0,0,1,1,0,1
2004,"Transcriptional control of TFF3 (intestinal trefoil factor) via promoter binding sites for the nuclear factor ?B and C/EBP?","Baus-Loncar M., Al-azzeh E.-D., Romanska H., Lalani E.-N., Stamp G.W.H., Blin N., Kayademir T.",01969781,"Peptides",25, 5,5,2,1,3,2,10
2003,"Application of VRML for 3-dimensional, interactive, real-time comparison of OCT structure with standard histology","Tadrous P.J., Podoleanu A.G., Dobre G., Stamp G.W.H.",0277786X,"Proceedings of SPIE - The International Society for Optical Engineering",4956, ,1,0,0,0,0,1
2003,"Inverse correlation between high level expression of cyclin E and proliferation index in transitional cell carcinoma of the bladder","Khan A.A., Abel P.D., Chaudhary K.S., Gulzar Z., Stamp G.W.H., Lalani E.-N.",13668714,"Journal of Clinical Pathology - Molecular Pathology",56, 6,3,2,0,2,0,5
2003,"Fluorescence lifetime imaging for biomedicine","Suhling K., Tadrous P.J., Lever M.J., Stamp G.W.H., Wallace A.L., Phillips D., Davis D.M., French P.M.W., Elson D.S., Siegel J., Webb S.E.D., Requejo-Isidro J., Benninger R.K., Lanigan P., McGinty J., Talbot C.",10945695,"OSA Trends in Optics and Photonics Series",88, ,0,0,0,0,0,0
2003,"Topographical expression of class IA and class II phosphoinositide 3-kinase enzymes in normal human tissues is consistent with a role in differentiation","El Sheikh S.S., Domin J., Tomtitchong P., Abel P., Stamp G., Lalani E.-N.",14726890,"BMC Clinical Pathology",3, ,3,1,1,2,1,6
2003,"Gene-targeted mice lacking the Ung uracil-DNA glycosylase develop B-cell lymphomas","Nilsen H., Stamp G., Andersen S., Hrivnak G., Krokan H.E., Lindahl T., Barnes D.E.",09509232,"Oncogene",22, 35,32,8,9,17,9,58
2003,"Ligand activation of the androgen receptor downregulates E-cadherin-mediated cell adhesion and promotes apoptosis of prostatic cancer cells","Nightingale J., Chaudhary K.S., Abel P.D., Stubbs A.P., Romanska H.M., Mitchell S.E., Stamp G.W.H., Lalani E.-N.",15228002,"Neoplasia",5, 4,6,2,2,4,1,11
2003,"Studying biological tissue with fluorescence lifetime imaging: Microscopy, endoscopy, and complex decay profiles","Siegel J., Stamp G.W.H., Wallace A.L., Sandison A., Watson T.F., Alvarez F., French P.M.W., Elson D.S., Webb S.E.D., Lee K.C.B, Vlandas A., Gambaruto G.L., Leveque-Fort S., Lever M.J., Tadrous P.J.",00036935,"Applied Optics",42, 16,19,6,6,12,6,37
2003,"Changes in endometrial blood vessels in the endometrium of women with hormone replacement therapy-related irregular bleeding","Hickey M., Pillai G., Higham J.M., Sullivan M., Horncastle D., Doherty D., Stamp G.",02681161,"Human Reproduction",18, 5,7,5,2,7,3,17
2003,"Flourescence lifetime imaging of unstained tissues: Early results in human breast cancer","Tadrous P.J., Siegel J., French P.M.W., Shousha S., Lalani E.-N., Stamp G.W.H.",00223417,"Journal of Pathology",199, 3,22,6,5,11,12,45
2003,"Androgen-independent prostate cancer: Potential role of androgen and ErbB receptor signal transduction crosstalk","El Sheikh S.S., Domin J., Abel P., Stamp G., Lalani E.-N.",15228002,"Neoplasia",5, 2,14,0,2,2,0,16
2002,"Early postnatal death and motor disorders in mice congenitally deficient in calnexin expression","Denzel A., Molinari M., Trigueros C., Martin J.E., Velmurgan S., Brown S., Stamp G., Owen M.J.",02707306,"Molecular and Cellular Biology",22, 21,23,9,8,17,7,47
2002,"Multiple actions of the chemokine CXCL12 on epithelial tumor cells in human ovarian cancer","Scotton C.J., Wilson J.L., Scott K., Stamp G., Wilbanks G.D., Fricker S., Bridger G., Balkwill F.R.",00085472,"Cancer Research",62, 20,108,29,28,57,16,181
2002,"Expression of a truncated Brca1 protein delays lactational mammary development in transgenic mice","Brown M.A., Khanna K.K., Wati M.R., Griffiths B.L., Xu C.-F., Stamp G.W.H., Solomon E., Nicolai H., Howe K., Katagiri T., Lalani E.-N., Simpson K.J., Manning N.W., Deans A., Chen P.",09628819,"Transgenic Research",11, 5,10,2,4,6,0,16
2002,"Expression profiling of microdissected pancreatic adenocarcinomas","Crnogorac-Jurcevic T., Efthimiou E., Nielsen T., Loader J., Terris B., Stamp G., Baron A., Scarpa A., Lemoine N.R.",09509232,"Oncogene",21, 29,84,16,14,30,8,122
2002,"MUC1 mucin and trefoil factor 1 protein expression in renal cell carcinoma: Correlation with prognosis","Kraus S., Abel P.D., Nachtmann C., Weidner W., Stamp G.W.H., Chaudhary K.S., Mitchell S.E., Franke F.E., Lalani E.-N.",00468177,"Human Pathology",33, 1,13,2,4,6,2,21
2002,"Androgen-dependent regulation of human MUC1 mucin expression","Mitchell S., Abel P., Madaan S., Jeffs J., Chaudhary K., Stamp G., Lalani E.-N.",15228002,"Neoplasia",4, 1,13,2,1,3,1,17
2002,"99mTc-sestamibi imaging in the assessment of toremifene as a modulator of multidrug resistance in patients with breast cancer","Mubashar M., Harrington K.J., Chaudhary K.S., Lalani E.-N., Stamp G.W., Sinnett D., Glass D.M., Peters A.M.",01615505,"Journal of Nuclear Medicine",43, 4,14,1,2,3,1,18
2001,"Cyclooxygenase-2: A possible target in schistosoma-associated bladder cancer","El-Sheikh S.S., Madaan S., Alhasso A., Abel P., Stamp G., Lalani E.-N.",14644096,"BJU International",88, 9,8,2,1,3,2,13
2001,"Human MUCI mucin: A potent glandular morphogen","Hudson M.J., Stamp G.W., Chaudhary K.S., Hewitt R., Stubbs A.P., Abel P.D., Lalani E.-N.",00223417,"Journal of Pathology",194, 3,21,3,0,3,2,26
2001,"Epithelial cancer cell migration: A role for chemokine receptors?","Scotton C.J., Wilson J.L., Milliken D., Stamp G., Balkwill F.R.",00085472,"Cancer Research",61, 13,110,28,24,52,10,172
2001,"Erratum: Vascular endothelial growth factor transgenic mice exhibit reduced male fertility and placental rejection (Molecular Human Reproduction (2001) vol. 7 (255-264))","Huminiecki L., Chan H.Y., Liu S., Poulsom R., Stamp G., Harris A.L., Bicknell R.",13609947,"Molecular Human Reproduction",7, 5,0,0,0,0,0,0
2001,"Differential expression of cell death regulators in response to thapsigargin and adriamycin in Bcl-2 transfected DU145 prostatic cancer cells","Chaudhary K.S., Abel P.D., Stamp G.W.H., Lalani E.-N.",00223417,"Journal of Pathology",193, 4,9,4,4,8,3,20
2001,"Vascular endothelial growth factor transgenic mice exhibit reduced male fertility and placental rejection","Huminiecki L., Chan H.Y., Lui S., Poulsom R., Stamp G., Harris A.L., Bicknell R.",13609947,"Molecular Human Reproduction",7, 3,8,3,2,5,0,13
2000,"Validation of a model of colon cancer progression","Hewitt R.E., McMarlin A., Kleiner D., Wersto R., Martin P., Tsoskas M., Stamp G.W.H., Stetler-Stevenson W.G.",00223417,"Journal of Pathology",192, 4,24,5,8,13,6,43
2000,"Cytoplasmic induction and over-expression of cyclooxygenase-2 in human prostate cancer: Implications for prevention and treatment","Madaan S., Abel P.D., Chaudhary K.S., Hewitt R., Stott M.A., Stamp G.W.H., Lalani E.-N.",14644096,"BJU International",86, 6,77,17,9,26,5,108
2000,"Disruption of the developmentally regulated Rev31 gene causes embryonic lethality","Wittschieben J., Shivji M.K.K., Lalani E., Jacobs M.A., Marini F., Gearhart P.J., Rosewell I., Stamp G., Wood R.D.",09609822,"Current Biology",10, 19,59,5,8,13,5,77
2000,"Phenotypic and genotypic characterization of commonly used human prostatic cell lines","Mitchell S., Abel P., Ware M., Stamp G., Lalani E.-N.",14644096,"BJU International",85, 7,34,4,4,8,4,46
2000,"Proliferative populations in intestinal metaplasia: Evidence of deregulation in Paneth and goblet cells, but not endocrine cells","Wong W.-M., Stamp G.W.H., Elia G., Poulsom R., Wright N.A.",00223417,"Journal of Pathology",190, 1,10,1,2,3,1,14
1999,"Development of a novel bi-specific monoclonal antibody approach for tumour targeting","Koumarianou A.A., Hudson M., Williams R., Epenetos A.A., Stamp G.W.H.",00070920,"British Journal of Cancer",81, 3,7,0,0,0,0,7
1999,"Mice deficient in tumor necrosis factor-? are resistant to skin carcinogenesis","Moore R.J., Pasparakis M., Kollias G., Balkwill F., Owens D.M., Stamp G., Arnott C., Burke F., East N., Holdsworth H., Turner L., Rollins B.",10788956,"Nature Medicine",5, 7,210,44,50,94,29,333
1999,"Genetic prodrug activation therapy for breast cancer: A phase I clinical trial of erbB-2-directed suicide gene expression","Pandha H.S., Martin L.-A., Rigg A., Hurst H.C., Stamp G.W.H., Sikora K., Lemoine N.R.",0732183X,"Journal of Clinical Oncology",17, 7,64,6,3,9,2,75
1999,"Trefoil factor-2, human spasmolytic polypeptide, promotes branching morphogenesis in MCF-7 cells","Lalani E.N., Williams R., Jayaram Y., Gilbert C., Chaudhary K.S., Siu L.-S., Koumarianou A., Playford R., Stamp G.W.H.",00236837,"Laboratory Investigation",79, 5,33,3,3,6,4,43
1999,"Differentially expressed genes in hormone refractory prostate cancer. Association with chromosomal regions involved with genetic aberrations","Stubbs A.P., Abel P.D., Golding M., Bhangal G., Wang Q., Waxman J., Stamp G.W.H., Lalani E.-N.",00029440,"American Journal of Pathology",154, 5,19,5,1,6,0,25
1999,"The mouse p97 (CDC48) gene: Genomic structure, definition of transcriptional regulatory sequences, gene expression, and characterization of a pseudogene","Muller J.M.M., Meyer H.H., Ruhrberg C., Stamp G.W., Warren G., Shima D.T.",00219258,"Journal of Biological Chemistry",274, 15,23,3,0,3,0,26
1999,"Correlation between androgen receptor expression and FGF8 mRNA levels in patients with prostate cancer and benign prostatic hypertrophy","Wang Q., Stamp G.W.H., Powell S., Abel P., Laniado M., Mahony C., Lalani E.-N., Waxman J.",00219746,"Journal of Clinical Pathology",52, 1,5,3,0,3,1,9
1999,"Erratum: Mice deficient in tumor necrosis factor-? are resistant to skin carcinogenesis (Nature Medicine (1999) 5 (828-831))","Moore R.J., Pasparakis M., Kollias G., Balkwill F., Owens D.M., Stamp G., Arnott C., Burke F., East N., Holdsworth H., Turner L., Rollins B.",10788956,"Nature Medicine",5, 9,0,0,0,0,0,0
1998,"Targeted disruption of the gene encoding DNA ligase IV leads to lethality in embryonic mice","Barnes D.E., Stamp G., Rosewell I., Denzel A., Lindahl T.",09609822,"Current Biology",8, 25,164,22,20,42,8,214
1998,"Comparison of three solid phase supports for promoting three-dimensional growth and function of human liver cell lines","Selden C., Roberts E., Stamp G., Parker K., Winlove P., Ryder T., Platt H., Hodgson H.",0160564X,"Artificial Organs",22, 4,19,0,2,2,0,21
1998,"MT1-MMP and MMP-2 mRNA expression in human ovarian tumors: Possible implications for the role of desmoplastic fibroblasts","Afzal S., Lalani E.-N., Poulsom R., Stubbs A., Rowlinson G., Sato H., Seiki M., Stamp G.W.H.",00468177,"Human Pathology",29, 2,45,4,5,9,6,60
1997,"Expression of bcl-2 and p53 oncoproteins in schistosomiasis-associated transitional and squamous cell carcinoma of urinary bladder","Chaudhary K.S., Lu Q.L., Abel P.D., Khandan-Nia N., Shoma A.M., Baz M.E.L., Stamp G.W.H., Lalani E.N.",00071331,"British Journal of Urology",79, 1,19,2,1,3,1,23
1997,"Intestinal trefoil factor (TFF 3) and pS2 (TFF 1), but not spasmolytic polypeptide (TFF 2) mRNAs are co-expressed in normal, hyperplastic, and neoplastic human breast epithelium","Poulsom R., Hanby A.M., Lalani E.-N., Hauser F., Hoffmann W., Stamp G.W.H.",00223417,"Journal of Pathology",183, 1,45,1,4,5,2,52
1997,"Imbalance of expression of matrix metalloproteinases (MMPs) and tissue inhibitors of the matrix metalloproteinases (TIMPs) in human pancreatic carcinoma","Bramhall S.R., Neoptolemos J.P., Stamp G.W.H., Lemoine N.R.",00223417,"Journal of Pathology",182, 3,98,6,8,14,1,113
1997,"Fibroblast growth factor receptor signalling has a role in lobuloalveolar development of the mammary gland","Jackson D., Bresnick J., Rosewell I., Crafton T., Poulsom R., Stamp G., Dickson C.",00219533,"Journal of Cell Science",110, 11,43,1,4,5,1,49
1997,"Cbfa1, a candidate gene for cleidocranial dysplasia syndrome, is essential for osteoblast differentiation and bone development","Otto F., Olsen B.R., Selby P.B., Owen M.J., Thornell A.P., Crompton T., Denzel A., Gilmour K.C., Rosewell I.R., Stamp G.W.H., Beddington R.S.P., Mundlos S.",00928674,"Cell",89, 5,856,100,107,207,65,1128
