,"Author: Franzoso, Guido",,,,,,,,,,,
1993,"The oncoprotein Bcl-3 directly transactivates through ?B motifs via association with DNA-binding p50B homodimers","Bours V., Franzoso G., Azarenko V., Park S., Kanno T., Brown K., Siebenlist U.",00928674,"Cell",72, 5,198,18,15,33,9,240
1993,"Retinoic acid induction of major histocompatibility complex class I genes in NTera-2 embryonal carcinoma cells involves induction of NF-?B (p50-p65) and retinoic acid receptor ?-retinoid X receptor ? heterodimers","Segars J.H., Tang T., Stephany D.A., Neel B., Siebenlist U., Ozato K., Nagata T., Bours V., Medin J.A., Franzoso G., Blanco J.C.G., Drew P.D., Becker K.G., An J.",02707306,"Molecular and Cellular Biology",13, 10,45,0,1,1,0,46
1993,"Mycoplasma fermentans (incognitus strain) cells are able to fuse with T lymphocytes","Dimitrov D.S., Franzoso G., Salman M., Blumenthal R., Tarshis M., Barile M.F., Rottem S.",10584838,"Clinical Infectious Diseases",17, 1,8,0,0,0,0,8
1993,"Mutual regulation of the transcriptional activator NF-?B and its inhibitor, I?B-?","Brown K., Park S., Kanno T., Franzoso G., Siebenlist U.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",90, 6,302,14,15,29,12,343
1993,"The oncoprotein Bcl-3 can facilitate NF-?B-mediated transactivation by removing inhibiting p50 homodimers from select ?B sites","Franzoso G., Bours V., Azarenko V., Park S., Tomita-Yamaguchi M., Kanno T., Brown K., Siebenlist U.",02614189,"EMBO Journal",12, 10,76,4,3,7,5,88
1993,"The immunodominant 90-kilodalton protein is localized on the terminal tip structure of Mycoplasma pneumoniae","Franzoso G., Hu P.-C., Meloni G.A., Barile M.F.",00199567,"Infection and Immunity",61, 4,23,0,0,0,0,23
1992,"Lymphocyte activation and the family of NF-?B transcription factor complexes","Bours V., Franzoso G., Brown K., Park S., Azarenko V., Tomita-Yamaguchi M., Kelly K., Siebenlist U.",0070217X,"Current Topics in Microbiology and Immunology",182, ,18,0,0,0,0,18
1992,"The candidate oncoprotein Bcl-3 is an antagonist of p50/NF-?B-mediated inhibition","Franzoso G., Bours V., Park S., Tomita-Yamaguchi M., Kelly K., Siebenlist U.",00280836,"Nature",359, 6393,147,7,8,15,4,166
1992,"Fusion of Mycoplasma fermentans strain incognitus with T-lymphocytes","Franzoso G., Dimitrov D.S., Blumenthal R., Barile M.F., Rottem S.",00145793,"FEBS Letters",303, 2-3,17,1,1,2,0,19
1991,"Action of ++clarithromycin against mycoplasma and chlamydia | Attività della claritromicina nei confronti di micoplasmi e clamidie.","Franzoso G., Cusinato R., Tonin E.A., Meloni G.A.",00170445,"Giornale Italiano di Chemioterapia",38, 1-3,0,0,0,0,0,0
