,"Author: Taylor, Patricia M.",,,,,,,,,,,
2006,"Human mesenchymal stem cells induce T cell anergy and downregulate T cell allo-responses via the TH2 pathway: Relevance to tissue engineering human heart valves","Batten P., Sarathchandra P., Antoniw J.W., Tay S.S., Lowdell M.W., Taylor P.M., Yacoub M.H.",10763279,"Tissue Engineering",12, 8,0,6,11,17,7,24
2006,"Collagen synthesis by mesenchymal stem cells and aortic valve interstitial cells in response to mechanical stretch","Ku C.-H., Johnson P.H., Batten P., Sarathchandra P., Chambers R.C., Taylor P.M., Yacoub M.H., Chester A.H.",00086363,"Cardiovascular Research",71, 3,1,4,12,16,6,23
2006,"Characterization of molecules mediating cell-cell communication in human cardiac valve interstitial cells","Latif N., Sarathchandra P., Taylor P.M., Antoniw J., Brand N., Yacoub M.H.",10859195,"Cell Biochemistry and Biophysics",45, 3,0,3,0,3,1,4
2006,"Interaction of human valve interstitial cells with collagen matrices manufactured using rapid prototyping","Taylor P.M., Sachlos E., Dreger S.A., Chester A.H., Czernuszka J.T., Yacoub M.H.",01429612,"Biomaterials",27, 13,2,5,3,8,2,12
2006,"Extracellular matrix scaffolds for tissue engineering heart valves","Taylor P.M., Cass A.E.G., Yacoub M.H.",10589813,"Progress in Pediatric Cardiology",21, 2,0,5,0,5,2,7
2005,"Localization and pattern of expression of extracellular matrix components in human heart valves","Latif N., Sarathchandra P., Taylor P.M., Antoniw J., Yacoub M.H.",09668519,"Journal of Heart Valve Disease",14, 2,7,7,5,12,6,25
2005,"Molecules mediating cell-ECM and cell-cell communication in human heart valves","Latif N., Sarathchandra P., Taylor P.M., Antoniw J., Yacoub M.H.",10859195,"Cell Biochemistry and Biophysics",43, 2,4,5,2,7,0,11
2003,"Can early infection explain the sibling effect in adult atopy?","Cullinan P., Figg J.K., Moon A.M., Barnes M.C., Harris J.M., Taylor A.J.N., Jones M., Taylor P., Dave J.R., Mills P., Moffat S.A., White C.W.",09031936,"European Respiratory Journal",22, 6,12,6,3,9,6,27
2003,"The cardiac valve interstitial cell","Taylor P.M., Batten P., Brand N.J., Thomas P.S., Yacoub M.H.",13572725,"International Journal of Biochemistry and Cell Biology",35, 2,29,9,10,19,12,60
2002,"Human valve interstitial cells produce a specific pattern of force generation and cell communication: Implications for valve function and tissue engineering","Smith S., Taylor P.M., Chester A.H., Dreger S.A., Eastwood M., Yacoub M.H.",,"Third Smith and Nephew International Symposium - Translating Tissue Engineering into Products",, ,0,0,0,0,0,0
2002,"Profile and localization of matrix metalloproteinases (MMPs) and their tissue inhibitors (TIMPs) in human heart valves","Dreger S.A., Taylor P.M., Allen S.P., Yacoub M.H.",09668519,"Journal of Heart Valve Disease",11, 6,17,5,2,7,3,27
2002,"Regulation of ecto-5?-nucleotidase by TNF-? in human endothelial cells","Kalsi K., Lawson C., Dominguez M., Taylor P., Yacoub M.H., Smolenski R.T.",03008177,"Molecular and Cellular Biochemistry",232, 1-2,7,1,2,3,2,12
2002,"Human cardiac valve interstitial cells in collagen sponge: A biological three-dimensional matrix for tissue engineering","Taylor P.M., Allen S.P., Dreger S.A., Yacoub M.H.",09668519,"Journal of Heart Valve Disease",11, 3,26,6,6,12,4,42
2000,"Mitogenic and secretory responses of human valve interstitial cells to vasoactive agents","Hafizi S., Taylor P.M., Chester A.H., Allen S.P., Yacoub M.H.",09668519,"Journal of Heart Valve Disease",9, 3,22,3,3,6,3,31
2000,"Phenotypic and functional characterization of interstitial cells from human heart valves, pericardium and skin","Taylor P.M., Allen S.P., Yacoub M.H.",09668519,"Journal of Heart Valve Disease",9, 1,60,11,5,16,5,81
1999,"The expression of heat shock protein 60 in patients with dilated cardiomyopathy","Latif N., Taylor P.M., Khan M.A., Yacoub M.H., Dunn M.J.",03008428,"Basic Research in Cardiology",94, 2,10,2,2,4,2,16
1998,"Expression of adhesion molecules by Lp(a): A potential novel mechanism for its atherogenicity","Allen S., Khan S., Tam S.-P., Koschinsky M., Taylor P., Yacoub M.",08926638,"FASEB Journal",12, 15,32,2,3,5,2,39
1996,"Vascular adhesion molecules and immunogenicity in blood vessels used as coronary artery bypass grafts","Chester A.H., Borland J.A.A., Taylor P.M., Rose M.L., Yacoub M.H.",10107940,"European Journal of Cardio-thoracic Surgery",10, 8,7,1,1,2,0,9
1995,"Immunomodulation by theophylline in asthma: Demonstration by withdrawal of therapy","Kidney J., Dominguez M., Taylor P.M., Rose M., Chung K.F., Barnes P.J.",1073449X,"American Journal of Respiratory and Critical Care Medicine",151, 6,164,8,5,13,0,177
1993,"Coronary artery immunogenicity: A comparison between explanted recipient or donor hearts and transplanted hearts","Taylor P.M., Rose M.L., Yacoub M.H.",09663274,"Transplant Immunology",1, 4,11,0,0,0,0,11
1993,"A multidisciplinary investigation of a cluster of deaths on a paediatric intensive care unit","Maguire H., Durman L., Watson J., George R., Taylor L., Murray V., Penny D., Rigby M., Taylor P., Gaya H.",01956701,"Journal of Hospital Infection",24, 2,0,0,0,0,0,0
1992,"Anti-endothelial antibodies and coronary artery disease after cardiac transplantation","Dunn M.J., Crisp S.J., Rose M.L., Taylor P.M., Yacoub M.H.",01406736,"Lancet",339, 8809,107,6,2,8,3,118
1992,"Induction of vascular adhesion molecules during rejection of human cardiac allografts","Taylor P.M., Rose M.L., Yacoub M.H., Pigott R.",00411337,"Transplantation",54, 3,63,2,2,4,1,68
1991,"Complement activation during bypass in acquired C1 esterase inhibitor deficiency","Bonser R.S., Vergani D., Dave J., Morgan J., Morgan C., Davies E., Taylor P., Gaya H., John L., Paneth M.",00034975,"Annals of Thoracic Surgery",52, 3,11,1,1,2,0,13
1990,"Complement activation before, during and after cardiopulmonary bypass","Bonser R.S., Vergani D., Dave J.R., John L., Gademsetty M.K., Carter P.G., Davies E., Taylor P., Gaya H., Lennox S.C.",10107940,"European Journal of Cardio-Thoracic Surgery",4, 6,14,0,0,0,0,14
1990,"Reduction of complement activation during bypass by prime manipulation","Bonser R.S., Dave J.R., Davies E.T., John L., Taylor P., Gaya H., Lennox S.C., Vergani D.",00034975,"Annals of Thoracic Surgery",49, 2,12,1,2,3,0,15
1990,"T-cell mediated cytolysis: Evidence for target-cell suicide","Chayen J., Pitsillides A.A., Bitensky L., Muir I.H., Taylor P.M., Askonas B.A.",09584625,"Journal of Experimental Pathology",71, 2,1,0,0,0,0,1
1990,"Immunocytochemical changes suggestive of damage to endothelial cells during rejection of human cardiac allografts","Hengstenberg C., Rose M.L., Page C., Taylor P.M., Yacoub M.H.",00411337,"Transplantation",49, 5,8,0,0,0,0,8
1990,"Murine CD4+ T cell clones vary in function in vitro and in influenza infection in vivo","Taylor P.M., Esquivel F., Askonas B.A.",09538178,"International Immunology",2, 4,11,0,0,0,0,11
1989,"End-stage dilated cardiomyopathy. Persistence of enterovirus RNA in myocardium at cardiac transplantation and lack of immune response","Bowles N.E., Rose M.L., Taylor P., Banner N.R., Morgan-Capner P., Cunningham L., Archard L.C., Yacoub M.H.",00097322,"Circulation",80, 5,66,0,4,4,1,71
1989,"Expression of Class I and Class II MHC antigen in normal and transplanted human lungs","Taylor P.M., Rose M.L., Yacoub M.",00411345,"Transplantation Proceedings",21, 1 I,2,0,0,0,0,2
1989,"Influenza virus-specific T cells lead to early interferon ? in lungs of infected hosts: Development of a sensitive radioimmunoassay","Taylor P.M., Meager A., Askonas B.A.",00221317,"Journal of General Virology",70, 4,6,0,1,1,0,7
1989,"Primary stimulation by dendritic cells induces antiviral proliferative and cytotoxic T cell responses in vitro","Macatonia S.E., Taylor P.M., Knight S.C., Askonas B.A.",00221007,"Journal of Experimental Medicine",169, 4,104,5,2,7,2,113
1989,"Expression of MHC antigens in normal human lungs and transplanted lungs with obliterative bronchiolitis","Taylor P.M., Rose M.L., Yacoub M.H.",00411337,"Transplantation",48, 3,47,0,2,2,0,49
1989,"Rapid recovery of lung histology correlates with clearance of influenza virus by specific CD8+ cytotoxic T cells","MacKenzie C.D., Taylor P.M., Askonas B.A.",00192805,"Immunology",67, 3,36,2,4,6,1,43
1989,"Lack of specialized antigen-presenting cells (IDCs) in donor heart, kidney, liver, and lung at transplantation","Amlot P.L., Taylor P., Rose M., Sweny P., Janossy G., Yacoub M.",00411345,"Transplantation Proceedings",21, 1 I,0,0,0,0,0,0
1988,"Cytotoxic T cells in influenza infection","Askonas B.A., Taylor P.M., Esquivel F.",00778923,"Annals of the New York Academy of Sciences",532, ,8,2,0,2,1,11
1988,"Rapid changes in target cell lysosomes induced by cytotoxic T cells: Indication of target suicide?","Pitsillides A.A., Taylor P.M., Bitensky L., Chayne J., Muir I.H., Askonas B.A.",00142980,"European Journal of Immunology",18, 8,1,0,0,0,0,1
1988,"Cannabis and schizophrenia","Johnson B.A., Smith B.L., Taylor P.",01406736,"Lancet",1, 8585,7,0,0,0,0,7
1987,"T cell mediated immunity in virus infection","Askonas B.A., Taylor P.M.",01652478,"Immunology Letters",16, 3-4,0,0,0,0,0,0
1987,"Class I MHC molecules rather than other mouse genes dictate influenza epitope recognition by cytotoxic T cells","Taylor P.M., Davey J., Howland K., Rothbard J.B., Askonas B.A.",00937711,"Immunogenetics",26, 4-5,24,1,1,2,0,26
1986,"A new enzyme-linked fluorescence assay (ELFA) for use with peroxidase-antibody conjugates: A comparison with ELISA for the quantitation of IgM antibodies to hepatitis B core antigen","Dave J.R., Taylor P., Grange J.M., Gaya H.",00222615,"Journal of Medical Microbiology",21, 3,0,0,0,0,0,0
1986,"Influenza nucleoprotein-specific cytotoxic T-cell clones are protective in vivo","Taylor P.M., Askonas B.A.",00192805,"Immunology",58, 3,68,7,5,12,2,82
1985,"Control of immune interferon release by cytotoxic T-cell clones specific for influenza","Taylor P.M., Wraith D.C., Askonas B.A.",00192805,"Immunology",54, 4,4,1,0,1,0,5
1984,"Possible mechanism for target cell lysis by cytotoxic t-cells","Friedberg R.C., Askonas B.A., Taylor P.M.",02636484,"Cell Biochemistry and Function",2, 2,0,0,0,0,0,0
1984,"Recognition of influenze A virus nucleoprotein by an H-2-restricted cytotoxic T-cell clone","Townsend A.R.M., Skehel J.J., Taylor P.M., Palese P.",00426822,"Virology",133, 2,0,0,0,0,0,0
1983,"Diversity in the interaction of influenza-A-specific cytotoxic T cells with H-2Kb mutant targets","Townsend A.R.M., Taylor P.M., Melief C.J.M., Askonas B.A.",00937711,"Immunogenetics",17, 5,2,0,0,0,0,2
1983,"Stimulation of cytotoxic T cells by liposomes containing influenza virus or its components","Hackett C.J., Taylor P.M., Askonas B.A.",00192805,"Immunology",49, 2,1,0,0,0,0,1
1983,"Recognition of Db and Kb gene products by influenza-specific cytotoxic T cells","Townsend A.R.M., Taylor P.M., Mellor A.L., Askonas B.A.",00937711,"Immunogenetics",17, 3,2,0,0,0,0,2
1983,"Diversity in the biological properties of anti-influenza cytotoxic T cell clones","Taylor P.M., Askonas B.A.",00142980,"European Journal of Immunology",13, 9,4,0,0,0,0,4
1981,"The in-vitro interaction of eosinophils, neutrophils, macrophages and mast cells with nematode surfaces in the presence of complement or antibodies","Mackenzie C.D., Jungery M., Taylor P.M., Ogilvie B.M.",00223417,"Journal of Pathology",133, 2,16,0,2,2,0,18
1981,"Immune response to stage-specific surface antigens of the parasitic nematode Trichinella spiralis","Philipp M., Taylor P.M., Parkhouse R.M.E., Ogilvie B.M.",00221007,"Journal of Experimental Medicine",154, 1,11,1,0,1,0,12
1980,"Activation of complement, the induction of antibodies to the surface of nematodes and the effect of these factors and cells on worm survival in vitro","Mackenzie C.D., Jungery M., Taylor P.M., Ogilvie B.M.",00142980,"European Journal of Immunology",10, 8,8,0,0,0,0,8
