2009,"Coronary heart disease benefits from blood pressure and lipid-lowering","Sever P.S., Poulter N.R., Mastorantonakis S., Chang C.L., Dahlof B., Wedel H.",01675273,"International Journal of Cardiology",135, 2,0,1,0,0,1,0,1
2009,"Effects of HIV status and antiretroviral therapy on blood pressure","Wilson S.L., Scullard G., Fidler S.J., Weber J.N., Poulter N.R.",14642662,"HIV Medicine",10, 6,0,0,3,0,3,0,3
2009,"Serum amyloid A, C-reactive protein, and retinal microvascular changes in hypertensive diabetic and nondiabetic individuals: An Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT) substudy","Stettler C., Gallimore J.R., Hughes A.D., Chaturvedi N., Witt N., Tapp R.J., Thom S., Allemann S., Tillin T., Stanton A., O'Brien E., Poulter N.",01495992,"Diabetes Care",32, 6,0,1,0,0,1,0,1
2009,"Risks of cardiovascular events and effects of routine blood pressure lowering among patients with type 2 diabetes and atrial fibrillation: Results of the ADVANCE study","Du X., Hamet P., Poulter N., Lip G.Y.H., Patel A., Ninomiya T., De Galan B., Abadir E., Chalmers J., Pillai A., Woodward M., Cooper M., Harrap S.",0195668X,"European Heart Journal",30, 9,2,7,8,1,16,0,18
2009,"Antihypertensive therapy and the benefits of atorvastatin in the Anglo-Scandinavian Cardiac Outcomes Trial: Lipid-lowering arm extension","Sever P.S., Poulter N.R., Dahlof B., Wedel H.",02636352,"Journal of Hypertension",27, 5,2,8,3,1,12,0,14
2009,"The lifetime cost effectiveness of amlodipine-based therapy plus atorvastatin compared with atenolol plus atorvastatin, amlodipine-based therapy alone and atenolol-based therapy alone: Results from ASCOT","Lindgren P., Buxton M., Kahan T., Poulter N.R., Dahlof B., Sever P.S., Wedel H., Jonsson B.",11707690,"PharmacoEconomics",27, 3,0,4,1,0,5,0,5
2009,"Lowering blood pressure reduces renal events in type 2 diabetes","De Galan B.E., Mogensen C.-E., Cooper M., Marre M., Williams B., Hamet P., Mancia G., Woodward M., Glasziou P., Grobbee D.E., MacMahon S., Perkovic V., Chalmers J., Ninomiya T., Pillai A., Patel A., Cass A., Neal B., Poulter N., Harrap S.",10466673,"Journal of the American Society of Nephrology",20, 4,18,30,26,9,65,0,83
2009,"Continued improvement in hypertension management in England: Results from the health survey for England 2006","Falaschetti E., Chaudhury M., Mindell J., Poulter N.",0194911X,"Hypertension",53, 3,9,19,25,5,49,0,58
2008,"Selecting a fixed combination to improve morbidity/mortality: The weight of evidence with ASCOT","Poulter N.R.",1520765X,"European Heart Journal, Supplement",10, ,0,0,1,0,1,0,1
2008,"Do men and women respond differently to blood pressure-lowering treatment? Results of prospectively designed overviews of randomized trials","Turnbull F., Woodward M., Neal B., Barzi F., Ninomiya T., Chalmers J., Perkovic V., Li N., MacMahon S., Agodoa L., Anderson C., Asselbergs F.W., Baigent C., Black H., Brenner B., Brown M., Bulpitt C., Byington R., Chalmers J., Collins R., Cutler J., Dahlof B., Davis B., De Zeeuw D., Dens J., Estacio R., Fagard R., Fox K., Fukui T., Hansson L., Holman R., Hunsicker L., Imai Y., Ishii M., Kanno Y., Kostis J., Kuramoto K., Lewis E., Lievre M., Lindholm L.H., Liu L., Lubsen J., Lueders S., Malacco E., Mancia G., Matsuzaki M., Neal B., Nissen S., Ohkubo T., Ogihara T., Palmer C., Pepine C., Pfeffer M., Pitt B., Poole-Wilson P., Poulter N., Rahman M., Remme W., Remuzzi G., Rodgers A., Ruggenenti P., Saruta T., Schrader J., Schrier R., Sever P., Sleight P., Staessen J., Suzuki H., Teo K., Van Gilst W.H., Viberti G., Wang J., Whelton P., Wing L., Yui Y., Yusuf S., Zanchetti A.",0195668X,"European Heart Journal",29, 21,12,12,17,3,32,0,44
2008,"The Anglo-Scandinavian Cardiac Outcomes Trial: Blood pressure-lowering limb: Effects in patients with type II diabetes","Ostergren J., Poulter N.R., Sever P.S., Dahlof B., Wedel H., Beevers G., Caulfield M., Collins R., Kjeldsen S.E., Kristinsson A., McInnes G.T., Mehlsen J., Nieminen M., OBrien E.",02636352,"Journal of Hypertension",26, 11,10,11,8,0,19,0,29
2008,"Ethnicity and Left Ventricular Diastolic Function in Hypertension. An ASCOT (Anglo-Scandinavian Cardiac Outcomes Trial) Substudy","Sharp A., Tapp R., Francis D.P., McG. Thom S.A., Hughes A.D., Stanton A.V., Zambanini A., Chaturvedi N., Byrd S., Poulter N.R., Sever P.S., Mayet J.",07351097,"Journal of the American College of Cardiology",52, 12,2,5,3,0,8,0,10
2008,"Effect of doxazosin gastrointestinal therapeutic system as third-line antihypertensive therapy on blood pressure and lipids in the Anglo-Scandinavian cardiac outcomes trial","Chapman N., Chang C.L., Dahlof B., Sever P.S., Wedel H., Poulter N.R.",00097322,"Circulation",118, 1,7,8,3,2,13,0,20
2008,"Intensive blood glucose control and vascular outcomes in patients with type 2 diabetes","Patel A., MacMahon S., Chalmers J., Neal B., Billot L., Woodward M., Marre M., Cooper M., Glasziou P., Grobbee D., Hamet P., Harrap S., Heller S., Liu L., Mancia G., Mogensen C.E., Pan C., Poulter N., Rodgers A., Williams B., Bompoint S., De Galan B.E., Joshi R., Travert F.",00284793,"New England Journal of Medicine",358, 24,602,486,396,114,996,0,1598
2008,"Determinants of new-onset diabetes among 19,257 hypertensive patients randomized in the anglo-scandinavian cardiac outcomes trial-blood pressure lowering arm and the relative influence of antihypertensive medication","Gupta A.K., Dahlof B., Dobson J., Sever P.S., Wedel H., Poulter N.R.",01495992,"Diabetes Care",31, 5,18,11,17,3,31,0,49
2008,"The Anglo-Scandinavian Cardiac Outcomes Trial lipid lowering arm: Extended observations 2 years after trial closure","Sever P.S., McInnes G., Mehlsen J., Nieminen M.S., O'Brien E.T., Ostergren J., Poulter N.R., Dahlof B., Wedel H., Beevers G., Caulfield M., Collins R., Kjeldsen S.E., Kristinsson A.",0195668X,"European Heart Journal",29, 4,13,7,12,3,22,0,35
2008,"Economic evaluation of ASCOT-BPLA: antihypertensive treatment with an amlodipine-based regimen is cost effective compared with an atenolol-based regimen.","Lindgren P., Buxton M., Kahan T., Poulter N.R., Dahlof B., Sever P.S., Wedel H., Jonsson B.",1468201X,"Heart (British Cardiac Society)",94, 2,7,2,4,1,7,0,14
2007,"Response to spironolactone in resistant hypertension [2]","Chapman N., Dobson J., Wilson S., Dahlof B., Sever P.S., Wedel H., Poulter N.R.",0194911X,"Hypertension",50, 3,0,0,0,0,0,0,0
2007,"Antihypertensive-associated incident diabetes: Controversy persists [1]","Gupta A.K., Poulter N.R.",00039926,"Archives of Internal Medicine",167, 13,1,0,0,0,0,0,1
2007,"Improving the Prognosis in Patients With Diabetes: What Will ADVANCE Tell Us?","Gupta A.K., Poulter N.",08957061,"American Journal of Hypertension",20, 7,0,0,0,0,0,0,0
2007,"Which health-related quality of life score? A comparison of alternative utility measures in patients with Type 2 diabetes in the ADVANCE trial","Glasziou P., Alexander J., Beller E., Clarke P., Chalmers J., MacMahon S., Cooper M., Ferrannini E., Glasziou P., Grobbee D., Hamet P., Harrap S., Heller S., Lisheng L., Mancia G., Marre M., Mogensen C., Neal B., Yu Pan C., Patel A., Poulter N., Rodgers A., William B., Woodward M., Collins R., Holman R., Sleight P., Adams M., Branley M., Fulcher G., Jenkins B., Louis D., Lou W., Lowe H., McCormack A., Mitchell P., Ong S., Pollock C., Watson J., Wong T., Allen S., Bompoint S., Carreras A., Chen T., Flynn S., Gibbo S., Han D., Hough S., Jayne K., Joshi R., Kengne A.P., Linn J., Monaghan H., Ng R., Perkovic V., Regaglia J., Schmidt M., Xin D., Yufang B., Holloway T., Gray B., Milne A., Adderkin A., Guertin M.-R., de Guise D., Liyuan M., Reid J., Subramaniam R., Wen W., Williamson K.",14777525,"Health and Quality of Life Outcomes",5, ,6,3,9,1,13,0,19
2007,"Effect of spironolactone on blood pressure in subjects with resistant hypertension","Chapman N., Dobson J., Wilson S., Dahlof B., Sever P.S., Wedel H., Poulter N.R.",0194911X,"Hypertension",49, 4,85,44,37,15,96,0,181
2007,"Utility loss and indirect costs following cardiovascular events in hypertensive patients: The ASCOT health economic substudy","Lindgren P., Kahan T., Poulter N., Buxton M., Svarvar P., Dahlof B., Jonsson B.",16187598,"European Journal of Health Economics",8, 1,4,1,2,1,4,0,8
2007,"Effects of non-steroidal anti-inflammatory drugs on blood pressure [3]","Wilson S.L., Poulter N.R.",02636352,"Journal of Hypertension",25, 1,0,0,0,0,0,0,0
2007,"Erratum: Potential synergy between lipid-lowering and blood-pressure- lowering in the Anglo-Scandinavian Cardiac Outcomes Trial (European Heart Journal (2006) 27 (2982-2988))","Sever P., McInnes G., Mehlsen J., Nieminem M., O'Brien E., Ostergren J., Dahlof B., Poulter N., Wedel H., Beevers G., Caulfield M., Collins R., Kjeldsen S., Kristinsson A.",0195668X,"European Heart Journal",28, 1,0,0,0,0,0,0,0
2006,"Are current therapies for hypertension achieving their goal?","Poulter N.R.",14703203,"JRAAS - Journal of the Renin-Angiotensin-Aldosterone System",7, 2,0,0,0,0,0,0,0
2006,"Potential synergy between lipid-lowering and blood-pressure-lowering in the Anglo-Scandinavian Cardiac Outcomes Trial","Sever P., McInnes G., Mehlsen J., Nieminem M., O'Brien E., Ostergren J., Dahlof B., Poulter N., Wedel H., Beevers G., Caulfield M., Collins R., Kjeldsen S., Kristinsson A.",0195668X,"European Heart Journal",27, 24,51,15,11,3,29,0,80
2006,"The effect of non-steroidal anti-inflammatory drugs and other commonly used non-narcotic analgesics on blood pressure level in adults","Wilson S.L., Poulter N.R.",02636352,"Journal of Hypertension",24, 8,14,4,6,1,11,0,25
2006,"Angiotensin-converting enzyme inhibitors versus angiotensin receptor blockers. A mini-symposium held at the British Hypertension Society Meeting, September 2005","Poulter N.",14703203,"JRAAS - Journal of the Renin-Angiotensin-Aldosterone System",7, 2,0,0,0,0,0,0,0
2006,"It is not beyond the blood pressure; it is the blood pressure","Sever P.S., Poulter N.R., Elliott W.J., Jonsson M.C., Black H.R.",00097322,"Circulation",113, 23,1,0,0,0,0,0,1
2006,"Improvement in hypertension management in England: Results from the Health Survey for England 2003","Primatesta P., Poulter N.R.",02636352,"Journal of Hypertension",24, 6,56,18,13,2,33,0,89
2006,"Blood pressure reduction is not the only determinant of outcome","Sever P.S., Poulter N.R.",00097322,"Circulation",113, 23,33,1,3,0,4,0,37
2006,"Levels of dyslipidaemia and improvement in its management in England: Results from the Health Survey for England 2003","Primatesta P., Poulter N.R.",03000664,"Clinical Endocrinology",64, 3,11,3,3,1,7,0,18
2006,"Authors' reply [5]","Dahlof B., Sever P., Poulter N., Wedel H.",01406736,"Lancet",367, 9506,0,0,0,0,0,0,0
2005,"JBS 2: Joint British Societies' guidelines on prevention of cardiovascular disease in clinical practice","Wood D., Wray R., Poulter N., Williams B., Kirby M., Patel V., Durrington P., Reckless J., Davis M., Sivers F., Potter J.",13556037,"Heart",91, 5,44,20,21,5,46,0,90
2005,"Angiotensin receptor blockers: Therapeutic targets and cardiovascular protection","Ruilope L.M., Zannad F., Rosei E.A., Bakris G.L., Mancia G., Poulter N.R., Taddei S., Unger T., Volpe M., Waeber B.",08037051,"Blood Pressure",14, 4,47,4,3,0,7,0,54
2005,"Reduction in cardiovascular events with atorvastatin in 2,532 patients with type 2 diabetes: Anglo-Scandinavian Cardiac Outcomes Trial-Lipid-Lowering Arm (ASCOT-LLA)","Tseng K.H., Poulter N.R., Sever P.S., Dahlof B., Wedel H.",01495992,"Diabetes Care",28, 10,3,1,0,0,1,0,4
2005,"Prevention of cardiovascular events with an antihypertensive regimen of amlodipine adding perindopril as required versus atenolol adding bendroflumethiazide as required, in the Anglo-Scandinavian Cardiac Outcomes Trial-Blood Pressure Lowering Arm (ASCOT-BPLA): A multicentre randomised controlled trial","Dahlof B., Sever P.S., Poulter N.R., Wedel H., Beevers D.G., Caulfield M., Collins R., Kjeldsen S.E., Kristinsson A., McInnes G.T., Mehlsen J., Nieminen M., O'Brien E., Ostergren J.",01406736,"Lancet",366, 9489,878,197,159,39,395,0,1273
2005,"Role of blood pressure and other variables in the differential cardiovascular event rates noted in the Anglo-Scandinavian Cardiac Outcomes Trial-Blood Pressure Lowering Arm (ASCOT-BPLA)","Poulter N.R., Wedel H., Dahlof B., Sever P.S., Beevers D.G., Caulfield M., Kjeldsen S.E., Kristinsson A., McInnes G.T., Mehlsen J., Nieminen M., O'Brien E., Ostergren J., Pocock S.",01406736,"Lancet",366, 9489,172,25,17,7,49,0,221
2005,"Different time course for prevention of coronary and stroke events by atorvastatin in the anglo-scandinavian cardiac outcomes trial - lipid-lowering arm (ASCOT-LLA)","Sever P.S., Poulter N.R., Dahlof B., Wedel H.",00029149,"American Journal of Cardiology",96, 5,29,5,3,1,9,0,38
2005,"ADVANCE: Action in diabetes and vascular disease","Patel A., Chalmers J., Poulter N.",09509240,"Journal of Human Hypertension",19, 1,6,0,0,0,0,0,6
2005,"Reduction in cardiovascular events with atorvastatin in 2,532 patients with type 2 diabetes: Anglo-Scandinavian Cardiac Outcomes Trial-Lipid-Lowering Arm (ASCOT-LLA)","Sever P.S., McInnes G.T., Mehlsen J., Nieminen M., O'Brien E., Ostergren J., Poulter N.R., Dahlof B., Wedel H., Collins R., Beevers G., Caulfield M., Kjeldsen S.E., Kristinsson A.",01495992,"Diabetes Care",28, 5,129,14,19,10,43,0,172
2005,"Children in South Asia have higher body mass-adjusted blood pressure levels than white children in the United States: A comparative study","Jafar T.H., Islam M., Poulter N., Hatcher J., Schmid C.H., Levey A.S., Chaturvedi N.",00097322,"Circulation",111, 10,30,11,8,2,21,0,51
2005,"Cost-effectiveness of atorvastatin for the prevention of coronary and stroke events: An economic analysis of the Anglo-Scandinavian Cardiac Outcomes Trial - Lipid-lowering arm (ASCOT-LLA)","Lindgren P., Buxton M., Kahan T., Poulter N.R., Dahlof B., Sever P.S., Wedel H., Jonsson B.",17418267,"European Journal of Cardiovascular Prevention and Rehabilitation",12, 1,22,4,1,2,7,0,29
2005,"Birth weight and blood pressure in childhood: Results from the health survey for England","Primatesta P., Falaschetti E., Poulter N.R.",0194911X,"Hypertension",45, 1,14,1,0,0,1,0,15
2004,"Prevention of coronary and stroke events with atorvastatin in hypertensive patients who have average or lower-than-average cholesterol concentrations, in the Anglo-Scandinavian Cardiac Outcomes Trial - Lipid Lowering Arm (ASCOT-LLA): A multicentre randomised controlled trial","Sever P.S., Dahlof B., Poulter N.R., Wedel H., Beevers G., Caulfield M., Collins R., Kjeldsen S.E., Kristinsson A., McInnes G.T., Mehlsen J., Nieminen M., O'Brien E., Ostergren J.",00126667,"Drugs",64, 2,33,5,7,1,13,0,46
2004,"Lipid levels and the use of lipid-lowering agents in England and Scotland","Primatesta P., Poulter N.R.",17418267,"European Journal of Cardiovascular Prevention and Rehabilitation",11, 6,13,0,1,0,1,0,14
2004,"NICE and BHS guidelines on hypertension differ importantly [7]","Poulter N.R.",09598146,"British Medical Journal",329, 7477,2,0,1,0,1,0,3
2004,"Measures of global risk: Old versus new methods","Poulter N.R.",10641963,"Clinical and Experimental Hypertension",26, 7-8,0,0,0,0,0,0,0
2004,"Modulating the design of clinical trials to address the question of mechanisms of disease","Poulter N.R.",10641963,"Clinical and Experimental Hypertension",26, 7-8,0,0,0,0,0,0,0
2004,"Cocoa, flavanols and cardiovascular risk","Hollenberg N.K., Schmitz H., McDonald I., Poulter N.",09696113,"British Journal of Cardiology",11, 5,5,2,0,0,2,0,7
2004,"Lower ambient temperature was associated with an increased risk of hospitalization for stroke and acute myocardial infarction in young women","Lan Chang C., Shipley M., Marmot M., Poulter N.",08954356,"Journal of Clinical Epidemiology",57, 7,15,3,3,1,7,0,22
2004,"Hypertension management and control among English adults aged 65 years and older in 2000 and 2001","Primatesta P., Poulter N.R.",02636352,"Journal of Hypertension",22, 6,37,5,2,0,7,0,44
2004,"Announcement about ASCOT-LLA [10]","Poulter N.R.",01406736,"Lancet",363, 9419,1,0,0,0,0,0,1
2004,"British hypertension society guidelines for hypertension management 2004 (BHS-IV): Summary","Williams B., Poulter N.R., Brown M.J., Davis M., McInnes G.T., Potter J.F., Sever P.S., Thom S.M.",09598146,"British Medical Journal",328, 7440,341,45,51,12,108,0,449
2004,"What's new in the new British Hypertension Society guidelines for the management of hypertension - BHS IV","Williams B., Poulter N.",09696113,"British Journal of Cardiology",11, 2,1,0,0,0,0,0,1
2004,"Guidelines for management of hypertension: Report of the fourth working party of the Bristish Hypertension Society, 2004 - BHS IV","Williams B., Poulter N.R., Brown M.J., Davis M., McInnes G.T., Potter J.F., Sever P.S., Thom S.McG.",09509240,"Journal of Human Hypertension",18, 3,518,80,64,22,166,0,684
2004,"Hypertension guidelines 2003 update","Milne F.J., Pinkney-Atkinson V.J., Charlton R.W., Kakaza H., Mokhobo K.P., Mpe M., Naidoo D.P., Norton G., Opie L., Sareli P.E., Seedat Y.K., Seftel H.C., Steyn K., Taylor D.R., Veriava Y., Weich D.J.V., Kotzenberg C.C., Croasdale A., Dalby A.J., Mazaza S., Geffen L., Bryer A., Pappas G., Steyn K., Cole P., Meyers A., Motala A., Mavengere P., Odendaal H.J., Combrinck A., Gaziano T.A., Taylor B., van den Heever A., Klein R., Butkow N., Potgieter R., Anderson L., Kruger T., Webb D., Becker A., Frey M., McCoy T., Newton M., Palane M., Parkin M., Maseko A., Middlemost S., Mntla P.S., Rayner B., van Rensburg B., Woodiwiss A.J., Mimran A., Narkiewicz K., O'Brien E., Poulter N., Reddy K.S., Waeber B., Connor M., Raal F.J., Dalby A.J., Oosthuizen O., Onwubere B., Damasceno A.",02569574,"South African Medical Journal",94, 3,1,1,0,1,2,0,3
2004,"Hypertension Treatment and Control in Five European Countries, Canada, and the United States","Wolf-Maier K., Thamm M., Cooper R.S., Kramer H., Banegas J.R., Giampaoli S., Joffres M.R., Poulter N., Primatesta P., Stegmayr B.",0194911X,"Hypertension",43, 1,350,81,75,17,173,0,523
2003,"Prospects for hypertension in the next decade","Poulter N.R.",09696113,"British Journal of Cardiology",10, 6,1,0,0,0,0,0,1
2003,"Practice Guidelines for Primary Care Physicians: 2003 ESH/ESC Hypertension Guidelines","Cifkova R., Mancia G., Poulter N., Rahn K.H., Rodicio J.L., Ruilope L.M., Van Zwieten P., Waeber B., Williams B., Zanchetti A., Erdine S., Fagard R., Farsang C., Heagerty A.M., Kiowski W., Kjeldsen S., Luscher T., Mallion J.M.",02636352,"Journal of Hypertension",21, 10,193,20,11,1,32,0,225
2003,"Prevention of coronary and stroke events with atorvastatin in hypertensive patients who have average or lower-than-average cholesteroal concentrations, in the Anglo-Scandinavian Cardiac Outcomes Trial - Lipid Lowering Arm (ASCOL-LLA): A multicentre randomised controlled trial","Kubler W., Ssever P., Dahlof B., Poulter N.R., Wedel H., Beevers G., Caulfield M., Collins R., Kjeldsen S., Kristinsson A., McInnes G.T., Mehlsen J., Nieminen M., O'Brian E., Ostergren J.",03005860,"Zeitschrift fur Kardiologie",92, 7,0,0,0,0,0,0,0
2003,"Comparison of methods to identify individuals at increased risk of coronary disease from the general population","Wilson S., Johnston A., Robson J., Poulter N., Collier D., Feder G., Caulfield M.J.",09598146,"British Medical Journal",326, 7404,9,0,2,0,2,0,11
2003,"ASCOT-LLA: Questions about the benefits of atorvastatin [3] (multiple letters)","Devroey D., Drummond G.A., Ginst L.V., Ravnskov U., Killestein J., Sever P.S., Dahlof B., Poulter N., Wedel H., Trewby P.",01406736,"Lancet",361, 9373,1,0,0,0,0,0,1
2003,"Hypertension Prevalence and Blood Pressure Levels in 6 European Countries, Canada, and the United States","Wolf-Maier K., Rodriguez-Artalejo F., Stegmayr B., Thamm M., Tuomilehto J., Vanuzzo D., Vescio F., Cooper R.S., Banegas J.R., Giampaoli S., Hense H.-W., Joffres M., Kastarinen M., Poulter N., Primatesta P.",00987484,"Journal of the American Medical Association",289, 18,558,79,90,26,195,0,753
2003,"Global risk of cardiovascular disease","Poulter N.",13556037,"Heart",89, 2,35,4,3,4,11,0,46
2003,"Prevention of coronary and stroke events with atorvastatin in hypertensive patients who have average or lower-than-average cholesterol concentrations, in the Anglo-Scandinavian Cardiac Outcomes Trial - Lipid Lowering Arm (ASCOT-LLA): A multicentre randomised controlled trial","Sever P.S., Dahlof B., Poulter N.R., Wedel H., Beevers G., Caulfield M., Collins R., Kjeldsen S.E., Kristinsson A., McInnes G.T., Mehlsen J., Nieminen M., O'Brien E., Ostergren J.",01406736,"Lancet",361, 9364,1795,175,170,44,389,0,2184
2003,"Predicting coronary risk in the general population - Is it necessary to measure high-density lipoprotein cholesterol?","Wilson S., Johnston A., Robson J., Poulter N.R., Collier D.J., Feder G.S., Caulfield M.J.",13506277,"Journal of Cardiovascular Risk",10, 2,6,1,1,0,2,0,8
2003,"Influence of hormone replacement therapy on C-reactive protein: Population-based data","Primatesta P., Falaschetti E., Poulter N.R.",13506277,"Journal of Cardiovascular Risk",10, 1,12,1,0,0,1,0,13
2003,"Better blood pressure control: How to combine drugs","Brown M.J., Cruickshank J.K., Dominiczak A.F., MacGregor G.A., Poulter N.R., Russell G.I., Thom S., Williams B.",09509240,"Journal of Human Hypertension",17, 2,87,4,8,2,14,0,101
2002,"Duration, frequency, recency, and type of migraine and the risk of ischaemic stroke in women of childbearing age","Donaghy M., Chang C.L., Poulter N.",00223050,"Journal of Neurology Neurosurgery and Psychiatry",73, 6,65,8,3,3,14,0,79
2002,"Hypertension trials - The current evidence base and forthcoming trials","Sever P., Poulter N.",09696113,"British Journal of Cardiology",9, 10,1,0,0,0,0,0,1
2002,"Pre-eclampsia, antiretroviral therapy, and immune reconstitution","Wimalasundera R.C., Larbalestier N., Smith J.H., De Ruiter A., Thom S.A.McG., Hughes A.D., Poulter N., Regan L., Taylor G.P.",01406736,"Lancet",360, 9340,48,4,4,3,11,0,59
2002,"The influence of economic development on the association between education and the risk of acute myocardial infarction and stroke","Chang C.-L., Marmot M.G., Farley T.M.M., Poulter N.R.",08954356,"Journal of Clinical Epidemiology",55, 8,22,3,4,0,7,0,29
2002,"Can cardiovascular risk factors explain the association between education and cardiovascular disease in young women?","Chang C.-L., Shipley M.J., Marmot M.G., Poulter N.R.",08954356,"Journal of Clinical Epidemiology",55, 8,8,1,2,0,3,0,11
2002,"Comparison of the effects of antihypertensive treatment with angiotensin II blockade and beta-blockade on carotid wall structure and haemodynamics: Protocol and baseline demographics","Ariff B., Thom S.A.McG., Stanton A., Barratt D., Augst A., Glor F., Poulter N., Sever P., Xu Y., Hughes A.",14703203,"JRAAS - Journal of the Renin-Angiotensin-Aldosterone System",3, 2,6,1,1,0,2,0,8
2002,"Independent effects of smoking on risk of hypertension: Small, if present","Poulter N.R.",02636352,"Journal of Hypertension",20, 2,4,1,0,2,3,0,7
2001,"The American journal of cardiology: Introduction","Poulter N.R.",00029149,"American Journal of Cardiology",88, 12,0,0,0,0,0,0,0
2001,"Improved hypertension management and control: Results from the Health Survey for England 1998","Primatesta P., Brookes M., Poulter N.R.",0194911X,"Hypertension",38, 4,177,11,12,2,25,0,202
2001,"Cardiovascular risk: Its assessment in clinical practice","Wilson S.L., Poulter N.R.",09674845,"British Journal of Biomedical Science",58, 4,7,0,0,0,0,0,7
2001,"Effects of blood pressure lowering with amlodipine or lisinopril on vascular structure of the common carotid artery","Stanton A.V., Chapman J.N., Mayet J., Sever P.S., Poulter N.R., Hughes A.D., Thom S.A.McG.",01435221,"Clinical Science",101, 5,22,3,3,0,6,0,28
2001,"Doxazosin for the management of hypertension: Implications of the findings of the ALLHAT Trial","Poulter N., Williams B.",08957061,"American Journal of Hypertension",14, 11 I,13,1,0,0,1,0,14
2001,"Uses of error: Suppositions and surprises","Poulter N.R.",01406736,"Lancet",358, 9291,1,0,0,0,0,0,1
2001,"Health economics of prevention of coronary heart disease and vascular events: A cost-effectiveness analysis based on the Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT)","Jonsson B., Buxton M., Hertzman P., Kahan T., Poulter N.",09509240,"Journal of Human Hypertension",15, 1,2,0,2,0,2,0,4
2001,"Differential response to amlodipine and atenolol mono-therapy for hypertension by ethnic group","Kirby P.L., Caulfield M.C., Collier D.J., Eldridge S., Griffiths C.G., Hemingway H., Poulter N.R., Feder G.S.",09509240,"Journal of Human Hypertension",15, 1,0,1,0,0,1,0,1
