,"Authors: Lightstone, Elizabeth B.; Lightstone, Liz B.",,,,,,,,,,,,
2007,"Renal disease and pregnancy","Lightstone L.",13573039,"Medicine",35, 9,0,0,0,0,0,0,0
2007,"Rituximab: An update","Hughes G., Close D., D'Cruz D., Gordon C., Reynolds J., Isenberg D., Bruce I., Jayne D., Jones R., Lightstone E.",09612033,"Lupus",16, 7,0,0,0,1,1,0,1
2007,"A patient with suspected miscarriage is found to have hypertension, renal failure, and thrombocytopenia: Case outcome","Laing C.M., Roberts R., Lightstone L., Graham A., Cook T.H., Summers S., Pusey C.D.",09598146,"British Medical Journal",335, 7612,0,0,1,0,1,0,1
2007,"A patient with suspected miscarriage is found to have hypertension, renal failure, and thrombocytopenia: Case progression","Laing C.M., Roberts R., Lightstone L., Graham A., Cook T.H., Summers S., Pusey C.D.",09598146,"British Medical Journal",335, 7609,0,0,0,0,0,0,0
2007,"A patient with suspected miscarriage is found to have hypertension, renal failure, and thrombocytopenia: Case presentation","Laing C.M., Roberts R., Lightstone L., Graham A., Cook T.H., Summers S., Pusey C.D.",09598146,"British Medical Journal",334, 7608,0,0,0,0,0,0,0
2006,"Urinary proteomic profiles distinguish between active and inactive lupus nephritis","Mosley K., Tam F.W.K., Edwards R.J., Crozier J., Pusey C.D., Lightstone L.",14620324,"Rheumatology",45, 12,0,5,11,6,22,0,22
2006,"Erratum: Distal renal tubular acidosis in association with HIV infection and AIDS (Nephrology Dialysis Transplantation (2006) vol. 21 (1420-1422))","Laing C.M., Roberts R., Summers S., Friedland J.S., Lightstone L., Unwin R.J.",09310509,"Nephrology Dialysis Transplantation",21, 7,0,0,0,0,0,0,0
2005,"Ethnicity and renal disease","Feehally J., Duffield J., Lightstone L., World M.J., Naish P., Feest T., Harrington J.T., Bello A.K., Gorovich A., Pierides A., Pusey C., Tomson C., Winearls C.G., Williams G.",00852538,"Kidney International",68, 1,1,0,2,0,2,0,3
2005,"Haplotype structure of TNFRSF5-TNFSF5 (CD40-CD40L) and association analysis in systemic lupus erythematosus","Chadha S., Miller K., Farwell L., Lightstone L.B., Daly M.J., Rioux J.D., Vyse T.J.",10184813,"European Journal of Human Genetics",13, 5,3,0,2,2,4,0,7
2004,"Palestine: The assault on health and other war crimes [1] (multiple letters)","Berelowitz M., Lightstone L., Rouse A.M., Marshall T., Mansdorf I.J., Lustman A.J., Twisselmann B.",09598146,"British Medical Journal",329, 7474,0,0,0,0,0,0,0
2004,"Glomerular endotheliosis in normal pregnancy and pre-eclampsia","Lindheimer M.D., Gallery E.D.M., Strevens H., Wide-Swensson D., Ingemarsson I., Grubb A., Thornton J., Mahowald M.B., De Swiet M., Lightstone L., Akbari A., De Poli Figueiredo C.E., Pinheiro Da Costa B.E., Antonello A I.C.F., Galao A.O.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",111, 2,2,2,0,0,2,0,4
2004,"Glomerular endotheliosis in normal pregnancy and pre-eclampsia.","de Swiet M., Lightstone L.",14700328,"BJOG : an international journal of obstetrics and gynaecology",111, 2,1,1,0,0,1,0,2
2003,"Regulation by CD25+ lymphocytes of autoantigen-specific T-cell responses in Goodpasture's (anti-GBM) disease","Salama A.D., Chaudhry A.N., Holthaus K.A., Mosley K., Kalluri R., Sayegh M.H., Lechler R.I., Pusey C.D., Lightstone L.",00852538,"Kidney International",64, 5,16,5,8,1,14,0,30
2003,"Preventing renal disease: The ethnic challenge in the United Kingdom","Lightstone L.",00986577,"Kidney International, Supplement",63, 83,3,0,0,0,0,0,3
2002,"Acute renal failure","Glynne P.A., Lightstone L.",14765063,"CPD Journal Acute Medicine",1, 1,0,0,0,0,0,0,0
2002,"Goodpasture's disease in the absence of circulating anti-glomerular basement membrane antibodies as detected by standard techniques","Salama A.D., Lightstone L., Pusey C.D., Dougan T., Levy J.B., Cook H.Terry, Morgan S.H., Naudeer S., Maidment G., George A.J.T., Evans D.",02726386,"American Journal of Kidney Diseases",39, 6,19,7,5,0,12,0,31
2002,"End-stage renal failure in Indo-Asians in the UK: A double whammy","Lightstone L.",00411337,"Transplantation",73, 10,1,0,0,0,0,0,1
2002,"High rates of tuberculosis in end-stage renal failure: The impact of international migration","Moore D.A.J., Lightstone L., Javid B., Friedland J.S.",10806040,"Emerging Infectious Diseases",8, 1,12,2,2,2,6,0,18
2001,"Reasons for failure of the ketogenic diet.","Lightstone L., Shinnar S., Callahan C.M., O'Dell C., Moshe S.L., Ballaban-Gil K.R.",08880395,"The Journal of neuroscience nursing : journal of the American Association of Neuroscience Nurses",33, 6,5,0,0,1,1,0,6
2001,"Goodpasture's disease","Salama A.D., Levy J.B., Lightstone L., Pusey C.D.",01406736,"Lancet",358, 9285,20,6,5,3,14,0,34
2001,"In Goodpasture's disease, CD4+ T cells escape thymic deletion and are reactive with the autoantigen ?3(IV)NC1","Salama A.D., Chaudhry A.N., Ryan J.J., Eren E., Levy J.B., Pusey C.D., Lightstone L., Lechler R.I.",10466673,"Journal of the American Society of Nephrology",12, 9,15,2,4,0,6,0,21
2001,"Acute renal failure","Glynne P.A., Lightstone L.",14702118,"Clinical Medicine",1, 4,2,1,0,0,1,0,3
2001,"Life-threatening thrombosis 18 years after first presentation of primary antiphospholipid antibody syndrome","Dupont P., Jackson J., Warrens A., Lightstone L.",09310509,"Nephrology Dialysis Transplantation",16, 4,2,0,0,0,0,0,2
2000,"Lesson of the week: Cholesterol emboli syndrome","Dupont P.J., Lightstone L., Clutterbuck E.J., Gaskin G., Pusey C.D., Cook T., Warrens A.N.",09598146,"British Medical Journal",321, 7268,15,3,2,0,5,0,20
1999,"Quinine-induced immune thrombocytopenic purpura followed by hemolytic uremic syndrome","Glynne P., Salama A., Chaudhry A., Swirsky D., Lightstone L.",02726386,"American Journal of Kidney Diseases",33, 1,19,1,4,1,6,0,25
1998,"Issues related to caring for infants to adults on an integrated epilepsy unit.","O'Dell C., Lightstone L., Maloney-Lutz K., Clements P., Mancini A., Moshe S.L., Shinnar S.",08880395,"The Journal of neuroscience nursing : journal of the American Association of Neuroscience Nurses",30, 2,0,0,0,0,0,0,0
1997,"Altered calcium signaling in MHC class II restricted antigen presentation by T cells","Tarnok A., Lechler R., Lombardi G., Hargreaves R., Sidhu S., Imami N., Lightstone L., Fuller-Espie Sh.T., Ritter M., Robinson P.",01712985,"Immunobiology",197, 2-4,0,0,0,0,0,0,0
1997,"In the absence of the invariant chain, HLA-DR molecules display a distinct array of peptides which is influenced by the presence or absence of HLA-DM","Lightstone L., Hargreaves R., Bobek G., Peterson M., Aichinger G., Lombardi G., Lechler R.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",94, 11,36,0,1,0,1,0,37
1996,"Antigen presentation by T cells inhibits IL-2 production and induces IL-4 release due to altered cognate signals","Lombardi G., Lechler R., Hargreaves R., Sidhu S., Imami N., Lightstone L., Fuller-Espie S., Ritter M., Robinson P., Tarnok A.",00221767,"Journal of Immunology",156, 8,34,3,0,0,3,0,37
1996,"The endogenous pathway of MHC class II antigen presentation","Lechler R., Aichinger G., Lightstone L.",01052896,"Immunological Reviews",, 151,53,2,3,1,6,0,59
1995,"Protocol for ACTH administration in refractory childhood seizures: educational strategies.","O'Dell C., Maloney-Lutz K., Shinnar S., Ballaban-Gil K., Kang H., Lightstone L., Chester L., Sinnett M., Moshe S.L.",08880395,"The Journal of neuroscience nursing : journal of the American Association of Neuroscience Nurses",27, 6,1,0,0,0,0,0,1
1995,"Expression in vivo of CD45RA, CD45RB and CD44 on T cell receptor-transgenic CD8+ T cells following immunization","Pihlgren M., Lightstone L., Mamalaki C., Rimon G., Kioussis D., Marvel J.",00142980,"European Journal of Immunology",25, 6,16,0,0,0,0,0,16
1995,"High incidence of end-stage renal disease in Indo-Asians in the UK","Lightstone L., Rees A.J., Tomson C., Walls J., Winearls C.G., Feehally J.",00335622,"Quarterly Journal of Medicine",88, 3,28,4,2,2,8,0,36
1993,"CD45RA+ T cells: Not simple virgins","Lightstone L., Marvel J.",01435221,"Clinical Science",85, 5,12,0,0,0,0,0,12
1993,"Hyper-reactivity of mouse CD45RA- T cells","Lightstone E., Marveland J., Mitchison A.",00142980,"European Journal of Immunology",23, 9,8,0,0,0,0,0,8
1992,"Memory in helper T cells of minor histocompatibility antigens, revealed in vivo by alloimmunizations in combination with Thy-1 antigen","Lightstone E., Marvel J., Mitchison A.",00142980,"European Journal of Immunology",22, 1,7,0,0,0,0,0,7
1991,"CD45RA antibodies split the CD3(bright) T cell subset","Ezine S., Marvel J., Lightstone E., Dautigny N., Boitard C.",09538178,"International Immunology",3, 9,1,0,0,0,0,0,1
1991,"The CD45RA molecule is expressed in naive murine CTL precursors but absent in memory and effector CTL","Marvel J., Lightstone E., Samberg N.L., Ettinghausen D., Stauss H.J.",09538178,"International Immunology",3, 1,3,1,0,0,1,0,4
1991,"In the mouse the maturation stage of the peripheral CD4+CD45RA+ subset is different from that of the CD8+CD45RA+ subset","Lightstone E.B., Wyllie D., Marvel J.",00142980,"European Journal of Immunology",21, 9,2,0,0,0,0,0,2
1990,"Expression of CD45 on T-cell populations","Lightstone E., Marvel J.",14714906,"Trends in Immunology",11, C,0,0,0,0,0,0,0
1990,"CD45RA is detected in all thymocyte subsets defined by CD4 and CD8 by using three-colour flow cytometry","Lightstone E.B., Marvel J.",00192805,"Immunology",71, 4,3,0,0,0,0,0,3
1990,"Expression of CD45 on T-cell populations","Lightstone E., Marvel J.",01674919,"Immunology Today",11, 12,0,0,0,0,0,0,0
1989,"Anti-CD45RA antibodies increase the proliferation of mouse T cells to phytohemagglutinin through the interleukin 2/interleukin 2 receptor pathway","Marvel J., Poirier G., Lightstone E.",00142980,"European Journal of Immunology",19, 11,3,0,0,0,0,0,3
1989,"Problems in the physiology of class I and class II MHC molecules, and of CD45","Fisher A.G., Goff L.K., Lightstone L., Marvel J., Mitchison N.A., Poirier G., Stauss H., Zamoyska R.",00917451,"Cold Spring Harbor Symposia on Quantitative Biology",54, 2,0,0,0,0,0,0,0
1988,"Slides on renal medicine.","Lightstone E.",00071064,"British Journal of Hospital Medicine",39, 5,0,0,0,0,0,0,0
