,"Author: Brown, Susan C.",,,,,,,,,,,
2007,"Desmin immunolocalisation in autosomal dominant Emery-Dreifuss muscular dystrophy","Piercy R.J., Zhou H., Feng L., Pombo A., Muntoni F., Brown S.C.",09608966,"Neuromuscular Disorders",17, 4,0,0,3,3,1,4
2007,"Erratum: Lack of myostatin results in excessive muscle growth but impaired force generation (Proceedings of the National Academy of Sciences of the United States of America (2007) 104, 6, (1835-1840) DOI: 10.1073/pnas.0604893104)","Amthor H., Partridge T., Zammit P., Bunger L., Patel K., Macharia R., Navarrete R., Schuelke M., Brown S.C., Otto A., Voit T., Muntoni F., Vrbova G.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 10,0,0,0,0,0,0
2007,"Lack of myostatin results in excessive muscle growth but impaired force generation","Amthor H., Partridge T., Zammit P., Bunger L., Patel K., Macharia R., Navarrete R., Schuelke M., Brown S.C., Otto A., Voit T., Muntoni F., Vrbova G.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 6,0,5,17,22,12,34
2006,"Fukutin gene mutations in steroid-responsive limb girdle muscular dystrophy","Godfrey C., Sewry C.A., Rutherford M., Shapira Y., Abbs S., Muntoni F., Escolar D., Brockington M., Clement E.M., Mein R., Jimenez-Mallebrera C., Torelli S., Feng L., Brown S.C.",03645134,"Annals of Neurology",60, 5,0,5,12,17,13,30
2006,"A comparative analysis of collagen VI production in muscle, skin and fibroblasts from 14 Ullrich congenital muscular dystrophy patients with dominant and recessive COL6A mutations","Jimenez-Mallebrera C., Bonnemann C., Sewry C.A., Muntoni F., Maioli M.A., Kim J., Brown S.C., Feng L., Lampe A.K., Bushby K., Hicks D., Flanigan K.M.",09608966,"Neuromuscular Disorders",16, 9-10,0,2,6,8,3,11
2006,"Disease severity in dominant Emery Dreifuss is increased by mutations in both emerin and desmin proteins","Muntoni F., Shatunov A., Sewry C.A., Brown S.C., Bonne G., Goldfarb L.G., Mercuri E., Piercy R.J., Burke M., Ben Yaou R., Richard P., Recan D.",00068950,"Brain",129, 5,3,11,8,19,2,24
2006,"Four and a half LIM protein 1 binds myosin-binding protein C and regulates myosin filament formation and sarcomere assembly","McGrath M.J., Mitchell C.A., Brown S., Cottle D.L., Nguyen M.-A., Dyson J.M., Coghill I.D., Robinson P.A., Holdsworth M., Cowling B.S., Hardeman E.C.",00219258,"Journal of Biological Chemistry",281, 11,2,2,11,13,3,18
2005,"Syncoilin upregulation in muscle of patients with neuromuscular disease","Brown S.C., Torelli S., Ugo I., De Biasia F., Howman E.V., Poon E., Britton J., Davies K.E., Muntoni F.",0148639X,"Muscle and Nerve",32, 6,0,0,4,4,2,6
2005,"Sub-cellular localisation of fukutin related protein in different cell lines and in the muscle of patients with MDC1C and LGMD2I","Torelli S., Romero N., Wewer U., Voit T., Sewry C.A., Noguchi S., Nishino I., Muntoni F., Brown S.C., Brockington M., Dolatshad N.F., Jimenez C., Skordis L., Feng L.H., Merlini L., Jones D.H.",09608966,"Neuromuscular Disorders",15, 12,3,6,1,7,0,10
2005,"Mutated fukutin-related protein (FKRP) localises as wild type in differentiated muscle cells","Dolatshad N.F., Brockington M., Torelli S., Skordis L., Wever U., Wells D.J., Muntoni F., Brown S.C.",00144827,"Experimental Cell Research",309, 2,0,6,2,8,0,8
2005,"Lamins A and C are differentially dysfunctional in autosomal dominant Emery-Dreifuss muscular dystrophy","Motsch I., Kaluarachchi M., Emerson L.J., Brown C.A., Brown S.C., Dabauvalle M.-C., Ellis J.A.",01719335,"European Journal of Cell Biology",84, 9,3,0,1,1,2,6
2005,"Extreme variability of skeletal and cardiac muscle involvement in patients with mutations in exon 11 of the lamin A/C gene","Mercuri E., Burke M.M., McKenna W., Bonne G., Muntoni F., Brown S.C., Nihoyannopoulos P., Poulton J., Kinali M., Richard P., Piercy R.J., Messina S., Sewry C.",0148639X,"Muscle and Nerve",31, 5,11,1,5,6,2,19
2005,"Congenital muscular dystrophy: Molecular and cellular aspects","Jimenez-Mallebrera C., Brown S.C., Sewry C.A., Muntoni F.",1420682X,"Cellular and Molecular Life Sciences",62, 7-8,10,11,7,18,8,36
2005,"Localization and functional analysis of the LARGE family of glycosyltransferases: Significance for muscular dystrophy","Brockington M., Torelli S., Prandini P., Boito C., Dolatshad N.F., Longman C., Brown S.C., Muntoni F.",09646906,"Human Molecular Genetics",14, 5,16,9,2,11,7,34
2005,"Ullrich congenital muscular dystrophy: Connective tissue abnormalities in the skin support overlap with Ehlers-Danlos syndromes","Kirschner J., Bonnemann C.G., Hausser I., Zou Y., Schreiber G., Christen H.-J., Brown S.C., Anton-Lamprecht I., Muntoni F., Hanefeld F.",15524825,"American Journal of Medical Genetics",132, 3,2,5,1,6,2,10
2004,"Immunopathology and molecular genetics of dystrophinopathies.","Brown S.C., Torelli S., Jimenez C., Muntoni F., Sewry C.A.",1567424X,"Supplements to Clinical neurophysiology",57, ,1,0,0,0,0,1
2004,"Absence of neuronal nitric oxide synthase (nNOS) as a pathological marker for the diagnosis of Becker muscular dystrophy with rod domain deletions","Torelli S., Brown S.C., Jimenez-Mallebrera C., Feng L., Muntoni F., Sewry C.A.",03051846,"Neuropathology and Applied Neurobiology",30, 5,4,2,1,3,2,9
2004,"Congenital muscular dystrophy with short stature, proximal contractures and distal laxity","Mercuri E., Kinali M., Brockington M., Hausser I., Jones D.H., Voit T., Bushby K., Muntoni F., Lampe A., Straub V., Yuva Y., Longman C., Wright M., Brown S., Sewry C., Bonnemann C.",0174304X,"Neuropediatrics",35, 4,4,0,1,1,1,6
2004,"Glycosylation eases muscular dystrophy","Muntoni F., Brockington M., Brown S.C.",10788956,"Nature Medicine",10, 7,4,0,0,0,2,6
2004,"Prenatal diagnosis of Ullrich congenital muscular dystrophy using haplotype analysis and collagen VI immunocytochemistry","Brockington M., Muntoni F., Brown S.C., Lampe A., Yuva Y., Feng L., Jimenez-Mallebrera C., Sewry C.A., Flanigan K.M., Bushby K.",01973851,"Prenatal Diagnosis",24, 6,5,3,1,4,0,9
2004,"Defective glycosylation in congenital muscular dystrophies","Muntoni F., Brockington M., Torelli S., Brown S.C.",13507540,"Current Opinion in Neurology",17, 2,50,16,8,24,10,84
2004,"Enhanced expression of the P2X4 receptor in Duchenne muscular dystrophy correlates with macrophage invasion","Yeung D., Kharidia R., Brown S.C., Gorecki D.C.",09699961,"Neurobiology of Disease",15, 2,4,2,0,2,2,8
2004,"Abnormalities in ?-Dystroglycan Expression in MDC1C and LGMD2I Muscular Dystrophies","Brown S.C., Bushby K., Voit T., Sewry C., Muntoni F., Torelli S., Brockington M., Yuva Y., Jimenez C., Feng L., Anderson L., Ugo I., Kroger S.",00029440,"American Journal of Pathology",164, 2,30,13,10,23,7,60
2003,"Skeletal muscle LIM protein 1 (SLIM1/FHL1) induces ? 5?1-integrin-dependent myocyte elongation","McGrath M.J., Mitchell C.A., Coghill I.D., Robinson P.A., Brown S.",03636143,"American Journal of Physiology - Cell Physiology",285, 6,14,5,7,12,1,27
2003,"A novel form of recessive limb girdle muscular dystrophy with mental retardation and abnormal expression of ?-dystroglycan","Dincer P., Haliloglu G., Gerceker F.O., Atalay R.C., Yakicier C., Longman C., Muntoni F., Topaloglu H., Balci B., Yuva Y., Talim B., Brockington M., Dincel D., Torelli S., Brown S., Kale G.",09608966,"Neuromuscular Disorders",13, 10,7,2,0,2,4,13
2003,"Skeletal muscle involvement in infantile systemic hyalinosis","Zolkipli Z., Longman C., Brown S., Rahman N., Holder S.E., Muntoni F.",10903798,"European Journal of Paediatric Neurology",7, 6,1,0,2,2,0,3
2003,"Mutations in the human LARGE gene cause MDC1D, a novel form of congenital muscular dystrophy with severe mental retardation and abnormal glycosylation of ?-dystroglycan","Longman C., Merlini L., Sewry C.A., Brown S.C., Muntoni F., Brockington M., Torelli S., Jimenez-Mallebrera C., Kennedy C., Khalil N., Feng L., Saran R.K., Voit T.",09646906,"Human Molecular Genetics",12, 21,82,20,22,42,14,138
2003,"114th ENMC International Workshop on Congenital Muscular Dystrophy (CMD) 17-19 January 2003, Naarden, The Netherlands: (8th Workshop of the International Consortium on CMD; 3rd Workshop of the MYO-CLUSTER project GENRE)","Muntoni F., Fiszman M., Gruenewald S., Merlini L., Quijano-Roy S., Romero N., Sabatelli P., Sewry C.A., Straub V., Talim B., Topaloglu H., Valero De Bernabe B., Voit T., Yurchenco P.D., Urtizberea J.A., Wewer U.M., Guicheney P., Bittner R., Blake D., Van Bokhoven H., Brockington M., Brown S., Bushby K., Campbell K.P.",09608966,"Neuromuscular Disorders",13, 7-8,14,1,0,1,1,16
2003,"Muscle magnetic resonance imaging in patients with congenital muscular dystrophy and Ullrich phenotype","Mercuri E., Jimenez C., Brockington M., Yuva Y., Sewry C.A., Muntoni F., Cini C., Pichiecchio A., Allsop J., Counsell S., Zolkipli Z., Messina S., Kinali M., Brown S.C.",09608966,"Neuromuscular Disorders",13, 7-8,9,1,3,4,2,15
2003,"108th ENMC International Workshop, 3rd Workshop of the MYO-CLUSTER project: EUROMEN, 7th International Emery-Dreifuss Muscular Dystrophy (EDMD) Workshop, 13-15 September 2002, Naarden, The Netherlands","Bonne G., Lattanzi G., Merlini L., Morris G., Muntoni F., Opolski G., Pinto Y.M., Sangiuolo F., Toniolo D., Trembath R., Van Berlo J.H., Yaou R.B., Van Der Kooi A.J., Wehnert M., Beroud C., Boriani G., Brown S., De Visser M., Duboc D., Ellis J., Hausmanowa-Petrusewicz I.",09608966,"Neuromuscular Disorders",13, 6,27,3,2,5,3,35
2003,"FHL3 is an actin-binding protein that regulates ?-actinin-mediated actin bundling. FHL3 localizes to actin stress fibers and enhances cell spreading and stress fiber disassembly","Coghill I.D., Brown S., Cottle D.L., McGrath M.J., Robinson P.A., Nandurkar H.H., Dyson J.M., Mitchell C.A.",00219258,"Journal of Biological Chemistry",278, 26,22,5,4,9,2,33
2003,"Profound skeletal muscle depletion of ?-dystroglycan in Walker-Warburg syndrome","Jimenez-Mallebrera C., Torelli S., Brown S.C., Feng L., Brockington M., Sewry C.A., Beltran-Valero de Bernabe D., Muntoni F.",10903798,"European Journal of Paediatric Neurology",7, 3,20,3,2,5,3,28
2003,"Phenotypic spectrum associated with mutations in the fukutin-related protein gene","Mercuri E., Blake D.J., Romero N.B., Estournet B., Sewry C.A., Guicheney P., Voit T., Muntoni F., Brockington M., Straub V., Quijano-Roy S., Yuva Y., Herrmann R., Brown S.C., Torelli S., Dubowitz V.",03645134,"Annals of Neurology",53, 4,53,14,10,24,4,81
2003,"Occipito-temporal polymicrogyria and subclinical muscular dystrophy","Zolkipli Z., Hartley L., Brown S., Rutherford M., Cowan F., Mercuril E., Muntoni F.",0174304X,"Neuropediatrics",34, 2,1,0,0,0,0,1
2003,"FKRP gene mutations cause congenital muscular dystrophy, mental retardation, and cerebellar cysts","Topaloglu H., Brockington M., Yuva Y., Talim B., Haliloglu G., Blake D., Torelli S., Brown S.C., Muntoni F.",00283878,"Neurology",60, 6,47,14,5,19,7,73
2003,"Skeletal muscle LIM protein 1 regulates integrin-mediated myoblast adhesion, spreading, and migration","Robinson P.A., Brown S., McGrath M.J., Coghill I.D., Gurung R., Mitchell C.A.",03636143,"American Journal of Physiology - Cell Physiology",284, 3,12,5,8,13,1,26
2003,"Relocalization of neuronal nitric oxide synthase (nNOS) as a marker for complete restoration of the dystrophin associated protein complex in skeletal muscle","Wells K.E., Torelli S., Lu Q., Brown S.C., Partridge T., Muntoni F., Wells D.J.",09608966,"Neuromuscular Disorders",13, 1,8,3,4,7,3,18
2002,"Functional requirements for fukutin-related protein in the Golgi apparatus","Esapa C.T., Benson M.A., Schroder J.E., Martin-Rendon E., Brockington M., Brown S.C., Muntoni F., Kroger S., Blake D.J.",09646906,"Human Molecular Genetics",11, 26,36,10,4,14,3,53
2002,"Muscle MRI findings in a three-generation family affected by Bethlem myopathy","Mercuri E., Muntoni F., Cini C., Counsell S., Allsop J., Zolkipli Z., Jungbluth H., Sewry C., Brown S.C., Pepe G.",10903798,"European Journal of Paediatric Neurology",6, 6,14,0,0,0,2,16
2002,"Defective glycosylation in muscular dystrophy","Muntoni F., Brockington M., Blake D.J., Torelli S., Brown S.C.",01406736,"Lancet",360, 9343,68,9,4,13,7,88
2002,"98th ENMC International Workshop on Congenital Muscular Dystrophy (CMD), 7th Workshop of the International Consortium on CMD, 2nd Workshop of the MYO CLUSTER project GENRE26-28th October, 2001, Naarden, The Netherlands","Muntoni F., Merlini L., Hewitt J., Quijano-Roy S., Romero N., Squarzoni S., Sewry C.A, Straub V., Topaloglu H., Haliloglu G., Voit T., Bertini E., Wewer U., Guicheney P., Bonnemann C., Brockington M., Brown S., Bushby K., Fiszman M., Korner C., Mercuri E.",09608966,"Neuromuscular Disorders",12, 9,10,1,1,2,2,14
2002,"Congenital muscular dystrophies","Mercuri E., Sewry C., Brown S.C., Muntoni F.",10719091,"Seminars in Pediatric Neurology",9, 2,9,1,1,2,0,11
2002,"Autosomal recessive inheritance of RYR1 mutations in a congenital myopathy with cores","Jungbluth H., Ferreiro A., Laing N.G., Davis M.R., Roper H.P., Dubowitz V., Bydder G., Sewry C.A., Muntoni F., Muller C.R., Halliger-Keller B., Brockington M., Brown S.C., Feng L., Chattopadhyay A., Mercuri E., Manzur A.Y.",00283878,"Neurology",59, 2,35,12,7,19,3,57
2002,"Collagen VI involvement in Ullrich syndrome: A clinical, genetic, and immunohistochemical study","Mercuri E., Yuva Y., Brown S.C., Brockington M., Kinali M., Jungbluth H., Feng L., Sewry C.A., Muntoni F.",00283878,"Neurology",58, 9,29,4,2,6,8,43
2002,"The gene for a novel glycosyltransferase is mutated in congenital muscular dystrophy MDC1C and limb girdle muscular dystrophy 2I","Brockington M., Blake D.J., Torelli S., Brown S.C., Muntoni F.",09608966,"Neuromuscular Disorders",12, 3,19,1,1,2,0,21
2001,"Mutations in the fukutin-related protein gene (FKRP) cause a form of congenital muscular dystrophy with secondary laminin deficiency and abnormal glycosylation of ?-dystroglycan","Brockington M., Mercuri E., Voit T., Sewry C.A., Guicheney P., Muntoni F., Blake D.J., Prandini P., Brown S.C., Torelli S., Benson M.A., Ponting C.P., Estournet B., Romero N.B.",00029297,"American Journal of Human Genetics",69, 6,161,34,17,51,11,223
2001,"Role of LIM domains in mediating signaling protein interactions","Brown S., Coghill I.D., McGrath M.J., Robinson P.A.",15216543,"IUBMB Life",51, 6,6,1,1,2,0,8
2001,"Mutations in the fukutin-related protein gene (FKRP) identify limb girdle muscular dystrophy 21 as a milder allelic variant of congenital muscular dystrophy MDC1C","Brockington M., Burgunder J.-M., Fallet S., Romero N., Fardeau M., Straub V., Storey G., Pollitt C., Richard I., Sewry C.A., Bushby K., Yuva Y., Voit T., Blake D.J., Muntoni F., Prandini P., Brown S.C., Torelli S., Benson M.A., Herrmann R., Anderson L.V.B., Bashir R.",09646906,"Human Molecular Genetics",10, 25,141,27,22,49,12,202
2001,"Skeletal muscle pathology in autosomal dominant Emery-Dreifuss muscular dystrophy with lamin A/C mutations","Sewry C.A., Brown S.C., Mercuri E., Bonne G., Feng L., Camici G., Morris G.E., Muntoni F.",03051846,"Neuropathology and Applied Neurobiology",27, 4,41,6,4,10,2,53
2001,"The R482Q lamin A/C mutation that causes lipodystrophy does not prevent nuclear targeting of lamin A in adipocytes or its interaction with emerin","Holt I., Clements L., Manilal S., Brown S.C., Morris G.E.",10184813,"European Journal of Human Genetics",9, 3,25,1,0,1,0,26
2001,"Non-sarcolemmal muscular dystrophies","Brown S.C., Muntoni F., Sewry C.A.",10156305,"Brain Pathology",11, 2,10,1,0,1,0,11
2001,"Abnormalities in the expression of nebulin in chromosome-2 linked nemaline myopathy","Sewry C.A., Brown S.C., Pelin K., Jungbluth H., Wallgren-Pettersson C., Labeit S., Manzur A., Muntoni F.",09608966,"Neuromuscular Disorders",11, 2,17,2,0,2,1,20
2001,"Mild phenotype of nemaline myopathy with sleep hypoventilation due to a mutation in the skeletal muscle ?-actin (ACTA1) gene","Jungbluth H., Dubowitz V., Muntoni F., Sewry C.A., Brown S.C., Nowak K.J., Laing N.G., Wallgren-Pettersson C., Pelin K., Manzur A.Y., Mercuri E.",09608966,"Neuromuscular Disorders",11, 1,23,4,4,8,3,34
2000,"Congenital muscular dystrophy associated with calf hypertrophy, microcephaly and severe mental retardation in three Italian families: Evidence for a novel CMD syndrome","Villanova M., Ferreiro A., Maraldi N.M., Toda T., Guicheney P., Merlini L., Muntoni F., Mercuri E., Bertini E., Sabatelli P., Morandi L., Mora M., Sewry C., Brockington M., Brown S.C.",09608966,"Neuromuscular Disorders",10, 8,23,3,3,6,1,30
2000,"Minicore myopathy in children: A clinical and histopathological study of 19 cases","Jungbluth H., Kelsey A., Dubowitz V., Muntoni F., Sewry C., Brown S.C., Manzur A.Y., Mercuri E., Bushby K., Rowe P., Johnson M.A., Hughes I.",09608966,"Neuromuscular Disorders",10, 4-5,24,6,4,10,1,35
2000,"Dystrophin and utrophin: Genetic analyses of their role in skeletal muscle","Rafael J.A., Brown S.C.",1059910X,"Microscopy Research and Technique",48, 3-4,14,1,2,3,2,19
2000,"Congenital muscular dystrophy with secondary merosin deficiency and normal brain MRI: A novel entity?","Mercuri E., Sewry C.A., Brown S.C., Brockington M., Jungbluth H., DeVile C., Counsell S., Manzur A., Muntoni F.",0174304X,"Neuropediatrics",31, 4,11,2,1,3,0,14
1999,"Characterization of two isoforms of the skeletal muscle LIM protein 1, SLIM1. Localization of SLIM1 at focal adhesions and the isoform SLIMMER in the nucleus of myoblasts and cytoplasm of myotubes suggests distinct roles in the cytoskeleton and in nuclear-cytoplasmic communication","Brown S., McGrath M.J., Ooms L.M., Gurung R., Maimone M.M., Mitchell C.A.",00219258,"Journal of Biological Chemistry",274, 38,30,5,7,12,2,44
1999,"Enhanced expression of recombinant dystrophin following intramuscular injection of Epstein-Barr virus (EBV)-based mini-chromosome vectors in mdx mice","Tsukamoto H., Wells D.J., Brown S.C., Serpente P., Strong P.N., Drew J., Inui K., Okada S., Dickson J.G.",09697128,"Gene Therapy",6, 7,25,1,0,1,0,26
1999,"The cardiac expression of striated muscle LIM protein 1 (SLIM1) is restricted to the outflow tract of the developing heart","Brown S., Biben C., Ooms L.M., Maimone M., McGrath M.J., Gurung R., Harvey R.P., Mitchell C.A.",00222828,"Journal of Molecular and Cellular Cardiology",31, 4,12,0,3,3,0,15
1999,"Dystrophic phenotype induced in vitro by antibody blockade of muscle ?-dystroglycan-laminin interaction","Brown S.C., Fassati A., Popplewell L., Page A.M., Henry M.D., Campbell K.P., Dickson G.",00219533,"Journal of Cell Science",112, 2,38,2,1,3,3,44
1998,"Accessibility of T-tubule vacuoles to extracellular dextran and DNA: Mechanism and potential application of vacuolation","Krolenko S.A., Amos W.B., Brown S.C., Tarunina M.V., Lucy J.A.",01424319,"Journal of Muscle Research and Cell Motility",19, 6,12,3,2,5,0,17
1997,"Utrophin-dystrophin-deficient mice as a model for Duchenne muscular dystrophy","Deconinck A.E., Davies K.E., Rafael J.A., Skinner J.A., Brown S.C., Potter A.C., Metzinger L., Watt D.J., Dickson J.G., Tinsley J.M.",00928674,"Cell",90, 4,188,19,18,37,14,239
1997,"Genetic correction of dystrophin deficiency and skeletal muscle remodeling in adult MDX mouse via transplantation of retroviral producer cells","Fassati A., Wells D.J., Serpente P.A.S., Walsh F.S., Brown S.C., Strong P.N., Dickson G.",00219738,"Journal of Clinical Investigation",100, 3,23,0,1,1,0,24
1995,"Duchenne muscular dystrophy.","Dickson G., Brown S.C.",14700573,"Molecular and cell biology of human diseases series",5, ,1,0,0,0,0,1
1995,"Spatial and temporal distribution of [Ca2+](i) in normal human myotubes. A fura-2 imaging study","Brown S.C., Beurg M., Grouselle M., Koenig J., Krueger S., Lucy J.A., Georgescauld D.",01719335,"European Journal of Cell Biology",66, 4,4,0,0,0,0,4
1993,"Dystrophin as a mechanochemical transducer in skeletal muscle","Brown S.C., Lucy J.A.",02659247,"BioEssays",15, 6,28,0,2,2,1,31
1992,"Cell spreading on collagen that has been exposed to reactive aldehydes","Thorne L., Davies W., Brown S.C., Rice-Evans C.A., Lucy J.A.",03005127,"Biochemical Society Transactions",20, 4,0,0,0,0,0,0
1990,"Monensin does not consistently inhibit the spreading of normal or Duchenne fibroblasts on glass","Brown S.C., Fisher D., Lucy J.A.",00219533,"Journal of Cell Science",97, 1,1,0,0,0,0,1
