,"Author: Leff, Donna Richard",,,,,,,,,,,
2008,"Could variations in technical skills acquisition in surgery be explained by differences in cortical plasticity?","Leff D.R., Leong J.J., Aggarwal R., Yang G.Z., Darzi A.",00034932,"Annals of surgery",247, 3,0,0,2,2,0,2
2008,"Diffuse optical imaging of the healthy and diseased breast: A systematic review","Leff D.R., Warren O.J., Enfield L.C., Gibson A., Athanasiou T., Patten D.K., Hebden J., Yang G.Z., Darzi A.",01676806,"Breast Cancer Research and Treatment",108, 1,0,0,6,6,7,13
2008,"Laparoscopic skills suffer on the first shift of sequential night shifts: program directors beware and residents prepare.","Leff D.R., Aggarwal R., Rana M., Nakhjavani B., Purkayastha S., Khullar V., Darzi A.W.",00034932,"Annals of surgery",247, 3,0,0,1,1,4,5
2008,"Recombinant Activated Factor VII: A Solution to Refractory Haemorrhage in Vascular Surgery?","Warren O.J., Alcock E.M.H., Choong A.M.T.L., Leff D.R., Van Herzeele I., Darzi A.W., Athanasiou T., Cheshire N.J.W.",10785884,"European Journal of Vascular and Endovascular Surgery",35, 2,0,0,1,1,1,2
2008,"New technologies for the surgical curriculum","Aggarwal R., Leong J., Leff D., Warren O., Yang G.-Z., Darzi A.",03642313,"World Journal of Surgery",32, 2,0,0,0,0,0,0
2008,"Changes in prefrontal cortical behaviour depend upon familiarity on a bimanual co-ordination task: An fNIRS study","Leff D.R., Elwell C.E., Orihuela-Espina F., Atallah L., Delpy D.T., Darzi A.W., Yang G.Z.",10538119,"NeuroImage",39, 2,0,0,4,4,1,5
2008,"Visuo-spatial ability and fMRI cortical activation in surgery residents","Leff D.R., Leong J., Yang G.-Z., Darzi A.W.",00029610,"American Journal of Surgery",195, 1,0,0,0,0,0,0
2007,"Functional near infrared spectroscopy in novice and expert surgeons--a manifold embedding approach.","Leff D.R., Orihuela-Espina F., Atallah L., Darzi A., Yang G.Z.",,"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention",10, 2,0,0,0,0,1,1
2007,"Functional near infrared spectroscopy in novice and expert surgeons - A manifold embedding approach","Leff D.R., Orihuela-Espina F., Atallah L., Darzi A., Yang G.-Z.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",4792, 2,0,0,3,3,0,3
2007,"Trucks, planes, and scalpels: Is there an evidence-based approach to surgeons' working hours?","Leff D., Aziz O., Darzi A.",00040010,"Archives of Surgery",142, 9,0,0,0,0,2,2
2007,"A nontransfusional perioperative management regimen for patients with sickle cell disease undergoing laparoscopic cholecystectomy","Leff D.R., Kaura T., Agarwal T., Davies S.C., Howard J., Chang A.C.",09302794,"Surgical Endoscopy and Other Interventional Techniques",21, 7,0,1,1,2,1,3
2007,"The effect of local cooling on pain perception during infiltration of local anaesthetic agents, a prospective randomised controlled trial","Leff D.R., Nortley M., Dang V., Bhutiani R.P.",00032409,"Anaesthesia",62, 7,0,0,0,0,2,2
2007,"Skeletonization of radial and gastroepiploic conduits in coronary artery bypass surgery","Massey R.M., Warren O.J., Szczeklik M., Wallace S., Leff D.R., Kokotsakis J., Darzi A., Athanasiou T.",17498090,"Journal of Cardiothoracic Surgery",2, 1,0,0,0,0,0,0
2007,"The effects of various leukocyte filtration strategies in cardiac surgery","Warren O., Alexiou C., Massey R., Leff D., Purkayastha S., Kinross J., Darzi A., Athanasiou T.",10107940,"European Journal of Cardio-thoracic Surgery",31, 4,0,3,3,6,4,10
2007,"Ruptured spleen following laparoscopic cholecystectomy.","Leff D., Nortley M., Melly L., Bhutiani R.P.",10868089,"JSLS : Journal of the Society of Laparoendoscopic Surgeons / Society of Laparoendoscopic Surgeons",11, 1,0,0,2,2,0,2
2007,"Colorectal cancer in the young patient","Leff D.R., Chen A., Roberts D., Grant K., Western C., Windsor A.C.J., Cohen C.R.G.",00031348,"American Surgeon",73, 1,0,2,4,6,1,7
2006,"Optical mapping of the frontal cortex during a surgical knot-tying task, a feasibility study","Leff D., Koh P.H., Aggarwal R., Leong J., Deligianni F., Elwell C., Delpy D.T., Darzi A., Yang G.-Z.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",4091, ,1,1,4,5,0,6
2006,"Variations in consenting practice for laparoscopic cholecystectomy","Chen A.M., Leff D.R., Simpson J., Chadwick S.J.D., McDonald P.J.",00358843,"Annals of the Royal College of Surgeons of England",88, 5,0,0,1,1,2,3
2006,"Give the patients the choice - The 'walk in walk out' hernia clinic","Leff D.R., Bhutiani R.P.",09666532,"Ambulatory Surgery",12, 3,0,1,0,1,0,1
2005,"Making an impact: The rise of the impact factor as a measure of journal quality","Leff D.",00028223,"Journal of the American Dietetic Association",105, 1,5,1,1,2,1,8
2004,"How to write for the public","Leff D.",00028223,"Journal of the American Dietetic Association",104, 5,0,0,0,0,0,0
2004,"Dentures in a small-bowel stricture [4]","Leff D.R., Willis A., Menzies D.",01410768,"Journal of the Royal Society of Medicine",97, 4,0,0,0,0,0,0
1998,"Tuberculosis control policies in major metropolitan health departments in the United States","Leff D.R., Leff A.R.",09348387,"Pneumologie",52, 5,0,0,0,0,0,0
1997,"Tuberculosis control policies in major metropolitan health departments in the United States: VI. Standard of practice in 1996","Leff D.R., Leff A.R.",1073449X,"American Journal of Respiratory and Critical Care Medicine",156, 5,13,0,2,2,1,16
1993,"Tuberculosis control policies in major metropolitan health departments in the United States: V. Standard of practice in 1992","Leff D.R., Leff A.R.",00030805,"American Review of Respiratory Disease",148, 6 I,5,0,0,0,0,5
1989,"Tuberculosis control policies in major metropolitan health departments in the United States. IV. Standards in 1988","Leff D.R., Leff A.R.",00030805,"American Review of Respiratory Disease",139, 6,4,0,0,0,0,4
1986,"Tuberculosis: a reflection of political institutions and social concerns in the United States.","Leff A.R., Leff D.R.",00315982,"Perspectives in Biology and Medicine",30, 1,0,0,0,0,0,0
1985,"Current treatment modes for tuberculosis. Public policy and implementation.","Leff D.R., Leff A.R.",00123692,"Chest",87, 2,0,0,0,0,0,0
1985,"Tuberculosis control practices in major metropolitan health departments in the United States. 3. Standard of practice in 1984","Leff D.R., Leff A.R.",00123692,"Chest",87, 2,1,0,0,0,0,1
1983,"Media and agenda setting: effects on the public, interest group leaders, policy makers, and policy.","Cook F.L., Tyler T.R., Goetz E.G., Gordon M.T., Protess D., Leff D.R., Molotch H.L.",0033362X,"Public Opinion Quarterly",47, 1,32,12,2,14,2,48
1981,"Tuberculosis chemotherapy practices in major metropolitan health departments in the United States","Leff A.R., Leff D.R., Brewin A.",00030805,"American Review of Respiratory Disease",123, 2,3,0,0,0,0,3
