2004,"Physical Stability of Salmon Calcitonin Spray-Dried Powders for Inhalation","Chan H.-K., Clark A.R., Feeley J.C., Kuo M.-C., Lehrman S.R., Pikal-Cleland K., Miller D.P., Vehring R., Lechuga-Ballesteros D.",00223549,"Journal of Pharmaceutical Sciences",93, 3,7,8,10,18,4,29
2004,"Structural and functional dissection of a conserved destabilizing element of cyclo-oxygenase-2 mRNA: Evidence against the involvement of AUF-1 [AU-rich element/poly(U)-binding/degradation factor-1], AUF-2, tristetraprolin, HuR (Hu antigen R) or FBP1 (far-upstream-sequence-element-binding protein 1)","Sully G., Dean J.L.E., Wait R., Rawlinson L., Santalucia T., Saklatvala J., Clark A.R.",02646021,"Biochemical Journal",377, 3,9,12,8,20,2,31
2003,"Control of the expression of inflammatory response genes","Saklatvala J., Dean J., Clark A.",00678694,"Biochemical Society Symposium",, 70,19,5,8,13,6,38
2003,"Crosstalk between glucocorticoids and mitogen-activated protein kinase signalling pathways","Clark A.R., Lasa M.",14714892,"Current Opinion in Pharmacology",3, 4,20,12,8,20,3,43
2003,"Post-transcriptional regulation of gene expression by mitogen-activated protein kinase p38","Clark A.R., Dean J.L.E., Saklatvala J.",00145793,"FEBS Letters",546, 1,58,15,10,25,5,88
2003,"Inhalation of a dry powder tobramycin pulmosphere formulation in healthy volunteers","Newhouse M.T., Hirst P.H., Duddu S.P., Walter Y.H., Tarara T.E., Clark A.R., Weers J.G.",00123692,"Chest",124, 1,17,7,12,19,3,39
2003,"MAP kinase phosphatase 1: A novel mediator of biological effects of glucocorticoids?","Clark A.R.",00220795,"Journal of Endocrinology",178, 1,28,10,7,17,4,49
2002,"Dexamethasone causes sustained expression of mitogen-activated protein kinase (MAPK) phosphatase 1 and phosphatase-mediated inhibition of MAPK p38","Lasa M., Abraham S.M., Boucheron C., Saklatvala J., Clark A.R.",02707306,"Molecular and Cellular Biology",22, 22,87,31,32,63,12,162
2002,"Identification of a novel AU-rich-element-binding protein which is related to AUF1","Dean J.L.E., Sully G., Wait R., Rawlinson L., Clark A.R., Saklatvala J.",02646021,"Biochemical Journal",366, 3,22,2,2,4,1,27
2001,"Mitogen-activated protein kinase p38 controls the expression and posttranslational modification of tristetraprolin, a regulator of tumor necrosis factor alpha mRNA stability","Mahtani K.R., Brook M., Dean J.L.E., Sully G., Saklatvala J., Clark A.R.",02707306,"Molecular and Cellular Biology",21, 19,122,20,26,46,11,179
2001,"Dexamethasone destabilizes cyclooxygenase 2 mRNA by inhibiting mitogen-activated protein kinase p38","Lasa M., Brook M., Saklatvala J., Clark A.R.",02707306,"Molecular and Cellular Biology",21, 3,100,15,7,22,9,131
2001,"The 3? Untranslated region of tumor necrosis factor alpha mRNA is a target of the mRNA-stabilizing factor HuR","Dean J.L.E., Wait R., Mahtani K.R., Sully G., Clark A.R., Saklatvala J.",02707306,"Molecular and Cellular Biology",21, 3,106,12,14,26,2,134
2000,"Regulation of tumour necrosis factor ? mRNA stability by the mitogen-activated protein kinase p38 signalling cascade","Brook M., Sully G., Clark A.R., Saklatvala J.",00145793,"FEBS Letters",483, 1,102,9,13,22,2,126
2000,"Regulation of cyclooxygenase 2 mRNA stability by the mitogen- activated protein kinase p38 signaling cascade","Lasa M., Mahtani K.R., Finch A., Brewer G., Saklatvala J., Clark A.R.",02707306,"Molecular and Cellular Biology",20, 12,189,26,21,47,14,250
1999,"Inhale's dry-powder pulmonary drug delivery system: Challenges to current modeling of gas-solid flows","Bakshi A., Tuttle D., Smith A., Paboojian S., Snyder H., Schuler C., Rasmussen D., Clark A.",,"Proceedings of the 1999 3rd ASME/JSME Joint Fluids Engineering Conference, FEDSM'99, San Francisco, California, USA, 18-23 July 1999 (CD-ROM)",, ,0,0,0,0,0,0
1999,"p38 Mitogen-activated protein kinase regulates cyclooxygenase-2 mRNA stability and transcription in lipopolysaccharide-treated human monocytes","Dean J.L.E., Brook M., Clark A.R., Saklatvala J.",00219258,"Journal of Biological Chemistry",274, 1,271,30,18,48,8,327
1998,"A p38 MAP kinase inhibitor regulates stability of interleukin-1-induced cyclooxygenase-2 mRNA","Ridley S.H., Dean J.L.E., Sarsfield S.J., Brook M., Clark A.R., Saklatvala J.",00145793,"FEBS Letters",439, 1-2,130,16,7,23,2,155
1998,"Inspiratory flow rate and dynamic lung function in cystic fibrosis and chronic obstructive lung diseases","Sarinas P.S.A., Robinson T.E., Clark A.R., Canfield Jr. J., Chitkara R.K., Fick Jr. R.B.",00123692,"Chest",114, 4,7,4,2,6,0,13
1998,"New aerosol delivery systems for cystic fibrosis","Clark A.",87556863,"Pediatric Pulmonology",26, 3,1,0,0,0,0,1
1998,"Effect of smaller droplet size of dornase alfa on lung function in mild cystic fibrosis","Geller D.E., Eigen H., Fiel S.B., Clark A., Lamarre A.P., Johnson C.A., Konstan M.W.",87556863,"Pediatric Pulmonology",25, 2,16,1,2,3,2,21
1997,"A new method for bronchial-provocation testing in asthmatic subjects using a dry powder of mannitol","Anderson S.D., Brannan J., Spring J., Spalding N., Rodwell L.T., Chan K., Gonda I., Walsh A., Clark A.R.",1073449X,"American Journal of Respiratory and Critical Care Medicine",156, 3 I,54,8,7,15,7,76
1996,"MDIs: Physics of aerosol formation","Clark A.R.",08942684,"Journal of Aerosol Medicine: Deposition, Clearance, and Effects in the Lung",9, 1,14,3,1,4,1,19
1996,"The pulmonary deposition of two aerosol preparations of nedocromil sodium delivered by MDI assessed by single photon emission computed tomography","Summers Q.A., Holgate S.T., Fleming J.S., Dai Y., Perring S., Honeywell R., Gough K.J., Renwick A.G., Clark A.R., Nassim M.A.",08942684,"Journal of Aerosol Medicine: Deposition, Clearance, and Effects in the Lung",9, 1,11,0,1,1,0,12
1995,"A silencer and an adjacent positive element interact to modulate the activity of the human insulin promoter","Clark A.R., Wilson M.E., Leibiger I., Scott V., Docherty K.",00142956,"European Journal of Biochemistry",232, 2,11,0,0,0,1,12
1995,"The use of laser diffraction for the evaluation of the aerosol clouds generated by medical nebulizers","Clark A.R.",03785173,"International Journal of Pharmaceutics",115, 1,59,6,2,8,2,69
1995,"Identification and characterization of a functional retinoic acid/thyroid hormone-response element upstream of the human insulin gene enhancer","Clark A.R., Wilson M.E., London N.J.M., James R.F.L., Docherty K.",02646021,"Biochemical Journal",309, 3,18,1,2,3,0,21
1995,"Medical aerosol inhalers: Past, present, and future","Clark A.R.",02786826,"Aerosol Science and Technology",22, 4,54,4,4,8,1,63
1994,"Nutrient regulation of insulin gene expression","Docherty K., Clark A.R.",08926638,"FASEB Journal",8, 1,83,2,5,7,0,90
1994,"Effect of different modes of inhalation on drug delivery from a dry powder inhaler","Newman S.P., Hollingworth A., Clark A.R.",03785173,"International Journal of Pharmaceutics",102, 1-3,78,3,6,9,2,89
1994,"The gel retardation assay.","Scott V., Clark A.R., Docherty K.",10643745,"Methods in molecular biology (Clifton, N.J.)",31, ,7,0,0,0,0,7
1994,"Modelling the deposition of inhaled powdered drug aerosols","Clark A.R., Egan M.",00218502,"Journal of Aerosol Science",25, 1,23,1,0,1,0,24
1994,"Assessment of aerosol delivery systems for recombinant human deoxyribonuclease","Cipolla D.C., Clark A.R., Chan H.-K., Gonda I., Shire S.J.",11571489,"S.T.P. Pharma Sciences",4, 1,51,0,3,3,1,55
1993,"Negative regulation of transcription in eukaryotes","Clark A.R., Docherty K.",02646021,"Biochemical Journal",296, 3,54,0,0,0,0,54
1993,"Human insulin gene enhancer-binding proteins in pancreatic ? and ? cell lines","Clark A.R., Petersen H.V., Read M.L., Scott V., Michelsen B.K., Docherty K.",00145793,"FEBS Letters",329, 1-2,10,0,1,1,0,11
1993,"The helix-loop-helix transcription factor USF (upstream stimulating factor) binds to a regulatory sequence of the human insulin gene enhancer","Read M.L., Clark A.R., Docherty K.",02646021,"Biochemical Journal",295, 1,38,2,3,5,0,43
1993,"How is the developmental timing and tissue-specificity of insulin gene expression controlled?","Clark A.R., Docherty K.",00220795,"Journal of Endocrinology",136, 2,2,0,0,0,0,2
1993,"Cell-specific gene expression in the islets of Langerhans: E boxes and TAAT boxes","Clark A.R., Docherty K.",03005127,"Biochemical Society Transactions",21, 1,2,0,0,0,0,2
1993,"The long-term safety and tolerability of transdermal glyceryl trinitrate, when used with a patch-free interval in patients with stable angina","Wainwright R.J., Foran J.P.M., Padaria S.F., Akhras F., Jackson G., Clark A.R.",00070947,"British Journal of Clinical Practice",47, 4,2,1,0,1,0,3
1993,"The relationship between powder inhaler resistance and peak inspiratory conditions in healthy volunteers - Implications for in vitro testing","Clark A.R., Hollingworth A.M.",08942684,"Journal of Aerosol Medicine: Deposition, Clearance, and Effects in the Lung",6, 2,105,7,4,11,1,117
1991,"Metabolic control of insulin gene expression and biosynthesis.","Docherty K., Clark A.R., Scott V., Knight S.W.",00296651,"Proceedings of the Nutrition Society",50, 3,6,0,0,0,0,6
1991,"Two protein act as the IUF1 insulin gene enhancer binding factor","Scott V., Clark A.R., Hutton J.C., Docherty K.",00145793,"FEBS Letters",290, 1-2,6,1,0,1,0,7
1991,"Lung deposition of 5 mg Intal from a pressurised metered dose inhaler assessed by radiotracer technique","Newman S.P., Clark A.R., Talaee N., Clarke S.W.",03785173,"International Journal of Pharmaceutics",74, 2-3,19,0,1,1,1,21
1990,"Positive and negative regulation of the human insulin gene by multiple trans-acting factors","Boam D.S.W., Clark A.R., Docherty K.",00219258,"Journal of Biological Chemistry",265, 14,61,1,0,1,2,64
1990,"The preparation of a radiolabelled aerosol of nedocromil sodium for administration by metered-dose inhaler that accurately preserves particle size distribution of the drug","Summers Q.A., Clark A.R., Hollingworth A., Fleming Holgate J.S.T.",01142402,"Drug Investigation",2, 2,18,0,0,0,0,18
1990,"The use of reservoir devices for the simultaneous delivery of two metered-dose aerosols","Clark A.R., Rachelefsky G., Mason P.L., Goldenhersh M.J., Hollingworth A.",00916749,"Journal of Allergy and Clinical Immunology",85, 1 I,5,0,0,0,0,5
1989,"A new series of CAT expression vectors","Clark A.R., Boam D.S.W., Docherty K.",03051048,"Nucleic Acids Research",17, 23,11,0,0,0,0,11
1989,"Pressurised aerosol deposition in the human lung with and without an 'open' spacer device","Newman S.P., Clark A.R., Talaee N., Clarke S.W.",00406376,"Thorax",44, 9,65,4,3,7,2,74
