,"Author: Haynes, Ken A.",,,,,,,,,,,
1997,"Widespread geographic distribution of oral Candida dubliniensis strains in human immunodeficiency virus-infected individuals","Sullivan D., Haynes K., Bille J., Boerlin P., Rodero L., Lloyd S., Henman M., Coleman D.",00951137,"Journal of Clinical Microbiology",35, 4,131,6,6,12,1,144
1996,"Purification and characterization of a 93 kDa Aspergillus fumigatus antigen with diagnostic potential","Haynes K.A., Tuinstra P., Hughes T.A., Wijnands L.M., Rogers T.R., Allen A.K.",02681218,"Journal of Medical and Veterinary Mycology",34, 6,6,0,0,0,0,6
1996,"Persistence, replacement, and microevolution of Cryptococcus neoformans strains in recurrent meningitis in AIDS patients","Sullivan D., Haynes K., Moran G., Shanley D., Coleman D.",00951137,"Journal of Clinical Microbiology",34, 7,26,1,1,2,1,29
1996,"Rapid identification of Candida albicans, C. glabrata, C. parapsilosis and C. krusei by species-specific PCR of large subunit ribosomal DNA","Haynes K.A., Westerneng T.J.",00222615,"Journal of Medical Microbiology",44, 5,19,0,0,0,0,19
1996,"Clinical perspectives and diagnosis of invasive aspergillosis","Haynes K.A., Rogers T.R.",11301406,"Revista Iberoamericana de Micologia",13, 1,0,0,0,0,0,0
1995,"Rapid detection and identification of pathogenic fungi by polymerase chain reaction amplification of large subunit ribosomal DNA","Haynes K.A., Westerneng T.J., Fell J.W., Moens W.",02681218,"Journal of Medical and Veterinary Mycology",33, 5,65,2,0,2,0,67
1995,"Involvement of multiple Cryptococcus neoformans strains in a single episode of cryptococcosis and reinfection with novel strains in recurrent infection demonstrated by random amplification of polymorphic DNA and DNA fingerprinting","Haynes K.A., Sullivan D.J., Coleman D.C., Clarke J.C.K., Emilianus R., Atkinson C., Cann K.J.",00951137,"Journal of Clinical Microbiology",33, 1,33,1,1,2,0,35
1995,"Candida dubliniensis sp. nov.: phenotypic and molecular characterization of a novel species associated with oral candidosis in HIV-infected individuals","Sullivan D.J., Westerneng T.J., Haynes K.A., Bennett D.E., Coleman D.C.",13500872,"Microbiology",141, 7,314,29,20,49,18,381
1995,"Involvement of multiple Cryptococcus neoformans strains in a single episode of cryptococcosis and reinfection with novel strains in recurrent infection demonstrated by random amplification of polymorphic DNA and DNA fingerprinting [1]","Casadevall A., Spitzer E.D., Haynes K., Coleman D.C., Sullivan D.J.",00951137,"Journal of Clinical Microbiology",33, 6,6,0,0,0,0,6
1992,"Antigen detection in invasive aspergillosis","Haynes K.A., Rogers T.R., Latge J.P., Barnes R.A., Kurup V., Kumar A.",08938512,"Clinical Microbiology Reviews",5, 2,0,0,0,0,0,0
1992,"Rhinocerebral mucormycosis following bone marrow transplantation","Hyatt D.S., Young Y.M., Haynes K.A., Taylor J.M., McCarthy D.M., Rogers T.R.",01634453,"Journal of Infection",24, 1,11,0,0,0,0,11
1991,"The 18-kilodalton antigen secreted by Aspergillus fumigatus","Latge J.-P., Moutaouakil M., Debeaupuis J.-P., Bouchara J.-P., Haynes K., Prevost M.-C.",00199567,"Infection and Immunity",59, 8,36,1,0,1,0,37
