,"Author: Grassly, Nicholas C.",,,,,,,,,,,
2002,"Can we reverse the HIV/AIDS pandemic with an expanded response?","Stover J., Walker N., Garnett G.P., Salomon J.A., Stanecki K.A., Ghys P.D., Grassly N.C., Anderson R.M., Schwartlander B.",01406736,"Lancet",360, 9326,64,8,8,16,3,83
2001,"The effectiveness of HIV prevention and the epidemiological context","Grassly N.C., Garnett G.P., Schwartlander B., Gregson S., Anderson R.M.",00429686,"Bulletin of the World Health Organization",79, 12,18,5,5,10,3,31
2001,"AIDS: The makings of a development disaster?","Garnett G.P., Grassly N.C., Gregson S.",09541748,"Journal of International Development",13, 4,4,1,0,1,0,5
2000,"Error, population structure and the origin of diverse sign systems","Grassly N.C., Von Haeseler A., Krakauer D.C.",00225193,"Journal of Theoretical Biology",206, 3,6,0,2,2,1,9
1999,"Population dynamics of HIV-1 inferred from gene sequences","Grassly N.C., Harvey P.H., Holmes E.C.",00166731,"Genetics",151, 2,30,6,2,8,1,39
1998,"Mortality among human immunodeficiency virus type 2-positive villagers in rural Guinea-Bissau is correlated with viral genotype","Grassly N.C., Xiang Z., Ariyoshi K., Aaby P., Jensen H., Van Der Loeff M.S., Dias F., Whittle H., Breuer J.",0022538X,"Journal of Virology",72, 10,10,1,1,2,0,12
1997,"PSeq-Gen: An application for the Monte Carlo simulation of protein sequence evolution along phylogenetic trees","Grassly N.C., Adachi J., Rambaut A.",02667061,"Computer Applications in the Biosciences",13, 5,26,2,2,4,0,30
1997,"Seq-gen: An application for the Monte Carlo simulation of DNA sequence evolution along phylogenetic trees","Rambaut A., Grassly N.C.",02667061,"Computer Applications in the Biosciences",13, 3,360,67,53,120,33,513
1997,"A likelihood method for the detection of selection and recombination using nucleotide sequences","Grassly N.C., Holmes E.C.",07374038,"Molecular Biology and Evolution",14, 3,108,7,9,16,2,126
1996,"Bi-De: an application for simulating phylogenetic processes","Rambaut A., Grassly N.C., Nee S., Harvey P.H.",02667061,"Computer Applications in the Biosciences",12, 6,8,2,2,4,1,13
