,"Authors: Fisher, Matthew C.; Fisher, M. C.",,,,,,,,,,,
2007,"Climate change and outbreaks of amphibian chytridiomycosis in a montane area of Central Spain; is there a link?","Bosch J., Carrascal L.M., Duran L., Walker S., Fisher M.C.",09628452,"Proceedings. Biological sciences / The Royal Society",274, 1607,0,0,1,1,1,2
2007,"Climate change and outbreaks of amphibian chytridiomycosis in a montane area of Central Spain; is there a link?","Bosch J., Carrascal L.M., Duran L., Walker S., Fisher M.C.",09628436,"Proceedings of the Royal Society B: Biological Sciences",274, 1607,0,6,9,15,5,20
2006,"Introduction: Species and speciation in micro-organisms","Spratt B.G., Staley J.T., Fisher M.C.",09628436,"Philosophical Transactions of the Royal Society B: Biological Sciences",361, 1475,0,0,2,2,1,3
2006,"The emerging amphibian pathogen Batrachochytrium dendrobatidis globally infects introduced populations of the North American bullfrog, Rana catesbeiana","Garner T.W.J., Perkins M.W., Govindarajulu P., Seglie D., Walker S., Cunningham A.A., Fisher M.C.",17449561,"Biology Letters",2, 3,0,9,7,16,7,23
2006,"Penicillium marneffei infection and recent advances in the epidemiology and molecular biology aspects","Vanittanakom N., Cooper Jr. C.R., Fisher M.C., Sirisanthana T.",08938512,"Clinical Microbiology Reviews",19, 1,5,9,10,19,5,29
2005,"Chytrid fungus in Europe [2]","Garner T.W.J., Walker S., Bosch J., Hyatt A.D., Cunningham A.A., Fisher M.C.",10806040,"Emerging Infectious Diseases",11, 10,6,12,8,20,0,26
2005,"Emergence of amphibian chytridiomycosis in Britain","Cunningham A.A., Fisher M.C., Garner T.W.J., Aguilar-Sanchez V., Banks B., Foster J., Sainsbury A.W., Perkins M., Walker S.F., Hyatt A.D.",00424900,"Veterinary Record",157, 13,1,4,4,8,0,9
2004,"Multilocus microsatellite typing system for Penicillium marneffei reveals spatially structured populations","Fisher M.C., Aanensen D., De Hoog S., Vanittanakom N.",00951137,"Journal of Clinical Microbiology",42, 11,4,4,3,7,3,14
2004,"Epidemiological and genetic analysis of severe acute respiratory syndrome","Donnelly C.A., Fisher M.C., Fraser C., Ghani A.C., Riley S., Ferguson N.M., Anderson R.M.",14733099,"Lancet Infectious Diseases",4, 11,16,7,3,10,2,28
2004,"Role of Cannomys badius as a natural animal host of Penicillium marneffei in India","Gugnani H., Fisher M.C., Paliwal-Johsi A., Vanittanakom N., Singh I., Yadav P.S.",00951137,"Journal of Clinical Microbiology",42, 11,3,3,2,5,1,9
2004,"A highly discriminatory multilocus microsatellite typing (MLMT) system for Penicillium marneffei","Fisher M.C., De Hoog S., Vanittanakom N.",14718278,"Molecular Ecology Notes",4, 3,4,2,2,4,1,9
2003,"Fungal multilocus sequence typing - It's not just for bacteria","Taylor J.W., Fisher M.C.",13695274,"Current Opinion in Microbiology",6, 4,20,7,7,14,4,38
2002,"Molecular and phenotypic description of Coccidioides posadasii sp. nov., previously recognized as the non-California population of Coccidioides immitis","Fisher M.C., Koenig G.L., White T.J., Taylor J.W.",00275514,"Mycologia",94, 1,82,28,20,48,12,142
2002,"Disease surveillance in recombining pathogens: Multilocus genotypes identify sources of human Coccidioides infections","Fisher M.C., Rannala B., Chaturvedi V., Taylor J.W.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",99, 13,10,2,2,4,2,16
2001,"Biogeographic range expansion into South America by Coccidioides immitis mirrors new world patterns of human migration","Fisher M.C., Koenig G.L., White T.J., San-Blas G., Negroni R., Gutierrez Alvarez I., Wanke B., Taylor J.W.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",98, 8,36,13,9,22,5,63
2000,"Soil isolation and molecular identification of Coccidioides immitis","Greene D.R., Koenig G., Fisher M.C., Taylor J.W.",00275514,"Mycologia",92, 3,10,5,0,5,2,17
2000,"Phylogenetic species recognition and species concepts in fungi","Taylor J.W., Jacobson D.J., Kroken S., Kasuga T., Geiser D.M., Hibbett D.S., Fisher M.C.",10871845,"Fungal Genetics and Biology",31, 1,187,48,44,92,40,319
2000,"A test for concordance between the multilocus genealogies of genes and microsatellites in the pathogenic fungus Coccidioides immitis","Fisher M.C., Koenig G., White T.J., Taylor J.W.",07374038,"Molecular Biology and Evolution",17, 8,34,5,3,8,3,45
2000,"Inferring infection processes of a parasitic nematode using population genetics","Paterson S., Fisher M.C., Viney M.E.",00311820,"Parasitology",120, 2,6,0,1,1,1,8
2000,"Pathogenic clones versus environmentally driven population increase: Analysis of an epidemic of the human fungal pathogen Coccidioides immitis","Fisher M.C., Koenig G.L., White T.J., Taylor J.W.",00951137,"Journal of Clinical Microbiology",38, 2,28,5,1,6,1,35
1999,"Primers for genotyping single nucleotide polymorphisms and microsatellites in the pathogenic fungus Coccidioides immitis","Fisher M.C., White T.J., Taylor J.W.",09621083,"Molecular Ecology",8, 6,12,5,1,6,0,18
1999,"The evolution of asexual fungi: Reproduction, speciation and classification","Taylor J.W., Jacobson D.J., Fisher M.C.",00664286,"Annual Review of Phytopathology",37, ,120,26,14,40,11,171
1998,"Metabolism during delayed hatching in terrestrial eggs of a marine fish, the grunion Leuresthes tenuis","Darken R.S., Martin K.L.M., Fisher M.C.",0031935X,"Physiological Zoology",71, 4,15,1,1,2,1,18
1998,"The population genetic structure of the facultatively sexual parasitic nematode Strongyloides ratti in wild rats","Fisher M.C., Viney M.E.",09628436,"Proceedings of the Royal Society B: Biological Sciences",265, 1397,25,2,2,4,0,29
1996,"Microsatellites of the parasitic nematode Strongyloides ratti","Fisher M.C., Viney M.E.",01666851,"Molecular and Biochemical Parasitology",80, 2,16,2,0,2,0,18
1984,"Immunogenicity of homologous low density lipoprotein after methylation, ethylation, acetylation, or carbamylation: Generation of antibodies specific for derivatized lysine","Steinbrecher U.P., Fisher M., Witztum J.L., Curtiss L.K.",00222275,"Journal of Lipid Research",25, 10,48,4,5,9,0,57
1984,"Autoantibodies to glucosylated proteins in the plasma of patients with diabetes mellitus","Witztum J.L., Steinbrecher U.P., Kesaniemi Y.A., Fisher M.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",81, 10 I,23,1,0,1,2,26
1983,"Nonenzymatic glucosylation of homologous low density lipoprotein and albumin renders them immunogenic in the guinea pig","Witztum J.L., Steinbrecher U.P., Fisher M., Kesaniemi A.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",80, 9 I,18,0,1,1,1,20
1982,"Nonenzymatic glucosylation of high-density lipoprotein accelerates its catabolism in guinea pigs","Witztum J.L., Fisher M., Pietro T.",00121797,"Diabetes",31, 11,19,2,1,3,0,22
