,"Author: Asquith, Rebecca Emma; Asquith, Becca",,,,,,,,,,,
2007,Cell dynamics and immune response to BLV infection: A unifying model,"Florins A., Sanchez-Alcaraz M.T., Schwartz-Cornil I., Kerkhofs P., Jean G., Thewis A., Hay J., Mortreux F., Wattel E., Reichert M., Burny A., Gillet N., Kettmann R., Bangham C., Willems L., Asquith B., Boxus M., Burteau C., Twizere J.-C., Urbain P., Vandermeers F., Debacq C.",10939946,Frontiers in Bioscience,12,4,0,2,2,4,2,6
2007,Quantifying HTLV-I dynamics,"Asquith B., Bangham C.R.M.",8189641,Immunology and Cell Biology,85,4,0,1,4,5,2,7
2007,In vivo kinetics of human natural killer cells: The effects of ageing and acute and chronic viral infection,"Zhang Y., Beverley P.C.L., Macallan D.C., Wallace D.L., De Lara C.M., Ghattas H., Asquith B., Worth A., Griffin G.E., Taylor G.P., Tough D.F.",192805,Immunology,121,2,0,0,5,5,5,10
2007,In vivo T lymphocyte dynamics in humans and the impact of human T-lymphotropic virus 1 infection,"Asquith B., Tanaka Y., Tough D.F., Beverley P.C., Taylor G.P., Macallan D.C., Bangham C.R.M., Zhang Y., Mosley A.J., De Lara C.M., Wallace D.L., Worth A., Kaftantzi L., Meekings K., Griffin G.E.",278424,Proceedings of the National Academy of Sciences of the United States of America,104,19,0,2,8,10,7,17
2007,In vivo CD8+ T cell control of immunodeficiency virus infection in humans and macaques,"Asquith B., McLean A.R.",278424,Proceedings of the National Academy of Sciences of the United States of America,104,15,0,3,8,11,6,17
2006,Spleen-dependent turnover of CD11b peripheral blood B lymphocytes in bovine leukemia virus-infected sheep,"Florins A., Kettmann R., Willems L., Gillet N., Asquith B., Debacq C., Jean G., Schwartz-Cornil I., Bonneau M., Burny A., Reichert M.",0022538X,Journal of Virology,80,24,0,2,1,3,2,5
2006,Peripheral blood B-cell death compensates for excessive proliferation in lymphoid tissues and maintains homeostasis in bovine leukemia virus-infected sheep,"Debacq C., Kerkhofs P., Hay J., Thewis A., Kettmann R., Willems L., Gillet N., Asquith B., Sanchez-Alcaraz M.T., Florins A., Boxus M., Schwartz-Cornil I., Bonneau M., Jean G.",0022538X,Journal of Virology,80,19,1,2,2,4,1,6
2006,Quantifying lymphocyte kinetics in vivo using carboxyfluorescein diacetate succinimidyl ester (CFSE).,"Asquith B., Debacq C., Florins A., Gillet N., Sanchez-Alcaraz T., Mosley A., Willems L.",9628452,Proceedings. Biological sciences / The Royal Society.,273,1590,2,4,3,7,0,9
2006,Quantifying lymphocyte kinetics in vivo using carboxyfluorescein diacetate succinimidyl ester (CFSE),"Asquith B., Debacq C., Florins A., Gillet N., Sanchez-Alcaraz T., Mosley A., Willems L.",9628436,Proceedings of the Royal Society B: Biological Sciences,273,1590,0,1,1,2,1,3
2006,Inefficient cytotoxic T lymphocyte-mediated killing of HIV-1-infected cells in vivo,"Asquith B., Edwards C.T.T., Lipsitch M., McLean A.R.",15457885,PLoS Biology,4,4,1,3,4,7,7,15
2006,Inefficient cytotoxic T lymphocyte-mediated killing of HIV-1-infected cells in vivo.,"Asquith B., Edwards C.T., Lipsitch M., McLean A.R.",15457885,PLoS biology,4,4,0,7,2,9,2,11
2005,Quantification of the virus-host interaction in human T lymphotropic virus I infection,"Asquith B., Mosley A.J., Heaps A., Tanaka Y., Taylor G.P., McLean A.R., Bangham C.R.M.",17424690,Retrovirology,2, ,4,4,6,10,3,17
2005,Reduced cell turnover in lymphocytic monkeys infected by human T-lymphotropic virus type 1,"Debacq C., Kettmann R., Kazanji M., Willems L., Heraud J.-M., Asquith B., Bangham C., Merien F., Moules V., Mortreux F., Wattel E., Burny A.",9509232,Oncogene,24,51,5,1,0,1,0,6
2005,Cell-mediated immune response to human T-lymphotropic virus type I,"Mosley A.J., Asquith B., Bangham C.R.M.",8828245,Viral Immunology,18,2,3,0,0,0,2,5
2005,A functional CD8+ cell assay reveals individual variation in CD8+ cell antiviral efficacy and explains differences in human T-lymphotropic virus type 1 proviral load,"Asquith B., Bangham C.R.M., Mosley A.J., Barfield A., Marshall S.E.F., Heaps A., Goon P., Hanon E., Tanaka Y., Taylor G.P.",221317,Journal of General Virology,86,5,8,3,5,8,2,18
2005,B-cell kinetics in humans: Rapid turnover of peripheral blood memory cells,"Macallan D.C., Tough D.F., Beverley P.C.L., Wallace D.L., Zhang V., Ghattas H., Asquith B., De Lara C., Worth A., Panayiotakopoulos G., Griffin G.E.",64971,Blood,105,9,4,7,6,13,4,21
2004,The role of CTLs in persistent viral infection: Cytolytic gene expression in CD8+ lymphocytes distinguishes between individuals with a high or low proviral load of human T cell lymphotropic virus type,"Vine A.M., Carr L., Martinez-Murillo F., Taylor G.P., Bangham C.R.M., Heaps A.G., Kaftantzi L., Mosley A., Asquith B., Witkover A., Thompson G., Saito M., Goon P.K.C.",221767,Journal of Immunology,173,8,8,3,9,12,2,22
2004,Human T Cell Lymphotropic Virus (HTLV) type-1-specific CD8+ T cells: Frequency and immunodominance hierarchy,"Goon P.K.C., Taylor G.P., Bangham C.R.M., Biancardi A., Fast N., Igakura T., Hanon E., Mosley A.J., Asquith B., Gouldl K.G., Marshall S.",221899,Journal of Infectious Diseases,189,12,8,3,2,5,2,15
2003,"Reduced Cell Turnover in Bovine Leukemia Virus-Infected, Persistently Lymphocytotic Cattle","Debacq C., Asquith B., Reichert M., Burny A., Kettmann R., Willems L.",0022538X,Journal of Virology,77,24,5,3,2,5,0,10
2003,Rapid turnover of T cells in acute infectious mononucleosis,"Macallan D.C., Beverley P.C., Wallace D.L., Irvine A.J., Asquith B., Worth A., Ghattas H., Zhang Y., Griffin G.E., Tough D.F.",142980,European Journal of Immunology,33,10,14,3,0,3,3,20
2003,Erratum: Measurement and modeling of human T cell kinetics (European Journal of Immunology (2003) vol. 33 (8) (2316-2326)),"Macallan D.C., Beverley P.C., Asquith B., Irvine A.J., Wallace D.L., Worth A., Ghattas H., Zhang Y., Griffin G.E., Tough D.F.",142980,European Journal of Immunology,33,10,0,0,0,0,0,0
2003,High circulating frequencies of tumor necrosis factor alpha- and interleukin-2-secreting human T-lymphotropic virus type 1 (HTLV-1)-specific CD4+ T cells in patients with HTLV-1-associated neurological disease,"Goon P.K.C., Igakura T., Hanon E., Mosley A.J., Asquith B., Gould K.G., Taylor G.P., Weber J.N., Bangham C.R.M.",0022538X,Journal of Virology,77,17,11,2,0,2,1,14
2003,An introduction to lymphocyte and viral dynamics: The power and limitations of mathematical analysis,"Asquith B., Bangham C.R.M.",9628436,Proceedings of the Royal Society B: Biological Sciences,270,1525,5,6,2,8,0,13
2003,Measurement and modeling of human T cell kinetics,"Macallan D.C., Beverley P.C., Asquith B., Irvine A.J., Wallace D.L., Worth A., Ghattas H., Zhang Y., Griffin G.E., Tough D.F.",142980,European Journal of Immunology,33,8,21,8,6,14,2,37
2003,The dynamics of T-cell fratricide: Application of a robust approach to mathematical modelling in immunology,"Asquith B., Bangham C.R.M.",225193,Journal of Theoretical Biology,222,1,5,0,0,0,0,5
2002,Lymphocyte kinetics: The interpretation of labelling data,"Asquith B., Debacq C., Macallan D.C., Willems L., Bangham C.R.M.",14714906,Trends in Immunology,23,12,22,7,8,15,5,42
2002,"Increased cell proliferation, but not reduced cell death, induces lymphocytosis in bovine leukemia virus-infected sheep","Debacq C., Asquith B., Kerkhofs P., Portetelle D., Burny A., Kettmann R., Willems L.",278424,Proceedings of the National Academy of Sciences of the United States of America,99,15,15,4,3,7,1,23
2000,Fracticide among CD8+ T lymphocytes naturally infected with human T cell lymphotropic virus type I,"Hanon E., Stinchcombe J.C., Saito M., Asquith B.E., Taylor G.P., Tanaka Y., Weber J.N., Griffiths G.M., Bangham C.R.M",10747613,Immunity,13,5,77,6,8,14,4,95
2000,The role of cytotoxic T lymphocytes in human T-cell lymphotropic virus type 1 infection,"Asquith B., Bangham C.R.M.",225193,Journal of Theoretical Biology,207,1,15,0,0,0,2,17
2000,Is human T-cell lymphotropic virus type I really silent?,"Asquith B., Hanon E., Taylor G.P., Bangham C.R.M.",9628436,Philosophical Transactions of the Royal Society B: Biological Sciences,355,1400,17,1,2,3,0,20
1996,Non-commutative geometry and the strong force,Asquith B.,3702693,"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",366, 1-4,9,0,0,0,0,9
