,"Author: Dexter, David T.",,,,,,,,,,,
2004,"The antioxidant drink ""effective microorganism-X (EM-X)"" pre-treatment attenuates the loss of nigrostriatal dopaminergic neurons in 6-hydroxydopamine-lesion rat model of Parkinsons's disease","Datla K.P., Bennett R.D., Zbarsky V., Ke B., Liang Y.-F., Higa T., Bahorun T., Aruoma O.I., Dexter D.T.",00223573,"Journal of Pharmacy and Pharmacology",56, 5,10,2,0,2,0,12
2003,"Differences in dopaminergic neuroprotective effects of estrogen during estrous cycle","Datla K.P., Murray H.E., Pillai A.V., Gillies G.E., Dexter D.T.",09594965,"NeuroReport",14, 1,14,8,7,15,2,31
2003,"Dose- and sex-dependent effects of the neurotoxin 6-hydroxydopamine on the nigrostriatal dopaminergic pathway of adult rats: Differential actions of estrogen in males and females","Murray H.E., Pillai A.V., Mcarthur S.R., Razvi N., Datla K.P., Dexter D.T., Gillies G.E.",03064522,"Neuroscience",116, 1,31,8,18,26,3,60
2001,"Tissue distribution and neuroprotective effects of citrus flavonoid tangeretin in a rat model of Parkinson's disease","Datla K.P., Christidou M., Widmer W.W., Rooprai H.K., Dexter D.T.",09594965,"NeuroReport",12, 17,22,8,5,13,1,36
2001,"Chronic L-DOPA administration is not toxic to the remaining dopaminergic nigrostriatal neurons, but instead may promote their functional recovery, in rats with partial 6-OHDA or FeCl3 nigrostriatal lesions","Datla K.P., Blunt S.B., Dexter D.T.",08853185,"Movement Disorders",16, 3,38,8,4,12,3,53
2001,"Evaluation of the effects of swainsonine, captopril, tangeretin and nobiletin on the biological behaviour of brain tumour cells in vitro","Rooprai H.K., Kandanearatchi A., Maidment S.L., Christidou M., Trillo-Pazos G., Dexter D.T., Rucklidge G.J., Widmer W., Pilkington G.J.",03051846,"Neuropathology and Applied Neurobiology",27, 1,16,7,4,11,1,28
2000,"Regional distribution of transketolase in post-mortem human brain","Rooprai H.K., Dexter D.T., Thomson A.D., Shaw K., Pratt O.E.",08936609,"Neuroscience Research Communications",26, 1,0,0,0,0,0,0
1999,"Lactoferrin is synthesized by mouse brain tissue and its expression is enhanced after MPTP treatment","Fillebeen C., Mitchell V., Dexter D., Benaissa M., Beauvillain J.-C., Spik G., Pierce A.",0169328X,"Molecular Brain Research",72, 2,15,5,2,7,1,23
1999,"Effects of desferrithiocin and its derivatives on peripheral iron and striatal dopamine and 5-hydroxytryptamine metabolism in the ferrocene-loaded rat","Dexter D.T., Ward R.J., Florence A., Jenner P., Crichton R.R.",00062952,"Biochemical Pharmacology",58, 1,7,1,0,1,0,8
1998,"Mitochondrial function, GSH and iron in neurodegeneration and Lewy body diseases","Gu M., Owen A.D., Toffa S.E.K., Cooper J.M., Dexter D.T., Jenner P., Marsden C.D., Schapira A.H.V.",0022510X,"Journal of the Neurological Sciences",158, 1,41,5,3,8,6,55
1997,"Comparison of HPLC and enzymatic recycling assays for the measurement of oxidized glutathione in rat brain","Sian J., Dexter D.T., Cohen G., Jenner P.G., Marsden C.D.",00223573,"Journal of Pharmacy and Pharmacology",49, 3,9,1,0,1,0,10
1996,"Evaluation of the pro-oxidant and antioxidant actions of L-DOPA and dopamine in vitro: Implications for Parkinson's disease","Spencer J.P.E., Jenner A., Butler J., Aruoma O.I., Dexter D.T., Jenner P., Halliwell B.",10715762,"Free Radical Research",24, 2,63,4,5,9,2,74
1995,"The influence of brain acetaldehyde on oxidative status, dopamine metabolism and visual discrimination task","Heap L., Ward R.J., Abiaka C., Dexter D., Lawlor M., Pratt O., Thomson A., Shaw K., Peters T.J.",00062952,"Biochemical Pharmacology",50, 2,36,2,4,6,2,44
1995,"Brain iron in the ferrocene-loaded rat: Its chelation and influence on dopamine metabolism","Ward R.J., Dexter D., Florence A., Aouad F., Hider R., Jenner P., Crichton R.R.",00062952,"Biochemical Pharmacology",49, 12,19,2,2,4,0,23
1995,"Characterization of the potential antioxidant and pro-oxidant actions of some neuroleptic drugs","Jeding I., Evans P.J., Akanmu D., Dexter D., Spencer J.D., Aruoma O.I., Jenner P., Halliwell B.",00062952,"Biochemical Pharmacology",49, 3,45,8,2,10,2,57
1994,"Glutathione-related enzymes in brain in Parkinson's disease","Sian J., Dexter D.T., Lees A.J., Daniel S., Jenner P., Marsden C.D.",03645134,"Annals of Neurology",36, 3,142,11,10,21,4,167
1994,"Alterations in glutathione levels in Parkinson's disease and other neurodegenerative disorders affecting basal ganglia","Sian J., Dexter D.T., Lees A.J., Daniel S., Agid Y., Javoy-Agid F., Jenner P., Marsden C.D.",03645134,"Annals of Neurology",36, 3,365,36,29,65,26,456
1994,"Nigrostriatal function in vitamin E deficiency: Clinical, experimental, and positron emission tomographic studies","Dexter D.T., Brooks D.J., Harding A.E., Burn D.J., Muller D.P.R., Goss-Sampson M.A., Jenner P.G., Marsden C.D.",03645134,"Annals of Neurology",35, 3,23,0,0,0,1,24
1994,"Increased levels of lipid hydroperoxides in the Parkinsonian Substantia nigra: An HPLC and ESR study","Dexter D.T., Holley A.E., Flitter W.D., Slater T.F., Wells F.R., Daniel S.E., Lees A.J., Jenner P., Marsden C.D.",08853185,"Movement Disorders",9, 1,172,15,12,27,10,209
1994,"Intense oxidative DNA damage promoted by L-DOPA and its metabolites: Implications for neurodegenerative disease","Spencer J.P.E., Halliwell B., Jenner A., Aruoma O.I., Evans P.J., Kaur H., Dexter D.T., Jenner P., Lees A.J., Marsden D.C.",00145793,"FEBS Letters",353, 3,140,10,5,15,8,163
1994,"Erratum: Increased levels of lipid hydroperoxides in the parkinsonian substantia nigra: An HPLC and ESR study (Movement Disorders (1994) 9 (92-97))","Dexter D.T., Holley A.E., Flitter W.D., Slater T.F., Wells F.R., Daniel S.E., Lees A.J., Jenner P., Marsden C.D.",08853185,"Movement Disorders",9, 3,1,0,0,0,0,1
1994,"Nigral dopaminergic cell loss in vitamin E deficient rats","Dexter D.T., Nanayakkara I., Goss-Sampson M.A., Muller D.P.R., Harding A.E., Marsden C.D., Jenner P.",09594965,"NeuroReport",5, 14,22,1,0,1,1,24
1994,"Indices of oxidative stress and mitochondrial function in individuals with incidental Lewy body disease","Dexter D.T., Schapira A.H.V., Jenner P., Marsden C.D., Sian J., Rose S., Hindmarsh J.G., Mann V.M., Cooper J.M., Wells F.R., Daniel S.E., Lees A.J.",03645134,"Annals of Neurology",35, 1,140,6,5,11,11,162
1993,"The effect of pergolide and MDL 72974 on rat brain CuZn superoxide dismutase","Clow A., Freestone C., Lewis E., Dexter D., Sandler M., Glover V.",03043940,"Neuroscience Letters",164, 1-2,26,1,2,3,2,31
1993,"Alpha-tocopherol levels in Parkinsonian brains [3]","Przedborski S., Jackson-Lewis V., Muthane U., Dexter D.T., Jenner P., Marsden C.D.",03645134,"Annals of Neurology",33, 5,0,0,0,0,0,0
1993,"Implications of alterations in trace element levels in brain in Parkinson's disease and other neurological disorders affecting the basal ganglia.","Dexter D.T., Sian J., Jenner P., Marsden C.D.",00913952,"Advances in neurology",60, ,36,3,0,3,4,43
1992,"Pergolide can induce soluble superoxide dismutase in rat striata","Clow A., Hussain T., Glover V., Sandler M., Walker M., Dexter D.",03009564,"Journal of Neural Transmission - General Section",90, 1,18,1,0,1,0,19
1992,"?-Tocopherol levels in brain are not altered in Parkinson's disease","Dexter D.T., Ward R.J., Wells F.R., Daniel S.E., Lees A.J., Peters T.J., Jenner P., Marsden C.D.",03645134,"Annals of Neurology",32, 4,27,1,2,3,1,31
1992,"Oxidative stress as a cause of nigral cell death in Parkinson's disease and incidental Lewy body disease","Jenner P., Dexter D.T., Sian J., Schapira A.H.V., Marsden C.D.",03645134,"Annals of Neurology",32, ,205,11,9,20,6,231
1992,"Alterations in levels of iron, ferritin, and other trace metals in neurodegenerative diseases affecting the basal ganglia","Dexter D.T., Jenner P., Schapira A.H.V., Marsden C.D.",03645134,"Annals of Neurology",32, ,92,9,3,12,4,108
1991,"(-)-Deprenyl can induce soluble superoxide dismutase in rat striata","Clow A., Hussain T., Glover V., Sandler M., Dexter D.T., Walker M.",03009564,"Journal of Neural Transmission - General Section",86, 1,20,0,0,0,0,20
1991,"Alterations in the levels of iron, ferritin and other trace metals in Parkinson's disease and other neurodegenerative diseases affecting the basal ganglia","Dexter D.T., Carayon A., Javoy-Agid F., Agid Y., Wells F.R., Daniel S.E., Lees A.J., Jenner P., Marsden C.D.",00068950,"Brain",114, 4,235,18,15,33,21,289
1990,"Decreased ferritin levels in brain in Parkinson's disease","Dexter D.T., Marsden C.D., Carayon A., Vidailhet M., Ruberg M., Agid F., Agid Y., Lees A.J., Wells F.R., Jenner P.",00223042,"Journal of Neurochemistry",55, 1,83,4,5,9,6,98
1989,"Basal lipid peroxidation in substantia nigra is increased in Parkinson's disease","Dexter D.T., Carter C.J., Wells F.R., Javoy-Agid F., Agid Y., Lees A., Jenner P., Marsden C.D.",00223042,"Journal of Neurochemistry",52, 2,432,39,32,71,18,521
1989,"Increased nigral iron content and alterations in other metal ions occurring in brain in Parkinson's disease","Dexter D.T., Wells F.R., Lees A.J., Agid F., Agid Y., Jenner P., Marsden C.D.",00223042,"Journal of Neurochemistry",52, 6,294,22,22,44,21,359
1989,"Oxyferriscorbone elevates the total iron content of blood but not brain","Dexter D.T., Jenner P., Marsden C.D.",08853185,"Movement Disorders",4, 2,2,0,0,0,0,2
1987,"Increased nigral iron content in postmortem Parkinsonian brain","Dexter D.T., Wells F.R., Agid F., Agid Y., Lees A.J., Jenner P., Marsden C.D.",01406736,"Lancet",2, 8569,100,12,11,23,5,128
1987,"Chronic trifluoperazine treatment does not induce lipid peroxidation in the rat cortex","Dexter D.T., Boyce S., Jenner P., Marsden C.D.",03043940,"Neuroscience Letters",77, 3,1,0,0,0,0,1
1985,"Effects of selective ?1- and ?2-adrenoceptor antagonists on plasma glucose and insulin levels in rats","Roach A.G., Berridge T.L., Dexter D.T., Doxey J.C.",00149446,"Federation Proceedings",44, 5,0,0,0,0,0,0
