,"Author: Bentley, Paul A.",,,,,,,,,,,
2005,"State-of-charge and state-of-health prediction of lead-acid batteries for hybrid electric vehicles using non-linear observers","Bhangu B.S., Bentley P., Stone D.A., Bingham C.M.",,"2005 European Conference on Power Electronics and Applications",2005, ,0,0,0,0,0,0
2005,"Observer techniques for estimating the state-of-charge and state-of-health of VRLABs for hybrid electric vehicles","Bhangu B.S., Bentley P., Stone D.A., Bingham C.M.",,"2005 IEEE Vehicle Power and Propulsion Conference, VPPC",2005, ,0,2,3,5,0,5
2005,"Pharmacological treatment of ischemic stroke","Bentley P., Sharma P.",01637258,"Pharmacology and Therapeutics",108, 3,2,0,0,0,0,2
2005,"Common polymorphism G(-248)A in the promoter region of the bax gene results in significantly shorter survival in patients with chronic lymphocytic leukemia once treatment is initiated","Starczynski J., Pepper C., Pratt G., Hooper L., Thomas A., Milligan D., Bentley P., Fegan C.",0732183X,"Journal of Clinical Oncology",23, 7,7,5,6,11,2,20
2005,"The parallel combination of a valve regulated lead acid cell and supercapacitor for use as a hybrid vehicle peak power buffer","Bentley P., Stone D.A.",,"2005 European Conference on Power Electronics and Applications",2005, ,0,1,0,1,0,1
2005,"Auxiliary strategies for the preparation of ?-amino alcohols with reductive cross-coupling and a synthesis of (-)-cytoxazone","Lin X., Bentley P.A., Xie H.",00404039,"Tetrahedron Letters",46, 45,2,3,1,4,2,8
2005,"The parallel combination of a VRLA cell and supercapacitor for use as a hybrid vehicle peak power buffer","Bentley P., Stone D.A., Schofield N.",03787753,"Journal of Power Sources",147, 1-2,1,1,7,8,3,12
2005,"Nonlinear observers for predicting state-of-charge and state-of-health of lead-acid batteries for hybrid-electric vehicles","Bhangu B.S., Bentley P., Stone D.A., Bingham C.M.",00189545,"IEEE Transactions on Vehicular Technology",54, 3,3,6,10,16,2,21
2005,"Of rats and men: Superwarfarin toxicity","Sharma P., Bentley P.",01406736,"Lancet",365, 9459,3,1,2,3,0,6
2004,"Lifetime extension of Valve Regulated Lead Acid (VRLA) batteries under hybrid vehicle duty","Bentley P., Stone D.A.",05379989,"IEE Conference Publication",1, ,1,0,0,0,0,1
2004,"Selective rotation of egocentric spatial representation following right putaminal hemorrhage","Mijovic-Prelec D., Bentley P., Caviness Jr. V.S.",00283932,"Neuropsychologia",42, 13,0,1,0,1,0,1
2004,"Bryostatin induces protein kinase C modulation, Mcl-1 up-regulation and phosphorylation of Bcl-2 resulting in cellular differentiation and resistance to drug-induced apoptosis in B-cell chronic lymphocytic leukemia cells","Thomas A., Pepper C., Hoy T., Bentley P.",10428194,"Leukemia and Lymphoma",45, 5,7,3,1,4,0,11
2004,"Effects of cholinergic enhancement on visual stimulation, spatial attention, and spatial working memory","Bentley P., Husain M., Dolan R.J.",08966273,"Neuron",41, 6,16,7,17,24,6,46
2003,"Caviare from the count: Blackwood's and John Keats's la belle dame sans merci","Bentley P.",1354991X,"Romanticism",9, 1,0,0,0,0,0,0
2003,"The P2X7 receptor gene polymorphism 1513 A ? C has no effect on clinical prognostic markers, in vitro sensitivity to fludarabine, Bcl-2 family protein expression or survival in B-cell chronic lymphocytic leukaemia","Starczynski J., Pepper C., Pratt G., Hooper L., Thomas A., Hoy T., Milligan D., Bentley P., Fegan C.",00071048,"British Journal of Haematology",123, 1,14,2,5,7,2,23
2003,"Cholinergic enhancement modulates neural correlates of selective attention and emotional processing","Bentley P., Vuilleumier P., Thiel C.M., Driver J., Dolan R.J.",10538119,"NeuroImage",20, 1,19,9,8,17,2,38
2003,"Effects of attention and emotion on repetition priming and their modulation by cholinergic enhancement","Bentley P., Vuilleumier P., Thiel C.M., Driver J., Dolan R.J.",00223077,"Journal of Neurophysiology",90, 2,15,8,8,16,2,33
2003,"The vitamin D3 analog EB1089 induces apoptosis via a p53-independent mechanism involving p38 MAP kinase activation and suppression of ERK activity in B-cell chronic lymphocytic leukemia cells in vitro","Pepper C., Thomas A., Hoy T., Milligan D., Bentley P., Fegan C.",00064971,"Blood",101, 7,20,5,4,9,1,30
2003,"Flavopiridol induces apoptosis in B-cell chronic lymphocytic leukaemia cells through a p38 and ERK MAP kinase-dependent mechanism","Pepper C., Thomas A., Fegan C., Hoy T., Bentley P.",10428194,"Leukemia and Lymphoma",44, 2,7,1,3,4,0,11
2003,"Leukemic and non-leukemic lymphocytes from patients with Li Fraumeni syndrome demonstrate loss of p53 function, Bcl-2 family dysregulation and intrinsic resistance to conventional chemotherapeutic drugs but not flavopiridol.","Pepper C., Thomas A., Hoy T., Tighe J., Culligan D., Fegan C., Bentley P.",15384101,"Cell cycle (Georgetown, Tex.)",2, 1,9,3,0,3,0,12
2002,"Effects of cholinergic enhancement on conditioning-related responses in human auditory cortex","Thiel C.M., Bentley P., Dolan R.J.",0953816X,"European Journal of Neuroscience",16, 11,9,6,3,9,0,18
2002,"Antisense oligonucleotides complementary to bax transcripts reduce the susceptibility of B-cell chronic lymphocytic leukaemia cells to apoptosis in a Bcl-2 independent manner","Pepper C., Thomas A., Hoy T., Bentley P.",10428194,"Leukemia and Lymphoma",43, 10,9,0,0,0,0,9
2002,"Retinoid-induced apoptosis in B-cell chronic lymphocytic leukaemia cells is mediated through caspase-3 activation and is independent of p53, the retinoic acid receptor, and differentiation","Pepper C., Ali K., Thomas A., Hoy T., Fegan C., Chowdary P., Kell J., Bentley P.",09024441,"European Journal of Haematology",69, 4,8,0,0,0,1,9
2001,"The effect of the primary structure of the polypeptide catalyst on the enantioselectivity of the Juliá-Colonna asymmetric epoxidation of enones.","Bentley P.A., Flood R.W., Roberts S.M., Skidmore J., Smith C.B., Smith J.A.",13597345,"Chemical communications (Cambridge, England)",, 17,1,1,0,1,0,2
2001,"The effect of the primary structure of the polypeptide catalyst on the enantioselectivity of the Juliá-Colonna asymmetric epoxidation of enones","Bentley P.A., Flood R.W., Roberts S.M., Skidmore J., Smith C.B., Smith J.A.",13597345,"Chemical Communications",, 17,22,1,1,2,1,25
2001,"Bcl-2 antisense oligonucleotides enhance the cytotoxicity of chlorambucil in B-cell chronic lymphocytic leukaemia cells","Pepper C., Hooper K., Thomas A., Hoy T., Bentley P.",10428194,"Leukemia and Lymphoma",42, 3,17,1,0,1,1,19
2001,"Flavopiridol circumvents Bcl-2 family mediated inhibition of apoptosis and drug resistance in B-cell chronic lymphocytic leukaemia","Pepper C., Thomas A., Hoy T., Fegan C., Bentley P.",00071048,"British Journal of Haematology",114, 1,33,4,6,10,0,43
2001,"Asymmetric epoxidation of a geminally-disubstituted and some trisubstituted enones catalysed by poly-L-leucine","Bentley P.A., Bickley J.F., Roberts S.M., Steiner A.",00404039,"Tetrahedron Letters",42, 22,19,1,3,4,0,23
2000,"Deregulated expression of promyelocytic leukemia zinc finger protein in B-cell chronic lymphocytic leukemias does not affect cyclin A expression","Parrado A., Chomienne C., Padua R.A., Noguera M.E., Delmer A., McKenna S., Davies J., Le Gall I., Bentley P., Whittaker J.A., Sigaux F.",14664860,"Hematology Journal",1, 1,5,1,3,4,2,11
2000,"The role of the Bcl-2 family in the modulation of apoptosis.","Pepper C., Bentley P.",00811386,"Symposia of the Society for Experimental Biology",52, ,0,0,0,0,1,1
2000,"Bcl-2 and Bax expression and chlorambucil-induced apoptosis in the T-cells and leukaemic B-cells of untreated B-cell chronic lymphocytic leukaemia patients","Thomas A., Pepper C., Hoy T., Bentley P.",01452126,"Leukemia Research",24, 10,11,1,0,1,1,13
1999,"Antisense-mediated suppression of Bcl-2 highlights its pivotal role in failed apoptosis in B-cell chronic lymphocytic leukaemia","Pepper C., Thomas A., Terry H., Cotter F., Bentley P.",00071048,"British Journal of Haematology",107, 3,51,4,2,6,0,57
1999,"Pleiotropic drug resistance in B-cell chronic lymphocytic leukaemia - The role of Bcl-2 family dysregulation","Pepper C., Thomas A., Hidalgo De Quintana J., Davies S., Hoy T., Bentley P.",01452126,"Leukemia Research",23, 11,14,1,2,3,0,17
1999,"Alterations of the retinoic acid receptor ? (RAR?) gene in myeloid and lymphoid malignancies","Parrado A., Padua R.A., West R., Jordan D., Bastard C., McKenna S., Whittaker J.A., Bentley P., White D., Chomienne C.",00071048,"British Journal of Haematology",104, 4,5,0,0,0,0,5
1999,"Chlorambucil resistance in B-cell chronic lymphocytic leukaemia is mediated through failed Bax induction and selection of high Bcl-2-expressing subclones","Pepper C., Thomas A., Hoy T., Bentley P.",00071048,"British Journal of Haematology",104, 3,36,0,2,2,1,39
1998,"Towards a mechanistic insight into the Julia-Colonna asymmetric epoxidation of ?,?-unsaturated ketones using discrete lengths of poly- leucine","Bentley P.A., Cappi M.W., Flood R.W., Roberts S.M., Smith J.A.",00404039,"Tetrahedron Letters",39, 50,23,3,0,3,0,26
1998,"Bcl-2/Bax ratios in chronic lymphocytic leukaemia and their correlation with in vitro apoptosis and clinical resistance (multiple letters) [2]","Williamson K.E., Kelly J.D., Hamilton P.W., McManus D., Johnston S.R., Bentley P., Pepper C., Hoy T.",00070920,"British Journal of Cancer",78, 4,1,0,0,0,0,1
1998,"Flow cytometric assessment of three different methods for the measurement of in vitro apoptosis","Pepper C., Thomas A., Tucker H., Hoy T., Bentley P.",01452126,"Leukemia Research",22, 5,29,1,2,3,0,32
1998,"Elevated Bcl-2/Bax are a consistent feature of apoptosis resistance in B-cell chronic lymphocytic leukaemia and are correlated with in vivo chemoresistance","Pepper C., Hoy T., Bentley P.",10428194,"Leukemia and Lymphoma",28, 3-4,49,5,2,7,0,56
1997,"Asymmetric epoxidation of enones employing polymeric ?-amino acids in non-aqueous media","Bentley P.A., Bergeron S., Cappi M.W., Hibbs D.E., Hursthouse M.B., Nugent T.C., Pulido R., Roberts S.M., Wu L.E.",13597345,"Chemical Communications",, 8,49,2,2,4,2,55
1997,"Preparation of polyamino acid catalysts for use in Julia asymmetric epoxidation","Bentley P.A., Kroutil W., Littlechild J.A., Roberts S.M.",08990042,"Chirality",9, 2,27,2,0,2,0,29
1996,"Regulation of clinical chemoresistance by bcl-2 and bax oncoproteins in B-cell chronic lymphocytic leukaemia","Pepper C., Bentley P., Hoy T.",00071048,"British Journal of Haematology",95, 3,82,3,2,5,2,89
1996,"Failure to induce resistance to cytotoxic drugs in normal lymphocytes","Bentley P., Thomas A., Thomas J.",01452126,"Leukemia Research",20, 8,3,0,0,0,0,3
