2007,"Physiologic and aberrant regulation of memory T-cell trafficking by the costimulatory molecule CD28","Mirenda V., Jarmin S.J., David R., Dyson J., Scott D., Gu Y., Lechler R.I., Okkenhaug K., Marelli-Berg F.M.",00064971,"Blood",109, 7,17,6,1,3,10,0,27
2007,"IFN-?2 induces leukocyte integrin redistribution, increased adhesion, and migration","Avraamides G., Ng C.-Y., David R., Gu Y., Fazekasova H., Mirenda V., Foster G.R., Runkel L., Lombardi G., Marelli-Berg F.M.",10799907,"Journal of Interferon and Cytokine Research",27, 4,3,1,0,0,1,0,4
2006,"Differential effects of immunosuppressive drugs on T-cell motility","Datta A., David R., Glennie S., Scott D., Cernuda-Morollon E., Lechler R.I., Ridley A.J., Marelli-Berg F.M.",16006135,"American Journal of Transplantation",6, 12,2,0,0,0,0,0,2
2006,"A rapid method for labelling CD4+ T cells with ultrasmall paramagnetic iron oxide nanoparticles for magnetic resonance imaging that preserves proliferative, regulatory and migratory behaviour in vitro","Garden O.A., Reynolds P.R., Yates J., Larkman D.J., Marelli-Berg F.M., Haskard D.O., Edwards A.D., George A.J.T.",00221759,"Journal of Immunological Methods",314, 1-2,7,5,1,0,6,0,13
2006,"Characterization and clinical application of human CD34+ stem/progenitor cell populations mobilized into the blood by granulocyte colony-stimulating factor","Gordon M.Y., Marley S.B., Davies J., Dazzi F., Marelli-Berg F., Tait P., Playford R., Jiao L., Jensen S., Nicholls J.P., Ayav A., Levicar N., Nohandani M., Farzaneh F., Gaken J., Dodge R., Alison M., Apperley J.F., Lechler R., Habib N.A., Pai M., Bachellier P., Dimarakis I., Al-Allaf F., M'Hamdi H., Thalji T., Welsh J.P.",10665099,"Stem Cells",24, 7,49,22,25,9,56,0,105
2005,"Membrane phosphatidylserine distribution as a non-apoptotic signalling mechanism in lymphocytes","Elliott J.I., Surprenant A., Marelli-Berg F.M., Cooper J.C., Cassady-Cain R.L., Wooding C., Linton K., Alexander D.R., Higgins C.F.",14657392,"Nature Cell Biology",7, 8,54,6,8,2,16,0,70
2005,"Tolerant T cells display impaired trafficking ability","Mirenda V., Marelli-Berg F.M., Millington O., Lechler R.I., Scott D., Hernandez-Fuentes M.P., Read J., Tan P.H., George A.J.T., Garside P.",00142980,"European Journal of Immunology",35, 7,13,0,1,0,1,0,14
2005,"Transmigration through venular walls: A key regulator of leukocyte phenotype and function","Nourshargh S., Marelli-Berg F.M.",14714906,"Trends in Immunology",26, 3,51,12,7,4,23,0,74
2004,"A novel pathway of alloantigen presentation by dendritic cells","Herrera O.B., Golshayan D., Tibbott R., Ochoa F.S., James M.J., Marelli-Berg F.M., Lechler R.I.",00221767,"Journal of Immunology",173, 8,50,10,15,2,27,0,77
2004,"IFN-? subtypes differentially affect human T cell motility","Foster G.R., Masri S.H., David R., Jones M., Datta A., Lombardi G., Runkell L., De Dios C., Sizing I., James M.J., Marelli-Berg F.M.",00221767,"Journal of Immunology",173, 3,26,4,5,2,11,0,37
2004,"?-Adrenergic stimulation induces interleukin-18 expression via ?2-AR, PI3K, Akt, IKK, and NF-?B","Chandrasekar B., Marelli-Berg F.M., Tone M., Bysani S., Prabhu S.D., Murray D.R.",0006291X,"Biochemical and Biophysical Research Communications",319, 2,27,5,6,3,14,0,41
2004,"Antigen presentation by the endothelium: A green light for antigen-specific T cell trafficking?","Marelli-Berg F.M., Jarmin S.J.",01652478,"Immunology Letters",93, 2-3,13,2,1,0,3,0,16
2004,"Cognate recognition of the endothelium induces HY-specific CD8+ T-lymphocyte transendothelial migration (diapedesis) in vivo","Marelli-Berg F.M., James M.J., Dangerfield J., Dyson J., Millrain M., Scott D., Simpson E., Nourshargh S., Lechler R.I.",00064971,"Blood",103, 8,26,5,2,1,8,0,34
2003,"Anergic T cells exert antigen-independent inhibition of cell-cell interactions via chemokine metabolism","James M.J., Cardozo L., Warrens A., Szydlo R.M., Lechler R.I., Marelli-Berg F.M., Belaramani L., Prodromidou K., Datta A., Nourshargh S., Lombardi G., Dyson J., Scott D., Simpson E.",00064971,"Blood",102, 6,22,1,0,1,2,0,24
2003,"Dendritic cells from CML patients have altered actin organization, reduced antigen processing, and impaired migration","Dong R., Bellantuono I., Ridley A., Lombardi G., Cwynarski K., Entwistle A., Marelli-Berg F., Dazzi F., Simpson E., Goldman J.M., Melo J.V., Lechler R.I.",00064971,"Blood",101, 9,43,1,3,0,4,0,47
2003,"Chemokine-cytokine cross-talk: The ELR + CXC chemokine LIX (CXCl5) amplifies a proinflammatory cytokine response via a phosphatidylinositol 3-kinase-NF-?B pathway","Chandrasekar B., Melby P.C., Sarau H.M., Raveendran M., Perla R.P., Marelli-Berg F.M., Dulin N.O., Singh I.S.",00219258,"Journal of Biological Chemistry",278, 7,46,2,2,0,4,0,50
2002,"Conditional immortalization of growth factor-responsive cardiac endothelial cells from H-2Kb-tsA58 mice","Lidington E.A., Rao R.M., Marelli-Berg F.M., Jat P.S., Haskard D.O., Mason A.J.C.",03636143,"American Journal of Physiology - Cell Physiology",282, 1,22,1,1,0,2,0,24
2002,"Functional consequences of noncognate interactions between CD4+ memory T lymphocytes and the endothelium","Berg L.-P., James M.J., Alvarez-Iglesias M., Glennie S., Lechler R.I., Marelli-Berg F.M.",00221767,"Journal of Immunology",168, 7,16,0,1,1,2,0,18
2001,"The contributions of T-cell anergy to peripheral T-cell tolerance","Lechler R., Chai J.-G., Marelli-Berg F., Lombardi G.",00192805,"Immunology",103, 3,46,2,3,0,5,0,51
2001,"T-cell anergy and peripheral T-cell tolerance","Lechler R., Chai J.-G., Marelli-Berg F., Lombardi G.",09628436,"Philosophical Transactions of the Royal Society B: Biological Sciences",356, 1409,26,1,0,0,1,0,27
2001,"Antigen presentation by murine endothelial cells","Marelli-Berg F.M., Scott D., Bartok I., Peek E., Dyson J., Lechler R.I.",00411345,"Transplantation Proceedings",33, 1-2,5,0,1,0,1,0,6
2001,"T cell receptor engagement can influence T cell motility","Marelli-Berg F.M., Alvarez-lglesias M., Prodromidou K., Lombardi G., Frasca L., Berg L.-P., Lechler R.I.",00411345,"Transplantation Proceedings",33, 1-2,0,0,0,0,0,0,0
2000,"Isolation of endothelial cells from murine tissue","Marelli-Berg F.M., Peek E., Lidington E.A., Stauss H.J., Lechler R.I.",00221759,"Journal of Immunological Methods",244, 1-2,76,7,5,3,15,0,91
2000,"Activated murine endothelial cells have reduced immunogenicity for CD8+ T cells: A mechanism of immunoregulation?","Marelli-Berg F.M., Scott D., Bartok I., Peek E., Dyson J., Lechler R.I.",00221767,"Journal of Immunology",165, 8,31,0,1,0,1,0,32
1999,"Antigen presentation by parenchymal cells: A route to peripheral tolerance?","Marelli-Berg F.M., Lechler R.I.",01052896,"Immunological Reviews",172, ,53,3,0,1,4,0,57
1999,"Lack of T cell proliferation without induction of nonresponsiveness after antigen presentation by endothelial cells","Marelli-Berg F.M., Frasca L., Imami N., Lombardi G., Lechler R.I.",00411337,"Transplantation",68, 2,19,0,0,0,0,0,19
1999,"Recently activated T cells are costimulation-dependent in vitro","Marelli-Berg F.M., Barroso-Herrera O., Lechler R.I.",00088749,"Cellular Immunology",195, 1,4,0,0,0,0,0,4
1999,"Antigen recognition influences transendothelial migration of CD4+ T cells","Marelli-Berg F.M., Frasca L., Weng L., Lombardi G., Lechler R.I.",00221767,"Journal of Immunology",162, 2,52,3,4,1,8,0,60
1998,"Role of donor and recipient antigen-presenting cells in priming and maintaining t cells with indirect allospecificity","Frasca L., Amendola A., Hornick P., Brookes P., Aichinger G., Marelli-Berg F., Lechler R.I., Lombardi G.",00411337,"Transplantation",66, 9,29,1,0,0,1,0,30
1998,"Detection of CD40 on human thyroid follicular cells: Analysis of expression and function","Metcalfe R.A., McIntosh R.S., Marelli-Berg F., Lombardi G., Lechler R., Weetman A.P.",0021972X,"Journal of Clinical Endocrinology and Metabolism",83, 4,37,0,1,2,3,0,40
1998,"Interferon-?-treated renal tubular epithelial cells induce allospecific tolerance","Frasca L., Marelli-Berg F., Imami N., Potolicchio I., Carmichael P., Lombardi G., Lechler R.",00852538,"Kidney International",53, 3,41,1,1,0,2,0,43
1997,"Antigen Presentation by Epithelial Cells Induces Anergic Immunoregulatory CD45RO+ T Cells and Deletion of CD45RA+ T Cells","Marelli-Berg F.M., Weetman A., Frasca L., Deacock S.J., Imami N., Lombardi G., Lechler R.I.",00221767,"Journal of Immunology",159, 12,61,2,0,0,2,0,63
1997,"Mechanisms of peripheral T-cell tolerance.","Lechler R., Marelli-Berg F.M.",13520504,"Journal of viral hepatitis",4, ,5,0,0,0,0,0,5
1997,"Do endothelial cells fit the paradigm of antigen-presenting cells?","Lechler R.I., Marelli-Berg F.M.",03005127,"Biochemical Society Transactions",25, 2,4,0,0,0,0,0,4
1997,"Antigen presentation by interferon-?-treated thyroid follicular cells inhibits interleukin-2 (IL-2) and supports IL-4 production by B7-dependent human T cells","Lombardi G., Arnold K., Uren J., Marelli-Berg F., Hargreaves R., Imami N., Weetman A., Lechler R.",00142980,"European Journal of Immunology",27, 1,46,1,0,0,1,0,47
1996,"Major histocompatibility complex class II-expressing endothelial cells induce allospecific nonresponsiveness in naive T cells","Marelli-Berg F.M., Hargreaves R.E.G., Carmichael P., Dorling A., Lombardi G., Lechler R.I.",00221007,"Journal of Experimental Medicine",183, 4,83,3,4,2,9,0,92
