,"Author: Shovlin, Claire L L",,,,,,,,,,,
2007,"Discussion","Lammert E., Shibuya M., Adams R.H., Drake C.J., Weinstein B.M., Shovlin C.L., Yancopoulos G.D., Breier G., Augustin H.G., Betsholtz C., Wilting J., Gerhardt H., Dejana E., Owens G.K.",15282511,"Novartis Foundation Symposium",283, ,0,0,0,0,0,0
2007,"Discussion","Adams R.H., Makinen T., Shibuya M., Shovlin C.L., Uv A.E., Weinstein B.M., Wilting J., Yancopoulos G.D., Ye W., Augustin H.G., Betsholtz C., Dejana E., Drake C.J., Epstein J.A., Gerhardt H., Kitajewski J., Lammert E.",15282511,"Novartis Foundation Symposium",283, ,0,0,0,0,0,0
2007,"Discussion","Betsholtz C., Mostov K.E., Augustin H.G., Lammert E., Davies J., Shovlin C.L., Wilting J.",15282511,"Novartis Foundation Symposium",283, ,0,0,0,0,0,0
2007,"Elevated factor VIII in hereditary haemorrhagic telangiectasia (HHT): Association with venous thromboembolism","Shovlin C.L., Sulaiman N.L., Govani F.S., Jackson J.K., Begbie M.E.",03406245,"Thrombosis and Haemostasis",98, 5,0,0,5,5,3,8
2007,"Acute pulmonary embolism: a review.","Saleh J.A., Shovlin C., Alasia D.D.",11152613,"Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria",16, 1,0,0,0,0,0,0
2005,"A new locus for hereditary haemorrhagic telangiectasia (HHT3) maps to chromosome 5","Cole S.G., Begbie M.E., Wallace G.M.F., Shovlin C.L.L.",00222593,"Journal of Medical Genetics",42, 7,21,17,17,34,11,66
2005,"Interferon for metastatic renal cell cancer causing regression of hereditary hemorrhagic telangiectasia [2]","Wheatky-Price P., Shovlin C., Chao D.",01920790,"Journal of Clinical Gastroenterology",39, 4,0,1,2,3,1,4
2003,"Should asymptomatic patients with hereditary haemorrhagic telangiectasia (HHT) be screened for cerebral vascular malformations? Data from 22 061 years of HHT patient life","Easey A.J., Wallace G.M.F., Hughes J.M.B., Jackson J.E., Taylor W.J., Shovlin C.L.",00223050,"Journal of Neurology Neurosurgery and Psychiatry",74, 6,14,0,4,4,2,20
2003,"Hereditary haemorrhagic telangiectasia (Osler-Weber-Rendu syndrome): A view from the 21st century","Begbie M.E., Wallace G.M.F., Shovlin C.L.",00325473,"Postgraduate Medical Journal",79, 927,46,12,17,29,20,95
2002,"Pulmonary arteriovenous malformations: Effect of embolization on right-to-left shunt, hypoxemia, and exercise tolerance in 66 patients","Gupta P., Mordin C., Curtis J., Hughes J.M.B., Shovlin C.L., Jackson J.E.",0361803X,"American Journal of Roentgenology",179, 2,19,5,8,13,4,36
2001,"Alveolar macrophage activity and the pulmonary complications of haematopoietic stem cell transplantation","Whittle A.T., Davis M., Shovlin C.L., Ganly P.S., Haslett C., Greening A.P.",00406376,"Thorax",56, 12,3,1,0,1,0,4
2001,"Analysis of several endoglin mutants reveals no endogenous mature or secreted protein capable of interfering with normal endoglin function","Paquet M.-E., Pece-Barbara N., Vera S., Cymerman U., Karabegovic A., Shovlin C., Letarte M.",09646906,"Human Molecular Genetics",10, 13,36,3,3,6,2,44
2000,"A gene for primary pulmonary hypertension","Wilkins M.R., Gibbs J.S.R., Shovlin C.L.",01406736,"Lancet",356, 9237,8,0,1,1,0,9
2000,"A hereditary haemorrhagic telangiectasia family with pulmonary involvement is unlinked to the known HHT genes, endoglin and ALK-1","Wallace G.M.F., Shovlin C.L.",00406376,"Thorax",55, 8,44,6,2,8,1,53
2000,"Diagnostic criteria for Hereditary Hemorrhagic Telangiectasia (Rendu- Osler-Weber Syndrome)","Shovlin C.L., Guttmacher A.E., Buscarini E., Faughnan M.E., Hyland R.H., Westermann C.J.J., Kjeldsen A.D., Plauchu H.",01487299,"American Journal of Medical Genetics",91, 1,192,43,47,90,43,325
2000,"Genetic aspects of cerebrovascular malformations","Shovlin C.L.",11239344,"Interventional Neuroradiology",6, 2,1,0,0,0,0,1
1999,"The risk of cerebral haemorrhage in families with HHT and pulmonary AVMS","Wallace G.M.F., Jackson J.E., Hughes J.M.B., Shovlin C.L.",00406376,"Thorax",54, 3,0,0,0,0,0,0
1999,"Supermodels and disease: Insights from the HHT mice","Shovlin C.L.",00219738,"Journal of Clinical Investigation",104, 10,8,0,0,0,0,8
1999,"Hereditary haemorrhagic telangiectasia and pulmonary arteriovenous malformations: Issues in clinical management and review of pathogenic mechanisms","Shovlin C.L., Letarte M.",00406376,"Thorax",54, 8,134,20,19,39,10,183
1998,"Molecular studies on adenosine deaminase deficiency and hereditary haemorrhagic telangiectasia","Shovlin C.L.",01435221,"Clinical Science",94, 3,2,1,0,1,0,3
1997,"Molecular defects in rare bleeding disorders: Hereditary haemorrhagic telangiectasia","Shovlin C.L.",03406245,"Thrombosis and Haemostasis",78, 1,43,1,1,2,2,47
1997,"Characterization of endoglin and identification of novel mutations in hereditary hemorrhagic telangiectasia","Shovlin C.L., Hughes J.M.B., Scott J., Seidman C.E., Seidman J.G.",00029297,"American Journal of Human Genetics",61, 1,81,8,3,11,2,94
1996,"A reduction in functional endoglin leads to pulmonary arteriovenous malformations in hereditary haemorrhagic telangiectasia","Shovlin C.L., Hughes J.M.B., Scott J., Seidman J.G., Seidman C.E.",00406376,"Thorax",51, 3,0,0,0,0,0,0
1996,"Streamlined procedures for screening a P1 library","Shovlin C.L.",07366205,"BioTechniques",21, 3,2,0,0,0,0,2
1996,"Genetic Analysis of Susceptibility to Experimental Autoimmune Encephalomyelitis in a Cross between SJL/J and B10.S Mice","Encinas J.A., Kuchroo V.K., Lees M.B., Sobel R.A., Symonowicz C., Greer J.M., Shovlin C.L., Weiner H.L., Seidman C.E., Seidman J.G.",00221767,"Journal of Immunology",157, 5,81,3,3,6,0,87
1996,"Inherited diseases of the vasculature","Shovlin C.L., Scott J.",00664278,"Annual Review of Physiology",58, ,16,0,0,0,0,16
1996,"Hereditary hemorrhagic telangiectasia.","Shovlin C.L., Hughes J.M.",00284793,"The New England journal of medicine",334, 5,1,1,1,2,0,3
1996,"Hereditary hemorrhagic telangiectasia [2]","Shovlin C.L., Hughes J.M.B., Kjeldsen A.D., Vase P., Oxhoj H., Guttmacher A.E., Marchuk D.A., White Jr. R.L.",00284793,"New England Journal of Medicine",334, 5,8,0,0,0,0,8
1995,"Medical complications of pregnancy in hereditary haemorrhagic telangiectasia","Shovlin C.L., Winstock A.R., Peters A.M., Jackson J.E., Hughes J.M.B.",00335622,"QJM - Monthly Journal of the Association of Physicians",88, 12,56,5,6,11,4,71
1995,"Adenosine deaminase (ADA) deficiency as the unexpected cause of CD4+ T- lymphocytopenia in two HIV-negative adult female siblings","Fairbanks L.D., Simmonds H.A., Webster A.D.B., Shovlin C.L., Hughes J.M.B.",00652598,"Advances in Experimental Medicine and Biology",370, ,1,0,0,0,0,1
1994,"Adult onset immunodeficiency caused by inherited adenosine deaminase deficiency","Shovlin C.L., Soutar A.K., Simmonds H.A., Fairbanks L.D., Deacock S.J., Hughes J.M.B., Lechler R.I., Webster A.D.B., Sun X.-M., Webb J.C.",00221767,"Journal of Immunology",153, 5,37,4,0,4,1,42
1994,"A gene for hereditary haemorrhagic telangiectasia maps to chromosome 9q3","Shovlin C.L., Hughes J.M.B., Tuddenham E.G.D., Temperley I., Perembelon Y.F.N., Scott J., Seidman C.E., Seidman J.G.",10614036,"Nature Genetics",6, 2,90,5,4,9,4,103
1994,"Adenosine deaminase deficiency with altered biochemical parameters in two sisters with late-onset immunodeficiency","Fairbanks L.D., Shovlin C.L., Webster A.D.B., Hughes J.M.B., Simmonds H.A.",01418955,"Journal of Inherited Metabolic Disease",17, 1,2,0,0,0,0,2
1993,"Adult presentation of adenosine deaminase deficiency [1]","Shovlin C.L., Hughes J.M.B., Simmonds H.A., Fairbanks L., Deacock S., Lechler R., Roberts I., Webster A.D.B.",01406736,"Lancet",341, 8858,19,1,1,2,0,21
1990,"Salbutamol nebuliser and precipitation of critical cardiac ischaemia","Shovlin C.L., Tam F.W.K.",01406736,"Lancet",336, 8725,11,0,1,1,0,12
