,"Author: Ashby, Deborah",,,,,,,,,,,
2005,Where's the utility in Bayesian data-monitoring of clinical trials?,"Ashby D., Tan S.-B.",17407745,Clinical Trials,2,3,1,3,0,3,0,4
2005,High prevalence but low impact of data extraction and reporting errors were found in Cochrane systematic reviews,"Jones A.P., Remmington T., Williamson P.R., Ashby D., Smyth R.L.",8954356,Journal of Clinical Epidemiology,58,7,3,3,2,5,3,11
2005,Informed patient consent to participation in cluster randomized trials: An empirical exploration of trials in primary care,"Eldridge S.M., Ashby D., Feder G.S.",17407745,Clinical Trials,2,2,2,1,2,3,1,6
2005,Do selective serotonin reuptake inhibitors cause suicide? [1] (multiple letters),"Curtin F., Mitchell A.J., Fergusson D., Doucette S., Hebert P., Healy D., Shapiro S., Raven M.K., Cipriani A., Barbui C., Geddes J.R., Schulz P., Murray M.L., Wong I.C.K., Thompson M., Healy D., Gunnell D., Saperia J., Ashby D., Jones H.M., Sakinofsky I., Strelner D.L.",9598146,British Medical Journal,330,7500,0,0,0,0,0,0
2005,"Selective serotonin reuptake inhibitors (SSRIs) and suicide in adults: Meta-analysis of drug company data from placebo controlled, randomised controlled trials submitted to the MHRA's safety review","Gunnell D., Saperia J., Ashby D.",9598146,British Medical Journal,330,7488,84,36,25,61,18,163
2005,Antidepressant treatment and the risk of fatal and non-fatal self harm in first episode depression: Nested case-control study,"Martinez C., Rietbrock S., Wise L., Ashby D., Chick J., Moseley J., Evans S., Gunnell D.",9598146,British Medical Journal,330,7488,61,25,18,43,11,115
2004,Preface,Ashby D.,2776715,Statistics in Medicine,23,24,0,0,0,0,0,0
2004,Report of the Council for the session 2003-2004,"Grieve A., Puzey I., Raab G., Smith R., Gentry P., Roberts G., Dryden I., Dougharty J., Bassett E., Goldstein H., Hurcomb D., Lindley J., Davies N., O'Haga T., Richardson S., Duckworth F., Joyce H., Owen M., Ashby D., Robson M., Lievesley D., Chamberlain J.L., Goddard I., Gerson M., Vines K., Vail A., Heffernan C., Young J., Coleman S., Nason G., Kershaw C., Bowtell P., Eldridge S., Holt T., Ambler G., Reeves J., Kraus D., Abrams K., Heald S., Torsney B., Hill R., Mayer C., Reese A., Butler A., Bird S., Aykroyd R., Logsdon J., Smith C.T., Craig P., Lennox D., Berrington A., Ferro C., Rout M., Eales J., Thomson R., Hutton J., Sindato E.M.P., Van Keilegom I., Stone G., Goodall G., Hand D., Copas J.",9641998,Journal of the Royal Statistical Society. Series A: Statistics in Society,167,4,0,0,0,0,0,0
2004,BMJ statistical errors [5],"Cole T.J., Altman D., Ashby D., Deeks J., Evans S., Inskip H., Morris J., Murray G.",9598146,British Medical Journal,329,7463,0,0,0,0,0,0
2004,Antidepressants and suicide: What is the balance of benefit and harm,"Gunnell D., Ashby D.",9598146,British Medical Journal,329,7456,54,23,10,33,5,92
2004,Adjusting for publication bias: Modelling the selection process,"Preston C., Ashby D., Smyth R.",13561294,Journal of Evaluation in Clinical Practice,10,2,5,3,1,4,1,10
2004,Lessons for cluster randomized trials in the twenty-first century: a systematic review of trials in primary care.,"Eldridge S.M., Ashby D., Feder G.S., Rudnicka A.R., Ukoumunne O.C.",17407745,"Clinical trials (London, England)",1,1,17,6,7,13,5,35
2003,Using disease registries for pharmacoepidemiological research: A case study of data from a cystic fibrosis registry,"Strobl J., Enzer I., Bagust A., Haycox A., Smyth R., Ashby D., Walley T.",10538569,Pharmacoepidemiology and Drug Safety,12,6,0,1,1,2,0,2
2003,Thrombosis prevention trial: Compliance with warfarin treatment and investigation of a retained effect,"Rudnicka A.R., Ashby D., Brennan P., Meade T.",39926,Archives of Internal Medicine,163,12,3,3,1,4,0,7
2003,Smooth muscle cholinergic denervation hypersensitivity in diverticular disease,"Golder M., Burleigh D.E., Belai A., Ghali L., Ashby D., Lunniss P.J., Navsaria H.A., Williams N.S.",1406736,Lancet,361,9373,20,4,3,7,2,29
2002,Systematic reviews and lifelong diseases,"Elphick H.E., Tan A., Ashby D., Smyth R.L.",9598146,British Medical Journal,325,7360,17,1,0,1,0,18
2002,Cytokines in severe respiratory syncytial virus bronchiolitis,"Mobbs K.J., Smyth R.L., O'Hea U., Ashby D., Ritson P., Hart C.A.",87556863,Pediatric Pulmonology,33,6,12,1,4,5,1,18
2002,"Respiratory syncytial virus bronchiolitis: Disease severity, interleukin-8, and virus genotype","Smyth R.L., Mobbs K.J., O'Hea U., Ashby D., Hart C.A.",87556863,Pediatric Pulmonology,33,5,25,3,5,8,2,35
2001,Further comments on fibrosing colonopathy study [1] (multiple letters),"Dodge J.A., Smyth R.L., Ashby D., O'Hara D., Talbot I.C., Mehta A., Lewis P.A., Lloyd-Still J.D., Beno D.W.A., Uhing M.R., Kimura R.E.",1406736,Lancet,358,9292,1,1,0,1,0,2
2000,Evidence-based medicine as Bayesian decision-making,"Ashby D., Smith A.F.M.",2776715,Statistics in Medicine,19,23,25,2,3,5,1,31
2000,Reliability of percentage ideal weight for height,"Poustie V.J., Watling R.M., Ashby D., Smyth R.L.",39888,Archives of Disease in Childhood,83,2,12,2,1,3,1,16
2000,Oral steroids for cystic fibrosis | Orale steroide bei zystischer fibrose,"Cheng K., Ashby D., Smyth R.",10132058,Schweizerische Rundschau fur Medizin/Praxis,89, 27-28,0,0,0,0,0,0
2000,Orthodontic treatment for posterior crossbites.,"Harrison J.E., Ashby D.",1469493X,Cochrane database of systematic reviews (Online : Update Software),,2,0,0,0,0,0,0
2000,Oral steroids for cystic fibrosis.,"Cheng K., Ashby D., Smyth R.",1469493X,Cochrane database of systematic reviews (Online : Update Software),,2,0,0,0,0,1,1
2000,Ursodeoxycholic acid for cystic fibrosis-related liver disease.,"Cheng K., Ashby D., Smyth R.",1469493X,Cochrane database of systematic reviews (Online : Update Software),,2,2,1,1,2,0,4
2000,An introduction to statistical methods for health technology assessment,"White S.J., Ashby D., Brown P.J.",13665278,Health Technology Assessment,4,8,0,1,0,1,2,3
2000,"Randomized controlled trials in cystic fibrosis (1966-1997) categorized by time, design, and intervention","Cheng K., Smyth R.L., Motley J., O'Hea U., Ashby D.",87556863,Pediatric Pulmonology,29,1,28,3,3,6,0,34
1999,An investigation of the effects on children of tooth extraction under general anaesthesia in general dental practice,"Bridgman C.M., Ashby D., Holloway P.J.",70610,British Dental Journal,186,5,14,4,1,5,4,23
1999,"Taste preference far oral calorie supplements in children with cystic fibrosis, healthy children and healthy adults","Poustie V.J., Watling R.M., Ashby D., Smyth R.L.",9523871,Journal of Human Nutrition and Dietetics,12,4,3,0,1,1,0,4
1998,Statistical issues in pharmacoepidemiological case-control studies,"Ashby D., Smyth R.L., Brown P.J.",2776715,Statistics in Medicine,17, 15-16,5,0,1,1,0,6
1997,Bayesian data monitoring in clinical trials,"Fayers P.M., Ashby D., Parmar M.K.B.",2776715,Statistics in Medicine,16,12,32,8,3,11,2,45
1996,A Bayesian approach to weibull survival models - application to a cancer clinical trial,"Abrams K., Ashby D., Errington D.",13807870,Lifetime Data Analysis,2,2,4,1,1,2,0,6
1995,Fibrosing colonopathy in cystic fibrosis: Results of a case-control study,"Smyth R.L., Ashby D., O'Hea U., Burrows E., Lewis P., Van Velzen D., Dodge J.A.",1406736,Lancet,346,8985,71,3,6,9,3,83
1994,Chlamydial serology in the diagnosis of pelvic inflammatory disease [3],"Tait A., Ashby D.",9269959,Journal of the European Academy of Dermatology and Venereology,3,3,0,0,0,0,0,0
1994,A brief sensitive screening instrument for depression in late life,"Allen N., Ames D., Ashby D., Bennetts K., Tuckwell V., West C.",20729,Age and Ageing,23,3,22,1,3,4,1,27
1993,Tuberculin testing in residential homes for the elderly,"Nisar M., Williams C.S.D., Ashby D., Davies P.D.O.",406376,Thorax,48,12,35,8,5,13,0,48
1993,"Stopping rules, interim analyses and data monitoring committees","Ashby D., Machin D.",70920,British Journal of Cancer,68,6,2,0,0,0,0,2
1991,Psychiatric morbidity as predictor of mortality for residents of local authority homes for the elderly,"Ashby D., Ames D., West C.R., MacDonald A., Graham N., Mann A.H.",8856230,International Journal of Geriatric Psychiatry,6,8,13,0,1,1,1,15
1991,The cyclotron saga continues [11],"Bates T., Errington R.D., Ashby D., Gore S.M.",9598146,British Medical Journal,302,6791,0,0,0,0,0,0
1991,High energy neutron treatment for pelvic cancers: Study stopped because of increased mortality,"Errington R.D., Ashby D., Gore S.M., Abrams K.R., Myint S., Bonnett D.E., Blake S.W., Saxton T.E.",9598146,British Medical Journal,302,6784,20,0,0,0,2,22
1990,Evaluation of statistics teaching given to medical undergraduates: Response,Ashby D.,2776715,Statistics in Medicine,9,9,1,1,0,1,0,2
1990,Urine flow rates in male and female urodynamic patients compared with the liverpool nomograms,"Haylen B.T., Parys B.T., Anyaegbunam W.I., Ashby D., West C.R.",71331,British Journal of Urology,65,5,17,3,3,6,0,23
1989,The ordered logistic regression model in psychiatry: rising prevalence of dementia in old people's homes,"Ashby D., West C.R., Ames D.",2776715,Statistics in Medicine,8,11,14,0,0,0,0,14
1989,Maximum and average urine flow rates in normal male and female populations - The Liverpool nomograms,"Haylen B.T., Ashby D., Sutherst J.R., Frazer M.I., West C.R.",71331,British Journal of Urology,64,1,80,9,14,23,6,109
1989,Diurnal variations in serum biochemical and haematological measurements,"Pocock S.J., Ashby D., Shaper A.G., Walker M., Broughton P.M.G.",219746,Journal of Clinical Pathology,42,2,28,0,2,2,1,31
1989,The accuracy of measurement of residual urine in women by urethral catheterization,"Haylen B.T., Frazer M.I., Sutherst J.R., Ashby D.",71331,British Journal of Urology,63,2,9,1,3,4,0,13
1988,"Increased incidence of anti-glomerular basement membrane antibody (anti-GBM) nephritis in the Mersey Region, September 1984-October 1985","Williams P.S., Davenport A., McDicken I., Ashby D., Goldsmith H.J., Bone J.M.",335622,Quarterly Journal of Medicine,68,257,3,0,1,1,0,4
1988,Effect of thymosin (fraction 5) on the plasma levels of glucose and glucoregulatory hormones in humans,"Gossain V.V., Dimitrov N., Ashby D., Rovner D.R., Goldstein A.",257850,Journal of Medicine,19, 5-6,0,0,0,0,0,0
1988,Blood cadmium concentrations in the general population of British middle-aged men,"Pocock S.J., Delves H.T., Ashby D., Shaper A.G., Clayton B.E.",1445952,Human Toxicology,7,2,15,0,0,0,2,17
1988,Blood pressure and hypertension in middle-aged British men,"Shaper A.G., Ashby D., Pocock S.J.",2636352,Journal of Hypertension,6,5,11,0,0,0,0,11
1988,"The relationship between blood lead, blood pressure, stroke, and heart attacks in middle-aged British men","Pocock S.J., Shaper A.G., Ashby D., Delves H.T., Clayton B.E.",916765,Environmental Health Perspectives,78, ,33,3,0,3,1,37
1988,Psychiatric illness in elderly residents of Part III homes in one London borough: Prognosis and review,"Ames D., Ashby D., Mann A.H., Graham N.",20729,Age and Ageing,17,4,28,2,2,4,0,32
1987,Lead exposure and children's intellectual performance,"Pocock S.J., Ashby D., Smith M.A.",3005771,International Journal of Epidemiology,16,1,19,1,0,1,1,21
1986,Harmonizing multiple choice question marks with essay marks,"Ashby D., Baron D.N.",3080110,Medical Education,20,4,1,0,0,0,0,1
1985,Environmental lead and children's intelligence: A review of recent epidemiological studies,"Pocock S.J., Ashby D.",,STATISTICIAN,34,1,0,1,0,1,0,1
1985,Biochemical and haematological response to alcohol intake,"Shaper A.G., Pocock S.J., Ashby D.",45632,Annals of Clinical Biochemistry,22,1,32,1,4,5,0,37
1984,Psychiatric illness in residential homes for the elderly: A survey in one London Borough,"Mann A.H., Graham N., Ashby D.",20729,Age and Ageing,13,5,49,3,1,4,0,53
1984,"Blood lead concentration, blood pressure, and renal function","Pocock S.J., Shaper A.G., Ashby D.",9598146,British Medical Journal,289,6449,19,1,1,2,0,21
