,"Author: Tang, Christoph M.",,,,,,,,,,,
2002,"Role of Neisseria meningitidis luxS in cell-to-cell signaling and bacteremic infection","Winzer K., Sun Y.-H., Green A., Delory M., Blackley D., Hardie K.R., Baldwin T.J., Tang C.M.",00199567,"Infection and Immunity",70, 4,34,5,3,8,6,48
2002,"Genetic linkage analysis to identify a gene required for the addition of phosphoethanolamine to meningococcal lipopolysaccharide","Tang C.M., Stroud D., Mackinnon F., Makepeace K., Plested J., Moxon E.Richard, Chalmers R.",03781119,"Gene",284, 1-2,4,0,0,0,0,4
2001,"Identification of bacterial genes required for in-vivo survival","Tang C.M., Bakshi S., Sun Y.-H.",00223573,"Journal of Pharmacy and Pharmacology",53, 12,2,0,0,0,0,2
2001,"The impact of microbial genomics on antimicrobial drug development","Tang C.M., Moxon E.R.",15278204,"Annual Review of Genomics and Human Genetics",2, ,8,0,1,1,0,9
2000,"Functional genomics of Neisseria meningitidis pathogenesis","Sun Y.-H., Bakshi S., Chalmers R., Tang C.M.",10788956,"Nature Medicine",6, 11,93,5,4,9,6,108
2000,"Identification and characterization of in vivo attenuated mutants of Brucella melitensis","Lestrate P., Letesson J.-J., Delrue R.-M., Danese I., Didembourg C., Taminiau B., Mertens P., De Bolle X., Tibor A., Tang C.M.",0950382X,"Molecular Microbiology",38, 3,53,6,6,12,3,68
2000,"Underestimation of meningococci in tonsillar tissue by nasopharyngeal swabbing","Sim R.J., Harrison M.M., Moxon E.R., Tang C.M.",01406736,"Lancet",356, 9242,39,3,0,3,8,50
2000,"Challenge of investigating biologically relevant functions of virulence factors in bacterial pathogens","Moxon R., Tang C.",09628436,"Philosophical Transactions of the Royal Society B: Biological Sciences",355, 1397,11,1,1,2,0,13
2000,"Genetic analysis of Escherichia coli K1 gastrointestinal colonization","Martindale J., Stroud D., Moxon E.R., Tang C.M.",0950382X,"Molecular Microbiology",37, 6,30,2,4,6,0,36
1999,"Conservation and accessibility of an inner core lipopolysaccharide epitope of Neisseria meningitidis","Plested J.S., Tang C.M., MacKinnon F.M., Richards J.C., Moxon E.R., Makepeace K., Jennings M.P., Gidney M.A.J., Lacelle S., Brisson J.-R., Cox A.D., Martin A., Bird A.G.",00199567,"Infection and Immunity",67, 10,57,0,3,3,1,61
1999,"Pathogen virulence genes - Implications for vaccines and drug therapy","Tang C., Holden D.",00071420,"British Medical Bulletin",55, 2,7,0,1,1,0,8
1999,"For discussion: Live attenuated vaccines for group B meningococcus","Tang C., Moxon R., Levine M.M.",0264410X,"Vaccine",17, 2,15,0,1,1,1,17
1998,"Microbial genome sequencing and pathogenesis","Tang C.M., Hood D.W., Moxon E.R.",13695274,"Current Opinion in Microbiology",1, 1,13,0,1,1,1,15
1998,"Disseminated Penicillium marnefei infection presenting as a right upper lobe mass in an HIV positive patient","McShane H., Tang C.M., Conlon C.P.",00406376,"Thorax",53, 10,10,0,1,1,0,11
1997,"Haemophilus influence: The impact of whole genome sequencing on microbiology","Tang C.M., Hood D.W., Moxon E.R.",01689525,"Trends in Genetics",13, 10,13,0,1,1,0,14
1997,"Pyrexia of undetermined origin in advanced HIV disease","Tang C.M., Conlon C.P., Miller R.F.",02664348,"Genitourinary Medicine",73, 4,3,0,0,0,0,3
1997,"Do the new lipid formulations of amphotericin B really work?","Tang C.M., Bowler I.C.J.W.",1198743X,"Clinical Microbiology and Infection",3, 3,5,0,0,0,0,5
1995,"The treatment of candidemia [2]","DiNubile M.J., Sugar A., Meunier F., Girmenia C., Martino P., Cofsky R.D., Tang C.M., Howe P., Crook D.W., Rex J.H., Bennett J.E.",00284793,"New England Journal of Medicine",332, 16,3,0,0,0,0,3
1995,"Empirical antifungal therapy","Tang C.M., Cohen J.",10716564,"Bailliere's Clinical Infectious Diseases",2, 1,3,0,0,0,0,3
1994,"Molecular epidemiological study of invasive pulmonary Aspergillosis in a renal transplantation unit","Tang C.M., Cohen J., Rees A.J., Holden D.W.",09349723,"European Journal of Clinical Microbiology and Infectious Diseases",13, 4,35,1,1,2,1,38
1994,"Virulence studies of Aspergillus nidulans mutants requiring lysine or p- aminobenzoic acid in invasive pulmonary aspergillosis","Tang C.M., Smith J.M., Arst Jr. H.N., Holden D.W.",00199567,"Infection and Immunity",62, 12,25,1,1,2,1,28
1994,"Virulence of Aspergillus fumigatus double mutants lacking restrictocin and an alkaline protease in a low-dose model of invasive pulmonary aspergillosis","Smith J.M., Tang C.M., Van Noorden S., Holden D.W.",00199567,"Infection and Immunity",62, 12,62,2,5,7,3,72
1994,"Molecular genetics of Aspergillus pathogenicity","Holden D.W., Tang C.M., Smith J.M.",00036072,"Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",65, 3,21,1,0,1,0,22
1993,"The detection of Aspergillus spp. by the polymerase chain reaction and its evaluation in bronchoalveolar lavage fluid","Tang C.M., Holden D.W., Aufauvre-Brown A., Cohen J.",00030805,"American Review of Respiratory Disease",148, 5,99,4,3,7,1,107
1993,"Detection of gene-disruption events in Aspergillus transformants by polymerase chain reaction direct from conidiospores","Aufauvre-Brown A., Tang C.M., Holden D.W.",01728083,"Current Genetics",24, 1-2,15,0,0,0,0,15
1993,"The alkaline protease of Aspergillus fumigatus is not a virulence determinant in two murine models of invasive pulmonary aspergillosis","Tang C.M., Cohen J., Krausz T., Van Noorden S., Holden D.W.",00199567,"Infection and Immunity",61, 5,60,3,3,6,4,70
1992,"An Aspergillus fumigatus alkaline protease mutant constructed by gene disruption is deficient in extracellular elastase activity","Tang C.M., Cohen J., Holden D.W.",0950382X,"Molecular Microbiology",6, 12,47,2,1,3,3,53
1992,"Diagnosing fungal infections in immunocompromised hosts","Tang C.M., Cohen J.",00219746,"Journal of Clinical Pathology",45, 1,14,3,1,4,0,18
