2005,"Thyroid hormones regulate fibroblast growth factor receptor signaling during chondrogenesis","Barnard J.C., Williams A.J., Rabier B., Chassande O., Samarut J., Cheng S.-Y., Bassett J.H.D., Williams G.R.",00137227,"Endocrinology",146, 12,3,5,5,10,1,14
2004,"A tense case - Carney's triad","Bladen J.C., Moosajee M., Bassett J.H.D.",01410768,"Journal of the Royal Society of Medicine",97, 11,0,1,0,1,1,2
2003,"Mechanisms of thyroid hormone receptor-specific nuclear and extra nuclear actions","Bassett J.H.D., Harvey C.B., Williams G.R.",03037207,"Molecular and Cellular Endocrinology",213, 1,50,30,20,50,11,111
2003,"The molecular actions of thyroid hormone in bone","Bassett J.H.D., Williams G.R.",10432760,"Trends in Endocrinology and Metabolism",14, 8,25,14,21,35,3,63
2003,"Multiple endocrine neoplasia type 1 (MEN1) germline mutations in familial isolated primary hyperparathyroidism","Pannett A.A.J., Flinter F., Maidment C.G.H., Trembath R., Thakker R.V., Kennedy A.M., Turner J.J.O., Forbes S.A., Cavaco B.M., Bassett J.H.D., Cianferotti L., Harding B., Shine B.",03000664,"Clinical Endocrinology",58, 5,22,3,3,6,2,30
1999,"Novel DAX1 mutations in X-linked adrenal hypoplasia congenita and hypogonadotrophic hypogonadism","Bassett J.H.D., O'Halloran D.J., Williams G.R., Beardwell C.G., Shalet S.M., Thakker R.V.",03000664,"Clinical Endocrinology",50, 1,23,2,1,3,0,26
1999,"Studies of the murine homolog of the multiple endocrine neoplasia type 1 (MEN1) gene, men1","Bassett J.H.D., Rashbass P., Harding B., Forbes S.A., Pannett A.A.J., Thakker R.V.",08840431,"Journal of Bone and Mineral Research",14, 1,27,1,2,3,1,31
1998,"The search for the MEN1 gene","Lemmes I., Caldener A., Parente F., Quincey D., Courseaux A., Carle G.F., Gaudray P., De Wit M.J., Lips C.J.M., Hoppener J.W.M., Khodaei S., Van De Ven W.J.M., Grant A.L., Weber G., Teh B.T., Farnebo F., Kytola S., Grimmond S., Phelan C., Larsson C., Bassett J.H.D., Forbes S.A., Kas K., Pannett A.A.J., Thakker R.V., Zhang C.X., Giraud S., Wautot V., Buisson N., Pugeat M., Peix J.-L.",09546820,"Journal of Internal Medicine",243, 6,7,0,1,1,0,8
1998,"A putative human zinc-finger gene (ZFPL1) on 11q13, highly conserved in the mouse and expressed in exocrine pancreas. The European consortium on MEN 1","Hoppener J.W.M., Khodaei S., Weber G., Teh B., Farnebo F., Larsson C., Zhang C.X., Calender A., Pannett A.A.J., Forbes S.A., Bassett J.H.D., De Wit M.J., Thakker R.V., Lemmens I., Van De Ven W.J.M., Kas K., Simarro-Doorten A.Y., Roijers J.F.M., Van Herrewaarden H.M.C., Lips C.J.M., Parente F., Quincey D., Gaudray P.",08887543,"Genomics",50, 2,0,0,1,1,0,1
1998,"Characterization of mutations in patients with multiple endocrine neoplasia type 1","Bassett J.H.D., Monson J.P., Sampson J., Wass J.A.H., Wheeler M.H., Thakker R.V., Forbes S.A., Pannett A.A.J., Lloyd S.E., Christie P.T., Wooding C., Harding B., Besser G.M., Edwards C.R.",00029297,"American Journal of Human Genetics",62, 2,189,13,12,25,6,220
1997,"Linkage disequilibrium studies in multiple endocrine neoplasia type 1 (MEN1)","Bassett J.H.D., Leisti J., Salmela P., Weber G., Giraud S., Zhang C.X., Calender A., Hoppener J.W.M., Ploos van Amstel H.K., Lips C.J.M., Kas K., Pannett A.A.J., Van de Yen W.J.M., Gaudray P., Forbes S.A., Thakker R.V., McCarthy M., Read A.P., Teh B.T., Larsson C., Kytola S.",03406717,"Human Genetics",100, 5-6,12,0,1,1,0,13
1997,"Construction of a 1.2-Mb sequence-ready contig of chromosome 11q13 encompassing the multiple endocrine neoplasia type 1 (MEN1) gene","Lemmens I., Salandre J., Lenoir G., Calender A., Parente F., Quincey D., Courseaux A., Carle G.F., Gaudray P., De Wit M.J., Lips C.J.M., Merregaert J., Hoppener J.W.M., Khodaei S., Grant A.L., Weber G., Kytola S., Teh B.T., Farnebo F., Grimmond S., Phelan C., Larsson C., Van De Ven W.J.M., Forbes S.A., Bassett J.H.D., Pannett A.A.J., Thakker R.V., Koen K., Zhang C.X., Giraud S., Wautot V., Buisson N., De Witte K.",08887543,"Genomics",44, 1,18,0,0,0,1,19
1997,"Identification of the multiple endocrine neoplasia type 1 (MEN1) gene","Lemmens I., Lenoir G., Pugeat M., Calender A., Parente F., Quincey D., Gaudray P., De Wit M.J., Lips C.J.M., Hoppener J.W.M., Khodaei S., Van De Ven Wim J.M., Grant A.L., Weber G., Kytola S., Teh B.T., Farnebo F., Phelan C., Hayward N., Larsson C., Pannett A.A.J., Forbes S.A., Kas K., Bassett J.H.D., Thakker R.V., Zhang C.X., Giraud S., Wautot V., Buisson N., De Witte K., Salandre J.",09646906,"Human Molecular Genetics",6, 7,281,14,12,26,9,316
1997,"The European Consortium on MEN1. Mapping of the gene encoding the B56? subunit of protein phosphatase 2A (PPP2R5B) to a 0.5-Mb region of chromosome 11q13 and its exclusion as a candidate gene for multiple endocrine neoplasia type 1 (MEN1)","Forbes S.A., Gaudray P., Weber G., Larsson C., Zhang C.X., Calender A., Hoppener J.W.M., Lips C.J.M., Kas K., Pannett A.A.J., Bassett J.H.D., Harding B., Wooding C., Thakker R.V., Butler R., Ogilvie D., Anand R.",03406717,"Human Genetics",100, 3-4,1,0,0,0,0,1
1995,"Molecular genetics of disorders of calcium homeostasis","Bassett J.H.D., Thakker R.V.",0950351X,"Bailliere's Clinical Endocrinology and Metabolism",9, 3,10,0,0,0,1,11
1991,"Linear order of new and established DNA markers around the fragile site at Xq27.3","Hirst M.C., Boyd Y., Thomas N.S.T., Knight S.J.L., Warren S.T., Hors-Cayla M., Schmidt M., Sutherland G.R., Davies K.E., Roche A., Flint T.J., MacKinnon R.N., Bassett J.H.D., Nakahori Y., Watson J.E.V., Bell M.V., Patterson M.N.",08887543,"Genomics",10, 1,6,0,0,0,0,6
