1996,"Management of complex tibial plateau fractures with the Ilizarov external fixator","Morandi M.M., Pearse M.F.",08859698,"Techniques in Orthopaedics",11, 2,10,0,0,0,0,0,10
1995,"Severe fracture dislocations of the ankle joint: A management protocol","Pearse M.F.",10567437,"Journal of Orthopaedic Techniques",3, 3-4,1,0,0,0,0,0,1
1995,"Postoperative pyomyositis following total hip replacement - a case report","Madhavan P., Pearce N., Pearse M.F., Wilkinson P.J., Evans P.E.L.",00358835,"Journal of the Royal College of Surgeons of Edinburgh",40, 4,1,0,0,0,0,0,1
1994,"The Wagner technique for revision arthroplasty of the hip: A review of 24 cases","Wilkes R.A., Birch J., Pearse M.F., Lee M., Atkins R.M.",09519580,"Journal of Orthopaedic Rheumatology",7, 4,7,0,0,0,0,0,7
1994,"Osteonecrosis following low-dose, short-course corticosteroids","Solomon L., Pearse M.F.",09519580,"Journal of Orthopaedic Rheumatology",7, 4,1,0,0,0,0,0,1
1994,"Remodelling of the proximal femur following total hip arthroplasty","Pearse M.F., Karachalios T., Langkamer V.G., Atkins R.M., Solomon L.",09519580,"Journal of Orthopaedic Rheumatology",7, 1,1,0,0,0,0,0,1
1993,"Dislocation of the intact fibula with fracture of the medial malleolus","Karachalios T., Pearse M.F., Sarangi P., Atkins R.M.",0301620X,"Journal of Bone and Joint Surgery - Series B",75, 5,6,0,0,0,0,0,6
1992,"Care of elderly patients with a fractured neck of femur.","Pearse M., Woolf A.",00179132,"Health Trends",24, 4,4,0,0,0,0,0,4
1992,"The exeter bipolar prosthesis in the active elderly patient: The results at 7 years","Pearse M.F., Bande S., O'Dwyer K.J., Ling R.S.M.",03412695,"International Orthopaedics",16, 4,6,0,0,0,0,0,6
1992,"Themistocles Gluck: An unrecognised genius","Eynon-Lewis N.J., Ferry D., Pearse M.F.",09598146,"British Medical Journal",305, 6868,1,2,2,0,4,0,5
1992,"Monteggia equivalent injury in a very young patient","Karachalios T., Smith E.J., Pearse M.F.",00201383,"Injury",23, 6,1,0,0,0,0,0,1
1992,"Systemic distribution of wear debris after hip replacement. A cause for concern ?","Langkamer V.G., Case C.P., Heap P., Taylor A., Collins C., Pearse M., Solomon L.",0301620X,"Journal of Bone and Joint Surgery - Series B",74, 6,91,4,4,2,10,0,101
1992,"Inter-observer variability in grading osteoarthritis of the hip","Pearse M.F., Dennis A.L., Solomon L.",09519580,"Journal of Orthopaedic Rheumatology",5, 2,0,0,0,0,0,0,0
1992,"Hybrid hip arthroplasty: Five-year results","Pearse M.F., Langkamer V.G., Fiallos J.M., Smith E.J., Atkins R.M., Solomon L.",09519580,"Journal of Orthopaedic Rheumatology",5, 2,0,0,0,0,0,0,0
1992,"Susceptibility of normal and arthritic human articular cartilage to degradative stimuli","Ismaiel S., Atkins R.M., Pearse M.F., Dieppe P.A., Elson C.J.",02637103,"British Journal of Rheumatology",31, 6,23,0,0,0,0,0,23
1991,"Fracture of the body of the talus","Pearse M.F., Fowler J.L., Bracey D.J.",00201383,"Injury",22, 2,6,0,1,0,1,0,7
1989,"Prediction of the healing potential of closed adult tibial shaft fractures by bone scintigraphy.","Oni O.O., Graebe A., Pearse M., Gregg P.J.",0009921X,"Clinical Orthopaedics and Related Research",, 245,7,0,0,0,0,0,7
1988,"Preoperative lower limb venography in patients undergoing total hip arthroplasty","Chumas P., O'Doherty D.P., Pearse M., Magnussen P., Crozier A., Gregg P.J.",08835403,"Journal of Arthroplasty",3, 3,4,0,0,0,0,0,4
1987,"Salter type 2 fracture separation of the proximal epiphysis of the fibula","Brenkel I.J., Prosser A.J., Pearse M.",00201383,"Injury",18, 6,0,0,1,0,1,0,1
1986,"A 'cracking' complication of hemiarthroplasty of the hip","Brenkel I.J., Pearse M., Gregg P.J.",09598146,"British Medical Journal",293, 6562,1,0,1,0,1,0,2
1986,"Slipped capital femoral epiphysis: Continuing problem of late diagnosis","Brenkel I.J., Prosser A.J., Pearse M.",09598146,"British Medical Journal",293, 6541,3,0,1,0,1,0,4
