,"Author: Aggarwal, R.; Aggarwal, Rajesh K.",,,,,,,,,,,
2008,Systematic review of randomized controlled trials on the effectiveness of virtual reality training for laparoscopic surgery,"Gurusamy K., Aggarwal R., Palanivelu L., Davidson B.R.",71323,British Journal of Surgery,95,9,0,0,0,0,9,9
2008,Endovascular simulation-based training,"Aggarwal R., Cheshire N., Darzi A.",1479666X,Surgeon,6,4,0,0,0,0,0,0
2008,Validation of orthopaedic bench models for trauma surgery,"Leong J.J.H., Leff D.R., Das A., Aggarwal R., Reilly P., Atkinson H.D.E., Emery R.J., Darzi A.W.",0301620X,Journal of Bone and Joint Surgery - Series B,90,7,0,0,0,0,0,0
2008,Laparoscopic parastomal hernia repair: A description of the technique and initial results,"Zacharakis E., Hettige R., Purkayastha S., Aggarwal R., Athanasiou T., Darzi A., Ziprin P.",15533506,Surgical Innovation,15,2,0,0,0,0,0,0
2008,Laparoscopic Colorectal Surgical Training: A Curricular Approach,"Aggarwal R., Grantcharov T.",10431489,Seminars in Colon and Rectal Surgery,19,2,0,0,0,0,0,0
2008,Short-phase training on a virtual reality simulator improves technical performance in tele-robotic surgery,"Balasundaram I., Aggarwal R., Darzi A.",14785951,International Journal of Medical Robotics and Computer Assisted Surgery,4,2,0,0,0,0,1,1
2008,Experienced Endovascular Interventionalists Objectively Improve their Skills by Attending Carotid Artery Stent Training Courses,"Van Herzeele I., Aggarwal R., Neequaye S., Hamady M., Cleveland T., Darzi A., Cheshire N., Gaines P.",10785884,European Journal of Vascular and Endovascular Surgery,35,5,0,0,1,1,4,5
2008,Could variations in technical skills acquisition in surgery be explained by differences in cortical plasticity?,"Leff D.R., Leong J.J., Aggarwal R., Yang G.Z., Darzi A.",34932,Annals of surgery,247,3,0,0,2,2,0,2
2008,Laparoscopic skills suffer on the first shift of sequential night shifts: program directors beware and residents prepare.,"Leff D.R., Aggarwal R., Rana M., Nakhjavani B., Purkayastha S., Khullar V., Darzi A.W.",34932,Annals of surgery,247,3,0,0,1,1,4,5
2008,Training Opportunities and the Role of Virtual Reality Simulation in Acquisition of Basic Laparoscopic Skills,"Aggarwal R., Balasundaram I., Darzi A.",224804,Journal of Surgical Research,145,1,0,0,1,1,3,4
2008,"Toward feasible, valid, and reliable video-based assessments of technical surgical skills in the operating room","Aggarwal R., Grantcharov T., Moorthy K., Milland T., Darzi A.",34932,Annals of Surgery,247,2,0,0,0,0,5,5
2008,New technologies for the surgical curriculum,"Aggarwal R., Leong J., Leff D., Warren O., Yang G.-Z., Darzi A.",3642313,World Journal of Surgery,32,2,0,0,0,0,0,0
2008,Symposium on surgical simulation for training and certification,"Aggarwal R., Darzi A.",3642313,World Journal of Surgery,32,2,0,0,0,0,0,0
2008,Surgical management of morbid obesity,"Aggarwal R., Hodgson L., Rao C., Ashrafian H., Chow A., Zacharakis E., Athanasiou T., Darzi A., Johnston D.",17508460,British Journal of Hospital Medicine,69,2,0,0,0,0,0,0
2008,Re-stocking the resuscitation trolley: How good is compliance with checking procedures?,"Smith A., Kinross J., Aggarwal R., Toresen D., Vincent C.",13562622,Clinical Risk,14,1,0,0,0,0,0,0
2007,Functional vision with bilateral ReZoom and ReSTOR intraocular lenses 6 months after cataract surgery,"Chiam P.J.T., Chan J.H., Haider S.I., Karia N., Kasaby H., Aggarwal R.K.",8863350,Journal of Cataract and Refractive Surgery,33,12,0,0,8,8,6,14
2007,Proving the effectiveness of virtual reality simulation for training in laparoscopic surgery,"Aggarwal R., Ward J., Balasundaram I., Sains P., Athanasiou T., Darzi A.",34932,Annals of Surgery,246,5,0,0,9,9,15,24
2007,Virtual reality simulation objectively differentiates level of carotid stent experience in experienced interventionalists,"Van Herzeele I., Aggarwal R., Choong A., Brightwell R., Vermassen F.E., Cheshire N.J.",7415214,Journal of Vascular Surgery,46,5,0,0,5,5,5,10
2007,Endovascular skills training and assessment,"Neequaye S.K., Aggarwal R., Van Herzeele I., Darzi A., Cheshire N.J.",7415214,Journal of Vascular Surgery,46,5,0,1,1,2,4,6
2007,Laparoscopic surgery and corticoadrenalomas,"Nocca D., Millat B., Fabre P.R., Aggarwal R., Mathieu A., Blanc P.M., Deneve E., Salsano V., Figueira G., Sanders G., Domergue J.",9302794,Surgical Endoscopy and Other Interventional Techniques,21,8,0,0,2,2,1,3
2007,Competency-Based Training and Practice-What Does It Really Mean?,"Aggarwal R., Darzi A.",10727515,Journal of the American College of Surgeons,205,1,0,0,4,4,0,4
2007,Laparoscopic vertical banded gastroplasty: A multicenter prospective study of 200 procedures,"Nocca D., Tincani G., Pierredon M.A., Fabre J.M., Aggarwal R., Blanc P., Gallix B., Di Mauro G.L., Millat B., De Hons C.S.D., Deneve E., Rodier J.G.",9302794,Surgical Endoscopy and Other Interventional Techniques,21,6,0,0,2,2,4,6
2007,Mental training in surgical education: A randomized controlled trial [3],"Aggarwal R., Warren O., Darzi A.",34932,Annals of Surgery,245,6,0,0,1,1,0,1
2007,"An evaluation of the feasibility, validity, and reliability of laparoscopic skills assessment in the operating room","Aggarwal R., Grantcharov T., Moorthy K., Milland T., Papasavas P., Dosis A., Bello F., Darzi A.",34932,Annals of Surgery,245,6,0,0,4,4,2,6
2007,Identification of Skills Common to Renal and Iliac Endovascular Procedures Performed on a Virtual Reality Simulator,"Neequaye S.K., Aggarwal R., Brightwell R., Van Herzeele I., Darzi A., Cheshire N.J.W.",10785884,European Journal of Vascular and Endovascular Surgery,33,5,0,1,10,11,6,17
2007,Framework for Systematic Training and Assessment of Technical Skills,"Aggarwal R., Grantcharov T.P., Darzi A.",10727515,Journal of the American College of Surgeons,204,4,0,1,10,11,5,16
2007,Cellular and molecular determinants of altered Ca2+ handling in the failing rabbit heart: Primary defects in SR Ca2+ uptake and release mechanisms,"Armoundas A.A., Balke C.W., Rose J., Aggarwal R., Stuyvers B.D., O'Rourke B., Kass D.A., Marban E., Shorofsky S.R., Tomaselli G.F.",3636135,American Journal of Physiology - Heart and Circulatory Physiology,292,3,0,1,4,5,5,10
2007,Motion tracking systems for assessment of surgical skill [1],"Aggarwal R., Dosis A., Bello F., Darzi A.",9302794,Surgical Endoscopy and Other Interventional Techniques,21,2,0,2,1,3,0,3
2007,Letter to Editor: Virtual Reality Simulation Training can Improve Inexperienced Surgeons' Endovascular Skills,"Aggarwal R., Cheshire N.J.W.",10785884,European Journal of Vascular and Endovascular Surgery,33,2,0,0,0,0,0,0
2007,Skills acquisition for laparoscopic gastric bypass in the training laboratory: an innovative approach.,"Aggarwal R., Boza C., Hance J., Leong J., Lacy A., Darzi A.",9608923,Obesity surgery : the official journal of the American Society for Bariatric Surgery and of the Obesity Surgery Society of Australia and New Zealand,17,1,0,1,2,3,2,5
2006,Technical-skills training in the 21st century,"Aggarwal R., Darzi A.",284793,New England Journal of Medicine,355,25,0,6,11,17,9,26
2006,Robotic prostatectomy: The first UK experience,"Mayer E.K., Winkler M.H., Aggarwal R., Karim O., Ogden C., Hrouda D., Darzi A.W., Vale J.A.",14785951,International Journal of Medical Robotics and Computer Assisted Surgery,2,4,0,0,6,6,1,7
2006,Virtual reality simulation training can improve technical skills during laparoscopic salpingectomy for ectopic pregnancy,"Aggarwal R., Tully A., Grantcharov T., Larsen C.R., Miskry T., Farthing A., Darzi A.",14700328,BJOG: An International Journal of Obstetrics and Gynaecology,113,12,0,4,9,13,4,17
2006,Conceptual framework for laparoscopic VR simulators,"Lamata P., Gomez E.J., Bello F., Kneebone R.L., Aggarwal R., Lamata F.",2721716,IEEE Computer Graphics and Applications,26,6,0,1,1,2,1,3
2006,"Optical mapping of the frontal cortex during a surgical knot-tying task, a feasibility study","Leff D., Koh P.H., Aggarwal R., Leong J., Deligianni F., Elwell C., Delpy D.T., Darzi A., Yang G.-Z.",3029743,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),4091, ,1,1,4,5,0,6
2006,The human face of simulation: Patient-focused simulation training,"Kneebone R., Darzi A., Nestel D., Wetzel C., Black S., Jacklin R., Aggarwal R., Yadollahi F., Wolfe J., Vincent C.",10402446,Academic Medicine,81,10,0,6,7,13,7,20
2006,Medical student participation in surface anatomy classes,"Aggarwal R., Brough H., Ellis H.",8973806,Clinical Anatomy,19,7,0,0,1,1,0,1
2006,Objective assessment of gynecologic laparoscopic skills using the LapSimGyn virtual reality simulator,"Larsen C.R., Grantcharov T., Aggarwal R., Tully A., Sorensen J.L., Dalsgaard T., Ottesen B.",9302794,Surgical Endoscopy and Other Interventional Techniques,20,9,2,1,7,8,2,12
2006,ReSTOR intraocular lens implantation in cataract surgery: Quality of vision,"Chiam P.J.T., Chan J.H., Aggarwal R.K., Kasaby S.",8863350,Journal of Cataract and Refractive Surgery,32,9,0,10,27,37,10,47
2006,Technical skills examination for general surgical trainees,"Datta V., Bann S., Aggarwal R., Mandalia M., Hance J., Darzi A.",71323,British Journal of Surgery,93,9,0,0,5,5,1,6
2006,An evidence-based virtual reality training program for novice laparoscopic surgeons,"Aggarwal R., Grantcharov T.P., Eriksen J.R., Blirup D., Kristiansen V.B., Funch-Jensen P., Darzi A.",34932,Annals of Surgery,244,2,2,11,19,30,13,45
2006,Intensive follow-up after liver resection for colorectal liver metastases: Results of combined serial tumour marker estimations and computed tomography of the chest and abdomen - A prospective study,"Bhattacharjya S., Aggarwal R., Davidson B.R.",70920,British Journal of Cancer,95,1,1,0,5,5,2,8
2006,Virtual Reality Simulation Training can Improve Inexperienced Surgeons' Endovascular Skills,"Aggarwal R., Black S.A., Hance J.R., Darzi A., Cheshire N.J.W.",10785884,European Journal of Vascular and Endovascular Surgery,31,6,3,14,10,24,5,32
2006,Training junior operative residents in laparoscopic suturing skills is feasible and efficacious,"Aggarwal R., Hance J., Undre S., Ratnasothy J., Moorthy K., Chang A., Darzi A.",396060,Surgery,139,6,0,2,5,7,1,8
2006,Training in the operating theatre: Is it safe?,"Aggarwal R., Darzi A.",406376,Thorax,61,4,0,1,1,2,0,2
2006,Cardiac robotics: A review and St. Mary's experience,"Deeba S., Aggarwal R., Sains P., Martin S., Athanasiou T., Casula R., Darzi A.",14785951,International Journal of Medical Robotics and Computer Assisted Surgery,2,1,0,1,1,2,0,2
2006,A competency-based virtual reality training curriculum for the acquisition of laparoscopic psychomotor skill,"Aggarwal R., Grantcharov T., Moorthy K., Hance J., Darzi A.",29610,American Journal of Surgery,191,1,2,8,14,22,7,31
2006,Is collagen a good banding material for outlet control of vertical gastroplasty? Preliminary study in pigs,"Nocca D., Gagner M., Aggarwal R., Deneve E., Millat B., Pourquier D., Fabre J.-M.",9608923,Obesity Surgery,16,1,0,2,0,2,0,2
2005,Consensus guidelines for validation of virtual reality surgical simulators,"Carter F.J., Schijven M.P., Aggarwal R., Grantcharov T., Francis N.K., Hanna G.B., Jakimowicz J.J.",9302794,Surgical Endoscopy and Other Interventional Techniques,19,12,3,8,16,24,12,39
2005,Compression anastomoses revisited,"Aggarwal R., Darzi A.",10727515,Journal of the American College of Surgeons,201,6,1,2,4,6,1,8
2005,Organising a surgical skills centre,"Aggarwal R., Darzi A.",13645706,Minimally Invasive Therapy and Allied Technologies,14, 4-5,0,1,0,1,1,2
2005,Assessment of psychomotor skills acquisition during laparoscopic cholecystectomy courses,"Hance J., Aggarwal R., Moorthy K., Munz Y., Undre S., Darzi A.",29610,American Journal of Surgery,190,3,2,1,4,5,0,7
2005,Laparoscopic task recognition using Hidden Markov Models.,"Dosis A., Bello F., Gillies D., Undre S., Aggarwal R., Darzi A.",9269630,Studies in health technology and informatics,111, ,0,0,2,2,0,2
2005,Objective assessment of technical skills in cardiac surgery,"Hance J., Aggarwal R., Stanbridge R., Blauth C., Munz Y., Darzi A., Pepper J.",10107940,European Journal of Cardio-thoracic Surgery,28,1,0,3,2,5,1,6
2005,Training in laparoscopy - Which model to use?,"Aggarwal R., Darzi A.",2548860,Indian Journal of Gastroenterology,24,3,1,1,0,1,0,2
2005,Synchronized video and motion analysis for the assessment of procedures in the operating theater,"Dosis A., Aggarwal R., Bello F., Moorthy K., Munz Y., Gillies D., Darzi A.",40010,Archives of Surgery,140,3,2,6,4,10,3,15
2005,Skills training in telerobotic surgery.,"Hance J., Aggarwal R., Undre S., Darzi A.",1478596X,The international journal of medical robotics + computer assisted surgery : MRCAS,1,2,0,0,1,1,0,1
2005,The development of a surgical education program | Desarrollo de un programa de formación quirúrgica.,"Aggarwal R., Hance J., Darzi A.",0009739X,Cirugía española.,77,1,0,0,0,0,0,0
2004,Laparoscopic skills training and assessment,"Aggarwal R., Moorthy K., Darzi A.",71323,British Journal of Surgery,91,12,31,17,25,42,18,91
2004,Robot-assisted laparoscopic Heller cardiomyotomy: preliminary UK results,"Undre S., Moorthy K., Munz Y., Aggarwal R., Hance J., Rockall T., Darzi A.",2534886,Digestive Surgery,21, 5-6,0,2,1,3,0,3
2004,Surgical education and training in the new millennium,"Aggarwal R., Hance J., Darzi A.",9302794,Surgical Endoscopy and Other Interventional Techniques,18,10,9,6,7,13,1,23
2004,The simulated operating theatre: Comprehensive training for surgical teams,"Aggarwal R., Undre S., Moorthy K., Vincent C., Darzi A.",14753898,Quality and Safety in Health Care,13,1,14,15,12,27,6,47
2002,Long-term survival after permanent pacemaker implantation: Analysis of predictors for increased mortality,"Pyatt J.R., Somauroo J.D., Jackson M., Grayson A.D., Osula S., Aggarwal R.K., Charles R.G., Connelly D.T.",10995129,Europace,4,2,3,1,2,3,0,6
2001,Amiodarone induced hyperthyroidism [2] (multiple letters),"Sinha M.K., Kuriakose B., Aggarwal R.K.",325473,Postgraduate Medical Journal,77,907,1,0,0,0,0,1
2001,An unusual cause of progressive heart failure,"Sinha M.K., Lachmann H.J., Kuriakose B., Abdulla A.K., Aggarwal R.K.",1406736,Lancet,357,9267,4,0,0,0,0,4
2000,In vitro evaluation of c7E3-Fab (ReoPro(TM)) eluting polymer-coated coronary stents,"Baron J.H., Gershlick A.H., Hogrefe K., Armstrong J., Holt C.M., Aggarwal R.K., Azrin M., Ezekowitz M., De Bono D.P.",86363,Cardiovascular Research,46,3,11,1,3,4,0,15
2000,Type A dissection of the ascending thoracic aorta during percutaneous coronary intervention,"Sutton A.G.C., Aggarwal R.K., De Belder M.A.",10423931,Journal of Invasive Cardiology,12,3,7,1,3,4,0,11
1999,"Cellular mechanisms of altered contractility in the hypertrophied heart: Big hearts, big sparks","Shorofsky S.R., Balke C.W., Aggarwal R., Corretti M., Baffa J.M., Strum J.M., Al-Seikhan B.A., Kobayashi Y.M., Jones L.R., Wier W.G.",97330,Circulation Research,84,4,76,9,11,20,3,99
1998,In vitro development of the nonthrombogenic stent,"Aggarwal R.K., Ireland D.C., De Bono D.P., Gershlick A.H.",10611711,International Journal of Angiology,7,1,0,0,0,0,0,0
1997,Ca2+-dependent outward currents in myocytes from epicardial border zone of 5-day infarcted canine heart,Aggarwal R.,3636135,American Journal of Physiology - Heart and Circulatory Physiology,42,3,2,1,0,1,1,4
1997,Ca2+-dependent outward currents in myocytes from epicardial border zone of 5-day infarcted canine heart,"Aggarwal R., Pu J., Boyden P.A.",3636135,American Journal of Physiology - Heart and Circulatory Physiology,273,3,5,0,0,0,0,5
1997,Diagnosing and managing eyelid problems,Aggarwal R.,326518,Practitioner,241,1578,0,0,0,0,0,0
1997,Frequency dependent effects on Ca(i) transients and cell shortening in myocytes that survive in the infarcted heart,"Licata A., Aggarwal R., Robinson R.B., Boyden P.",86363,Cardiovascular Research,33,2,24,1,2,3,1,28
1996,Antithrombotic potential of polymer-coated stents eluting platelet glycoprotein IIb/IIIa receptor antibody,"Aggarwal R.K., Ireland D.C., Azrin M.A., Ezekowitz M.D., De Bono D.P., Gershlick A.H.",97322,Circulation,94,12,47,2,3,5,0,52
1996,Ocular perforation during peribulbar anaesthesia,"Gillow J.T., Aggarwal R.K., Kirkby G.R.",0950222X,Eye,10,5,16,2,1,3,0,19
1996,A survey of ocular perforation during ophthalmic local anaesthesia in the United Kingdom,"Gillow J.T., Aggarwal R.K., Kirkby G.R.",0950222X,Eye,10,5,20,1,1,2,1,23
1996,Stent thrombosis revisited,"Gershlick A.H., Aggarwal R.K.",0195668X,European Heart Journal,17,11,7,0,0,0,0,7
1996,Patient perceptions of cataract surgery pre-operatively.,"Beatty S., Aggarwal R.K., Giannakis I., Kulshrestha M.",0950222X,"Eye (London, England)",10, ,1,0,0,0,0,1
1996,Survival of rabbit limbal stem cell allografts,"Swift G.J., Aggarwal R.K., Davis G.J., Coster D.J., Williams K.A.",411337,Transplantation,62,5,23,1,0,1,1,25
1996,Myocardial infarction following sternal surgery,"Aggarwal R.K., Morrison W.L.",325473,Postgraduate Medical Journal,72,850,0,0,0,0,0,0
1996,Trends in pacemaker mode prescription 1984-1994: A single centre study of 3710 patients,"Aggarwal R.K., Ray S.G., Connelly D.T., Coulshed D.S., Charles R.G.",13556037,Heart,75,5,19,0,0,0,0,19
1996,Acute and early complications of permanent pacing: A prospective audit of 926 consecutive patients from a UK center,"Aggarwal R.K., Connelly D.T., Ray S.G., Charles R.G.",10611711,International Journal of Angiology,5,2,1,1,0,1,0,2
1996,Changing trends in pacemaker prescription in patients aged 80 and over: A single center audit of 962 patients,"Aggarwal R.K., Ray S.G., Connelly D.T., Charles R.G.",10611711,International Journal of Angiology,5,2,0,0,0,0,0,0
1996,Residual ocular astigmatism in myopic eyes,"Aggarwal R., Lowe T.J., Karas M.P., Donaldson L.A., Stevens J.D., Steele A.D.McG., Weale R.A., Silver J.H., Milliken A.B., Grigg C.V., Howell J.A., MacNaughton J.",1460404,Investigative Ophthalmology and Visual Science,37,3,0,0,0,0,0,0
1996,Altered pharmacologic responsiveness of reduced L-type calcium currents in myocytes surviving in the infarcted heart,"Aggarwal R., Boyden P.A.",10453873,Journal of Cardiovascular Electrophysiology,7,1,23,1,1,2,0,25
1995,Simultaneous bilateral cataract extraction in the UK,"Beatty S., Aggarwal R.K., David D.B., Guarro M., Jones H., Pearce J.L.",71161,British Journal of Ophthalmology,79,12,19,1,2,3,4,26
1995,Dual chamber pacemaker implantation has a higher early complication rate than single chamber pacing.,"Aggarwal R.K., Charles R.G.",1478389,PACE - Pacing and Clinical Electrophysiology,18,5,3,0,0,0,0,3
1995,Surgical management of ocular surface disorders using conjunctival and stem cell allografts,"Coster D.J., Aggarwal R.K., Williams K.A.",71161,British Journal of Ophthalmology,79,11,48,2,1,3,1,52
1995,Early complications of permanent pacemaker implantation: No difference between dual and single chamber systems,"Aggarwal R.K., Connelly D.T., Ray S.G., Ball J., Charles R.G.",70769,British Heart Journal,73,6,84,8,5,13,5,102
1995,Diminished Ca2+ and Ba2+ currents in myocytes surviving in the epicardial border zone of the 5-day infarcted canine heart,"Aggarwal R., Boyden P.A.",97330,Circulation Research,77,6,42,3,3,6,4,52
1995,Use of DNA polymorphisms and the polymerase chain reaction to examine the survival of a human limbal stem cell allograft,"Williams K.A., Brereton H.M., Aggarwal R., Sykes P.J., Turner D.R., Russ G.R., Coster D.J.",29394,American Journal of Ophthalmology,120,3,38,1,2,3,1,42
1995,Antibiotic prophylaxis in permanent pacemaker implantation [2],"Aggarwal R.K., Ramsdale D.R., Charles R.G.",70769,British Heart Journal,73,4,4,0,0,0,0,4
1995,Ocular injuries due to alkaline substances [19],"O'Driscoll A.M., Shah F., Aggarwal R.K., Chell P.S., Hope-Ross M.W., McDonnell P.J.",9598146,British Medical Journal,310,6984,0,0,0,0,0,0
1995,Clostridium perfringens keratitis after penetrating keratoplasty,"Badenoch P.R., Aggarwal R.K., Coster D.J.",8149763,Australian and New Zealand Journal of Ophthalmology,23,3,1,0,3,3,0,4
1994,Horner's syndrome and Fuchs' heterochromic uveitis [3],"Aggarwal R.K., Luck J., Coster D.J.",71161,British Journal of Ophthalmology,78,12,4,0,0,0,0,4
1994,"Driving, glaucoma, and the law","Potamitis T., Aggarwal R.K., Tsaloumas M., Rene C., McLaughlin J., O'Neill E.",9598146,British Medical Journal,309,6961,3,0,0,0,0,3
1994,General practitioners' awareness of different techniques of cataract surgery: Implications for quality of care,"Potamitis T., Fouladi M., Aggarwal R.K., Jones H.S., Fielder A.R.",9598146,British Medical Journal,308,6940,2,0,0,0,0,2
1994,Is measuring intraocular pressure necessary on the first post-operative day following uncomplicated cataract surgery?,"Chong N.H.V., Aggarwal R.K., Shah P., Murray P.I.",0950222X,Eye,8,1,3,0,0,0,0,3
1993,The role of nasolacrimal intubation in the management of childhood epiphora,"Aggarwal R.K., Misson G.P., Donaldson I., Willshaw H.E.",0950222X,Eye,7,6,16,3,1,4,2,22
1993,New materials for rectus muscle tendon extension in strabismus surgery,"Aggarwal R.K., Willshaw H.E., Townsend P.",0950222X,Eye,7,1,2,0,0,0,0,2
1993,Extensive visual loss with topical facial steroids,"Aggarwal R.K., Potamitis T., Chong N.H.V., Guarro M., Shah P., Kheterpal S.",0950222X,Eye,7,5,20,5,0,5,0,25
1992,Removal of scleral explant elements: A 10-year retrospective study,"Deutsch J., Aggarwal R.K., Eagling E.M.",0950222X,Eye,6,6,11,2,2,4,1,16
1992,Contrast sensitivity and glare in cataract using the Pelli-Robson chart,"Williamson T.H., Strong N.P., Sparrow J., Aggarwal R.K., Harrad R.",71161,British Journal of Ophthalmology,76,12,14,2,1,3,1,18
1992,Patient attitude to 'informed consent' in cataract surgery,"Guarro M., Aggarwal R.K., Misson G., Porter S., Pearce J.L.",9553681,European Journal of Implant and Refractive Surgery,4,3,0,0,0,0,0,0
1991,Effect of preload and heart rate manipulation on Doppler transmitral flow velocity pattern: search for load--independent parameters.,"Mohan J.C., Aggarwal R., Arora R., Khalilullah M.",194832,Indian Heart Journal,43,2,1,0,1,1,0,2
