,"Author: Wells, Dominic J.",,,,,,,,,,,
2008,"Codon and mRNA sequence optimization of microdystrophin transgenes improves expression and physiological outcome in dystrophic mdx mice following AAV2/8 gene transfer","Foster H., Sharp P.S., Athanasopoulos T., Trollet C., Graham I.R., Foster K., Wells D.J., Dickson G.",15250016,"Molecular Therapy",16, 11,0,0,0,0,1,1
2008,"Treatments for muscular dystrophy: Increased treatment options for Duchenne and related muscular dystropies","Wells D.J.",09697128,"Gene Therapy",15, 15,0,0,0,0,1,1
2008,"Genetic engineering in athletes.","Wells D.",14685833,"BMJ (Clinical research ed.)",337, ,0,0,0,0,0,0
2008,"Extracellular release of the atheroprotective heat shock protein 27 is mediated by estrogen and competitively inhibits acLDL binding to scavenger receptor-a","Rayner K., Chen Y.-X., McNulty M., Simard T., Zhao X., Wells D.J., De Belleroche J., O'Brien E.R.",00097330,"Circulation Research",103, 2,0,0,0,0,2,2
2008,"Genetic engineering in athletes","Wells D.",09598146,"BMJ",337, 7661,0,0,0,0,0,0
2008,"Gene doping: The hype and the reality","Wells D.J.",00071188,"British Journal of Pharmacology",154, 3,0,0,1,1,3,4
2008,"Gene delivery to dystrophic muscle.","Wells K.E., McMahon J., Foster H., Ferrer A., Wells D.J.",10643745,"Methods in molecular biology (Clifton, N.J.)",423, ,0,0,1,1,1,2
2008,"Protective effects of heat shock protein 27 in a model of ALS occur in the early stages of disease progression","Sharp P.S., Akbar M.T., Bouri S., Senda A., Joshi K., Chen H.-J., Latchman D.S., Wells D.J., de Belleroche J.",09699961,"Neurobiology of Disease",30, 1,0,0,4,4,7,11
2007,"Genetic treatments in muscular dystrophies","Muntoni F., Wells D.",13507540,"Current Opinion in Neurology",20, 5,0,2,9,11,2,13
2007,"Hsp27 overexpression in the R6/2 mouse model of Huntington's disease: Chronic neurodegeneration does not induce Hsp27 activation","Zourlidou A., Morimoto R.I., Bates G.P., Gidalevitz T., Kristiansen M., Landles C., Woodman B., Wells D.J., Latchman D.S., de Belleroche J., Tabrizi S.J.",09646906,"Human Molecular Genetics",16, 9,0,0,12,12,2,14
2006,"The human ClC-4 protein, a member of the CLC chloride channel/transporter family, is localized to the endoplasmic reticulum by its N-terminus","Okkenhaug H., Weylandt K.-H., Carmena D., Wells D.J., Higgins C.F., Sardini A.",08926638,"FASEB Journal",20, 13,0,0,1,1,1,2
2006,"The human ClC-4 protein, a member of the CLC chloride channel/transporter family, is localized to the endoplasmic reticulum by its N-terminus.","Okkenhaug H., Weylandt K.H., Carmena D., Wells D.J., Higgins C.F., Sardini A.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",20, 13,0,0,0,0,1,1
2006,"Erratum: Changes in burrowing and nesting behavior as early indicators of sickness in mice (Lab Animal (2006) 35, 9 (29-38))","Hawkins P., Felton L.M., Van Loo P., Maconochie M., Wells D.J., Dennison N., Hubrecht R., Jennings M.",00937355,"Lab Animal",35, 10,0,0,0,0,0,0
2006,"Report of the 2005 RSPCA/UFAW Rodent Welfare Group meeting","Hawkins P., Felton L.M., Van Loo P., MacOnochie M., Wells D.J., Dennison N., Hubrecht R., Jennings M.",00937355,"Lab Animal",35, 9,1,1,1,2,0,3
2006,"Role of a 5?-enhancer in the transcriptional regulation of the human endothelial cell protein C receptor gene","Mollica L.R., Crawley J.T.B., Liu K., Rance J.B., Cockerill P.N., Follows G.A., Landry J.-R., Wells D.J., Lane D.A.",00064971,"Blood",108, 4,0,6,3,9,1,10
2006,"Erratum to ""Heat shock protein 27 rescues motor neurons following nerve injury and preserves muscle function"" [Exp. Neurol. 198 (2006) 511-518] (DOI:10.1016/j.expneurol.2005.12.031)","Sharp P., Krishnan M., Pullar O., Navarrete R., Wells D., de Belleroche J.",00144886,"Experimental Neurology",200, 1,0,0,0,0,0,0
2006,"Characterization of the role of ?2 R531G mutation in AMP-activated protein kinase in cardiac hypertrophy and Wolff-Parkinson-White syndrome","Davies J.K., Watkins H., Carling D., Wells D.J., Liu K., Whitrow H.R., Daniel T.D., Grignani R., Lygate C.A., Schneider J.E., Noel G.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",290, 5,4,2,1,3,2,9
2006,"Therapeutic restoration of dystrophin expression in Duchenne muscular dystrophy","Wells D.J.",01424319,"Journal of Muscle Research and Cell Motility",27, 5-7,0,3,6,9,5,14
2006,"Heat shock protein 27 rescues motor neurons following nerve injury and preserves muscle function","Sharp P., Krishnan M., Pullar O., Navarrete R., Wells D., de Belleroche J.",00144886,"Experimental Neurology",198, 2,0,3,6,9,2,11
2006,"Assessing the welfare of genetically altered mice","Wells D.J., Jackson I.J., Lane N., Maconochie M., Mason G., Morton D.B., Raymond R., Robinson V., Smith J.A., Watt N., Playle L.C., Enser W.E.J., Flecknell P.A., Gardiner M.A., Holland J., Howard B.R., Hubrecht R., Humphreys K.R.",00236772,"Laboratory Animals",40, 2,1,1,1,2,2,5
2006,"Viral and non-viral methods for gene transfer into skeletal muscle","Wells D.J.",13676733,"Current Opinion in Drug Discovery and Development",9, 2,0,4,5,9,0,9
2005,"What do animal models have to tell us regarding Duchenne muscular dystrophy?","Wells K.E., Wells D.J.",11282460,"Acta Myologica",24, 3,2,1,1,2,1,5
2005,"Identification of a repressor in the first intron of the human ?2(I) collagen gene (COL1A2)","Antoniv T.T., Tanaka S., Sudan B., De Val S., Liu K., Wang L., Wells D.J., Bou-Gharios G., Ramirez F.",00219258,"Journal of Biological Chemistry",280, 42,1,2,4,6,2,9
2005,"Mutated fukutin-related protein (FKRP) localises as wild type in differentiated muscle cells","Dolatshad N.F., Brockington M., Torelli S., Skordis L., Wever U., Wells D.J., Muntoni F., Brown S.C.",00144827,"Experimental Cell Research",309, 2,0,6,2,8,0,8
2005,"An IL-7 fusion protein that shows increased thymopoietic ability","Henson S.M., Snelgrove R., Hussell T., Wells D.J., Aspinall R.",00221767,"Journal of Immunology",175, 6,3,3,3,6,1,10
2004,"Cooperativity between far upstream enhancer and proximal promoter elements of the human ?2(I) collagen (COL1A2) gene instructs tissue specificity in transgenic mice","Tanaka S., Antoniv T.T., Liu K., Wang L., Wells D.J., Ramirez F., Bou-Gharios G.",00219258,"Journal of Biological Chemistry",279, 53,6,2,1,3,1,10
2004,"Heat shock protein 27 protects the heart against myocardial infarction","Efthymiou C.A., Mocanu M.M., de Belleroche J., Wells D.J., Latchmann D.S., Yellon D.M.",03008428,"Basic Research in Cardiology",99, 6,11,8,11,19,6,36
2004,"Gene therapy progress and prospects: Electroporation and other physical methods","Wells D.J.",09697128,"Gene Therapy",11, 18,41,21,27,48,6,95
2004,"Opening the floodgates: Clinically applicable hydrodynamic delivery of plasmid DNA to skeletal muscle","Wells D.J.",15250016,"Molecular Therapy",10, 2,8,5,0,5,1,14
2004,"Electroporation for gene transfer to skeletal muscles: Current status","McMahon J.M., Wells D.J.",11738804,"BioDrugs",18, 3,22,11,7,18,2,42
2004,"Long-term expression of full-length human dystrophin in transgenic mdx mice expressing internally deleted human dystrophins","Ferrer A., Foster H., Wells K.E., Dickson G., Wells D.J.",09697128,"Gene Therapy",11, 11,14,2,3,5,1,20
2003,"Enhanced in vivo delivery of antisense oligonucleotides to restore dystrophin expression in adult mdx mouse muscle","Wells K.E., Fletcher S., Mann C.J., Wilton S.D., Wells D.J.",00145793,"FEBS Letters",552, 2-3,21,3,3,6,3,30
2003,"Refinement and reduction in production of genetically modified mice","Robinson V., Rosewell I., Wallace J., Wells D.J., Morton D.B., Anderson D., Carver J.F.A., Francis R.J., Hubrecht R., Jenkins E., Mathers K.E., Raymond R.",00236772,"Laboratory Animals",37, 1,16,3,0,3,3,22
2003,"Structure and Evolution of the Teleost Extraretinal Rod-Like Opsin (errlo) and Ocular Rod Opsin (rho) Genes: Is Teleost rho a Retrogene?","Bellingham J., Tarttelin E.E., Foster R.G., Wells D.J.",0022104X,"Journal of Experimental Zoology Part B: Molecular and Developmental Evolution",297, 1,7,0,1,1,2,10
2003,"The neuroprotective effects of heat shock protein 27 overexpression in transgenic animals against kainate-induced seizures and hippocampal cell death","Akbar M.T., De Belleroche J., Lundberg A.M.C., Liu K., Vidyadaran S., Wells K.E., Dolatshad H., Wynn S., Wells D.J., Latchman D.S.",00219258,"Journal of Biological Chemistry",278, 22,31,8,11,19,6,56
2003,"High-efficiency plasmid gene transfer into dystrophic muscle","Gollins H., McMahon J., Wells K.E., Wells D.J.",09697128,"Gene Therapy",10, 6,36,4,5,9,0,45
2003,"Expression of opsin genes early in ocular development of humans and mice","Tarttelin E.E., Bellingham J., Bibb L.C., Foster R.G., Hankins M.W., Gregory-Evans K., Gregory-Evans C.Y., Wells D.J., Lucas R.J.",00144835,"Experimental Eye Research",76, 3,13,2,1,3,1,17
2003,"In silico characterisation and chromosomal localisation of human RRH (peropsin) - Implications for opsin evolution","Bellingham J., Wells D.J., Foster R.G.",14712164,"BMC Genomics",4, ,0,1,0,1,0,1
2003,"In silico characterisation and chromosomal localisation of human RRH (peropsin)--implications for opsin evolution.","Bellingham J., Wells D.J., Foster R.G.",14712164,"BMC genomics [electronic resource]",4, 1,6,2,1,3,0,9
2003,"Relocalization of neuronal nitric oxide synthase (nNOS) as a marker for complete restoration of the dystrophin associated protein complex in skeletal muscle","Wells K.E., Torelli S., Lu Q., Brown S.C., Partridge T., Muntoni F., Wells D.J.",09608966,"Neuromuscular Disorders",13, 1,8,3,4,7,3,18
2002,"Zebrafish melanopsin: Isolation, tissue localisation and phylogenetic position","Bellingham J., Whitmore D., Philp A.R., Wells D.J., Foster R.G.",0169328X,"Molecular Brain Research",107, 2,27,5,3,8,2,37
2002,"Gene transfer studies in animals: What do they really tell us about the prospects for gene therapy in DMD?","Wells D.J., Wells K.E.",09608966,"Neuromuscular Disorders",12, ,17,2,1,3,0,20
2002,"Recombinant micro-genes and dystrophin viral vectors","Dickson G., Roberts M.L., Wells D.J., Fabb S.A.",09608966,"Neuromuscular Disorders",12, ,11,1,0,1,0,12
2002,"Stable micro-dystrophin gene transfer using an integrating adeno-retroviral hybrid vector ameliorates the dystrophic pathology in mdx mouse muscle","Roberts M.L., Dickson G., Wells D.J., Graham I.R., Fabb S.A., Hill V.J., Duisit G., Yuasa K., Takeda S., Cosset F.-L.",09646906,"Human Molecular Genetics",11, 15,11,1,1,2,0,13
2002,"Adeno-associated virus vector gene transfer and sarcolemmal expression of a 144 kDa micro-dystrophin effectively restores the dystrophin-associated protein complex and inhibits myofibre degeneration in nude/mdx mice","Fabb S.A., Wells D.J., Serpente P., Dickson G.",09646906,"Human Molecular Genetics",11, 7,34,7,7,14,1,49
2002,"Identification of the key regions within the mouse Pro-?2(I) collagen gene far-upstream enhancer","De Val S., Ponticos M., Antoniv T.T., Wells D.J., Abraham D., Partridge T., Bou-Gharios G.",00219258,"Journal of Biological Chemistry",277, 11,10,1,0,1,0,11
2001,"Heat shock protein 27 shows a distinctive widespread spatial and temporal pattern of induction in CNS glial and neuronal cells compared to heat shock protein 70 and caspase 3 following kainate administration","Akbar M.T., Wells D.J., Latchman D.S., De Belleroche J.",0169328X,"Molecular Brain Research",93, 2,25,2,4,6,3,34
2001,"Optimisation of electrotransfer of plasmid into skeletal muscle by pretreatment with hyaluronidase - Increased expression with reduced muscle damage","McMahon J.M., Signori E., Wells K.E., Fazio V.M., Wells D.J.",09697128,"Gene Therapy",8, 16,61,16,18,34,5,100
2001,"Characterization of an Evolutionarily Conserved Far-upstream Enhancer in the Human ?2(I) Collagen (COL1A2) Gene","Antoniv T.T., De Val S., Wells D., Denton C.P., Rabe C., De Crombrugghe B., Ramirez F., Bou-Gharios G.",00219258,"Journal of Biological Chemistry",276, 24,19,5,2,7,0,26
2001,"Cold exposure increases running V?o2 max and cost of transport in goats","Schaeffer P.J., Hokanson J.F., Wells D.J., Lindstedt S.L.",03636119,"American Journal of Physiology - Regulatory Integrative and Comparative Physiology",280, 1,3,0,1,1,0,4
2000,"Independent regulation of the myotonic dystrophy 1 locus genes postnatally and during adult skeletal muscle regeneration","Eriksson M., Ansved T., Edstrom L., Wells D.J., Watt D.J., Anvret M., Carey N.",00219258,"Journal of Biological Chemistry",275, 26,8,0,1,1,0,9
2000,"Ectopic expression of NCAM in skeletal muscle of transgenic mice results in terminal sprouting at the neuromuscular junction and altered structure but not function","Walsh F.S., Hobbs C., Wells D.J., Slater C.R., Fazeli S.",10447431,"Molecular and Cellular Neurosciences",15, 3,18,5,3,8,1,27
2000,"Immune responses to dystrophin: Implications for gene therapy of Duchenne muscular dystrophy","Ferrer A., Wells K.E., Wells D.J.",09697128,"Gene Therapy",7, 17,45,1,3,4,1,50
1999,"Intramuscular gene transfer of interleukin-10 cDNA: Towards treatment for lung inflammation","Judd D.V., Griesenbach U., Wells D.J., Geddes D.M., Alton E.W.F.W.",00406376,"Thorax",54, 3,1,0,0,0,0,1
1999,"Enhanced expression of recombinant dystrophin following intramuscular injection of Epstein-Barr virus (EBV)-based mini-chromosome vectors in mdx mice","Tsukamoto H., Wells D.J., Brown S.C., Serpente P., Strong P.N., Drew J., Inui K., Okada S., Dickson J.G.",09697128,"Gene Therapy",6, 7,25,1,0,1,0,26
1999,"Differential expression and secretion of alpha 1 anti-trypsin between direct DNA injection and implantation of transfected myoblast","Bou-Gharios G., Wells D.J., Lu Q.L., Morgan J.E., Partridge T.",09697128,"Gene Therapy",6, 6,8,0,1,1,0,9
1998,"Insertion of two independent enhancers in the long terminal repeat of a self-inactivating vector results in high-titer retroviral vectors with tissue-specific expression","Fassati A., Bardoni A., Sironi M., Wells D.J., Bresolin N., Scarlato G., Hatanaka M., Yamaoka S., Dickson G.",10430342,"Human Gene Therapy",9, 17,6,0,0,0,0,6
1998,"Inflammatory responses following direct injection of plasmid DNA into skeletal muscle","McMahon J.M., Wells K.E., Bamfo J.E., Cartwright M.A., Wells D.J.",09697128,"Gene Therapy",5, 9,55,8,4,12,2,69
1998,"Evaluation of plasmid DNA for in vivo gene therapy: Factors affecting the number of transfected fibers","Wells D.J., Maule J., Mcmahon J., Mitchell R., Damien E., Poole A., Wells K.E.",00223549,"Journal of Pharmaceutical Sciences",87, 6,17,1,1,2,0,19
1997,"Genetic correction of dystrophin deficiency and skeletal muscle remodeling in adult MDX mouse via transplantation of retroviral producer cells","Fassati A., Wells D.J., Serpente P.A.S., Walsh F.S., Brown S.C., Strong P.N., Dickson G.",00219738,"Journal of Clinical Investigation",100, 3,23,0,1,1,0,24
1997,"Characterisation of expression of mDMAHP, a homeodomain-encoding gene at the murine DM locus","Heath S.K., Carne S., Hoyle C., Johnson K.J., Wells D.J.",09646906,"Human Molecular Genetics",6, 5,31,0,0,0,0,31
1997,"Immune responses, not promoter inactivation, are responsible for decreased long-term expression following plasmid gene transfer into skeletal muscle","Wells K.E., Maule J., Kingston R., Foster K., McMahon J., Damien E., Poole A., Wells D.J.",00145793,"FEBS Letters",407, 2,32,4,1,5,1,38
1996,"A 3.7kb fragment from the myotonic dystrophy protein kinase promoter directs neural-specific expression in vivo","King S.K., Wells D.J., Wells K.E., Carey N., Johnson K.J.",03005127,"Biochemical Society Transactions",24, 2,1,0,0,0,0,1
1996,"Adenoviral vectors for gene transfer of full-length human dystrophen cDNAs","Murphy S., Turner G., Piper T., Roberts B., Wadworth S., Smith A.E., Wells D.J., Dickson G.",03005127,"Biochemical Society Transactions",24, 2,1,0,0,0,0,1
1996,"Correction of the dystrophic phenotype by germ-line gene therapy with recombinant dystrophin cDNAs in max mice","Wells D.J., Dickson G., Wells K.E.",03005127,"Biochemical Society Transactions",24, 2,0,0,0,0,0,0
1996,"Altered secondary myogenesis in transgenic animals expressing the neural cell adhesion molecule under the control of a skeletal muscle ?-actin promoter","Fazeli S., Wells D.J., Hobbs C., Walsh F.S.",00219525,"Journal of Cell Biology",135, 1,17,3,1,4,1,22
1996,"Retroviral-mediated gene transfer into murine and human skeletal muscle for the correction of dystrophin deficiency","Fassati A., Serpente P., Wells D.J., Walsh F.S., Dickson G.",03005127,"Biochemical Society Transactions",24, 2,6,0,0,0,0,6
1996,"Transplantation of retroviral producer cells for in vivo gene transfer into mouse skeletal muscle","Fassati A., Wells D.J., Walsh F.S., Dickson G.",10430342,"Human Gene Therapy",7, 5,18,0,0,0,0,18
1995,"Expression of human full-length and minidystrophin in transgenic mdx mice: Implications for gene therapy of Duchenne muscular dystrophy","Wells D.J., Wells K.E., Asante E.A., Turner G., Sunada Y., Campbell K.P., Walsh F.S., Dickson G.",09646906,"Human Molecular Genetics",4, 8,77,4,6,10,1,88
1995,"Efficiency of in vivo gene transfer using murine retroviral vectors is strain-dependent in mice","Fassati A., Wells D.J., Walsh F.S., Dickson G.",10430342,"Human Gene Therapy",6, 9,27,0,0,0,0,27
1994,"Beyond the vertebrates: achieving maximum power during flight in insects and hummingbirds.","Wells D.J., Ellington C.P.",00653519,"Advances in veterinary science and comparative medicine",38, ,4,1,0,1,0,5
1994,"Analysis of a 70 kb segment of DNA containing the human ? and ?-globin genes linked to their regulatory element (HS-40) in transgenic mice","Gourdon G., Sharpe J.A., Wells D., Wood W.G., Higgs D.R.",03051048,"Nucleic Acids Research",22, 20,30,2,2,4,0,34
1994,"Age-related changes in collagen gene expression in the muscles of mdx dystrophic and normal mice","Goldspink G., Fernandes K., Williams P.E., Wells D.J.",09608966,"Neuromuscular Disorders",4, 3,22,4,6,10,1,33
1994,"Independent localization of dystrophin N- and C-terminal regions to the sarcolemma of mdx mouse myofibres in vivo","Dunckley M.G., Wells K.E., Piper T.A., Wells D.J., Dickson G.",00219533,"Journal of Cell Science",107, 6,5,0,0,0,0,5
1993,"Direct retroviral-mediated transfer of a dystrophin minigene into mdx mouse muscle in vivo","Dunckley M.G., Wells D.J., Walsh F.S., Dickson G.",09646906,"Human Molecular Genetics",2, 6,80,1,1,2,1,83
1993,"Improved gene transfer by direct plasmid injection associated with regeneration in mouse skeletal muscle","Wells D.J.",00145793,"FEBS Letters",332, 1-2,86,2,2,4,2,92
1992,"Human dystrophin expression corrects the myopathic phenotype in transgenic mdx mice","Wells D.J., Dickson G., Wells K.E., Walsh F.S., Davies K.E., Goldspink G., Love D.R., Chan-Thomas P., Dunckley M.G., Piper T.",09646906,"Human Molecular Genetics",1, 1,23,0,2,2,0,25
1992,"Gene expression in skeletal muscle in response to stretch and force generation","Goldspink G., Scutt A., Loughna P.T., Wells D.J., Jaenicke T., Gerlach G.F.",00029513,"American Journal of Physiology - Regulatory Integrative and Comparative Physiology",262, 3,112,4,5,9,5,126
1992,"Age and sex influence expression of plasmid DNA directly injected into mouse skeletal muscle","Wells D.J., Goldspink G.",00145793,"FEBS Letters",306, 2-3,42,1,2,3,1,46
1988,"Limitations to aerobic performance in mammals: interaction of structure and demand","Lindstedt S.L., Wells D.J., Jones J.H., Hoppeler H., Tronson Jr. H.A.",01724622,"International Journal of Sports Medicine",9, 3,18,0,1,1,0,19
1988,"Skeletal muscle mitochondria: the aerobic gate?","Lindstedt S.L., Wells D.J.",00652598,"Advances in Experimental Medicine and Biology",227, ,2,0,0,0,0,2
1981,"Specific binding of nerve growth factor to normal and denervated canine heart","Wells D.J., Strehlo B.L., Kaye M.P.",03636143,"American Journal of Physiology - Cell Physiology",10, 3,0,0,0,0,0,0
1981,"Specific binding of nerve growth factor to normal and denervated canine heart.","Wells D.J., Strehlo B.L., Kaye M.P.",00029513,"The American journal of physiology",241, 5,0,0,0,0,0,0
1980,"Binding of 125I-labeled nerve growth factor to the canine heart","Wells D.J., Strehlo B.L., Kaye M.P.",00149446,"Federation Proceedings",39, 3,0,0,0,0,0,0
1979,"?-Amanitin and 5-fluorouridine inhibition of serum-stimulated DNA synthesis in quiescent AKR-2B mouse embryo cells","Wells D.J., Stoddard L.S., Getz M.J., Moses H.L.",00219541,"Journal of Cellular Physiology",100, 2,1,0,0,0,1,2
1979,"Comparison of RNA metabolism in G1-arrested and stimulated nontransformed and chemically transformed mouse embryo cells in culture","Moses H.L., Wells D.J., Swartzendruber D.E., Getz M.J.",00085472,"Cancer Research",39, 11,1,0,0,0,0,1
1979,"Nerve growth factor-enhanced reinnervation of surgically denervated canine heart.","Kaye M.P., Wells D.J., Tyce G.M.",00029513,"The American journal of physiology",236, 4,1,0,0,0,1,2
1979,"Nerve growth factor-enhanced reinnervation of surgically denervated canine heart","Kaye M.P., Wells D.J., Tyce G.M.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",5, 4,3,0,0,0,0,3
1978,"Reinnervation of the denervated canine heart enhanced by nerve growth factor","Kaye M.P., Wells D.J., Tyce G.M.",00319376,"Physiologist",21, 4,0,0,0,0,0,0
1977,"Control of proliferation in chemically transformed and non-transformed mouse embryo cells in culture","Moses H.L., Wells D.J., Volkenant M.E., Getz M.J.",00219525,"Journal of Cell Biology",75, 2,0,0,0,0,0,0
1977,"Nuclear RNA polymerase activities and poly(A)-containing mRNA accumulation in cultured AKR mouse embryo cells stimulated to proliferate","Benz Jr. E.W., Getz M.J., Wells D.J., Moses H.L.",00144827,"Experimental Cell Research",108, 1,18,0,0,0,0,18
