1999,"Relation between proton magnetic resonance spectroscopy within 18 hours of birth asphyxia and neurodevelopment at 1 year of age","Hanrahan J.D., Cox I.J., Azzopardi D., Cowan F.M., Sargentoni J., Bell J.D., Bryant D.J., Edwards A.D.",00121622,"Developmental Medicine and Child Neurology",41, 2,39,2,5,7,1,47
1999,"Early prognostic indicators of outcome in infants with neonatal cerebral infarction: A clinical, electroencephalogram, and magnetic resonance imaging study","Mercuri E., Rutherford M., Cowan F., Pennock J., Counsell S., Papadimitriou M., Azzopardi D., Bydder G., Dubowitz L.",00314005,"Pediatrics",103, 1,91,7,13,20,11,122
1998,"Physiological stability of preterm infants during magnetic resonance imaging","Battin M., Maalouf E.F., Counsell S., Herlihy A., Hall A., Azzopardi D., Edwards A.D.",03783782,"Early Human Development",52, 2,14,2,0,2,2,18
1998,"Persistent increases in cerebral lactate concentration after birth asphyxia","Hanrahan J.D., Cox I.J., Edwards A.D., Cowan F.M., Sargentoni J., Bell J.D., Bryant D.J., Rutherford M.A., Azzopardi D.",00313998,"Pediatric Research",44, 3,33,1,4,5,2,40
1998,"Magnetic resonance imaging of the brain in very preterm infants: Visualization of the germinal matrix, early myelination, and cortical folding","Battin M.R., Maalouf E.F., Counsell S.J., Herlihy A.H., Rutherford M.A., Azzopardi D., Edwards A.D.",00314005,"Pediatrics",101, 6,55,2,5,7,5,67
1998,"Neonatal cranial ultrasonographic findings in preterm twins complicated by severe fetofetal transfusion syndrome","Denbow M.L., Battin M.R., Cowan F., Azzopardi D., Edwards A.D., Fisk N.M.",00029378,"American Journal of Obstetrics and Gynecology",178, 3,52,2,6,8,5,65
1998,"Hypothermic neural rescue treatment: From laboratory to cotside?","Edwards A.D., Azzopardi D.",00039888,"Archives of Disease in Childhood: Fetal and Neonatal Edition",78, 2,5,0,0,0,0,5
1998,"Magnetic resonance imaging of the brain in preterm infants born between 24 and 32 weeks gestational age","Battin M., Maalouf E., Rutherford M., Counsell S., Herlihy A., Azzopardi D., Edwards A.D.",03783782,"Early Human Development",51, 1,0,0,0,0,0,0
1998,"Persistent lactate following perinatal hypoxic-ischaemic encephalopathy and its relationship to energy failure studied by magnetic resonance spectroscopy","Robertson N.J., Coxb I.J., Counsell S.J., Cowan F.C., Azzopardi D., Edwards A.D.",03783782,"Early Human Development",51, 1,4,0,0,0,0,4
1998,"Measurement of cerebral blood flow in newborn infants using near infrared spectroscopy with indocyanine green","Patel J., Marks K., Roberts I., Azzopardi D., Edwards A.D.",00313998,"Pediatric Research",43, 1,28,4,3,7,3,38
1997,"Apoptosis in the brains of infants suffering intrauterine cerebral injury","Edwards A.D., Yue X., Cox P., Hope P.L., Azzopardi D.V., Squier M.V., Mehmet H.",00313998,"Pediatric Research",42, 5,60,4,1,5,3,68
1997,"Prevention of acquired neurological impairment in the perinatal period","Edwards A.D., Patel J., Azzopardi D.",00223050,"Journal of Neurology Neurosurgery and Psychiatry",63, 1,0,0,0,0,0,0
1997,"Petri nets and OMT for modelling and analysis of DEDS","Azzopardi D., Holding D.J.",09670661,"Control Engineering Practice",5, 10,4,0,1,1,0,5
1997,"Noninvasive characterization of neonatal adipose tissue by 13C magnetic resonance spectroscopy","Thomas E.L., Hanrahan J.D., Ala-Korpela M., Jenkinson G., Azzopardi D., Iles R.A., Bell J.D.",00244201,"Lipids",32, 6,6,0,0,0,0,6
1996,"Cerebral metabolism within 18 hours of birth asphyxia: A proton magnetic resonance spectroscopy study","Hanrahan J.D., Edwards A.D., Sargentoni J., Azzopardi D., Manji K., Cowan F.M., Rutherford M.A., Cox I.J., Bell J.D., Bryant D.J.",00313998,"Pediatric Research",39, 4 I,54,4,5,9,4,67
1995,"Ibuprofen treatment of patent ductus arteriosus [14]","Patel J., Marks K.A., Roberts I., Azzopardi D., Edwards A.D.",01406736,"Lancet",346, 8969,27,3,3,6,3,36
1995,"Magnetic resonance spectroscopy in neonates","Azzopardi D., Edwards D.",13507540,"Current Opinion in Neurology",8, 2,8,0,0,0,0,8
1994,"Scheduling and simulation of multi-product batch process plant through Petri net modelling","Azzopardi D., Lloyd S.",05379989,"IEE Conference Publication",, 398,0,0,0,0,0,0
1994,"Compliance with recommendations for giving vitamin K to newborn infants","Croucher C., Azzopardi D.",09598146,"British Medical Journal",308, 6933,18,1,0,1,0,19
1992,"Relation between cerebral oxidative metabolism following birth asphyxia and neurodevelopmental outcome and brain growth at one year","Roth S.C., Reynolds E.O.R., Edwards A.D., Cady E.B., Delpy D.T., Wyatt J.S., Azzopardi D., Baudin J., Townsend J., Stewart A.L.",00121622,"Developmental Medicine and Child Neurology",34, 4,97,3,0,3,1,101
1990,"Virilisation of female preterm infants","Midgley P.C., Azzopardi D., Oates N., Shaw J.C.L., Honour J.W.",00039888,"Archives of Disease in Childhood",65, 7,1,0,0,0,0,1
1989,"Absolute quantitation of neonatal brain spectra acquired with surface coil localization.","Cady E.B., Azzopardi D.",09523480,"NMR in biomedicine",2, 5-6,4,1,0,1,0,5
1989,"Magnetic resonance and near infrared spectroscopy for investigation of perinatal hypoxic-ischaemic brain injury","Wyatt J.S., Edwards A.D., Azzopardi D., Reynolds E.O.R.",00039888,"Archives of Disease in Childhood",64, 7,65,1,2,3,2,70
1989,"Phosphorus metabolites and intracellular pH in the brains of normal and small for gestational age infants investigated by magnetic resonance spectroscopy","Azzopardi D., Wyatt J.S., Hamilton P.A., Cady E.B., Delpy D.T., Hope P.L., Reynolds E.O.R.",00313998,"Pediatric Research",25, 5,27,0,0,0,0,27
1989,"Prognosis of newborn infants with hypoxic-ischemic brain injury assessed by phosphorus magnetic resonance spectroscopy","Azzopardi D., Wyatt J.S., Cady E.B., Delpy D.T., Baudin J., Stewart A.L., Hope P.L., Hamilton P.A., Reynolds E.O.R.",00313998,"Pediatric Research",25, 5,123,7,5,12,3,138
1988,"New non-invasive methods for assessing brain oxygenation and haemodynamics","Reynolds E.O.R., Wyatt J.S., Azzopardi D., Delpy D.T., Cady E.B., Cope M., Wray S.",00071420,"British Medical Bulletin",44, 4,33,2,2,4,0,37
