,"Author: Dumas, Marc Emmanuel",,,,,,,,,,,
2007,"Transcriptional effect of an Aframomum angustifolium seed extract on human cutaneous cells using low-density DNA chips","Bonnet-Duquennoy M., Bonte F., Kurfurst R., Dumas M., Debacker A., Lazou K., Talbourdet S., Franchi J., Heusele C., Andre P., Schnebert S.",14732130,"Journal of Cosmetic Dermatology",6, 2,0,0,0,0,0,0
2007,"Hydrating skin by stimulating biosynthesis of aquaporins.","Dumas M., Bonte F., Sadick N.S., Noblesse E., Juan M., Lachmann-Weber N., Boury-Jamot M., Sougrat R., Verbavatz J.M., Schnebert S.",15459616,"Journal of drugs in dermatology : JDD",6, 6,0,0,2,2,2,4
2007,"A top-down systems biology view of microbiome-mammalian metabolic interactions in a mouse model","Martin F.-P.J., Lindon J.C., Sprenger N., Fay L.B., Kochhar S., Van Bladeren P., Holmes E., Nicholson J.K., Dumas M.-E., Wang Y., Legido-Quigley C., Yap I.K.S., Tang H., Zirah S., Murphy G.M., Cloarec O.",17444292,"Molecular Systems Biology",3, ,0,6,28,34,19,53
2007,"Direct quantitative trait locus mapping of mammalian metabolic phenotypes in diabetic and normoglycemic rat models","Dumas M.-E., Keun H.C., Baunsgaard D., Scott J., Sidelmann U.G., Nicholson J.K., Gauguier D., Wilder S.P., Bihoreau M.-T., Barton R.H., Fearnside J.F., Argoud K., D'Amato L., Wallis R.H., Blancher C.",10614036,"Nature Genetics",39, 5,0,4,16,20,9,29
2006,"Transgenomic metabolic interactions in a mouse disease model: Interactions of Trichinella spiralis infection with dietary Lactobacillus paracasei supplementation","Martin F.-P.J., Holmes E., Lindon J.C., Collins S.M., Nicholson J.K., Verdu E.F., Wang Y., Dumas M.-E., Yap I.K.S., Cloarec O., Bergonzelli G.E., Corthesy-Theulaz I., Kochhar S.",15353893,"Journal of Proteome Research",5, 9,2,5,9,14,10,26
2006,"Metabolic profiling reveals a contribution of gut microbiota to fatty liver phenotype in insulin-resistant mice","Dumas M.-E., Lindon J.C., Mitchell S.C., Holmes E., McCarthy M.I., Scott J., Gauguier D., Nicholson J.K., Barton R.H., Toye A., Cloarec O., Blancher C., Rothwell A., Fearnside J., Tatoud R., Blanc V.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",103, 33,2,25,34,59,20,81
2006,"Assessment of analytical reproducibility of 1H NMR spectroscopy based metabonomics for large-scale epidemiological research: The INTERMAP study","Dumas M.-E., Chan Q., Holmes E., Maibaum E.C., Teague C., Ueshima H., Zhou B., Lindon J.C., Nicholson J.K., Stamler J., Elliott P.",00032700,"Analytical Chemistry",78, 7,3,23,18,41,13,57
2005,"Selection of biomarkers by a multivariate statistical processing of composite metabonomic data sets using multiple factor analysis","Dumas M.-E., Canlet C., Debrauwer L., Martin P., Paris A.",15353893,"Journal of Proteome Research",4, 5,1,3,2,5,0,6
2005,"Homeostatic signature of anabolic steroids in cattle using 1H-13C HMBC NMR metabonomics","Dumas M.-E., Canlet C., Vercauteren J., Andre F., Paris A.",15353893,"Journal of Proteome Research",4, 5,1,5,2,7,4,12
2005,"Biological signature of doping: A future for detection | Signature biologique du dopage: Un avenir pour la détection?","Paris A., Dumas M.E., Vercauteren J., Andre F., Canlet C., Gottardi G.",07651597,"Science and Sports",20, 4,0,1,1,2,0,2
2005,"Statistical total correlation spectroscopy: An exploratory approach for latent biomarker identification from metabolic 1H NMR data sets","Cloarec O., Holmes E., Nicholson J., Dumas M.-E., Craig A., Barton R.H., Trygg J., Hudson J., Blancher C., Gauguier D., Lindon J.C.",00032700,"Analytical Chemistry",77, 5,25,36,40,76,25,126
2005,"Hydrogen peroxide-induced cell death in normal human keratinocytes is differentiation dependent","Zuliani T., Denis V., Noblesse E., Schnebert S., Andre P., Dumas M., Ratinaud M.-H.",08915849,"Free Radical Biology and Medicine",38, 3,5,4,5,9,2,16
2005,"Evaluation of the orthogonal projection on latent structure model limitations caused by chemical shift variability and improved visualization of biomarker changes in 1H NMR spectroscopic metabonomic studies","Cloarec O., Dumas M.E., Trygg J., Craig A., Barton R.H., Lindon J.C., Nicholson J.K., Holmes E.",00032700,"Analytical Chemistry",77, 2,27,33,29,62,14,103
2004,"Multiple parasite infections and their relationship to self-reported morbidity in a community of rural Côte d'Ivoire","Raso G., Holmes E., Singer B.H., Tanner M., N'Goran E.K., Utrzinger J., Luginbuhl A., Adjoua C.A., Tian-Bi N.T., Silue K.D., Matthys B., Vounatsou P., Wang Y., Dumas M.-E.",03005771,"International Journal of Epidemiology",33, 5,18,8,6,14,8,40
2003,"Expression and Function of Neurotrophins and Their Receptors in Cultured Human Keratinocytes","Marconi A., Pincelli C., Terracina M., Fila C., Franchi J., Bonte F., Romagnoli G., Maurelli R., Failla C.M., Dumas M.",0022202X,"Journal of Investigative Dermatology",121, 6,8,3,2,5,4,17
2003,"Sensitive and Reliable JC-1 and TOTO-3 Double Staining to Assess Mitochondrial Transmembrane Potential and Plasma Membrane Integrity: Interest for Cell Death Investigations","Zuliani T., Duval R., Jayat C., Schnebert S., Andre P., Dumas M., Ratinaud M.-H.",15524922,"Cytometry Part A",54, 2,9,3,4,7,1,17
2002,"Effect of an Ajuga turkestanica extract on aquaporin 3 expression, water flux, differentiation and barrier parameters of the human epidermis","Dumas M., Gondran C., Barre P., Sougrat R., Verbavatz J.M., Heusele C., Schnebert S., Bonte F.",11671122,"European Journal of Dermatology",12, 6,0,1,2,3,1,4
2002,"Analyzing the physiological signature of anabolic steroids in cattle urine using pyrolysis/metastable atom bombardment mass spectrometry and pattern recognition","Dumas M.-E., Debrauwer L., Beyet L., Lesage D., Andre F., Paris A., Tabet J.-C.",00032700,"Analytical Chemistry",74, 20,8,0,3,3,1,12
2002,"Metabonomic assessment of physiological disruptions using 1H-13C HMBC-NMR spectroscopy combined with pattern recognition procedures performed on filtered variables","Dumas M.-E., Canlet C., Andr F., Vercauteren J., Paris A.",00032700,"Analytical Chemistry",74, 10,13,3,6,9,5,27
2002,"Functional expression of AQP3 in human skin epidermis and reconstructed epidermis","Sougrat R., Morand M., Gondran C., Barre P., Gobin R., Bonte F., Dumas M., Verbavatz J.-M.",0022202X,"Journal of Investigative Dermatology",118, 4,19,6,13,19,4,42
1999,"Phospholipase A2 inhibition by alkaloid compounds from Phellodendron amurense bark","Bonte F., Dumas M., Saunois A., Meybeck A.",13880209,"Pharmaceutical Biology",37, 1,3,0,1,1,0,4
1998,"Age-related functional and structural changes in human dermo-epidermal junction components","Le Varlet B., Chaudagne C., Saunois A., Barre P., Sauvage C., Berthouloux B., Meybeck A., Dumas M., Bonte F.",10870024,"Journal of Investigative Dermatology Symposium Proceedings",3, 2,9,2,2,4,0,13
1997,"Activités pharmacologiques de Prunella vulgaris en relation avec la différenciation épidermique","Bonte F., Dumas M., Barre P., Meybeck A.",12538078,"Acta Botanica Gallica",144, 4,0,0,0,0,0,0
1997,"Inhibition des phospholipases A2 des types I et II par des substances d'origine végétale","Dumas M., Bonte F., Meybeck A.",12538078,"Acta Botanica Gallica",144, 4,0,0,0,0,0,0
1996,"Simarouba amara extract increases human skin keratinocyte differentiation","Bonte F., Barre P., Pinguet P., Dusser I., Dumas M., Meybeck A.",03788741,"Journal of Ethnopharmacology",53, 2,3,0,0,0,1,4
1995,"Asiaticoside and madecassoside activity on human fibroblast type I and III collagen secretion | ACTIVITE COMPAREE DE L'ASIATICOSIDE ET DU MADECASSOSIDE SUR LA SYNTHESE DES COLLAGENES I ET III PAR DES FIBROBLASTES HUMAINS EN CULTURE","Bonte F., Dumas M., Chaudagne C., Meybeck A.",00034509,"Annales Pharmaceutiques Francaises",53, 1,9,3,1,4,2,15
1995,"Flow cytometric analysis of human epidermal cell ageing using two fluorescent mitochondrial probes","Dumas M., Maftah A., Bonte F., Ratinaud M.-H., Meybeck A., Julien R.",07644469,"Comptes Rendus de l'Academie des Sciences - Series III",318, 2,8,0,0,0,0,8
1994,"In vitro biosynthesis of type I and III collagens by human dermal fibroblasts from donors of increasing age","Dumas M., Chaudagne C., Bonte F., Meybeck A.",00476374,"Mechanisms of Ageing and Development",73, 3,7,1,0,1,0,8
1994,"Effects of ecdysterone on the differentiation of normal human keratinocytes in vitro","Detmar M., Dumas M., Bonte F., Meybeck A., Orfanos C.E.",11671122,"European Journal of Dermatology",4, 7,11,2,1,3,0,14
1994,"Influence of asiatic acid, madecassic acid, and asiaticoside on human collagen I synthesis","Bonte F., Dumas M., Chaudagne C., Meybeck A.",00320943,"Planta Medica",60, 2,24,3,3,6,0,30
