2008,"Adaptation of ventilation to 'buffeting' in vehicles (Clinical Autonomic Research (2008) DOI: 10.1007/s10286-008-0491-y)","Green D.A., Golding J.F., Aulakh M., Faldon M.C., Murphy K.G., Bronstein A.M., Gresty M.A.",09599851,"Clinical Autonomic Research",18, 6,0,0,0,0,0,0,0
2008,"Adaptation of ventilation to 'buffeting' in vehicles","Green D.A., Golding J.F., Mandip A., Faldon M.C., Murphy K.G., Bronstein A.M., Gresty M.A.",09599851,"Clinical Autonomic Research",18, 6,1,0,1,0,1,0,2
2008,"The effects of pancreatic polypeptide on locomotor activity and food intake in mice","Liu Y.-L., Semjonous N.M., Murphy K.G., Ghatei M.A., Bloom S.R.",03070565,"International Journal of Obesity",32, 11,2,4,3,0,7,0,9
2008,"Overexpression of CART in the PVN increases food intake and weight gain in rats","Smith K.L., Gardiner J.V., Ward H.L., Kong W.M., Murphy K.G., Martin N.M., Ghatei M.A., Bloom S.R.",19307381,"Obesity",16, 10,2,3,4,2,9,0,11
2008,"Pyroglutamylated RFamide peptide 43 stimulates the hypothalamic-pituitary- gonadal axis via gonadotropin-releasing hormone in rats","Patel S.R., Murphy K.G., Thompson E.L., Patterson M., Curtis A.E., Ghatei M.A., Bloom S.R.",00137227,"Endocrinology",149, 9,3,4,7,0,11,0,14
2008,"Human medial frontal cortex activity predicts learning from errors","Hester R., Barre N., Murphy K., Silk T.J., Mattingley J.B.",10473211,"Cerebral Cortex",18, 8,4,7,6,4,17,0,21
2008,"Relaxin-3 stimulates the hypothalamic-pituitary-gonadal axis","McGowan B.M., Bloom S.R., Stanley S.A., Donovan J., Thompson E.L., Patterson M., Semjonous N.M., Gardiner J.V., Murphy K.G., Ghatei M.A.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",295, 2,5,3,2,3,8,0,13
2008,"The effect of respiration variations on independent component analysis results of resting state functional connectivity","Birn R.M., Murphy K., Bandettini P.A.",10659471,"Human Brain Mapping",29, 7,21,18,18,12,48,0,69
2008,"Gastrointestinal satiety signals","Chaudhri O.B., Salem V., Murphy K.G., Bloom S.R.",00664278,"Annual Review of Physiology",70, ,15,15,9,2,26,0,41
2008,"Elevated cocaine- and amphetamine-regulated transcript immunoreactivity in the circulation of patients with neuroendocrine malignancy","Bech P., Winstanley V., Murphy K.G., Sam A.H., Meeran K., Ghatei M.A., Bloom S.R.",0021972X,"Journal of Clinical Endocrinology and Metabolism",93, 4,2,1,2,2,5,0,7
2008,"Preanalytical factors affecting RIA measurement of plasma kisspeptin","Ramachandran R., Patterson M., Murphy K.G., Dhillo W.S., Patel S., Kazarian A., Ghatei M.A., Bloom S.R.",00099147,"Clinical Chemistry",54, 3,3,3,2,0,5,0,8
2008,"Stimulation of cholecystokinin-A receptors with GI181771X does not cause weight loss in overweight or obese patients","Jordan J., Greenway F.L., Leiter L.A., Li Z., Jacobson P., Murphy K., Hill J., Kler L., Aftring R.P.",00099236,"Clinical Pharmacology and Therapeutics",83, 2,13,8,4,2,14,0,27
2008,"Dysbindin (DTNBP1) and the Biogenesis of Lysosome-Related Organelles Complex 1 (BLOC-1): Main and Epistatic Gene Effects Are Potential Contributors to Schizophrenia Susceptibility","Morris D.W., Scully P., Quinn J., Meagher D., Baldwin P., Crumlish N., O'Callaghan E., Waddington J.L., Gill M., Corvin A.P., Murphy K., Kenny N., Purcell S.M., McGhee K.A., Schwaiger S., Nangle J.-M., Donohoe G., Clarke S.",00063223,"Biological Psychiatry",63, 1,7,9,8,3,20,0,27
2008,"Supraphysiological doses of intravenous PYY3-36 cause nausea, but no additional reduction in food intake","Le Roux C.W., Borg C.M., Murphy K.G., Vincent R.P., Ghatei M.A., Bloom S.R.",00045632,"Annals of Clinical Biochemistry",45, 1,2,4,6,2,12,0,14
2007,"d-Amino acid oxidase (DAO) genotype and mood symptomatology in schizophrenia","Corvin A., Donohoe G., McGhee K., Murphy K., Kenny N., Schwaiger S., Nangle J.M., Morris D., Gill M.",03043940,"Neuroscience Letters",426, 2,8,4,2,2,8,0,16
2007,"Evidence for association and epistasis at the DAOA/G30 and D-amino acid oxidase loci in an Irish schizophrenia sample","Corvin A., McGhee K.A., Murphy K., Donohoe G., Nangle J.M., Schwaiger S., Kenny N., Clarke S., Meagher D., Quinn J., Scully P., Baldwin P., Browne D., Walsh C., Waddington J.L., Morris D.W., Gill M.",15524841,"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics",144, 7,17,10,6,3,19,0,36
2007,"Kisspeptin-54 stimulates gonadotropin release most potently during the preovulatory phase of the menstrual cycle in women","Dhillo W.S., Chaudhri O.B., Thompson E.L., Murphy K.G., Patterson M., Ramachandran R., Nijher G.K., Amber V., Kokkinos A., Donaldson M., Ghatei M.A., Bloom S.R.",0021972X,"Journal of Clinical Endocrinology and Metabolism",92, 10,24,19,12,5,36,0,60
2007,"DAOA ARG30LYS and verbal memory function in schizophrenia [2]","Donohoe G., Morris D.W., Robertson I.H., McGhee K.A., Murphy K., Kenny N., Clarke S., Gill M., Corvin A.P.",13594184,"Molecular Psychiatry",12, 9,3,1,1,0,2,0,5
2007,"Quantifying the physiology of laryngotracheal stenosis: Changes in pulmonary dynamics in response to graded extrathoracic resistive loading","Nouraei S.A.R., Winterborn C., Nouraei S.M., Giussani D.A., Murphy K., Howard D.J., Sandhu G.S.",0023852X,"Laryngoscope",117, 4,3,0,0,0,0,0,3
2007,"The neuroendocrine physiology of kisspeptin in the human","Dhillo W.S., Murphy K.G., Bloom S.R.",13899155,"Reviews in Endocrine and Metabolic Disorders",8, 1,8,2,0,1,3,0,11
2007,"Nonpeptidic glucagon-like peptide 1 receptor agonists: A magic bullet for diabetes?","Murphy K.G., Bloom S.R.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 3,6,6,1,1,8,0,14
2007,"Mapping the MRI voxel volume in which thermal noise matches physiological noise-Implications for fMRI","Bodurka J., Ye F., Petridou N., Murphy K., Bandettini P.A.",10538119,"NeuroImage",34, 2,15,10,4,6,20,0,35
2007,"How long to scan? The relationship between fMRI temporal signal to noise ratio and necessary scan duration","Murphy K., Bodurka J., Bandettini P.A.",10538119,"NeuroImage",34, 2,6,7,6,2,15,0,21
2006,"Gut hormones and the regulation of energy homeostasis","Murphy K.G., Bloom S.R.",00280836,"Nature",444, 7121,87,28,33,9,70,0,157
2006,"Gut peptides in the regulation of food intake and energy homeostasis","Murphy K.G., Dhillo W.S., Bloom S.R.",0163769X,"Endocrine Reviews",27, 7,50,17,22,7,46,0,96
2006,"Plasma kisspeptin is raised in patients with gestational trophoblastic neoplasia and falls during treatment","Dhillo W.S., Seckl M.J., Ghatei M.A., Bloom S.R., Savage P., Murphy K.G., Chaudhri O.B., Patterson M., Nijher G.M., Foggo V.M., Dancey G.S., Mitchell H.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",291, 5,17,6,4,2,12,0,29
2006,"Chronic subcutaneous administration of kisspeptin-54 causes testicular degeneration in adult male rats","Thompson E.L., Ghatei M.A., Bloom S.R., Murphy K.G., Patterson M., Bewick G.A., Stamp G.W.H., Curtis A.E., Cooke J.H., Jethwa P.H., Todd J.F.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",291, 5,30,9,8,1,18,0,48
2006,"The role of a right fronto-parietal network in cognitive control: Common activations for ""Cues-to-Attend"" and response inhibition","Fassbender C., Simoes-Franklin C., Murphy K., Hester R., Meaney J., Roberton I.H., Garavan H.",02698803,"Journal of Psychophysiology",20, 4,4,3,2,4,9,0,13
2006,"Microinjection of galanin-like peptide into the medial preoptic area stimulates food intake in adult male rats","Patterson M., Murphy K.G., Thompson E.L., Smith K.L., Meeran K., Ghatei M.A., Bloom S.R.",09538194,"Journal of Neuroendocrinology",18, 10,7,2,3,0,5,0,12
2006,"Individual differences in the functional neuroanatomy of inhibitory control","Garavan H., Hester R., Murphy K., Fassbender C., Kelly C.",00068993,"Brain Research",1105, 1,39,17,14,3,34,0,73
2006,"Endocrinology: The next 60 years","Dhillo W.S., Murphy K.G., Bloom S.",00220795,"Journal of Endocrinology",190, 1,1,0,1,0,1,0,2
2006,"A validation of event-related fMRI comparisons between users of cocaine, nicotine, or cannabis and control subjects","Murphy K., Dixon V., LaGrave K., Kaufman J., Risinger R., Bloom A., Garavan H.",0002953X,"American Journal of Psychiatry",163, 7,6,1,1,2,4,0,10
2006,"Neuromedin U partially mediates leptin-induced hypothalamo-pituitary adrenal (HPA) stimulation and has a physiological role in the regulation of the HPA axis in the rat","Jethwa P.H., Todd J.F., Ghatei M.A., Bloom S.R., Smith K.L., Small C.J., Abbott C.R., Darch S.J., Murphy K.G., Seth A., Semjonous N.M., Patel S.R.",00137227,"Endocrinology",147, 6,11,3,1,2,6,0,17
2006,"Administration of kisspeptin-54 into discrete regions of the hypothalamus potently increases plasma luteinising hormone and testosterone in male adult rats","Patterson M., Murphy K.G., Thompson E.L., Patel S., Ghatei M.A., Bloom S.R.",09538194,"Journal of Neuroendocrinology",18, 5,22,3,5,2,10,0,32
2006,"Ghrelin stimulates insulin-induced glucose uptake in adipocytes","Patel A.D., Stanley S.A., Murphy K.G., Frost G.S., Gardiner J.V., Kent A.S., White N.E., Ghatei M.A., Bloom S.R.",01670115,"Regulatory Peptides",134, 1,25,7,9,3,19,0,44
2006,"Are all fats created equal?","Murphy K.G., Bloom S.R.",10788956,"Nature Medicine",12, 1,7,0,1,0,1,0,8
2005,"Implantation of fibre encapsulated RIN 1056a cells transfected with NPY cDNA into the lateral ventricle of rats alters body weight","Mahmoodi M., Gardiner J.V., Asadi Karam G.R., Khaksari M., Murphy K.G., Ghatei M.A., Bloom S.R.",01670115,"Regulatory Peptides",132, 1-3,0,0,0,0,0,0,0
2005,"Kisspeptin-54 stimulates the hypothalamic-pituitary gonadal axis in human males","Dhillo W.S., Ghatei M.A., Bloom S.R., Chaudhri O.B., Patterson M., Thompson E.L., Murphy K.G., Badman M.K., McGowan B.M., Amber V., Patel S.",0021972X,"Journal of Clinical Endocrinology and Metabolism",90, 12,119,44,21,10,75,0,194
2005,"Deriving the optimal number of events for an event-related fMRI study based on the spatial extent of activation","Murphy K., Garavan H.",10538119,"NeuroImage",27, 4,14,6,2,3,11,0,25
2005,"Peripheral influences on central melanocortin neurons","Murphy K.G., Bloom S.R.",01969781,"Peptides",26, 10,5,0,0,0,0,0,5
2005,"Central relaxin-3 administration causes hyperphagia in male wistar rats","McGowan B.M.C., Bloom S.R., Stanley S.A., Smith K.L., White N.E., Connolly M.M., Thompson E.L., Gardiner J.V., Murphy K.G., Ghatei M.A.",00137227,"Endocrinology",146, 8,38,12,6,4,22,0,60
2005,"Neuromedin U has a physiological role in the regulation of food intake and partially mediates the effects of leptin","Jethwa P.H., Bloom S.R., Small C.J., Smith K.L., Seth A., Darch S.J., Abbott C.R., Murphy K.G., Todd J.F., Ghatei M.A.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",289, 2,13,1,0,2,3,0,16
2005,"Hypothalamic cocaine- and amphetamine-regulated transcript (CART) and agouti-related protein (AgRP) neurons coexpress the NOP1 receptor and nociceptin alters CART and AgRP release","Bewick G.A., Dhillo W.S., Darch S.J., Murphy K.G., Gardiner J.V., Jethwa P.H., Wing M.K., Ghatei M.A., Bloom S.R.",00137227,"Endocrinology",146, 8,14,5,2,0,7,0,21
2005,"Subcutaneous oxyntomodulin reduces body weight in overweight and obese subjects: A double-blind, randomized, controlled trial","Wynne K., Ghatei M.A., Bloom S.R., Park A.J., Small C.J., Patterson M., Ellis S.M., Murphy K.G., Wren A.M., Frost G.S., Meeran K.",00121797,"Diabetes",54, 8,78,22,12,4,38,0,116
2005,"Kisspeptins: Regulators of metastasis and the hypothalamic-pituitary-gonadal axis","Murphy K.G.",09538194,"Journal of Neuroendocrinology",17, 8,17,4,3,1,8,0,25
2005,"Dissecting the role of cocaine- and amphetamine-regulated transcript (CART) in the control of appetite","Murphy K.G.",14739550,"Briefings in Functional Genomics and Proteomics",4, 2,13,5,3,2,10,0,23
2005,"Cocaine dependence and attention switching within and between verbal and visuospatial working memory","Kubler A., Murphy K., Garavan H.",0953816X,"European Journal of Neuroscience",21, 7,18,8,9,4,21,0,39
2005,"Characterization of ghrelin-like immunoreactivity in human plasma","Patterson M., Murphy K.G., Le Roux C.W., Ghatei M.A., Bloom S.R.",0021972X,"Journal of Clinical Endocrinology and Metabolism",90, 4,46,9,13,3,25,0,71
2005,"AAV mediated expression of anti-sense neuropeptide Y cRNA in the arcuate nucleus of rats results in decreased weight gain and food intake","Gardiner J.V., Kong W.M., Ward H., Murphy K.G., Dhillo W.S., Bloom S.R.",0006291X,"Biochemical and Biophysical Research Communications",327, 4,12,1,6,1,8,0,20
2005,"Editorial overview: Gut hormones come of age","Murphy K.G., Abbott C.R., Bloom S.R.",10683097,"Current Opinion in Endocrinology and Diabetes",12, 1,1,0,0,0,0,0,1
2005,"Impaired circulating glucagon-like peptide-1 response to oral glucose in women with previous gestational diabetes","Forbes S., Moonan M., Robinson S., Anyaoku V., Patterson M., Murphy K.G., Ghatei M.A., Bloom S.R., Johnston D.G.",03000664,"Clinical Endocrinology",62, 1,5,0,1,0,1,0,6
2004,"What do we know about how humans cough?","Fong J., Sandhu G., Ellaway P., Davey N., Strutton P., Murphy K., Guz A.",10945539,"Pulmonary Pharmacology and Therapeutics",17, 6,11,0,0,0,0,0,11
2004,"Chronic administration of NMU into the paraventricular nucleus stimulates the HPA axis but does not influence food intake or body weight","Thompson E.L., Murphy K.G., Todd J.F., Martin N.M., Small C.J., Ghatei M.A., Bloom S.R.",0006291X,"Biochemical and Biophysical Research Communications",323, 1,17,2,1,1,4,0,21
2004,"Central and peripheral administration of kisspeptin-10 stimulates the hypothalamic-pituitary-gonadal axis","Thomson E.L., Patterson M., Murphy K.G., Smith K.L., Dhillo W.S., Todd J.F., Ghatei M.A., Bloom S.R.",09538194,"Journal of Neuroendocrinology",16, 10,141,40,22,2,64,0,205
2004,"Regulation of rat pituitary cocaine- and amphetamine-regulated transcript (CART) by CRH and glucocorticoids","Stanley S.A., Murphy K.G., Bewick G.A., Kong W.M., Opacka-Juffry J., Gardiner J.V., Ghatei M., Small C.J., Bloom S.R.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",287, 3,22,3,2,1,6,0,28
2004,"Gut hormones in the control of appetite","Murphy K.G., Bloom S.R.",09580670,"Experimental Physiology",89, 5,40,6,6,0,12,0,52
2004,"Pattern recognition approach to the detection of single-trial event-related functional magnetic resonance images","Burke D., Murphy K., Garavan H., Reilly R.",01400118,"Medical and Biological Engineering and Computing",42, 5,4,0,0,0,0,0,4
2004,"Beyond common resources: The cortical basis for resolving task interference","Hester R., Murphy K., Garavan H.",10538119,"NeuroImage",23, 1,25,1,3,2,6,0,31
2004,"A topography of executive functions and their interactions revealed by functional magnetic resonance imaging","Fassbender C., Murphy K., Foxe J.J., Wylie G.R., Javitt D.C., Robertson I.H., Garavan H.",09266410,"Cognitive Brain Research",20, 2,78,7,17,4,28,0,106
2004,"Is central nervous system processing altered in patients with heart failure?","Rosen S.D., Murphy K., Leff A.P., Cunningham V., Wise R.J.S., Adams L., Coats A.J.S., Camici P.G.",0195668X,"European Heart Journal",25, 11,8,2,1,0,3,0,11
2004,"Predicting success: Patterns of cortical activation and deactivation prior to response inhibition","Hester R.L., Murphy K., Foxe J.J., Foxe D.M., Javitt D.C., Garavan H.",0898929X,"Journal of Cognitive Neuroscience",16, 5,45,7,7,2,16,0,61
2004,"Prefrontal-subcortical dissociations underlying inhibitory control revealed by event-related fMRI","Kelly A.M.C., Hester R., Murphy K., Javitt D.C., Foxe J.J., Garavan H.",0953816X,"European Journal of Neuroscience",19, 11,58,8,15,2,25,0,83
2004,"An empirical investigation into the number of subjects required for an event-related fMRI study","Murphy K., Garavan H.",10538119,"NeuroImage",22, 2,22,5,2,1,8,0,30
2004,"Artifactual fMRI group and condition differences driven by performance confounds","Murphy K., Garavan H.",10538119,"NeuroImage",21, 1,25,8,6,2,16,0,41
2003,"Co-ordination within and between verbal and visuospatial working memory: Network modulation and anterior frontal recruitment","Kubler A., Murphy K., Kaufman J., Stein E.A., Garavan H.",10538119,"NeuroImage",20, 2,18,4,2,0,6,0,24
2003,"A role for arcuate cocaine and amphetamine-regulated transcript in hyperphagia, thermogenesis, and cold adaptation.","Kong W.M., Bloom S., Stanley S., Gardiner J., Abbott C., Murphy K., Seth A., Connoley I., Ghatei M., Stephens D.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",17, 12,40,6,2,4,12,0,52
2003,"Identification of hypothalamic nuclei involved in the orexigenic effect of melanin-concentrating hormone","Abbott C.R., Bloom S.R., Kennedy A.R., Wren A.M., Rossi M., Murphy K.G., Seal L.J., Todd J.F., Ghatei M.A., Small C.J.",00137227,"Endocrinology",144, 9,50,7,7,1,15,0,65
2003,"Paraventricular nucleus administration of calcitonin gene-related peptide inhibits food intake and stimulates the hypothalamo-pituitary-adrenal axis","Dhillo W.S., Bloom S.R., Small C.J., Jethwa P.H., Russell S.H., Gardiner J.V., Bewick G.A., Seth A., Murphy K.G., Ghatei M.A.",00137227,"Endocrinology",144, 4,25,2,1,0,3,0,28
2003,"Distribution of fluorescence following injection of recombinant adeno-associated virus encoding green fluorescent protein into the paraventricular nucleus","Ward H., Gardiner J., Kong W.M., Murphy K., Bloom S.",00283835,"Neuroendocrinology",77, 2,7,0,0,0,0,0,7
2003,"Effects of galanin-like peptide on food intake and the hypothalamo-pituitary-thyroid axis","Seth A., Stanley S., Dhillo W., Murphy K., Ghatei M., Bloom S.",00283835,"Neuroendocrinology",77, 2,37,3,3,0,6,0,43
2002,"Dissociable executive functions in the dynamic control of behavior: Inhibition, error detection, and correction","Garavan H., Ross T.J., Murphy K., Roche R.A.P., Stein E.A.",10538119,"NeuroImage",17, 4,284,43,45,12,100,0,384
2002,"Hypothalamic actions of neuromedin U","Wren A.M., Bloom S.R., Small C.J., Abbott C.R., Jethwa P.H., Kennedy A.R., Murphy K.G., Stanley S.A., Zollner A.N., Ghatei M.A.",00137227,"Endocrinology",143, 11,76,7,7,3,17,0,93
2002,"Hypothalamic interactions between neuropeptide Y, agouti-related protein, cocaine- and amphetamine-regulated transcript and alpha-melanocyte-stimulating hormone in vitro in male rats","Dhillo W.S., Small C.J., Stanley S.A., Jethwa P.H., Seal L.J., Murphy K.G., Ghatei M.A., Bloom S.R.",09538194,"Journal of Neuroendocrinology",14, 9,26,2,3,2,7,0,33
2002,"Speech production: Wernicke, broca and beyond","Blank S.C., Scott S.K., Murphy K., Warburton E., Wise R.J.S.",00068950,"Brain",125, 8,94,13,9,3,25,0,119
2002,"The effects of centrally administered apelin-13 on food intake, water intake and pituitary hormone release in rats","Taheri S., Murphy K., Cohen M., Sujkovic E., Kennedy A., Dhillo W., Dakin C., Sajedi A., Ghatei M., Bloom S.",0006291X,"Biochemical and Biophysical Research Communications",291, 5,90,12,10,5,27,0,117
2002,"The hypothalamic melanocortin system stimulates the hypothalamo-pituitary-adrenal axis in vitro and in vivo in male rats","Dhillo W.S., Small C.J., Seal L.J., Kim M.-S., Stanley S.A., Murphy K.G., Ghatei M.A., Bloom S.R.",00283835,"Neuroendocrinology",75, 4,35,3,3,1,7,0,42
2002,"Areas of the brain concerned with ventilatory load compensation in awake man","Isaev G., Murphy K., Guz A., Adams L.",00223751,"Journal of Physiology",539, 3,23,2,1,0,3,0,26
2001,"Ghrelin enhances appetite and increases food intake in humans","Wren A.M., Seal L.J., Cohen M.A., Brynes A.E., Frost G.S., Murphy K.G., Dhillo W.S., Ghatei M.A., Bloom S.R.",0021972X,"Journal of Clinical Endocrinology and Metabolism",86, 12,945,96,95,37,228,0,1173
2001,"Orexin A interactions in the hypothalamo-pituitary gonadal axis","Russell S.H., Small C.J., Kennedy A.R., Stanley S.A., Seth A., Murphy K.G., Taheri S., Ghatei M.A., Bloom S.R.",00137227,"Endocrinology",142, 12,41,11,4,1,16,0,57
2001,"The actions of tuberoinfundibular peptide on the hypothalamo-pituitary axes","Ward H.L., Small C.J., Murphy K.G., Kennedy A.R., Ghatei M.A., Bloom S.R.",00137227,"Endocrinology",142, 8,26,4,3,0,7,0,33
2001,"Evidence of an orexigenic role for cocaine- and amphetamine-regulated transcript after administration into discrete hypothalamic nuclei","Abbott C.R., Ghatei M.A., Small C.J., Bloom S.R., Rossi M., Wren A.M., Murphy K.G., Kennedy A.R., Stanley S.A., Zollner A.N., Morgan D.G.A., Morgan I.",00137227,"Endocrinology",142, 8,75,11,6,4,21,0,96
2001,"Orexins: Effects on behavior and localisation of orexin receptor 2 messenger ribonucleic acid in the rat brainstem","Sunter D., Morgan I., Edwards C.MarkB., Dakin C.L., Murphy K.G., Gardiner J., Taheri S., Rayes E., Bloom S.R.",00068993,"Brain Research",907, 1-2,25,2,2,2,6,0,31
2001,"Does hypercapnia-induced cerebral vasodilation modulate the hemodynamic response to neural activation?","Corfield D.R., Murphy K., Josephs O., Adams L., Turner R.",10538119,"NeuroImage",13, 6,52,7,6,3,16,0,68
2001,"Identification of higher brain centres that may encode the cardiorespiratory response to exercise in humans","Thornton J.M., Paterson D.J., Guz A., Murphy K., Griffith A.R., Pedersen D.L., Kardos A., Leff A., Adams L., Casadei B.",00223751,"Journal of Physiology",533, 3,46,6,4,3,13,0,59
2001,"Orexin A immunoreactivity and preproorexin mRNA in the brain of Zucker and WKY rats","Taheri S., Gardiner J., Hafizi S., Murphy K., Dakin C., Seal L., Small C., Ghatei M., Bloom S.",09594965,"NeuroReport",12, 3,17,1,2,1,4,0,21
2001,"Actions of cocaine- and amphetamine-regulated transcript (CART) peptide on regulation of appetite and hypothalamo-pituitary axes in vitro and in vivo in male rats","Stanley S.A., Kim M.S., Hunter R., Kuhar M., Ghatei M.A., Bloom S.R., Small C.J., Murphy K.G., Rayes E., Abbott C.R., Seal L.J., Morgan D.G.A., Sunter D., Dakin C.L.",00068993,"Brain Research",893, 1-2,91,7,12,3,22,0,113
2001,"Effects of chronic central nervous system administration of agouti-related protein in pair-fed animals","Small C.J., Kim M.S., Stanley S.A., Mitchell J.R.D., Murphy K., Morgan D.G.A., Ghatei M.A., Bloom S.R.",00121797,"Diabetes",50, 2,85,6,7,2,15,0,100
2001,"Separate neural subsystems within 'Wernicke's area'","Wise R.J.S., Scott S.K., Blank S.C., Mummery C.J., Murphy K., Warburton E.A.",00068950,"Brain",124, 1,222,26,21,6,53,0,275
2000,"The novel hypothalamic peptide ghrelin stimulates food intake and growth hormone secretion","Wren A.M., Small C.J., Ward H.L., Murphy K.G., Dakin C.L., Taheri S., Kennedy A.R., Roberts G.H., Morgan D.G.A., Ghatei M.A., Bloom S.R.",00137227,"Endocrinology",141, 11,767,64,59,28,151,0,918
2000,"Central administration of orexin A suppresses basal and domperidone stimulated plasma prolactin","Russell S.H., Bloom S.R., Kim M.S., Small C.J., Abbott C.R., Morgan D.G.A., Taheri S., Murphy K.G., Todd J.F., Ghatei M.A.",09538194,"Journal of Neuroendocrinology",12, 12,44,6,2,0,8,0,52
2000,"Breathlessness in humans activates insular cortex","Banzett R.B., Mulnier H.E., Murphy K., Rosen S.D., Wise R.J.S., Adams L.",09594965,"NeuroReport",11, 10,96,15,13,7,35,0,131
