,"Author: De Paola, Vincenzo",,,,,,,,,,,
2005,"Prevalence of Paget's disease of bone in Italy","Gennari L., Vattimo A., Capoccia S., Burroni L., Geraci S., De Paola V., Calabro A., Avanzati A., Isaia G., Nuti R., Stefano M.D., Merlotti D., Giordano N., Martini G., Tamone C., Zatteri R., De Lucchi R., Baldi C.",08840431,"Journal of Bone and Mineral Research",20, 10,4,11,7,18,0,22
2005,"Characteristics and familial aggregation of Paget's disease of bone in Italy","Merlotti D., Nuti R., Gennari L., Galli B., Martini G., Calabro A., De Paola V., Ceccarelli E., Nardi P., Avanzati A.",08840431,"Journal of Bone and Mineral Research",20, 8,2,5,1,6,1,9
2005,"Effects of carvedilol on left ventricular diastolic function and chamber volumes in advanced heart failure","Palazzuoli A., Quatrini I., Vecchiato L., Scali C., De Paola V., Iovine F., Martini G., Nuti R.",00264725,"Minerva Cardioangiologica",53, 4,1,1,0,1,0,2
2005,"Diverse modes of axon elaboration in the developing neocortex","Portera-Cailliau C., Weimer R.M., De Paola V., Caroni P., Svoboda K.",15449173,"PLoS Biology",3, 8,18,11,13,24,10,52
2005,"Glutamate induces the rapid formation of spine head protrusions in hippocampal slice cultures","Richards D.A., Mateos J.M., Hugel S., De Paola V., Caroni P., Gahwiler B.H., McKinney R.A.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",102, 17,10,7,8,15,5,30
2005,"Estrogen receptor gene polymorphisms and the genetics of osteoporosis: A HuGE review","Gennari L., Merlotti D., De Paola V., Calabro A., Becherini L., Martini G., Nuti R.",00029262,"American Journal of Epidemiology",161, 4,13,16,18,34,5,52
2004,"High levels of genetic differentiation between Wolbachia-infected and non-infected populations of Folsomia candida (Collembola, Isotomidae)","Frati F., Negri I., Fanciulli P.P., Pellecchia M., De Paola V., Scali V., Dallai R.",00314056,"Pedobiologia",48, 5-6,4,2,0,2,1,7
2004,"AMPA-receptor activation regulates the diffusion of a membrane marker in parallel with dendritic spine motility in the mouse hippocampus","Richards D.A., de Paola V., Caroni P., Gahwiler B.H., McKinney R.A.",00223751,"Journal of Physiology",558, 2,16,2,4,6,5,27
2003,"AMPA receptors regulate dynamic equilibrium of presynaptic terminals in mature hippocampal networks","De Paola V., Arber S., Caroni P.",10976256,"Nature Neuroscience",6, 5,43,10,11,21,11,75
2002,"ETS gene Pea3 controls the central position and terminal arborization of specific motor neuron pools","Livet J., Sigrist M., Stroebel S., De Paola V., Price S.R., Henderson C.E., Jessell T.M., Arber S.",08966273,"Neuron",35, 5,57,9,11,20,10,87
