,"Author: Fidler, Sarah J.",,,,,,,,,,,
2007,"Tracking virus-specific CD4+ T cells during and after acute hepatitis C virus infection","Lucas M., Zachoval R., Pape G.R., Schraut W., Santantonio T., Nitschko H., Obermeier M., Phillips R., Scriba T.J., Semmo N., Day C., Ulsenheimer A., Weber J.N., Fidler S., Thimme R., Haberstroh A., Baumert T.F., Klenerman P., Diepolder H.M., Pfafferot K., Heeg M.H.J., Gaudieri S., Gruner N., Rauch A., Gerlach J.T., Jung M.-C.",19326203,"PLoS ONE",2, 7,0,1,6,7,1,8
2007,"Slower CD4 cell decline following cessation of a 3 month course of HAART in primary HIV infection: Findings from an observational cohort","Fidler S., Darbyshire J., Del Amo J., Gill N., Lee C., Meyer L., Rezza G., Fox J., Touloumi G., Pantazis N., Porter K., Babiker A., Weber J., Beral V., Coutinho R.",02699370,"AIDS",21, 10,0,0,5,5,4,9
2007,"Risk of HIV transmission in discordant partners","Fox J., Fidler S.",14620308,"Journal of HIV Therapy",12, 2,0,0,0,0,0,0
2007,"The identification and characterisation of a novel null HLA-DRB1 allele","Fidler S.J., Smith L.K., Christiansen F.T.",00012815,"Tissue Antigens",69, 1,0,0,1,1,0,1
2007,"Prevalence of primary genotypic resistance in a UK centre: Comparison of primary HIV-1 and newly diagnosed treatment-naive individuals","Fox J., Hill S., Kaye S., Dustan S., McClure M., Fidler S., Mackie N.E.",02699370,"AIDS",21, 2,0,2,2,4,3,7
2006,"HLA donor-specific antibody detected by solid phase assay identifies high-risk transplantation pairs irrespective of CDC crossmatch results: case reports and literature review.","D'Orsogna L., Fidler S., Irish A., Saker B., Moody H., Christiansen F.T.",08909016,"Clinical transplants",, ,0,0,0,0,0,0
2006,"Transmitted drug-resistant HIV-1 in primary HIV-1 infection; incidence, evolution and impact on response to antiretroviral therapy","Fox J., Dustan S., McClure M., Weber J., Fidler S.",14642662,"HIV Medicine",7, 7,0,5,9,14,3,17
2006,"Primary HIV","Fox J., Weber J., Fidler S.",13684973,"Sexually Transmitted Infections",82, 4,0,0,0,0,1,1
2006,"Passive sexual transmission of human immunodeficiency virus type 1 variants and adaptation in new hosts","Frater A.J., Dustan S., Clarke J.R., Holmes E.C., Zhang H.T., Pfafferott K., Goulder P.J., McClure M.O., Weber J., Phillips R.E., Fidler S., Edwards C.T.T., McCarthy N., Fox J., Brown H., Milicic A., Mackie N., Pillay T., Drijfhout J.W.",0022538X,"Journal of Virology",80, 14,0,5,2,7,2,9
2006,"Impaired IFN-?-secreting capacity in mycobacterial antigen-specific CD4 T cells during chronic HIV-1 infection despite long-term HAART","Sutherland R., McMichael A., Dorrell L., Yang H., Scriba T.J., Ondondo B., Robinson N., Conlon C., Suttill A., McShane H., Fidler S.",02699370,"AIDS",20, 6,0,6,5,11,3,14
2006,"Resistance to HIV drugs in UK may be lower in some areas [9]","Fox J.M., Fidler S., Weber J.",09598146,"British Medical Journal",332, 7534,2,1,2,3,2,7
2006,"Comparative potency of three antiretroviral therapy regimes in primary HIV infection","Fidler S., Fraser C., Fox J., Tamm N., Griffin J.T., Weber J.",02699370,"AIDS",20, 2,1,2,2,4,2,7
2005,"Ultrasensitive detection and phenotyping of CD4+ T cells with optimized HLA class II tetramer staining","Scriba T.J., Phillips R.E., Purbhoo M., Day C.L., Robinson N., Fidler S., Fox J., Weber J.N., Klenerman P., Sewell A.K.",00221767,"Journal of Immunology",175, 10,4,7,9,16,6,26
2005,"Sexual transmission of single human immunodeficiency virus type 1 virions encoding highly polymorphic multisite cytotoxic T-lymphocyte escape variants","Milicic A., Fidler S.J., Zhang H.-T., Phillips R.E., Edwards C.T.T., Hue S., Fox J., Brown H., Pillay T., Drijfhout J.W., Weber J.N., Holmes E.C.",0022538X,"Journal of Virology",79, 22,3,3,6,9,1,13
2005,"HIV-1-specific CD4+ T lymphocyte turnover and activation increase upon viral rebound","Scriba T.J., Day C.L., Lucas M., Phillips R.E., Zhang H.-T., Brown H.L., Oxenius A., Tamm N., Fidler S., Fox J., Weber J.N., Klenerman P.",00219738,"Journal of Clinical Investigation",115, 2,12,10,4,14,1,27
2004,"Clinical implications of stopping nevirapine-based antiretroviral therapy: Relative pharmacokinetics and avoidance of drug resistance","Mackie N.E., Fidler S., Tamm N., Clarke J.R., Back D., Weber J.N., Taylor G.P.",14642662,"HIV Medicine",5, 3,14,10,1,11,4,29
2003,"Oral pemphigus vulgaris associated with HIV infection","Hodgson T.A., Fidler S.J., Speight P.M., Weber J.N., Porter S.R.",01909622,"Journal of the American Academy of Dermatology",49, 2,2,2,2,4,0,6
2002,"Virological and immunological effects of short-course antiretroviral therapy in primary HIV infection","Fidler S., Weber J., Oxenius A., Brady M., Clarke J., Cropley I., Babiker A., Zhang H.-T., Price D., Phillips R.",02699370,"AIDS",16, 15,28,5,3,8,1,37
2001,"Variable fate of virus-specific CD4+ T cells during primary HIV-1 infection","Oxenius A., Fidler S., Brady M., Dawson S.J., Ruth K., Easterbrook P.J., Weber J.N., Phillips R.E., Price D.A.",00142980,"European Journal of Immunology",31, 12,14,1,1,2,0,16
2001,"How important is the 'quality' of the cytotoxic T lymphocyte (CTL) response in protection against HIV infection?","Rowland-Jones S.L., Weber J., McMichael A., Appay V., Pinheiro S., Kaul R., Hansasuta P., Gillespie G., Dong T., Plummer F.A., Bwayo J.B., Fidler S.",01652478,"Immunology Letters",79, 1-2,33,5,4,9,2,44
2001,"HIV-1 drug resistance in primary infections in the UK [6]","Fidler S., Frater J., Clarke J., Weber J.",09598146,"British Medical Journal",323, 7313,8,0,1,1,0,9
2001,"Role of NKG2D in tumor cell lysis mediated by human NK cells: Cooperation with natural cytotoxicity receptors and capability of recognizing tumors of nonepithelial origin","Oxenius A., Gunthard H.F., Fidler S., Weber J.N., Easterbrook P.J., Bell J.I., Phillips R.E., Price D.A.",00142980,"European Journal of Immunology",31, 4,127,17,17,34,12,173
2000,"Preventing HIV infection","Fidler S., Weber J.",00327611,"Prescribers' Journal",40, 1,0,0,0,0,0,0
1999,"Antigen presenting cell function in HIV-1 infected patients","Fidler S.J., Rees A.D.M.",01652478,"Immunology Letters",66, 1-3,4,0,0,0,0,4
1997,"Tandem peptide epitopes facilitate CD4-dependent activation of T cell clones","Hayball J.D., Fidler S.J., Palliser D., Rees A.D.M., Lamb J.R., Lake R.A.",08189641,"Immunology and Cell Biology",75, 2,5,0,0,0,0,5
1997,"CD4+ T-cell recognition of diverse clade B HIV-1 isolates","Fernandez M.H., Fidler S.J., Pitman R.J., Weber J.N., Rees A.D.M.",02699370,"AIDS",11, 3,9,0,0,0,0,9
1996,"An early antigen-presenting cell defect in HIV-1-infected patients correlates with CD4 dependency in human T-cell clones","Fidler S.J., Dorrell L., Ball S., Lombardi G., Weber J., Hawrylowicz C., Rees A.D.M.",00192805,"Immunology",89, 1,15,1,0,1,0,16
