,"Author: Kelleher, Dr William Peter; Kelleher, Peter",,,,,,,,,,,,
2007,HIV-1 viral replication below 50 copies/ml in patients on antiretroviral therapy is not associated with CD8+ T-cell activation,"Steel A., Conx A.E., Shamji M.H., John L., Nelson M., Henderson D.C., Gotch F.M., Gazzard B.G., Kelleher P.",13596535,Antiviral Therapy,12,6,6,5,2,0,7,0,13
2007,Loss of discrete memory B cell subsets is associated with impaired immunization responses in HIV-1 infection and may be a risk factor for invasive pneumococcal disease,"Hart M., Kelleher P., Steel A., Clark S.A., Moyle G., Nelson M., Henderson D.C., Wilson R., Gotch F., Gazzard B.",221767,Journal of Immunology,178,12,19,9,9,1,19,0,38
2007,"Effect of cotrimoxazole on causes of death, hospital admissions and antibiotic use in HIV-infected children","Mulenga V., Ford D., Walker A.S., Mwenya D., Mwansa J., Sinyinza F., Lishimpi K., Nunn A., Gillespie S., Zumla A., Chintu C., Gibb D.M., Chileshe R., Kalengo C., Musweu Muyawa A., Kaluwaji J., Mutengo M.M., Bwalya V., Chitambala P., Choongo M., Namakube L., Kaganson N., Kelleher P., Kaganson N., Mutambo S., Farelly L., Kaganson N., Mwansa J., Mwenya D., Mutela K., Mulundu G., Kasolo F., Yumbe M., Mandanda B., Mutengo M., Mudenda V., Banda L., Chipoya T., Chanda B.",2699370,AIDS,21,1,14,6,8,0,14,0,28
2006,No change to HIV-1 latency with valproate therapy [3],"Steel A., Clark S., Teo I., Shaunak S., Nelson M., Gazzard B., Kelleher P.",2699370,AIDS,20,12,8,2,1,4,7,0,15
2006,Interferon-? therapy in two patients with progressive chronic pulmonary aspergillosis,"Kelleher P., Goodsall A., Mulgirigama A., Kunst H., Henderson D.C., Wilson R., Newman-Taylor A., Levin M.",9031936,European Respiratory Journal,27,6,9,4,3,1,8,0,17
2005,Human BDCA-1-positive blood dendritic cells differentiate into phenotypically distinct immature and mature populations in the absence of exogenous maturational stimuli: Differentiation failure in HIV infection,"Patterson S., Donaghy H., Amjadi P., Gazzard B., Gotch F., Kelleher P.",221767,Journal of Immunology,174,12,12,3,0,1,4,0,16
2004,IgA antibodies of coeliac disease patients recognise a dominant T cell epitope of A-gliadin,"Bateman E.A.L., Ferry B.L., Hall A., Misbah S.A., Anderson R., Kelleher P.",175749,Gut,53,9,4,0,1,0,1,0,5
2004,Circulating cytokines and chemokines in acute symptomatic parvovirus B19 infection: Negative association between levels of pro-inflammatory cytokines and development of B19-associated arthritis,"Kerr J.R., Cunniffe V.S., Kelleher P., Coats A.J.S., Mattey D.L.",1466615,Journal of Medical Virology,74,1,23,2,1,1,4,0,27
2004,Antinuclear antibodies (ANA) in chronic hepatitis C virus infection: Correlates of positivity and clinical relevance,"Yee L.J., Kelleher P., Goldin R.D., Marshall S., Thomas H.C., Alberti A., Chiaramonte M., Braconier J.-H., Hall A.J., Thursz M.R.",13520504,Journal of Viral Hepatitis,11,5,18,1,1,1,3,0,21
2004,Autoantibodies before the Clinical Onset of Systemic Lupus Erythematosus [3] (multiple letters),"Kelleher P., James J.A., McClain M.T., Arbuckle M.R., Harley J.B.",284793,New England Journal of Medicine,350,3,2,0,0,0,0,0,2
2003,Autoimmune polyglandular syndromes,Kelleher P.,13678949,CPD Bulletin Immunology and Allergy,3,2,0,0,0,0,0,0,0
2003,Successful intravenous immunoglobulin therapy in 3 cases of parvovirus B19-associated chronic fatigue syndrome.,"Kerr J.R., Cunniffe V.S., Kelleher P., Bernstein R.M., Bruce I.N.",15376591,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,36,9,20,4,1,0,5,0,25
2003,What is Good's syndrome? Immunological abnormalities in patients with thymoma,"Kelleher P., Misbah S.A.",219746,Journal of Clinical Pathology,56,1,46,11,13,2,26,0,72
2002,"Evidence for the role of demyelination, HLA-DR alleles, and cytokines in the pathogenesis of parvovirus B19 meningoencephalitis and its sequelae","Kerr J.R., Barah F., Chiswick M.L., McDonnell G.V., Smith J., Chapman M.D., Bingham J.B., Kelleher P., Sheppard M.N.",223050,Journal of Neurology Neurosurgery and Psychiatry,73,6,27,3,4,2,9,0,36
1999,Retrovirally induced switch from production of IL-12 to IL-4 in dendritic cells,"Kelleher P., Maroof A., Knight S.C.",142980,European Journal of Immunology,29,7,40,2,1,1,4,0,44
1999,Interleukin-12 administration in retroviral infection of mice increases the potential to produce functional dendritic cells from bone marrow stem cells,"Kelleher P., Williams N.J., Knight S.C.",1652478,Immunology Letters,65, 1-2,8,0,1,0,1,0,9
1998,IL-12 increases CD80 expression and the stimulatory capacity of bone marrow-derived dendritic cells,"Kelleher P., Knight S.C.",9538178,International Immunology,10,6,43,1,1,0,2,0,45
1997,HIV infection: The spectrum of symptoms and disease in male and female patients attending a London hospice,"Kelleher P., Cox S., McKeogh M.",2692163,Palliative Medicine,11,2,17,0,0,0,0,0,17
1996,Uveitis associated with rifabutin and macrolide therapy for Mycobacterium avium intracellulare infection in AIDS patients,"Kelleher P., Helbert M., Sweeney J., Anderson J., Parkin J., Pinching A.",2664348,Genitourinary Medicine,72,6,9,0,0,0,0,0,9
1996,The haemolytic uraemic syndrome in patients with AIDS,"Kelleher P., Severn A., Tomson C., Lucas S., Parkin J., Pinching A., Miller R.",2664348,Genitourinary Medicine,72,3,9,0,0,0,0,0,9
1996,Multidrug-resistant tuberculosis in an HIV-positive man in the United Kingdom,"Kelleher P., Coakley J., Anderson J., Moore-Gillon J.",1634453,Journal of Infection,32,2,2,0,0,0,0,0,2
1995,Heart muscle disease related to HIV infection [13],"Kelleher P., Sweeney J., Anderson J.",9598146,British Medical Journal,310,6984,1,0,0,0,0,0,1
1990,"Growth inhibitory effects of interferon-? but not interferon-? on human glioma cells: Correlation of receptor binding, 2',5'-oligoadenylate synthetase and protein kinase activity","Rosenblum M.G., Yung W.K.A., Kelleher P.J., Ruzicka F., Steck P.A., Borden E.C.",1978357,Journal of Interferon Research,10,2,42,2,2,0,4,0,46
1987,Growth inhibitory effect of recombinant ? and ? interferon on human glioma cells,"Yung W.K.A., Steck P.A., Kelleher P.J., Moser R.P., Rosenblum M.G.",0167594X,Journal of Neuro-Oncology,5,4,10,1,2,0,3,0,13
1987,Diversity of the effect of recombinant tumor necrosis factors ? and ? on human myelogenous leukemia cell lines,"Beran M., Andersson B.S., Kelleher P.",64971,Blood,69,3,7,0,1,0,1,0,8
1985,Idiotypic cross-reactivity among murine monoclonal antibodies to recombinant human leukocyte A interferon,"Kelleher P., Kussie P., Gutterman J., Juliano R.",,Proceedings of the American Association for Cancer Research,26, ,0,0,0,0,0,0,0
1984,Immunological evaluation of a component isolated from Mycobacterium bovis BCG with a monoclonal antibody to M. bovis BCG,"Minden P., Kelleher P.J., Freed J.H.",199567,Infection and Immunity,46,2,13,0,0,0,0,0,13
1984,Detection of proteases in polyacrylamide gels containing covalently bound substrates,"Kelleher P.J., Juliano R.L.",32697,Analytical Biochemistry,136,2,15,1,0,0,1,0,16
1984,An antibody that inhibits fibronectin-independent adhesion of fibroblasts to extracellular matrix material,"Kelleher P.J., Juliano R.L.",219541,Journal of Cellular Physiology,120,3,0,0,0,0,0,0,0
1983,Enhanced immunogenicity of line 10 guinea pig hepatocarcinoma cells after culture,"Correll L.L., Nielsen L.D., Kelleher P.J.",278874,Journal of the National Cancer Institute,71,6,1,0,0,0,0,0,1
1983,A solid-phase radioimmunoassay to detect antibodies produced by hybridomas to antigens derived from human melanoma cells,"Kelleher P.J., Mathews H.L., Woods L.K.",3407004,"Cancer Immunology, Immunotherapy",14,3,0,0,0,0,0,0,0
1983,The use of cellular immunoadsorbents to prepare polyclonal antibodies that distinguish between antigens derived from human melanoma cells and autologous lymphocytes,"Kelleher P.J., Mathews H.L., Moore G.E., Minden P.",3407004,"Cancer Immunology, Immunotherapy",14,3,1,0,0,0,0,0,1
1982,Suppression of the line-10 guinea pig hepatocarcinoma by antigens derived from Mycobacterium bovis (BCG) that are common to the tumor,"Mathews H.L., Kelleher P.J., Brenman J., Minden P.",7326580,Journal of Biological Response Modifiers,1,3,0,0,0,0,0,0,0
1980,Suppression of the line-10 guinea pig hepatocarcinoma by antigens related to both Mycobacterium bovis (BCG) and the tumor,"Minden P., Mathews H.L., Kelleher P.J.",221767,Journal of Immunology,125,6,0,0,0,0,0,0,0
