,"Author: Taylor, Graham P.",,,,,,,,,,,
2007,In vivo kinetics of human natural killer cells: The effects of ageing and acute and chronic viral infection,"Zhang Y., Beverley P.C.L., Macallan D.C., Wallace D.L., De Lara C.M., Ghattas H., Asquith B., Worth A., Griffin G.E., Taylor G.P., Tough D.F.",192805,Immunology,121,2,0,0,5,5,5,10
2007,In vivo T lymphocyte dynamics in humans and the impact of human T-lymphotropic virus 1 infection,"Asquith B., Tanaka Y., Tough D.F., Beverley P.C., Taylor G.P., Macallan D.C., Bangham C.R.M., Zhang Y., Mosley A.J., De Lara C.M., Wallace D.L., Worth A., Kaftantzi L., Meekings K., Griffin G.E.",278424,Proceedings of the National Academy of Sciences of the United States of America,104,19,0,2,8,10,7,17
2007,Arginase activity mediates reversible T cell hyporesponsiveness in human pregnancy,"Kropf P., Choi B.-S., Soler G., Teoh T., Modolell M., Muller I., Baud D., Marshall S.E., Munder M., Mosley A., Fuentes J.M., Bangham C.R.M., Taylor G.P., Herath S.",142980,European Journal of Immunology,37,4,0,1,6,7,2,9
2007,Safety of nevirapine in pregnancy,"Natarajan U., Anderson J., Pym A., McDonald C., Velisetty P., Edwards S.G., Hay P., Welch J., de Ruiter A., Taylor G.P.",14642662,HIV Medicine,8,1,0,1,6,7,2,9
2006,Histone deacetylase inhibitors increase virus gene expression but decrease CD8+ cell antiviral function in HTLV-1 infection,"Mosley A.J., Meekings K.N., McCarthy C., Shepherd D., Cerundolo V., Mazitschek R., Tanaka Y., Taylor G.P., Bangham C.R.",64971,Blood,108,12,0,2,3,5,2,7
2006,How safe is safer sex? High levels of HSV-1 and HSV-2 in female sex workers in London,"Fox J., Taylor G.P., Day S., Parry J., Ward H.",9502688,Epidemiology and Infection,134,5,0,0,3,3,1,4
2006,Proposal for diagnostic criteria of tropical spastic paraparesis/HTLV-I- associated myelopathy (TSP/HAM),"De Castro-Costa C.M., Rovirosa L.C., Carton H., Gotuzzo E., Hall W.W., Montano S., Murphy E.L., Oger J., Remondegui C., Taylor G.P., Araujo A.Q.C., Barreto M.M., Takayanagui O.M., Sohler M.P., Da Silva E.L.M., De Paula S.M.B., Ishak R., Ribas J.G.R.",8892229,AIDS Research and Human Retroviruses,22,10,1,4,6,10,3,14
2006,Pregnant women with HIV infection can expect healthy survival: Three-year follow-up,"Martin F., Ruiter A.D., Taylor G.P., Navaratne L., Khan W., Sarner L., Mercey D., Anderson J., Noble H., Fakoya A., Hawkins D.A.",15254135,Journal of Acquired Immune Deficiency Syndromes,43,2,0,1,4,5,4,9
2006,Zidovudine plus lamivudine in Human T-Lymphotropic Virus type-l-associated myelopathy: A randomised trial,"Taylor G.P., Usuku K., Osame M., Bangham C.R.M., Weber J.N., Goon P., Furukawa Y., Green H., Barfield A., Mosley A., Nose H., Babiker A., Rudge P.",17424690,Retrovirology,3, ,0,3,7,10,5,15
2006,Progressive multifocal leukoencephalopathy: Prolonged survival in patients treated with protease inhibitors and cidofovir: A case series [7],"Garvey L., Thomson E.C., Taylor G.P.",2699370,AIDS,20,5,0,1,1,2,2,4
2006,The active ingredient in EMDR: Is it traditional exposure or dual focus of attention?,"Lee C.W., Taylor G., Drummond P.D.",10633995,Clinical Psychology and Psychotherapy,13,2,1,0,4,4,0,5
2005,Quantification of the virus-host interaction in human T lymphotropic virus I infection,"Asquith B., Mosley A.J., Heaps A., Tanaka Y., Taylor G.P., McLean A.R., Bangham C.R.M.",17424690,Retrovirology,2, ,4,4,6,10,3,17
2005,Prevention of perinatal transmission,Taylor G.P.,13573039,Medicine,33,6,0,0,1,1,0,1
2005,Natural history of adult T-cell leukemia/lymphoma and approaches to therapy,"Taylor G.P., Matsuoka M.",9509232,Oncogene,24,39,9,17,17,34,6,49
2005,"Human T-lymphotropic virus, type 1, tax protein triggers microtubule reorientation in the virological synapse","Nejmeddine M., Barnard A.L., Tanaka Y., Taylor G.P., Bangham C.R.M.",219258,Journal of Biological Chemistry,280,33,6,11,11,22,4,32
2005,Engagement of specific T-cell surface molecules regulates cytoskeletal polarization in HTLV-1-infected lymphocytes,"Barnard A.L., Igakura T., Tanaka Y., Taylor G.P., Bangham C.R.M.",64971,Blood,106,3,5,8,11,19,1,25
2005,Ethics of assisted reproduction for HIV concordant couples (multiple letters) [3],"Taylor G.P., Pennings G.",2681161,Human Reproduction,20,5,0,0,1,1,0,1
2005,Measurement of the B0?D*-Ds*+ and Ds+??+ branching fractions,"Aubert B., Grauges-Pous E., Buchanan C., Hartfiel B.L., Weinstein A.J.R., Foulkes S.D., Gary J.W., Long O., Shen B.C., Wang K., Zhang L., Del Re D., Palano A., Hadavand H.K., Hill E.J., MacFarlane D.B., Paar H.P., Rahatlou Sh., Sharma V., Berryhill J.W., Campagnari C., Cunha A., Dahmes B., Pappagallo M., Hong T.M., Lu A., Mazur M.A., Richman J.D., Verkerke W., Beck T.W., Eisner A.M., Flacco C.J., Heusch C.A., Kroseberg J., Pompili A., Lockman W.S., Nesom G., Schalk T., Schumm B.A., Seiden A., Spradlin P., Williams D.C., Wilson M.G., Albert J., Chen E., Chen J.C., Dubois-Felsmann G.P., Dvoretskii A., Hitlin D.G., Narsky I., Piatenko T., Porter F.C., Ryd A., Samuel A., Yang S., Jayatilleke S., Qi N.D., Mancinelli G., Meadows B.T., Sokoloff M.D., Blanc F., Bloom P., Chen S., Ford W.T., Nauenberg U., Olivas A., Rong G., Ruddick W.O., Smith J.G., Ulmer K.A., Chen A., Eckhart E.A., Harton J.L., Soffer A., Toki W.H., Wilson R.J., Wang P., Zeng Q., Spaan B., Altenburg D., Brandt T., Brose J., Dickopp M., Feltresi E., Hauke A., Lacker H.M., Maly E., Zhu Y.S., Nogowski R., Otto S., Petzold A., Schott G., Schubert J., Schubert K.R., Schwierz R., Sundermann J.E., Bernard D., Bonneaud G.R., Eigen G., Grenier P., Schrenk S., Thiebaux Ch., Vasileiadis G., Verderi M., Bard D.J., Clark P.J., Gradl W., Muheim F., Playfer S., Barate R., Ofte I., Xie Y., Andreotti M., Azzolini V., Bettoni D., Bozzi C., Calabrese R., Cibinetto G., Luppi E., Negrini M., Piemontese L., Stugu B., Sarti A., Anulli F., Baldini-Ferroli R., Calcaterra A., De Sangro R., Patteri P., Peruzzi I.M., Piccolo M., Zallo A., Abrams G.S., Buzzo A., Capra R., Contri R., Vetere M.L., Macri M., Monge M.R., Passaggio S., Patrignani C., Robutti E., Santroni A., Borgland A.W., Tosi S., Bailey S., Brandenburg G., Chaisanguanthum K.S., Morii M., Won E., Dubitzky R.S., Langenegger U., Marks J., Uwer U., Breon A.B., Bhimji W., Bowerman D.A., Dauncey P.D., Egede U., Gaillard J.R., Morton G.W., Nash J.A., Nikolich M.B., Taylor G.P., Charles M.J., Brown D.N., Grenier G.J., Mallik U., Crawley H.B., Meyer W.T., Prell S., Rosenberg E.I., Rubin A.E., Yi J., Arnaud N., Button-Shafer J., Davier M., Giroux X., Grosdidier G., Hocker A., Diberder F.L., Lepeltier V., Lutz A.M., Petersen T.C., Pierini M., Plaszczynski S., Cahn R.N., Rodier S., Roudeau P., Schune M.H., Stocchi A., Wormser G., Cheng C.H., Lange D.J., Simani M.C., Wright D.M., Bevan A.J., Charles E., Chavez C.A., Coleman J.P., Forster I.J., Fry J.R., Gabathuler E., Gamet R., George K.A., Hutchcroft D.E., Parry R.J., Payne D.J., Day C.T., Touramanis C., Cormack C.M., Di Lodovico F., Brown C.L., Cowan G., Flack R.L., Flaecher H.U., Green M.G., Jackson P.S., McMahon T.R., Boutigny D., Gill M.S., Ricciardi S., Salvatore F., Winter M.A., Davis C.L., Allison J., Barlow N.R., Barlow R.J., Hodgkinson M.C., Lafferty G.D., Gritsan A.V., Naisbit M.T., Williams J.C., Chen C., Farbin A., Hulsbergen W.D., Jawahery A., Kovalskyi D., Lae C.K., Lillard V., Roberts D.A., Groysman Y., Blaylock G., Dallapiccola C., Hertzbach S.S., Kofler R., Koptchev V.B., Moore T.B., Saremi S., Staengle H., Willocq S., Cowan R., Jacobsen R.G., Koeneke K., Sciolla G., Sekula S.J., Taylor F., Yamamoto R.K., Patel P.M., Robertson S.H., Lazzaro A., Lombardo V., Palombo F., Kadel R.W., Bauer J.M., Cremaldi L., Eschenburg V., Godang R., Kroeger R., Reidy J., Sanders D.A., Summers D.J., Zhao H.W., Brunet S., Kadyk J., Cote D., Taras P., Nicholson H., Cavallo N., De Nardo G., Fabozzi F., Gatto C., Lista L., Monorchio D., Paolucci P., Kerth L.T., Piccolo D., Sciacca C., Baak M., Bulten H., Raven G., Snoek H.L., Wilden L., Jessop C.P., Losecco J.M., Allmendinger T., Kolomensky Yu.G., Benelli G., Gan K.K., Honscheid K., Hufnagel D., Kagan H., Kass R., Pulliam T., Rahimi A.M., Ter-Antonyan R., Wong Q.K., Kukartsev G., Brau J., Frey R., Igonkina O., Lu M., Potter C.T., Sinev N.B., Strom D., Torrence E., Colecchia F., Dorigo A., Lynch G., Margoni M., Morandin M., Posocco M., Rotondo M., Simonetto F., Stroili R., Voci C., Benayoun M., Briand H., Couderc F., Mir L.M., Chauveau J., David P., Buono L.D., De La Vaissiere Ch., Hamon O., John M.J.J., Leruste Ph., Malcles J., Ocariz J., Roos L., Oddone P.J., Therin G., Behera P.K., Gladney L., Guo Q.H., Panetta J., Biasini M., Covarelli R., Pennazzi S., Pioppi M., Angelini C., Orimoto T.J., Batignani G., Bettarini S., Bucci F., Calderini G., Carpinelli M., Forti F., Giorgi M.A., Lusiani A., Marchiori G., Morganti M., Pripstein M., Neri N., Paoloni E., Rama M., Rizzo G., Simi G., Walsh J., Haire M., Judd D., Paick K., Wagoner D.E., Roe N.A., Danielson N., Elmer P., Lau Y.P., Lu C., Olsen J., Smith A.J.S., Telnov A.V., Bellini F., Cavoto G., D'Orazio A., Ronan M.T., Di Marco E., Faccini R., Ferrarotto F., Ferroni F., Gaspero M., Gioi L.L., Mazzoni M.A., Morganti S., Piredda G., Polci F., Wenzel W.A., Tehrani F.S., Voena C., Christ S., Schroder H., Wagner G., Waldi R., Adye T., De Groot N., Franek B., Gopal G.P., Barrett M., Olaiya E.O., Wilson F.F., Aleksan R., Emery S., Gaidot A., Ganzhur S.F., Giraud P.-F., Graziani G., De Monchenault G.H., Kozanecki W., Ford K.E., Legendre M., London G.W., Mayer B., Vasseur G., Yeche Ch., Zito M., Purohit M.V., Weidemann A.W., Wilson J.R., Yumiceva F.X., Harrison T.J., Abe T., Aston D., Bartoldus R., Berger N., Boyarski A.M., Buchmueller O.L., Claus R., Convery M.R., Cristinziani M., Dingfelder J.C., Karyotakis Y., Hart A.J., Dong D., Dorfan J., Dujmic D., Dunwoodie W., Fan S., Field R.C., Glanzman T., Gowdy S.J., Hadig T., Halyo V., Hawkes C.M., Hast C., Hryn'ova T., Innes W.R., Kelsey M.H., Kim P., Kocian M.L., Leith D.W.G.S., Libby J., Luitz S., Luth V., Morgan S.E., Lynch H.L., Marsiske H., Messner R., Mohapatra A.K., Muller D.R., O'Grady C.P., Ozcan V.E., Perazzo A., Perl M., Ratcliff B.N., Watson A.T., Salnikov A.A., Schindler R.H., Schwiening J., Snyder A., Soha A., Stelzer J., Strube J., Su D., Sullivan M.K., Fritsch M., Va'vra J., Wagner S.R., Weaver M., Wisniewski W.J., Wittgen M., Wright D.H., Yarritu A.K., Young C.C., Burchat P.R., Edwards A.J., Goetzen K., Majewski S.A., Petersen B.A., Roat C., Ahmed M., Ahmed S., Alam M.S., Saeed M.A., Saleem M., Wappler F.R., Held T., Bugg W., Krishnamurthy M., Spanier S.M., Eckmann R., Ritchie J.L., Satpathy A., Schwitters R.F., Izen J.M., Kitayama I., Koch H., Lou X.C., Bianchi F., Bona M., Gallo F., Gamba D., Bomben M., Bosisio L., Cartaro C., Cossutti F., Lewandowski B., Della Ricca G., Dittongo S., Grancagnolo S., Lanceri L., Poropat P., Vitale L., Vuagnin G., Martinez-Vidal F., Panvini R.S., Banerjee Sw., Pelizaeus M., Bhuyan B., Brown C.M., Fortin D., Hamano K., Jackson P.D., Kowalewski R., Roney J.M., Sobie R.J., Back J.J., Harrison P.F., Lees J.P., Peters K., Latham T.E., Mohanty G.B., Band H.R., Chen X., Cheng B., Dasu S., Datta M., Eichenbaum A.M., Flood K.T., Graham M., Schroeder T., Hollar J.J., Johnson J.R., Kutter P.E., Li H., Liu R., Mellado B., Mihalyi A., Pan Y., Prepost R., Tan P., Steinke M., Von Wimmersperg-Toeller J.H., Wu J., Wu S.L., Yu Z., Greene M.G., Neal H., Boyd J.T., Burke J.P., Chevalier N., Cottingham W.N., Kelly M.P., Cuhadar-Donszelmann T., Hearty C., Poireau V., Knecht N.S., Mattison T.S., McKenna J.A., Thiessen D., Khan A., Kyberd P., Teodorescu L., Blinov A.E., Blinov V.E., Bukin A.D., Tisserand V., Druzhinin V.P., Golubev V.B., Ivanchenko V.N., Kravchenko E.A., Onuchin A.P., Serednyakov S.I., Skovpen Yu.I., Solodov E.P., Yushkov A.N., Best D., Zghiche A., Bondioli M., Bruinsma M., Chao M., Eschrich I., Kirkby D., Lankford A.J., Mandelkern M., Mommsen R.K., Roethel W., Stoker D.P.",15507998,"Physical Review D - Particles, Fields, Gravitation and Cosmology",71,9,14,10,2,12,1,27
2005,A functional CD8+ cell assay reveals individual variation in CD8+ cell antiviral efficacy and explains differences in human T-lymphotropic virus type 1 proviral load,"Asquith B., Bangham C.R.M., Mosley A.J., Barfield A., Marshall S.E.F., Heaps A., Goon P., Hanon E., Tanaka Y., Taylor G.P.",221317,Journal of General Virology,86,5,8,3,5,8,2,18
2005,International Retrovirology Association brings together scientists and clinicians to bridge discoveries about human T-lymphotropic viruses from the laboratory to clinical trials,"Murphy E., Jacobson S., Franchini G., Taylor G.P., Hanchard B., Morgan O., Lairmore M.",17424690,Retrovirology,2, ,1,0,0,0,0,1
2005,The seroepidemiology of human T-lymphotropic viruses: Types I and II in Europe: A prospective study of pregnant women,"Taylor G.P., Chieco-Bianchi L., Soriano V., Coste J., Ades A.E., Weber J.N., Bodeus M., Courtois F., Pauli G., Del Mistro A., Machuca A., Padua E., Andersson S., Goubau P.",15254135,Journal of Acquired Immune Deficiency Syndromes,38,1,5,4,2,6,2,13
2004,Measurement of W-pair production in e+e- collisions at centre-of-mass energies from 183 to 209 GeV,"Schael S., Merle E., Ciulli V., Focardi E., Parrini G., Antonelli A., Antonelli M., Bencivenni G., Bossi F., Capon G., Cerutti F., Chiarella V., Minard M.-N., Laurelli P., Mannocchi G., Murtas G.P., Passalacqua L., Kennedy J., Lynch J.G., Negus P., O'Shea V., Thompson A.S., Wasserbaech S., Pietrzyk B., Cavanaugh R., Dhamotharan S., Geweniger C., Hanke P., Hepp V., Kluge E.E., Putzer A., Stenzel H., Tittel K., Wunsch M., Trocme B., Beuselinck R., Cameron W., Davies G., Dornan P.J., Girone M., Marinelli N., Nowell J., Rutherford S.A., Sedgbeer J.K., Thompson J.C., Bravo S., White R., Ghete V.M., Girtler P., Kneringer E., Kuhn D., Rudolph G., Bouhova-Thacker E., Bowdery C.K., Clarke D.P., Ellis G., Casado M.P., Finch A.J., Foster F., Hughes G., Jones R.W.L., Pearson M.R., Robertson N.A., Smizanska M., Van Der Aa O., Delaere C., Leibenguth G., Chmeissani M., Lemaitre V., Blumenschein U., Holldorfer F., Jakobs K., Kayser F., Kleinknecht K., Muller A.-S., Renk B., Sander H.-G., Schmeling S., Crespo J.M., Wachsmuth H., Zeitnitz C., Ziegler T., Bonissent A., Coyle P., Curtil C., Ealet A., Fouchez D., Payre P., Tilquin A., Fernandez E., Ragusa F., David A., Dietl H., Ganis G., Huttmann K., Lutjens G., Manner W., Moser H.-G., Settles R., Villegas M., Fernandez-Bosman M., Wolf G., Boucrot J., Callot O., Davier M., Duflot L., Grivaz J.-F., Heusse Ph., Jacholkowska A., Serin L., Veillet J.-J., Barate R., Garrido Ll., Azzurri P., Bagliesi G., Boccali T., Foa L., Giammanco A., Giassi A., Ligabue F., Messineo A., Palla F., Sanguinetti G., Martinez M., Sciaba A., Spagnolo P., Tenchini R., Venturi A., Verdini P.G., Awunor O., Blair G.A., Cowan G., Garcia-Bellido A., Green M.G., Pacheco A., Medcalf T., Misiejuk A., Strong J.A., Teixeira-Dias P., Clifft R.W., Edgecock T.R., Norton P.R., Tomalin I.R., Ward J.J., Bloch-Devaux B., Ruiz H., Boumediene D., Colas P., Fabbro B., Lancon E., Lemaire M.-C., Locci E., Perez P., Rander J., Tuchming B., Vallage B., Colaleo A., Litke A.M., Taylor G., Booth C.N., Cartwright S., Combley F., Hodgson P.N., Lehto M., Thompson L.F., Bohrer A., Brandt S., Creanza D., Grupen C., Hess J., Ngac A., Prange G., Borean C., Giannini G., He H., Putz J., Rothberg J., Armstrong S.R., De Filippis N., Berkelman K., Cranmer K., Ferguson D.P.S., Gao Y., Gonzalez S., Hayes O.J., Hu H., Jin S., Kile J., McNamara III P.A., De Palma M., Nielsen J., Pan Y.B., Von Wimmersperg-Toeller J.H., Wiedenmann W., Wu J., Wu S.L., Wu X., Zobernig G., Dissertori G., Iaselli G., Maggi G., Bruneliere R., Maggi M., Nuzzo S., Ranieri A., Raso G., Ruggieri F., Selvaggi G., Silvestris L., Tempesta P., Tricomi A., Zito G., De Bonis I., Huang X., Lin J., Ouyang Q., Wang T., Xie Y., Xu R., Xue S., Zhang J., Zhang L., Zhao W., Decamp D., Abbaneo D., Barklow T., Buchmuller O., Cattaneo M., Clerbaux B., Drevermann H., Forty R.W., Frank M., Gianotti F., Hansen J.B., Goy C., Harvey J., Hutchcroft D.E., Janot P., Jost B., Kado M., Mato P., Moutoussi A., Ranjard F., Rolandi L., Schlatter D., Jezequel S., Sguazzoni G., Teubert F., Valassi A., Videau I., Badaud F., Dessagne S., Falvard A., Fayolle D., Gay P., Jousset J., Lees J.-P., Michel B., Monteil S., Pallin D., Pascolo J.M., Perret P., Hansen J.D., Hansen J.R., Hansen P.H., Kraan A.C., Nilsson B.S., Martin F., Kyriakis A., Markou C., Simopoulou E., Vayaki A., Zachariadou K., Blondel A., Brient J.-C., Machefert F., Rouge A., Videau H.",14346044,European Physical Journal C,38,2,3,2,0,2,1,6
2004,The role of CTLs in persistent viral infection: Cytolytic gene expression in CD8+ lymphocytes distinguishes between individuals with a high or low proviral load of human T cell lymphotropic virus type,"Vine A.M., Carr L., Martinez-Murillo F., Taylor G.P., Bangham C.R.M., Heaps A.G., Kaftantzi L., Mosley A., Asquith B., Witkover A., Thompson G., Saito M., Goon P.K.C.",221767,Journal of Immunology,173,8,8,3,9,12,2,22
2004,"In the shadow of HIV-HTLV infection in England and Wales, 1987-2001.","Payne L.J., Tosswill J.H., Taylor G.P., Zuckerman M., Simms I.",14621843,Communicable disease and public health / PHLS,7,3,0,0,0,0,1,1
2004,Human T Cell Lymphotropic Virus (HTLV) type-1-specific CD8+ T cells: Frequency and immunodominance hierarchy,"Goon P.K.C., Taylor G.P., Bangham C.R.M., Biancardi A., Fast N., Igakura T., Hanon E., Mosley A.J., Asquith B., Gouldl K.G., Marshall S.",221899,Journal of Infectious Diseases,189,12,8,3,2,5,2,15
2004,Clinical implications of stopping nevirapine-based antiretroviral therapy: Relative pharmacokinetics and avoidance of drug resistance,"Mackie N.E., Fidler S., Tamm N., Clarke J.R., Back D., Weber J.N., Taylor G.P.",14642662,HIV Medicine,5,3,14,10,1,11,4,29
2004,HIV evolution: CTL escape mutation and reversion after transmission,"Leslie A.J., Prado J.G., Altfeld M., Dixon C., Ramduth D., Jeena P., Thomas S.A., St. John A., Roach T.A., Kupfer B., Pfafferott K.J., Luzzi G., Edwards A., Taylor G., Lyall H., Tudor-Williams G., Novelli V., Martinez-Picado J., Kiepiela P., Walker B.D., Goulder P.J.R., Chetty P., Draenert R., Addo M.M., Feeney M., Tang Y., Holmes E.C., Allen T.",10788956,Nature Medicine,10,3,122,67,56,123,37,282
2004,Human T Cell Lymphotropic Virus Type I (HTLV-I)-Specific CD4+ T Cells: Immunodominance Hierarchy and Preferential Infection with HTLV-I,"Goon P.K.C., Weber J.N., Bangham C.R.M., Igakura T., Hanon E., Mosley A.J., Barfield A., Barnard A.L., Kaftantzi L., Tanaka Y., Taylor G.P.",221767,Journal of Immunology,172,3,16,2,0,2,3,21
2003,Drug resistance is uncommon in pregnant women with low viral loads taking zidovudine monotherapy to prevent perinatal HIV transmission,"Larbalestier N., Rice P., Taylor G.P., De Ruiter A., Mullen J., O'Shea S., Cottam F., Sabin C.A., Chrystie I.L., Welch J., Zuckerman M., Hay P.",2699370,AIDS,17,18,4,3,5,8,0,12
2003,Activation of interleukin-13 expression in T cells from HTLV-1-infected individuals and in chronically infected cell lines,"Chung H.-K., Young H.A., Goon P.K.C., Heidecker G., Princler G.L., Shimozato O., Taylor G.P., Bangham C.R.M., Derse D.",64971,Blood,102,12,10,4,3,7,0,17
2003,High circulating frequencies of tumor necrosis factor alpha- and interleukin-2-secreting human T-lymphotropic virus type 1 (HTLV-1)-specific CD4+ T cells in patients with HTLV-1-associated neurological disease,"Goon P.K.C., Igakura T., Hanon E., Mosley A.J., Asquith B., Gould K.G., Taylor G.P., Weber J.N., Bangham C.R.M.",0022538X,Journal of Virology,77,17,11,2,0,2,1,14
2003,"Low frequency of CD94/NKG2A+ T lymphocytes in patients with HTLV-1-associated myelopathy/tropical spastic paraparesis, but not in asymptomatic carriers","Saito M., Weber J.N., Osame M., Bangham C.R.M., Braud V.M., Goon P., Hanon E., Taylor G.P., Saito A., Eiraku N., Tanaka Y., Usuku K.",64971,Blood,102,2,7,1,0,1,0,8
2003,View 2: Assisted conception in couples with HIV infection,Taylor G.P.,13684973,Sexually Transmitted Infections,79,3,2,0,0,0,0,2
