2007,"Grief and post-traumatic growth in parents 2-6 years after the death of their extremely premature baby","Buchi S., Sensky T., Morgeli H., Schnyder U., Jenewein J., Hepp U., Jina E., Neuhaus R., Fauchere J.-C., Bucher H.U.",00333190,"Psychotherapy and Psychosomatics",76, 2,12,2,2,1,5,0,17
2006,"Anxiety in patients who have had a myocardial infarction: The maintaining role of perceived physical sensations and causal attributions","Ratcliffe D., MacLeod A., Sensky T.",13524658,"Behavioural and Cognitive Psychotherapy",34, 2,0,0,0,0,0,0,0
2005,"The effectiveness of cognitive therapy for schizophrenia: What can we learn from the meta-analyses?","Sensky T.",00333190,"Psychotherapy and Psychosomatics",74, 3,10,1,1,1,3,0,13
2005,"'Referral into a void': Opinions of general practitioners and others on single point of access to mental health care","Raine R., Carter S., Sensky T., Black N.",01410768,"Journal of the Royal Society of Medicine",98, 4,2,1,2,0,3,0,5
2004,"General practitioners' perceptions of chronic fatigue syndrome and beliefs about its management, compared with irritable bowel syndrome: Qualitative study","Raine R., Carter S., Sensky T., Black N.",09598146,"British Medical Journal",328, 7452,31,6,3,1,10,0,41
2004,"Psychological functioning in parents of children undergoing elective cardiac surgery","Wray J., Sensky T.",10479511,"Cardiology in the Young",14, 2,9,4,0,1,5,0,14
2004,"Educational interventions improved some quality of life outcomes in prostate cancer","Lepore S.J., Helgeson V.S., Eton D.T., Sensky T.",13565524,"Evidence-Based Medicine",9, 2,0,0,0,0,0,0,0
2003,"Does patient cognition predict time off from work after life-threatening accidents?","Schnyder U., Moergeli H., Klaghofer R., Sensky T., Buchi S.",0002953X,"American Journal of Psychiatry",160, 11,10,5,2,2,9,0,19
2003,"Evaluation of the Joint Universities Multiprofessional Programme","Young G., Mitchell F., Sensky T., Rhodes M.",13561820,"Journal of Interprofessional Care",17, 4,2,0,0,0,0,0,2
2003,"Principles of nidotherapy in the treatment of persistent mental and personality disorders","Tyrer P., Sensky T., Mitchard S.",00333190,"Psychotherapy and Psychosomatics",72, 6,17,5,4,0,9,0,26
2003,"Letter to the editor (multiple letters) [2]","Huibers M., Knipschild P., Sensky T., Scott J.",00332917,"Psychological Medicine",33, 6,0,0,0,0,0,0,0
2003,"The utility of systematic reviews: The case of psychological debriefing after trauma","Sensky T.",00333190,"Psychotherapy and Psychosomatics",72, 4,10,1,0,0,1,0,11
2003,"Patterns of antipsychotic and anticholinergic prescribing for hospital inpatients","Paton C., Lelliott P., Harrington M., Okocha C., Sensky T., Duffett R.",02698811,"Journal of Psychopharmacology",17, 2,25,3,5,1,9,0,34
2003,"Testing for the integrity of blinding in clinical trials: How valid are forced choice paradigms?","Sharpe L., Ryan B., Allard S., Sensky T.",00333190,"Psychotherapy and Psychosomatics",72, 3,9,3,0,0,3,0,12
2003,"Review: Cognitive behaviour therapy and behaviour therapy may be effective for back pain and chronic fatigue syndrome, and antidepressants may be effective for irritable bowel syndrome","Raine R., Haines A., Sensky T.",13565524,"Evidence-Based Medicine",8, 3,0,0,0,0,0,0,0
2003,"Long-term efficacy of a cognitive behavioural treatment from a randomized controlled trial for patients recently diagnosed with rheumatoid arthritis","Sharpe L., Sensky T., Timberlake N., Ryan B., Allard S.",14620324,"Rheumatology",42, 3,26,3,3,1,7,0,33
2003,"Methodological aspects of randomized controlled trials of psychotherapy in primary care","Scott J., Sensky T.",00332917,"Psychological Medicine",33, 2,11,3,0,0,3,0,14
2002,"Preliminary validation of PRISM (Pictorial Representation of Illness and Self Measure) - A brief method to assess suffering","Buchi S., Buddeberg C., Klaghofer R., Russi E.W., Brandli O., Schlosser C., Stoll T., Villiger P.M., Sensky T.",00333190,"Psychotherapy and Psychosomatics",71, 6,19,3,7,2,12,0,31
2002,"Systematic review of mental health interventions for patients with common somatic symptoms: Can research evidence from secondary care be extrapolated to primary care?","Raine R., Haines A., Sensky T., Hutchings A., Larkin K., Black N.",09598146,"British Medical Journal",325, 7372,56,7,6,1,14,0,70
2002,"The results of a multi-centre audit of the prescribing of antipsychotic drugs for in-patients in the UK","Harrington M., Lelliott P., Paton C., Okocha C., Duffett R., Sensky T.",09556036,"Psychiatric Bulletin",26, 11,38,3,6,0,9,0,47
2002,"The influence of patient variables on polypharmacy and combined high dose of antipsychotic drugs prescribed for in-patients","Lelliott P., Paton C., Harrington M., Konsolaki M., Sensky T., Okocha C.",09556036,"Psychiatric Bulletin",26, 11,28,9,6,0,15,0,43
2002,"Variation between services in polypharmacy and combined high dose of antipsychotic drugs prescribed for in-patients","Harrington M., Lelliott P., Paton C., Konsolaki M., Sensky T., Okocha C.",09556036,"Psychiatric Bulletin",26, 11,17,0,2,0,2,0,19
2002,"Knowledge management","Sensky T.",13555146,"Advances in Psychiatric Treatment",8, 5,11,0,0,0,0,0,11
2002,"Withdrawal of life sustaining treatment","Sensky T.",09598146,"British Medical Journal",325, 7357,7,1,0,0,1,0,8
2002,"All you need is cognitive behaviour therapy? Critical appraisal of evidence base must be understood and respected.","Sensky T., Scott J.",14685833,"BMJ (Clinical research ed.)",324, 7352,0,0,0,0,0,0,0
2002,"All you need is cognitive behaviour therapy? [1] (multiple letters)","Sensky T., Scott J., Darnley B., Blenkiron P., Tonks A.",09598146,"British Medical Journal",324, 7352,1,0,0,0,0,0,1
2002,"Evaluating new treatments in psychiatry: The potential value of combining qualitative and quantitative research methods","Crawford M.J., Weaver T., Rutter D., Sensky T., Tyrer P.",09540261,"International Review of Psychiatry",14, 1,12,1,0,0,1,0,13
2002,"Psychological well-being in rheumatoid arthritis: Relationship to 'disease' variables and affective disturbance","Mangelli L., Gribbin N., Buchi S., Allard S., Sensky T.",00333190,"Psychotherapy and Psychosomatics",71, 2,20,1,1,0,2,0,22
2001,"The course of depression in recent onset rheumatoid arthritis: The predictive role of disability, illness perceptions, pain and coping","Sharpe L., Sensky T., Allard S.",00223999,"Journal of Psychosomatic Research",51, 6,44,6,8,2,16,0,60
2001,"Characteristics of handicap for patients with recent onset rheumatoid arthritis: The validity of the Disease Repercussion Profile","Sharpe L., Sensky T., Brewin C.R., Allard S.",14620324,"Rheumatology",40, 10,7,0,0,0,0,0,7
2001,"Congenital heart disease and cardiac surgery in childhood: Effects on cognitive function and academic ability","Wray J., Sensky T.",13556037,"Heart",85, 6,35,5,3,0,8,0,43
2001,"How different from pacemaker patients are recipients of implantable cardioverter-defibrillators with respect to psychosocial adaptation, affective disorders, and quality of life?","Duru F., Mattmann H., Candinas R., Buchi S., Klaghofer R., Buddeberg C., Sensky T.",13556037,"Heart",85, 4,52,7,5,0,12,0,64
2001,"The role of cognitive behavioural therapy in facilitating adaptation to illness in rheumatoid arthritis: A case series","Sharpe L., Sensky T., Timberlake N., Allard S., Brewin C.R.",13524658,"Behavioural and Cognitive Psychotherapy",29, 3,4,0,0,1,1,0,5
2001,"Prediction of depression in systemic lupus erythematosus patients using SF-36 Mental Health scores","Stoll T., Kauer Y., Buchi S., Klaghofer R., Sensky T., Villiger P.M.",14620324,"Rheumatology",40, 6,24,6,5,1,12,0,36
2001,"A blind, randomized, controlled trial of cognitive-behavioural intervention for patients with recent onset rheumatoid arthritis: Preventing psychological and physical morbidity","Sharpe L., Sensky T., Timberlake N., Ryan B., Brewin C.R, Allard S.",03043959,"Pain",89, 2-3,63,11,8,3,22,0,85
2000,"Antonovsky's Sense of Coherence: Trait or state?","Schnyder U., Buchi S., Sensky T., Klaghofer R.",00333190,"Psychotherapy and Psychosomatics",69, 6,73,8,17,1,26,0,99
2000,"Patient determinants of mental health interventions in primary care","Raine R., Lewis L., Sensky T., Hutchings A., Hirsch S., Black N.",09601643,"British Journal of General Practice",50, 457,11,1,3,0,4,0,15
2000,"PRISM (Pictorial Representation of Illness and Self Measure) - A novel visual method to assess the global burden of illness in patients with systemic lupus erythematosus","Buchi S., Villiger P., Kauer Y., Klaghofer R., Sensky T., Stoll T.",09612033,"Lupus",9, 5,12,0,3,0,3,0,15
2000,"A randomized controlled trial of cognitive-behavioral therapy for persistent symptoms in schizophrenia resistant to medication","Sensky T., Turkington D., Kingdon D., Scott J.L., Scott J., Siddle R., O'Carroll M., Barnes T.R.E.",0003990X,"Archives of General Psychiatry",57, 2,279,22,15,10,47,0,326
1999,"PRISM: Pictorial representation of illness and self measure: A brief nonverbal measure of illness impact and therapeutic aid in psychosomatic medicine","Buchi S., Sensky T.",00333182,"Psychosomatics",40, 4,11,3,4,1,8,0,19
1999,"Controlled study of preschool development after surgery for congenital heart disease","Wray J., Sensky T.",00039888,"Archives of Disease in Childhood",80, 6,25,1,1,0,2,0,27
1999,"Sense of coherence - A mediator between disability and handicap?","Schnyder U., Buchi S., Morgeli H., Sensky T., Klaghofer R.",00333190,"Psychotherapy and Psychosomatics",68, 2,42,2,7,1,10,0,52
1998,"Psychosocial predictors of long-term success of in-patient pulmonary rehabilitation of patients with COPD","Buchi S., Villiger B., Sensky T., Schwarz F., Wolf C., Buddeberg C.",09348387,"Pneumologie",52, 1,0,0,0,0,0,0,0
1998,"Psychosocial predictors of long-term success of inpatient pulmonary rehabilitation of patients with COPD","Buchi St., Villiger B., Sensky T., Schwarz F., Wolf Ch., Buddeberg C.",09348387,"Pneumologie",52, 1,0,0,0,0,0,0,0
1998,"Pictorial representation of illness and self measure (PRISM) - A simple visualisation method for research and practice | Pictorial Representation of illness and Self Measure (PRISM) - Eine einfache Visualisierungsmethode für Forschung und Praxis","Buchi S., Sensky T.",10166262,"Verhaltenstherapie",8, 2,4,2,0,0,2,0,6
1998,"How does the intervention of cardiac surgery affect the self-perception of children with congenital heart disease?","Wray J., Sensky T.",03051862,"Child: Care, Health and Development",24, 1,21,3,2,0,5,0,26
1998,"Attributions about common bodily sensations among primary care patients: Associations with consultation or hypochondriasis | Attribution von Körperempfindungen bei Patienten in der medizinischen Erstversorgung: Zusammenhänge mit der Häufigkeit von Arztbesuchen und mit Hypochondrie","Sensky T., Haynes C., Rigby M., MacLeod A.",10166262,"Verhaltenstherapie",8, 2,2,0,0,0,0,0,2
1998,"National trends in behavioral sciences (1981-1996)","Fava G.A., Montanari A., Bach M., Balon R., Hoschl C., Christodoulou G.N., Cottraux J., Emmelkamp P.M.G., Fukunishi I., Hoglend P., Joukamaa M., Nieminen P., Kotler M., Montada L., Pincus H., Romans S., Schrader G., Sensky T., Vieta E., Wasserman D.",00333190,"Psychotherapy and Psychosomatics",67, 6,7,0,0,0,0,0,7
1998,"Brief, non-directive psychotherapy and GP care both improved patients' emotional difficulties: Commentary","Sensky T.",13620347,"Evidence-Based Mental Health",1, 3,0,0,0,0,0,0,0
1998,"Graphic representation of illness: A novel method of measuring patients' perceptions of the impact of illness","Buchi S., Sensky T., Sharpe L., Timberlake N.",00333190,"Psychotherapy and Psychosomatics",67, 4-5,23,1,7,0,8,0,31
1998,"Sense of coherence - A protective factor for depression in rheumatoid arthritis","Buchi S., Sensky T., Allard S., Stoll T., Schnyder U., Klaghofer R., Buddeberg C.",0315162X,"Journal of Rheumatology",25, 5,42,2,4,2,8,0,50
1998,"Prospective study into factors associated with aggressive incidents in psychiatric acute admission wards","Kho K., Sensky T., Mortimer A., Corcos C.",00071250,"British Journal of Psychiatry",172, ,27,1,1,1,3,0,30
1998,"Attributions about common bodily sensations: Their associations with hypochondriasis and anxiety","MacLeod A.K., Haynes C., Sensky T.",00332917,"Psychological Medicine",28, 1,25,4,4,0,8,0,33
1997,"Causal attributions in physical illness.","Sensky T.",00223999,"Journal of psychosomatic research",43, 6,37,2,1,1,4,0,41
1997,"Psychosocial predictors of long-term success of in-patient pulmonary rehabilitation of patients with COPD","Buchi St., Villiger B., Sensky T., Schwarz F., Wolf Ch., Buddeberg C.",09031936,"European Respiratory Journal",10, 6,27,2,0,0,2,0,29
1996,"The development of an interview to assess psychosocial aspects of physical illness in routine clinical practice: the psychosocial aspects of diabetes schedule","Sensky T., Meadows K., Wise P., Thompson C.",10498931,"International Journal of Methods in Psychiatric Research",6, 2,2,0,0,0,0,0,2
1996,"Causal attributions about common somatic sensations among frequent general practice attenders","Sensky T., Macleod A.K., Rigby M.F.",00332917,"Psychological Medicine",26, 3,47,4,0,0,4,0,51
1996,"Psychosocial and cognitive factors associated with adherence to dietary and fluid restriction regimens by people on chronic haemodialysis","Sensky T., Leger C., Gilmour S.",00333190,"Psychotherapy and Psychosomatics",65, 1,37,4,2,1,7,0,44
1996,"Eliciting lay beliefs across cultures: Principles and methodology","Sensky T.",00070920,"British Journal of Cancer",74, 29,16,0,0,0,0,0,16
1995,"Diagnostic criteria for use in psychosomatic research.","Fava G.A., Freyberger H.J., Bech P., Christodoulou G., Sensky T., Theorell T., Wise T.N.",00333190,"Psychotherapy and Psychosomatics",63, 1,121,11,7,2,20,0,141
1994,"Somatization: syndromes or processes?","Sensky T.",00333190,"Psychotherapy and Psychosomatics",61, 1-2,11,0,2,0,2,0,13
1993,"Psychosomatic aspects of end-stage renal failure","Sensky T.",00333190,"Psychotherapy and Psychosomatics",59, 2,23,0,0,0,0,0,23
1993,"Asking patients about their treatment [9]","Lawrence K., Jenkinson C., Coulter A., Ziebland S., Shanks J., Sensky T., Catalan J.",09598146,"British Medical Journal",306, 6869,0,0,0,0,0,0,0
1992,"Asking patients about their treatment","Sensky T., Catalan J.",09598146,"British Medical Journal",305, 6862,27,4,0,0,4,0,31
1991,"Compulsory psychiatric treatment in the community. I. A controlled study of compulsory community treatment with extended leave under the Mental Health Act: Special characteristics of patients treated and impact of treatment","Sensky T., Hughes T., Hirsch S.",00071250,"British Journal of Psychiatry",158, ,33,0,0,1,1,0,34
1991,"Compulsory psychiatric treatment in the community. II. A controlled study of patients whom psychiatrists would recommended for compulsory treatment in the community","Sensky T., Hughes T., Hirsch S.",00071250,"British Journal of Psychiatry",158, ,5,2,0,0,2,0,7
1991,"Glycaemic control in adolescents with type I diabetes and parenteral expressed emotion","Stevenson K., Sensky T., Petty R.",00333190,"Psychotherapy and Psychosomatics",55, 2-4,18,1,0,0,1,0,19
1991,"Diabetologists' assessments of their outpatients' emotional state and health beliefs: Accuracy and possible sources of bias","Petty R., Sensky T., Mahler R.",00333190,"Psychotherapy and Psychosomatics",55, 2-4,3,1,0,0,1,0,4
1991,"A clinician's guide to setting up audit","Ellis B.W., Sensky T.",09598146,"British Medical Journal",302, 6778,8,0,0,0,0,0,8
1990,"Patients' reactions to illness","Sensky T.",02670623,"British Medical Journal",300, 6725,30,0,0,1,1,0,31
1989,"Cognitive therapy with patients with chronic physical illness","Sensky T.",00333190,"Psychotherapy and Psychosomatics",52, 1-3,6,0,0,1,1,0,7
1989,"Psychiatric morbidity in renal transplantation","Sensky T.",00333190,"Psychotherapy and Psychosomatics",52, 1-3,26,0,1,0,1,0,27
1989,"Type A behaviour pattern and glycaemic control in type I diabetes","Sensky T., Petty R.",00333190,"Psychotherapy and Psychosomatics",52, 1-3,3,0,0,0,0,0,3
1989,"Dilemmas faced by dialysis patients in search of a living-related kidney donor","Sensky T., Mee A.D.",00902934,"Dialysis and Transplantation",18, 5,1,0,0,0,0,0,1
1989,"Physicians' perceptions of anxiety and depression among their outpatients: Relationships with patients and doctors' satisfaction with their interviews","Sensky T., Dennehy M., Gilbert A., Begent R., Newlands E., Rustin G., Thompson C.",00358819,"Journal of the Royal College of Physicians of London",23, 1,16,0,0,0,0,0,16
1989,"The development and evaluation of a method of teaching liaison psychiatry to medical students","Sensky T., Thompson C.",03080110,"Medical Education",23, 2,4,0,0,0,0,0,4
1988,"Measurement of the quality of life in end-stage renal failure","Sensky T., Lindblad A.S., Novak J.W., Nolph K.D.",00284793,"New England Journal of Medicine",319, 20,6,0,0,0,0,0,6
1988,"Phototherapy and its mechanisms of action in seasonal affective disorder","Isaacs G., Stainer D.S., Sensky T.E., Moor S., Thompson C.",01650327,"Journal of Affective Disorders",14, 1,13,0,0,0,0,0,13
1987,"Refining thinking on type A behaviour and coronary heart disease","Sensky T.",09598146,"British Medical Journal",295, 6590,0,0,0,0,0,0,0
1985,"Referrals to psychiatrists in a general hospital. Comparison of two methods of liaison psychiatry: Preliminary communication","Sensky T., Cundy T., Greer S., Pettingale K.",01410768,"Journal of the Royal Society of Medicine",78, 6,7,0,0,0,0,0,7
1983,"Cannabinoids as antiemetics","Sensky T., Baldwin A., Pettingale K.W.",09598146,"British Medical Journal",286, 6367,0,0,0,0,0,0,0
