,"Author: Ashton-Rickardt, Philip G.",,,,,,,,,,,
1994,"A differential-avidity model for T-cell selection","Ashton-Rickardt P.G., Tonegawa S.",01675699,"Immunology Today",15, 8,179,4,6,10,0,189
1994,"A differential-avidity model for T-cell selection","Ashton-Rickardt P.G., Tonegawa S.",14714906,"Trends in Immunology",15, 8,0,0,3,3,0,3
1994,"Positive selection of self- and alloreactive CD8+ T cells in Tap-1 mutant mice","Aldrich C.J., Ljunggren H.-G., Van Kaer L., Ashton-Rickardt P.G., Tonegawa S., Forman J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",91, 14,26,0,0,0,0,26
1994,"Evidence for a differential avidity model of T cell selection in the thymus","Ashton-Rickardt P.G., Bandeira A., Delaney J.R., Van Kaer L., Pircher H.-P., Zinkernagel R.M., Tonegawa S.",00928674,"Cell",76, 4,454,7,9,16,3,473
1994,"Peptide length and sequence specificity of the mouse TAP1/TAP2 translocator","Schumacher T.N.M., Ploegh H.L., Kantesaria D.V., Heemels M.-T., Ashton-Rickardt P.G., Shepherd J.C., Fruh K., Yang Y., Peterson P.A., Tonegawa S.",00221007,"Journal of Experimental Medicine",179, 2,119,0,3,3,0,122
1994,"Positive selection of self- and alloreactive CD8+ T cells in Tap-1 mutant mice","Aldrich C.J., Ljunggren H.G., Van Kaer L., Ashton-Rickardt P.G., Tonegawa S., Forman J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",91, 14,16,1,1,2,0,18
1993,"The role of peptide in the positive selection of CD8+T cells in the thymus","Ashton-Rickardt P.G.",01656090,"Thymus",22, 2,5,0,1,1,0,6
1993,"Incorrect attribution of peptide source","Shepherd J.C., Schumacher T.N.M., Ashton-Rickardt P.G., Imaeda S., Ploegh H.L., Janeway Jr. C.A., Tonegawa S.",00928674,"Cell",75, 4,0,0,0,0,0,0
1993,"Peptide contributes to the specificity of positive selection of CD8+ T cells in the thymus","Ashton-Rickardt P.G., Van Kaer L., Schumacher T.N.M., Ploegh H.L., Tonegawa S.",00928674,"Cell",73, 5,159,2,2,4,0,163
1993,"TAP1-dependent peptide translocation in vitro is ATP dependent and peptide selective","Shepherd J.C., Schumacher T.N.M., Ashton-Rickardt P.G., Imaeda S., Ploegh H.L., Janeway Jr. C.A., Tonegawa S.",00928674,"Cell",74, 3,180,4,3,7,0,187
1993,"Incorrect attribution of peptide source","Eisen H.N., Ploegh H.L., Janeway Jr. C.A., Tonegawa S., Tsomides T., Udaka K., Walden P., Fukusen N., Shepherd J.C., Schumacher T.N.M., Ashton-Rickardt P.G., Imaeda S.",00928674,"Cell",75, 4,0,0,0,0,0,0
1993,"Repertoire-determining role of peptide in the positive selection of CD8+ T cells","Ashton-Rickardt P.G., Van Kaer L., Schumacher T.N.M., Ploegh H.L., Tonegawa S.",01052896,"Immunological Reviews",, 135,6,0,0,0,0,6
1992,"TAP1 mutant mice are deficient in antigen presentation, surface class I molecules, and CD4-8+ T cells","Van Kaer L., Ashton-Rickardt P.G., Ploegh H.L., Tonegawa S.",00928674,"Cell",71, 7,335,8,17,25,2,362
1991,"MCC, a candidate familial polyposis gene in 5q.21, shows frequent allele loss in colorectal and lung cancer","Ashton-Rickardt P.G., White R., Nakamura Y., Wyllie A.H., Bird C.C., Dunlop M.G., Steel C.M., Morris R.G., Piris J., Romanowski P., Wood R.",09509232,"Oncogene",6, 10,29,1,1,2,0,31
1989,"Mutants of the hepatitis B virus surface antigen that define some antigenically essential residues in the immunodominant a region","Ashton-Rickardt P.G., Murray K.",01466615,"Journal of Medical Virology",29, 3,22,3,1,4,1,27
1989,"Mutations that change the immunological subtype of hepatitis B virus surface antigen and distinguish between antigenic and immunogenic determination","Ashton-Rickardt P.G., Murray K.",01466615,"Journal of Medical Virology",29, 3,15,3,0,3,0,18
1989,"Genetic engineering applied to the development of vaccines.","Murray K., Stahl S., Ashton-Rickardt P.G.",09628436,"Philosophical transactions of the Royal Society of London. Series B: Biological sciences",324, 1224,0,0,0,0,0,0
1989,"High frequency of APC loss in sporadic colorectal carcinoma due to breaks clustered in 5q21-22","Ashton-Rickardt P.G., Dunlop M.G., Nakamura Y., Morris R.G., Purdie C.A., Steel C.M., Evans H.J., Bird C.C., Wyllie A.H.",09509232,"Oncogene",4, 10,21,1,1,2,2,25
