,"Author: Culley, Fiona J.",,,,,,,,,,,
2000,"Managing risk in tissue viability. Part 2.","Culley F.",09547762,"Nursing times",96, 45,0,0,0,0,0,0
2000,"Managing risk in tissue viability.","Culley F.",09547762,"Nursing times",96, 36,0,0,0,0,0,0
2000,"C-reactive protein binds to phosphorylated carbohydrates","Culley F.J., Bodman-Smith K.B., Ferguson M.A.J., Nikolaev A.V., Shantilal N., Raynes J.G.",09596658,"Glycobiology",10, 1,12,0,2,2,0,14
1998,"Nursing aspects of pressure sore prevention and therapy.","Culley F.",09660461,"British journal of nursing (Mark Allen Publishing)",7, 15,1,1,0,1,0,2
1998,"Tissue viability: the facts and the law.","Culley F.",09547762,"Nursing times",94, 24,0,0,0,0,0,0
1997,"C-reactive protein increases C3 deposition on Leishmania donovani promastigotes in human serum","Culley F.J., Thomson M., Raynes J.G.",03005127,"Biochemical Society Transactions",25, 2,5,0,0,0,0,5
1997,"Patient advocacy in relation to tissue viability services.","Culley F.",09690700,"Journal of wound care",6, 1,0,0,0,0,0,0
1996,"T helper type-1 (Th1)/Th2 profiles of peripheral blood mononuclear cells (PBMC); responses to antigens of Chlamydia trachomatis in subjects with severe trachomatous scarring","Holland M.J., Bailey R.L., Conway D.J., Culley F., Miranpuri G., Byrne G.I., Whittle H.C., Mabey D.C.W.",00099104,"Clinical and Experimental Immunology",105, 3,57,3,6,9,4,70
1996,"C-reactive protein binds to a novel ligand on Leishmania donovani and increases uptake into human macrophages","Culley F.J., Harris R.A., Kaye P.M., McAdam K.P.W.J., Raynes J.G.",00221767,"Journal of Immunology",156, 12,32,1,3,4,1,37
1996,"Autoantibodies against bactericidal/permeability-increasing protein in patients with cystic fibrosis","Zhao M.H., Jayne D.R.W., Ardiles L.G., Culley F., Hodson M.E., Lockwood C.M.",14602725,"QJM - Monthly Journal of the Association of Physicians",89, 4,57,8,2,10,4,71
