,"Author: Bundy, Jacob G.",,,,,,,,,,,
2004,"Environmental metabonomics: Applying combination biomarker analysis in earthworms at a metal contaminated site","Bundy J.G., Spurgeon D.J., Svendsen C., Hankard P.K., Weeks J.M., Osborn D., Lindon J.C., Nicholson J.K.",09639292,"Ecotoxicology",13, 8,10,6,10,16,12,38
2004,"Combined microbial community level and single species biosensor responses to monitor recovery of oil polluted soil","Bundy J.G., Paton G.I., Campbell C.D.",00380717,"Soil Biology and Biochemistry",36, 7,6,2,4,6,7,19
2003,"Multivariate metabolic profiling using 1H nuclear magnetic resonance spectroscopy of freeze-tolerant and freeze-intolerant earthworms exposed to frost","Bundy J.G., Ramlov H., Holmstrup M.",01432044,"Cryo-Letters",24, 6,3,3,1,4,4,11
2003,"Limitations of a cosolvent for ecotoxicity testing of hydrophobic compounds","Bundy J.G., Maciel H., Cronin M.T.D., Paton G.I.",00074861,"Bulletin of Environmental Contamination and Toxicology",70, 1,1,1,1,2,1,4
2002,"Metabonomic assessment of toxicity of 4-fluoroaniline, 3,5-difluoroaniline and 2-fluoro-4-methylaniline to the earthworm Eisenia veneta (rosa): Identification of new endogenous biomarkers","Bundy J.G., Trauger S.A., Speir P., Sanders I., Lindon J.C., Nicholson J.K., Tang H., Lenz E.M., Bailey N.J., Gavaghan C.L., Svendsen C., Spurgeon D., Hankard P.K., Osborn D., Weeks J.M.",07307268,"Environmental Toxicology and Chemistry",21, 9,18,2,5,7,7,32
2002,"Metabolism of 4-fluoroaniline and 4-fluorobiphenyl in the earthworm Eisenia veneta characterized by high-resolution NMR spectroscopy with directly coupled HPLC-NMR and HPLC-MS","Bundy J.G., Lenz E.M., Osborn D., Weeks J.M., Lindon J.C., Nicholson J.K.",00498254,"Xenobiotica",32, 6,5,1,3,4,2,11
2002,"Earthworm species of the genus Eisenia can be phenotypically differentiated by metabolic profiling","Bundy J.G., Spurgeon D.J., Svendsen C., Hankard P.K., Osborn D., Lindon J.C., Nicholson J.K.",00145793,"FEBS Letters",521, 1-3,24,5,7,12,1,37
2002,"Microbial communities in different soil types do not converge after diesel contamination","Bundy J.G., Paton G.I., Campbell C.D.",13645072,"Journal of Applied Microbiology",92, 2,23,8,4,12,7,42
2001,"Comparison of response of six different luminescent bacterial bioassays to bioremediation of five contrasting oils","Bundy J.G., Campbell C.D., Paton G.I.",14640325,"Journal of Environmental Monitoring",3, 4,8,2,2,4,2,14
2001,"An NMR-based metabonomic approach to the investigation of coelomic fluid biochemistry in earthworms under toxic stress","Bundy J.G., Osborn D., Weeks J.M., Lindon J.C., Nicholson J.K.",00145793,"FEBS Letters",500, 1-2,15,5,7,12,6,33
2001,"Development of QSARs to investigate the bacterial toxicity and biotransformation potential of aromatic heterocylic compounds","Bundy J.G., Morriss A.W.J., Durham D.G., Campbell C.D., Paton G.I.",00456535,"Chemosphere",42, 8,6,3,3,6,3,15
2000,"Investigating the specificity of regulators of degradation of hydrocarbons and hydrocarbon-based compounds using structure-activity relationships","Bundy J.G., Durham D.G., Paton G.I., Campbell C.D.",09239820,"Biodegradation",11, 1,2,0,1,1,0,3
1999,"Assessing crude oil bioremediation using catabolic and metabolic microbial biosensors","Bundy J.G., Paton G.I.",,"Battelle Memorial Institute International In Situ and On-Site Bioreclamation Symposium Proceedings",5, ,0,0,0,0,0,0
1997,"Application of bioluminescence-based microbial biosensors to the ecotoxicity assessment of organotins","Bundy J.G., Wardell J.L., Campbell C.D., Killham K., Paton G.I.",02668254,"Letters in Applied Microbiology",25, 5,22,4,1,5,2,29
