,"Author: Shaunak, Sunil",,,,,,,,,,,
1999,"Reversible alterations in brain metabolites during therapy for disseminated nocardiosis using proton magnetic resonance spectroscopy","Marcus C.D., Taylor-Robinson S.D., Cox I.J., Sargentoni J., Shaunak S.",08857490,"Metabolic Brain Disease",14, 4,3,0,0,0,0,3
1999,"Anti-Kaposi's sarcoma and antiangiogenic activities of sulfated dextrins","Thornton M., Barkley L., Mason J.C., Shaunak S.",00664804,"Antimicrobial Agents and Chemotherapy",43, 10,4,1,0,1,0,5
1999,"Pericardial, retroperitoneal, and pleural fibrosis induced by pergolide","Shaunak S., Wilkins A., Pilling J.B., Dick D.J.",00223050,"Journal of Neurology Neurosurgery and Psychiatry",66, 1,57,6,5,11,4,72
1998,"1H MR spectroscopy of the brain in HIV-1-seropositive subjects: Evidence for diffuse metabolic abnormalities","Marcus C.D., Taylor-Robinson S.D., Sargentoni J., Ainsworth J.G., Frize G., Easterbrook P.J., Shaunak S., Bryant D.J.",08857490,"Metabolic Brain Disease",13, 2,26,0,4,4,2,32
1998,"Reduction of the viral load of HIV-1 after the intraperitoneal administration of dextrin 2-sulphate in patients with AIDS","Shaunak S., Thornton M., John S., Teo I., Peers E., Mason P., Krausz T., Davies D.S.",02699370,"AIDS",12, 4,19,0,2,2,3,24
1998,"Joint Conference on Shared Care in HIV and AIDS, Royal College of Physicians of London, 9 October 1997: Shared care in HIV and AIDS: Shifting care or shifting costs?","Cartledge J.D., Pinching A., Battle G., Slater D., Weller I.V.D., Singh S., Shaunak S., Bury J., Williams I., Ford C., Stirling C., Carrier J.",00358819,"Journal of the Royal College of Physicians of London",32, 4,1,0,0,0,0,1
1997,"Anti-HIV type 1 activity of sulfated derivatives of dextrin against primary viral isolates of HIV type 1 in lymphocytes and monocyte-derived macrophages","Javan C.M., Gooderham N.J., Edwards R.J., Davies D.S., Shaunak S.",08892229,"AIDS Research and Human Retroviruses",13, 10,24,1,1,2,4,30
1997,"Circular forms of unintegrated human immunodeficiency virus type 1 DNA and high levels of viral protein expression: Association with dementia and multinucleated giant cells in the brains of patients with AIDS","Teo I., Veryard C., Barnes H., An S.F., Jones M., Lantos P.L., Luthert P., Shaunak S.",0022538X,"Journal of Virology",71, 4,52,5,3,8,1,61
1996,"Combining specialist and primary health care teams for HIV positive patients: Retrospective and prospective studies","Smith S., Robinson J., Hollyer J., Bhatt R., Ash S., Shaunak S.",09598146,"British Medical Journal",312, 7028,12,0,3,3,1,16
1995,"Extra-nuclear location of histones in activated human peripheral blood lymphocytes and cultured T-cells","Watson K., Edwards R.J., Shaunak S., Parmelee D.C., Sarraf C., Gooderham N.J., Davies D.S.",00062952,"Biochemical Pharmacology",50, 3,32,4,5,9,4,45
1995,"Transient monocular blindness [7]","O'Sullivan E., Shaunak S., Matthews T., Wade J., Kennard C., Simcock P.",00223050,"Journal of Neurology Neurosurgery and Psychiatry",59, 5,1,0,0,0,1,2
1995,"PCR in situ: Aspects which reduce amplification and generate false-positive results","Teo I.A., Shaunak S.",00182214,"Histochemical Journal",27, 9,24,0,0,0,1,25
1995,"Thromboembolic occlusion of a pulmonary arteriovenous malformation","Sabroe I., Bloom S., Hughes J.M.B., Shaunak S., Robertson I.",09598146,"British Medical Journal",311, 7004,2,0,0,0,0,2
1995,"Treatment of adenoviral pneumonitis with intravenous ribavirin and immunoglobulin","Sabroe I., McHale J., Tait D.R., Lynn W.A., Ward K.N., Shaunak S.",00406376,"Thorax",50, 11,15,1,2,3,0,18
1995,"Polymerase chain reaction in situ: An appraisal of an emerging technique","Teo I.A., Shaunak S.",00182214,"Histochemical Journal",27, 9,25,0,0,0,1,26
1995,"Exacerbation of idiopathic Parkinson's disease by naproxen","Shaunak S., Brown P., Morgan-Hughes J.A.",09598146,"British Medical Journal",311, 7002,3,0,0,0,0,3
1995,"Commentary","Shaunak S.",00406376,"Thorax",50, 3,0,0,0,0,0,0
1994,"Infection by HIV-1 blocked by binding of dextrin 2-sulphate to the cell surface of activated human peripheral blood mononuclear cells and cultured T-cells","Shaunak S., Gooderham N.J., Edwards R.J., Payvandi N., Javan C.M., Baggett N., MacDermot J., Weber J.N., Davies D.S.",00071188,"British Journal of Pharmacology",113, 1,27,2,1,3,2,32
1994,"Histones located on the plasma membrane of T-cells","Watson K., Edwards R.J., Parmelee D.C., Shaunak S., Gooderham N.J., Davies D.S.",03005127,"Biochemical Society Transactions",22, 2,5,0,0,0,1,6
1993,"HIV replication in CD4-negative cell lines: Effect of cloning, CD4 expression and inhibitory by dextrin sulphate","Beddows S., Bieniasz P., Shaunak S., Weber J.",09563202,"Antiviral Chemistry and Chemotherapy",4, 3,5,0,0,0,0,5
1993,"Tuberculous pericarditis with rapid progression to constriction","Clifford C.P., Davies G.J., Scott J., Shaunak S., Savill J., Schofield J.B.",09598146,"British Medical Journal",307, 6911,4,1,0,1,0,5
1993,"Respiratory syncytial virus infection in an adult with AIDS [1]","Sriskandan S., Shaunak S.",10584838,"Clinical Infectious Diseases",17, 6,5,0,0,0,0,5
1993,"Funding policies for HIV and AIDS: GPs should be more involved [14]","Smith S., Parker c., Shaunak S., Ash S., Bhatt R.",09598146,"British Medical Journal",307, 6907,2,0,0,0,0,2
1992,"The retroviruses: classification and molecular biology.","Shaunak S., Weber J.N.",09610421,"Bailliere""s clinical neurology",1, 1,1,0,0,0,0,1
1992,"Geographic diversity of human immunodeficiency virus type 1: Serologic reactivity to env epitopes and relationship to neutralization","Cheingsong-Popov R., Watts D.M., Constantine N.T., Weber J.N., Callow D., Beddows S., Shaunak S., Wasi C., Kaleebu P., Gilks C., Petrascu I.V., Garaev M.M.",00221899,"Journal of Infectious Diseases",165, 2,17,0,0,0,0,17
1991,"Tuberculosis and HIV infection.","Shaunak S.",00071064,"British Journal of Hospital Medicine",45, 4,0,0,0,0,0,0
1991,"Clinical management of fungal infection in patients with AIDS","Shaunak S., Cohen J.",03057453,"Journal of Antimicrobial Chemotherapy",28, ,1,0,0,0,0,1
1991,"Amplification of human immunodeficiency virus provirus from cerebrospinal fluid: Results of long-term clinical follow-up [2]","Shaunak S., Albright R.E., Bartlett J.A.",00221899,"Journal of Infectious Diseases",164, 4,0,1,0,1,0,1
1990,"Do streptococci cause toxic shock?","Shaunak S., Gordon A.M.",09598146,"British Medical Journal",301, 6764,0,0,0,0,0,0
1990,"HIV-1-Associated thrombocytopenia. The role of splenectomy","Tyler D.S., Shaunak S., Bartlett J.A., Iglehart J.D.",00034932,"Annals of Surgery",211, 2,12,0,0,0,0,12
1990,"Amplification of HIV-1 provirus from cerebrospinal fluid and its correlation with neurologic disease","Shaunak S., Albright R.E., Klotman M.E., Henry S.C., Bartlett J.A., Hamilton J.D.",00221899,"Journal of Infectious Diseases",161, 6,15,2,0,2,0,17
1989,"MCQs on HIV infection","Shaunak S.",00071064,"British Journal of Hospital Medicine",42, 6,0,0,0,0,0,0
1989,"Cryptococcal meningitis with normal cerebrospinal fluid.","Shaunak S., Schell W.A., Perfect J.R.",00221899,"Journal of Infectious Diseases",160, 5,2,0,0,0,0,2
1989,"Zidovudine-induced neutropenia: Are we too cautious?","Shaunak S., Bartlett J.A.",01406736,"Lancet",2, 8654,21,0,1,1,0,22
1988,"Septic scarlet fever due to Streptococcus pyogenes cellulitis","Shaunak S., Wendon J., Monteil M., Gordon A.M.",00335622,"Quarterly Journal of Medicine",69, 259,5,0,0,0,0,5
1988,"Cyclophosphamide-induced liver necrosis: A possible interaction with azathioprine","Shaunak S., Munro J.M., Weinbren K., Walport M.J., Cox T.M.",00335622,"Quarterly Journal of Medicine",67, 1,6,1,1,2,0,8
1987,"Muscle strength in healthy White and Asian subjects: The relationship of quadriceps maximum voluntary contraction to age, sex, body build and vitamin D","Shaunak S., Ang L., Colston K., Patel S., Bland M., Maxwell J.D.",01435221,"Clinical Science",73, 5,2,1,0,1,0,3
1986,"Differences among Asian patients.","Shaunak S., Lakhani S.R., Abraham R., Maxwell J.D.",02670623,"British medical journal (Clinical research ed.)",293, 6555,1,0,0,0,0,1
1985,"Vitamin D deficiency in adult British Hindu Asians: A family disorder","Shaunak S., Colston K., Ang L.",09598146,"British Medical Journal",291, 6503,5,1,2,3,0,8
1984,"More on leptospirosis","Shaunak S., Brettle R.P., Inglis J.M., Holmes L.",00284793,"New England Journal of Medicine",311, 4,0,0,0,0,0,0
1983,"Massive haematemesis and melaena from a Meckel's diverticulum","Shaunak S., O'Donohue J.",00325473,"Postgraduate Medical Journal",59, 698,0,0,0,0,0,0
