1995,"Modulation of D-[2,3 3H]aspartate release from rat forebrain slices by non-NMDA receptor agonists and antagonists","Patel D.R., Sturt N.J.H., Croucher M.J.",03005127,"Biochemical Society Transactions",23, 1,1,0,0,0,0,1
1995,"Amygdaloid kindling by repeated focal N-methyl-D-aspartate administration: Comparison with electrical kindling","Croucher M.J., Cotterell K.L., Bradford H.F.",00142999,"European Journal of Pharmacology",286, 3,27,2,0,2,2,31
1995,"Effect of amygdaloid kindling on the content and release of amino acids from the amygdaloid complex: In vivo and in vitro studies","Kaura S., Bradford H.F., Young A.M.J., Croucher M.J., Hughes P.D.",00223042,"Journal of Neurochemistry",65, 3,51,1,2,3,2,56
1995,"Blockade of both epileptogenesis and glutamate release by (1S,3S)-ACPD, a presynaptic glutamate receptor agonist","Attwell P.J.E., Kaura S., Sigala G., Bradford H.F., Croucher M.J., Jane D.E., Watkins J.C.",00068993,"Brain Research",698, 1-2,47,1,2,3,1,51
1993,"Relative anticonvulsant potencies of CPP and some novel analogues in the kindled rat","Kaura S., Croucher M.J., Bradford H.F., Sunter D.C., Watkins J.C.",03005127,"Biochemical Society Transactions",21, 4,3,0,0,0,0,3
1992,"Competitive NMDA receptor antagonists raise electrically kindled generalized seizure thresholds","Croucher M.J., Cotterell K.L., Bradford H.F.",03643190,"Neurochemical Research",17, 5,19,0,1,1,1,21
1992,"Weak anticonvulsant activity of CGP 37849 and CGP 39551 against kindled seizures following systemic administration","Cotterell K.L., Croucher M.J., Bradford H.F.",00142999,"European Journal of Pharmacology",214, 2-3,4,0,0,0,0,4
1991,"Lack of effect of focally administered prostaglandins on electrically kindled seizure activity","Croucher M.J., Marriot D.R., Bradford H.F., Wilkin G.P.",00906980,"Prostaglandins",42, 1,4,0,1,1,0,5
1991,"The influence of strychnine-insensitive glycine receptor agonists and antagonists on generalized seizure thresholds","Croucher M.J., Bradford H.F.",00068993,"Brain Research",543, 1,20,0,0,0,0,20
1990,"7-Chlorokynurenic acid, a strychnine-insensitive glycine receptor antagonist, inhibits limb seizure kindling","Croucher M.J., Bradford H.F.",03043940,"Neuroscience Letters",118, 1,13,0,0,0,0,13
1990,"NMDA receptor blockade inhibits glutamate-induced kindling of the rat amygdala","Croucher M.J., Bradford H.F.",00068993,"Brain Research",506, 2,30,1,1,2,2,34
1989,"Kindling of full limbic seizures by repeated microinjections of excitatory amino acids into the rat amygdala","Croucher M.J., Bradford H.F.",00068993,"Brain Research",501, 1,38,2,1,3,4,45
1988,"Inhibition of the development of electrical kindling of the prepyriform cortex by daily forcal injections of excitatory amino acid antagonists","Croucher M.J., Bradford H.F., Sunter D.C., Watkins J.C.",00142999,"European Journal of Pharmacology",152, 1-2,45,3,0,3,2,50
1987,"Excitatory amino acid receptors and depolarization-induced Ca2+ influx into hippocampal slices","Crowder J.M., Croucher M.J., Bradford H.F., Collins J.F.",00223042,"Journal of Neurochemistry",48, 6,9,1,0,1,1,11
1984,"?-D-glutamylaminomethylsulphonic acid (GAMS), a kainate and quisqualate antagonist, prevents sound-induced seizures in DBA/2 mice","Croucher M.J., Meldrum B.S., Jones A.W., Watkins J.C.",00068993,"Brain Research",322, 1,6,0,0,0,0,6
1984,"Evaluation of anticonvulsant drugs in DBA/2 mice with sound-induced seizures","Chapman A.G., Croucher M.J., Meldrum B.S.",00044172,"Arzneimittel-Forschung/Drug Research",34, 10,48,0,2,2,3,53
1984,"Anticonvulsant actions of DS 103-282. Pharmacological studies in rodents and the baboon, Papio papio","De Sarro G.B., Croucher M.J., Meldrum B.S.",00283908,"Neuropharmacology",23, 5,35,2,0,2,1,38
1984,"Behavioural and convulsant actions of two methyl esters of ?-carboline-3-carboxylic acid in photosensitive baboons and in DBA/2 mice","Croucher M., De Sarro G., Jensen L., Meldrum B.",00142999,"European Journal of Pharmacology",104, 1-2,6,0,0,0,0,6
1984,"Anticonvulsant activity of intracerebroventricularly administered valproate and valproate analogues. A dose-dependent correlation with changes in brain aspartate and GABA levels in DBA/2 mice","Chapman A.G., Croucher M.J., Meldrum B.S.",00062952,"Biochemical Pharmacology",33, 9,11,1,2,3,1,15
1984,"Anticonvulsant and proconvulsant properties of a series of structural isomers of piperidine dicarboxylic acid","Croucher M.J., Meldrum B.S., Collins J.F.",00283908,"Neuropharmacology",23, 4,0,0,0,0,0,0
1984,"Suppression of audiogenic seizures in DBA/2 mice by two new dipeptide NMDA receptor antagonists","Jones A.W., Croucher M.J., Meldrum B.S., Watkins J.C.",03043940,"Neuroscience Letters",45, 2,2,0,0,0,0,2
1983,"Anticonvulsant activity of GABA uptake inhibitors and their prodrugs following central or systemic administration","Croucher M.J., Meldrum B.S., Krogsgaard Larsen P.",00142999,"European Journal of Pharmacology",89, 3-4,28,4,0,4,0,32
1983,"Antiepileptic action of excitatory amino acid antagonists in the photosensitive baboon, Papio papio","Meldrum B.S., Croucher M.J., Badman G., Collins J.F.",03043940,"Neuroscience Letters",39, 1,17,1,0,1,0,18
1983,"A comparison of the anticonvulsant potency of (±) 2-amino-5-phosphonopentanoic acid and (±) 2-amino-7-phosphonoheptanoic acid","Meldrum B.S., Croucher M.J., Czuczwar S.J.",03064522,"Neuroscience",9, 4,18,0,0,0,0,18
1982,"Anticonvulsant action of clobazam and desmethylclobazam in reflex epilepsy in rodents and baboons","Meldrum B.S., Croucher M.J.",02724391,"Drug Development Research",2, 1,2,0,0,0,0,2
1982,"Anticonvulsant action of excitatory amino acid antagonists","Croucher M.J., Collins J.F., Meldrum B.S.",00368075,"Science",216, 4548,125,4,0,4,4,133
1981,"Anticonvulsant activity of GABA uptake inhibitors in DBA/2 mice","Croucher M.J., Krogsgaard-Larsen P., Meldrum B.S.",00071188,"British Journal of Pharmacology",74, 4,0,0,0,0,0,0
1980,"Effects of uptake inhibitors on the efflux and metabolism of [14C]-GABA in the guinea-pig cerebral cortex in vivo","Croucher M.J., Webster R.A.",00071188,"British Journal of Pharmacology",69, 2,0,0,0,0,0,0
